2#apa#apa00#app0001/a  0.197 0.146  0.313 0.305  0.411 0.469  0.482 0.639  0.554 0.809  0.554 1.009  0.509 1.190  0.418 1.352  0.277 1.493  0.126 1.456  -0.018 1.358  -0.159 1.217  -0.300 1.075  -0.385 0.909  -0.491 0.742  -0.582 0.580  -0.681 0.409  -0.731 0.230  -0.814 0.050  -0.921 -0.116  -0.945 -0.306  -0.970 -0.502  -1.016 -0.694  -0.988 -0.882  -0.897 -1.044  -0.806 -1.206  -0.665 -1.347  -0.481 -1.299  -0.311 -1.219  -0.206 -1.055  -0.088 -0.928  0.000 -0.765  0.135 -0.620  0.217 -0.438  0.268 -0.246  0.310 -0.057  0.399 0.122  0.482 0.302  0.554 0.472  0.535 0.626  0.482 0.448  0.482 0.249  0.482 0.049  0.482 -0.151  0.482 -0.351  0.538 -0.537  0.564 -0.731  0.653 -0.909  0.711 -1.096  0.839 -1.210
2#apa#apa00#app0001/q  0.334 1.288  0.288 1.453  0.110 1.468  -0.003 1.360  -0.156 1.279  -0.280 1.144  -0.352 0.975  -0.438 0.817  -0.533 0.661  -0.569 0.492  -0.569 0.308  -0.554 0.129  -0.414 0.024  -0.229 0.024  -0.093 0.139  -0.013 0.293  0.078 0.453  0.175 0.609  0.241 0.773  0.334 0.930  0.394 1.090  0.394 1.181  0.394 0.996  0.334 0.872  0.273 0.713  0.257 0.532  0.213 0.358  0.173 0.183  0.153 0.004  0.093 -0.167  0.089 -0.350  0.031 -0.526  0.001 -0.707  -0.032 -0.888  -0.088 -1.060  -0.088 -1.244  -0.145 -1.415  -0.208 -1.574  -0.208 -1.758  -0.208 -1.827  -0.152 -1.666  -0.122 -1.489  -0.088 -1.313  -0.027 -1.142  0.033 -0.983  0.090 -0.822  0.153 -0.653  0.229 -0.487  0.311 -0.322  0.394 -0.157
2#apa#apa00#app0001/u  -0.516 1.209  -0.615 1.127  -0.681 1.012  -0.714 0.864  -0.807 0.721  -0.813 0.543  -0.813 0.362  -0.831 0.185  -0.911 0.023  -0.911 -0.158  -0.911 -0.339  -0.911 -0.520  -0.911 -0.701  -0.911 -0.882  -0.910 -1.062  -0.813 -1.145  -0.647 -1.161  -0.510 -1.056  -0.382 -0.928  -0.254 -0.800  -0.126 -0.672  -0.007 -0.537  0.074 -0.375  0.191 -0.240  0.272 -0.078  0.309 0.095  0.390 0.257  0.471 0.419  0.570 0.559  0.570 0.740  0.570 0.921  0.570 1.102  0.570 1.136  0.709 1.151  0.768 1.111  0.669 0.971  0.652 0.797  0.570 0.650  0.570 0.469  0.547 0.298  0.471 0.148  0.471 -0.033  0.471 -0.214  0.471 -0.395  0.471 -0.576  0.535 -0.731  0.570 -0.897  0.651 -1.045  0.784 -1.161  0.965 -1.161
2#apa#apa00#app0001/i  0.018 0.893  -0.028 0.807  -0.068 0.716  -0.105 0.599  -0.182 0.494  -0.240 0.376  -0.240 0.245  -0.240 0.113  -0.240 -0.018  -0.310 -0.121  -0.326 -0.246  -0.326 -0.378  -0.326 -0.509  -0.326 -0.641  -0.326 -0.773  -0.383 -0.881  -0.411 -1.000  -0.411 -1.132  -0.411 -1.264  -0.355 -1.339  -0.309 -1.424  -0.177 -1.424  -0.068 -1.402  -0.020 -1.290  0.073 -1.197  0.166 -1.104  0.259 -1.011  0.275 -0.886  0.271 -0.754  0.267 -0.623  0.263 -0.491  0.259 -0.360  0.255 -0.228  0.251 -0.096  0.247 0.035  0.243 0.167  0.239 0.298  0.235 0.430  0.231 0.561  0.227 0.693  0.223 0.825  0.219 0.956  0.215 1.088  0.211 1.219  0.207 1.351  0.203 1.482  0.199 1.614  0.195 1.746  0.191 1.877  0.189 2.009
2#apa#apa00#app0001/c  0.337 0.775  0.337 0.883  0.441 0.887  0.449 0.988  0.449 1.096  0.449 1.205  0.449 1.313  0.362 1.334  0.278 1.275  0.191 1.222  0.113 1.193  0.087 1.111  -0.015 1.095  -0.091 1.018  -0.111 0.918  -0.165 0.832  -0.242 0.756  -0.319 0.679  -0.334 0.577  -0.334 0.469  -0.390 0.384  -0.446 0.299  -0.446 0.191  -0.456 0.085  -0.504 -0.012  -0.553 -0.109  -0.558 -0.216  -0.558 -0.324  -0.558 -0.433  -0.558 -0.541  -0.558 -0.649  -0.558 -0.757  -0.505 -0.844  -0.446 -0.928  -0.431 -1.029  -0.354 -1.106  -0.254 -1.126  -0.146 -1.126  -0.038 -1.126  0.070 -1.126  0.179 -1.126  0.269 -1.082  0.349 -1.014  0.456 -1.010  0.553 -0.962  0.650 -0.913  0.731 -0.843  0.814 -0.776  0.911 -0.727  1.008 -0.679
2#apa#apa00#app0001/k  -0.077 2.212  -0.077 2.015  -0.081 1.819  -0.155 1.652  -0.155 1.455  -0.155 1.258  -0.155 1.060  -0.155 0.863  -0.155 0.666  -0.192 0.472  -0.230 0.279  -0.233 0.081  -0.233 -0.116  -0.293 -0.303  -0.311 -0.498  -0.368 -0.686  -0.413 -0.874  -0.467 -1.059  -0.467 -1.256  -0.526 -1.429  -0.545 -1.433  -0.505 -1.253  -0.467 -1.071  -0.467 -0.874  -0.377 -0.711  -0.314 -0.523  -0.297 -0.330  -0.233 -0.148  -0.155 0.017  -0.077 0.182  0.059 0.323  0.154 0.495  0.234 0.614  0.367 0.710  0.556 0.732  0.753 0.732  0.768 0.566  0.655 0.407  0.546 0.295  0.468 0.130  0.390 -0.035  0.312 -0.154  0.206 -0.308  0.156 -0.484  0.156 -0.682  0.210 -0.825  0.324 -0.915  0.495 -0.981  0.672 -1.029  0.857 -1.059
2#apa#apa00#app0001/b  -0.105 2.233  -0.105 2.052  -0.142 1.877  -0.166 1.700  -0.166 1.519  -0.166 1.338  -0.166 1.157  -0.166 0.976  -0.166 0.795  -0.166 0.614  -0.166 0.433  -0.180 0.253  -0.210 0.075  -0.251 -0.101  -0.289 -0.276  -0.289 -0.457  -0.306 -0.635  -0.350 -0.809  -0.350 -0.990  -0.350 -1.171  -0.411 -1.337  -0.411 -1.518  -0.411 -1.423  -0.411 -1.242  -0.360 -1.082  -0.350 -0.905  -0.350 -0.724  -0.289 -0.568  -0.284 -0.389  -0.227 -0.221  -0.104 -0.091  -0.011 0.062  0.079 0.206  0.227 0.301  0.325 0.429  0.422 0.557  0.568 0.606  0.691 0.620  0.752 0.464  0.752 0.283  0.813 0.116  0.813 -0.065  0.791 -0.237  0.691 -0.376  0.550 -0.472  0.400 -0.572  0.236 -0.643  0.064 -0.681  -0.074 -0.796  -0.227 -0.888
2#apa#apa00#app0001/r  -0.483 1.104  -0.483 0.962  -0.463 0.841  -0.396 0.766  -0.396 0.625  -0.396 0.483  -0.396 0.342  -0.396 0.200  -0.396 0.058  -0.396 -0.083  -0.384 -0.220  -0.308 -0.330  -0.308 -0.472  -0.308 -0.613  -0.308 -0.755  -0.308 -0.897  -0.339 -1.026  -0.396 -1.144  -0.396 -1.285  -0.453 -1.403  -0.483 -1.508  -0.483 -1.367  -0.483 -1.225  -0.483 -1.083  -0.396 -1.029  -0.396 -0.888  -0.343 -0.768  -0.306 -0.641  -0.243 -0.515  -0.217 -0.380  -0.133 -0.273  -0.133 -0.131  -0.041 -0.028  0.041 0.080  0.077 0.213  0.147 0.335  0.247 0.435  0.331 0.546  0.395 0.673  0.458 0.800  0.572 0.847  0.654 0.954  0.733 1.016  0.839 1.104  0.980 1.104  1.034 1.016  1.151 0.956  1.277 0.918  1.387 0.841  1.528 0.841
2#apa#apa00#app0001/o  0.078 1.053  0.172 1.147  0.192 1.272  0.078 1.271  0.048 1.167  -0.036 1.118  -0.084 1.005  -0.150 0.899  -0.192 0.783  -0.286 0.688  -0.381 0.594  -0.475 0.500  -0.541 0.385  -0.601 0.266  -0.660 0.147  -0.720 0.027  -0.721 -0.106  -0.747 -0.228  -0.835 -0.325  -0.835 -0.459  -0.835 -0.592  -0.835 -0.725  -0.835 -0.859  -0.835 -0.992  -0.721 -1.011  -0.692 -1.116  -0.558 -1.116  -0.425 -1.116  -0.292 -1.116  -0.189 -1.041  -0.072 -1.002  0.033 -0.933  0.127 -0.839  0.229 -0.755  0.348 -0.695  0.420 -0.607  0.471 -0.494  0.566 -0.400  0.660 -0.306  0.754 -0.211  0.801 -0.088  0.843 0.039  0.877 0.167  0.910 0.286  0.991 0.386  0.991 0.519  0.991 0.653  0.991 0.786  0.991 0.919  0.991 1.053
2#apa#apa00#app0001/w  -1.170 0.844  -0.999 0.942  -0.885 1.040  -0.714 1.139  -0.679 0.962  -0.679 0.751  -0.777 0.638  -0.777 0.426  -0.875 0.255  -0.875 0.044  -0.875 -0.168  -0.875 -0.379  -0.875 -0.591  -0.875 -0.802  -0.875 -1.014  -0.768 -1.118  -0.592 -1.031  -0.426 -0.922  -0.385 -0.752  -0.266 -0.586  -0.171 -0.397  -0.090 -0.204  0.008 -0.034  0.061 0.165  0.115 0.363  0.204 0.537  0.204 0.749  0.302 0.862  0.269 0.844  0.204 0.698  0.204 0.486  0.106 0.315  0.106 0.104  0.106 -0.108  0.106 -0.319  0.106 -0.531  0.187 -0.709  0.293 -0.824  0.407 -0.922  0.606 -0.868  0.704 -0.716  0.854 -0.566  1.010 -0.431  1.147 -0.311  1.205 -0.117  1.284 0.062  1.379 0.251  1.381 0.462  1.469 0.637  1.479 0.844
2#apa#apa00#app0001/n  -0.531 1.280  -0.531 1.099  -0.551 0.922  -0.631 0.760  -0.637 0.581  -0.637 0.400  -0.637 0.219  -0.637 0.038  -0.669 -0.130  -0.743 -0.280  -0.743 -0.461  -0.743 -0.642  -0.743 -0.823  -0.743 -1.004  -0.743 -1.185  -0.743 -1.162  -0.637 -1.025  -0.637 -0.844  -0.531 -0.707  -0.485 -0.537  -0.425 -0.370  -0.414 -0.193  -0.319 -0.052  -0.308 0.125  -0.213 0.266  -0.159 0.434  -0.107 0.603  -0.001 0.678  0.077 0.827  0.140 0.962  0.215 1.068  0.317 1.146  0.471 1.174  0.529 1.051  0.529 0.870  0.529 0.689  0.529 0.508  0.529 0.327  0.529 0.146  0.529 -0.035  0.529 -0.216  0.529 -0.397  0.635 -0.534  0.696 -0.689  0.824 -0.817  0.996 -0.840  1.177 -0.840  1.358 -0.840  1.533 -0.815  1.695 -0.734
2#apa#apa00#app0001/f  0.374 1.446  0.271 1.549  0.213 1.639  0.159 1.591  0.159 1.445  0.159 1.300  0.106 1.176  0.106 1.031  0.106 0.885  0.106 0.739  0.106 0.593  0.106 0.448  0.106 0.302  0.106 0.156  0.106 0.011  0.106 -0.135  0.106 -0.281  0.106 -0.426  0.106 -0.572  0.106 -0.718  0.083 -0.858  0.052 -0.996  0.025 -1.136  -0.002 -1.275  -0.033 -1.413  -0.085 -1.542  -0.150 -1.660  -0.271 -1.654  -0.268 -1.509  -0.265 -1.363  -0.262 -1.217  -0.258 -1.072  -0.255 -0.926  -0.251 -0.780  -0.248 -0.635  -0.245 -0.489  -0.241 -0.343  -0.238 -0.198  -0.234 -0.052  -0.231 0.094  -0.228 0.239  -0.224 0.385  -0.221 0.530  -0.218 0.676  -0.096 0.726  0.034 0.792  0.176 0.809  0.306 0.874  0.444 0.908  0.590 0.908
2#apa#apa00#app0001/o  0.537 0.739  0.508 0.874  0.431 0.989  0.352 1.058  0.240 1.143  0.101 1.164  -0.046 1.164  -0.101 1.071  -0.227 1.038  -0.331 0.934  -0.420 0.824  -0.464 0.695  -0.568 0.590  -0.672 0.486  -0.739 0.366  -0.769 0.224  -0.815 0.084  -0.845 -0.059  -0.845 -0.206  -0.845 -0.353  -0.796 -0.480  -0.739 -0.604  -0.662 -0.720  -0.632 -0.855  -0.529 -0.959  -0.425 -1.063  -0.396 -1.199  -0.283 -1.281  -0.135 -1.281  0.012 -1.281  0.159 -1.281  0.307 -1.281  0.416 -1.190  0.445 -1.054  0.537 -0.945  0.537 -0.798  0.607 -0.679  0.643 -0.547  0.643 -0.400  0.643 -0.252  0.616 -0.108  0.580 0.035  0.545 0.178  0.537 0.324  0.537 0.471  0.537 0.619  0.518 0.758  0.431 0.869  0.431 1.017  0.431 1.164
