1b#tos#f3#f3012066/D  -0.277 1.125  -0.151 1.200  -0.151 1.099  -0.163 0.900  -0.214 0.707  -0.249 0.508  -0.291 0.312  -0.340 0.116  -0.340 -0.086  -0.355 -0.282  -0.466 -0.450  -0.466 -0.652  -0.466 -0.853  -0.459 -0.723  -0.451 -0.521  -0.444 -0.320  -0.436 -0.119  -0.428 0.083  -0.420 0.284  -0.413 0.486  -0.405 0.687  -0.262 0.747  -0.214 0.901  -0.214 1.103  -0.097 1.188  0.103 1.185  0.267 1.073  0.414 0.937  0.561 0.800  0.750 0.747  0.864 0.605  0.974 0.440  1.067 0.262  1.170 0.096  1.170 -0.106  1.170 -0.307  1.083 -0.473  0.977 -0.642  0.826 -0.763  0.632 -0.802  0.445 -0.877  0.324 -1.019  0.125 -1.052  -0.075 -1.078  -0.276 -1.078  -0.478 -1.078  -0.679 -1.078  -0.881 -1.078  -1.082 -1.078  -1.284 -1.078
1b#tos#f3#f3012066/H  -0.937 0.941  -1.039 0.788  -1.041 0.606  -1.041 0.423  -1.041 0.239  -1.040 0.056  -0.996 -0.121  -0.989 -0.304  -0.973 -0.486  -0.937 -0.665  -0.937 -0.848  -0.937 -1.024  -0.914 -0.842  -0.891 -0.660  -0.869 -0.478  -0.846 -0.297  -0.834 -0.114  -0.776 0.015  -0.611 0.060  -0.428 0.060  -0.245 0.060  -0.062 0.060  0.122 0.060  0.305 0.060  0.480 0.041  0.648 -0.002  0.824 -0.043  0.976 -0.015  0.952 0.166  0.928 0.348  0.904 0.530  0.881 0.711  0.857 0.893  0.833 1.075  0.714 1.148  0.565 1.114  0.565 0.931  0.565 0.748  0.565 0.565  0.565 0.382  0.587 0.202  0.617 0.024  0.617 -0.160  0.617 -0.343  0.617 -0.526  0.617 -0.709  0.617 -0.892  0.617 -1.076  0.617 -1.259  0.617 -1.442
1b#tos#f3#f3012066/I  -0.117 1.693  -0.117 1.623  -0.117 1.553  -0.111 1.484  -0.079 1.421  -0.049 1.357  -0.026 1.291  -0.004 1.224  0.015 1.157  0.015 1.086  0.015 1.016  0.015 0.945  0.015 0.875  0.015 0.805  0.015 0.734  0.015 0.664  0.015 0.593  0.015 0.523  0.015 0.453  0.015 0.382  0.015 0.312  0.015 0.241  0.015 0.171  0.015 0.101  0.015 0.030  0.015 -0.040  0.015 -0.110  0.015 -0.181  0.015 -0.251  0.015 -0.322  0.015 -0.392  0.015 -0.462  0.015 -0.533  0.015 -0.603  0.015 -0.674  0.015 -0.744  0.015 -0.814  0.015 -0.885  0.015 -0.955  0.015 -1.026  0.015 -1.096  0.015 -1.166  0.015 -1.237  0.015 -1.307  0.015 -1.378  0.015 -1.448  0.015 -1.518  0.015 -1.589  0.015 -1.537  0.015 -1.466
1b#tos#f3#f3012066/M  -0.697 0.945  -0.605 0.934  -0.605 0.674  -0.559 0.422  -0.559 0.163  -0.559 -0.097  -0.559 -0.356  -0.559 -0.616  -0.559 -0.875  -0.559 -1.135  -0.605 -1.376  -0.789 -1.423  -0.805 -1.164  -0.822 -0.905  -0.838 -0.646  -0.854 -0.387  -0.870 -0.128  -0.886 0.131  -0.903 0.390  -0.919 0.649  -0.860 0.861  -0.718 0.966  -0.494 0.880  -0.309 0.708  -0.172 0.497  -0.101 0.248  -0.009 0.045  0.178 -0.063  0.373 0.091  0.557 0.275  0.740 0.458  0.907 0.649  0.807 0.808  0.726 0.590  0.554 0.435  0.379 0.257  0.311 0.013  0.231 -0.001  0.407 0.190  0.583 0.381  0.770 0.540  0.990 0.579  0.999 0.328  0.999 0.068  1.041 -0.186  1.045 -0.445  1.045 -0.705  1.045 -0.964  1.045 -1.224  1.045 -1.483
1b#tos#f3#f3012066/N  -0.576 1.124  -0.623 0.967  -0.623 0.763  -0.675 0.568  -0.718 0.372  -0.718 0.168  -0.758 -0.032  -0.766 -0.235  -0.766 -0.440  -0.766 -0.644  -0.766 -0.848  -0.766 -1.053  -0.766 -1.257  -0.700 -1.175  -0.670 -0.972  -0.640 -0.770  -0.609 -0.568  -0.579 -0.366  -0.549 -0.164  -0.518 0.038  -0.488 0.241  -0.458 0.443  -0.434 0.645  -0.339 0.755  -0.220 0.840  -0.117 0.710  -0.023 0.531  0.058 0.344  0.157 0.166  0.183 -0.031  0.272 -0.210  0.370 -0.389  0.449 -0.577  0.514 -0.771  0.605 -0.954  0.720 -1.120  0.820 -1.042  0.846 -0.842  0.846 -0.638  0.846 -0.433  0.846 -0.229  0.872 -0.027  0.894 0.175  0.894 0.380  0.894 0.584  0.894 0.788  0.894 0.993  0.894 1.197  0.921 1.397  0.941 1.598
1b#tos#f3#f3012066/O  -0.205 0.714  -0.293 0.761  -0.381 0.687  -0.497 0.633  -0.573 0.533  -0.640 0.418  -0.667 0.296  -0.698 0.176  -0.792 0.081  -0.805 -0.047  -0.805 -0.180  -0.805 -0.314  -0.805 -0.447  -0.805 -0.580  -0.762 -0.707  -0.729 -0.836  -0.683 -0.961  -0.590 -1.051  -0.483 -1.131  -0.396 -1.178  -0.262 -1.178  -0.129 -1.178  0.005 -1.178  0.130 -1.136  0.254 -1.087  0.349 -0.993  0.433 -0.890  0.503 -0.777  0.563 -0.658  0.622 -0.538  0.677 -0.417  0.709 -0.288  0.737 -0.157  0.763 -0.026  0.764 0.107  0.810 0.230  0.810 0.363  0.810 0.496  0.806 0.629  0.732 0.740  0.658 0.851  0.558 0.933  0.520 1.041  0.391 1.073  0.348 1.173  0.224 1.217  0.092 1.222  -0.042 1.222  -0.166 1.208  -0.252 1.130
1b#tos#f3#f3012066/Q  0.088 0.399  0.088 0.623  0.088 0.847  0.088 1.071  -0.077 1.039  -0.235 0.880  -0.388 0.717  -0.486 0.519  -0.576 0.319  -0.710 0.139  -0.843 -0.041  -0.918 -0.242  -0.940 -0.464  -0.969 -0.686  -0.969 -0.910  -0.913 -1.121  -0.763 -1.274  -0.563 -1.362  -0.339 -1.362  -0.132 -1.308  0.076 -1.234  0.254 -1.125  0.397 -0.953  0.547 -0.789  0.635 -0.585  0.746 -0.391  0.800 -0.173  0.843 0.045  0.843 0.269  0.843 0.493  0.843 0.717  0.797 0.936  0.630 1.076  0.523 1.272  0.355 1.405  0.151 1.355  0.081 1.197  -0.077 1.039  -0.139 0.831  -0.171 0.610  -0.204 0.388  -0.237 0.166  -0.270 -0.055  -0.303 -0.277  -0.234 -0.467  -0.027 -0.550  0.184 -0.623  0.402 -0.662  0.541 -0.786  0.641 -0.910
1b#tos#f3#f3012066/T  -1.367 0.237  -1.501 0.237  -1.557 0.315  -1.440 0.332  -1.307 0.332  -1.173 0.332  -1.040 0.342  -0.910 0.375  -0.777 0.379  -0.643 0.379  -0.509 0.379  -0.377 0.391  -0.249 0.428  -0.120 0.464  0.013 0.474  0.146 0.480  0.279 0.496  0.412 0.513  0.545 0.522  0.679 0.522  0.813 0.522  0.946 0.522  1.080 0.522  1.194 0.474  1.116 0.437  0.983 0.454  0.851 0.470  0.718 0.487  0.585 0.504  0.452 0.520  0.319 0.522  0.220 0.465  0.142 0.358  0.106 0.233  0.106 0.099  0.106 -0.035  0.106 -0.168  0.106 -0.302  0.106 -0.436  0.106 -0.570  0.106 -0.704  0.106 -0.838  0.106 -0.971  0.072 -1.100  0.058 -1.231  0.058 -1.365  0.058 -1.499  0.058 -1.633  0.058 -1.767  0.058 -1.901
1b#tos#f3#f3012066/V  -0.871 0.879  -0.992 0.879  -1.015 0.838  -0.916 0.785  -0.830 0.699  -0.789 0.586  -0.761 0.468  -0.737 0.349  -0.673 0.249  -0.597 0.155  -0.547 0.051  -0.547 -0.070  -0.547 -0.192  -0.547 -0.313  -0.511 -0.423  -0.451 -0.527  -0.427 -0.646  -0.397 -0.763  -0.343 -0.871  -0.296 -0.983  -0.253 -1.096  -0.175 -1.163  -0.136 -1.278  -0.027 -1.295  0.054 -1.255  0.054 -1.134  0.098 -1.023  0.150 -0.914  0.179 -0.796  0.222 -0.683  0.276 -0.575  0.286 -0.456  0.311 -0.339  0.350 -0.224  0.378 -0.107  0.378 0.014  0.409 0.123  0.494 0.208  0.534 0.319  0.558 0.438  0.586 0.555  0.628 0.666  0.714 0.752  0.781 0.851  0.845 0.954  0.901 1.060  0.942 1.174  1.006 1.275  1.085 1.366  1.164 1.434
1b#tos#f3#f3012066/W  -1.311 0.848  -1.196 0.703  -1.119 0.563  -1.100 0.377  -0.993 0.234  -0.972 0.054  -0.940 -0.129  -0.901 -0.313  -0.850 -0.493  -0.845 -0.680  -0.801 -0.849  -0.719 -1.013  -0.661 -1.143  -0.491 -1.114  -0.412 -0.944  -0.379 -0.762  -0.359 -0.576  -0.337 -0.391  -0.314 -0.206  -0.294 -0.020  -0.264 0.164  -0.252 0.350  -0.210 0.529  -0.167 0.709  -0.125 0.886  -0.034 0.879  0.036 0.705  0.059 0.522  0.129 0.351  0.129 0.163  0.143 -0.023  0.184 -0.206  0.256 -0.379  0.341 -0.540  0.425 -0.677  0.480 -0.816  0.655 -0.847  0.748 -0.737  0.865 -0.591  0.892 -0.412  0.920 -0.228  1.005 -0.063  1.019 0.120  1.062 0.301  1.062 0.489  1.062 0.676  1.062 0.864  1.113 1.043  1.172 1.221  1.231 1.399
1b#tos#f3#f3012066/Y  -1.295 1.260  -1.178 1.142  -1.047 1.010  -0.938 0.864  -0.757 0.819  -0.688 0.647  -0.583 0.498  -0.464 0.356  -0.346 0.213  -0.217 0.080  -0.172 -0.100  -0.079 -0.261  0.002 -0.428  0.048 -0.608  0.106 -0.778  0.202 -0.932  0.223 -1.114  0.236 -1.287  0.422 -1.287  0.608 -1.287  0.634 -1.109  0.654 -0.924  0.674 -0.739  0.694 -0.554  0.714 -0.369  0.734 -0.184  0.754 0.001  0.774 0.186  0.794 0.371  0.811 0.556  0.811 0.742  0.811 0.928  0.811 1.114  0.687 1.198  0.521 1.115  0.389 0.984  0.257 0.853  0.172 0.691  0.087 0.527  -0.029 0.382  -0.142 0.234  -0.255 0.086  -0.371 -0.059  -0.467 -0.218  -0.550 -0.384  -0.675 -0.520  -0.788 -0.665  -0.806 -0.847  -0.882 -1.010  -0.904 -1.189
