1c#app#app32#app3202/w  -0.303 0.192  -0.285 0.385  -0.144 0.526  -0.130 0.716  -0.303 0.743  -0.303 0.943  -0.303 1.142  -0.303 1.342  -0.303 1.541  -0.303 1.439  -0.303 1.239  -0.303 1.040  -0.303 0.840  -0.303 0.641  -0.303 0.441  -0.303 0.242  -0.303 0.043  -0.426 -0.106  -0.477 -0.284  -0.477 -0.483  -0.479 -0.681  -0.652 -0.708  -0.652 -0.907  -0.652 -1.107  -0.652 -1.104  -0.526 -1.030  -0.477 -0.879  -0.476 -0.681  -0.303 -0.655  -0.303 -0.456  -0.303 -0.407  -0.303 -0.606  -0.303 -0.806  -0.303 -1.005  -0.128 -1.030  0.071 -1.030  0.256 -0.995  0.397 -0.854  0.538 -0.713  0.679 -0.572  0.745 -0.400  0.804 -0.214  0.893 -0.036  1.018 0.116  1.095 0.284  1.147 0.471  1.236 0.650  1.269 0.841  1.269 1.041  1.269 0.891
1c#app#app32#app3202/a  0.734 0.406  0.734 0.602  0.734 0.798  0.734 0.993  0.716 1.171  0.520 1.171  0.370 1.062  0.231 0.924  0.039 0.916  -0.157 0.916  -0.286 0.849  -0.292 0.656  -0.430 0.517  -0.568 0.379  -0.707 0.240  -0.845 0.102  -0.984 -0.036  -1.096 -0.194  -1.184 -0.369  -1.271 -0.544  -1.306 -0.731  -1.306 -0.927  -1.306 -1.123  -1.112 -1.124  -0.930 -1.064  -0.755 -0.976  -0.580 -0.889  -0.434 -0.761  -0.295 -0.623  -0.157 -0.485  -0.013 -0.359  0.183 -0.359  0.224 -0.204  0.292 -0.036  0.430 0.102  0.568 0.240  0.707 0.379  0.734 0.563  0.636 0.661  0.479 0.622  0.479 0.427  0.479 0.231  0.479 0.035  0.479 -0.161  0.479 -0.357  0.616 -0.496  0.754 -0.634  0.893 -0.773  1.048 -0.869  1.244 -0.869
1c#app#app32#app3202/r  -0.363 -0.341  -0.363 -0.208  -0.363 -0.095  -0.363 -0.229  -0.363 -0.362  -0.363 -0.496  -0.363 -0.629  -0.363 -0.762  -0.363 -0.896  -0.363 -1.029  -0.363 -1.163  -0.363 -1.296  -0.425 -1.368  -0.559 -1.368  -0.620 -1.296  -0.620 -1.162  -0.620 -1.029  -0.620 -0.895  -0.620 -0.762  -0.620 -0.628  -0.547 -0.525  -0.453 -0.431  -0.363 -0.334  -0.363 -0.201  -0.363 -0.067  -0.363 0.066  -0.344 0.192  -0.249 0.286  -0.155 0.380  -0.107 0.494  -0.107 0.627  -0.053 0.739  0.041 0.833  0.136 0.928  0.150 1.055  0.150 1.189  0.274 1.199  0.407 1.199  0.541 1.199  0.663 1.188  0.663 1.054  0.678 0.927  0.773 0.833  0.867 0.738  0.961 0.644  1.056 0.550  1.150 0.455  1.245 0.361  1.339 0.266  1.433 0.172
1c#app#app32#app3202/t  0.203 1.864  0.183 1.987  0.081 1.946  0.081 1.803  0.081 1.661  0.081 1.518  0.081 1.375  0.081 1.233  0.081 1.090  0.081 0.947  0.081 0.805  0.081 0.662  0.081 0.519  0.081 0.377  0.081 0.234  0.081 0.091  0.081 -0.051  0.081 -0.194  0.081 -0.337  0.081 -0.479  0.081 -0.622  0.081 -0.765  0.081 -0.907  0.081 -1.050  0.081 -1.193  0.181 -1.294  0.203 -1.428  0.199 -1.553  0.125 -1.431  0.052 -1.308  -0.021 -1.186  -0.095 -1.064  -0.168 -0.941  -0.242 -0.819  -0.315 -0.697  -0.388 -0.574  -0.462 -0.452  -0.531 -0.347  -0.531 -0.430  -0.531 -0.288  -0.481 -0.166  -0.380 -0.065  -0.279 0.036  -0.178 0.137  -0.042 0.152  0.059 0.252  0.193 0.274  0.336 0.274  0.470 0.253  0.571 0.152
1c#app#app32#app3202/y  -0.863 1.031  -0.982 0.996  -0.982 0.843  -0.982 0.690  -0.982 0.537  -0.982 0.384  -0.918 0.258  -0.863 0.127  -0.785 0.007  -0.677 -0.101  -0.627 -0.234  -0.509 -0.269  -0.391 -0.303  -0.322 -0.387  -0.216 -0.299  -0.134 -0.171  -0.051 -0.042  0.032 0.087  0.114 0.215  0.197 0.344  0.280 0.473  0.363 0.601  0.445 0.730  0.528 0.859  0.611 0.987  0.693 1.116  0.776 1.245  0.791 1.141  0.772 0.993  0.703 0.856  0.673 0.710  0.672 0.557  0.635 0.409  0.598 0.261  0.561 0.112  0.498 -0.027  0.436 -0.165  0.414 -0.313  0.346 -0.450  0.318 -0.596  0.313 -0.747  0.205 -0.855  0.134 -0.990  0.057 -1.121  -0.036 -1.235  -0.061 -1.382  -0.130 -1.519  -0.155 -1.666  -0.248 -1.780  -0.273 -1.923
1c#app#app32#app3202/h  0.081 2.261  0.081 2.098  0.081 1.935  0.081 1.772  0.081 1.609  0.081 1.446  0.081 1.283  0.049 1.128  -0.024 0.982  -0.052 0.825  -0.052 0.662  -0.052 0.499  -0.077 0.342  -0.150 0.196  -0.186 0.041  -0.186 -0.122  -0.190 -0.284  -0.263 -0.430  -0.319 -0.579  -0.319 -0.742  -0.319 -0.905  -0.408 -1.032  -0.453 -1.176  -0.544 -1.301  -0.586 -1.240  -0.586 -1.077  -0.453 -1.048  -0.453 -0.885  -0.413 -0.731  -0.340 -0.585  -0.319 -0.427  -0.217 -0.306  -0.186 -0.156  -0.175 0.003  -0.059 0.118  0.056 0.233  0.081 0.386  0.238 0.392  0.348 0.340  0.348 0.176  0.348 0.013  0.348 -0.150  0.375 -0.302  0.482 -0.421  0.482 -0.584  0.553 -0.676  0.615 -0.776  0.745 -0.810  0.862 -0.922  0.882 -1.077
1c#app#app32#app3202/u  -0.906 0.633  -0.906 0.793  -0.959 0.824  -1.072 0.711  -1.150 0.583  -1.150 0.423  -1.150 0.263  -1.150 0.103  -1.150 -0.057  -1.150 -0.217  -1.118 -0.345  -0.958 -0.345  -0.906 -0.452  -0.883 -0.589  -0.723 -0.589  -0.592 -0.519  -0.478 -0.406  -0.365 -0.293  -0.252 -0.180  -0.139 -0.067  -0.026 0.046  0.072 0.166  0.072 0.326  0.169 0.389  0.316 0.401  0.316 0.561  0.316 0.721  0.316 0.881  0.316 1.041  0.316 1.043  0.316 0.883  0.316 0.723  0.316 0.563  0.316 0.403  0.316 0.243  0.316 0.083  0.316 -0.077  0.413 -0.197  0.526 -0.310  0.561 -0.456  0.587 -0.589  0.747 -0.589  0.805 -0.691  0.823 -0.833  0.983 -0.833  1.143 -0.833  1.303 -0.833  1.463 -0.833  1.623 -0.833  1.783 -0.833
1c#app#app32#app3202/m  -0.850 0.001  -0.850 -0.191  -0.863 -0.370  -1.036 -0.389  -1.036 -0.581  -1.059 -0.764  -1.195 -0.899  -1.221 -0.772  -1.108 -0.627  -1.036 -0.465  -0.967 -0.301  -0.850 -0.158  -0.850 0.034  -0.833 0.222  -0.747 0.393  -0.665 0.566  -0.650 0.742  -0.480 0.764  -0.451 0.928  -0.294 0.893  -0.294 0.701  -0.294 0.509  -0.294 0.317  -0.294 0.125  -0.294 -0.067  -0.294 -0.259  -0.237 -0.427  -0.099 -0.555  0.076 -0.538  0.100 -0.370  0.262 -0.340  0.298 -0.185  0.447 -0.142  0.447 0.050  0.487 0.226  0.622 0.361  0.632 0.549  0.816 0.557  0.823 0.742  1.003 0.731  1.003 0.539  1.021 0.354  1.156 0.218  1.189 0.040  1.189 -0.152  1.348 -0.185  1.374 -0.350  1.546 -0.370  1.559 -0.549  1.745 -0.555
1c#app#app32#app3202/a  0.203 0.568  0.018 0.568  -0.073 0.662  -0.076 0.847  -0.207 0.978  -0.338 1.109  -0.518 1.120  -0.625 1.041  -0.625 0.856  -0.748 0.721  -0.879 0.590  -0.901 0.414  -0.901 0.229  -0.901 0.043  -1.013 -0.096  -1.144 -0.227  -1.177 -0.398  -1.130 -0.536  -0.944 -0.536  -0.901 -0.678  -0.850 -0.812  -0.664 -0.812  -0.479 -0.812  -0.349 -0.757  -0.349 -0.572  -0.243 -0.430  -0.112 -0.299  0.019 -0.168  0.150 -0.037  0.203 0.126  0.203 0.311  0.203 0.497  0.284 0.649  0.415 0.780  0.479 0.749  0.479 0.564  0.479 0.378  0.479 0.193  0.479 0.008  0.479 -0.178  0.552 -0.333  0.683 -0.464  0.838 -0.536  1.023 -0.536  1.031 -0.714  1.118 -0.812  1.303 -0.812  1.489 -0.812  1.674 -0.812  1.859 -0.812
1c#app#app32#app3202/n  -0.223 0.111  -0.386 0.111  -0.550 0.111  -0.713 0.111  -0.835 0.011  -0.950 -0.105  -0.990 -0.252  -0.990 -0.415  -0.990 -0.578  -0.990 -0.742  -0.990 -0.905  -0.833 -0.912  -0.734 -0.847  -0.734 -0.684  -0.638 -0.560  -0.523 -0.444  -0.478 -0.299  -0.475 -0.137  -0.402 0.009  -0.329 0.155  -0.256 0.301  -0.223 0.457  -0.223 0.620  -0.109 0.737  0.007 0.852  0.033 1.005  0.057 1.158  0.172 1.273  0.288 1.389  0.451 1.390  0.544 1.319  0.544 1.156  0.544 0.993  0.544 0.829  0.544 0.666  0.544 0.503  0.544 0.339  0.544 0.176  0.544 0.012  0.544 -0.151  0.544 -0.314  0.544 -0.478  0.544 -0.641  0.649 -0.761  0.765 -0.876  0.800 -1.025  0.821 -1.167  0.985 -1.167  1.148 -1.167  1.311 -1.167
1c#app#app32#app3202/o  0.098 0.170  0.277 0.170  0.349 0.277  0.349 0.456  0.349 0.635  0.285 0.799  0.205 0.959  0.125 1.119  -0.020 1.173  -0.186 1.141  -0.312 1.014  -0.439 0.887  -0.565 0.761  -0.655 0.619  -0.655 0.440  -0.655 0.261  -0.717 0.107  -0.844 -0.019  -0.906 -0.172  -0.906 -0.351  -0.906 -0.531  -0.906 -0.710  -0.906 -0.889  -0.906 -1.068  -0.906 -1.247  -0.816 -1.336  -0.637 -1.336  -0.458 -1.336  -0.279 -1.336  -0.116 -1.299  0.011 -1.172  0.138 -1.046  0.264 -0.919  0.376 -0.781  0.456 -0.621  0.536 -0.461  0.600 -0.297  0.600 -0.118  0.701 0.019  0.827 0.146  0.851 0.315  0.851 0.494  0.851 0.673  0.851 0.852  0.742 0.922  0.600 0.886  0.600 0.707  0.600 0.528  0.600 0.349  0.600 0.170
