1b#tos#f2#f2034065/B  -0.286 1.353  -0.438 1.231  -0.387 0.978  -0.387 0.704  -0.387 0.429  -0.387 0.155  -0.387 -0.119  -0.387 -0.393  -0.467 -0.643  -0.489 -0.911  -0.489 -1.185  -0.476 -1.213  -0.446 -0.940  -0.417 -0.668  -0.388 -0.395  -0.359 -0.122  -0.330 0.150  -0.300 0.423  -0.271 0.696  -0.242 0.968  -0.213 1.241  -0.193 1.505  -0.387 1.387  -0.184 1.316  0.053 1.201  0.296 1.099  0.540 0.998  0.786 0.919  0.933 0.744  1.033 0.541  0.872 0.389  0.640 0.288  0.403 0.162  0.195 0.034  -0.028 -0.017  -0.201 -0.118  -0.387 -0.265  -0.139 -0.321  0.123 -0.372  0.391 -0.389  0.627 -0.485  0.780 -0.675  0.881 -0.848  0.800 -1.072  0.600 -1.184  0.387 -1.298  0.140 -1.387  -0.135 -1.387  -0.352 -1.321  -0.539 -1.184
1b#tos#f2#f2034065/D  -0.177 1.479  -0.235 1.324  -0.235 1.110  -0.235 0.897  -0.235 0.683  -0.235 0.470  -0.235 0.256  -0.235 0.043  -0.254 -0.163  -0.351 -0.336  -0.351 -0.550  -0.351 -0.763  -0.467 -0.905  -0.467 -1.119  -0.462 -0.930  -0.457 -0.717  -0.451 -0.503  -0.445 -0.290  -0.440 -0.076  -0.434 0.137  -0.428 0.350  -0.423 0.564  -0.417 0.777  -0.412 0.991  -0.541 1.073  -0.529 1.073  -0.315 1.073  -0.102 1.073  0.064 0.957  0.260 0.883  0.460 0.812  0.612 0.725  0.790 0.619  0.983 0.542  1.041 0.342  1.052 0.134  1.099 -0.060  1.099 -0.274  1.049 -0.476  0.983 -0.629  0.881 -0.798  0.675 -0.841  0.579 -0.971  0.371 -1.015  0.171 -1.073  -0.028 -1.139  -0.233 -1.189  -0.446 -1.189  -0.660 -1.189  -0.873 -1.189
1b#tos#f2#f2034065/F  -0.696 1.023  -0.790 0.905  -0.618 0.837  -0.407 0.837  -0.198 0.821  0.006 0.790  0.218 0.790  0.430 0.790  0.641 0.790  0.853 0.790  1.054 0.744  1.266 0.744  1.231 0.747  1.020 0.753  0.808 0.758  0.596 0.764  0.385 0.770  0.173 0.776  -0.039 0.781  -0.251 0.787  -0.408 0.718  -0.553 0.604  -0.556 0.396  -0.556 0.184  -0.556 -0.028  -0.556 -0.239  -0.556 -0.451  -0.556 -0.663  -0.556 -0.875  -0.536 -1.084  -0.463 -1.247  -0.417 -1.448  -0.370 -1.613  -0.326 -1.582  -0.333 -1.370  -0.339 -1.158  -0.346 -0.947  -0.352 -0.735  -0.358 -0.523  -0.365 -0.312  -0.408 -0.161  -0.407 -0.282  -0.203 -0.328  -0.001 -0.373  0.210 -0.375  0.414 -0.421  0.626 -0.421  0.838 -0.421  1.049 -0.421  1.261 -0.421
1b#tos#f2#f2034065/G  0.387 1.203  0.267 1.102  0.046 1.102  -0.170 1.077  -0.378 1.024  -0.585 0.949  -0.740 0.827  -0.930 0.722  -1.118 0.606  -1.237 0.428  -1.296 0.231  -1.440 0.069  -1.440 -0.152  -1.393 -0.362  -1.269 -0.541  -1.073 -0.623  -0.856 -0.649  -0.639 -0.674  -0.417 -0.674  -0.196 -0.674  0.025 -0.674  0.246 -0.674  0.446 -0.623  0.667 -0.623  0.552 -0.484  0.395 -0.328  0.239 -0.171  0.082 -0.015  -0.074 0.141  -0.230 0.298  -0.387 0.454  -0.423 0.391  -0.202 0.391  -0.004 0.333  0.207 0.290  0.429 0.290  0.650 0.290  0.850 0.239  1.071 0.239  1.292 0.239  1.142 0.149  0.928 0.095  0.742 0.023  0.691 -0.147  0.775 -0.343  0.792 -0.559  0.842 -0.772  0.894 -0.942  0.894 -1.163  0.945 -1.334
1b#tos#f2#f2034065/J  -0.271 1.218  -0.355 1.117  -0.328 1.008  -0.211 0.967  -0.078 0.984  0.054 1.008  0.185 1.035  0.318 1.050  0.453 1.050  0.588 1.050  0.723 1.050  0.777 1.045  0.642 1.028  0.508 1.012  0.399 0.983  0.364 0.883  0.357 0.755  0.357 0.619  0.399 0.502  0.399 0.366  0.399 0.231  0.441 0.114  0.452 -0.019  0.483 -0.147  0.483 -0.282  0.483 -0.417  0.483 -0.552  0.483 -0.688  0.483 -0.823  0.399 -0.899  0.288 -0.954  0.189 -1.043  0.079 -1.119  -0.044 -1.151  -0.172 -1.169  -0.298 -1.210  -0.433 -1.210  -0.568 -1.210  -0.661 -1.169  -0.713 -1.085  -0.773 -0.986  -0.773 -0.851  -0.773 -0.716  -0.773 -0.581  -0.773 -0.445  -0.773 -0.310  -0.773 -0.175  -0.773 -0.040  -0.699 0.046  -0.648 0.129
1b#tos#f2#f2034065/M  -0.564 1.056  -0.691 0.994  -0.649 0.848  -0.649 0.659  -0.649 0.470  -0.649 0.281  -0.649 0.092  -0.649 -0.097  -0.649 -0.286  -0.649 -0.475  -0.691 -0.657  -0.691 -0.846  -0.691 -1.035  -0.689 -1.167  -0.674 -0.979  -0.659 -0.791  -0.644 -0.602  -0.629 -0.414  -0.613 -0.226  -0.598 -0.037  -0.583 0.151  -0.568 0.340  -0.553 0.528  -0.538 0.716  -0.523 0.905  -0.606 0.848  -0.560 0.670  -0.481 0.507  -0.351 0.372  -0.262 0.244  -0.099 0.165  0.048 0.121  0.237 0.121  0.416 0.164  0.605 0.164  0.747 0.232  0.888 0.298  1.010 0.419  1.114 0.504  1.175 0.546  1.178 0.360  1.178 0.171  1.178 -0.018  1.178 -0.207  1.178 -0.396  1.178 -0.585  1.178 -0.774  1.178 -0.963  1.221 -1.109  1.263 -1.281
1b#tos#f2#f2034065/P  0.024 1.626  -0.199 1.626  -0.265 1.469  -0.265 1.246  -0.265 1.023  -0.265 0.799  -0.265 0.576  -0.265 0.353  -0.265 0.129  -0.265 -0.094  -0.265 -0.317  -0.265 -0.541  -0.265 -0.764  -0.265 -0.987  -0.265 -1.211  -0.265 -1.434  -0.217 -1.646  -0.228 -1.441  -0.240 -1.218  -0.252 -0.995  -0.263 -0.772  -0.275 -0.549  -0.287 -0.326  -0.299 -0.103  -0.310 0.120  -0.322 0.343  -0.334 0.566  -0.346 0.789  -0.357 1.012  -0.222 1.095  0.001 1.095  0.219 1.071  0.429 1.029  0.588 0.918  0.701 0.757  0.847 0.613  0.956 0.453  1.086 0.275  1.086 0.052  1.086 -0.172  0.916 -0.280  0.814 -0.464  0.614 -0.564  0.425 -0.680  0.204 -0.690  0.001 -0.738  -0.223 -0.738  -0.446 -0.738  -0.621 -0.786  -0.844 -0.786
1b#tos#f2#f2034065/S  0.784 0.757  0.870 0.822  0.784 0.887  0.707 1.006  0.565 1.023  0.463 1.101  0.312 1.101  0.162 1.101  0.011 1.101  -0.140 1.101  -0.291 1.101  -0.387 1.010  -0.529 0.972  -0.593 0.886  -0.678 0.820  -0.721 0.712  -0.721 0.562  -0.719 0.413  -0.601 0.335  -0.456 0.320  -0.338 0.241  -0.188 0.237  -0.042 0.200  0.064 0.149  0.206 0.112  0.311 0.066  0.379 -0.017  0.516 -0.050  0.622 -0.156  0.674 -0.275  0.805 -0.339  0.827 -0.481  0.827 -0.632  0.802 -0.772  0.695 -0.877  0.564 -0.925  0.447 -1.006  0.339 -1.049  0.188 -1.049  0.038 -1.049  -0.095 -1.092  -0.246 -1.092  -0.397 -1.092  -0.548 -1.092  -0.680 -1.049  -0.785 -0.985  -0.846 -0.877  -0.936 -0.816  -1.001 -0.705  -1.022 -0.662
1b#tos#f2#f2034065/U  -0.585 1.396  -0.686 1.346  -0.755 1.269  -0.839 1.234  -0.826 1.117  -0.792 1.006  -0.754 0.895  -0.754 0.775  -0.754 0.656  -0.754 0.536  -0.751 0.417  -0.712 0.307  -0.712 0.187  -0.696 0.078  -0.628 0.000  -0.628 -0.119  -0.628 -0.239  -0.570 -0.323  -0.541 -0.425  -0.480 -0.527  -0.403 -0.617  -0.350 -0.724  -0.296 -0.831  -0.205 -0.897  -0.135 -0.970  -0.071 -1.063  0.035 -1.097  0.148 -1.069  0.259 -1.027  0.359 -0.970  0.436 -0.928  0.539 -0.886  0.598 -0.801  0.633 -0.717  0.682 -0.646  0.725 -0.544  0.725 -0.425  0.789 -0.337  0.809 -0.238  0.809 -0.118  0.809 0.002  0.809 0.121  0.809 0.241  0.809 0.360  0.809 0.480  0.787 0.594  0.753 0.706  0.725 0.819  0.725 0.938  0.725 1.058
1b#tos#f2#f2034065/W  -1.021 1.134  -1.210 1.134  -1.234 0.969  -1.192 0.790  -1.102 0.630  -1.064 0.454  -1.037 0.271  -0.953 0.102  -0.936 -0.083  -0.936 -0.273  -0.839 -0.424  -0.808 -0.606  -0.746 -0.780  -0.680 -0.921  -0.542 -0.998  -0.416 -0.896  -0.288 -0.802  -0.253 -0.618  -0.211 -0.436  -0.211 -0.247  -0.087 -0.147  -0.083 0.039  -0.083 0.229  -0.083 0.418  -0.083 0.607  -0.062 0.709  0.045 0.578  0.073 0.395  0.130 0.217  0.163 0.031  0.227 -0.141  0.258 -0.321  0.275 -0.503  0.350 -0.660  0.440 -0.796  0.488 -0.955  0.642 -0.920  0.685 -0.773  0.727 -0.627  0.822 -0.477  0.898 -0.308  0.940 -0.137  0.991 0.041  1.026 0.222  1.067 0.404  1.111 0.583  1.127 0.766  1.154 0.944  1.196 1.090  1.324 1.091
1b#tos#f2#f2034065/Z  -0.782 1.063  -0.928 1.063  -1.041 0.985  -1.017 0.972  -0.871 0.972  -0.726 0.972  -0.581 0.972  -0.436 0.972  -0.290 0.972  -0.145 0.972  0.000 0.972  0.146 0.972  0.289 0.962  0.429 0.927  0.484 0.837  0.619 0.826  0.664 0.700  0.664 0.554  0.635 0.416  0.574 0.293  0.528 0.173  0.401 0.104  0.260 0.069  0.178 -0.045  0.060 -0.129  -0.050 -0.222  -0.187 -0.269  -0.310 -0.330  -0.399 -0.441  -0.529 -0.506  -0.658 -0.573  -0.779 -0.653  -0.873 -0.706  -0.876 -0.791  -0.736 -0.814  -0.596 -0.836  -0.451 -0.836  -0.305 -0.836  -0.160 -0.836  -0.015 -0.836  0.131 -0.836  0.276 -0.836  0.421 -0.836  0.563 -0.805  0.706 -0.791  0.852 -0.791  0.997 -0.791  1.142 -0.791  1.288 -0.791  1.433 -0.791
