3#apb#apb38#app3883/K  -0.054 0.694  -0.287 0.519  -0.500 0.313  -0.756 0.162  -0.834 0.232  -0.633 0.449  -0.406 0.641  -0.176 0.829  0.061 1.006  0.320 1.151  0.600 1.243  0.812 1.116  0.726 0.837  0.566 0.587  0.380 0.356  0.186 0.132  -0.027 -0.075  -0.239 -0.283  -0.452 -0.490  -0.660 -0.702  -0.863 -0.918  -1.061 -1.139  -1.267 -1.352  -1.172 -1.291  -0.958 -1.084  -0.745 -0.878  -0.531 -0.672  -0.318 -0.466  -0.104 -0.259  0.109 -0.053  0.323 0.153  0.536 0.360  0.750 0.566  0.963 0.772  1.177 0.978  1.181 1.087  0.994 0.858  0.800 0.635  0.581 0.434  0.350 0.249  0.096 0.097  -0.177 -0.016  -0.447 -0.070  -0.181 -0.194  0.049 -0.380  0.183 -0.643  0.254 -0.930  0.279 -1.226  0.273 -1.522  0.299 -1.814
3#apb#apb38#app3883/l  -1.229 -1.153  -1.098 -1.082  -0.965 -1.008  -0.839 -0.924  -0.725 -0.824  -0.611 -0.724  -0.489 -0.634  -0.366 -0.545  -0.243 -0.455  -0.125 -0.360  -0.008 -0.264  0.110 -0.168  0.219 -0.062  0.324 0.048  0.429 0.157  0.522 0.277  0.613 0.399  0.699 0.523  0.762 0.661  0.822 0.800  0.833 0.952  0.844 1.103  0.815 1.252  0.764 1.392  0.656 1.478  0.532 1.415  0.422 1.310  0.315 1.203  0.210 1.093  0.105 0.984  0.007 0.867  -0.090 0.750  -0.187 0.634  -0.251 0.497  -0.310 0.357  -0.370 0.217  -0.415 0.073  -0.444 -0.076  -0.473 -0.225  -0.493 -0.374  -0.469 -0.524  -0.445 -0.674  -0.367 -0.798  -0.265 -0.910  -0.153 -1.007  -0.008 -1.052  0.137 -1.097  0.285 -1.133  0.433 -1.167  0.581 -1.200
3#apb#apb38#app3883/e  -1.373 -0.394  -1.390 -0.551  -1.287 -0.667  -1.136 -0.667  -0.980 -0.630  -0.838 -0.555  -0.697 -0.477  -0.559 -0.395  -0.430 -0.299  -0.302 -0.202  -0.173 -0.106  -0.055 0.003  0.061 0.114  0.178 0.225  0.293 0.337  0.403 0.454  0.513 0.571  0.618 0.692  0.690 0.836  0.762 0.980  0.787 1.137  0.794 1.295  0.700 1.426  0.563 1.367  0.427 1.283  0.303 1.180  0.180 1.078  0.061 0.970  -0.030 0.837  -0.120 0.704  -0.211 0.571  -0.276 0.426  -0.327 0.274  -0.378 0.121  -0.429 -0.032  -0.436 -0.191  -0.436 -0.352  -0.436 -0.513  -0.359 -0.648  -0.264 -0.778  -0.148 -0.878  0.006 -0.925  0.160 -0.971  0.318 -0.990  0.479 -0.990  0.640 -0.990  0.799 -0.979  0.955 -0.940  1.111 -0.901  1.267 -0.862
3#apb#apb38#app3883/i  -1.477 -0.940  -1.363 -0.992  -1.245 -1.011  -1.138 -0.904  -1.031 -0.797  -0.924 -0.690  -0.821 -0.580  -0.718 -0.470  -0.613 -0.361  -0.506 -0.254  -0.399 -0.147  -0.295 -0.038  -0.191 0.072  -0.092 0.186  -0.016 0.316  0.052 0.451  0.029 0.535  -0.080 0.432  -0.174 0.314  -0.268 0.195  -0.350 0.069  -0.432 -0.058  -0.495 -0.195  -0.548 -0.336  -0.539 -0.480  -0.492 -0.623  -0.378 -0.717  -0.233 -0.760  -0.088 -0.721  0.056 -0.675  0.194 -0.615  0.332 -0.552  0.465 -0.481  0.599 -0.411  0.730 -0.335  0.857 -0.255  0.930 -0.130  0.915 0.021  0.899 0.171  0.884 0.321  0.869 0.472  0.854 0.622  0.838 0.772  0.823 0.923  0.808 1.073  0.792 1.223  0.777 1.374  0.762 1.524  0.746 1.674  0.699 1.789
3#apb#apb38#app3883/n  -1.813 -0.571  -1.735 -0.525  -1.619 -0.430  -1.499 -0.342  -1.370 -0.266  -1.241 -0.191  -1.113 -0.113  -0.986 -0.034  -0.859 0.045  -0.730 0.120  -0.600 0.193  -0.469 0.266  -0.328 0.313  -0.186 0.323  -0.149 0.220  -0.220 0.091  -0.310 -0.029  -0.404 -0.145  -0.499 -0.261  -0.605 -0.366  -0.728 -0.442  -0.699 -0.398  -0.594 -0.292  -0.486 -0.189  -0.365 -0.101  -0.244 -0.014  -0.122 0.072  0.003 0.155  0.127 0.238  0.251 0.322  0.373 0.407  0.496 0.493  0.636 0.545  0.657 0.434  0.603 0.295  0.542 0.159  0.480 0.023  0.450 -0.118  0.528 -0.240  0.672 -0.253  0.820 -0.234  0.966 -0.204  1.102 -0.144  1.236 -0.077  1.366 -0.004  1.488 0.082  1.610 0.169  1.732 0.254  1.855 0.340  1.978 0.425
3#apb#apb38#app3883/L  -0.269 1.136  -0.176 1.076  -0.042 1.111  0.087 1.165  0.207 1.236  0.325 1.311  0.440 1.390  0.553 1.472  0.642 1.524  0.596 1.392  0.554 1.258  0.514 1.125  0.475 0.990  0.440 0.855  0.405 0.720  0.370 0.584  0.334 0.450  0.297 0.315  0.260 0.180  0.223 0.045  0.181 -0.088  0.137 -0.221  0.093 -0.353  0.050 -0.486  -0.014 -0.610  -0.084 -0.731  -0.153 -0.852  -0.249 -0.952  -0.354 -1.043  -0.469 -1.123  -0.591 -1.190  -0.715 -1.254  -0.844 -1.308  -0.859 -1.191  -0.859 -1.051  -0.859 -0.911  -0.845 -0.774  -0.772 -0.665  -0.643 -0.611  -0.513 -0.562  -0.379 -0.521  -0.244 -0.484  -0.109 -0.450  0.026 -0.414  0.161 -0.378  0.295 -0.337  0.426 -0.291  0.555 -0.237  0.681 -0.181  0.714 -0.066
3#apb#apb38#app3883/u  -0.028 1.051  -0.174 1.124  -0.316 1.097  -0.397 0.956  -0.475 0.812  -0.552 0.668  -0.625 0.522  -0.692 0.373  -0.759 0.224  -0.826 0.075  -0.888 -0.076  -0.951 -0.227  -1.013 -0.378  -1.069 -0.531  -1.124 -0.685  -1.148 -0.843  -1.132 -1.005  -1.027 -1.118  -0.889 -1.038  -0.752 -0.951  -0.623 -0.850  -0.496 -0.747  -0.369 -0.644  -0.252 -0.532  -0.147 -0.406  -0.043 -0.281  0.062 -0.155  0.167 -0.030  0.272 0.095  0.377 0.220  0.482 0.345  0.579 0.476  0.667 0.613  0.756 0.750  0.848 0.885  0.942 1.019  0.894 0.964  0.852 0.807  0.814 0.648  0.777 0.489  0.762 0.326  0.747 0.164  0.732 0.001  0.723 -0.162  0.723 -0.325  0.728 -0.487  0.806 -0.631  0.885 -0.774  1.018 -0.867  1.152 -0.961
3#apb#apb38#app3883/n  -1.859 -0.571  -1.747 -0.470  -1.657 -0.348  -1.542 -0.249  -1.427 -0.150  -1.309 -0.056  -1.179 0.024  -1.049 0.103  -0.918 0.179  -0.784 0.250  -0.649 0.320  -0.514 0.390  -0.371 0.435  -0.222 0.465  -0.073 0.495  0.073 0.470  0.191 0.400  0.214 0.254  0.172 0.108  0.123 -0.035  0.040 -0.163  -0.042 -0.290  -0.134 -0.410  -0.245 -0.513  -0.357 -0.616  -0.449 -0.736  -0.498 -0.777  -0.422 -0.646  -0.351 -0.512  -0.262 -0.391  -0.155 -0.283  -0.047 -0.176  0.060 -0.069  0.183 0.021  0.307 0.107  0.432 0.194  0.557 0.281  0.680 0.370  0.803 0.458  0.926 0.547  1.065 0.607  1.206 0.644  1.242 0.509  1.253 0.357  1.266 0.206  1.291 0.058  1.360 -0.076  1.467 -0.183  1.603 -0.244  1.748 -0.292
3#apb#apb38#app3883/d  -0.310 -0.156  -0.396 -0.285  -0.524 -0.378  -0.658 -0.463  -0.791 -0.551  -0.922 -0.640  -1.042 -0.745  -1.162 -0.850  -1.220 -0.997  -1.178 -1.126  -1.019 -1.124  -0.870 -1.068  -0.725 -1.004  -0.587 -0.924  -0.453 -0.840  -0.337 -0.731  -0.222 -0.621  -0.110 -0.509  -0.007 -0.387  0.096 -0.266  0.197 -0.143  0.296 -0.019  0.395 0.106  0.486 0.236  0.577 0.367  0.659 0.502  0.715 0.651  0.772 0.799  0.823 0.950  0.844 1.107  0.865 1.265  0.885 1.423  0.864 1.546  0.769 1.425  0.679 1.294  0.597 1.157  0.521 1.018  0.444 0.878  0.368 0.738  0.299 0.595  0.229 0.452  0.160 0.309  0.090 0.166  0.048 0.013  0.006 -0.141  -0.035 -0.294  -0.067 -0.448  -0.042 -0.605  -0.017 -0.762  0.009 -0.919
3#apb#apb38#app3883/M  -0.423 0.883  -0.601 0.598  -0.797 0.323  -1.011 0.064  -1.283 -0.069  -1.139 0.227  -0.916 0.479  -0.667 0.706  -0.394 0.904  -0.106 0.930  -0.066 0.610  -0.132 0.280  -0.249 -0.037  -0.376 -0.349  -0.512 -0.658  -0.726 -0.918  -0.956 -1.165  -1.211 -1.383  -1.112 -1.121  -0.899 -0.860  -0.694 -0.592  -0.494 -0.321  -0.294 -0.049  -0.080 0.211  0.138 0.468  0.383 0.700  0.644 0.912  0.806 0.848  0.684 0.537  0.532 0.235  0.372 -0.061  0.216 -0.360  0.062 -0.661  -0.145 -0.925  -0.268 -0.860  -0.113 -0.562  0.070 -0.279  0.263 -0.002  0.464 0.269  0.668 0.537  0.906 0.776  1.171 0.976  1.436 0.954  1.340 0.631  1.224 0.314  1.095 0.002  0.966 -0.309  0.855 -0.628  0.745 -0.946  0.624 -1.261
3#apb#apb38#app3883/a  0.764 0.869  0.657 0.987  0.507 1.048  0.349 1.017  0.193 0.977  0.041 0.921  -0.107 0.857  -0.252 0.785  -0.396 0.712  -0.526 0.617  -0.657 0.521  -0.784 0.423  -0.876 0.289  -0.968 0.156  -1.059 0.023  -1.129 -0.123  -1.198 -0.269  -1.267 -0.415  -1.292 -0.571  -1.292 -0.733  -1.183 -0.846  -1.062 -0.953  -0.901 -0.955  -0.740 -0.955  -0.598 -0.888  -0.462 -0.800  -0.326 -0.713  -0.200 -0.612  -0.083 -0.501  0.035 -0.390  0.152 -0.279  0.257 -0.157  0.354 -0.028  0.451 0.102  0.548 0.231  0.642 0.363  0.734 0.495  0.820 0.631  0.841 0.639  0.841 0.477  0.831 0.317  0.792 0.160  0.753 0.003  0.745 -0.156  0.757 -0.318  0.799 -0.468  0.901 -0.589  1.041 -0.670  1.198 -0.635  1.354 -0.595
3#apb#apb38#app3883/c  0.930 1.293  0.940 1.313  0.846 1.302  0.753 1.290  0.667 1.251  0.581 1.211  0.496 1.171  0.413 1.127  0.335 1.074  0.257 1.020  0.179 0.967  0.101 0.913  0.029 0.854  -0.030 0.780  -0.090 0.707  -0.149 0.634  -0.208 0.560  -0.268 0.487  -0.327 0.413  -0.384 0.338  -0.433 0.257  -0.482 0.177  -0.531 0.096  -0.580 0.015  -0.629 -0.065  -0.678 -0.146  -0.714 -0.230  -0.714 -0.325  -0.714 -0.419  -0.714 -0.514  -0.714 -0.608  -0.688 -0.689  -0.611 -0.744  -0.534 -0.799  -0.457 -0.854  -0.380 -0.909  -0.289 -0.923  -0.195 -0.930  -0.100 -0.938  -0.006 -0.946  0.088 -0.954  0.182 -0.962  0.276 -0.957  0.369 -0.944  0.463 -0.931  0.556 -0.918  0.650 -0.905  0.743 -0.893  0.837 -0.880  0.930 -0.867
3#apb#apb38#app3883/D  0.326 1.018  0.309 0.835  0.259 0.634  0.188 0.439  0.111 0.247  0.028 0.057  -0.056 -0.132  -0.147 -0.319  -0.243 -0.502  -0.356 -0.674  -0.493 -0.830  -0.644 -0.971  -0.806 -1.100  -0.985 -1.203  -1.169 -1.217  -1.065 -1.040  -0.927 -0.886  -0.778 -0.742  -0.615 -0.614  -0.434 -0.520  -0.232 -0.506  -0.056 -0.598  0.070 -0.760  0.211 -0.912  0.383 -1.011  0.564 -0.916  0.681 -0.747  0.787 -0.569  0.865 -0.377  0.916 -0.177  0.931 0.030  0.922 0.237  0.905 0.443  0.874 0.648  0.836 0.852  0.793 1.055  0.697 1.238  0.547 1.377  0.353 1.399  0.154 1.352  -0.033 1.264  -0.209 1.154  -0.364 1.021  -0.481 0.851  -0.556 0.658  -0.583 0.458  -0.555 0.253  -0.457 0.073  -0.318 -0.075  -0.148 -0.193
