2#apb#apb15#app1533/C  0.934 0.757  0.918 0.841  0.902 0.939  0.893 1.035  0.819 1.102  0.728 1.137  0.628 1.137  0.530 1.128  0.436 1.094  0.342 1.059  0.249 1.023  0.168 0.964  0.087 0.905  0.006 0.846  -0.075 0.788  -0.151 0.722  -0.225 0.655  -0.299 0.588  -0.373 0.520  -0.447 0.452  -0.507 0.372  -0.567 0.292  -0.627 0.212  -0.685 0.131  -0.722 0.038  -0.759 -0.055  -0.796 -0.148  -0.804 -0.246  -0.799 -0.346  -0.794 -0.446  -0.762 -0.537  -0.706 -0.619  -0.649 -0.702  -0.578 -0.769  -0.491 -0.817  -0.403 -0.865  -0.315 -0.913  -0.218 -0.935  -0.119 -0.951  -0.021 -0.968  0.078 -0.984  0.178 -0.980  0.278 -0.976  0.378 -0.972  0.478 -0.966  0.577 -0.950  0.676 -0.934  0.774 -0.917  0.870 -0.887  0.965 -0.858
2#apb#apb15#app1533/a  0.572 0.208  0.667 0.341  0.766 0.472  0.871 0.598  0.970 0.729  0.932 0.876  0.840 1.003  0.694 1.069  0.530 1.069  0.367 1.058  0.205 1.035  0.042 1.011  -0.108 0.949  -0.252 0.872  -0.397 0.795  -0.536 0.708  -0.666 0.608  -0.796 0.508  -0.921 0.403  -1.032 0.281  -1.142 0.160  -1.224 0.024  -1.251 -0.137  -1.278 -0.299  -1.232 -0.457  -1.185 -0.614  -1.066 -0.724  -0.942 -0.832  -0.787 -0.880  -0.628 -0.920  -0.468 -0.926  -0.306 -0.896  -0.145 -0.866  0.012 -0.822  0.158 -0.749  0.305 -0.675  0.416 -0.560  0.511 -0.426  0.592 -0.283  0.635 -0.131  0.635 0.033  0.635 0.198  0.569 0.069  0.534 -0.092  0.517 -0.252  0.549 -0.413  0.587 -0.572  0.643 -0.726  0.751 -0.849  0.859 -0.973
2#apb#apb15#app1533/l  0.106 1.695  0.093 1.627  0.079 1.559  0.065 1.491  0.057 1.421  0.049 1.352  0.041 1.283  0.033 1.214  0.025 1.145  0.020 1.076  0.014 1.006  0.009 0.937  0.004 0.868  -0.002 0.798  -0.007 0.729  -0.012 0.660  -0.016 0.590  -0.016 0.521  -0.016 0.451  -0.016 0.381  -0.016 0.312  -0.016 0.242  -0.016 0.173  -0.016 0.103  -0.016 0.034  -0.017 -0.036  -0.020 -0.106  -0.022 -0.175  -0.025 -0.245  -0.028 -0.314  -0.030 -0.384  -0.033 -0.453  -0.035 -0.523  -0.034 -0.592  -0.031 -0.662  -0.028 -0.731  -0.025 -0.801  -0.022 -0.870  -0.019 -0.940  -0.016 -1.009  -0.016 -1.079  -0.016 -1.148  -0.016 -1.218  -0.016 -1.287  -0.014 -1.357  -0.007 -1.426  -0.001 -1.495  0.005 -1.565  0.005 -1.634  0.025 -1.618
2#apb#apb15#app1533/l  0.007 1.695  0.012 1.626  0.024 1.558  0.037 1.490  0.049 1.421  0.049 1.352  0.046 1.283  0.043 1.213  0.040 1.144  0.037 1.075  0.034 1.005  0.031 0.936  0.028 0.867  0.026 0.797  0.024 0.728  0.022 0.658  0.019 0.589  0.017 0.520  0.015 0.450  0.013 0.381  0.011 0.311  0.009 0.242  0.005 0.173  0.000 0.103  -0.005 0.034  -0.010 -0.035  -0.015 -0.104  -0.019 -0.174  -0.024 -0.243  -0.029 -0.312  -0.034 -0.381  -0.037 -0.451  -0.037 -0.520  -0.037 -0.590  -0.037 -0.659  -0.037 -0.728  -0.037 -0.798  -0.037 -0.867  -0.037 -0.937  -0.037 -1.006  -0.037 -1.076  -0.037 -1.145  -0.037 -1.215  -0.037 -1.284  -0.037 -1.353  -0.030 -1.422  -0.010 -1.488  0.010 -1.555  0.031 -1.621  0.051 -1.687
2#apb#apb15#app1533/J  0.324 0.664  0.370 0.779  0.371 0.639  0.355 0.494  0.342 0.349  0.331 0.203  0.321 0.057  0.311 -0.089  0.311 -0.235  0.311 -0.381  0.307 -0.527  0.301 -0.673  0.279 -0.817  0.235 -0.953  0.139 -1.058  0.007 -1.120  -0.135 -1.149  -0.280 -1.169  -0.426 -1.169  -0.570 -1.160  -0.705 -1.104  -0.833 -1.034  -0.954 -0.953  -1.048 -0.841  -1.058 -0.719  -0.996 -0.587  -0.934 -0.454  -0.872 -0.322  -0.810 -0.190  -0.747 -0.058  -0.685 0.074  -0.623 0.206  -0.561 0.339  -0.499 0.471  -0.436 0.603  -0.400 0.731  -0.307 0.752  -0.162 0.772  -0.017 0.791  0.129 0.796  0.275 0.801  0.421 0.807  0.566 0.812  0.712 0.814  0.858 0.809  1.004 0.804  1.150 0.803  1.296 0.803  1.442 0.798  1.588 0.790
2#apb#apb15#app1533/o  0.104 1.046  -0.019 1.005  -0.125 0.937  -0.217 0.845  -0.310 0.755  -0.407 0.669  -0.503 0.583  -0.588 0.486  -0.656 0.376  -0.724 0.265  -0.792 0.155  -0.848 0.038  -0.902 -0.080  -0.956 -0.198  -0.991 -0.321  -1.011 -0.449  -1.031 -0.577  -1.008 -0.698  -0.944 -0.810  -0.854 -0.901  -0.751 -0.979  -0.640 -1.025  -0.512 -1.001  -0.385 -0.977  -0.257 -0.953  -0.133 -0.917  -0.012 -0.870  0.108 -0.823  0.229 -0.776  0.349 -0.728  0.455 -0.653  0.560 -0.578  0.666 -0.502  0.770 -0.426  0.848 -0.322  0.926 -0.218  1.004 -0.114  1.038 0.004  1.038 0.133  1.038 0.263  0.984 0.381  0.929 0.498  0.875 0.616  0.801 0.721  0.717 0.820  0.633 0.919  0.550 1.018  0.438 1.078  0.317 1.122  0.195 1.166
2#apb#apb15#app1533/h  -0.401 2.004  -0.358 1.887  -0.324 1.768  -0.317 1.643  -0.310 1.519  -0.308 1.394  -0.312 1.269  -0.317 1.145  -0.321 1.020  -0.326 0.896  -0.338 0.772  -0.351 0.648  -0.363 0.523  -0.375 0.399  -0.390 0.276  -0.406 0.152  -0.423 0.028  -0.439 -0.095  -0.456 -0.219  -0.467 -0.343  -0.477 -0.467  -0.487 -0.592  -0.496 -0.716  -0.496 -0.841  -0.496 -0.965  -0.477 -1.088  -0.411 -1.030  -0.325 -0.939  -0.237 -0.851  -0.149 -0.763  -0.063 -0.672  0.022 -0.581  0.108 -0.491  0.192 -0.399  0.274 -0.305  0.356 -0.211  0.439 -0.118  0.531 -0.034  0.624 0.050  0.738 0.080  0.787 -0.016  0.799 -0.140  0.808 -0.265  0.814 -0.389  0.814 -0.514  0.814 -0.638  0.814 -0.763  0.814 -0.888  0.814 -1.013  0.852 -1.128
2#apb#apb15#app1533/n  -0.755 1.024  -0.812 0.882  -0.868 0.741  -0.888 0.592  -0.888 0.440  -0.888 0.287  -0.888 0.135  -0.888 -0.018  -0.888 -0.170  -0.888 -0.323  -0.888 -0.475  -0.870 -0.626  -0.840 -0.776  -0.800 -0.922  -0.755 -1.066  -0.755 -1.117  -0.698 -0.982  -0.615 -0.854  -0.547 -0.718  -0.478 -0.581  -0.410 -0.445  -0.325 -0.319  -0.232 -0.198  -0.140 -0.077  -0.047 0.044  0.045 0.165  0.128 0.293  0.211 0.421  0.295 0.549  0.378 0.677  0.461 0.805  0.548 0.930  0.635 1.055  0.735 1.157  0.839 1.109  0.839 0.956  0.839 0.804  0.839 0.651  0.839 0.499  0.839 0.346  0.839 0.194  0.839 0.041  0.839 -0.111  0.839 -0.264  0.853 -0.415  0.872 -0.567  0.891 -0.718  0.899 -0.869  0.869 -1.018  0.839 -1.168
2#apb#apb15#app1533/t  0.574 1.562  0.533 1.533  0.491 1.371  0.446 1.209  0.413 1.044  0.387 0.878  0.360 0.712  0.336 0.546  0.315 0.379  0.293 0.212  0.272 0.046  0.253 -0.121  0.234 -0.289  0.215 -0.456  0.192 -0.622  0.164 -0.788  0.135 -0.953  0.113 -1.120  0.095 -1.287  0.071 -1.453  0.041 -1.618  0.003 -1.616  -0.070 -1.465  -0.142 -1.313  -0.215 -1.161  -0.287 -1.009  -0.359 -0.858  -0.432 -0.706  -0.504 -0.554  -0.576 -0.402  -0.649 -0.251  -0.721 -0.099  -0.794 0.053  -0.866 0.205  -0.938 0.356  -1.011 0.508  -0.976 0.545  -0.808 0.537  -0.640 0.537  -0.472 0.537  -0.304 0.537  -0.136 0.537  0.032 0.537  0.200 0.537  0.368 0.537  0.537 0.537  0.705 0.537  0.873 0.537  1.041 0.537  1.209 0.537
2#apb#apb15#app1533/o  -0.438 0.884  -0.556 0.860  -0.638 0.758  -0.709 0.650  -0.774 0.537  -0.824 0.417  -0.862 0.293  -0.899 0.168  -0.925 0.040  -0.948 -0.088  -0.971 -0.216  -0.914 -0.333  -0.855 -0.449  -0.797 -0.566  -0.724 -0.672  -0.638 -0.770  -0.552 -0.868  -0.435 -0.919  -0.311 -0.960  -0.185 -0.985  -0.055 -0.985  0.075 -0.985  0.206 -0.985  0.333 -0.966  0.459 -0.931  0.585 -0.897  0.692 -0.829  0.790 -0.743  0.887 -0.656  0.953 -0.549  0.994 -0.426  1.036 -0.302  1.049 -0.179  1.002 -0.058  0.956 0.064  0.909 0.186  0.843 0.297  0.771 0.406  0.698 0.514  0.626 0.622  0.548 0.724  0.432 0.783  0.315 0.841  0.199 0.899  0.082 0.957  -0.034 1.016  -0.160 1.050  -0.286 1.083  -0.412 1.117  -0.538 1.150
2#apb#apb15#app1533/r  -0.545 0.087  -0.546 0.134  -0.501 0.050  -0.473 -0.057  -0.441 -0.163  -0.408 -0.269  -0.380 -0.376  -0.368 -0.486  -0.356 -0.597  -0.345 -0.707  -0.331 -0.817  -0.310 -0.926  -0.289 -1.035  -0.289 -1.146  -0.289 -1.257  -0.289 -1.368  -0.305 -1.330  -0.329 -1.222  -0.348 -1.112  -0.365 -1.003  -0.381 -0.893  -0.382 -0.782  -0.382 -0.671  -0.382 -0.560  -0.371 -0.451  -0.344 -0.343  -0.317 -0.235  -0.290 -0.128  -0.263 -0.020  -0.232 0.086  -0.184 0.186  -0.137 0.287  -0.089 0.387  -0.042 0.487  0.027 0.573  0.102 0.656  0.176 0.738  0.258 0.812  0.341 0.887  0.426 0.957  0.526 1.003  0.627 1.050  0.728 1.097  0.832 1.133  0.939 1.164  1.046 1.194  1.154 1.217  1.263 1.237  1.372 1.256  1.482 1.275
