1d#tos#t3#t3036066/\"  -0.509 1.011  -0.659 1.011  -0.809 1.011  -0.872 0.924  -0.872 0.774  -0.872 0.624  -0.872 0.474  -0.872 0.325  -0.872 0.175  -0.872 0.025  -0.872 -0.125  -0.872 -0.275  -0.872 -0.425  -0.872 -0.575  -0.872 -0.725  -0.872 -0.875  -0.848 -0.958  -0.754 -0.842  -0.659 -0.726  -0.564 -0.610  -0.469 -0.494  -0.374 -0.378  -0.279 -0.262  -0.184 -0.146  -0.089 -0.030  0.006 0.086  0.101 0.203  0.196 0.319  0.291 0.435  0.386 0.551  0.481 0.667  0.576 0.783  0.671 0.899  0.762 1.006  0.762 0.856  0.762 0.706  0.762 0.556  0.762 0.406  0.775 0.259  0.842 0.125  0.909 -0.009  0.944 -0.151  0.944 -0.301  0.944 -0.451  0.944 -0.601  0.944 -0.751  0.944 -0.900  0.944 -1.050  0.944 -1.200  0.944 -1.350
1d#tos#t3#t3036066/#  -1.005 0.413  -1.159 0.211  -0.709 0.211  -0.258 0.211  0.193 0.211  0.643 0.211  1.011 0.294  1.415 0.341  1.281 0.502  0.855 0.354  0.430 0.206  0.004 0.058  -0.421 -0.090  -0.847 -0.238  -1.288 -0.293  -1.178 -0.595  -0.803 -0.520  -0.378 -0.495  0.073 -0.495  0.524 -0.495  0.974 -0.495  1.324 -0.394  1.168 -0.132  0.858 0.196  0.549 0.523  0.239 0.851  -0.070 1.178  -0.416 1.421  -0.602 1.156  -0.602 0.705  -0.602 0.254  -0.602 -0.196  -0.602 -0.647  -0.703 -0.997  -0.703 -1.447  -0.558 -1.135  -0.393 -0.716  -0.228 -0.296  -0.064 0.123  0.101 0.543  0.266 0.962  0.340 1.320  0.205 1.207  0.205 0.756  0.205 0.305  0.205 -0.145  0.205 -0.596  0.205 -1.047  0.306 -1.455  0.407 -1.805
1d#tos#t3#t3036066/$  0.748 0.644  0.485 0.644  0.222 0.644  -0.041 0.644  -0.304 0.644  -0.525 0.525  -0.604 0.311  -0.406 0.246  -0.222 0.167  0.041 0.167  0.145 0.008  0.351 -0.050  0.568 -0.130  0.669 -0.305  0.828 -0.470  0.828 -0.732  0.828 -0.996  0.748 -1.179  0.492 -1.186  0.229 -1.186  -0.001 -1.265  -0.264 -1.265  -0.448 -1.186  -0.684 -1.159  -0.634 -0.902  -0.572 -0.646  -0.510 -0.390  -0.448 -0.135  -0.385 0.121  -0.323 0.377  -0.261 0.632  -0.199 0.888  -0.137 1.144  -0.074 1.399  -0.012 1.655  -0.043 1.838  -0.107 1.679  -0.047 1.475  -0.047 1.212  -0.047 0.949  -0.047 0.686  -0.047 0.423  0.032 0.178  0.032 -0.085  0.032 -0.348  0.032 -0.611  0.032 -0.874  0.032 -1.137  0.032 -1.400  0.032 -1.663
1d#tos#t3#t3036066/&  1.159 0.382  0.918 0.302  0.827 0.137  0.669 0.041  0.645 -0.189  0.473 -0.270  0.382 -0.433  0.262 -0.568  0.099 -0.659  0.017 -0.831  -0.111 -1.004  -0.227 -1.142  -0.456 -1.167  -0.629 -1.086  -0.638 -0.841  -0.811 -0.760  -0.873 -0.576  -0.798 -0.334  -0.771 -0.107  -0.598 -0.026  -0.496 0.170  -0.272 0.219  -0.195 0.414  -0.018 0.556  0.099 0.720  0.201 0.871  0.183 1.032  0.017 1.122  -0.161 1.197  -0.252 1.360  -0.496 1.385  -0.727 1.442  -0.880 1.341  -0.867 1.090  -0.727 0.882  -0.605 0.678  -0.536 0.463  -0.445 0.300  -0.227 0.264  -0.100 0.137  -0.064 -0.081  0.099 -0.172  0.269 -0.352  0.436 -0.445  0.628 -0.597  0.833 -0.693  0.939 -0.841  1.114 -0.996  1.312 -1.086  1.403 -1.249
1d#tos#t3#t3036066/'  0.643 1.364  0.540 1.364  0.436 1.364  0.333 1.364  0.229 1.364  0.160 1.330  0.160 1.226  0.160 1.123  0.160 1.019  0.160 0.916  0.160 0.812  0.160 0.709  0.160 0.605  0.160 0.502  0.160 0.398  0.057 0.398  -0.047 0.398  -0.150 0.398  -0.254 0.398  -0.288 0.398  -0.185 0.398  -0.081 0.398  -0.185 0.398  -0.288 0.398  -0.254 0.398  -0.150 0.398  -0.081 0.364  -0.081 0.260  -0.081 0.157  -0.081 0.053  -0.081 -0.050  -0.081 -0.154  -0.081 -0.257  -0.081 -0.361  -0.081 -0.464  -0.081 -0.568  -0.081 -0.671  -0.081 -0.775  -0.081 -0.878  -0.081 -0.982  -0.081 -1.085  -0.081 -1.189  -0.081 -1.292  -0.081 -1.396  -0.081 -1.499  -0.081 -1.603  -0.081 -1.706  -0.081 -1.810  -0.081 -1.913  -0.081 -2.017
1d#tos#t3#t3036066/(  0.500 1.441  0.417 1.414  0.334 1.386  0.252 1.359  0.165 1.357  0.080 1.355  0.080 1.268  0.080 1.181  0.068 1.105  -0.019 1.105  -0.088 1.088  -0.088 1.001  -0.088 0.914  -0.115 0.853  -0.172 0.823  -0.172 0.736  -0.172 0.649  -0.212 0.601  -0.256 0.559  -0.256 0.472  -0.256 0.385  -0.256 0.298  -0.256 0.211  -0.256 0.123  -0.256 0.036  -0.256 -0.051  -0.256 -0.138  -0.256 -0.225  -0.256 -0.312  -0.256 -0.399  -0.256 -0.486  -0.174 -0.491  -0.172 -0.577  -0.169 -0.662  -0.107 -0.724  -0.062 -0.797  -0.023 -0.875  0.042 -0.911  0.080 -0.961  0.080 -1.048  0.080 -1.135  0.139 -1.163  0.164 -1.225  0.229 -1.247  0.316 -1.247  0.332 -1.318  0.406 -1.331  0.416 -1.409  0.416 -1.496  0.500 -1.499
1d#tos#t3#t3036066/+  -1.358 -0.005  -1.496 -0.052  -1.496 -0.236  -1.356 -0.281  -1.171 -0.281  -0.986 -0.281  -0.802 -0.281  -0.617 -0.281  -0.432 -0.281  -0.247 -0.281  -0.063 -0.281  0.092 -0.210  0.250 -0.143  0.434 -0.143  0.619 -0.143  0.804 -0.143  0.989 -0.143  1.125 -0.094  1.070 0.073  0.964 0.224  0.858 0.376  0.752 0.527  0.646 0.678  0.540 0.830  0.434 0.981  0.328 1.132  0.223 1.284  0.085 1.374  -0.100 1.374  -0.255 1.345  -0.255 1.160  -0.255 0.975  -0.255 0.790  -0.255 0.606  -0.129 0.547  -0.117 0.374  -0.117 0.189  -0.117 0.005  -0.117 -0.180  -0.033 -0.281  0.021 -0.412  0.021 -0.596  0.107 -0.695  0.159 -0.828  0.159 -1.012  0.159 -1.197  0.295 -1.246  0.297 -1.429  0.297 -1.613  0.297 -1.798
1d#tos#t3#t3036066/,  0.180 1.474  0.090 1.429  0.000 1.384  -0.089 1.339  -0.179 1.294  -0.271 1.257  -0.371 1.257  -0.471 1.257  -0.472 1.157  -0.472 1.056  -0.472 0.956  -0.472 0.855  -0.472 0.755  -0.472 0.655  -0.420 0.605  -0.320 0.605  -0.220 0.605  -0.119 0.605  -0.037 0.587  -0.037 0.487  -0.036 0.387  0.035 0.316  0.106 0.245  0.177 0.174  0.180 0.075  0.180 -0.026  0.260 -0.046  0.360 -0.046  0.397 -0.110  0.397 -0.210  0.397 -0.310  0.397 -0.411  0.397 -0.511  0.397 -0.612  0.397 -0.712  0.397 -0.812  0.397 -0.913  0.299 -0.915  0.198 -0.915  0.098 -0.915  -0.002 -0.915  -0.037 -0.980  -0.037 -1.081  -0.037 -1.181  -0.037 -1.282  -0.037 -1.382  -0.037 -1.482  -0.037 -1.583  -0.037 -1.683  -0.037 -1.783
1d#tos#t3#t3036066/  -1.169 0.212  -1.245 0.212  -1.315 0.198  -1.368 0.144  -1.422 0.090  -1.431 0.018  -1.422 -0.050  -1.346 -0.050  -1.271 -0.050  -1.195 -0.050  -1.119 -0.050  -1.043 -0.050  -0.967 -0.050  -0.891 -0.050  -0.815 -0.050  -0.739 -0.050  -0.663 -0.050  -0.587 -0.050  -0.511 -0.050  -0.435 -0.050  -0.359 -0.050  -0.283 -0.050  -0.207 -0.050  -0.131 -0.050  -0.055 -0.050  0.021 -0.050  0.096 -0.050  0.172 -0.050  0.248 -0.050  0.324 -0.050  0.400 -0.050  0.476 -0.050  0.552 -0.050  0.628 -0.050  0.704 -0.050  0.780 -0.050  0.856 -0.050  0.932 -0.050  1.008 -0.050  1.057 -0.023  1.057 0.053  1.105 0.081  1.181 0.081  1.257 0.081  1.333 0.081  1.408 0.081  1.484 0.081  1.560 0.081  1.636 0.081  1.712 0.081
1d#tos#t3#t3036066/.  -1.266 0.582  -1.266 0.260  -1.078 0.127  -0.811 0.072  -0.811 -0.250  -0.568 -0.328  -0.466 -0.328  -0.788 -0.328  -1.109 -0.328  -1.266 -0.163  -1.266 0.158  -1.266 0.480  -1.046 0.582  -0.811 0.496  -0.811 0.174  -0.811 -0.148  -0.670 -0.328  -0.356 -0.336  -0.356 -0.658  -0.233 -0.630  -0.032 -0.379  0.169 -0.127  0.370 0.124  0.571 0.375  0.772 0.626  0.973 0.878  1.174 1.129  1.375 1.380  1.306 1.413  1.018 1.269  0.730 1.125  0.554 0.912  0.554 0.590  0.554 0.268  0.554 -0.053  0.554 -0.375  0.554 -0.697  0.790 -0.783  1.009 -0.681  1.009 -0.360  0.719 -0.328  0.397 -0.328  0.099 -0.352  0.099 -0.673  0.099 -0.572  0.099 -0.407  0.099 -0.728  0.366 -0.783  0.421 -0.783  0.099 -0.783
1d#tos#t3#t3036066/;  0.065 1.314  -0.009 1.160  -0.009 0.975  -0.087 0.868  -0.044 0.868  -0.011 0.719  -0.158 0.757  -0.158 0.794  -0.110 0.616  -0.061 0.437  -0.012 0.259  0.036 0.081  0.085 -0.098  0.134 -0.276  0.182 -0.455  0.231 -0.633  0.280 -0.811  0.135 -0.842  0.065 -0.957  0.065 -1.142  0.065 -1.327  0.065 -1.512  -0.018 -1.677  -0.084 -1.846  -0.082 -1.883  -0.078 -1.698  -0.074 -1.513  -0.070 -1.328  -0.066 -1.143  -0.062 -0.959  -0.057 -0.774  -0.053 -0.589  -0.049 -0.404  -0.045 -0.219  -0.041 -0.034  -0.037 0.151  -0.033 0.335  -0.029 0.520  -0.025 0.705  -0.020 0.890  -0.016 1.075  -0.012 1.260  -0.027 1.335  -0.084 1.160  -0.084 0.975  -0.009 0.872  0.065 0.982  0.065 1.015  0.139 0.981  0.139 1.017
