1d#tos#t2#t2024062/!  0.658 1.568  0.658 1.496  0.614 1.439  0.569 1.382  0.524 1.326  0.509 1.259  0.509 1.187  0.506 1.115  0.470 1.053  0.434 0.990  0.398 0.927  0.362 0.865  0.320 0.806  0.276 0.749  0.243 0.686  0.229 0.615  0.215 0.545  0.184 0.480  0.147 0.418  0.110 0.356  0.099 0.287  0.077 0.220  0.045 0.155  0.012 0.091  -0.024 0.029  -0.075 -0.022  -0.087 -0.089  -0.087 -0.161  -0.093 -0.232  -0.125 -0.297  -0.158 -0.362  -0.207 -0.414  -0.236 -0.474  -0.236 -0.546  -0.293 -0.584  -0.327 -0.642  -0.350 -0.711  -0.373 -0.779  -0.396 -0.848  -0.419 -0.916  -0.441 -0.985  -0.460 -1.054  -0.465 -1.125  -0.497 -1.190  -0.497 -1.262  -0.497 -1.334  -0.483 -1.403  -0.460 -1.470  -0.460 -1.542  -0.423 -1.599
1d#tos#t2#t2024062/\"  -0.790 1.318  -0.790 1.176  -0.790 1.033  -0.790 0.891  -0.790 0.748  -0.790 0.606  -0.790 0.464  -0.790 0.321  -0.790 0.179  -0.790 0.036  -0.790 -0.106  -0.790 -0.249  -0.790 -0.391  -0.790 -0.534  -0.790 -0.676  -0.790 -0.818  -0.790 -0.961  -0.790 -1.103  -0.731 -1.221  -0.636 -1.158  -0.542 -1.050  -0.449 -0.943  -0.356 -0.835  -0.262 -0.728  -0.169 -0.620  -0.075 -0.513  0.018 -0.405  0.112 -0.298  0.205 -0.190  0.299 -0.083  0.392 0.025  0.486 0.132  0.579 0.240  0.673 0.347  0.766 0.455  0.860 0.562  0.891 0.693  0.891 0.835  0.831 0.918  0.891 0.876  0.891 0.734  0.891 0.591  0.891 0.449  0.891 0.306  0.902 0.166  0.947 0.030  0.992 -0.105  1.037 -0.240  1.051 -0.380  1.051 -0.522
1d#tos#t2#t2024062/#  -1.072 0.426  -1.430 0.426  -1.027 0.475  -0.622 0.573  -0.199 0.573  0.219 0.622  0.643 0.622  1.054 0.671  0.716 0.495  0.335 0.310  -0.045 0.125  -0.426 -0.060  -0.751 -0.291  -1.078 -0.470  -1.400 -0.599  -1.206 -0.643  -0.800 -0.550  -0.407 -0.452  0.006 -0.417  0.405 -0.300  0.806 -0.208  1.189 -0.111  0.990 0.080  0.639 0.318  0.289 0.555  -0.061 0.793  -0.349 1.012  -0.584 1.270  -0.535 0.929  -0.452 0.520  -0.423 0.100  -0.388 -0.320  -0.388 -0.744  -0.388 -1.167  -0.388 -1.590  -0.237 -1.664  -0.099 -1.264  0.039 -0.864  0.178 -0.464  0.316 -0.064  0.454 0.336  0.592 0.736  0.637 1.152  0.584 1.114  0.686 0.718  0.731 0.299  0.784 -0.120  0.784 -0.543  0.798 -0.965  0.881 -1.380
1d#tos#t2#t2024062/$  0.005 1.513  -0.040 1.407  -0.030 1.244  -0.030 1.071  -0.030 0.898  0.085 0.841  0.258 0.841  0.431 0.841  0.604 0.841  0.642 0.706  0.536 0.787  0.396 0.839  0.245 0.912  0.073 0.912  -0.100 0.912  -0.269 0.896  -0.417 0.807  -0.550 0.711  -0.679 0.650  -0.776 0.539  -0.808 0.386  -0.808 0.214  -0.721 0.108  -0.657 -0.008  -0.497 -0.050  -0.333 -0.078  -0.168 -0.114  0.004 -0.114  0.177 -0.114  0.345 -0.144  0.513 -0.179  0.677 -0.193  0.783 -0.260  0.806 -0.429  0.854 -0.564  0.783 -0.707  0.704 -0.838  0.571 -0.890  0.513 -1.027  0.355 -1.095  0.196 -1.139  0.023 -1.139  -0.150 -1.139  -0.322 -1.139  -0.460 -1.104  -0.524 -0.998  -0.525 -1.101  -0.525 -1.274  -0.561 -1.441  -0.596 -1.599
1d#tos#t2#t2024062/%  -0.562 0.694  -0.632 0.851  -0.788 0.695  -0.852 0.501  -0.867 0.305  -0.654 0.275  -0.428 0.308  -0.273 0.468  -0.305 0.668  -0.451 0.791  -0.663 0.855  -0.686 0.889  -0.466 0.962  -0.246 1.035  -0.026 1.109  0.194 1.182  0.413 1.255  0.633 1.329  0.565 1.232  0.461 1.077  0.376 0.883  0.324 0.669  0.182 0.486  0.094 0.275  -0.022 0.081  -0.154 -0.110  -0.268 -0.310  -0.399 -0.495  -0.535 -0.682  -0.641 -0.888  -0.691 -1.110  -0.691 -1.342  -0.577 -1.346  -0.391 -1.208  -0.205 -1.069  -0.020 -0.931  0.166 -0.793  0.352 -0.654  0.538 -0.516  0.724 -0.377  0.758 -0.368  0.598 -0.527  0.500 -0.707  0.436 -0.899  0.541 -1.045  0.771 -1.038  0.951 -0.916  1.015 -0.703  1.015 -0.472  0.887 -0.369
1d#tos#t2#t2024062/&  0.461 -1.225  0.345 -1.370  0.183 -1.225  0.020 -1.082  -0.137 -0.925  -0.248 -0.736  -0.325 -0.528  -0.368 -0.311  -0.431 -0.104  -0.431 0.118  -0.431 0.340  -0.412 0.561  -0.376 0.780  -0.336 0.998  -0.221 1.178  -0.086 1.350  0.078 1.497  0.288 1.569  0.503 1.599  0.669 1.528  0.721 1.321  0.721 1.099  0.637 0.897  0.499 0.724  0.350 0.559  0.191 0.405  0.015 0.280  -0.123 0.127  -0.328 0.046  -0.535 -0.032  -0.743 -0.105  -0.885 -0.266  -1.047 -0.402  -1.138 -0.599  -1.096 -0.779  -0.907 -0.861  -0.698 -0.891  -0.476 -0.891  -0.300 -0.779  -0.086 -0.735  0.107 -0.626  0.310 -0.545  0.494 -0.420  0.671 -0.296  0.684 -0.086  0.623 0.076  0.711 -0.082  0.827 -0.239  0.929 -0.430  1.130 -0.482
1d#tos#t2#t2024062/)  -0.481 1.389  -0.514 1.382  -0.444 1.358  -0.373 1.335  -0.298 1.335  -0.248 1.296  -0.214 1.230  -0.181 1.163  -0.132 1.122  -0.058 1.122  -0.004 1.072  0.049 1.019  0.084 0.953  0.117 0.887  0.151 0.820  0.160 0.748  0.160 0.673  0.160 0.599  0.160 0.524  0.160 0.450  0.160 0.375  0.160 0.301  0.160 0.226  0.160 0.152  0.160 0.077  0.160 0.002  0.160 -0.072  0.160 -0.147  0.160 -0.221  0.160 -0.296  0.160 -0.370  0.160 -0.445  0.160 -0.519  0.160 -0.594  0.154 -0.668  0.136 -0.740  0.117 -0.812  0.093 -0.882  0.060 -0.949  0.026 -1.016  -0.009 -1.081  -0.050 -1.143  -0.091 -1.205  -0.107 -1.275  -0.107 -1.350  -0.107 -1.424  -0.132 -1.493  -0.160 -1.561  -0.160 -1.635  -0.160 -1.710
1d#tos#t2#t2024062/.  0.762 1.373  0.762 1.290  0.762 1.207  0.762 1.125  0.762 1.042  0.762 0.959  0.762 0.877  0.753 0.803  0.670 0.803  0.587 0.803  0.505 0.803  0.422 0.803  0.339 0.803  0.257 0.803  0.193 0.784  0.193 0.702  0.193 0.619  0.193 0.536  0.128 0.519  0.045 0.519  -0.038 0.519  -0.105 0.493  -0.142 0.419  -0.179 0.345  -0.216 0.271  -0.253 0.197  -0.290 0.123  -0.327 0.049  -0.364 -0.025  -0.376 -0.105  -0.376 -0.187  -0.376 -0.270  -0.376 -0.353  -0.376 -0.435  -0.376 -0.518  -0.376 -0.601  -0.376 -0.684  -0.376 -0.766  -0.376 -0.849  -0.376 -0.932  -0.376 -1.014  -0.376 -1.097  -0.376 -1.180  -0.376 -1.263  -0.376 -1.345  -0.376 -1.428  -0.376 -1.511  -0.376 -1.593  -0.376 -1.676  -0.376 -1.759
1d#tos#t2#t2024062/  1.121 0.971  1.047 0.971  1.020 1.019  1.005 1.087  0.945 1.123  0.885 1.090  0.832 1.037  0.800 0.971  0.776 0.900  0.732 0.844  0.672 0.799  0.613 0.754  0.552 0.710  0.490 0.669  0.428 0.627  0.390 0.566  0.363 0.497  0.335 0.427  0.306 0.359  0.253 0.306  0.200 0.253  0.147 0.200  0.091 0.152  0.022 0.124  -0.047 0.097  -0.117 0.069  -0.157 0.017  -0.172 -0.056  -0.186 -0.129  -0.203 -0.201  -0.256 -0.254  -0.309 -0.307  -0.362 -0.360  -0.415 -0.413  -0.460 -0.470  -0.484 -0.541  -0.510 -0.610  -0.563 -0.663  -0.616 -0.716  -0.669 -0.769  -0.722 -0.821  -0.774 -0.874  -0.818 -0.933  -0.841 -1.004  -0.861 -1.075  -0.861 -1.150  -0.861 -1.225  -0.880 -1.294  -0.921 -1.356  -0.962 -1.418
1d#tos#t2#t2024062/:  0.326 1.399  0.251 1.399  0.176 1.399  0.100 1.399  0.037 1.411  0.037 1.456  0.037 1.380  0.037 1.305  0.037 1.229  0.037 1.154  0.037 1.079  0.037 1.003  0.037 0.928  0.037 0.852  0.037 0.777  0.037 0.701  0.037 0.626  0.040 0.551  0.044 0.475  0.048 0.400  0.052 0.325  0.057 0.249  0.061 0.174  0.065 0.099  0.069 0.023  0.073 -0.052  0.078 -0.127  0.082 -0.202  0.086 -0.278  0.090 -0.353  0.094 -0.428  0.098 -0.504  0.103 -0.579  0.107 -0.654  0.109 -0.730  0.109 -0.805  0.082 -0.868  0.024 -0.916  -0.034 -0.964  -0.092 -1.012  -0.150 -1.061  -0.208 -1.109  -0.266 -1.157  -0.324 -1.206  -0.325 -1.281  -0.325 -1.356  -0.325 -1.431  -0.320 -1.506  -0.286 -1.573  -0.252 -1.641
1d#tos#t2#t2024062/;  0.001 1.599  -0.076 1.599  -0.100 1.547  -0.128 1.499  -0.150 1.444  -0.128 1.377  -0.100 1.312  -0.100 1.235  -0.088 1.161  -0.063 1.088  -0.050 1.014  -0.050 0.938  -0.025 0.871  0.007 0.806  0.018 0.731  0.030 0.655  0.042 0.579  0.053 0.504  0.065 0.428  0.077 0.353  0.088 0.277  0.100 0.202  0.063 0.137  0.021 0.073  0.001 0.003  -0.015 -0.058  -0.007 -0.058  0.001 -0.126  0.001 -0.203  0.023 -0.276  0.047 -0.348  0.051 -0.424  0.051 -0.500  0.051 -0.577  0.070 -0.649  0.101 -0.718  0.101 -0.794  0.101 -0.871  0.101 -0.947  0.101 -1.024  0.101 -1.100  0.044 -1.141  -0.006 -1.190  -0.025 -1.264  -0.043 -1.338  -0.050 -1.414  -0.055 -1.490  -0.070 -1.565  -0.085 -1.640  -0.100 -1.715
