2#apb#apb38#app3801/O  0.483 0.882  0.481 1.017  0.376 1.043  0.262 0.972  0.140 0.911  0.040 0.821  -0.057 0.724  -0.153 0.628  -0.249 0.532  -0.345 0.435  -0.430 0.329  -0.515 0.222  -0.601 0.117  -0.690 0.014  -0.778 -0.090  -0.840 -0.210  -0.895 -0.334  -0.959 -0.453  -1.045 -0.559  -1.090 -0.681  -1.100 -0.817  -1.077 -0.949  -0.990 -1.045  -0.868 -1.094  -0.733 -1.104  -0.602 -1.067  -0.471 -1.029  -0.351 -0.965  -0.231 -0.902  -0.111 -0.837  0.008 -0.771  0.127 -0.705  0.240 -0.629  0.342 -0.540  0.445 -0.451  0.536 -0.350  0.620 -0.243  0.704 -0.136  0.781 -0.024  0.859 0.088  0.943 0.195  1.020 0.304  1.031 0.440  1.031 0.576  1.008 0.708  0.935 0.823  0.851 0.930  0.752 1.023  0.644 1.106  0.521 1.149
2#apb#apb38#app3801/n  -0.661 0.471  -0.661 0.478  -0.715 0.360  -0.793 0.251  -0.854 0.133  -0.891 0.003  -0.924 -0.127  -0.953 -0.259  -0.977 -0.390  -0.953 -0.523  -0.929 -0.656  -0.901 -0.787  -0.859 -0.915  -0.800 -1.035  -0.766 -1.066  -0.654 -0.998  -0.601 -0.874  -0.553 -0.749  -0.534 -0.615  -0.505 -0.485  -0.452 -0.361  -0.397 -0.238  -0.337 -0.118  -0.277 0.003  -0.230 0.128  -0.211 0.261  -0.177 0.390  -0.124 0.513  -0.029 0.609  0.046 0.719  0.112 0.836  0.204 0.930  0.328 0.966  0.454 1.001  0.586 0.972  0.704 0.910  0.804 0.827  0.865 0.707  0.931 0.589  0.996 0.471  1.044 0.348  1.066 0.215  1.105 0.086  1.147 -0.042  1.187 -0.171  1.220 -0.301  1.247 -0.432  1.247 -0.567  1.247 -0.702  1.177 -0.766
2#apb#apb38#app3801/e  0.083 0.025  0.189 0.096  0.295 0.167  0.409 0.225  0.525 0.277  0.628 0.350  0.718 0.440  0.784 0.548  0.841 0.662  0.903 0.774  0.936 0.891  0.856 0.967  0.739 1.017  0.618 1.057  0.496 1.098  0.372 1.067  0.249 1.034  0.128 0.994  0.010 0.946  -0.089 0.867  -0.189 0.787  -0.292 0.712  -0.400 0.643  -0.508 0.574  -0.589 0.480  -0.653 0.370  -0.718 0.260  -0.783 0.150  -0.849 0.040  -0.910 -0.071  -0.933 -0.197  -0.956 -0.322  -0.943 -0.447  -0.916 -0.572  -0.853 -0.681  -0.776 -0.783  -0.682 -0.866  -0.574 -0.934  -0.458 -0.983  -0.334 -1.017  -0.211 -1.049  -0.084 -1.061  0.044 -1.072  0.171 -1.076  0.299 -1.076  0.427 -1.076  0.554 -1.076  0.681 -1.061  0.808 -1.048  0.936 -1.048
2#apb#apb38#app3801/D  -0.464 0.502  -0.505 0.375  -0.481 0.196  -0.443 0.019  -0.431 -0.162  -0.412 -0.342  -0.382 -0.521  -0.347 -0.699  -0.303 -0.875  -0.265 -1.052  -0.235 -1.231  -0.191 -1.405  -0.159 -1.497  -0.166 -1.317  -0.205 -1.139  -0.241 -0.962  -0.276 -0.784  -0.334 -0.612  -0.387 -0.439  -0.424 -0.262  -0.424 -0.080  -0.451 0.099  -0.489 0.276  -0.531 0.452  -0.566 0.630  -0.583 0.811  -0.586 0.992  -0.567 1.171  -0.472 1.320  -0.305 1.376  -0.124 1.390  0.043 1.336  0.205 1.255  0.374 1.209  0.512 1.094  0.672 1.011  0.783 0.875  0.885 0.731  0.926 0.554  0.974 0.379  0.997 0.200  0.993 0.019  0.926 -0.149  0.883 -0.325  0.788 -0.477  0.655 -0.600  0.510 -0.709  0.367 -0.820  0.211 -0.914  0.044 -0.900
2#apb#apb38#app3801/u  -0.631 0.696  -0.658 0.597  -0.706 0.502  -0.753 0.407  -0.800 0.312  -0.841 0.215  -0.881 0.116  -0.899 0.014  -0.899 -0.092  -0.899 -0.198  -0.899 -0.303  -0.899 -0.409  -0.898 -0.515  -0.859 -0.613  -0.820 -0.712  -0.748 -0.786  -0.665 -0.852  -0.581 -0.916  -0.479 -0.942  -0.375 -0.960  -0.269 -0.960  -0.164 -0.955  -0.061 -0.929  0.038 -0.894  0.133 -0.847  0.228 -0.799  0.293 -0.723  0.341 -0.628  0.393 -0.536  0.448 -0.446  0.500 -0.354  0.548 -0.259  0.595 -0.164  0.642 -0.070  0.678 0.029  0.701 0.133  0.724 0.236  0.747 0.339  0.757 0.444  0.757 0.550  0.757 0.656  0.757 0.762  0.757 0.868  0.757 0.974  0.757 1.080  0.733 1.182  0.704 1.284  0.675 1.386  0.648 1.488  0.622 1.591
2#apb#apb38#app3801/v  -0.669 0.676  -0.680 0.740  -0.712 0.636  -0.712 0.524  -0.712 0.413  -0.712 0.301  -0.712 0.189  -0.712 0.078  -0.712 -0.034  -0.712 -0.146  -0.712 -0.257  -0.703 -0.368  -0.681 -0.478  -0.659 -0.587  -0.637 -0.697  -0.597 -0.799  -0.536 -0.892  -0.486 -0.992  -0.441 -1.094  -0.399 -1.191  -0.288 -1.191  -0.176 -1.191  -0.101 -1.122  -0.031 -1.037  0.056 -0.967  0.144 -0.897  0.186 -0.796  0.222 -0.690  0.257 -0.584  0.292 -0.478  0.322 -0.371  0.353 -0.263  0.384 -0.156  0.417 -0.050  0.450 0.057  0.483 0.164  0.516 0.271  0.548 0.378  0.572 0.487  0.597 0.596  0.621 0.705  0.646 0.813  0.673 0.922  0.701 1.030  0.731 1.137  0.770 1.242  0.809 1.347  0.849 1.451  0.914 1.541  0.981 1.631
2#apb#apb38#app3801/a  -0.249 0.790  -0.360 0.720  -0.471 0.651  -0.583 0.581  -0.675 0.489  -0.761 0.391  -0.847 0.292  -0.937 0.197  -1.046 0.124  -1.155 0.051  -1.192 -0.060  -1.215 -0.184  -1.294 -0.289  -1.303 -0.405  -1.261 -0.529  -1.187 -0.581  -1.066 -0.529  -0.946 -0.477  -0.817 -0.467  -0.685 -0.467  -0.560 -0.443  -0.443 -0.385  -0.325 -0.326  -0.214 -0.258  -0.115 -0.173  -0.015 -0.087  0.083 -0.001  0.176 0.092  0.269 0.185  0.357 0.281  0.436 0.386  0.482 0.505  0.504 0.634  0.559 0.720  0.559 0.729  0.565 0.599  0.624 0.482  0.690 0.369  0.763 0.260  0.835 0.150  0.900 0.036  0.965 -0.077  1.037 -0.187  1.121 -0.288  1.204 -0.388  1.305 -0.471  1.414 -0.543  1.522 -0.618  1.624 -0.700  1.727 -0.782
2#apb#apb38#app3801/l  0.134 1.619  0.129 1.561  0.079 1.564  0.071 1.497  0.071 1.427  0.071 1.356  0.055 1.289  0.033 1.222  0.011 1.156  0.009 1.086  0.009 1.016  0.009 0.946  0.009 0.876  0.009 0.806  0.009 0.736  0.009 0.665  0.009 0.595  0.009 0.525  -0.001 0.456  -0.012 0.386  -0.023 0.317  -0.033 0.248  -0.044 0.179  -0.053 0.109  -0.046 0.039  -0.039 -0.030  -0.032 -0.100  -0.025 -0.170  -0.025 -0.240  -0.030 -0.310  -0.035 -0.380  -0.040 -0.450  -0.045 -0.520  -0.050 -0.590  -0.050 -0.659  -0.039 -0.729  -0.029 -0.798  -0.018 -0.867  -0.007 -0.936  0.003 -1.006  0.009 -1.076  0.009 -1.146  0.009 -1.216  0.009 -1.286  0.009 -1.356  0.009 -1.426  -0.003 -1.495  -0.020 -1.563  -0.037 -1.631  -0.054 -1.699
2#apb#apb38#app3801/P  -0.193 0.838  -0.352 0.852  -0.453 0.719  -0.491 0.555  -0.507 0.385  -0.507 0.215  -0.501 0.044  -0.487 -0.126  -0.471 -0.297  -0.450 -0.466  -0.429 -0.636  -0.409 -0.806  -0.394 -0.976  -0.378 -1.146  -0.364 -1.316  -0.350 -1.487  -0.378 -1.655  -0.319 -1.607  -0.319 -1.436  -0.314 -1.265  -0.292 -1.096  -0.269 -0.926  -0.273 -0.758  -0.314 -0.593  -0.345 -0.427  -0.306 -0.260  -0.268 -0.094  -0.247 0.076  -0.234 0.246  -0.224 0.417  -0.224 0.587  -0.193 0.752  -0.123 0.908  -0.049 1.062  0.048 1.201  0.192 1.289  0.297 1.321  0.402 1.186  0.562 1.130  0.644 0.991  0.755 0.863  0.855 0.726  0.937 0.577  1.009 0.423  1.126 0.311  1.126 0.140  1.097 -0.022  0.959 -0.108  0.793 -0.146  0.624 -0.167
2#apb#apb38#app3801/l  0.072 1.678  0.108 1.623  0.108 1.553  0.108 1.483  0.108 1.413  0.108 1.344  0.094 1.276  0.075 1.208  0.056 1.141  0.036 1.074  0.026 1.005  0.015 0.936  0.005 0.867  -0.006 0.798  -0.017 0.729  -0.027 0.660  -0.038 0.591  -0.049 0.522  -0.059 0.453  -0.070 0.384  -0.080 0.315  -0.091 0.246  -0.102 0.177  -0.103 0.107  -0.098 0.038  -0.094 -0.032  -0.090 -0.102  -0.085 -0.172  -0.081 -0.241  -0.077 -0.311  -0.072 -0.381  -0.065 -0.450  -0.054 -0.519  -0.043 -0.588  -0.033 -0.657  -0.022 -0.726  -0.012 -0.795  -0.001 -0.864  0.005 -0.934  0.011 -1.003  0.016 -1.073  0.021 -1.143  0.027 -1.212  0.032 -1.282  0.039 -1.351  0.053 -1.420  0.066 -1.488  0.080 -1.557  0.094 -1.625  0.108 -1.694
2#apb#apb38#app3801/a  0.564 1.298  0.437 1.250  0.311 1.203  0.188 1.147  0.076 1.071  -0.037 0.996  -0.150 0.921  -0.266 0.852  -0.383 0.784  -0.500 0.716  -0.617 0.647  -0.712 0.556  -0.787 0.443  -0.863 0.330  -0.937 0.217  -1.004 0.099  -1.071 -0.018  -1.121 -0.143  -1.158 -0.273  -1.167 -0.401  -1.106 -0.522  -1.024 -0.630  -0.940 -0.735  -0.812 -0.766  -0.678 -0.785  -0.544 -0.783  -0.409 -0.770  -0.274 -0.757  -0.149 -0.715  -0.034 -0.643  0.081 -0.572  0.190 -0.492  0.294 -0.406  0.397 -0.318  0.472 -0.205  0.547 -0.092  0.582 0.037  0.604 0.170  0.644 0.299  0.697 0.303  0.740 0.175  0.784 0.047  0.845 -0.074  0.922 -0.184  1.007 -0.290  1.092 -0.396  1.176 -0.502  1.268 -0.601  1.364 -0.696  1.460 -0.792
