3#app#app34#app3498/p  -0.268 1.430  -0.268 1.219  -0.268 1.008  -0.268 0.797  -0.268 0.586  -0.268 0.375  -0.268 0.164  -0.239 -0.040  -0.180 -0.236  -0.130 -0.435  -0.091 -0.637  -0.091 -0.848  -0.091 -1.059  -0.091 -1.270  -0.091 -1.481  -0.091 -1.691  -0.138 -1.613  -0.225 -1.438  -0.296 -1.251  -0.356 -1.054  -0.391 -0.849  -0.444 -0.647  -0.444 -0.436  -0.444 -0.225  -0.444 -0.015  -0.444 0.196  -0.444 0.407  -0.444 0.618  -0.444 0.829  -0.408 1.025  -0.268 1.177  -0.133 1.253  -0.010 1.341  0.201 1.341  0.393 1.298  0.553 1.200  0.666 1.025  0.753 0.837  0.832 0.642  0.879 0.443  0.879 0.232  0.879 0.021  0.858 -0.181  0.771 -0.356  0.622 -0.505  0.451 -0.600  0.262 -0.622  0.117 -0.689  -0.093 -0.687  -0.268 -0.600
3#app#app34#app3498/l  -0.248 1.627  -0.248 1.555  -0.248 1.484  -0.218 1.443  -0.157 1.433  -0.157 1.362  -0.157 1.291  -0.157 1.219  -0.157 1.148  -0.157 1.076  -0.157 1.005  -0.134 0.939  -0.102 0.875  -0.070 0.811  -0.065 0.741  -0.065 0.670  -0.065 0.599  -0.065 0.527  -0.065 0.456  -0.050 0.387  -0.027 0.319  -0.004 0.252  0.018 0.184  0.027 0.114  0.027 0.043  0.027 -0.029  0.027 -0.100  0.027 -0.171  0.027 -0.243  0.027 -0.314  0.027 -0.385  0.027 -0.457  0.046 -0.524  0.078 -0.588  0.110 -0.651  0.119 -0.721  0.119 -0.792  0.119 -0.863  0.119 -0.935  0.119 -1.006  0.119 -1.077  0.119 -1.149  0.119 -1.220  0.119 -1.291  0.154 -1.348  0.204 -1.399  0.211 -1.467  0.211 -1.539  0.211 -1.610  0.211 -1.682
3#app#app34#app3498/e  -0.577 -0.517  -0.419 -0.517  -0.348 -0.429  -0.234 -0.385  -0.190 -0.244  -0.060 -0.173  -0.004 -0.071  0.127 0.007  0.260 0.091  0.372 0.203  0.484 0.315  0.596 0.427  0.683 0.550  0.740 0.685  0.798 0.820  0.912 0.864  0.863 0.973  0.798 1.067  0.683 1.111  0.616 1.202  0.457 1.202  0.298 1.202  0.140 1.202  0.019 1.111  -0.127 1.079  -0.239 0.967  -0.351 0.855  -0.464 0.743  -0.576 0.630  -0.607 0.485  -0.692 0.361  -0.692 0.202  -0.692 0.044  -0.692 -0.115  -0.692 -0.274  -0.692 -0.432  -0.692 -0.591  -0.690 -0.749  -0.619 -0.891  -0.531 -1.021  -0.463 -1.151  -0.357 -1.204  -0.198 -1.204  -0.040 -1.204  0.119 -1.204  0.278 -1.204  0.436 -1.204  0.595 -1.204  0.754 -1.204  0.912 -1.204
3#app#app34#app3498/a  0.547 0.924  0.490 1.049  0.341 1.130  0.178 1.174  -0.004 1.174  -0.186 1.174  -0.368 1.174  -0.452 1.076  -0.598 1.028  -0.702 0.889  -0.794 0.799  -0.827 0.650  -0.884 0.492  -0.952 0.338  -0.952 0.156  -0.952 -0.026  -0.952 -0.208  -0.952 -0.389  -0.952 -0.571  -0.952 -0.753  -0.840 -0.824  -0.783 -0.949  -0.601 -0.949  -0.420 -0.949  -0.238 -0.949  -0.099 -0.845  0.030 -0.716  0.158 -0.588  0.287 -0.459  0.297 -0.281  0.368 -0.129  0.422 0.031  0.422 0.213  0.422 0.394  0.441 0.569  0.547 0.707  0.547 0.710  0.547 0.528  0.547 0.347  0.547 0.165  0.547 -0.017  0.547 -0.199  0.547 -0.381  0.547 -0.563  0.623 -0.727  0.671 -0.897  0.764 -1.041  0.921 -1.084  0.989 -1.198  1.171 -1.198
3#app#app34#app3498/s  0.373 1.253  0.244 1.253  0.116 1.253  -0.004 1.229  -0.095 1.138  -0.220 1.130  -0.311 1.039  -0.431 1.017  -0.451 0.908  -0.570 0.898  -0.661 0.807  -0.780 0.782  -0.851 0.688  -0.909 0.573  -0.992 0.476  -1.040 0.367  -1.040 0.239  -0.981 0.134  -0.876 0.075  -0.747 0.075  -0.619 0.075  -0.490 0.075  -0.361 0.075  -0.232 0.075  -0.103 0.075  0.026 0.075  0.154 0.075  0.283 0.075  0.408 0.058  0.523 0.000  0.632 -0.066  0.723 -0.157  0.814 -0.248  0.905 -0.339  0.962 -0.444  0.962 -0.573  0.962 -0.702  0.962 -0.831  0.896 -0.932  0.789 -0.984  0.726 -1.051  0.649 -1.102  0.520 -1.102  0.391 -1.102  0.262 -1.102  0.133 -1.102  0.004 -1.102  -0.117 -1.083  -0.208 -0.992  -0.333 -0.984
3#app#app34#app3498/e  -0.733 -0.328  -0.625 -0.261  -0.516 -0.195  -0.425 -0.110  -0.295 -0.002  -0.141 0.047  0.010 0.107  0.136 0.156  0.251 0.216  0.426 0.216  0.493 0.324  0.668 0.324  0.795 0.440  0.897 0.572  0.897 0.748  0.843 0.868  0.776 0.977  0.680 1.055  0.535 1.085  0.462 1.188  0.293 1.194  0.132 1.137  -0.031 1.085  -0.170 0.997  -0.325 0.950  -0.449 0.826  -0.573 0.702  -0.625 0.549  -0.733 0.419  -0.770 0.252  -0.848 0.095  -0.926 -0.061  -0.951 -0.230  -0.951 -0.405  -0.951 -0.581  -0.879 -0.726  -0.755 -0.850  -0.631 -0.973  -0.459 -0.980  -0.320 -1.067  -0.154 -1.089  0.021 -1.089  0.196 -1.089  0.372 -1.089  0.522 -1.029  0.677 -0.980  0.833 -0.935  0.982 -0.871  1.115 -0.829  1.223 -0.763
3#app#app34#app3498/c  1.019 1.071  1.019 1.162  0.941 1.175  0.851 1.175  0.760 1.175  0.669 1.175  0.579 1.175  0.493 1.164  0.429 1.100  0.350 1.071  0.271 1.045  0.207 0.981  0.143 0.917  0.083 0.850  0.043 0.769  0.002 0.688  -0.065 0.633  -0.146 0.592  -0.222 0.548  -0.263 0.467  -0.303 0.386  -0.322 0.300  -0.338 0.213  -0.379 0.132  -0.419 0.051  -0.480 -0.015  -0.528 -0.086  -0.528 -0.176  -0.528 -0.267  -0.528 -0.358  -0.528 -0.448  -0.528 -0.539  -0.528 -0.629  -0.528 -0.720  -0.528 -0.810  -0.528 -0.901  -0.528 -0.991  -0.437 -0.991  -0.369 -1.046  -0.299 -1.094  -0.208 -1.094  -0.118 -1.094  -0.027 -1.094  0.063 -1.094  0.154 -1.094  0.244 -1.094  0.335 -1.094  0.425 -1.094  0.516 -1.094  0.607 -1.094
3#app#app34#app3498/a  0.360 1.033  0.307 1.167  0.226 1.273  0.067 1.302  -0.098 1.247  -0.231 1.115  -0.384 1.033  -0.535 0.945  -0.582 0.777  -0.705 0.640  -0.838 0.508  -0.927 0.343  -0.986 0.170  -1.062 0.014  -1.120 -0.150  -1.120 -0.337  -1.120 -0.525  -1.120 -0.712  -0.986 -0.765  -0.885 -0.852  -0.743 -0.961  -0.566 -0.987  -0.378 -0.987  -0.191 -0.987  -0.138 -0.852  0.050 -0.852  0.195 -0.749  0.290 -0.589  0.382 -0.427  0.495 -0.286  0.495 -0.099  0.495 0.089  0.531 0.261  0.630 0.408  0.630 0.596  0.630 0.783  0.557 0.898  0.495 0.773  0.495 0.585  0.495 0.397  0.495 0.210  0.495 0.022  0.549 -0.152  0.630 -0.321  0.630 -0.508  0.630 -0.696  0.764 -0.749  0.764 -0.937  0.901 -0.989  1.034 -1.121
3#app#app34#app3498/l  -0.136 1.703  -0.136 1.632  -0.136 1.560  -0.136 1.489  -0.136 1.418  -0.136 1.347  -0.136 1.275  -0.136 1.204  -0.136 1.133  -0.136 1.061  -0.136 0.990  -0.136 0.919  -0.136 0.847  -0.116 0.781  -0.084 0.717  -0.053 0.653  -0.026 0.588  -0.026 0.517  -0.026 0.445  -0.026 0.374  -0.026 0.303  -0.026 0.232  -0.026 0.160  -0.026 0.089  -0.005 0.026  0.046 -0.024  0.085 -0.079  0.085 -0.151  0.085 -0.222  0.085 -0.293  0.085 -0.365  0.085 -0.436  0.085 -0.507  0.085 -0.579  0.085 -0.650  0.085 -0.721  0.085 -0.792  0.085 -0.864  0.085 -0.935  0.085 -1.006  0.085 -1.078  0.085 -1.149  0.085 -1.220  0.085 -1.292  0.085 -1.363  0.085 -1.434  0.085 -1.506  0.085 -1.577  0.124 -1.609  0.195 -1.609
3#app#app34#app3498/l  -0.186 1.611  -0.115 1.611  -0.074 1.580  -0.074 1.509  -0.074 1.438  -0.074 1.366  -0.074 1.295  -0.074 1.224  -0.074 1.153  -0.074 1.081  -0.074 1.010  -0.074 0.939  -0.074 0.868  -0.074 0.797  -0.074 0.725  -0.074 0.654  -0.074 0.583  -0.074 0.512  -0.051 0.446  -0.019 0.382  0.013 0.319  0.037 0.253  0.037 0.182  0.037 0.111  0.037 0.040  0.037 -0.032  0.037 -0.103  0.037 -0.174  0.037 -0.245  0.037 -0.316  0.037 -0.388  0.037 -0.459  0.037 -0.530  0.037 -0.601  0.037 -0.673  0.037 -0.744  0.037 -0.815  0.037 -0.886  0.037 -0.957  0.037 -1.029  0.037 -1.100  0.037 -1.171  0.037 -1.242  0.037 -1.314  0.037 -1.385  0.037 -1.456  0.047 -1.517  0.118 -1.517  0.190 -1.517  0.261 -1.517
3#app#app34#app3498/1  0.099 1.369  0.099 1.441  0.120 1.493  0.193 1.493  0.223 1.450  0.223 1.378  0.223 1.305  0.223 1.233  0.223 1.160  0.223 1.088  0.223 1.015  0.198 0.948  0.166 0.884  0.133 0.819  0.101 0.754  0.099 0.682  0.099 0.609  0.099 0.537  0.082 0.468  0.050 0.403  0.017 0.339  -0.015 0.274  -0.025 0.203  -0.025 0.131  -0.025 0.058  -0.025 -0.014  -0.025 -0.087  -0.025 -0.159  -0.025 -0.232  -0.053 -0.297  -0.086 -0.362  -0.118 -0.427  -0.148 -0.492  -0.148 -0.565  -0.148 -0.637  -0.148 -0.710  -0.148 -0.782  -0.148 -0.855  -0.148 -0.927  -0.148 -1.000  -0.148 -1.072  -0.148 -1.145  -0.148 -1.217  -0.148 -1.290  -0.148 -1.362  -0.148 -1.435  -0.148 -1.507  -0.148 -1.580  -0.148 -1.652  -0.148 -1.725
