2#apb#apb05#app0529/H  -0.332 1.090  -0.288 1.292  -0.299 1.245  -0.322 1.040  -0.351 0.836  -0.379 0.632  -0.406 0.427  -0.442 0.225  -0.488 0.024  -0.532 -0.178  -0.567 -0.381  -0.602 -0.584  -0.635 -0.787  -0.668 -0.991  -0.682 -1.196  -0.682 -1.402  -0.666 -1.588  -0.662 -1.382  -0.660 -1.176  -0.657 -0.970  -0.655 -0.764  -0.652 -0.558  -0.650 -0.352  -0.652 -0.157  -0.562 -0.189  -0.360 -0.151  -0.160 -0.101  0.039 -0.045  0.233 0.023  0.432 0.076  0.620 0.131  0.683 0.327  0.747 0.523  0.810 0.719  0.874 0.915  0.937 1.112  0.993 1.307  0.863 1.276  0.779 1.088  0.729 0.888  0.690 0.686  0.655 0.483  0.608 0.282  0.559 0.082  0.528 -0.122  0.496 -0.326  0.461 -0.529  0.430 -0.732  0.405 -0.937  0.438 -1.133
2#apb#apb05#app0529/o  0.028 0.957  -0.090 1.004  -0.207 0.990  -0.324 0.940  -0.414 0.855  -0.492 0.754  -0.570 0.654  -0.644 0.550  -0.717 0.446  -0.790 0.342  -0.833 0.225  -0.864 0.101  -0.895 -0.022  -0.909 -0.148  -0.909 -0.275  -0.906 -0.402  -0.896 -0.528  -0.885 -0.655  -0.861 -0.777  -0.788 -0.881  -0.713 -0.983  -0.589 -1.010  -0.464 -1.038  -0.339 -1.038  -0.212 -1.026  -0.086 -1.010  0.034 -0.969  0.155 -0.929  0.276 -0.889  0.368 -0.804  0.458 -0.714  0.548 -0.624  0.638 -0.534  0.717 -0.434  0.795 -0.334  0.871 -0.232  0.918 -0.114  0.966 0.004  0.994 0.125  0.981 0.251  0.968 0.378  0.925 0.496  0.873 0.612  0.820 0.727  0.750 0.832  0.672 0.933  0.594 1.033  0.476 1.054  0.349 1.054  0.222 1.054
2#apb#apb05#app0529/n  -0.349 1.362  -0.423 1.214  -0.497 1.067  -0.546 0.912  -0.570 0.748  -0.588 0.584  -0.588 0.419  -0.588 0.254  -0.588 0.089  -0.588 -0.076  -0.588 -0.241  -0.605 -0.405  -0.625 -0.569  -0.646 -0.732  -0.682 -0.894  -0.708 -1.056  -0.746 -1.117  -0.745 -0.963  -0.697 -0.805  -0.649 -0.647  -0.602 -0.489  -0.556 -0.330  -0.498 -0.176  -0.432 -0.025  -0.366 0.126  -0.291 0.274  -0.214 0.419  -0.137 0.565  -0.039 0.697  0.071 0.820  0.204 0.915  0.346 0.998  0.499 1.043  0.645 0.989  0.769 0.881  0.843 0.734  0.906 0.583  0.926 0.419  0.947 0.255  0.955 0.091  0.955 -0.075  0.939 -0.239  0.919 -0.403  0.899 -0.566  0.872 -0.729  0.839 -0.890  0.761 -1.035  0.683 -1.181  0.617 -1.332  0.556 -1.485
2#apb#apb05#app0529/o  0.280 1.380  0.184 1.452  0.090 1.382  -0.003 1.307  -0.091 1.226  -0.164 1.131  -0.237 1.036  -0.310 0.941  -0.371 0.839  -0.431 0.735  -0.491 0.631  -0.551 0.528  -0.606 0.421  -0.649 0.310  -0.692 0.198  -0.736 0.086  -0.770 -0.028  -0.785 -0.147  -0.799 -0.266  -0.814 -0.385  -0.805 -0.504  -0.796 -0.623  -0.774 -0.739  -0.721 -0.847  -0.667 -0.954  -0.558 -1.000  -0.447 -1.045  -0.329 -1.057  -0.209 -1.057  -0.090 -1.057  0.021 -1.020  0.125 -0.961  0.229 -0.901  0.328 -0.836  0.416 -0.755  0.504 -0.673  0.592 -0.592  0.665 -0.499  0.728 -0.396  0.791 -0.294  0.850 -0.190  0.903 -0.083  0.957 0.024  0.997 0.133  0.979 0.252  0.961 0.370  0.921 0.481  0.857 0.581  0.792 0.682  0.727 0.783
2#apb#apb05#app0529/l  0.195 1.636  0.240 1.612  0.240 1.542  0.240 1.473  0.240 1.403  0.240 1.334  0.226 1.266  0.209 1.198  0.192 1.131  0.176 1.063  0.159 0.996  0.145 0.928  0.135 0.859  0.124 0.790  0.114 0.722  0.104 0.653  0.093 0.584  0.083 0.515  0.076 0.446  0.069 0.377  0.063 0.308  0.056 0.238  0.050 0.169  0.043 0.100  0.036 0.031  0.022 -0.037  0.007 -0.105  -0.007 -0.173  -0.021 -0.241  -0.036 -0.309  -0.050 -0.378  -0.064 -0.446  -0.078 -0.514  -0.093 -0.582  -0.107 -0.650  -0.121 -0.718  -0.135 -0.786  -0.149 -0.854  -0.164 -0.922  -0.177 -0.990  -0.191 -1.059  -0.205 -1.127  -0.218 -1.195  -0.232 -1.263  -0.245 -1.331  -0.256 -1.400  -0.256 -1.469  -0.256 -1.539  -0.256 -1.608  -0.256 -1.678
2#apb#apb05#app0529/u  -0.507 1.619  -0.507 1.518  -0.543 1.367  -0.581 1.215  -0.625 1.066  -0.671 0.917  -0.706 0.766  -0.727 0.611  -0.747 0.457  -0.783 0.305  -0.823 0.154  -0.862 0.004  -0.873 -0.152  -0.884 -0.307  -0.907 -0.461  -0.938 -0.614  -0.914 -0.766  -0.863 -0.909  -0.753 -1.019  -0.620 -1.082  -0.465 -1.097  -0.321 -1.049  -0.182 -0.979  -0.043 -0.910  0.097 -0.840  0.223 -0.752  0.333 -0.642  0.433 -0.524  0.498 -0.383  0.564 -0.241  0.607 -0.092  0.643 0.060  0.679 0.211  0.714 0.363  0.749 0.515  0.782 0.667  0.809 0.821  0.826 0.903  0.751 0.774  0.698 0.627  0.658 0.478  0.645 0.322  0.629 0.167  0.601 0.014  0.581 -0.140  0.581 -0.296  0.601 -0.448  0.656 -0.594  0.714 -0.739  0.772 -0.884
2#apb#apb05#app0529/l  0.204 1.521  0.268 1.553  0.293 1.548  0.312 1.480  0.319 1.411  0.309 1.341  0.300 1.271  0.291 1.200  0.280 1.131  0.264 1.061  0.249 0.992  0.234 0.923  0.218 0.854  0.202 0.785  0.181 0.718  0.160 0.650  0.139 0.583  0.117 0.515  0.096 0.448  0.077 0.380  0.061 0.311  0.044 0.242  0.028 0.173  0.012 0.104  -0.005 0.035  -0.023 -0.033  -0.044 -0.101  -0.065 -0.168  -0.085 -0.236  -0.106 -0.304  -0.126 -0.371  -0.147 -0.439  -0.165 -0.508  -0.182 -0.576  -0.199 -0.645  -0.216 -0.714  -0.233 -0.782  -0.250 -0.851  -0.259 -0.921  -0.267 -0.991  -0.276 -1.062  -0.285 -1.132  -0.288 -1.202  -0.288 -1.273  -0.288 -1.344  -0.260 -1.407  -0.225 -1.469  -0.179 -1.521  -0.125 -1.567  -0.072 -1.613
2#apb#apb05#app0529/u  -0.362 1.603  -0.410 1.434  -0.449 1.263  -0.496 1.094  -0.548 0.926  -0.598 0.757  -0.647 0.589  -0.702 0.422  -0.769 0.260  -0.836 0.097  -0.900 -0.066  -0.963 -0.230  -1.002 -0.401  -1.028 -0.574  -1.028 -0.750  -0.947 -0.904  -0.792 -0.963  -0.620 -0.994  -0.455 -0.970  -0.298 -0.891  -0.155 -0.790  -0.013 -0.686  0.111 -0.561  0.235 -0.437  0.310 -0.280  0.375 -0.117  0.440 0.046  0.505 0.210  0.571 0.373  0.636 0.536  0.698 0.700  0.760 0.865  0.825 1.028  0.870 1.174  0.848 1.003  0.785 0.839  0.721 0.675  0.656 0.512  0.591 0.349  0.525 0.186  0.460 0.022  0.397 -0.142  0.355 -0.312  0.312 -0.482  0.286 -0.656  0.264 -0.830  0.268 -1.004  0.295 -1.178  0.394 -1.312  0.525 -1.429
2#apb#apb05#app0529/L  0.065 1.895  -0.004 1.827  -0.053 1.741  -0.077 1.647  -0.077 1.547  -0.077 1.448  -0.084 1.348  -0.091 1.248  -0.097 1.149  -0.102 1.049  -0.107 0.949  -0.113 0.850  -0.124 0.750  -0.136 0.651  -0.148 0.552  -0.160 0.453  -0.173 0.354  -0.188 0.255  -0.203 0.157  -0.219 0.058  -0.234 -0.041  -0.256 -0.138  -0.280 -0.235  -0.304 -0.332  -0.328 -0.429  -0.353 -0.525  -0.378 -0.622  -0.404 -0.719  -0.429 -0.815  -0.476 -0.902  -0.523 -0.989  -0.485 -0.989  -0.421 -0.912  -0.337 -0.859  -0.251 -0.807  -0.163 -0.762  -0.073 -0.717  0.016 -0.672  0.112 -0.660  0.211 -0.667  0.311 -0.673  0.411 -0.669  0.510 -0.662  0.610 -0.659  0.707 -0.681  0.804 -0.703  0.899 -0.734  0.993 -0.768  1.090 -0.788  1.189 -0.799
2#apb#apb05#app0529/i  0.035 1.662  0.067 1.600  0.098 1.537  0.129 1.474  0.161 1.412  0.179 1.346  0.179 1.276  0.179 1.206  0.179 1.136  0.179 1.066  0.179 0.996  0.179 0.926  0.179 0.856  0.179 0.787  0.169 0.718  0.150 0.650  0.132 0.583  0.113 0.515  0.095 0.448  0.077 0.380  0.058 0.313  0.040 0.245  0.031 0.176  0.026 0.106  0.021 0.037  0.015 -0.033  0.010 -0.103  0.004 -0.173  -0.001 -0.242  -0.006 -0.312  -0.012 -0.382  -0.024 -0.451  -0.038 -0.519  -0.052 -0.588  -0.065 -0.656  -0.079 -0.725  -0.093 -0.794  -0.107 -0.862  -0.126 -0.929  -0.146 -0.996  -0.166 -1.063  -0.186 -1.130  -0.206 -1.197  -0.227 -1.264  -0.247 -1.331  -0.251 -1.401  -0.251 -1.471  -0.251 -1.541  -0.251 -1.611  -0.251 -1.681
2#apb#apb05#app0529/t  -0.867 0.142  -0.991 0.210  -0.978 0.295  -0.848 0.352  -0.712 0.390  -0.574 0.415  -0.432 0.415  -0.291 0.415  -0.150 0.428  -0.009 0.443  0.131 0.441  0.271 0.420  0.411 0.399  0.553 0.397  0.694 0.397  0.720 0.471  0.660 0.599  0.601 0.728  0.542 0.857  0.482 0.985  0.423 1.114  0.364 1.242  0.319 1.351  0.333 1.211  0.321 1.069  0.292 0.932  0.252 0.796  0.212 0.660  0.171 0.525  0.129 0.389  0.084 0.255  0.029 0.125  -0.027 -0.005  -0.082 -0.136  -0.134 -0.267  -0.187 -0.399  -0.228 -0.534  -0.260 -0.672  -0.291 -0.810  -0.324 -0.947  -0.359 -1.085  -0.375 -1.224  -0.369 -1.364  -0.300 -1.488  -0.199 -1.584  -0.085 -1.662  0.057 -1.662  0.198 -1.669  0.339 -1.680  0.481 -1.680
