1d#tos#f2#f2018063/\"  -0.710 1.024  -0.831 1.017  -0.831 0.888  -0.831 0.760  -0.831 0.631  -0.831 0.503  -0.831 0.375  -0.831 0.246  -0.831 0.118  -0.831 -0.011  -0.831 -0.139  -0.831 -0.267  -0.831 -0.396  -0.831 -0.524  -0.831 -0.653  -0.831 -0.781  -0.831 -0.910  -0.777 -1.025  -0.719 -1.140  -0.639 -1.077  -0.554 -0.981  -0.469 -0.885  -0.384 -0.788  -0.299 -0.692  -0.214 -0.596  -0.129 -0.499  -0.044 -0.403  0.041 -0.307  0.126 -0.210  0.211 -0.114  0.296 -0.018  0.381 0.078  0.466 0.175  0.551 0.271  0.636 0.367  0.721 0.464  0.806 0.560  0.891 0.656  0.976 0.752  1.060 0.849  1.108 0.846  1.108 0.718  1.108 0.589  1.108 0.461  1.108 0.332  1.108 0.204  1.108 0.076  1.108 -0.053  1.108 -0.181  1.108 -0.310
1d#tos#f2#f2018063/#  -1.389 0.817  -1.327 0.619  -0.907 0.619  -0.486 0.619  -0.066 0.619  0.355 0.619  0.775 0.619  1.097 0.520  0.874 0.437  0.467 0.331  0.060 0.226  -0.347 0.120  -0.754 0.014  -1.161 -0.092  -1.429 -0.324  -1.008 -0.324  -0.588 -0.324  -0.167 -0.324  0.250 -0.349  0.623 -0.501  1.029 -0.569  1.028 -0.369  0.765 -0.041  0.503 0.288  0.240 0.616  -0.023 0.944  -0.338 1.164  -0.347 0.754  -0.347 0.333  -0.397 -0.081  -0.447 -0.498  -0.496 -0.907  -0.496 -1.327  -0.496 -1.748  -0.395 -1.470  -0.275 -1.067  -0.155 -0.664  -0.036 -0.261  0.084 0.143  0.204 0.546  0.323 0.949  0.443 1.352  0.446 1.152  0.545 0.772  0.595 0.372  0.645 -0.036  0.645 -0.457  0.645 -0.878  0.595 -1.292  0.645 -1.663
1d#tos#f2#f2018063/$  0.507 0.795  0.254 0.943  -0.116 1.005  -0.473 0.919  -0.719 0.720  -0.655 0.410  -0.303 0.305  0.018 0.200  0.375 0.156  0.682 -0.010  0.822 -0.292  0.729 -0.629  0.521 -0.851  0.226 -1.026  -0.156 -1.061  -0.517 -1.026  -0.761 -0.844  -0.894 -0.502  -0.890 -0.107  -0.727 0.254  -0.564 0.615  -0.402 0.976  -0.239 1.337  -0.118 1.671  -0.070 1.302  -0.053 0.912  -0.053 0.516  -0.053 0.120  -0.053 -0.276  -0.053 -0.672  -0.123 -1.039  -0.113 -1.432  -0.075 -1.631  -0.020 -1.239  0.035 -0.847  0.090 -0.455  0.144 -0.063  0.199 0.330  0.254 0.722  0.309 1.114  0.364 1.506  0.262 1.264  0.296 0.871  0.297 0.475  0.297 0.079  0.297 -0.317  0.297 -0.714  0.297 -1.110  0.297 -1.506  0.332 -1.867
1d#tos#f2#f2018063/%  0.988 1.254  0.802 1.173  0.625 1.053  0.503 0.874  0.346 0.730  0.197 0.510  0.007 0.351  -0.074 0.098  -0.179 -0.147  -0.369 -0.327  -0.536 -0.525  -0.610 -0.759  -0.791 -0.887  -0.884 -1.095  -0.972 -1.063  -0.921 -0.801  -0.870 -0.539  -0.818 -0.277  -0.767 -0.015  -0.716 0.247  -0.665 0.508  -0.713 0.688  -0.980 0.688  -1.074 0.515  -1.074 0.248  -0.853 0.203  -0.612 0.292  -0.474 0.445  -0.468 0.706  -0.671 0.769  -0.791 0.591  -0.569 0.469  -0.324 0.362  -0.080 0.256  0.165 0.149  0.409 0.042  0.653 -0.065  0.898 -0.172  1.142 -0.279  0.936 -0.363  0.786 -0.514  0.705 -0.700  0.705 -0.967  0.969 -0.970  1.179 -0.865  1.332 -0.666  1.392 -0.417  1.300 -0.242  1.033 -0.242  0.786 -0.323
1d#tos#f2#f2018063/'  0.742 1.559  0.699 1.495  0.657 1.432  0.614 1.368  0.572 1.304  0.529 1.240  0.487 1.177  0.444 1.113  0.402 1.049  0.359 0.985  0.317 0.922  0.302 0.849  0.302 0.773  0.302 0.696  0.302 0.620  0.302 0.543  0.302 0.466  0.239 0.429  0.171 0.394  0.102 0.360  0.034 0.326  -0.035 0.292  -0.103 0.257  -0.137 0.202  -0.137 0.125  -0.137 0.048  -0.137 -0.028  -0.137 -0.105  -0.137 -0.181  -0.137 -0.258  -0.137 -0.335  -0.137 -0.411  -0.137 -0.488  -0.137 -0.565  -0.137 -0.641  -0.137 -0.718  -0.137 -0.794  -0.146 -0.867  -0.200 -0.921  -0.255 -0.976  -0.309 -1.030  -0.363 -1.084  -0.417 -1.138  -0.471 -1.192  -0.525 -1.246  -0.580 -1.301  -0.634 -1.355  -0.688 -1.409  -0.742 -1.463  -0.796 -1.517
1d#tos#f2#f2018063/(  1.014 1.121  0.923 1.121  0.833 1.121  0.743 1.121  0.713 1.061  0.623 1.061  0.533 1.061  0.443 1.061  0.353 1.061  0.292 1.031  0.292 0.941  0.229 0.877  0.162 0.820  0.072 0.820  -0.009 0.811  -0.009 0.721  -0.078 0.699  -0.168 0.699  -0.190 0.631  -0.224 0.562  -0.305 0.522  -0.337 0.439  -0.365 0.354  -0.423 0.286  -0.431 0.199  -0.465 0.123  -0.491 0.044  -0.491 -0.046  -0.491 -0.137  -0.491 -0.227  -0.491 -0.317  -0.467 -0.384  -0.414 -0.434  -0.385 -0.520  -0.360 -0.606  -0.338 -0.694  -0.316 -0.781  -0.274 -0.859  -0.224 -0.934  -0.169 -1.006  -0.119 -1.078  -0.090 -1.163  -0.045 -1.226  0.029 -1.264  0.110 -1.286  0.151 -1.366  0.211 -1.427  0.292 -1.467  0.292 -1.557  0.352 -1.587
1d#tos#f2#f2018063/)  -0.656 1.302  -0.656 1.211  -0.662 1.126  -0.754 1.126  -0.701 1.126  -0.610 1.126  -0.518 1.126  -0.426 1.126  -0.343 1.107  -0.268 1.067  -0.188 1.030  -0.111 0.979  -0.029 0.950  0.000 0.882  0.065 0.817  0.109 0.744  0.112 0.654  0.194 0.613  0.276 0.572  0.351 0.525  0.392 0.443  0.403 0.354  0.403 0.262  0.462 0.230  0.462 0.138  0.462 0.047  0.462 -0.045  0.462 -0.137  0.462 -0.228  0.462 -0.320  0.454 -0.403  0.403 -0.444  0.403 -0.535  0.382 -0.622  0.344 -0.705  0.344 -0.796  0.293 -0.866  0.228 -0.931  0.158 -0.962  0.129 -1.049  0.084 -1.121  0.002 -1.162  -0.088 -1.168  -0.164 -1.205  -0.229 -1.270  -0.293 -1.335  -0.381 -1.344  -0.472 -1.344  -0.564 -1.344  -0.656 -1.344
1d#tos#f2#f2018063/+  -1.567 0.363  -1.639 0.217  -1.715 0.135  -1.553 0.135  -1.390 0.135  -1.228 0.135  -1.066 0.135  -0.903 0.135  -0.741 0.135  -0.578 0.135  -0.416 0.135  -0.253 0.135  -0.091 0.135  0.072 0.135  0.234 0.135  0.396 0.135  0.559 0.135  0.721 0.135  0.884 0.135  1.046 0.135  1.209 0.135  1.358 0.078  1.435 0.081  1.295 0.163  1.155 0.245  1.015 0.328  0.875 0.410  0.735 0.493  0.595 0.575  0.455 0.657  0.315 0.740  0.174 0.819  0.012 0.819  -0.075 0.743  -0.123 0.628  -0.123 0.466  -0.123 0.304  -0.123 0.141  -0.123 -0.021  -0.123 -0.184  -0.091 -0.341  -0.047 -0.496  -0.047 -0.659  -0.047 -0.821  -0.047 -0.984  -0.047 -1.146  -0.047 -1.309  -0.047 -1.471  -0.047 -1.634  -0.123 -1.765
1d#tos#f2#f2018063/,  0.646 1.548  0.646 1.474  0.646 1.400  0.646 1.326  0.646 1.253  0.646 1.179  0.646 1.105  0.608 1.048  0.555 0.996  0.503 0.943  0.493 0.874  0.493 0.800  0.493 0.727  0.493 0.653  0.460 0.593  0.408 0.541  0.356 0.488  0.304 0.436  0.252 0.384  0.199 0.332  0.147 0.280  0.095 0.228  0.043 0.176  -0.009 0.124  -0.061 0.071  -0.113 0.019  -0.122 -0.051  -0.122 -0.125  -0.122 -0.198  -0.122 -0.272  -0.157 -0.331  -0.209 -0.383  -0.261 -0.436  -0.305 -0.494  -0.346 -0.556  -0.387 -0.617  -0.428 -0.678  -0.469 -0.740  -0.509 -0.801  -0.550 -0.862  -0.583 -0.926  -0.583 -1.000  -0.583 -1.074  -0.583 -1.147  -0.583 -1.221  -0.583 -1.295  -0.583 -1.368  -0.632 -1.422  -0.685 -1.474  -0.737 -1.526
1d#tos#f2#f2018063/<  1.148 1.414  1.043 1.362  1.005 1.267  0.959 1.177  0.853 1.128  0.735 1.128  0.646 1.056  0.563 0.972  0.471 0.902  0.359 0.865  0.264 0.805  0.199 0.706  0.146 0.604  0.088 0.517  -0.010 0.451  -0.111 0.391  -0.216 0.338  -0.315 0.272  -0.413 0.207  -0.525 0.184  -0.631 0.131  -0.737 0.101  -0.821 0.018  -0.924 -0.018  -1.030 -0.048  -1.114 -0.131  -1.067 -0.161  -1.000 -0.212  -0.974 -0.304  -0.855 -0.304  -0.737 -0.304  -0.626 -0.320  -0.531 -0.376  -0.427 -0.390  -0.427 -0.508  -0.320 -0.519  -0.226 -0.577  -0.113 -0.590  0.004 -0.593  0.057 -0.698  0.153 -0.734  0.241 -0.782  0.299 -0.882  0.405 -0.935  0.511 -0.988  0.616 -1.040  0.722 -1.092  0.840 -1.092  0.887 -1.163  0.933 -1.235
1d#tos#f2#f2018063/>  -0.353 1.227  -0.460 1.227  -0.567 1.227  -0.652 1.172  -0.693 1.140  -0.600 1.105  -0.597 1.001  -0.518 0.943  -0.422 0.895  -0.323 0.861  -0.216 0.861  -0.170 0.800  -0.170 0.692  -0.078 0.678  0.029 0.678  0.136 0.678  0.244 0.678  0.257 0.584  0.272 0.485  0.361 0.426  0.452 0.373  0.559 0.373  0.642 0.334  0.698 0.251  0.805 0.251  0.806 0.145  0.806 0.038  0.729 0.007  0.640 -0.036  0.564 -0.112  0.516 -0.207  0.448 -0.289  0.379 -0.367  0.324 -0.420  0.247 -0.491  0.171 -0.567  0.095 -0.642  0.019 -0.718  -0.046 -0.803  -0.110 -0.889  -0.173 -0.975  -0.221 -1.071  -0.278 -1.161  -0.338 -1.250  -0.409 -1.329  -0.459 -1.424  -0.536 -1.466  -0.536 -1.573  -0.612 -1.640  -0.658 -1.701
