1b#apa#apa03#app0381/Q  0.186 0.769  0.109 0.909  0.033 1.048  -0.157 0.984  -0.341 0.909  -0.557 0.909  -0.738 0.822  -0.890 0.670  -1.043 0.517  -1.097 0.323  -1.209 0.154  -1.209 -0.062  -1.209 -0.278  -1.204 -0.492  -1.051 -0.645  -0.885 -0.765  -0.669 -0.765  -0.453 -0.765  -0.237 -0.765  -0.025 -0.742  0.180 -0.674  0.382 -0.598  0.575 -0.501  0.734 -0.357  0.927 -0.303  1.023 -0.126  1.162 -0.050  1.162 0.166  1.140 0.373  1.023 0.540  1.023 0.756  0.838 0.814  0.661 0.909  0.445 0.909  0.229 0.909  0.023 0.885  -0.085 0.718  -0.049 0.505  -0.014 0.292  0.022 0.079  0.046 -0.001  0.046 -0.072  0.046 -0.288  0.046 -0.504  0.046 -0.720  0.068 -0.927  0.186 -1.094  0.186 -1.310  0.249 -1.463  0.325 -1.602
1b#apa#apa03#app0381/U  -0.517 1.152  -0.517 1.034  -0.557 0.958  -0.675 0.958  -0.711 0.876  -0.711 0.758  -0.711 0.641  -0.711 0.523  -0.711 0.406  -0.772 0.314  -0.855 0.231  -0.905 0.134  -0.905 0.016  -0.905 -0.101  -0.905 -0.219  -0.905 -0.336  -0.853 -0.402  -0.735 -0.402  -0.711 -0.495  -0.711 -0.612  -0.711 -0.730  -0.653 -0.790  -0.536 -0.790  -0.418 -0.790  -0.301 -0.790  -0.183 -0.790  -0.066 -0.790  0.052 -0.790  0.169 -0.790  0.279 -0.771  0.362 -0.688  0.445 -0.605  0.559 -0.596  0.648 -0.568  0.648 -0.450  0.697 -0.353  0.780 -0.270  0.863 -0.187  0.947 -0.104  1.030 -0.020  1.037 0.094  1.037 0.212  1.037 0.329  1.037 0.447  1.037 0.564  1.037 0.682  1.037 0.799  1.037 0.917  1.037 1.034  1.037 1.152
1b#apa#apa03#app0381/I  0.395 1.632  0.395 1.559  0.395 1.487  0.395 1.414  0.395 1.341  0.395 1.269  0.381 1.202  0.330 1.150  0.279 1.099  0.227 1.048  0.186 0.992  0.186 0.919  0.186 0.847  0.186 0.774  0.186 0.701  0.186 0.629  0.163 0.566  0.111 0.514  0.060 0.463  0.009 0.412  -0.023 0.352  -0.023 0.279  -0.023 0.207  -0.023 0.134  -0.023 0.061  -0.023 -0.011  -0.044 -0.079  -0.076 -0.144  -0.109 -0.209  -0.141 -0.274  -0.174 -0.339  -0.206 -0.404  -0.231 -0.471  -0.231 -0.543  -0.231 -0.616  -0.231 -0.689  -0.231 -0.761  -0.231 -0.834  -0.231 -0.907  -0.231 -0.979  -0.231 -1.052  -0.231 -1.125  -0.231 -1.197  -0.231 -1.270  -0.231 -1.343  -0.231 -1.415  -0.231 -1.488  -0.231 -1.561  -0.231 -1.633  -0.231 -1.706
1b#apa#apa03#app0381/C  1.131 0.854  1.131 0.961  1.093 1.029  0.986 1.029  0.879 1.029  0.773 1.029  0.666 1.029  0.559 1.029  0.452 1.029  0.345 1.029  0.256 1.011  0.256 0.904  0.206 0.829  0.110 0.781  0.015 0.733  -0.081 0.685  -0.159 0.614  -0.235 0.538  -0.310 0.463  -0.386 0.387  -0.461 0.312  -0.537 0.236  -0.612 0.161  -0.716 0.153  -0.794 0.125  -0.794 0.018  -0.794 -0.089  -0.794 -0.195  -0.794 -0.302  -0.794 -0.409  -0.794 -0.516  -0.794 -0.623  -0.789 -0.727  -0.713 -0.803  -0.638 -0.878  -0.539 -0.897  -0.432 -0.897  -0.325 -0.897  -0.218 -0.897  -0.112 -0.897  -0.005 -0.897  0.102 -0.897  0.209 -0.897  0.316 -0.897  0.422 -0.897  0.529 -0.897  0.636 -0.897  0.743 -0.897  0.850 -0.897  0.956 -0.897
1b#apa#apa03#app0381/K  -0.455 1.151  -0.500 0.949  -0.613 0.774  -0.613 0.552  -0.748 0.387  -0.770 0.175  -0.770 -0.047  -0.770 -0.268  -0.770 -0.489  -0.770 -0.711  -0.770 -0.932  -0.770 -1.153  -0.765 -1.358  -0.637 -1.177  -0.509 -0.997  -0.382 -0.816  -0.254 -0.635  -0.126 -0.454  0.001 -0.273  0.129 -0.092  0.257 0.088  0.384 0.269  0.512 0.450  0.640 0.631  0.767 0.812  0.895 0.993  1.023 1.173  1.158 1.269  1.275 1.096  1.156 0.994  0.961 0.968  0.871 0.837  0.649 0.837  0.492 0.683  0.289 0.637  0.174 0.464  0.052 0.365  -0.141 0.336  -0.234 0.207  -0.298 0.050  -0.455 -0.014  -0.455 -0.235  -0.319 -0.400  -0.163 -0.557  -0.108 -0.736  0.085 -0.805  0.242 -0.961  0.331 -1.145  0.332 -1.366  0.489 -1.523
1b#apa#apa03#app0381/L  0.253 1.750  0.253 1.637  0.253 1.524  0.253 1.411  0.182 1.327  0.102 1.247  0.022 1.167  -0.058 1.087  -0.099 0.991  -0.099 0.878  -0.099 0.765  -0.141 0.694  -0.254 0.694  -0.275 0.602  -0.296 0.498  -0.376 0.418  -0.456 0.338  -0.536 0.258  -0.616 0.178  -0.627 0.070  -0.627 -0.043  -0.627 -0.156  -0.627 -0.269  -0.648 -0.361  -0.761 -0.361  -0.803 -0.432  -0.803 -0.546  -0.803 -0.659  -0.744 -0.713  -0.631 -0.713  -0.518 -0.713  -0.405 -0.713  -0.292 -0.713  -0.179 -0.713  -0.066 -0.713  0.047 -0.713  0.160 -0.713  0.267 -0.698  0.347 -0.618  0.427 -0.538  0.540 -0.537  0.653 -0.537  0.766 -0.537  0.879 -0.537  0.981 -0.562  1.061 -0.642  1.145 -0.713  1.258 -0.713  1.308 -0.776  1.308 -0.889
1b#apa#apa03#app0381/Y  -0.512 1.198  -0.512 1.046  -0.613 0.936  -0.674 0.809  -0.674 0.657  -0.674 0.505  -0.674 0.353  -0.646 0.228  -0.494 0.228  -0.342 0.228  -0.190 0.228  -0.038 0.228  0.114 0.228  0.266 0.228  0.405 0.283  0.541 0.351  0.684 0.390  0.781 0.445  0.826 0.552  0.942 0.588  0.969 0.713  1.104 0.730  1.097 0.872  0.958 0.812  0.818 0.752  0.678 0.692  0.538 0.633  0.399 0.573  0.259 0.513  0.119 0.453  -0.021 0.393  -0.027 0.245  -0.027 0.093  -0.027 -0.059  -0.143 -0.095  -0.189 -0.201  -0.257 -0.325  -0.351 -0.438  -0.351 -0.591  -0.351 -0.743  -0.351 -0.895  -0.351 -1.047  -0.351 -1.199  -0.351 -1.351  -0.432 -1.469  -0.512 -1.588  -0.484 -1.711  -0.351 -1.730  -0.341 -1.873  -0.189 -1.873
1b#apa#apa03#app0381/F  -0.146 0.802  -0.146 0.569  -0.227 0.355  -0.288 0.136  -0.321 -0.083  -0.430 -0.271  -0.430 -0.504  -0.514 -0.703  -0.576 -0.911  -0.680 -1.119  -0.714 -1.344  -0.714 -1.578  -0.711 -1.701  -0.698 -1.468  -0.686 -1.236  -0.673 -1.003  -0.660 -0.770  -0.647 -0.537  -0.634 -0.304  -0.621 -0.072  -0.608 0.161  -0.595 0.394  -0.582 0.627  -0.515 0.802  -0.282 0.802  -0.049 0.802  0.042 0.945  0.276 0.945  0.509 0.945  0.742 0.945  0.975 0.945  1.208 0.945  1.441 0.945  1.463 0.882  1.267 0.756  1.071 0.630  0.874 0.504  0.678 0.378  0.482 0.252  0.286 0.126  0.090 -0.000  -0.106 -0.126  -0.302 -0.252  -0.349 -0.335  -0.125 -0.313  0.058 -0.192  0.292 -0.192  0.525 -0.192  0.758 -0.192  0.991 -0.192
1b#apa#apa03#app0381/O  -0.280 0.289  -0.120 0.289  0.008 0.302  -0.105 0.415  -0.218 0.528  -0.352 0.590  -0.512 0.590  -0.645 0.526  -0.758 0.413  -0.871 0.300  -1.011 0.225  -1.154 0.153  -1.183 0.011  -1.183 -0.148  -1.183 -0.308  -1.183 -0.468  -1.169 -0.614  -1.016 -0.630  -0.903 -0.743  -0.752 -0.764  -0.633 -0.863  -0.495 -0.915  -0.335 -0.915  -0.175 -0.915  -0.016 -0.915  0.131 -0.860  0.274 -0.788  0.428 -0.764  0.582 -0.728  0.734 -0.677  0.885 -0.627  1.008 -0.530  1.121 -0.417  1.225 -0.300  1.225 -0.140  1.225 0.020  1.225 0.179  1.190 0.325  1.077 0.438  0.964 0.551  0.851 0.664  0.723 0.741  0.623 0.801  0.554 0.891  0.394 0.891  0.234 0.891  0.075 0.891  -0.054 0.816  -0.167 0.703  -0.280 0.590
1b#apa#apa03#app0381/R  -0.259 0.186  -0.354 0.056  -0.449 0.186  -0.630 0.077  -0.716 -0.075  -0.782 -0.236  -0.782 -0.462  -0.782 -0.688  -0.913 -0.783  -0.913 -1.009  -0.913 -1.235  -0.835 -1.384  -0.742 -1.215  -0.691 -0.995  -0.639 -0.775  -0.587 -0.555  -0.535 -0.335  -0.484 -0.115  -0.432 0.105  -0.380 0.325  -0.328 0.545  -0.276 0.765  -0.154 0.946  0.003 1.030  0.150 1.119  0.329 1.233  0.555 1.233  0.781 1.233  0.984 1.135  1.202 1.102  1.311 0.985  1.254 0.783  1.094 0.623  0.919 0.546  0.791 0.448  0.565 0.448  0.393 0.317  0.195 0.248  -0.003 0.181  -0.177 0.056  -0.259 -0.089  -0.259 -0.315  -0.054 -0.337  0.122 -0.456  0.343 -0.468  0.519 -0.591  0.717 -0.658  0.788 -0.855  0.657 -1.027  0.657 -1.253
1b#apa#apa03#app0381/G  0.662 1.298  0.514 1.298  0.367 1.298  0.220 1.298  0.073 1.298  -0.043 1.223  -0.147 1.119  -0.251 1.015  -0.385 0.982  -0.506 0.919  -0.600 0.811  -0.602 0.664  -0.706 0.560  -0.810 0.456  -0.914 0.352  -0.915 0.205  -0.915 0.058  -0.915 -0.089  -0.915 -0.236  -0.915 -0.383  -0.915 -0.530  -0.856 -0.653  -0.752 -0.757  -0.648 -0.861  -0.521 -0.910  -0.374 -0.910  -0.284 -0.967  -0.238 -1.067  -0.090 -1.067  0.057 -1.067  0.199 -1.057  0.303 -0.952  0.433 -0.910  0.504 -0.834  0.504 -0.686  0.504 -0.539  0.504 -0.392  0.504 -0.245  0.487 -0.105  0.383 -0.001  0.251 0.036  0.273 0.036  0.420 0.036  0.567 0.036  0.714 0.036  0.861 0.036  1.008 0.036  1.156 0.036  1.303 0.036  1.450 0.036
