2#app#app08#app0819/O  -0.466 0.642  -0.537 0.569  -0.571 0.433  -0.652 0.316  -0.679 0.183  -0.705 0.050  -0.749 -0.076  -0.749 -0.220  -0.749 -0.364  -0.749 -0.508  -0.708 -0.642  -0.636 -0.766  -0.556 -0.886  -0.459 -0.992  -0.357 -1.094  -0.256 -1.195  -0.112 -1.197  0.032 -1.197  0.176 -1.197  0.318 -1.191  0.429 -1.103  0.551 -1.028  0.653 -0.926  0.748 -0.820  0.812 -0.691  0.876 -0.562  0.877 -0.418  0.877 -0.274  0.877 -0.130  0.877 0.014  0.877 0.158  0.877 0.302  0.839 0.437  0.767 0.561  0.687 0.681  0.618 0.807  0.530 0.919  0.420 1.007  0.283 1.053  0.144 1.091  0.005 1.126  -0.138 1.137  -0.282 1.137  -0.396 1.066  -0.487 0.956  -0.559 0.833  -0.608 0.709  -0.632 0.569  -0.678 0.432  -0.679 0.289
2#app#app08#app0819/N  -0.678 0.566  -0.678 0.379  -0.678 0.192  -0.678 0.006  -0.720 -0.174  -0.766 -0.354  -0.766 -0.540  -0.854 -0.690  -0.854 -0.877  -0.854 -1.064  -0.813 -0.976  -0.752 -0.812  -0.678 -0.643  -0.624 -0.469  -0.590 -0.290  -0.575 -0.107  -0.503 0.063  -0.503 0.249  -0.503 0.436  -0.503 0.623  -0.503 0.810  -0.503 0.996  -0.439 1.030  -0.415 0.853  -0.391 0.670  -0.332 0.493  -0.251 0.325  -0.206 0.149  -0.123 -0.018  -0.039 -0.185  0.025 -0.356  0.088 -0.528  0.206 -0.670  0.320 -0.816  0.437 -0.929  0.623 -0.929  0.786 -0.871  0.841 -0.703  0.937 -0.544  0.992 -0.381  1.045 -0.207  1.129 -0.040  1.168 0.138  1.168 0.325  1.168 0.511  1.168 0.698  1.168 0.885  1.168 1.071  1.168 1.258  1.168 1.445
2#app#app08#app0819/T  -0.285 0.593  -0.127 0.593  -0.120 0.442  -0.037 0.319  0.008 0.172  0.046 0.023  0.092 -0.115  0.128 -0.257  0.128 -0.415  0.128 -0.573  0.128 -0.730  0.128 -0.888  0.128 -1.045  0.128 -1.203  0.128 -1.360  0.100 -1.434  0.004 -1.309  -0.091 -1.184  -0.187 -1.058  -0.282 -0.933  -0.378 -0.808  -0.473 -0.682  -0.569 -0.557  -0.664 -0.432  -0.759 -0.306  -0.855 -0.181  -0.950 -0.056  -1.046 0.070  -1.141 0.195  -1.141 0.314  -1.006 0.367  -0.873 0.427  -0.750 0.510  -0.598 0.543  -0.448 0.593  -0.290 0.593  -0.133 0.593  0.025 0.593  0.182 0.593  0.326 0.650  0.478 0.675  0.636 0.675  0.793 0.675  0.951 0.675  1.108 0.675  1.266 0.675  1.366 0.732  1.484 0.792  1.614 0.848  1.697 0.923
2#app#app08#app0819/H  -0.919 1.261  -0.919 0.969  -0.842 0.696  -0.816 0.411  -0.809 0.123  -0.713 -0.128  -0.713 -0.420  -0.713 -0.711  -0.713 -1.002  -0.666 -1.133  -0.507 -0.889  -0.348 -0.645  -0.189 -0.401  -0.030 -0.158  0.129 0.086  0.288 0.330  0.447 0.574  0.606 0.818  0.765 1.062  0.828 1.187  0.828 0.896  0.828 0.604  0.725 0.356  0.725 0.065  0.725 -0.226  0.828 -0.475  0.880 -0.744  0.983 -1.002  0.878 -1.016  0.624 -0.874  0.370 -0.731  0.116 -0.589  -0.138 -0.447  -0.392 -0.305  -0.646 -0.162  -0.900 -0.020  -1.154 0.122  -1.408 0.264  -1.390 0.336  -1.137 0.245  -0.851 0.233  -0.560 0.233  -0.268 0.233  0.017 0.195  0.297 0.130  0.588 0.130  0.880 0.130  1.171 0.130  1.462 0.130  1.753 0.130
2#app#app08#app0819/E  -0.613 1.001  -0.516 1.026  -0.418 0.799  -0.418 0.533  -0.418 0.266  -0.439 0.008  -0.516 -0.227  -0.613 -0.453  -0.710 -0.680  -0.807 -0.849  -0.807 -1.116  -0.701 -1.333  -0.434 -1.333  -0.168 -1.333  0.099 -1.333  0.366 -1.333  0.632 -1.333  0.859 -1.236  0.801 -1.122  0.593 -0.955  0.384 -0.789  0.176 -0.622  -0.032 -0.456  -0.240 -0.289  -0.449 -0.123  -0.613 0.015  -0.613 0.087  -0.385 0.126  -0.118 0.126  0.149 0.126  0.399 0.086  0.642 0.028  0.908 0.028  0.919 0.086  0.678 0.200  0.437 0.314  0.196 0.428  -0.045 0.543  -0.286 0.657  -0.527 0.771  -0.768 0.885  -0.681 1.001  -0.414 1.001  -0.148 1.001  0.119 1.001  0.386 1.001  0.652 1.001  0.911 0.968  1.163 0.903  1.429 0.903
2#app#app08#app0819/V  -1.458 1.040  -1.343 1.040  -1.236 1.022  -1.154 0.940  -1.073 0.859  -0.992 0.778  -0.948 0.681  -0.918 0.573  -0.867 0.470  -0.798 0.380  -0.717 0.299  -0.636 0.218  -0.554 0.136  -0.540 0.027  -0.492 -0.076  -0.440 -0.179  -0.361 -0.261  -0.300 -0.358  -0.249 -0.460  -0.176 -0.548  -0.095 -0.629  -0.019 -0.715  0.032 -0.818  0.073 -0.923  0.073 -1.038  0.108 -1.138  0.175 -1.184  0.208 -1.103  0.277 -1.056  0.295 -0.944  0.332 -0.835  0.368 -0.726  0.436 -0.637  0.504 -0.546  0.556 -0.443  0.583 -0.335  0.613 -0.227  0.664 -0.124  0.685 -0.014  0.721 0.093  0.773 0.195  0.787 0.307  0.787 0.422  0.792 0.535  0.873 0.616  0.889 0.724  0.889 0.839  0.900 0.950  0.982 1.031  0.991 1.142
2#app#app08#app0819/E  -1.002 0.572  -0.864 0.478  -0.864 0.246  -0.864 0.014  -0.791 -0.188  -0.727 -0.394  -0.657 -0.597  -0.454 -0.665  -0.289 -0.828  -0.125 -0.992  0.060 -1.127  0.271 -1.215  0.503 -1.215  0.711 -1.315  0.913 -1.346  0.720 -1.217  0.527 -1.088  0.333 -0.959  0.140 -0.831  -0.053 -0.702  -0.246 -0.573  -0.439 -0.445  -0.632 -0.316  -0.727 -0.135  -0.514 -0.115  -0.292 -0.093  -0.107 0.022  0.125 0.022  0.357 0.022  0.589 0.022  0.770 -0.100  0.996 -0.115  0.917 -0.027  0.720 0.094  0.522 0.216  0.325 0.338  0.127 0.459  -0.071 0.581  -0.268 0.702  -0.466 0.824  -0.663 0.945  -0.713 1.136  -0.532 1.259  -0.300 1.259  -0.068 1.259  0.164 1.259  0.397 1.259  0.629 1.259  0.853 1.226  1.060 1.122
2#app#app08#app0819/L  -0.668 1.558  -0.668 1.476  -0.668 1.394  -0.668 1.313  -0.668 1.231  -0.668 1.149  -0.668 1.067  -0.668 0.986  -0.668 0.904  -0.668 0.822  -0.647 0.744  -0.621 0.666  -0.596 0.589  -0.570 0.511  -0.561 0.431  -0.561 0.349  -0.561 0.267  -0.561 0.186  -0.520 0.121  -0.462 0.063  -0.453 -0.015  -0.422 -0.084  -0.365 -0.142  -0.346 -0.216  -0.325 -0.289  -0.267 -0.347  -0.202 -0.394  -0.129 -0.431  -0.055 -0.467  -0.024 -0.529  -0.003 -0.590  0.079 -0.590  0.160 -0.590  0.242 -0.590  0.321 -0.602  0.394 -0.638  0.467 -0.675  0.544 -0.698  0.625 -0.698  0.707 -0.698  0.789 -0.698  0.871 -0.698  0.952 -0.698  1.034 -0.698  1.116 -0.698  1.186 -0.670  1.244 -0.612  1.317 -0.590  1.398 -0.590  1.480 -0.590
2#app#app08#app0819/V  -1.467 0.941  -1.383 0.857  -1.300 0.774  -1.217 0.690  -1.133 0.607  -1.050 0.523  -0.966 0.440  -0.883 0.356  -0.799 0.273  -0.716 0.190  -0.632 0.106  -0.549 0.023  -0.465 -0.061  -0.382 -0.144  -0.373 -0.259  -0.292 -0.343  -0.229 -0.442  -0.176 -0.547  -0.155 -0.660  -0.099 -0.755  -0.015 -0.839  0.064 -0.924  0.064 -1.042  0.080 -1.153  0.164 -1.237  0.278 -1.246  0.283 -1.133  0.287 -1.015  0.324 -0.903  0.361 -0.791  0.392 -0.678  0.405 -0.563  0.458 -0.458  0.501 -0.350  0.501 -0.232  0.519 -0.118  0.572 -0.012  0.611 0.097  0.611 0.215  0.611 0.333  0.636 0.445  0.689 0.550  0.720 0.661  0.720 0.779  0.720 0.897  0.720 1.015  0.720 1.133  0.720 1.252  0.720 1.370  0.829 1.378
2#app#app08#app0819/E  -0.933 0.736  -0.933 0.723  -0.933 0.515  -0.933 0.307  -0.933 0.099  -0.933 -0.109  -0.933 -0.317  -0.800 -0.470  -0.718 -0.640  -0.534 -0.737  -0.362 -0.825  -0.175 -0.912  0.011 -1.005  0.216 -1.020  0.424 -1.020  0.632 -1.020  0.840 -1.020  1.048 -1.020  1.256 -1.020  1.419 -0.912  1.431 -0.783  1.249 -0.682  1.067 -0.581  0.885 -0.480  0.703 -0.379  0.521 -0.278  0.339 -0.177  0.158 -0.076  -0.024 0.025  -0.206 0.126  -0.133 0.248  0.075 0.248  0.283 0.248  0.491 0.248  0.699 0.248  0.556 0.314  0.362 0.390  0.168 0.465  -0.026 0.540  -0.220 0.616  -0.414 0.691  -0.608 0.767  -0.802 0.842  -0.996 0.918  -0.900 1.029  -0.692 1.029  -0.484 1.029  -0.276 1.029  -0.068 1.029  0.140 1.029
2#app#app08#app0819/T  -0.175 0.914  -0.134 0.790  -0.051 0.707  -0.051 0.541  0.066 0.424  0.073 0.261  0.125 0.117  0.197 -0.019  0.197 -0.185  0.197 -0.350  0.243 -0.497  0.321 -0.630  0.321 -0.796  0.321 -0.962  0.321 -1.127  0.321 -1.293  0.321 -1.459  0.377 -1.568  0.445 -1.666  0.380 -1.568  0.303 -1.422  0.227 -1.275  0.150 -1.128  0.073 -0.981  -0.004 -0.835  -0.081 -0.688  -0.158 -0.541  -0.235 -0.394  -0.312 -0.248  -0.388 -0.101  -0.465 0.046  -0.542 0.193  -0.619 0.339  -0.696 0.486  -0.773 0.633  -0.850 0.780  -0.920 0.928  -0.864 1.038  -0.698 1.038  -0.533 1.038  -0.367 1.038  -0.201 1.038  -0.036 1.038  0.124 1.012  0.272 0.938  0.432 0.914  0.598 0.914  0.763 0.914  0.917 0.864  1.065 0.790
