2#apb#apb15#app1570/4  -0.839 0.607  -0.867 0.772  -0.885 0.877  -0.946 0.720  -0.993 0.558  -1.044 0.397  -1.100 0.238  -1.146 0.075  -1.173 -0.091  -1.169 -0.259  -1.112 -0.417  -1.019 -0.551  -0.864 -0.615  -0.697 -0.620  -0.529 -0.608  -0.360 -0.596  -0.200 -0.544  -0.037 -0.500  0.129 -0.469  0.295 -0.438  0.440 -0.383  0.494 -0.223  0.549 -0.063  0.603 0.097  0.658 0.257  0.712 0.417  0.766 0.576  0.821 0.736  0.875 0.896  0.930 1.056  0.975 1.214  0.850 1.265  0.769 1.117  0.693 0.966  0.622 0.813  0.572 0.652  0.523 0.490  0.473 0.329  0.423 0.168  0.374 0.006  0.325 -0.156  0.277 -0.318  0.230 -0.480  0.201 -0.646  0.172 -0.812  0.130 -0.976  0.082 -1.138  0.041 -1.301  -0.000 -1.465  -0.021 -1.632
2#apb#apb15#app1570/  1.038 1.168  1.091 1.213  1.069 1.172  1.029 1.114  0.988 1.056  0.946 0.999  0.900 0.945  0.854 0.890  0.809 0.836  0.763 0.782  0.712 0.732  0.662 0.682  0.612 0.632  0.562 0.581  0.512 0.531  0.462 0.481  0.411 0.431  0.361 0.381  0.311 0.331  0.261 0.280  0.211 0.230  0.161 0.180  0.111 0.130  0.061 0.079  0.012 0.028  -0.037 -0.023  -0.087 -0.074  -0.136 -0.125  -0.186 -0.176  -0.235 -0.227  -0.284 -0.278  -0.334 -0.329  -0.383 -0.380  -0.432 -0.431  -0.481 -0.482  -0.531 -0.533  -0.580 -0.585  -0.629 -0.636  -0.678 -0.687  -0.727 -0.739  -0.776 -0.790  -0.825 -0.841  -0.867 -0.898  -0.907 -0.956  -0.948 -1.015  -0.988 -1.073  -1.029 -1.131  -1.012 -1.176  -0.943 -1.158  -0.875 -1.139
2#apb#apb15#app1570/9  0.190 -0.007  0.353 0.090  0.413 0.264  0.497 0.432  0.552 0.614  0.595 0.800  0.541 0.965  0.407 1.098  0.238 1.169  0.053 1.133  -0.121 1.054  -0.285 0.956  -0.429 0.830  -0.574 0.705  -0.723 0.585  -0.838 0.433  -0.943 0.273  -1.037 0.107  -1.075 -0.078  -1.036 -0.261  -0.885 -0.377  -0.713 -0.444  -0.529 -0.397  -0.373 -0.286  -0.211 -0.183  -0.075 -0.053  0.042 0.098  0.160 0.250  0.248 0.419  0.337 0.589  0.426 0.758  0.501 0.933  0.490 0.905  0.442 0.719  0.392 0.535  0.348 0.348  0.304 0.162  0.272 -0.026  0.240 -0.215  0.209 -0.404  0.177 -0.593  0.160 -0.783  0.150 -0.974  0.138 -1.165  0.125 -1.356  0.135 -1.547  0.150 -1.738  0.165 -1.928  0.163 -2.116  0.234 -2.293
2#apb#apb15#app1570/1  0.412 1.107  0.383 1.175  0.353 1.243  0.360 1.311  0.389 1.379  0.409 1.414  0.399 1.341  0.388 1.268  0.375 1.195  0.363 1.122  0.350 1.049  0.337 0.976  0.324 0.903  0.303 0.832  0.278 0.762  0.253 0.693  0.227 0.623  0.202 0.553  0.177 0.484  0.151 0.414  0.127 0.344  0.106 0.273  0.084 0.202  0.062 0.131  0.041 0.061  0.019 -0.010  -0.002 -0.081  -0.024 -0.152  -0.049 -0.222  -0.075 -0.291  -0.102 -0.360  -0.128 -0.429  -0.155 -0.499  -0.181 -0.568  -0.207 -0.637  -0.239 -0.704  -0.272 -0.770  -0.305 -0.837  -0.338 -0.903  -0.371 -0.969  -0.402 -1.036  -0.417 -1.109  -0.433 -1.181  -0.448 -1.254  -0.464 -1.326  -0.485 -1.397  -0.508 -1.468  -0.487 -1.532  -0.427 -1.559  -0.353 -1.559
2#apb#apb15#app1570/2  -0.199 1.054  -0.186 1.182  -0.071 1.284  0.062 1.363  0.199 1.437  0.342 1.487  0.497 1.498  0.634 1.438  0.712 1.312  0.737 1.165  0.703 1.013  0.660 0.866  0.580 0.733  0.500 0.600  0.415 0.470  0.326 0.344  0.236 0.217  0.144 0.093  0.037 -0.019  -0.070 -0.131  -0.177 -0.244  -0.284 -0.356  -0.392 -0.468  -0.499 -0.580  -0.606 -0.692  -0.722 -0.794  -0.840 -0.896  -0.952 -1.003  -1.068 -1.104  -1.081 -0.986  -0.984 -0.865  -0.879 -0.752  -0.770 -0.642  -0.660 -0.532  -0.553 -0.420  -0.446 -0.308  -0.340 -0.195  -0.204 -0.122  -0.064 -0.057  0.076 0.000  0.183 -0.090  0.302 -0.184  0.319 -0.338  0.365 -0.486  0.427 -0.628  0.483 -0.772  0.579 -0.894  0.688 -1.000  0.843 -1.000  0.998 -1.000
2#apb#apb15#app1570/  0.894 1.049  0.923 1.115  0.954 1.179  0.961 1.206  0.932 1.140  0.900 1.076  0.858 1.018  0.816 0.960  0.774 0.902  0.733 0.844  0.691 0.786  0.643 0.732  0.595 0.679  0.547 0.626  0.499 0.573  0.451 0.520  0.403 0.467  0.355 0.414  0.307 0.360  0.260 0.307  0.212 0.253  0.165 0.200  0.117 0.146  0.069 0.092  0.022 0.039  -0.026 -0.015  -0.073 -0.068  -0.120 -0.122  -0.168 -0.176  -0.215 -0.230  -0.262 -0.284  -0.309 -0.337  -0.357 -0.391  -0.404 -0.445  -0.451 -0.499  -0.499 -0.552  -0.546 -0.606  -0.593 -0.660  -0.641 -0.714  -0.686 -0.769  -0.730 -0.825  -0.775 -0.881  -0.820 -0.937  -0.861 -0.996  -0.898 -1.057  -0.936 -1.118  -0.964 -1.184  -0.972 -1.253  -0.923 -1.277  -0.852 -1.287
2#apb#apb15#app1570/2  -0.292 0.845  -0.329 0.969  -0.261 1.085  -0.143 1.156  -0.026 1.227  0.085 1.308  0.196 1.388  0.326 1.410  0.463 1.410  0.587 1.391  0.635 1.262  0.635 1.129  0.612 0.994  0.577 0.861  0.534 0.731  0.491 0.601  0.411 0.490  0.327 0.382  0.243 0.274  0.159 0.165  0.062 0.068  -0.035 -0.029  -0.132 -0.126  -0.229 -0.223  -0.325 -0.321  -0.419 -0.421  -0.513 -0.521  -0.607 -0.621  -0.702 -0.720  -0.799 -0.817  -0.896 -0.914  -1.023 -0.951  -0.998 -0.879  -0.893 -0.791  -0.765 -0.745  -0.634 -0.705  -0.507 -0.653  -0.384 -0.592  -0.259 -0.537  -0.127 -0.501  0.006 -0.482  0.141 -0.507  0.270 -0.547  0.389 -0.615  0.478 -0.720  0.562 -0.828  0.644 -0.938  0.733 -1.043  0.822 -1.147  0.910 -1.253
2#apb#apb15#app1570/1  0.329 1.299  0.389 1.339  0.421 1.398  0.444 1.462  0.444 1.414  0.416 1.348  0.388 1.282  0.374 1.212  0.363 1.141  0.352 1.069  0.341 0.998  0.330 0.927  0.306 0.859  0.281 0.792  0.256 0.725  0.231 0.657  0.205 0.590  0.180 0.522  0.155 0.455  0.132 0.387  0.108 0.319  0.084 0.251  0.060 0.183  0.037 0.115  0.013 0.047  -0.011 -0.021  -0.037 -0.088  -0.066 -0.154  -0.095 -0.220  -0.124 -0.285  -0.153 -0.351  -0.181 -0.417  -0.210 -0.483  -0.231 -0.552  -0.251 -0.621  -0.270 -0.691  -0.290 -0.760  -0.310 -0.829  -0.329 -0.898  -0.346 -0.968  -0.364 -1.038  -0.381 -1.108  -0.399 -1.178  -0.411 -1.249  -0.421 -1.320  -0.427 -1.390  -0.395 -1.455  -0.357 -1.516  -0.312 -1.572  -0.267 -1.628
2#apb#apb15#app1570/  1.043 1.228  1.091 1.181  1.085 1.132  1.050 1.071  1.014 1.011  0.966 0.961  0.918 0.910  0.871 0.859  0.823 0.808  0.774 0.758  0.725 0.709  0.675 0.659  0.626 0.610  0.577 0.560  0.527 0.511  0.478 0.462  0.428 0.412  0.379 0.363  0.330 0.314  0.280 0.264  0.231 0.215  0.182 0.165  0.132 0.116  0.083 0.067  0.033 0.018  -0.017 -0.031  -0.068 -0.079  -0.118 -0.128  -0.168 -0.176  -0.218 -0.225  -0.268 -0.273  -0.318 -0.322  -0.369 -0.370  -0.422 -0.416  -0.474 -0.462  -0.526 -0.509  -0.578 -0.555  -0.630 -0.601  -0.683 -0.648  -0.732 -0.697  -0.779 -0.749  -0.826 -0.801  -0.873 -0.852  -0.920 -0.904  -0.967 -0.956  -1.011 -1.009  -1.056 -1.063  -1.096 -1.119  -1.111 -1.188  -1.093 -1.230
2#apb#apb15#app1570/9  0.007 -0.023  0.092 0.128  0.158 0.289  0.215 0.452  0.298 0.604  0.322 0.776  0.339 0.948  0.275 1.105  0.152 1.228  0.002 1.309  -0.150 1.224  -0.307 1.150  -0.458 1.066  -0.594 0.960  -0.674 0.806  -0.751 0.651  -0.829 0.495  -0.881 0.332  -0.905 0.160  -0.921 -0.012  -0.913 -0.181  -0.817 -0.324  -0.678 -0.376  -0.517 -0.312  -0.369 -0.223  -0.219 -0.135  -0.074 -0.041  0.049 0.082  0.166 0.210  0.273 0.346  0.371 0.489  0.477 0.626  0.585 0.676  0.611 0.508  0.608 0.335  0.581 0.164  0.554 -0.008  0.517 -0.177  0.476 -0.346  0.435 -0.515  0.392 -0.683  0.348 -0.851  0.309 -1.019  0.279 -1.190  0.249 -1.361  0.224 -1.533  0.203 -1.705  0.164 -1.874  0.132 -2.043  0.194 -2.190
2#apb#apb15#app1570/1  0.203 1.679  0.214 1.610  0.225 1.541  0.226 1.472  0.226 1.402  0.226 1.332  0.226 1.263  0.226 1.193  0.218 1.124  0.208 1.055  0.198 0.986  0.187 0.917  0.177 0.848  0.167 0.779  0.156 0.710  0.150 0.641  0.144 0.571  0.138 0.502  0.132 0.433  0.126 0.363  0.120 0.294  0.114 0.224  0.106 0.155  0.094 0.087  0.082 0.018  0.070 -0.051  0.058 -0.119  0.046 -0.188  0.034 -0.257  0.022 -0.325  0.002 -0.392  -0.022 -0.457  -0.046 -0.523  -0.070 -0.588  -0.094 -0.653  -0.118 -0.719  -0.142 -0.784  -0.168 -0.849  -0.193 -0.914  -0.218 -0.979  -0.243 -1.044  -0.269 -1.109  -0.294 -1.174  -0.316 -1.240  -0.336 -1.306  -0.356 -1.373  -0.376 -1.440  -0.398 -1.506  -0.420 -1.572  -0.442 -1.638
2#apb#apb15#app1570/5  -0.495 0.507  -0.466 0.704  -0.418 0.898  -0.447 0.899  -0.512 0.711  -0.619 0.544  -0.718 0.372  -0.762 0.180  -0.712 0.016  -0.524 -0.028  -0.327 -0.003  -0.130 0.037  0.065 0.078  0.259 0.128  0.451 0.170  0.634 0.091  0.776 -0.045  0.881 -0.215  0.926 -0.404  0.894 -0.599  0.812 -0.780  0.671 -0.918  0.515 -1.043  0.358 -1.167  0.179 -1.257  -0.006 -1.333  -0.197 -1.392  -0.394 -1.420  -0.585 -1.389  -0.666 -1.251  -0.637 -1.053  -0.608 -0.855  -0.579 -0.657  -0.550 -0.459  -0.521 -0.261  -0.492 -0.063  -0.463 0.136  -0.433 0.334  -0.404 0.532  -0.375 0.730  -0.322 0.889  -0.128 0.848  0.072 0.843  0.270 0.864  0.464 0.915  0.660 0.955  0.858 0.985  1.054 1.024  1.248 1.074  1.441 1.125
2#apb#apb15#app1570/  1.037 1.172  1.037 1.242  0.987 1.226  0.946 1.170  0.903 1.114  0.861 1.059  0.818 1.004  0.775 0.948  0.732 0.893  0.688 0.839  0.644 0.784  0.601 0.730  0.557 0.675  0.513 0.621  0.470 0.566  0.427 0.511  0.384 0.456  0.341 0.401  0.298 0.345  0.255 0.290  0.212 0.235  0.169 0.180  0.126 0.125  0.083 0.070  0.038 0.016  -0.009 -0.036  -0.056 -0.088  -0.102 -0.139  -0.149 -0.191  -0.196 -0.243  -0.243 -0.295  -0.290 -0.346  -0.337 -0.398  -0.383 -0.451  -0.428 -0.505  -0.473 -0.558  -0.518 -0.611  -0.563 -0.665  -0.608 -0.718  -0.654 -0.771  -0.698 -0.825  -0.743 -0.879  -0.788 -0.932  -0.833 -0.986  -0.877 -1.040  -0.922 -1.094  -0.966 -1.148  -1.009 -1.203  -1.040 -1.262  -1.012 -1.286
