3#apb#apb23#app2370/L  0.287 1.607  0.259 1.691  0.205 1.723  0.195 1.636  0.186 1.548  0.176 1.460  0.166 1.372  0.149 1.286  0.130 1.200  0.112 1.113  0.093 1.027  0.075 0.941  0.056 0.854  0.036 0.768  0.014 0.683  -0.009 0.598  -0.032 0.512  -0.055 0.427  -0.077 0.342  -0.100 0.256  -0.123 0.171  -0.144 0.085  -0.166 -0.000  -0.187 -0.086  -0.208 -0.172  -0.230 -0.257  -0.255 -0.342  -0.288 -0.424  -0.321 -0.506  -0.354 -0.588  -0.387 -0.669  -0.407 -0.754  -0.407 -0.842  -0.410 -0.930  -0.447 -1.009  -0.437 -1.005  -0.355 -0.979  -0.271 -0.954  -0.185 -0.936  -0.098 -0.928  -0.011 -0.946  0.075 -0.963  0.162 -0.980  0.248 -0.998  0.336 -1.005  0.424 -1.005  0.512 -1.005  0.601 -1.005  0.689 -1.005  0.777 -1.005
3#apb#apb23#app2370/a  1.334 0.307  1.287 0.448  1.240 0.589  1.193 0.730  1.058 0.775  0.914 0.811  0.769 0.839  0.620 0.839  0.472 0.839  0.323 0.839  0.175 0.839  0.027 0.837  -0.106 0.771  -0.239 0.705  -0.372 0.638  -0.504 0.572  -0.637 0.505  -0.750 0.409  -0.861 0.311  -0.972 0.212  -1.082 0.113  -1.142 -0.023  -1.203 -0.158  -1.263 -0.294  -1.275 -0.440  -1.275 -0.588  -1.232 -0.724  -1.127 -0.812  -0.980 -0.837  -0.837 -0.830  -0.701 -0.772  -0.564 -0.714  -0.427 -0.656  -0.291 -0.598  -0.154 -0.541  -0.017 -0.483  0.119 -0.425  0.256 -0.367  0.393 -0.309  0.529 -0.251  0.666 -0.193  0.753 -0.082  0.803 0.055  0.803 0.025  0.782 -0.121  0.750 -0.266  0.718 -0.411  0.694 -0.557  0.676 -0.705  0.658 -0.852
3#apb#apb23#app2370/k  -0.375 2.023  -0.337 1.828  -0.353 1.626  -0.368 1.425  -0.397 1.225  -0.437 1.027  -0.477 0.829  -0.512 0.630  -0.537 0.429  -0.562 0.229  -0.587 0.028  -0.589 -0.174  -0.589 -0.376  -0.595 -0.577  -0.635 -0.775  -0.674 -0.974  -0.674 -1.176  -0.631 -1.271  -0.489 -1.127  -0.348 -0.982  -0.207 -0.838  -0.065 -0.693  0.076 -0.549  0.218 -0.404  0.359 -0.260  0.500 -0.116  0.642 0.029  0.783 0.173  0.925 0.318  1.066 0.462  1.207 0.606  1.354 0.739  1.215 0.679  1.025 0.610  0.842 0.525  0.672 0.417  0.501 0.308  0.326 0.208  0.148 0.112  -0.030 0.016  -0.195 -0.098  -0.349 -0.229  -0.496 -0.367  -0.547 -0.518  -0.430 -0.682  -0.271 -0.785  -0.075 -0.834  0.124 -0.869  0.324 -0.900  0.524 -0.930
3#apb#apb23#app2370/e  -0.767 -0.832  -0.814 -0.973  -0.814 -0.832  -0.667 -0.808  -0.522 -0.781  -0.400 -0.696  -0.277 -0.611  -0.155 -0.527  -0.033 -0.442  0.090 -0.357  0.208 -0.267  0.326 -0.177  0.443 -0.086  0.561 0.005  0.679 0.095  0.789 0.195  0.894 0.300  0.999 0.406  1.104 0.511  1.164 0.647  1.222 0.783  1.211 0.915  1.134 1.043  1.012 1.089  0.863 1.089  0.715 1.089  0.570 1.067  0.432 1.012  0.294 0.957  0.156 0.901  0.018 0.846  -0.113 0.781  -0.212 0.670  -0.312 0.560  -0.411 0.449  -0.511 0.339  -0.598 0.219  -0.684 0.097  -0.769 -0.025  -0.854 -0.147  -0.863 -0.292  -0.863 -0.441  -0.863 -0.590  -0.800 -0.716  -0.705 -0.830  -0.607 -0.941  -0.491 -1.034  -0.375 -1.127  -0.259 -1.220  -0.143 -1.313
3#apb#apb23#app2370/S  0.440 0.423  0.544 0.526  0.638 0.638  0.736 0.746  0.831 0.857  0.787 0.973  0.670 1.047  0.528 1.082  0.384 1.056  0.241 1.027  0.098 0.998  -0.045 0.966  -0.188 0.934  -0.331 0.903  -0.466 0.850  -0.597 0.785  -0.728 0.719  -0.859 0.654  -0.990 0.588  -0.980 0.472  -0.870 0.375  -0.752 0.293  -0.616 0.238  -0.481 0.182  -0.346 0.126  -0.206 0.083  -0.066 0.041  0.074 -0.002  0.214 -0.044  0.348 -0.101  0.483 -0.160  0.617 -0.219  0.730 -0.307  0.833 -0.411  0.853 -0.549  0.796 -0.677  0.712 -0.797  0.609 -0.892  0.474 -0.948  0.338 -1.004  0.203 -1.060  0.061 -1.092  -0.083 -1.122  -0.226 -1.152  -0.370 -1.174  -0.516 -1.174  -0.662 -1.174  -0.809 -1.174  -0.955 -1.174  -1.101 -1.174
3#apb#apb23#app2370/a  1.165 0.154  1.268 0.278  1.353 0.404  1.281 0.549  1.177 0.665  1.041 0.750  0.900 0.827  0.745 0.869  0.589 0.912  0.432 0.922  0.274 0.891  0.116 0.859  -0.042 0.827  -0.190 0.766  -0.334 0.694  -0.479 0.622  -0.623 0.550  -0.733 0.433  -0.841 0.313  -0.949 0.193  -1.046 0.065  -1.139 -0.067  -1.231 -0.199  -1.286 -0.348  -1.325 -0.505  -1.317 -0.663  -1.263 -0.804  -1.125 -0.887  -0.967 -0.901  -0.813 -0.874  -0.668 -0.801  -0.524 -0.729  -0.379 -0.660  -0.224 -0.613  -0.070 -0.565  0.084 -0.518  0.186 -0.400  0.278 -0.267  0.370 -0.135  0.462 -0.002  0.584 0.103  0.707 0.208  0.774 0.148  0.729 -0.001  0.648 -0.140  0.567 -0.279  0.496 -0.423  0.472 -0.582  0.447 -0.741  0.423 -0.901
3#apb#apb23#app2370/n  -0.201 0.538  -0.259 0.654  -0.317 0.593  -0.375 0.478  -0.433 0.362  -0.491 0.246  -0.560 0.137  -0.628 0.027  -0.697 -0.083  -0.765 -0.192  -0.834 -0.302  -0.901 -0.413  -0.968 -0.524  -1.034 -0.635  -1.086 -0.753  -1.127 -0.875  -1.098 -0.895  -1.077 -0.820  -0.999 -0.717  -0.921 -0.613  -0.836 -0.516  -0.750 -0.419  -0.664 -0.323  -0.578 -0.226  -0.492 -0.129  -0.406 -0.032  -0.318 0.063  -0.227 0.154  -0.135 0.246  -0.044 0.337  0.048 0.429  0.139 0.520  0.259 0.561  0.385 0.589  0.511 0.617  0.638 0.645  0.764 0.673  0.892 0.681  0.988 0.618  1.060 0.510  1.131 0.403  1.203 0.295  1.267 0.183  1.324 0.067  1.382 -0.049  1.440 -0.165  1.447 -0.292  1.447 -0.422  1.447 -0.551  1.447 -0.680
3#apb#apb23#app2370/M  -0.953 -0.310  -0.926 -0.129  -0.880 0.050  -0.868 -0.096  -0.877 -0.281  -0.904 -0.466  -0.928 -0.650  -0.949 -0.835  -0.968 -1.021  -0.965 -1.086  -0.916 -0.906  -0.863 -0.728  -0.809 -0.549  -0.756 -0.371  -0.702 -0.192  -0.676 -0.008  -0.652 0.177  -0.608 0.357  -0.556 0.536  -0.522 0.719  -0.462 0.767  -0.417 0.587  -0.389 0.403  -0.363 0.218  -0.334 0.034  -0.292 -0.147  -0.197 -0.288  -0.026 -0.218  0.110 -0.091  0.240 0.042  0.355 0.188  0.470 0.335  0.583 0.483  0.693 0.633  0.804 0.783  0.923 0.927  1.045 1.067  1.146 1.114  1.146 0.928  1.121 0.743  1.093 0.559  1.064 0.375  1.033 0.191  1.003 0.008  0.984 -0.178  0.967 -0.363  0.975 -0.549  0.986 -0.735  1.001 -0.921  1.019 -1.106
3#apb#apb23#app2370/a  0.410 -0.009  0.527 0.078  0.627 0.184  0.722 0.294  0.830 0.391  0.951 0.472  0.999 0.598  1.018 0.743  0.968 0.874  0.879 0.984  0.752 1.057  0.621 1.098  0.479 1.062  0.337 1.027  0.201 0.980  0.080 0.897  -0.040 0.815  -0.160 0.732  -0.281 0.649  -0.397 0.562  -0.510 0.468  -0.622 0.375  -0.734 0.281  -0.821 0.167  -0.890 0.038  -0.959 -0.090  -1.028 -0.219  -1.103 -0.344  -1.178 -0.470  -1.246 -0.596  -1.206 -0.736  -1.141 -0.856  -1.010 -0.922  -0.871 -0.955  -0.725 -0.968  -0.580 -0.981  -0.439 -0.947  -0.298 -0.907  -0.158 -0.867  -0.023 -0.815  0.100 -0.736  0.223 -0.657  0.346 -0.578  0.466 -0.496  0.576 -0.400  0.686 -0.304  0.805 -0.220  0.914 -0.136  0.914 -0.246  0.987 -0.370
3#apb#apb23#app2370/d  0.237 -0.432  0.388 -0.331  0.450 -0.143  0.362 -0.021  0.203 0.098  0.019 0.101  -0.175 0.057  -0.367 0.006  -0.559 -0.045  -0.742 -0.123  -0.922 -0.207  -1.080 -0.322  -1.221 -0.463  -1.342 -0.620  -1.427 -0.791  -1.366 -0.964  -1.185 -1.043  -0.995 -1.102  -0.805 -1.103  -0.617 -1.040  -0.432 -0.966  -0.250 -0.887  -0.079 -0.787  0.079 -0.668  0.212 -0.520  0.322 -0.358  0.398 -0.174  0.473 0.010  0.522 0.203  0.568 0.396  0.614 0.590  0.653 0.784  0.692 0.979  0.719 1.175  0.706 1.374  0.695 1.572  0.623 1.671  0.562 1.486  0.507 1.294  0.484 1.097  0.460 0.900  0.421 0.705  0.372 0.512  0.329 0.318  0.293 0.123  0.264 -0.073  0.264 -0.272  0.251 -0.470  0.212 -0.665  0.210 -0.863
3#apb#apb23#app2370/r  0.570 0.898  0.436 0.925  0.302 0.952  0.179 0.913  0.062 0.842  -0.054 0.771  -0.110 0.646  -0.165 0.521  -0.221 0.396  -0.276 0.271  -0.320 0.142  -0.353 0.010  -0.386 -0.123  -0.419 -0.256  -0.460 -0.386  -0.504 -0.516  -0.547 -0.646  -0.590 -0.775  -0.631 -0.906  -0.668 -1.037  -0.706 -1.169  -0.738 -1.301  -0.738 -1.438  -0.634 -1.470  -0.562 -1.365  -0.500 -1.243  -0.439 -1.121  -0.378 -0.999  -0.317 -0.876  -0.256 -0.754  -0.195 -0.632  -0.134 -0.509  -0.072 -0.387  -0.011 -0.265  0.050 -0.142  0.111 -0.020  0.172 0.102  0.239 0.221  0.309 0.339  0.380 0.456  0.450 0.573  0.520 0.690  0.594 0.805  0.676 0.915  0.758 1.024  0.868 1.106  0.977 1.188  1.107 1.210  1.243 1.210  1.380 1.210
