1c#apa#apa02#app0236/a  0.454 1.128  0.262 1.135  0.152 1.224  -0.047 1.224  -0.245 1.224  -0.411 1.191  -0.536 1.100  -0.608 0.931  -0.700 0.770  -0.796 0.667  -0.892 0.508  -0.988 0.349  -0.988 0.150  -0.988 -0.049  -0.988 -0.248  -0.894 -0.408  -0.892 -0.606  -0.796 -0.709  -0.700 -0.811  -0.603 -0.914  -0.507 -1.017  -0.411 -1.120  -0.312 -1.276  -0.123 -1.266  -0.027 -1.163  0.069 -1.060  0.099 -0.891  0.191 -0.769  0.264 -0.600  0.358 -0.440  0.358 -0.241  0.358 -0.042  0.358 0.157  0.358 0.356  0.358 0.554  0.358 0.753  0.358 0.952  0.358 0.912  0.358 0.713  0.358 0.515  0.358 0.316  0.358 0.117  0.454 -0.042  0.539 -0.206  0.636 -0.314  0.780 -0.448  0.955 -0.506  1.118 -0.593  1.313 -0.603  1.512 -0.603
1c#apa#apa02#app0236/b  -0.617 1.805  -0.617 1.762  -0.617 1.572  -0.617 1.382  -0.547 1.221  -0.543 1.032  -0.543 0.842  -0.543 0.652  -0.543 0.462  -0.500 0.290  -0.469 0.113  -0.469 -0.077  -0.469 -0.267  -0.445 -0.451  -0.396 -0.630  -0.396 -0.820  -0.396 -1.010  -0.396 -1.200  -0.392 -1.327  -0.368 -1.138  -0.345 -0.950  -0.321 -0.761  -0.298 -0.573  -0.274 -0.384  -0.251 -0.196  -0.227 -0.007  -0.203 0.181  -0.180 0.370  -0.120 0.537  -0.010 0.628  0.106 0.701  0.222 0.775  0.412 0.775  0.590 0.745  0.762 0.701  0.902 0.581  0.984 0.425  1.002 0.242  1.002 0.052  1.002 -0.138  0.950 -0.307  0.854 -0.457  0.781 -0.573  0.707 -0.690  0.634 -0.806  0.554 -0.917  0.395 -0.990  0.266 -1.052  0.088 -1.064  -0.102 -1.064
1c#apa#apa02#app0236/c  0.554 0.921  0.554 1.030  0.530 1.129  0.449 1.196  0.340 1.196  0.245 1.230  0.161 1.288  0.096 1.244  0.035 1.196  -0.074 1.196  -0.091 1.104  -0.180 1.084  -0.217 1.013  -0.271 0.958  -0.322 0.870  -0.363 0.778  -0.363 0.669  -0.363 0.560  -0.436 0.481  -0.455 0.381  -0.455 0.272  -0.479 0.187  -0.547 0.146  -0.547 0.037  -0.547 -0.072  -0.547 -0.181  -0.547 -0.290  -0.547 -0.399  -0.547 -0.508  -0.478 -0.547  -0.455 -0.634  -0.443 -0.731  -0.363 -0.760  -0.331 -0.855  -0.254 -0.932  -0.176 -1.006  -0.073 -1.021  0.004 -1.098  0.113 -1.098  0.222 -1.098  0.331 -1.098  0.419 -1.049  0.511 -1.006  0.619 -1.006  0.704 -0.948  0.781 -0.871  0.870 -0.823  0.921 -0.765  0.996 -0.731  1.013 -0.639
1c#apa#apa02#app0236/d  0.186 2.245  0.112 2.087  0.103 1.901  0.125 1.721  0.186 1.558  0.186 1.369  0.186 1.180  0.186 0.991  0.202 0.808  0.270 0.647  0.270 0.458  0.323 0.322  0.354 0.164  0.354 -0.025  0.388 -0.180  0.437 -0.320  0.437 -0.509  0.437 -0.698  0.521 -0.804  0.521 -0.993  0.521 -1.018  0.500 -0.849  0.407 -0.735  0.354 -0.569  0.270 -0.414  0.186 -0.260  0.109 -0.103  0.035 0.056  -0.064 0.155  -0.139 0.313  -0.241 0.405  -0.346 0.489  -0.535 0.489  -0.702 0.436  -0.817 0.344  -0.817 0.155  -0.817 -0.034  -0.817 -0.224  -0.817 -0.413  -0.733 -0.567  -0.733 -0.756  -0.650 -0.911  -0.532 -1.051  -0.363 -1.100  -0.174 -1.100  0.015 -1.100  0.121 -1.016  0.226 -0.932  0.332 -0.849  0.437 -0.765
1c#apa#apa02#app0236/e  -0.769 -0.035  -0.586 -0.035  -0.483 0.044  -0.316 0.060  -0.173 0.156  -0.023 0.234  0.153 0.251  0.281 0.306  0.423 0.346  0.594 0.373  0.749 0.442  0.932 0.442  0.975 0.442  0.888 0.537  0.854 0.686  0.713 0.728  0.569 0.822  0.427 0.919  0.340 1.015  0.157 1.015  -0.026 1.015  -0.209 1.015  -0.296 0.919  -0.479 0.919  -0.566 0.824  -0.653 0.728  -0.741 0.633  -0.811 0.496  -0.865 0.336  -0.867 0.154  -0.960 0.010  -0.960 -0.173  -0.960 -0.356  -0.934 -0.513  -0.852 -0.621  -0.769 -0.769  -0.674 -0.856  -0.544 -0.929  -0.386 -0.990  -0.229 -1.053  -0.060 -1.086  0.123 -1.086  0.305 -1.086  0.483 -1.074  0.631 -0.990  0.814 -0.990  0.957 -0.895  1.112 -0.827  1.283 -0.799  1.427 -0.704
1c#apa#apa02#app0236/f  0.651 1.730  0.491 1.727  0.359 1.652  0.229 1.573  0.145 1.494  0.062 1.416  -0.022 1.337  -0.106 1.259  -0.134 1.125  -0.134 0.962  -0.134 0.800  -0.134 0.637  -0.134 0.475  -0.056 0.391  -0.017 0.238  0.023 0.085  0.023 -0.078  0.026 -0.238  0.101 -0.370  0.101 -0.532  0.101 -0.695  0.101 -0.857  0.101 -1.020  0.098 -1.181  0.023 -1.312  0.023 -1.474  -0.056 -1.558  -0.082 -1.584  -0.143 -1.433  -0.203 -1.282  -0.263 -1.131  -0.324 -0.980  -0.384 -0.829  -0.444 -0.679  -0.505 -0.528  -0.565 -0.377  -0.625 -0.226  -0.685 -0.075  -0.599 0.001  -0.436 0.001  -0.274 0.001  -0.190 0.080  -0.036 0.100  0.102 0.158  0.265 0.158  0.427 0.158  0.585 0.170  0.720 0.237  0.882 0.237  1.044 0.237
1c#apa#apa02#app0236/g  0.274 1.019  0.182 1.159  -0.006 1.202  -0.238 1.202  -0.441 1.131  -0.643 1.020  -0.782 0.927  -0.920 0.832  -1.012 0.692  -1.019 0.468  -1.103 0.320  -1.103 0.089  -1.012 -0.051  -0.849 -0.175  -0.655 -0.267  -0.461 -0.175  -0.271 -0.076  -0.107 0.088  -0.008 0.278  0.090 0.470  0.182 0.664  0.182 0.896  0.182 1.127  0.182 1.045  0.182 0.813  0.182 0.582  0.182 0.350  0.205 0.122  0.274 -0.099  0.319 -0.312  0.365 -0.525  0.457 -0.719  0.549 -0.912  0.549 -1.144  0.549 -1.376  0.493 -1.552  0.299 -1.644  0.067 -1.644  -0.052 -1.501  -0.094 -1.287  -0.094 -1.055  -0.002 -0.861  0.090 -0.667  0.230 -0.494  0.352 -0.358  0.520 -0.204  0.684 -0.040  0.848 0.124  1.008 0.236  1.192 0.284
1c#apa#apa02#app0236/h  -0.702 1.972  -0.627 1.898  -0.650 1.752  -0.697 1.610  -0.702 1.461  -0.702 1.312  -0.627 1.194  -0.627 1.044  -0.627 0.895  -0.615 0.748  -0.552 0.613  -0.552 0.464  -0.526 0.319  -0.479 0.177  -0.402 0.059  -0.402 -0.091  -0.327 -0.209  -0.324 -0.357  -0.252 -0.477  -0.231 -0.621  -0.176 -0.758  -0.176 -0.908  -0.176 -1.057  -0.176 -1.153  -0.151 -1.030  -0.101 -0.930  -0.031 -0.809  0.049 -0.693  0.049 -0.543  0.124 -0.425  0.124 -0.275  0.179 -0.149  0.220 -0.013  0.274 0.124  0.301 0.246  0.349 0.348  0.450 0.396  0.499 0.295  0.570 0.175  0.574 0.027  0.649 -0.091  0.649 -0.240  0.724 -0.359  0.728 -0.505  0.799 -0.583  0.799 -0.732  0.801 -0.880  0.874 -0.956  0.875 -1.105  0.949 -1.180
1c#apa#apa02#app0236/i  -0.117 0.321  -0.090 0.420  -0.073 0.420  -0.117 0.338  -0.117 0.212  -0.117 0.086  -0.117 -0.040  -0.117 -0.166  -0.117 -0.293  -0.117 -0.419  -0.117 -0.545  -0.115 -0.670  -0.025 -0.759  -0.019 -0.882  0.013 -0.995  0.080 -1.094  0.139 -1.161  0.179 -1.247  0.278 -1.275  0.320 -1.359  0.377 -1.428  0.357 -1.363  0.332 -1.240  0.307 -1.116  0.281 -0.993  0.256 -0.869  0.230 -0.746  0.205 -0.622  0.179 -0.498  0.154 -0.375  0.128 -0.251  0.103 -0.128  0.078 -0.004  0.052 0.119  0.027 0.243  0.001 0.366  -0.024 0.490  -0.050 0.614  -0.075 0.737  -0.101 0.861  -0.126 0.984  -0.151 1.108  -0.177 1.231  -0.202 1.355  -0.228 1.479  -0.253 1.602  -0.279 1.726  -0.304 1.849  -0.315 1.974  -0.414 2.002
1c#apa#apa02#app0236/j  0.078 0.876  0.126 0.791  0.163 0.696  0.205 0.581  0.247 0.466  0.247 0.333  0.306 0.226  0.332 0.104  0.332 -0.029  0.332 -0.161  0.332 -0.294  0.332 -0.426  0.332 -0.558  0.332 -0.691  0.332 -0.823  0.291 -0.939  0.247 -1.053  0.223 -1.175  0.130 -1.269  0.036 -1.363  -0.079 -1.405  -0.211 -1.405  -0.344 -1.405  -0.421 -1.358  -0.400 -1.227  -0.379 -1.097  -0.357 -0.966  -0.336 -0.835  -0.315 -0.704  -0.294 -0.574  -0.273 -0.443  -0.252 -0.312  -0.230 -0.182  -0.209 -0.051  -0.188 0.080  -0.167 0.210  -0.146 0.341  -0.124 0.472  -0.103 0.602  -0.082 0.733  -0.061 0.864  -0.040 0.994  -0.018 1.125  0.003 1.256  0.024 1.386  0.045 1.517  0.066 1.648  0.037 1.762  -0.006 1.877  -0.091 1.805
1c#apa#apa02#app0236/k  -0.615 1.225  -0.649 1.017  -0.702 0.817  -0.702 0.595  -0.702 0.373  -0.702 0.151  -0.702 -0.071  -0.702 -0.293  -0.702 -0.515  -0.670 -0.724  -0.615 -0.923  -0.615 -1.146  -0.615 -1.368  -0.564 -1.375  -0.465 -1.176  -0.366 -0.977  -0.266 -0.779  -0.167 -0.580  -0.068 -0.381  0.032 -0.183  0.131 0.016  0.230 0.215  0.330 0.413  0.429 0.612  0.528 0.811  0.628 1.009  0.727 1.208  0.826 1.407  0.954 1.442  0.860 1.313  0.741 1.187  0.627 1.051  0.518 0.887  0.368 0.727  0.247 0.606  0.090 0.449  -0.006 0.267  -0.141 0.180  -0.267 0.083  -0.354 -0.052  -0.372 -0.169  -0.184 -0.251  -0.005 -0.348  0.094 -0.529  0.251 -0.687  0.408 -0.844  0.529 -0.965  0.686 -1.122  0.731 -1.302  0.954 -1.302
