2#apb#apb05#app0595/H  -0.531 0.783  -0.615 0.684  -0.721 0.491  -0.823 0.297  -0.922 0.100  -1.028 -0.092  -1.154 -0.272  -1.264 -0.461  -1.354 -0.662  -1.435 -0.866  -1.407 -1.050  -1.236 -0.911  -1.066 -0.772  -0.896 -0.632  -0.726 -0.493  -0.556 -0.353  -0.386 -0.214  -0.216 -0.075  -0.046 0.065  0.124 0.204  0.294 0.344  0.464 0.483  0.634 0.622  0.804 0.762  0.974 0.901  1.144 1.041  1.314 1.180  1.367 1.180  1.260 0.988  1.158 0.793  1.057 0.597  0.941 0.411  0.821 0.227  0.699 0.044  0.572 -0.136  0.445 -0.315  0.326 -0.500  0.208 -0.686  0.079 -0.864  0.018 -0.790  0.027 -0.575  -0.026 -0.362  -0.111 -0.159  -0.257 0.000  -0.200 -0.108  0.013 -0.160  0.231 -0.187  0.449 -0.196  0.667 -0.167  0.886 -0.139
2#apb#apb05#app0595/o  0.393 1.045  0.270 1.012  0.192 0.895  0.109 0.781  0.017 0.675  -0.076 0.568  -0.168 0.462  -0.259 0.354  -0.350 0.246  -0.441 0.139  -0.531 0.031  -0.618 -0.080  -0.694 -0.199  -0.769 -0.318  -0.844 -0.437  -0.917 -0.557  -0.980 -0.683  -1.043 -0.810  -1.079 -0.940  -1.064 -1.080  -0.963 -1.148  -0.827 -1.185  -0.696 -1.159  -0.569 -1.098  -0.442 -1.038  -0.314 -0.978  -0.194 -0.904  -0.075 -0.829  0.044 -0.753  0.163 -0.677  0.279 -0.598  0.375 -0.496  0.472 -0.393  0.568 -0.290  0.665 -0.188  0.733 -0.065  0.799 0.060  0.865 0.184  0.929 0.309  0.946 0.449  0.964 0.589  0.972 0.727  0.905 0.851  0.838 0.975  0.742 1.063  0.607 1.104  0.472 1.146  0.336 1.113  0.199 1.079  0.062 1.045
2#apb#apb05#app0595/n  -0.389 0.687  -0.389 0.702  -0.408 0.543  -0.453 0.387  -0.499 0.232  -0.560 0.083  -0.636 -0.060  -0.712 -0.203  -0.791 -0.344  -0.875 -0.482  -0.960 -0.620  -1.044 -0.759  -1.127 -0.898  -1.198 -0.956  -1.132 -0.808  -1.047 -0.672  -0.947 -0.544  -0.847 -0.417  -0.740 -0.296  -0.629 -0.178  -0.518 -0.060  -0.408 0.059  -0.299 0.179  -0.191 0.299  -0.083 0.420  0.025 0.540  0.148 0.644  0.279 0.740  0.409 0.836  0.539 0.932  0.683 1.006  0.830 1.074  0.976 1.080  1.121 1.007  1.150 0.849  1.176 0.690  1.131 0.535  1.085 0.380  1.038 0.224  0.977 0.075  0.905 -0.070  0.832 -0.214  0.760 -0.359  0.663 -0.488  0.563 -0.616  0.463 -0.743  0.386 -0.885  0.310 -1.028  0.240 -1.174  0.195 -1.329
2#apb#apb05#app0595/o  0.346 0.986  0.231 0.935  0.116 0.884  0.015 0.810  -0.085 0.733  -0.184 0.656  -0.283 0.578  -0.383 0.501  -0.466 0.407  -0.547 0.310  -0.628 0.214  -0.709 0.118  -0.790 0.021  -0.871 -0.075  -0.953 -0.171  -1.034 -0.267  -1.115 -0.363  -1.168 -0.477  -1.215 -0.594  -1.212 -0.708  -1.121 -0.776  -0.997 -0.800  -0.874 -0.825  -0.750 -0.840  -0.627 -0.813  -0.504 -0.786  -0.381 -0.760  -0.258 -0.733  -0.136 -0.704  -0.023 -0.647  0.089 -0.591  0.202 -0.535  0.314 -0.478  0.427 -0.422  0.537 -0.361  0.639 -0.288  0.741 -0.214  0.843 -0.140  0.945 -0.066  1.031 0.022  1.097 0.129  1.163 0.237  1.219 0.346  1.202 0.471  1.186 0.596  1.169 0.720  1.089 0.812  0.996 0.898  0.904 0.983  0.811 1.068
2#apb#apb05#app0595/l  0.685 1.449  0.706 1.471  0.696 1.404  0.668 1.340  0.640 1.276  0.613 1.212  0.585 1.148  0.557 1.084  0.529 1.021  0.502 0.957  0.472 0.894  0.442 0.831  0.412 0.768  0.381 0.706  0.351 0.643  0.321 0.580  0.291 0.518  0.260 0.455  0.230 0.392  0.200 0.330  0.168 0.268  0.135 0.207  0.102 0.145  0.069 0.084  0.036 0.023  0.004 -0.039  -0.029 -0.100  -0.062 -0.161  -0.095 -0.223  -0.128 -0.284  -0.162 -0.345  -0.196 -0.405  -0.230 -0.466  -0.265 -0.527  -0.299 -0.587  -0.333 -0.648  -0.367 -0.708  -0.402 -0.769  -0.435 -0.830  -0.467 -0.892  -0.499 -0.953  -0.532 -1.015  -0.564 -1.077  -0.597 -1.138  -0.630 -1.199  -0.670 -1.256  -0.710 -1.313  -0.749 -1.370  -0.792 -1.425  -0.841 -1.474
2#apb#apb05#app0595/u  -0.413 1.148  -0.426 1.111  -0.495 0.961  -0.573 0.816  -0.651 0.670  -0.723 0.521  -0.791 0.370  -0.859 0.220  -0.926 0.069  -1.000 -0.079  -1.074 -0.227  -1.148 -0.375  -1.175 -0.538  -1.202 -0.701  -1.202 -0.866  -1.119 -0.966  -0.957 -0.943  -0.796 -0.909  -0.641 -0.855  -0.493 -0.781  -0.345 -0.707  -0.207 -0.617  -0.078 -0.514  0.051 -0.411  0.172 -0.299  0.280 -0.174  0.388 -0.049  0.495 0.077  0.586 0.215  0.678 0.352  0.770 0.490  0.864 0.625  0.960 0.760  1.056 0.894  1.120 1.045  1.085 0.992  1.012 0.844  0.925 0.704  0.837 0.564  0.749 0.424  0.663 0.283  0.593 0.133  0.523 -0.016  0.454 -0.167  0.420 -0.328  0.385 -0.490  0.409 -0.649  0.456 -0.807  0.605 -0.877  0.756 -0.945
2#apb#apb05#app0595/l  0.556 1.511  0.562 1.523  0.575 1.454  0.559 1.387  0.541 1.320  0.522 1.253  0.504 1.186  0.486 1.118  0.467 1.051  0.447 0.985  0.422 0.920  0.397 0.855  0.371 0.790  0.346 0.725  0.321 0.660  0.296 0.595  0.271 0.530  0.246 0.465  0.221 0.400  0.191 0.337  0.159 0.275  0.127 0.213  0.095 0.151  0.063 0.089  0.031 0.028  -0.001 -0.034  -0.033 -0.096  -0.065 -0.158  -0.097 -0.220  -0.126 -0.284  -0.155 -0.347  -0.184 -0.410  -0.213 -0.473  -0.242 -0.537  -0.271 -0.600  -0.300 -0.663  -0.328 -0.727  -0.356 -0.791  -0.383 -0.855  -0.410 -0.919  -0.438 -0.983  -0.465 -1.047  -0.493 -1.111  -0.523 -1.174  -0.555 -1.236  -0.586 -1.299  -0.617 -1.361  -0.631 -1.429  -0.645 -1.497  -0.658 -1.566
2#apb#apb05#app0595/u  -0.701 1.159  -0.733 1.019  -0.769 0.881  -0.836 0.755  -0.903 0.628  -0.964 0.498  -1.013 0.364  -1.063 0.229  -1.116 0.096  -1.172 -0.036  -1.222 -0.170  -1.248 -0.309  -1.191 -0.426  -1.061 -0.461  -0.920 -0.445  -0.785 -0.396  -0.662 -0.325  -0.545 -0.243  -0.443 -0.142  -0.341 -0.041  -0.244 0.064  -0.150 0.172  -0.056 0.281  0.037 0.389  0.131 0.497  0.225 0.606  0.341 0.689  0.455 0.776  0.522 0.731  0.511 0.592  0.479 0.453  0.427 0.320  0.370 0.188  0.331 0.051  0.300 -0.089  0.269 -0.229  0.244 -0.370  0.269 -0.501  0.346 -0.622  0.466 -0.674  0.608 -0.690  0.751 -0.702  0.891 -0.674  1.032 -0.646  1.172 -0.617  1.313 -0.589  1.453 -0.558  1.592 -0.526  1.732 -0.494  1.872 -0.461
2#apb#apb05#app0595/L  0.310 1.520  0.367 1.622  0.431 1.717  0.490 1.650  0.468 1.540  0.428 1.431  0.387 1.321  0.346 1.212  0.302 1.104  0.257 0.996  0.212 0.888  0.168 0.780  0.123 0.672  0.072 0.566  0.016 0.464  -0.041 0.362  -0.098 0.260  -0.155 0.158  -0.211 0.056  -0.274 -0.043  -0.337 -0.142  -0.399 -0.241  -0.462 -0.339  -0.529 -0.435  -0.608 -0.520  -0.688 -0.606  -0.768 -0.691  -0.843 -0.780  -0.915 -0.873  -0.987 -0.938  -0.882 -0.885  -0.777 -0.833  -0.671 -0.785  -0.564 -0.737  -0.458 -0.689  -0.351 -0.643  -0.240 -0.604  -0.130 -0.565  -0.020 -0.527  0.092 -0.494  0.207 -0.473  0.322 -0.453  0.436 -0.445  0.544 -0.490  0.652 -0.535  0.755 -0.590  0.857 -0.647  0.959 -0.705  1.056 -0.770  1.152 -0.836
2#apb#apb05#app0595/i  0.134 0.473  0.119 0.357  0.094 0.245  0.051 0.137  0.008 0.029  -0.037 -0.079  -0.095 -0.180  -0.153 -0.280  -0.212 -0.381  -0.270 -0.482  -0.326 -0.584  -0.380 -0.687  -0.435 -0.789  -0.489 -0.892  -0.552 -0.990  -0.619 -1.085  -0.673 -1.185  -0.690 -1.301  -0.660 -1.373  -0.608 -1.269  -0.556 -1.165  -0.504 -1.060  -0.453 -0.956  -0.401 -0.852  -0.349 -0.748  -0.297 -0.644  -0.246 -0.539  -0.194 -0.435  -0.142 -0.331  -0.090 -0.227  -0.039 -0.122  0.013 -0.018  0.065 0.086  0.116 0.190  0.168 0.295  0.220 0.399  0.272 0.503  0.323 0.607  0.375 0.712  0.427 0.816  0.479 0.920  0.530 1.024  0.582 1.129  0.634 1.233  0.686 1.337  0.737 1.441  0.789 1.546  0.841 1.650  0.892 1.754  0.913 1.771
2#apb#apb05#app0595/t  -1.432 -0.407  -1.319 -0.294  -1.173 -0.239  -1.017 -0.204  -0.860 -0.178  -0.702 -0.165  -0.545 -0.195  -0.388 -0.224  -0.231 -0.250  -0.072 -0.269  0.086 -0.289  0.239 -0.332  0.389 -0.388  0.538 -0.444  0.587 -0.354  0.587 -0.195  0.587 -0.035  0.587 0.125  0.587 0.285  0.587 0.444  0.587 0.604  0.587 0.764  0.587 0.924  0.587 1.083  0.587 1.243  0.587 1.403  0.587 1.563  0.597 1.454  0.560 1.299  0.523 1.143  0.486 0.988  0.427 0.840  0.360 0.695  0.293 0.550  0.226 0.405  0.159 0.260  0.093 0.114  0.027 -0.031  -0.039 -0.177  -0.105 -0.322  -0.170 -0.468  -0.236 -0.614  -0.302 -0.759  -0.368 -0.905  -0.434 -1.050  -0.500 -1.195  -0.573 -1.338  -0.647 -1.479  -0.721 -1.621  -0.796 -1.762
