3#apa#apa13#app1355/1  0.031 1.144  0.119 1.331  0.130 1.333  0.130 1.110  0.130 0.887  0.130 0.664  0.130 0.441  0.130 0.217  0.130 -0.006  0.130 -0.229  0.130 -0.452  0.130 -0.676  0.130 -0.899  0.130 -1.122  0.132 -1.323  0.165 -1.103  0.197 -0.882  0.230 -0.661  0.263 -0.440  0.296 -0.219  0.328 0.002  0.361 0.222  0.394 0.443  0.426 0.664  0.459 0.885  0.492 1.106  0.525 1.326  0.419 1.441  0.329 1.507  0.217 1.330  0.130 1.142  0.042 0.956  -0.068 0.778  -0.167 0.596  -0.258 0.398  -0.373 0.206  -0.487 0.015  -0.602 -0.176  -0.717 -0.368  -0.832 -0.559  -0.947 -0.751  -1.054 -0.938  -0.930 -1.037  -0.723 -1.076  -0.529 -1.153  -0.325 -1.235  -0.102 -1.235  0.122 -1.235  0.345 -1.235  0.527 -1.136
3#apa#apa13#app1355/0  -0.518 0.814  -0.611 0.908  -0.705 0.859  -0.750 0.746  -0.810 0.638  -0.866 0.529  -0.897 0.404  -0.956 0.286  -0.982 0.159  -0.982 0.027  -0.982 -0.106  -0.982 -0.238  -0.982 -0.370  -0.982 -0.503  -0.943 -0.619  -0.850 -0.713  -0.756 -0.806  -0.628 -0.818  -0.535 -0.911  -0.410 -0.928  -0.277 -0.928  -0.146 -0.921  -0.020 -0.879  0.105 -0.837  0.234 -0.812  0.359 -0.781  0.477 -0.721  0.603 -0.696  0.709 -0.631  0.803 -0.538  0.896 -0.444  0.990 -0.350  1.001 -0.223  1.095 -0.129  1.109 -0.002  1.109 0.130  1.109 0.262  1.077 0.382  0.993 0.479  0.963 0.582  0.836 0.602  0.717 0.662  0.608 0.734  0.509 0.814  0.377 0.814  0.244 0.814  0.112 0.814  -0.021 0.814  -0.153 0.814  -0.285 0.814
3#apa#apa13#app1355/0  -1.212 -0.025  -1.212 -0.126  -1.212 -0.227  -1.212 -0.327  -1.212 -0.428  -1.212 -0.529  -1.183 -0.602  -1.087 -0.611  -1.015 -0.683  -0.944 -0.754  -0.873 -0.825  -0.775 -0.833  -0.674 -0.833  -0.576 -0.813  -0.480 -0.781  -0.385 -0.749  -0.289 -0.717  -0.188 -0.717  -0.096 -0.679  -0.006 -0.634  0.079 -0.581  0.150 -0.509  0.221 -0.438  0.294 -0.368  0.384 -0.323  0.474 -0.278  0.555 -0.220  0.626 -0.149  0.674 -0.061  0.719 0.030  0.773 0.114  0.844 0.185  0.916 0.256  0.981 0.330  0.981 0.431  0.981 0.532  0.945 0.624  0.899 0.715  0.848 0.800  0.777 0.872  0.687 0.898  0.600 0.933  0.529 1.004  0.432 1.014  0.331 1.014  0.230 1.014  0.129 1.014  0.029 1.014  -0.072 1.014  -0.173 1.014
3#apa#apa13#app1355/%  1.168 1.119  1.034 0.985  0.899 0.850  0.765 0.716  0.630 0.582  0.496 0.447  0.401 0.285  0.285 0.136  0.151 0.002  0.035 -0.146  -0.060 -0.309  -0.194 -0.443  -0.232 -0.618  -0.322 -0.771  -0.432 -0.915  -0.520 -1.069  -0.609 -1.236  -0.632 -1.342  -0.632 -1.152  -0.632 -0.961  -0.632 -0.771  -0.632 -0.581  -0.632 -0.391  -0.632 -0.201  -0.632 -0.011  -0.632 0.179  -0.632 0.369  -0.632 0.559  -0.632 0.750  -0.632 0.940  -0.632 1.130  -0.561 1.290  -0.532 1.370  -0.509 1.188  -0.398 1.033  -0.287 0.879  -0.176 0.725  -0.065 0.570  0.046 0.416  0.157 0.262  0.268 0.108  0.379 -0.047  0.490 -0.201  0.602 -0.355  0.713 -0.510  0.824 -0.664  0.935 -0.818  1.046 -0.972  1.157 -1.127  1.268 -1.281
3#apa#apa13#app1355/o  -0.131 0.447  -0.131 0.605  -0.131 0.763  -0.269 0.783  -0.427 0.783  -0.573 0.731  -0.714 0.660  -0.845 0.575  -0.956 0.463  -1.068 0.351  -1.141 0.223  -1.141 0.065  -1.141 -0.093  -1.141 -0.250  -1.127 -0.395  -0.973 -0.398  -0.973 -0.556  -0.866 -0.670  -0.733 -0.731  -0.581 -0.758  -0.440 -0.829  -0.299 -0.899  -0.141 -0.899  0.017 -0.899  0.175 -0.899  0.333 -0.899  0.479 -0.846  0.620 -0.776  0.767 -0.731  0.912 -0.697  1.023 -0.586  1.172 -0.563  1.214 -0.447  1.214 -0.289  1.214 -0.131  1.214 0.027  1.214 0.185  1.150 0.278  0.998 0.302  0.857 0.373  0.715 0.444  0.602 0.554  0.470 0.615  0.312 0.615  0.154 0.615  0.037 0.656  0.006 0.783  -0.152 0.783  -0.310 0.783  -0.468 0.783
3#apa#apa13#app1355/f  -0.282 -0.120  -0.187 -0.287  -0.022 -0.226  0.129 -0.087  0.244 0.081  0.366 0.244  0.446 0.418  0.569 0.574  0.604 0.766  0.718 0.935  0.758 1.132  0.758 1.338  0.758 1.545  0.626 1.675  0.419 1.675  0.234 1.624  0.096 1.474  0.041 1.281  -0.036 1.090  -0.093 0.892  -0.093 0.686  -0.093 0.479  -0.093 0.273  -0.093 0.066  -0.093 -0.140  -0.034 -0.333  0.016 -0.527  0.096 -0.715  0.159 -0.907  0.191 -1.106  0.285 -1.273  0.248 -1.443  0.067 -1.360  -0.105 -1.246  -0.277 -1.131  -0.449 -1.017  -0.621 -0.902  -0.792 -0.787  -0.964 -0.673  -1.136 -0.558  -1.129 -0.498  -0.922 -0.498  -0.720 -0.481  -0.531 -0.404  -0.340 -0.338  -0.141 -0.309  0.049 -0.238  0.250 -0.215  0.457 -0.215  0.663 -0.215
3#apa#apa13#app1355/#  0.018 0.438  0.018 0.445  -0.223 0.197  -0.508 -0.095  -0.691 -0.461  -0.950 -0.771  -0.977 -1.120  -0.665 -0.880  -0.369 -0.598  -0.073 -0.316  0.224 -0.034  0.520 0.248  0.816 0.530  1.112 0.812  1.369 0.864  1.130 0.615  0.902 0.283  0.642 -0.019  0.450 -0.369  0.330 -0.730  0.047 -0.639  -0.304 -0.428  -0.655 -0.218  -1.005 -0.008  -1.356 0.203  -1.706 0.413  -1.474 0.646  -1.108 0.750  -0.699 0.750  -0.290 0.750  0.119 0.750  0.503 0.646  0.869 0.542  1.234 0.438  1.619 0.334  1.589 0.186  1.190 0.096  0.792 0.006  0.393 -0.084  -0.006 -0.174  -0.405 -0.264  -0.803 -0.354  -1.202 -0.444  -1.267 -0.497  -0.865 -0.471  -0.474 -0.393  -0.065 -0.393  0.343 -0.393  0.752 -0.393  1.161 -0.393
3#apa#apa13#app1355/'  0.887 1.447  0.835 1.394  0.782 1.342  0.730 1.289  0.678 1.237  0.625 1.185  0.573 1.132  0.521 1.080  0.468 1.028  0.416 0.975  0.413 0.902  0.413 0.828  0.413 0.754  0.413 0.680  0.413 0.606  0.413 0.532  0.384 0.470  0.332 0.418  0.280 0.365  0.227 0.313  0.175 0.261  0.123 0.208  0.070 0.156  0.018 0.104  -0.034 0.051  -0.061 -0.012  -0.061 -0.086  -0.061 -0.160  -0.061 -0.234  -0.061 -0.308  -0.061 -0.382  -0.066 -0.454  -0.118 -0.506  -0.171 -0.559  -0.223 -0.611  -0.275 -0.663  -0.328 -0.716  -0.380 -0.768  -0.432 -0.820  -0.485 -0.873  -0.537 -0.925  -0.589 -0.977  -0.642 -1.030  -0.694 -1.082  -0.746 -1.135  -0.799 -1.187  -0.851 -1.239  -0.904 -1.292  -0.956 -1.344  -1.008 -1.396
3#apa#apa13#app1355/s  0.659 1.269  0.550 1.160  0.405 1.137  0.254 1.129  0.145 1.020  -0.003 1.005  -0.150 0.989  -0.260 0.879  -0.369 0.770  -0.511 0.740  -0.664 0.739  -0.774 0.630  -0.919 0.608  -1.031 0.505  -1.060 0.363  -1.057 0.211  -0.903 0.211  -0.749 0.211  -0.594 0.211  -0.440 0.211  -0.286 0.211  -0.131 0.211  0.023 0.211  0.177 0.211  0.332 0.211  0.459 0.147  0.586 0.079  0.731 0.043  0.870 -0.026  1.008 -0.095  1.146 -0.164  1.188 -0.292  1.188 -0.446  1.172 -0.590  1.034 -0.659  0.892 -0.714  0.738 -0.714  0.606 -0.768  0.484 -0.847  0.330 -0.847  0.175 -0.847  0.021 -0.847  -0.133 -0.847  -0.287 -0.853  -0.433 -0.902  -0.579 -0.951  -0.729 -0.979  -0.884 -0.979  -1.038 -0.979  -1.192 -0.979
3#apa#apa13#app1355/  1.104 1.251  1.040 1.219  0.977 1.188  0.913 1.156  0.889 1.100  0.884 1.031  0.833 0.981  0.783 0.930  0.733 0.880  0.683 0.830  0.648 0.768  0.616 0.705  0.584 0.641  0.538 0.592  0.474 0.560  0.411 0.528  0.349 0.494  0.317 0.431  0.286 0.367  0.254 0.304  0.209 0.249  0.159 0.199  0.109 0.149  0.059 0.098  0.008 0.048  -0.042 -0.002  -0.092 -0.053  -0.142 -0.103  -0.193 -0.153  -0.243 -0.203  -0.293 -0.254  -0.326 -0.317  -0.357 -0.381  -0.389 -0.444  -0.421 -0.508  -0.453 -0.571  -0.485 -0.635  -0.520 -0.696  -0.571 -0.746  -0.621 -0.796  -0.671 -0.847  -0.721 -0.897  -0.772 -0.947  -0.822 -0.997  -0.872 -1.048  -0.922 -1.098  -0.940 -1.162  -0.947 -1.230  -0.997 -1.280  -1.047 -1.331
3#apa#apa13#app1355/0  -0.880 0.304  -0.990 0.272  -1.076 0.185  -1.136 0.082  -1.174 -0.035  -1.240 -0.134  -1.269 -0.245  -1.269 -0.367  -1.227 -0.480  -1.149 -0.552  -1.052 -0.614  -0.946 -0.674  -0.832 -0.707  -0.709 -0.707  -0.586 -0.707  -0.464 -0.707  -0.341 -0.707  -0.219 -0.707  -0.096 -0.707  0.027 -0.707  0.147 -0.699  0.257 -0.645  0.376 -0.630  0.493 -0.604  0.602 -0.548  0.688 -0.462  0.775 -0.375  0.862 -0.288  0.934 -0.191  0.990 -0.082  1.065 0.009  1.065 0.132  1.065 0.255  1.065 0.377  1.065 0.500  1.065 0.622  1.065 0.745  0.968 0.771  0.845 0.771  0.722 0.771  0.600 0.771  0.477 0.771  0.355 0.771  0.232 0.771  0.109 0.771  -0.013 0.771  -0.134 0.760  -0.250 0.721  -0.368 0.693  -0.491 0.693
3#apa#apa13#app1355/a  0.494 0.756  0.494 0.968  0.377 1.131  0.171 1.143  -0.041 1.143  -0.252 1.143  -0.463 1.143  -0.635 1.047  -0.784 0.898  -0.934 0.748  -1.055 0.587  -1.110 0.388  -1.184 0.194  -1.184 -0.017  -1.184 -0.228  -1.184 -0.440  -1.184 -0.651  -1.005 -0.713  -0.826 -0.792  -0.615 -0.792  -0.403 -0.792  -0.192 -0.792  0.019 -0.792  0.231 -0.792  0.389 -0.663  0.582 -0.604  0.758 -0.487  0.926 -0.360  1.010 -0.183  1.134 -0.023  1.139 0.186  1.110 0.369  1.010 0.480  0.816 0.498  0.605 0.498  0.393 0.498  0.182 0.498  -0.015 0.437  -0.152 0.310  -0.251 0.140  -0.281 -0.059  -0.281 -0.271  -0.226 -0.459  -0.077 -0.609  0.098 -0.723  0.293 -0.792  0.505 -0.792  0.716 -0.792  0.927 -0.792  1.139 -0.792
3#apa#apa13#app1355/r  -0.854 0.286  -0.708 0.286  -0.667 0.182  -0.622 0.055  -0.519 -0.048  -0.439 -0.168  -0.374 -0.299  -0.309 -0.429  -0.292 -0.571  -0.245 -0.697  -0.142 -0.801  -0.105 -0.931  -0.105 -1.077  -0.098 -1.220  0.005 -1.323  0.119 -1.400  0.265 -1.400  0.170 -1.300  0.083 -1.191  0.083 -1.045  0.083 -0.899  0.083 -0.753  0.040 -0.651  -0.106 -0.650  -0.209 -0.546  -0.292 -0.435  -0.292 -0.289  -0.386 -0.182  -0.479 -0.075  -0.479 0.071  -0.479 0.216  -0.479 0.362  -0.455 0.498  -0.352 0.601  -0.292 0.722  -0.273 0.849  -0.127 0.849  -0.105 0.972  -0.022 1.036  0.123 1.036  0.269 1.036  0.415 1.036  0.561 1.036  0.707 1.036  0.853 1.036  0.998 1.036  1.144 1.036  1.290 1.036  1.436 1.036  1.582 1.036
