2#tos#t3#t3047062/\"  -0.634 1.167  -0.699 1.030  -0.842 0.942  -0.931 0.854  -1.051 0.796  -1.051 0.619  -1.051 0.442  -1.051 0.265  -1.051 0.088  -0.948 -0.015  -0.780 -0.071  -0.738 -0.217  -0.738 -0.394  -0.738 -0.571  -0.659 -0.724  -0.561 -0.871  -0.529 -1.039  -0.529 -1.216  -0.377 -1.283  -0.213 -1.329  -0.149 -1.164  -0.085 -0.999  -0.020 -0.835  0.044 -0.670  0.109 -0.505  0.173 -0.340  0.238 -0.175  0.302 -0.011  0.367 0.154  0.431 0.319  0.496 0.484  0.560 0.649  0.625 0.813  0.689 0.978  0.636 1.062  0.467 1.012  0.310 0.953  0.445 0.854  0.562 0.757  0.618 0.593  0.618 0.416  0.712 0.332  0.722 0.166  0.722 -0.011  0.768 -0.177  0.847 -0.335  0.927 -0.494  0.931 -0.670  0.962 -0.815  1.139 -0.815
2#tos#t3#t3047062/#  -1.561 -0.025  -1.382 -0.107  -1.030 0.017  -0.624 0.111  -0.224 0.223  0.179 0.351  0.561 0.517  0.938 0.709  0.819 0.542  0.513 0.244  0.208 -0.055  -0.098 -0.353  -0.403 -0.652  -0.708 -0.950  -1.015 -1.181  -0.646 -1.010  -0.299 -0.774  0.072 -0.570  0.429 -0.355  0.837 -0.272  1.178 -0.066  1.058 0.149  0.745 0.439  0.431 0.729  0.118 1.019  -0.195 1.310  -0.487 1.445  -0.487 1.018  -0.485 0.591  -0.404 0.183  -0.363 -0.240  -0.363 -0.667  -0.322 -1.089  -0.280 -1.499  -0.180 -1.202  -0.109 -0.781  -0.038 -0.360  0.033 0.061  0.105 0.482  0.176 0.903  0.247 1.324  0.215 1.664  0.257 1.253  0.298 0.830  0.381 0.417  0.381 -0.010  0.381 -0.437  0.381 -0.864  0.381 -1.291  0.381 -1.718
2#tos#t3#t3047062/$  0.838 0.409  0.734 0.534  0.631 0.728  0.463 0.874  0.263 0.962  -0.008 0.962  -0.191 0.816  -0.378 0.645  -0.404 0.376  -0.335 0.148  -0.238 -0.096  -0.059 -0.240  0.110 -0.406  0.327 -0.564  0.510 -0.704  0.665 -0.866  0.538 -1.054  0.383 -1.178  0.150 -1.228  -0.108 -1.281  -0.379 -1.281  -0.639 -1.254  -0.762 -1.088  -0.664 -0.835  -0.565 -0.583  -0.466 -0.330  -0.368 -0.078  -0.269 0.174  -0.170 0.427  -0.072 0.679  0.027 0.932  0.126 1.184  0.224 1.436  0.323 1.689  0.320 1.839  0.320 1.568  0.286 1.302  0.205 1.052  0.179 0.784  0.079 0.547  0.069 0.277  -0.017 0.020  -0.085 -0.241  -0.150 -0.502  -0.163 -0.772  -0.232 -1.027  -0.232 -1.298  -0.247 -1.201  -0.266 -1.010  -0.301 -1.247
2#tos#t3#t3047062/(  0.713 1.434  0.646 1.401  0.578 1.367  0.511 1.333  0.444 1.300  0.441 1.226  0.431 1.157  0.366 1.118  0.302 1.079  0.237 1.040  0.173 1.002  0.108 0.963  0.102 0.891  0.068 0.824  0.035 0.756  0.030 0.683  -0.024 0.630  -0.077 0.577  -0.130 0.523  -0.183 0.470  -0.237 0.417  -0.238 0.342  -0.238 0.267  -0.238 0.191  -0.238 0.116  -0.238 0.041  -0.238 -0.034  -0.238 -0.110  -0.238 -0.185  -0.238 -0.260  -0.238 -0.336  -0.238 -0.411  -0.238 -0.486  -0.238 -0.562  -0.227 -0.635  -0.203 -0.707  -0.179 -0.778  -0.170 -0.852  -0.170 -0.927  -0.143 -0.996  -0.109 -1.063  -0.102 -1.137  -0.102 -1.212  -0.084 -1.285  -0.066 -1.358  -0.048 -1.431  -0.023 -1.502  0.018 -1.564  0.060 -1.627  0.102 -1.690
2#tos#t3#t3047062/*  0.124 1.714  -0.023 1.504  -0.066 1.179  -0.022 0.840  -0.003 0.498  -0.003 0.155  -0.003 -0.189  -0.003 -0.533  -0.003 -0.877  0.035 -1.212  0.120 -1.507  -0.025 -1.195  -0.170 -0.883  -0.316 -0.571  -0.461 -0.259  -0.606 0.053  -0.751 0.364  -0.896 0.676  -1.041 0.988  -1.206 1.168  -1.038 0.957  -0.804 0.742  -0.612 0.462  -0.391 0.203  -0.129 0.004  0.132 -0.194  0.401 -0.376  0.693 -0.502  0.944 -0.691  1.102 -0.659  1.162 -0.321  1.223 0.018  1.283 0.357  1.344 0.695  1.310 0.948  0.991 0.836  0.753 0.629  0.517 0.394  0.324 0.168  0.070 -0.040  -0.131 -0.313  -0.374 -0.557  -0.425 -0.598  -0.195 -0.342  0.035 -0.087  -0.137 -0.292  -0.383 -0.503  -0.626 -0.706  -0.765 -0.945  -0.953 -1.199
2#tos#t3#t3047062/,  1.003 1.160  0.927 1.160  0.850 1.160  0.774 1.160  0.698 1.160  0.622 1.160  0.591 1.114  0.591 1.038  0.591 0.962  0.591 0.886  0.515 0.886  0.454 0.870  0.454 0.794  0.454 0.718  0.454 0.641  0.416 0.586  0.352 0.543  0.289 0.501  0.226 0.459  0.162 0.417  0.099 0.374  0.043 0.328  0.043 0.252  0.032 0.178  -0.002 0.110  -0.036 0.042  -0.070 -0.026  -0.110 -0.090  -0.164 -0.144  -0.218 -0.198  -0.272 -0.252  -0.326 -0.306  -0.374 -0.363  -0.398 -0.436  -0.422 -0.508  -0.446 -0.580  -0.470 -0.653  -0.494 -0.725  -0.506 -0.799  -0.506 -0.876  -0.523 -0.949  -0.547 -1.021  -0.571 -1.094  -0.595 -1.166  -0.619 -1.238  -0.644 -1.310  -0.678 -1.379  -0.712 -1.447  -0.746 -1.515  -0.780 -1.583
2#tos#t3#t3047062/  -1.192 0.399  -1.246 0.346  -1.299 0.293  -1.352 0.240  -1.405 0.187  -1.389 0.162  -1.314 0.162  -1.239 0.162  -1.164 0.162  -1.088 0.162  -1.013 0.162  -0.948 0.147  -0.914 0.080  -0.880 0.012  -0.847 -0.055  -0.784 -0.075  -0.709 -0.075  -0.634 -0.075  -0.558 -0.075  -0.483 -0.075  -0.408 -0.075  -0.333 -0.075  -0.258 -0.075  -0.183 -0.075  -0.107 -0.075  -0.032 -0.075  0.043 -0.075  0.118 -0.075  0.193 -0.075  0.268 -0.075  0.344 -0.075  0.419 -0.075  0.494 -0.075  0.569 -0.075  0.644 -0.075  0.719 -0.075  0.795 -0.075  0.870 -0.075  0.945 -0.075  1.020 -0.075  1.095 -0.075  1.171 -0.075  1.246 -0.075  1.321 -0.075  1.396 -0.075  1.471 -0.075  1.546 -0.075  1.622 -0.075  1.697 -0.075  1.772 -0.075
2#tos#t3#t3047062/<  0.676 1.491  0.584 1.460  0.511 1.415  0.456 1.373  0.456 1.276  0.374 1.230  0.287 1.187  0.208 1.133  0.140 1.064  0.071 0.996  0.002 0.927  -0.060 0.854  -0.114 0.773  -0.147 0.686  -0.203 0.612  -0.274 0.547  -0.355 0.493  -0.433 0.437  -0.502 0.368  -0.570 0.300  -0.586 0.209  -0.591 0.114  -0.660 0.046  -0.696 -0.036  -0.750 -0.111  -0.803 -0.155  -0.750 -0.195  -0.673 -0.236  -0.582 -0.268  -0.513 -0.337  -0.445 -0.405  -0.368 -0.464  -0.288 -0.518  -0.214 -0.581  -0.146 -0.650  -0.071 -0.703  0.007 -0.748  0.086 -0.804  0.167 -0.858  0.258 -0.887  0.352 -0.910  0.401 -0.969  0.490 -0.977  0.573 -0.997  0.603 -1.089  0.650 -1.171  0.737 -1.197  0.833 -1.197  0.920 -1.222  0.950 -1.306
2#tos#t3#t3047062/=  -1.481 1.054  -1.388 0.961  -1.295 0.868  -1.282 0.741  -1.235 0.655  -1.103 0.655  -0.972 0.655  -0.840 0.655  -0.708 0.655  -0.576 0.655  -0.444 0.655  -0.312 0.655  -0.180 0.655  -0.048 0.655  0.084 0.655  0.216 0.655  0.348 0.655  0.480 0.655  0.612 0.655  0.743 0.655  0.875 0.655  0.845 0.585  0.755 0.488  0.665 0.392  0.575 0.296  0.485 0.199  0.395 0.103  0.305 0.006  0.215 -0.090  0.125 -0.187  0.035 -0.283  -0.055 -0.380  -0.145 -0.476  -0.235 -0.572  -0.325 -0.669  -0.415 -0.765  -0.454 -0.840  -0.322 -0.840  -0.192 -0.858  -0.063 -0.884  0.067 -0.910  0.196 -0.936  0.328 -0.939  0.446 -0.972  0.550 -1.039  0.682 -1.039  0.814 -1.039  0.946 -1.039  1.078 -1.039  1.210 -1.039
2#tos#t3#t3047062/]  -0.660 1.194  -0.729 1.146  -0.807 1.119  -0.758 1.082  -0.671 1.082  -0.589 1.065  -0.507 1.045  -0.420 1.045  -0.334 1.045  -0.247 1.045  -0.161 1.045  -0.074 1.045  0.012 1.045  0.099 1.045  0.125 0.984  0.125 0.897  0.125 0.811  0.143 0.727  0.162 0.643  0.175 0.559  0.203 0.477  0.237 0.399  0.237 0.312  0.260 0.229  0.274 0.145  0.274 0.058  0.274 -0.028  0.293 -0.112  0.311 -0.197  0.311 -0.283  0.311 -0.370  0.311 -0.456  0.311 -0.543  0.311 -0.630  0.311 -0.716  0.311 -0.803  0.311 -0.889  0.311 -0.976  0.311 -1.062  0.285 -1.122  0.214 -1.159  0.137 -1.184  0.071 -1.234  0.050 -1.299  -0.027 -1.309  -0.114 -1.309  -0.160 -1.358  -0.232 -1.404  -0.312 -1.421  -0.398 -1.421
2#tos#t3#t3047062/_  -1.144 0.000  -1.217 0.000  -1.290 0.000  -1.363 0.000  -1.437 0.000  -1.468 0.000  -1.394 0.000  -1.321 0.000  -1.248 0.000  -1.175 0.000  -1.101 0.000  -1.028 0.000  -0.955 0.000  -0.882 0.000  -0.809 0.000  -0.735 0.000  -0.662 0.000  -0.589 0.000  -0.516 0.000  -0.442 0.000  -0.369 0.000  -0.296 0.000  -0.223 0.000  -0.150 0.000  -0.076 0.000  -0.003 0.000  0.070 0.000  0.143 0.000  0.217 0.000  0.290 0.000  0.363 0.000  0.436 0.000  0.509 0.000  0.583 0.000  0.656 0.000  0.729 0.000  0.802 0.000  0.876 0.000  0.949 0.000  1.022 0.000  1.095 0.000  1.169 0.000  1.242 0.000  1.315 0.000  1.388 0.000  1.461 0.000  1.535 0.000  1.608 0.000  1.681 0.000  1.754 0.000
