1b#tos#t2#t2067066/A  0.184 1.379  0.310 1.553  0.242 1.423  0.097 1.191  -0.031 0.952  -0.201 0.740  -0.324 0.494  -0.373 0.226  -0.548 0.035  -0.600 -0.230  -0.818 -0.382  -0.846 -0.639  -0.993 -0.823  -1.111 -1.037  -1.167 -1.206  -1.053 -0.964  -0.908 -0.730  -0.763 -0.497  -0.618 -0.264  -0.473 -0.030  -0.328 0.203  -0.183 0.437  -0.039 0.670  0.106 0.903  0.251 1.137  0.396 1.370  0.315 1.289  0.368 1.029  0.484 0.782  0.532 0.527  0.540 0.253  0.657 0.031  0.663 -0.239  0.761 -0.492  0.881 -0.709  0.894 -0.982  0.925 -1.253  0.990 -1.388  0.799 -1.190  0.608 -0.993  0.417 -0.796  0.226 -0.598  0.035 -0.401  -0.156 -0.204  -0.350 -0.020  -0.505 -0.102  -0.230 -0.102  0.045 -0.102  0.319 -0.102  0.576 -0.146
1b#tos#t2#t2067066/B  0.235 1.479  0.138 1.317  0.066 1.079  -0.088 0.870  -0.204 0.639  -0.204 0.379  -0.240 0.140  -0.458 0.002  -0.594 -0.213  -0.594 -0.472  -0.594 -0.732  -0.594 -0.992  -0.594 -1.251  -0.722 -1.142  -0.648 -0.893  -0.574 -0.644  -0.499 -0.395  -0.425 -0.147  -0.351 0.102  -0.277 0.351  -0.203 0.600  -0.129 0.849  -0.057 1.098  -0.057 1.358  0.130 1.430  0.389 1.430  0.577 1.290  0.723 1.108  0.864 0.898  0.967 0.681  0.894 0.444  0.683 0.317  0.476 0.162  0.219 0.141  -0.028 0.065  -0.288 0.065  -0.250 0.065  -0.018 -0.023  0.225 -0.105  0.439 -0.246  0.577 -0.427  0.595 -0.676  0.674 -0.886  0.597 -1.113  0.343 -1.154  0.230 -1.301  0.039 -1.398  -0.221 -1.398  -0.480 -1.398  -0.691 -1.349
1b#tos#t2#t2067066/C  0.990 0.704  0.927 0.647  0.918 0.588  0.946 0.681  0.920 0.774  0.857 0.826  0.792 0.903  0.724 0.953  0.637 0.970  0.539 0.996  0.439 1.015  0.335 1.015  0.275 0.970  0.172 0.965  0.071 0.940  -0.027 0.905  -0.074 0.830  -0.141 0.793  -0.201 0.748  -0.296 0.740  -0.296 0.636  -0.343 0.546  -0.385 0.454  -0.385 0.350  -0.389 0.247  -0.422 0.148  -0.495 0.078  -0.578 0.015  -0.606 -0.075  -0.606 -0.179  -0.606 -0.283  -0.606 -0.387  -0.606 -0.491  -0.606 -0.595  -0.606 -0.700  -0.606 -0.804  -0.561 -0.897  -0.536 -0.998  -0.488 -1.070  -0.390 -1.103  -0.293 -1.142  -0.237 -1.203  -0.132 -1.203  -0.028 -1.203  0.076 -1.203  0.180 -1.203  0.284 -1.202  0.385 -1.177  0.487 -1.159  0.591 -1.159
1b#tos#t2#t2067066/E  -0.394 1.613  -0.521 1.465  -0.521 1.190  -0.527 0.916  -0.563 0.647  -0.563 0.372  -0.563 0.096  -0.563 -0.179  -0.606 -0.447  -0.606 -0.722  -0.691 -0.962  -0.691 -1.228  -0.634 -0.959  -0.569 -0.692  -0.503 -0.425  -0.437 -0.158  -0.372 0.109  -0.306 0.377  -0.240 0.644  -0.175 0.911  -0.109 1.178  -0.045 1.146  0.188 1.103  0.463 1.103  0.703 1.018  0.978 1.018  0.893 0.891  0.679 0.718  0.465 0.545  0.251 0.371  0.040 0.200  -0.138 0.042  0.136 0.042  0.411 0.042  0.687 0.042  0.944 -0.001  0.748 -0.131  0.512 -0.273  0.276 -0.415  0.040 -0.556  -0.196 -0.698  -0.393 -0.864  -0.551 -1.054  -0.388 -1.148  -0.113 -1.148  0.162 -1.148  0.437 -1.148  0.713 -1.148  0.988 -1.148  1.263 -1.148
1b#tos#t2#t2067066/F  -0.088 1.453  -0.224 1.361  -0.224 1.133  -0.224 0.905  -0.224 0.677  -0.224 0.449  -0.269 0.249  -0.315 0.049  -0.315 -0.179  -0.409 -0.368  -0.497 -0.560  -0.497 -0.788  -0.516 -1.013  -0.634 -1.199  -0.634 -1.427  -0.645 -1.651  -0.723 -1.821  -0.714 -1.649  -0.642 -1.432  -0.571 -1.215  -0.500 -0.998  -0.429 -0.782  -0.358 -0.565  -0.287 -0.348  -0.216 -0.131  -0.145 0.085  -0.074 0.302  -0.003 0.519  0.068 0.736  0.139 0.952  0.140 0.998  0.368 0.998  0.596 0.998  0.824 0.998  1.052 0.998  1.111 0.939  0.933 0.797  0.755 0.654  0.577 0.512  0.399 0.369  0.221 0.227  0.041 0.089  -0.082 -0.081  -0.183 -0.184  0.045 -0.184  0.273 -0.184  0.501 -0.184  0.729 -0.184  0.957 -0.184  1.140 -0.138
1b#tos#t2#t2067066/G  0.748 1.012  0.626 1.004  0.603 1.186  0.465 1.310  0.314 1.379  0.135 1.419  -0.062 1.419  -0.243 1.394  -0.341 1.250  -0.496 1.184  -0.618 1.031  -0.719 0.877  -0.748 0.690  -0.871 0.537  -0.935 0.363  -0.964 0.171  -0.964 -0.025  -0.964 -0.222  -0.964 -0.418  -0.943 -0.608  -0.882 -0.786  -0.803 -0.904  -0.607 -0.904  -0.410 -0.904  -0.214 -0.904  -0.104 -0.794  0.084 -0.741  0.199 -0.659  0.345 -0.578  0.303 -0.438  0.206 -0.267  0.110 -0.096  0.014 0.072  -0.123 -0.031  0.001 -0.089  0.197 -0.089  0.392 -0.076  0.585 -0.048  0.782 -0.048  0.975 -0.027  0.954 -0.016  0.787 -0.120  0.689 -0.261  0.544 -0.368  0.585 -0.524  0.585 -0.721  0.504 -0.883  0.481 -1.077  0.381 -1.237  0.381 -1.434
1b#tos#t2#t2067066/H  -0.778 1.266  -0.821 1.063  -0.821 0.816  -0.886 0.597  -0.950 0.377  -0.950 0.131  -0.993 -0.111  -1.036 -0.351  -1.080 -0.587  -1.100 -0.825  -1.123 -1.062  -1.016 -1.030  -0.852 -0.847  -0.688 -0.664  -0.523 -0.480  -0.359 -0.297  -0.194 -0.113  -0.030 0.070  0.135 0.254  0.299 0.437  0.464 0.621  0.628 0.804  0.793 0.987  0.957 1.171  1.117 1.352  0.913 1.309  0.904 1.072  0.904 0.826  0.818 0.600  0.818 0.353  0.818 0.107  0.818 -0.139  0.818 -0.386  0.787 -0.619  0.775 -0.861  0.860 -1.020  0.691 -0.962  0.498 -0.809  0.305 -0.656  0.112 -0.503  -0.081 -0.350  -0.274 -0.197  -0.433 -0.114  -0.679 -0.114  -0.500 -0.157  -0.297 -0.200  -0.051 -0.200  0.196 -0.200  0.442 -0.200  0.645 -0.157
1b#tos#t2#t2067066/I  -0.187 1.385  -0.292 1.333  -0.369 1.254  -0.446 1.230  -0.330 1.230  -0.213 1.230  -0.113 1.192  0.004 1.192  0.120 1.192  0.226 1.166  0.337 1.153  0.414 1.142  0.313 1.084  0.212 1.027  0.123 0.978  0.084 0.900  0.084 0.784  0.084 0.667  0.065 0.554  0.045 0.440  0.045 0.324  0.045 0.207  0.045 0.091  0.045 -0.026  -0.049 -0.048  -0.071 -0.143  -0.071 -0.259  -0.071 -0.376  -0.071 -0.492  -0.071 -0.609  -0.083 -0.655  -0.188 -0.707  -0.292 -0.759  -0.396 -0.811  -0.497 -0.865  -0.570 -0.937  -0.589 -1.017  -0.472 -1.017  -0.372 -1.059  -0.262 -1.094  -0.145 -1.094  -0.028 -1.094  0.088 -1.094  0.205 -1.094  0.321 -1.094  0.438 -1.094  0.554 -1.094  0.671 -1.094  0.783 -1.068  0.898 -1.056
1b#tos#t2#t2067066/M  -0.547 1.249  -0.705 1.205  -0.705 1.004  -0.705 0.803  -0.723 0.604  -0.784 0.413  -0.784 0.212  -0.784 0.010  -0.784 -0.191  -0.784 -0.392  -0.784 -0.594  -0.784 -0.795  -0.784 -0.996  -0.776 -1.040  -0.757 -0.839  -0.737 -0.639  -0.718 -0.439  -0.698 -0.238  -0.679 -0.038  -0.659 0.162  -0.640 0.363  -0.690 0.499  -0.677 0.578  -0.563 0.460  -0.448 0.351  -0.361 0.176  -0.246 0.015  -0.134 -0.132  -0.018 -0.250  0.167 -0.290  0.346 -0.232  0.494 -0.101  0.639 0.031  0.705 0.220  0.781 0.400  0.794 0.598  0.920 0.697  1.027 0.811  1.032 0.775  1.031 0.575  0.991 0.383  0.991 0.182  0.991 -0.019  0.991 -0.221  0.991 -0.422  1.027 -0.616  1.070 -0.809  1.093 -1.005  1.149 -1.163  1.228 -1.316
1b#tos#t2#t2067066/N  -0.688 1.244  -0.729 1.097  -0.729 0.907  -0.729 0.718  -0.729 0.529  -0.729 0.340  -0.729 0.151  -0.729 -0.038  -0.729 -0.227  -0.729 -0.416  -0.729 -0.605  -0.729 -0.794  -0.729 -0.984  -0.729 -1.049  -0.710 -0.861  -0.690 -0.673  -0.669 -0.485  -0.648 -0.297  -0.627 -0.109  -0.606 0.079  -0.585 0.267  -0.564 0.455  -0.665 0.542  -0.582 0.518  -0.436 0.414  -0.331 0.268  -0.179 0.157  -0.059 0.012  0.015 -0.157  0.174 -0.256  0.270 -0.383  0.407 -0.480  0.511 -0.605  0.550 -0.778  0.714 -0.862  0.821 -0.946  0.924 -0.942  0.924 -0.753  0.965 -0.605  0.989 -0.426  1.006 -0.244  1.006 -0.055  1.006 0.134  1.006 0.323  1.006 0.512  1.031 0.697  1.048 0.884  1.048 1.073  1.048 1.262  1.048 1.451
1b#tos#t2#t2067066/O  0.233 1.038  0.156 1.129  0.050 1.192  -0.096 1.192  -0.210 1.115  -0.307 1.066  -0.382 0.974  -0.452 0.864  -0.565 0.776  -0.615 0.674  -0.648 0.542  -0.676 0.421  -0.692 0.291  -0.731 0.183  -0.731 0.037  -0.731 -0.109  -0.731 -0.255  -0.731 -0.401  -0.694 -0.538  -0.674 -0.676  -0.626 -0.802  -0.577 -0.928  -0.552 -1.060  -0.435 -1.147  -0.310 -1.198  -0.230 -1.264  -0.095 -1.275  0.051 -1.275  0.164 -1.194  0.295 -1.128  0.407 -1.044  0.487 -0.960  0.591 -0.868  0.657 -0.767  0.657 -0.621  0.734 -0.523  0.734 -0.377  0.734 -0.231  0.734 -0.085  0.734 0.061  0.734 0.207  0.734 0.353  0.734 0.499  0.657 0.614  0.580 0.712  0.478 0.793  0.453 0.922  0.346 0.961  0.239 1.025  0.117 1.076
1b#tos#t2#t2067066/P  -0.304 1.328  -0.483 1.355  -0.418 1.199  -0.393 0.999  -0.393 0.793  -0.393 0.588  -0.393 0.382  -0.393 0.176  -0.393 -0.030  -0.393 -0.236  -0.393 -0.441  -0.393 -0.647  -0.393 -0.853  -0.379 -1.053  -0.243 -1.205  -0.215 -1.404  -0.215 -1.610  -0.215 -1.816  -0.215 -1.750  -0.205 -1.545  -0.188 -1.340  -0.171 -1.135  -0.154 -0.930  -0.137 -0.725  -0.120 -0.519  -0.102 -0.314  -0.085 -0.109  -0.068 0.096  -0.051 0.301  -0.034 0.506  -0.017 0.711  0.000 0.916  -0.079 1.060  -0.144 1.149  0.061 1.149  0.244 1.092  0.429 1.028  0.602 0.926  0.790 0.881  0.968 0.815  1.080 0.647  1.080 0.441  0.965 0.275  0.806 0.150  0.625 0.057  0.459 -0.064  0.289 -0.181  0.106 -0.275  -0.070 -0.380  -0.259 -0.458
1b#tos#t2#t2067066/T  -1.381 0.579  -1.429 0.467  -1.462 0.430  -1.330 0.430  -1.198 0.430  -1.066 0.430  -0.943 0.467  -0.810 0.467  -0.678 0.467  -0.546 0.467  -0.414 0.467  -0.282 0.467  -0.150 0.467  -0.018 0.467  0.114 0.467  0.246 0.467  0.379 0.467  0.509 0.485  0.639 0.505  0.771 0.505  0.903 0.505  1.035 0.505  1.166 0.506  1.221 0.537  1.093 0.504  0.965 0.470  0.837 0.437  0.709 0.404  0.581 0.371  0.453 0.338  0.326 0.305  0.197 0.280  0.071 0.246  -0.032 0.184  -0.032 0.052  -0.032 -0.080  -0.032 -0.212  -0.032 -0.345  -0.032 -0.477  -0.032 -0.609  -0.032 -0.741  -0.032 -0.873  -0.032 -1.005  -0.032 -1.137  -0.032 -1.269  -0.032 -1.401  -0.032 -1.534  -0.032 -1.666  -0.032 -1.798  0.005 -1.893
1b#tos#t2#t2067066/U  -0.895 1.149  -1.015 1.106  -1.051 0.960  -1.051 0.799  -1.051 0.639  -1.051 0.478  -1.051 0.317  -1.012 0.163  -1.012 0.002  -1.012 -0.159  -1.012 -0.320  -0.989 -0.471  -0.966 -0.624  -0.934 -0.779  -0.835 -0.849  -0.690 -0.916  -0.532 -0.934  -0.375 -0.955  -0.214 -0.955  -0.092 -0.916  0.063 -0.883  0.139 -0.761  0.253 -0.677  0.313 -0.528  0.405 -0.417  0.449 -0.264  0.508 -0.121  0.508 0.040  0.508 0.200  0.533 0.349  0.661 0.445  0.664 0.605  0.664 0.765  0.664 0.926  0.664 1.087  0.625 1.166  0.586 1.044  0.586 0.884  0.586 0.723  0.586 0.562  0.586 0.401  0.586 0.241  0.586 0.080  0.625 -0.072  0.638 -0.231  0.664 -0.388  0.703 -0.540  0.728 -0.695  0.824 -0.800  0.936 -0.878
1b#tos#t2#t2067066/V  -1.054 0.916  -1.229 0.899  -1.281 0.783  -1.166 0.671  -0.983 0.635  -0.800 0.601  -0.609 0.601  -0.432 0.566  -0.241 0.566  -0.050 0.566  0.141 0.566  0.332 0.566  0.523 0.566  0.715 0.566  0.906 0.566  1.091 0.591  1.280 0.601  1.243 0.590  1.052 0.572  0.862 0.554  0.672 0.535  0.481 0.517  0.291 0.499  0.101 0.480  -0.090 0.462  -0.280 0.444  -0.470 0.426  -0.565 0.330  -0.565 0.139  -0.530 -0.048  -0.530 -0.239  -0.530 -0.430  -0.495 -0.615  -0.495 -0.807  -0.437 -0.984  -0.426 -1.172  -0.391 -1.358  -0.321 -1.479  -0.175 -1.565  -0.034 -1.479  0.074 -1.325  0.161 -1.157  0.203 -0.977  0.326 -0.849  0.461 -0.714  0.520 -0.546  0.565 -0.365  0.658 -0.213  0.761 -0.098  0.763 0.042
1b#tos#t2#t2067066/W  -0.877 0.631  -1.028 0.493  -0.998 0.234  -0.937 -0.021  -0.937 -0.287  -0.907 -0.550  -0.884 -0.811  -0.819 -1.062  -0.664 -1.040  -0.541 -0.843  -0.411 -0.674  -0.239 -0.485  -0.148 -0.256  -0.148 0.010  -0.113 0.167  -0.041 -0.084  0.033 -0.337  0.059 -0.599  0.135 -0.852  0.195 -1.101  0.367 -1.220  0.556 -1.112  0.611 -0.854  0.702 -0.653  0.702 -0.387  0.762 -0.145  0.827 0.096  0.883 0.328  0.710 0.378  0.444 0.405  0.179 0.432  -0.086 0.458  -0.351 0.485  -0.617 0.511  -0.882 0.538  -1.147 0.564  -1.281 0.479  -1.014 0.479  -0.748 0.479  -0.481 0.479  -0.229 0.540  0.038 0.540  0.300 0.562  0.559 0.601  0.826 0.601  1.032 0.540  1.298 0.540  1.565 0.540  1.771 0.601  1.976 0.662
1b#tos#t2#t2067066/Z  -0.595 1.416  -0.780 1.305  -0.930 1.187  -0.947 1.082  -0.711 1.082  -0.488 1.010  -0.252 1.008  -0.016 1.008  0.221 1.008  0.457 1.008  0.693 1.008  0.883 0.934  0.794 0.839  0.612 0.689  0.458 0.575  0.247 0.475  0.099 0.292  -0.068 0.125  -0.232 -0.035  -0.422 -0.118  -0.484 -0.342  -0.654 -0.481  -0.787 -0.625  -0.818 -0.830  -0.785 -1.033  -0.586 -1.070  -0.366 -1.124  -0.137 -1.145  0.091 -1.182  0.327 -1.182  0.563 -1.182  0.799 -1.182  1.036 -1.182  1.115 -1.147  0.950 -0.978  0.785 -0.809  0.620 -0.640  0.455 -0.471  0.290 -0.302  0.125 -0.133  -0.040 0.036  -0.205 0.205  -0.371 0.374  -0.590 0.414  -0.485 0.266  -0.342 0.124  -0.176 0.006  -0.014 -0.068  0.222 -0.069  0.444 -0.143
