1d#tos#f1#f1051061/#  -0.904 0.457  -1.290 0.340  -1.272 0.340  -0.856 0.396  -0.435 0.398  -0.051 0.488  0.355 0.552  0.773 0.575  1.117 0.552  0.759 0.329  0.402 0.106  0.045 -0.118  -0.313 -0.341  -0.670 -0.564  -1.028 -0.788  -1.290 -1.058  -1.246 -1.060  -0.873 -0.894  -0.500 -0.777  -0.092 -0.718  0.326 -0.700  0.738 -0.641  1.153 -0.601  1.089 -0.356  0.838 -0.018  0.586 0.321  0.335 0.659  0.084 0.998  -0.225 1.221  -0.493 1.068  -0.493 0.646  -0.493 0.225  -0.448 -0.191  -0.434 -0.611  -0.434 -1.032  -0.345 -1.365  -0.250 -1.334  -0.122 -0.933  0.007 -0.532  0.136 -0.130  0.264 0.271  0.393 0.672  0.522 1.073  0.651 1.475  0.624 1.315  0.624 0.894  0.624 0.472  0.657 0.054  0.719 -0.359  0.741 -0.777
1d#tos#f1#f1051061/%  0.344 0.966  0.257 0.967  0.166 0.730  0.084 0.487  0.084 0.229  -0.049 0.040  -0.100 -0.213  -0.132 -0.468  -0.214 -0.710  -0.271 -0.946  -0.348 -1.172  -0.349 -1.396  -0.362 -1.138  -0.374 -0.880  -0.387 -0.622  -0.399 -0.364  -0.411 -0.106  -0.424 0.151  -0.436 0.409  -0.449 0.667  -0.461 0.925  -0.474 1.183  -0.650 1.269  -0.865 1.225  -0.977 1.029  -1.040 0.797  -1.040 0.539  -0.961 0.360  -0.737 0.425  -0.564 0.577  -0.564 0.835  -0.504 0.849  -0.294 0.699  -0.084 0.549  0.126 0.398  0.336 0.248  0.546 0.098  0.756 -0.052  0.966 -0.202  1.176 -0.352  0.991 -0.376  0.783 -0.498  0.668 -0.720  0.646 -0.973  0.646 -1.231  0.896 -1.240  1.097 -1.108  1.165 -0.863  1.152 -0.608  1.036 -0.418
1d#tos#f1#f1051061/&  0.568 -1.408  0.467 -1.297  0.376 -1.145  0.281 -0.978  0.136 -0.858  0.042 -0.724  -0.101 -0.660  -0.220 -0.517  -0.302 -0.347  -0.425 -0.181  -0.481 0.017  -0.627 0.147  -0.627 0.354  -0.627 0.561  -0.627 0.768  -0.627 0.975  -0.627 1.182  -0.627 1.389  -0.510 1.507  -0.303 1.507  -0.096 1.507  0.042 1.382  0.202 1.268  0.281 1.140  0.281 0.933  0.233 0.746  0.116 0.603  0.038 0.452  -0.082 0.303  -0.245 0.227  -0.346 0.121  -0.404 -0.038  -0.531 -0.192  -0.610 -0.357  -0.675 -0.499  -0.675 -0.706  -0.557 -0.822  -0.412 -0.930  -0.205 -0.930  -0.001 -0.912  0.182 -0.835  0.371 -0.792  0.570 -0.779  0.631 -0.585  0.782 -0.453  0.943 -0.336  1.052 -0.173  1.173 -0.017  1.329 0.118  1.476 0.265
1d#tos#f1#f1051061/'  1.062 1.675  0.873 1.675  0.683 1.675  0.580 1.589  0.462 1.517  0.460 1.328  0.375 1.159  0.291 0.989  0.253 0.804  0.216 0.618  0.179 0.432  0.142 0.247  0.079 0.071  -0.026 -0.086  -0.131 -0.244  -0.236 -0.402  -0.341 -0.559  -0.408 -0.731  -0.431 -0.919  -0.455 -1.107  -0.478 -1.295  -0.421 -1.184  -0.347 -1.010  -0.274 -0.835  -0.200 -0.661  -0.126 -0.486  -0.052 -0.312  0.022 -0.137  0.095 0.037  0.169 0.212  0.243 0.386  0.317 0.561  0.391 0.735  0.454 0.903  0.290 0.877  0.204 0.723  0.196 0.535  0.136 0.355  0.069 0.178  -0.002 0.002  -0.076 -0.172  -0.151 -0.345  -0.197 -0.529  -0.257 -0.707  -0.342 -0.876  -0.445 -1.033  -0.579 -1.167  -0.685 -1.319  -0.755 -1.495  -0.825 -1.671
1d#tos#f1#f1051061/*  -0.043 1.078  -0.228 1.223  -0.334 1.318  -0.334 1.017  -0.334 0.715  -0.334 0.414  -0.286 0.117  -0.286 -0.184  -0.281 -0.485  -0.237 -0.780  -0.237 -1.081  -0.140 -1.286  -0.152 -1.488  -0.224 -1.195  -0.296 -0.903  -0.368 -0.610  -0.440 -0.317  -0.511 -0.024  -0.583 0.269  -0.655 0.562  -0.727 0.854  -0.891 1.029  -1.109 0.878  -0.925 0.697  -0.700 0.547  -0.474 0.349  -0.263 0.144  0.005 0.029  0.243 -0.151  0.481 -0.309  0.729 -0.470  0.937 -0.671  1.207 -0.806  1.390 -0.985  1.354 -0.735  1.293 -0.440  1.233 -0.144  1.172 0.151  1.112 0.446  1.051 0.742  0.866 0.884  0.585 0.835  0.351 0.647  0.163 0.413  -0.082 0.241  -0.186 -0.023  -0.362 -0.266  -0.542 -0.508  -0.741 -0.733  -0.867 -1.004
1d#tos#f1#f1051061/+  -1.409 -0.003  -1.513 -0.109  -1.666 -0.185  -1.682 -0.270  -1.530 -0.208  -1.373 -0.163  -1.213 -0.118  -1.057 -0.056  -0.887 -0.056  -0.716 -0.056  -0.546 -0.056  -0.375 -0.056  -0.205 -0.056  -0.059 0.026  0.104 0.050  0.274 0.050  0.445 0.050  0.615 0.050  0.786 0.050  0.956 0.050  1.127 0.050  1.297 0.050  1.468 0.050  1.430 0.114  1.288 0.208  1.146 0.303  1.004 0.397  0.862 0.492  0.720 0.586  0.579 0.681  0.437 0.776  0.295 0.870  0.135 0.905  -0.031 0.946  -0.075 0.939  -0.075 0.769  -0.075 0.598  -0.075 0.428  -0.075 0.257  -0.075 0.087  -0.075 -0.084  -0.053 -0.251  -0.022 -0.418  -0.022 -0.588  -0.022 -0.759  -0.022 -0.929  -0.022 -1.100  -0.022 -1.270  -0.022 -1.441  0.031 -1.603
1d#tos#f1#f1051061/,  0.913 0.730  0.913 0.807  0.913 0.883  0.913 0.959  0.871 1.018  0.818 1.072  0.753 1.099  0.677 1.099  0.601 1.099  0.530 1.085  0.477 1.031  0.423 0.978  0.403 0.904  0.385 0.830  0.366 0.757  0.348 0.683  0.330 0.609  0.311 0.535  0.281 0.468  0.228 0.414  0.174 0.360  0.120 0.306  0.066 0.252  0.012 0.199  -0.041 0.145  -0.090 0.086  -0.132 0.023  -0.174 -0.040  -0.217 -0.104  -0.259 -0.167  -0.301 -0.230  -0.334 -0.298  -0.362 -0.369  -0.391 -0.440  -0.419 -0.510  -0.447 -0.581  -0.476 -0.652  -0.504 -0.722  -0.532 -0.793  -0.560 -0.864  -0.585 -0.936  -0.609 -1.008  -0.633 -1.080  -0.657 -1.152  -0.681 -1.224  -0.685 -1.300  -0.685 -1.376  -0.685 -1.452  -0.685 -1.528  -0.685 -1.604
1d#tos#f1#f1051061/  -0.851 -0.122  -0.931 -0.122  -1.011 -0.122  -1.091 -0.122  -1.171 -0.122  -1.242 -0.144  -1.299 -0.200  -1.361 -0.245  -1.370 -0.245  -1.290 -0.245  -1.210 -0.245  -1.130 -0.245  -1.050 -0.237  -0.971 -0.224  -0.892 -0.211  -0.813 -0.198  -0.735 -0.184  -0.655 -0.181  -0.576 -0.165  -0.498 -0.150  -0.420 -0.134  -0.341 -0.122  -0.261 -0.122  -0.181 -0.122  -0.103 -0.114  -0.039 -0.066  0.025 -0.018  0.089 0.030  0.158 0.063  0.238 0.063  0.318 0.063  0.398 0.063  0.478 0.063  0.558 0.063  0.630 0.096  0.702 0.132  0.773 0.168  0.848 0.195  0.925 0.215  1.003 0.234  1.081 0.253  1.158 0.273  1.236 0.292  1.314 0.309  1.394 0.309  1.474 0.309  1.554 0.309  1.634 0.309  1.714 0.309  1.794 0.309
1d#tos#f1#f1051061/.  0.217 2.390  0.217 2.051  -0.071 1.890  -0.138 1.593  -0.138 1.255  0.079 1.073  0.395 0.962  0.395 0.623  0.395 0.284  0.615 0.037  0.854 -0.203  0.706 -0.203  0.384 -0.099  0.046 -0.099  0.017 -0.099  0.178 -0.277  0.217 -0.576  0.040 -0.528  -0.226 -0.455  -0.492 -0.279  -0.494 0.059  -0.494 0.398  -0.316 0.310  -0.209 0.079  0.040 -0.116  0.119 -0.436  0.098 -0.632  0.040 -0.708  0.040 -0.369  0.108 -0.099  0.217 0.130  0.217 0.044  0.413 -0.099  0.574 -0.276  0.856 -0.088  1.068 0.079  0.928 -0.120  0.926 -0.457  0.751 -0.724  0.525 -0.923  0.202 -0.988  -0.137 -0.988  -0.476 -0.988  -0.814 -0.988  -1.140 -0.931  -1.383 -0.743  -1.383 -0.404  -1.383 -0.065  -1.383 0.273  -1.205 0.434
1d#tos#f1#f1051061/  0.896 1.174  0.862 1.213  0.818 1.242  0.780 1.276  0.727 1.276  0.682 1.220  0.642 1.160  0.606 1.097  0.574 1.032  0.541 0.968  0.509 0.903  0.476 0.838  0.444 0.773  0.421 0.705  0.403 0.635  0.386 0.564  0.368 0.494  0.343 0.428  0.292 0.377  0.240 0.326  0.193 0.272  0.161 0.207  0.128 0.142  0.096 0.077  0.055 0.018  0.008 -0.037  -0.038 -0.093  -0.084 -0.149  -0.124 -0.209  -0.157 -0.274  -0.189 -0.338  -0.221 -0.403  -0.275 -0.451  -0.330 -0.498  -0.386 -0.544  -0.442 -0.590  -0.473 -0.653  -0.496 -0.722  -0.519 -0.791  -0.542 -0.859  -0.565 -0.928  -0.588 -0.997  -0.611 -1.066  -0.672 -1.103  -0.735 -1.140  -0.797 -1.178  -0.822 -1.244  -0.842 -1.313  -0.861 -1.383  -0.881 -1.453
1d#tos#f1#f1051061/;  0.194 1.181  0.188 1.266  0.097 1.266  0.006 1.266  -0.059 1.292  -0.091 1.350  -0.143 1.389  -0.073 1.350  -0.059 1.273  0.000 1.207  0.065 1.142  0.079 1.054  0.102 0.966  0.126 0.878  0.149 0.790  0.172 0.702  0.196 0.615  0.219 0.527  0.242 0.439  0.265 0.351  0.289 0.263  0.312 0.175  0.335 0.087  0.358 -0.001  0.382 -0.089  0.405 -0.177  0.428 -0.265  0.433 -0.338  0.363 -0.316  0.293 -0.296  0.279 -0.373  0.201 -0.411  0.117 -0.445  0.059 -0.501  0.037 -0.590  -0.002 -0.670  -0.056 -0.743  -0.113 -0.814  -0.177 -0.878  -0.241 -0.943  -0.306 -1.007  -0.354 -1.078  -0.354 -1.169  -0.422 -1.221  -0.501 -1.266  -0.580 -1.311  -0.654 -1.360  -0.695 -1.441  -0.736 -1.523  -0.776 -1.604
