3#apa#apa20#app2036/h  -0.383 1.350  -0.516 1.354  -0.516 1.491  -0.516 1.628  -0.516 1.734  -0.516 1.597  -0.516 1.460  -0.516 1.323  -0.516 1.186  -0.516 1.049  -0.507 0.913  -0.474 0.780  -0.440 0.647  -0.407 0.514  -0.383 0.380  -0.383 0.243  -0.383 0.106  -0.383 -0.031  -0.383 -0.168  -0.342 -0.288  -0.250 -0.387  -0.250 -0.524  -0.240 -0.657  -0.143 -0.754  -0.117 -0.880  -0.117 -1.017  -0.041 -1.123  0.016 -1.236  0.016 -1.252  0.016 -1.115  0.016 -0.978  0.016 -0.841  0.016 -0.704  0.016 -0.567  0.076 -0.454  0.149 -0.348  0.186 -0.248  0.283 -0.207  0.314 -0.083  0.411 0.014  0.546 0.019  0.682 0.018  0.685 -0.118  0.782 -0.215  0.879 -0.312  0.948 -0.420  0.979 -0.544  1.076 -0.641  1.081 -0.776  1.081 -0.913
3#apa#apa20#app2036/e  -1.225 -0.010  -1.039 -0.010  -0.852 -0.010  -0.666 -0.010  -0.479 -0.010  -0.293 -0.010  -0.107 -0.010  0.080 -0.010  0.266 -0.010  0.453 -0.010  0.639 -0.010  0.826 -0.010  0.831 0.171  0.856 0.333  1.042 0.333  1.174 0.387  1.174 0.573  1.090 0.676  0.903 0.676  0.831 0.790  0.831 0.976  0.687 1.018  0.501 1.018  0.314 1.018  0.128 1.018  -0.059 1.018  -0.197 0.970  -0.197 0.784  -0.275 0.676  -0.462 0.676  -0.540 0.567  -0.540 0.381  -0.638 0.235  -0.769 0.103  -0.882 -0.037  -0.882 -0.223  -0.882 -0.410  -0.882 -0.596  -0.796 -0.696  -0.609 -0.696  -0.540 -0.812  -0.540 -0.999  -0.393 -1.038  -0.206 -1.038  -0.038 -1.117  0.128 -1.201  0.295 -1.284  0.462 -1.368  0.645 -1.381  0.831 -1.381
3#apa#apa20#app2036/s  -0.330 1.055  -0.330 0.947  -0.333 0.841  -0.442 0.841  -0.551 0.841  -0.659 0.841  -0.767 0.837  -0.865 0.788  -0.962 0.739  -1.059 0.691  -1.156 0.642  -1.111 0.627  -1.002 0.627  -0.972 0.548  -0.972 0.439  -0.890 0.413  -0.781 0.413  -0.697 0.352  -0.620 0.275  -0.543 0.199  -0.435 0.199  -0.326 0.199  -0.217 0.199  -0.108 0.199  0.001 0.199  0.099 0.188  0.099 0.079  0.113 -0.015  0.222 -0.015  0.330 -0.015  0.439 -0.015  0.527 -0.036  0.527 -0.145  0.551 -0.230  0.660 -0.230  0.761 -0.249  0.838 -0.326  0.915 -0.403  0.955 -0.495  0.955 -0.604  0.955 -0.713  0.955 -0.822  0.955 -0.930  0.955 -1.039  0.912 -1.130  0.835 -1.207  0.758 -1.284  0.681 -1.361  0.604 -1.438  0.527 -1.515
3#apa#apa20#app2036/o  -0.129 1.172  -0.264 1.172  -0.396 1.168  -0.492 1.073  -0.587 0.978  -0.682 0.882  -0.777 0.787  -0.872 0.692  -0.918 0.576  -0.918 0.442  -0.918 0.307  -0.918 0.173  -0.918 0.038  -0.918 -0.097  -0.918 -0.231  -0.918 -0.366  -0.852 -0.473  -0.757 -0.568  -0.661 -0.663  -0.529 -0.669  -0.395 -0.669  -0.392 -0.801  -0.388 -0.932  -0.254 -0.932  -0.119 -0.932  0.015 -0.932  0.150 -0.932  0.285 -0.932  0.419 -0.932  0.554 -0.932  0.680 -0.913  0.775 -0.817  0.871 -0.722  0.923 -0.609  0.923 -0.475  0.923 -0.340  0.923 -0.206  0.923 -0.071  0.923 0.064  0.923 0.198  0.923 0.333  0.839 0.383  0.704 0.383  0.660 0.474  0.660 0.608  0.592 0.715  0.497 0.810  0.402 0.905  0.269 0.909  0.134 0.909
3#apa#apa20#app2036/o  -0.268 1.315  -0.364 1.219  -0.460 1.123  -0.557 1.028  -0.693 1.028  -0.830 1.028  -0.842 0.904  -0.842 0.768  -0.842 0.632  -0.842 0.496  -0.842 0.359  -0.842 0.223  -0.842 0.087  -0.842 -0.049  -0.842 -0.185  -0.842 -0.322  -0.806 -0.443  -0.710 -0.539  -0.614 -0.636  -0.502 -0.695  -0.366 -0.695  -0.268 -0.733  -0.268 -0.869  -0.244 -0.982  -0.108 -0.982  0.028 -0.982  0.164 -0.982  0.301 -0.982  0.437 -0.982  0.573 -0.982  0.594 -0.866  0.594 -0.730  0.694 -0.695  0.831 -0.695  0.881 -0.609  0.881 -0.472  0.881 -0.336  0.881 -0.200  0.881 -0.064  0.881 0.072  0.881 0.209  0.881 0.345  0.862 0.473  0.766 0.569  0.669 0.666  0.564 0.741  0.428 0.741  0.307 0.756  0.307 0.892  0.307 1.028
3#apa#apa20#app2036/n  -1.353 0.768  -1.242 0.657  -1.131 0.546  -1.084 0.409  -1.084 0.252  -0.947 0.231  -0.816 0.206  -0.816 0.049  -0.766 -0.087  -0.655 -0.198  -0.547 -0.311  -0.547 -0.468  -0.511 -0.610  -0.400 -0.721  -0.289 -0.832  -0.279 -0.984  -0.248 -1.111  -0.091 -1.111  -0.087 -1.111  -0.244 -1.111  -0.279 -0.989  -0.279 -0.832  -0.279 -0.675  -0.279 -0.518  -0.279 -0.361  -0.279 -0.204  -0.279 -0.047  -0.279 0.110  -0.279 0.267  -0.279 0.424  -0.198 0.500  -0.041 0.500  -0.011 0.627  0.005 0.768  0.162 0.768  0.319 0.768  0.476 0.768  0.633 0.768  0.790 0.768  0.795 0.616  0.835 0.500  0.992 0.500  1.124 0.439  1.235 0.328  1.331 0.211  1.331 0.054  1.397 -0.037  1.554 -0.037  1.600 -0.148  1.600 -0.305
3#apa#apa20#app2036/t  -0.153 2.157  -0.153 2.026  -0.153 1.895  -0.109 1.782  -0.016 1.689  0.013 1.570  0.013 1.439  0.013 1.308  0.013 1.177  0.013 1.045  0.013 0.914  0.013 0.783  0.013 0.652  0.013 0.521  0.013 0.390  0.013 0.259  0.026 0.130  0.067 0.005  0.109 -0.119  0.150 -0.243  0.178 -0.370  0.178 -0.501  0.178 -0.632  0.178 -0.763  0.178 -0.895  0.178 -1.026  0.178 -1.156  0.068 -1.083  -0.041 -1.010  -0.150 -0.937  -0.259 -0.865  -0.368 -0.792  -0.477 -0.719  -0.586 -0.646  -0.695 -0.574  -0.804 -0.501  -0.698 -0.493  -0.567 -0.493  -0.436 -0.493  -0.305 -0.493  -0.174 -0.493  -0.043 -0.493  0.089 -0.493  0.220 -0.493  0.351 -0.493  0.482 -0.493  0.613 -0.493  0.744 -0.493  0.875 -0.493  1.006 -0.493
3#apa#apa20#app2036/o  0.121 0.866  -0.036 0.866  -0.193 0.866  -0.350 0.866  -0.507 0.866  -0.664 0.866  -0.787 0.832  -0.787 0.675  -0.832 0.563  -0.989 0.563  -1.089 0.507  -1.089 0.350  -1.089 0.193  -1.089 0.036  -1.010 -0.042  -0.853 -0.042  -0.787 -0.132  -0.787 -0.289  -0.787 -0.446  -0.787 -0.603  -0.674 -0.647  -0.517 -0.647  -0.360 -0.647  -0.203 -0.647  -0.181 -0.783  -0.181 -0.940  -0.035 -0.950  0.122 -0.950  0.279 -0.950  0.436 -0.950  0.593 -0.950  0.726 -0.926  0.726 -0.769  0.761 -0.647  0.918 -0.647  1.029 -0.601  1.029 -0.444  1.029 -0.287  1.029 -0.130  1.029 0.027  1.029 0.184  1.029 0.341  1.029 0.498  0.937 0.563  0.781 0.563  0.654 0.636  0.543 0.747  0.432 0.858  0.278 0.866  0.121 0.866
3#apa#apa20#app2036/o  -0.673 1.108  -0.673 0.977  -0.674 0.847  -0.805 0.847  -0.933 0.844  -0.933 0.713  -0.938 0.587  -1.070 0.587  -1.194 0.580  -1.194 0.449  -1.188 0.320  -1.095 0.227  -1.003 0.134  -0.933 0.032  -0.933 -0.099  -0.909 -0.220  -0.816 -0.313  -0.723 -0.406  -0.630 -0.499  -0.537 -0.591  -0.445 -0.684  -0.327 -0.717  -0.196 -0.717  -0.065 -0.717  0.067 -0.717  0.198 -0.717  0.329 -0.717  0.460 -0.717  0.591 -0.717  0.723 -0.717  0.854 -0.717  0.892 -0.624  0.892 -0.493  0.987 -0.456  1.118 -0.456  1.153 -0.360  1.153 -0.229  1.153 -0.098  1.153 0.034  1.053 0.065  0.922 0.065  0.892 0.166  0.892 0.298  0.819 0.399  0.726 0.492  0.634 0.584  0.503 0.587  0.372 0.587  0.241 0.587  0.110 0.587
3#apa#apa20#app2036/k  -1.212 1.647  -1.065 1.647  -1.011 1.553  -0.971 1.447  -0.824 1.447  -0.811 1.313  -0.811 1.165  -0.792 1.026  -0.688 0.922  -0.610 0.807  -0.610 0.660  -0.517 0.552  -0.413 0.447  -0.410 0.302  -0.410 0.155  -0.385 0.018  -0.281 -0.086  -0.209 -0.204  -0.209 -0.351  -0.110 -0.457  -0.009 -0.562  -0.009 -0.709  0.035 -0.671  0.100 -0.540  0.166 -0.408  0.232 -0.276  0.298 -0.145  0.364 -0.013  0.308 0.043  0.191 0.013  0.191 -0.134  0.067 -0.157  -0.080 -0.157  -0.192 -0.157  -0.045 -0.157  -0.009 -0.268  0.049 -0.358  0.191 -0.362  0.191 -0.509  0.290 -0.558  0.437 -0.558  0.584 -0.558  0.690 -0.656  0.795 -0.759  0.942 -0.759  1.061 -0.826  1.165 -0.931  1.301 -0.959  1.448 -0.959  1.595 -0.959
3#apa#apa20#app2036/e  -1.134 0.287  -1.326 0.287  -1.326 0.287  -1.134 0.287  -0.942 0.287  -0.750 0.287  -0.558 0.287  -0.422 0.152  -0.286 0.016  -0.100 -0.001  0.092 -0.001  0.284 -0.001  0.476 -0.001  0.669 -0.001  0.861 -0.001  0.885 0.167  0.957 0.287  1.149 0.287  1.173 0.455  1.173 0.648  1.173 0.840  1.006 0.864  0.813 0.864  0.621 0.864  0.429 0.864  0.237 0.864  0.044 0.864  -0.099 0.746  -0.235 0.610  -0.413 0.576  -0.557 0.528  -0.557 0.336  -0.701 0.287  -0.846 0.240  -0.846 0.048  -0.846 -0.145  -0.812 -0.323  -0.676 -0.459  -0.540 -0.595  -0.404 -0.731  -0.269 -0.867  -0.269 -1.059  -0.172 -1.155  0.020 -1.155  0.212 -1.155  0.404 -1.155  0.597 -1.155  0.789 -1.155  0.981 -1.155  1.173 -1.155
