3#app#app11#app1167/A  0.069 1.113  -0.019 0.917  -0.107 0.722  -0.177 0.513  -0.254 0.299  -0.362 0.111  -0.384 -0.116  -0.488 -0.324  -0.592 -0.532  -0.693 -0.741  -0.766 -0.962  -0.832 -1.151  -0.862 -1.219  -0.774 -1.023  -0.660 -0.830  -0.606 -0.604  -0.552 -0.379  -0.498 -0.153  -0.443 0.073  -0.389 0.299  -0.335 0.525  -0.281 0.751  -0.226 0.977  -0.172 1.203  -0.118 1.429  -0.064 1.655  -0.022 1.652  0.069 1.511  0.069 1.279  0.069 1.046  0.177 0.859  0.177 0.626  0.294 0.440  0.367 0.220  0.500 0.036  0.604 -0.172  0.716 -0.359  0.778 -0.565  0.866 -0.761  0.954 -0.957  1.042 -1.153  1.099 -1.191  0.964 -1.002  0.829 -0.813  0.694 -0.623  0.523 -0.504  0.291 -0.504  0.058 -0.504  -0.174 -0.504  -0.362 -0.612
3#app#app11#app1167/Q  -0.051 0.831  -0.167 0.931  -0.382 0.931  -0.498 0.831  -0.646 0.765  -0.764 0.595  -0.869 0.409  -1.021 0.257  -1.042 0.051  -1.142 -0.123  -1.142 -0.338  -1.142 -0.553  -1.075 -0.757  -0.963 -0.934  -0.782 -1.016  -0.582 -1.053  -0.375 -1.017  -0.175 -0.953  0.020 -0.869  0.201 -0.753  0.375 -0.627  0.527 -0.475  0.629 -0.287  0.773 -0.130  0.842 0.057  0.902 0.258  0.941 0.464  0.941 0.679  0.897 0.876  0.842 1.068  0.787 1.228  0.613 1.327  0.459 1.208  0.334 1.033  0.209 0.858  0.084 0.683  -0.041 0.508  -0.166 0.333  -0.291 0.158  -0.416 -0.017  -0.348 -0.122  -0.171 -0.160  -0.013 -0.297  0.139 -0.449  0.320 -0.531  0.462 -0.691  0.544 -0.886  0.692 -0.953  0.789 -1.099  0.941 -1.251
3#app#app11#app1167/U  -0.814 0.920  -0.814 0.756  -0.814 0.593  -0.925 0.475  -0.925 0.311  -1.000 0.178  -1.036 0.029  -1.036 -0.135  -1.036 -0.299  -1.148 -0.417  -1.148 -0.580  -1.148 -0.744  -1.036 -0.797  -1.036 -0.961  -0.883 -0.972  -0.719 -0.972  -0.555 -0.972  -0.392 -0.972  -0.269 -0.872  -0.120 -0.835  0.008 -0.749  0.144 -0.682  0.290 -0.638  0.342 -0.526  0.410 -0.431  0.559 -0.415  0.638 -0.325  0.649 -0.162  0.659 0.002  0.669 0.165  0.679 0.329  0.690 0.492  0.700 0.656  0.710 0.820  0.720 0.983  0.731 1.147  0.741 1.310  0.744 1.257  0.709 1.108  0.633 0.975  0.633 0.811  0.610 0.653  0.537 0.506  0.522 0.346  0.522 0.182  0.522 0.018  0.522 -0.146  0.522 -0.310  0.522 -0.474  0.522 -0.638
3#app#app11#app1167/I  -0.028 1.475  0.043 1.475  0.115 1.475  0.185 1.474  0.185 1.402  0.185 1.331  0.184 1.260  0.133 1.209  0.083 1.158  0.032 1.108  -0.018 1.057  -0.028 0.990  -0.028 0.918  -0.028 0.847  -0.028 0.775  -0.028 0.703  -0.028 0.632  -0.028 0.560  -0.028 0.489  -0.028 0.417  -0.028 0.346  -0.028 0.274  -0.028 0.203  -0.028 0.131  -0.028 0.060  -0.028 -0.012  -0.028 -0.084  -0.028 -0.155  -0.028 -0.227  -0.028 -0.298  -0.028 -0.370  -0.028 -0.441  -0.028 -0.513  -0.028 -0.584  -0.028 -0.656  -0.028 -0.728  -0.028 -0.799  -0.028 -0.871  -0.028 -0.942  -0.028 -1.014  -0.028 -1.085  -0.028 -1.157  -0.028 -1.228  -0.028 -1.300  -0.028 -1.372  -0.028 -1.443  -0.028 -1.515  -0.028 -1.586  -0.028 -1.658  -0.028 -1.729
3#app#app11#app1167/C  0.970 0.797  0.970 0.892  0.970 0.987  0.939 1.069  0.872 1.136  0.787 1.159  0.692 1.159  0.608 1.147  0.608 1.052  0.528 1.038  0.433 1.038  0.346 1.018  0.279 0.950  0.212 0.883  0.145 0.816  0.078 0.749  0.011 0.682  -0.056 0.615  -0.123 0.548  -0.190 0.481  -0.236 0.405  -0.239 0.312  -0.306 0.245  -0.373 0.177  -0.440 0.110  -0.507 0.043  -0.574 -0.024  -0.597 -0.109  -0.597 -0.204  -0.597 -0.299  -0.597 -0.394  -0.597 -0.488  -0.597 -0.583  -0.597 -0.678  -0.597 -0.773  -0.597 -0.868  -0.597 -0.963  -0.551 -1.011  -0.462 -1.026  -0.395 -1.093  -0.316 -1.132  -0.221 -1.132  -0.126 -1.132  -0.032 -1.132  0.063 -1.132  0.158 -1.132  0.251 -1.127  0.318 -1.060  0.393 -1.011  0.488 -1.011
3#app#app11#app1167/K  -0.555 1.599  -0.452 1.458  -0.555 1.311  -0.555 1.066  -0.555 0.822  -0.555 0.578  -0.555 0.334  -0.555 0.089  -0.555 -0.155  -0.483 -0.382  -0.414 -0.610  -0.414 -0.854  -0.414 -1.098  -0.414 -1.343  -0.312 -1.176  -0.198 -0.960  -0.085 -0.744  0.029 -0.528  0.143 -0.312  0.257 -0.096  0.371 0.121  0.484 0.337  0.598 0.553  0.712 0.769  0.826 0.985  0.939 1.201  1.000 1.203  0.859 1.100  0.691 1.008  0.576 0.811  0.404 0.721  0.206 0.610  0.017 0.475  -0.165 0.327  -0.272 0.190  -0.484 0.116  -0.696 0.042  -0.801 -0.097  -0.696 -0.163  -0.555 -0.266  -0.424 -0.380  -0.321 -0.521  -0.218 -0.662  -0.020 -0.773  0.153 -0.945  0.398 -0.945  0.620 -1.038  0.813 -1.182  1.038 -1.228  1.141 -1.369
3#app#app11#app1167/B  -0.557 1.007  -0.462 0.826  -0.462 0.551  -0.557 0.315  -0.557 0.039  -0.557 -0.237  -0.557 -0.512  -0.462 -0.765  -0.462 -1.041  -0.366 -1.277  -0.406 -1.212  -0.470 -0.944  -0.534 -0.676  -0.598 -0.408  -0.662 -0.140  -0.726 0.128  -0.789 0.397  -0.844 0.666  -0.755 0.905  -0.599 1.060  -0.377 1.187  -0.123 1.272  0.109 1.387  0.384 1.389  0.639 1.338  0.801 1.198  0.875 0.996  0.780 0.816  0.699 0.559  0.577 0.338  0.397 0.186  0.202 0.047  -0.021 -0.080  -0.244 -0.207  -0.462 -0.337  -0.466 -0.426  -0.230 -0.330  -0.050 -0.235  0.187 -0.139  0.443 -0.093  0.698 -0.044  0.934 -0.139  1.161 -0.244  1.161 -0.519  1.103 -0.771  0.880 -0.898  0.685 -1.093  0.428 -1.174  0.196 -1.285  0.016 -1.380
3#app#app11#app1167/R  -0.628 0.769  -0.628 0.554  -0.628 0.339  -0.628 0.124  -0.628 -0.092  -0.567 -0.282  -0.529 -0.481  -0.529 -0.697  -0.460 -0.884  -0.471 -0.747  -0.524 -0.538  -0.576 -0.329  -0.628 -0.120  -0.680 0.089  -0.733 0.297  -0.785 0.506  -0.826 0.717  -0.727 0.833  -0.628 0.949  -0.529 1.065  -0.331 1.083  -0.198 1.165  0.017 1.165  0.232 1.165  0.423 1.105  0.622 1.066  0.796 0.967  0.912 0.868  0.957 0.697  0.957 0.482  0.792 0.373  0.630 0.245  0.548 0.064  0.368 -0.023  0.194 -0.122  0.020 -0.221  -0.155 -0.320  -0.329 -0.418  -0.414 -0.518  -0.298 -0.617  -0.124 -0.716  0.055 -0.804  0.167 -0.914  0.382 -0.914  0.558 -1.010  0.768 -1.022  0.946 -1.112  1.130 -1.187  1.254 -1.293  1.452 -1.310
3#app#app11#app1167/O  0.127 0.884  0.109 1.003  -0.030 1.003  -0.168 1.003  -0.306 1.003  -0.351 0.909  -0.464 0.884  -0.563 0.791  -0.590 0.664  -0.709 0.644  -0.710 0.506  -0.726 0.372  -0.788 0.248  -0.830 0.120  -0.830 -0.019  -0.889 -0.133  -0.949 -0.246  -0.949 -0.384  -0.949 -0.523  -0.872 -0.629  -0.830 -0.750  -0.830 -0.888  -0.748 -0.993  -0.625 -1.030  -0.486 -1.030  -0.348 -1.030  -0.216 -1.015  -0.118 -0.917  0.017 -0.911  0.148 -0.891  0.245 -0.793  0.369 -0.730  0.491 -0.667  0.589 -0.569  0.720 -0.552  0.820 -0.458  0.845 -0.330  0.931 -0.227  1.029 -0.129  1.084 -0.014  1.084 0.124  1.084 0.263  1.084 0.401  1.070 0.525  0.941 0.548  0.843 0.646  0.745 0.744  0.627 0.813  0.503 0.875  0.367 0.884
3#app#app11#app1167/W  -1.399 0.817  -1.329 0.719  -1.301 0.579  -1.301 0.411  -1.242 0.268  -1.192 0.121  -1.106 -0.011  -1.024 -0.144  -0.975 -0.292  -0.910 -0.433  -0.813 -0.560  -0.734 -0.649  -0.607 -0.747  -0.520 -0.666  -0.422 -0.596  -0.324 -0.526  -0.324 -0.358  -0.227 -0.231  -0.227 -0.063  -0.227 0.104  -0.197 0.260  -0.129 0.399  -0.129 0.567  -0.227 0.606  -0.141 0.524  -0.129 0.368  -0.129 0.201  -0.128 0.033  -0.053 -0.117  -0.031 -0.279  0.034 -0.420  0.152 -0.539  0.217 -0.649  0.349 -0.736  0.512 -0.747  0.653 -0.720  0.750 -0.649  0.820 -0.551  0.946 -0.453  0.996 -0.306  1.089 -0.168  1.164 -0.018  1.239 0.132  1.239 0.299  1.239 0.467  1.239 0.635  1.239 0.802  1.239 0.970  1.239 1.138  1.141 1.208
3#app#app11#app1167/N  -0.489 0.864  -0.375 0.775  -0.489 0.620  -0.563 0.448  -0.603 0.263  -0.688 0.095  -0.717 -0.095  -0.717 -0.297  -0.717 -0.500  -0.777 -0.677  -0.831 -0.857  -0.825 -0.857  -0.813 -0.655  -0.801 -0.453  -0.789 -0.251  -0.777 -0.049  -0.766 0.153  -0.754 0.355  -0.742 0.557  -0.730 0.759  -0.718 0.961  -0.603 0.906  -0.557 0.750  -0.475 0.621  -0.375 0.460  -0.269 0.302  -0.207 0.125  -0.063 -0.018  0.013 -0.161  0.101 -0.275  0.194 -0.385  0.308 -0.540  0.397 -0.705  0.459 -0.882  0.536 -1.052  0.649 -1.141  0.763 -1.143  0.857 -0.979  0.919 -0.803  0.991 -0.630  0.991 -0.428  1.026 -0.240  1.105 -0.070  1.105 0.132  1.105 0.334  1.105 0.537  1.105 0.739  1.105 0.941  1.179 1.126  1.219 1.319
3#app#app11#app1167/F  0.919 1.186  0.977 1.186  0.793 1.181  0.655 1.064  0.469 1.064  0.283 1.064  0.097 1.064  -0.088 1.064  -0.274 1.064  -0.448 1.035  -0.596 0.943  -0.746 0.858  -0.904 0.809  -0.904 0.623  -0.904 0.437  -0.821 0.335  -0.783 0.187  -0.783 0.001  -0.673 -0.140  -0.661 -0.321  -0.661 -0.506  -0.540 -0.642  -0.540 -0.828  -0.446 -0.975  -0.418 -1.149  -0.418 -1.335  -0.297 -1.399  -0.234 -1.415  -0.113 -1.274  0.008 -1.133  0.129 -0.992  0.250 -0.851  0.371 -0.710  0.492 -0.569  0.613 -0.427  0.734 -0.286  0.855 -0.145  0.976 -0.004  1.097 0.137  1.077 0.213  0.899 0.194  0.756 0.092  0.570 0.092  0.434 -0.029  0.252 -0.050  0.075 -0.108  -0.104 -0.151  -0.290 -0.151  -0.475 -0.151  -0.661 -0.151
3#app#app11#app1167/O  0.546 0.993  0.523 1.103  0.391 1.103  0.258 1.103  0.152 1.040  0.039 0.993  -0.094 0.993  -0.116 0.883  -0.235 0.823  -0.350 0.759  -0.443 0.665  -0.537 0.572  -0.631 0.478  -0.703 0.369  -0.763 0.250  -0.777 0.121  -0.864 0.024  -0.957 -0.069  -0.997 -0.185  -0.997 -0.318  -0.997 -0.450  -0.997 -0.583  -0.942 -0.660  -0.832 -0.715  -0.777 -0.825  -0.700 -0.881  -0.597 -0.951  -0.481 -0.991  -0.348 -0.991  -0.215 -0.991  -0.083 -0.991  0.050 -0.991  0.169 -0.948  0.279 -0.874  0.390 -0.801  0.490 -0.715  0.584 -0.622  0.670 -0.522  0.729 -0.404  0.801 -0.294  0.895 -0.201  0.986 -0.106  0.986 0.027  0.986 0.159  0.986 0.292  0.986 0.424  0.984 0.556  0.925 0.675  0.860 0.789  0.766 0.883
