2#apa#apa00#app0005/j  -0.440 0.265  -0.346 0.360  -0.292 0.506  -0.205 0.639  -0.117 0.764  -0.053 0.901  0.022 1.036  -0.024 1.017  -0.020 0.858  0.022 0.707  0.041 0.551  0.071 0.397  0.124 0.245  0.186 0.097  0.207 -0.060  0.226 -0.219  0.252 -0.378  0.299 -0.531  0.335 -0.683  0.346 -0.841  0.346 -1.002  0.346 -1.163  0.346 -1.323  0.285 -1.459  0.203 -1.583  0.088 -1.630  -0.053 -1.583  -0.166 -1.534  -0.247 -1.407  -0.301 -1.257  -0.279 -1.097  -0.258 -0.938  -0.236 -0.779  -0.214 -0.620  -0.193 -0.461  -0.171 -0.301  -0.149 -0.142  -0.127 0.017  -0.106 0.176  -0.084 0.336  -0.062 0.495  -0.041 0.654  -0.019 0.813  0.003 0.973  0.025 1.132  0.046 1.291  0.068 1.450  0.090 1.610  0.112 1.769  0.114 1.929
2#apa#apa00#app0005/o  0.316 0.920  0.316 1.055  0.288 1.162  0.165 1.192  0.068 1.283  -0.067 1.283  -0.202 1.283  -0.288 1.233  -0.333 1.117  -0.428 1.021  -0.524 0.926  -0.532 0.794  -0.592 0.673  -0.650 0.552  -0.659 0.419  -0.719 0.298  -0.771 0.175  -0.771 0.040  -0.771 -0.095  -0.771 -0.230  -0.771 -0.365  -0.771 -0.499  -0.696 -0.603  -0.650 -0.719  -0.590 -0.830  -0.495 -0.925  -0.399 -1.020  -0.304 -1.116  -0.175 -1.132  -0.040 -1.132  0.094 -1.132  0.229 -1.132  0.364 -1.132  0.481 -1.088  0.557 -0.984  0.599 -0.891  0.678 -0.835  0.678 -0.700  0.737 -0.590  0.799 -0.480  0.799 -0.345  0.775 -0.214  0.732 -0.086  0.689 0.042  0.678 0.175  0.678 0.310  0.673 0.443  0.578 0.538  0.557 0.665  0.437 0.679
2#apa#apa00#app0005/u  -1.369 0.735  -1.305 0.848  -1.143 0.864  -1.086 1.018  -0.961 1.144  -0.802 1.189  -0.671 1.300  -0.493 1.300  -0.466 1.149  -0.466 0.972  -0.466 0.794  -0.466 0.617  -0.466 0.439  -0.466 0.262  -0.466 0.084  -0.466 -0.093  -0.466 -0.270  -0.466 -0.448  -0.466 -0.625  -0.416 -0.782  -0.353 -0.933  -0.313 -1.071  -0.136 -1.071  0.024 -0.995  0.098 -0.864  0.210 -0.733  0.256 -0.574  0.324 -0.425  0.427 -0.290  0.437 -0.117  0.437 0.061  0.437 0.238  0.437 0.416  0.437 0.593  0.437 0.770  0.437 0.748  0.437 0.571  0.437 0.393  0.437 0.216  0.437 0.038  0.437 -0.139  0.542 -0.273  0.550 -0.447  0.602 -0.612  0.706 -0.732  0.775 -0.840  0.897 -0.967  1.023 -1.092  1.162 -1.184  1.340 -1.184
2#apa#apa00#app0005/r  -0.911 1.225  -0.767 1.218  -0.663 1.114  -0.636 0.978  -0.636 0.830  -0.636 0.683  -0.636 0.536  -0.636 0.389  -0.623 0.247  -0.519 0.143  -0.498 0.004  -0.441 -0.130  -0.375 -0.261  -0.360 -0.405  -0.305 -0.539  -0.239 -0.671  -0.222 -0.814  -0.138 -0.926  -0.085 -1.051  -0.027 -1.175  0.053 -1.289  0.096 -1.393  0.191 -1.445  0.191 -1.469  0.191 -1.322  0.191 -1.174  0.191 -1.027  0.120 -0.909  0.053 -0.790  0.010 -0.661  -0.085 -0.553  -0.085 -0.405  -0.085 -0.258  -0.085 -0.111  -0.085 0.036  -0.085 0.184  -0.035 0.310  0.053 0.421  0.086 0.536  0.220 0.565  0.325 0.669  0.466 0.677  0.479 0.815  0.619 0.862  0.758 0.909  0.893 0.963  0.997 1.067  1.136 1.087  1.283 1.087  1.293 1.225
2#apa#apa00#app0005/n  -0.941 1.499  -0.941 1.321  -0.941 1.143  -0.941 0.965  -0.839 0.829  -0.806 0.661  -0.726 0.502  -0.697 0.330  -0.617 0.171  -0.600 -0.003  -0.536 -0.155  -0.487 -0.312  -0.445 -0.473  -0.373 -0.622  -0.373 -0.800  -0.332 -0.968  -0.259 -1.129  -0.202 -1.284  -0.146 -1.242  -0.181 -1.078  -0.259 -0.933  -0.259 -0.754  -0.259 -0.576  -0.259 -0.398  -0.259 -0.220  -0.259 -0.042  -0.259 0.136  -0.259 0.314  -0.259 0.493  -0.179 0.591  -0.146 0.735  -0.050 0.818  0.014 0.932  0.192 0.932  0.370 0.932  0.431 0.809  0.536 0.674  0.536 0.496  0.536 0.318  0.536 0.139  0.649 0.008  0.649 -0.170  0.751 -0.306  0.796 -0.465  0.941 -0.545  1.082 -0.637  1.251 -0.659  1.429 -0.659  1.607 -0.659  1.785 -0.659
2#apa#apa00#app0005/e  -0.516 -0.213  -0.369 -0.213  -0.244 -0.192  -0.212 -0.077  -0.107 -0.035  -0.055 0.059  0.029 0.122  0.081 0.247  0.193 0.331  0.328 0.359  0.432 0.462  0.439 0.606  0.543 0.709  0.573 0.844  0.573 0.990  0.573 1.137  0.573 1.283  0.437 1.294  0.416 1.420  0.279 1.398  0.175 1.294  0.072 1.191  0.029 1.062  -0.040 0.944  -0.143 0.840  -0.244 0.735  -0.259 0.604  -0.380 0.578  -0.380 0.431  -0.413 0.298  -0.516 0.194  -0.516 0.048  -0.516 -0.099  -0.516 -0.246  -0.485 -0.380  -0.381 -0.483  -0.380 -0.629  -0.380 -0.776  -0.380 -0.922  -0.340 -1.030  -0.221 -1.074  -0.156 -1.206  -0.080 -1.329  0.024 -1.433  0.165 -1.442  0.179 -1.574  0.326 -1.574  0.472 -1.574  0.605 -1.542  0.709 -1.438
2#apa#apa00#app0005/y  -0.889 0.278  -0.889 0.437  -0.889 0.595  -0.819 0.684  -0.755 0.827  -0.684 0.969  -0.574 1.084  -0.469 1.158  -0.469 1.061  -0.469 0.902  -0.469 0.743  -0.469 0.585  -0.469 0.426  -0.469 0.267  -0.469 0.108  -0.435 -0.036  -0.361 -0.142  -0.273 -0.212  -0.156 -0.110  -0.049 0.004  0.019 0.135  0.032 0.288  0.096 0.418  0.161 0.511  0.191 0.657  0.232 0.799  0.302 0.888  0.302 1.047  0.302 0.892  0.302 0.733  0.302 0.574  0.302 0.415  0.366 0.283  0.372 0.127  0.392 -0.023  0.442 -0.161  0.476 -0.315  0.512 -0.467  0.512 -0.626  0.582 -0.756  0.582 -0.915  0.582 -1.073  0.582 -1.232  0.582 -1.391  0.512 -1.520  0.512 -1.679  0.442 -1.768  0.339 -1.824  0.180 -1.824  0.021 -1.824
2#apa#apa00#app0005/s  0.276 0.909  0.386 0.909  0.406 0.999  0.406 1.109  0.355 1.169  0.245 1.169  0.135 1.169  0.025 1.169  0.017 1.067  -0.066 1.039  -0.176 1.039  -0.243 0.996  -0.266 0.909  -0.376 0.909  -0.486 0.909  -0.569 0.843  -0.632 0.759  -0.632 0.649  -0.710 0.572  -0.762 0.483  -0.750 0.378  -0.672 0.300  -0.594 0.222  -0.516 0.144  -0.438 0.067  -0.356 0.001  -0.246 0.001  -0.167 -0.075  -0.089 -0.153  -0.011 -0.231  0.087 -0.259  0.182 -0.295  0.260 -0.372  0.338 -0.450  0.406 -0.532  0.406 -0.642  0.510 -0.648  0.536 -0.732  0.536 -0.842  0.536 -0.952  0.536 -1.063  0.532 -1.171  0.454 -1.249  0.406 -1.339  0.383 -1.426  0.273 -1.426  0.163 -1.426  0.080 -1.492  -0.003 -1.556  -0.113 -1.556
2#apa#apa00#app0005/h  -0.602 1.978  -0.517 1.911  -0.517 1.759  -0.517 1.607  -0.517 1.455  -0.517 1.303  -0.491 1.157  -0.431 1.019  -0.431 0.867  -0.431 0.715  -0.431 0.563  -0.431 0.411  -0.431 0.259  -0.431 0.107  -0.431 -0.045  -0.431 -0.197  -0.431 -0.349  -0.431 -0.501  -0.431 -0.653  -0.431 -0.805  -0.353 -0.925  -0.345 -1.074  -0.345 -1.153  -0.273 -1.031  -0.260 -0.885  -0.260 -0.733  -0.217 -0.591  -0.135 -0.465  -0.089 -0.332  -0.041 -0.200  0.006 -0.067  0.114 0.040  0.168 0.170  0.254 0.236  0.340 0.352  0.457 0.437  0.609 0.437  0.682 0.357  0.682 0.205  0.682 0.053  0.682 -0.099  0.682 -0.251  0.682 -0.403  0.682 -0.555  0.682 -0.707  0.690 -0.856  0.768 -0.976  0.791 -1.104  0.917 -1.168  1.024 -1.275
2#apa#apa00#app0005/i  -0.112 0.491  -0.200 0.404  -0.232 0.293  -0.314 0.250  -0.353 0.166  -0.353 0.042  -0.353 -0.082  -0.353 -0.206  -0.353 -0.330  -0.353 -0.454  -0.353 -0.578  -0.353 -0.702  -0.273 -0.793  -0.186 -0.881  -0.112 -0.975  -0.095 -1.092  -0.008 -1.179  0.110 -1.196  0.234 -1.196  0.250 -1.304  0.361 -1.316  0.485 -1.316  0.491 -1.198  0.490 -1.074  0.459 -0.954  0.428 -0.834  0.396 -0.714  0.365 -0.594  0.334 -0.474  0.302 -0.354  0.271 -0.234  0.240 -0.114  0.208 0.006  0.177 0.126  0.146 0.246  0.115 0.366  0.083 0.486  0.052 0.606  0.021 0.726  -0.011 0.846  -0.042 0.966  -0.073 1.086  -0.105 1.206  -0.136 1.326  -0.167 1.446  -0.199 1.566  -0.230 1.686  -0.232 1.810  -0.232 1.934  -0.232 2.058
2#apa#apa00#app0005/d  -0.311 -0.351  -0.180 -0.221  -0.092 -0.031  -0.128 0.160  -0.209 0.306  -0.333 0.452  -0.508 0.327  -0.617 0.146  -0.726 -0.036  -0.822 -0.224  -0.895 -0.420  -0.895 -0.647  -0.886 -0.871  -0.778 -1.053  -0.574 -1.053  -0.414 -0.893  -0.311 -0.708  -0.238 -0.512  -0.238 -0.285  -0.165 -0.075  -0.045 0.060  0.127 0.173  0.245 0.351  0.376 0.503  0.434 0.699  0.503 0.910  0.565 1.122  0.606 1.344  0.638 1.567  0.619 1.786  0.510 1.710  0.492 1.491  0.419 1.337  0.419 1.110  0.346 0.913  0.273 0.716  0.200 0.562  0.127 0.366  0.061 0.166  0.054 -0.058  0.054 -0.285  0.054 -0.512  0.054 -0.739  0.054 -0.966  0.082 -1.182  0.139 -1.385  0.267 -1.520  0.399 -1.540  0.530 -1.409  0.711 -1.300
