1c#tos#f1#f1013066/b  -1.717 -0.636  -1.723 -0.782  -1.531 -0.782  -1.352 -0.727  -1.195 -0.619  -1.042 -0.504  -0.922 -0.355  -0.755 -0.264  -0.591 -0.165  -0.439 -0.051  -0.303 0.085  -0.168 0.220  -0.032 0.356  0.103 0.491  0.236 0.629  0.356 0.778  0.471 0.932  0.570 1.096  0.683 1.250  0.764 1.422  0.727 1.528  0.701 1.340  0.574 1.210  0.494 1.036  0.378 0.894  0.277 0.745  0.228 0.563  0.133 0.396  0.062 0.218  -0.012 0.042  -0.118 -0.117  -0.185 -0.294  -0.185 -0.485  -0.258 -0.655  -0.258 -0.846  -0.205 -1.016  -0.023 -1.032  0.093 -0.911  0.107 -0.721  0.076 -0.537  -0.002 -0.419  -0.074 -0.272  0.110 -0.291  0.283 -0.344  0.472 -0.356  0.660 -0.382  0.846 -0.417  1.037 -0.417  1.229 -0.417  1.420 -0.417
1c#tos#f1#f1013066/j  -0.051 0.705  -0.002 0.802  0.066 0.706  0.142 0.602  0.181 0.473  0.206 0.337  0.206 0.192  0.206 0.046  0.194 -0.098  0.138 -0.232  0.058 -0.354  -0.021 -0.477  -0.098 -0.600  -0.183 -0.718  -0.245 -0.848  -0.336 -0.962  -0.403 -1.091  -0.539 -1.134  -0.642 -1.237  -0.745 -1.340  -0.872 -1.385  -0.920 -1.287  -0.883 -1.147  -0.821 -1.018  -0.729 -0.905  -0.636 -0.794  -0.559 -0.671  -0.456 -0.568  -0.352 -0.465  -0.240 -0.372  -0.118 -0.293  -0.001 -0.210  0.112 -0.119  0.244 -0.058  0.371 0.011  0.511 0.030  0.623 0.108  0.606 0.252  0.589 0.397  0.572 0.542  0.556 0.687  0.539 0.832  0.522 0.976  0.506 1.121  0.489 1.266  0.472 1.411  0.455 1.556  0.439 1.700  0.416 1.831  0.431 1.799
1c#tos#f1#f1013066/k  0.017 2.018  0.063 1.964  0.063 1.801  0.063 1.638  0.000 1.501  -0.028 1.349  -0.063 1.198  -0.161 1.067  -0.215 0.913  -0.271 0.760  -0.344 0.614  -0.396 0.460  -0.455 0.308  -0.546 0.173  -0.633 0.035  -0.706 -0.111  -0.711 -0.273  -0.711 -0.436  -0.800 -0.573  -0.802 -0.735  -0.757 -0.825  -0.612 -0.749  -0.468 -0.674  -0.323 -0.598  -0.178 -0.523  -0.033 -0.447  0.111 -0.372  0.245 -0.289  0.273 -0.138  0.336 -0.001  0.227 0.107  0.064 0.107  -0.100 0.107  -0.263 0.107  -0.347 0.028  -0.347 -0.135  -0.228 -0.225  -0.163 -0.348  -0.029 -0.438  0.076 -0.544  0.235 -0.575  0.372 -0.660  0.534 -0.666  0.688 -0.706  0.836 -0.772  0.988 -0.833  1.147 -0.848  1.299 -0.884  1.446 -0.939  1.609 -0.939
1c#tos#f1#f1013066/l  -1.544 -0.839  -1.665 -0.858  -1.536 -0.869  -1.396 -0.869  -1.256 -0.869  -1.117 -0.858  -0.980 -0.839  -0.843 -0.822  -0.718 -0.760  -0.592 -0.697  -0.467 -0.634  -0.341 -0.571  -0.219 -0.502  -0.100 -0.429  0.008 -0.339  0.117 -0.250  0.228 -0.165  0.350 -0.095  0.459 -0.011  0.547 0.099  0.634 0.208  0.701 0.330  0.762 0.456  0.827 0.579  0.852 0.717  0.852 0.857  0.852 0.997  0.852 1.138  0.825 1.274  0.692 1.284  0.560 1.265  0.441 1.197  0.352 1.093  0.232 1.021  0.186 0.894  0.112 0.775  0.052 0.648  0.003 0.517  0.003 0.377  -0.015 0.238  -0.028 0.099  -0.028 -0.042  -0.028 -0.182  -0.022 -0.322  0.009 -0.458  0.074 -0.582  0.152 -0.699  0.258 -0.785  0.383 -0.847  0.518 -0.869
1c#tos#f1#f1013066/n  -1.227 -0.354  -1.387 -0.371  -1.528 -0.407  -1.601 -0.407  -1.551 -0.252  -1.425 -0.126  -1.319 0.014  -1.194 0.137  -1.054 0.245  -0.920 0.358  -0.762 0.438  -0.658 0.579  -0.519 0.686  -0.388 0.804  -0.234 0.888  -0.118 0.977  0.053 1.013  0.228 1.030  0.264 0.889  0.264 0.712  0.257 0.537  0.193 0.373  0.157 0.200  0.101 0.040  -0.011 -0.096  -0.109 -0.233  -0.134 -0.404  -0.168 -0.572  -0.213 -0.513  -0.049 -0.451  0.049 -0.303  0.109 -0.138  0.231 -0.027  0.333 0.095  0.423 0.206  0.464 0.358  0.611 0.445  0.690 0.346  0.690 0.169  0.726 -0.000  0.743 -0.173  0.792 -0.301  0.796 -0.474  0.796 -0.651  0.875 -0.805  1.012 -0.914  1.183 -0.940  1.360 -0.940  1.523 -0.905  1.648 -0.780
1c#tos#f1#f1013066/r  -0.706 1.030  -0.589 1.040  -0.531 1.069  -0.468 0.968  -0.414 0.864  -0.414 0.737  -0.414 0.610  -0.414 0.483  -0.414 0.356  -0.414 0.229  -0.414 0.102  -0.414 -0.024  -0.414 -0.151  -0.421 -0.277  -0.461 -0.397  -0.513 -0.513  -0.570 -0.626  -0.589 -0.749  -0.598 -0.874  -0.628 -0.998  -0.681 -1.108  -0.706 -1.225  -0.687 -1.270  -0.620 -1.164  -0.530 -1.074  -0.447 -0.979  -0.377 -0.873  -0.303 -0.771  -0.227 -0.669  -0.168 -0.559  -0.137 -0.436  -0.070 -0.339  0.036 -0.268  0.117 -0.172  0.193 -0.071  0.266 0.033  0.336 0.138  0.423 0.230  0.513 0.320  0.624 0.380  0.727 0.454  0.829 0.530  0.943 0.580  1.066 0.611  1.167 0.681  1.265 0.759  1.378 0.816  1.496 0.855  1.623 0.855  1.750 0.855
1c#tos#f1#f1013066/s  0.688 0.805  0.786 0.850  0.786 0.993  0.786 1.137  0.723 1.246  0.583 1.253  0.482 1.354  0.354 1.393  0.231 1.442  0.095 1.430  0.019 1.311  0.002 1.174  0.002 1.031  0.002 0.888  0.022 0.748  0.092 0.631  0.198 0.544  0.233 0.407  0.291 0.276  0.296 0.134  0.296 -0.009  0.384 -0.116  0.435 -0.249  0.443 -0.391  0.443 -0.534  0.443 -0.677  0.443 -0.821  0.443 -0.964  0.344 -1.008  0.201 -1.008  0.149 -0.916  0.012 -0.910  -0.107 -0.877  -0.168 -0.763  -0.242 -0.694  -0.289 -0.570  -0.389 -0.468  -0.438 -0.345  -0.523 -0.237  -0.536 -0.099  -0.585 -0.150  -0.637 -0.281  -0.682 -0.417  -0.702 -0.556  -0.756 -0.688  -0.802 -0.824  -0.854 -0.957  -0.951 -1.056  -1.026 -1.159  -1.026 -1.302
1c#tos#f1#f1013066/t  -1.751 -1.331  -1.636 -1.424  -1.436 -1.380  -1.246 -1.302  -1.068 -1.198  -0.900 -1.081  -0.753 -0.934  -0.617 -0.779  -0.480 -0.627  -0.300 -0.527  -0.154 -0.381  -0.022 -0.221  0.115 -0.066  0.261 0.080  0.391 0.237  0.467 0.430  0.525 0.628  0.604 0.811  0.604 1.018  0.604 1.225  0.643 1.392  0.604 1.203  0.592 0.999  0.516 0.807  0.465 0.606  0.465 0.399  0.465 0.192  0.443 -0.012  0.419 -0.217  0.419 -0.424  0.419 -0.631  0.419 -0.838  0.487 -0.888  0.353 -0.730  0.219 -0.572  0.085 -0.415  -0.049 -0.257  -0.184 -0.100  -0.318 0.058  -0.452 0.216  -0.606 0.331  -0.643 0.501  -0.464 0.587  -0.260 0.608  -0.055 0.624  0.149 0.654  0.356 0.654  0.561 0.677  0.766 0.700  0.973 0.700
1c#tos#f1#f1013066/v  -0.979 -0.553  -1.140 -0.553  -1.185 -0.437  -1.185 -0.275  -1.185 -0.114  -1.185 0.048  -1.105 0.185  -0.979 0.237  -0.979 0.398  -0.877 0.511  -0.737 0.581  -0.583 0.627  -0.443 0.684  -0.335 0.787  -0.205 0.839  -0.154 0.699  -0.154 0.538  -0.154 0.376  -0.179 0.221  -0.251 0.076  -0.304 -0.076  -0.344 -0.233  -0.383 -0.389  -0.411 -0.547  -0.428 -0.706  -0.463 -0.862  -0.463 -1.024  -0.347 -1.069  -0.198 -1.015  -0.048 -0.955  0.082 -0.870  0.180 -0.744  0.313 -0.654  0.428 -0.539  0.552 -0.450  0.662 -0.366  0.723 -0.219  0.723 -0.058  0.805 0.075  0.877 0.220  0.878 0.381  0.878 0.543  0.878 0.704  0.948 0.769  1.070 0.665  1.224 0.633  1.342 0.529  1.453 0.478  1.614 0.478  1.754 0.426
1c#tos#f1#f1013066/w  -0.286 0.884  -0.393 0.823  -0.501 0.720  -0.584 0.586  -0.666 0.441  -0.725 0.284  -0.853 0.186  -0.922 0.049  -0.984 -0.096  -1.017 -0.257  -1.037 -0.421  -1.037 -0.589  -1.136 -0.717  -1.145 -0.882  -1.089 -0.887  -0.924 -0.859  -0.762 -0.813  -0.624 -0.729  -0.523 -0.594  -0.428 -0.455  -0.393 -0.297  -0.234 -0.244  -0.206 -0.082  -0.119 0.062  -0.012 0.191  0.036 0.340  0.089 0.239  0.086 0.072  0.036 -0.085  0.036 -0.254  0.004 -0.415  -0.018 -0.578  0.056 -0.672  0.225 -0.672  0.344 -0.593  0.429 -0.454  0.592 -0.413  0.687 -0.285  0.781 -0.145  0.903 -0.046  0.944 0.118  0.948 0.286  1.045 0.422  1.152 0.551  1.271 0.670  1.324 0.817  1.356 0.981  1.409 1.140  1.431 1.305  1.431 1.367
1c#tos#f1#f1013066/x  -0.976 0.917  -1.061 1.016  -1.244 1.016  -1.117 1.016  -0.954 0.966  -0.797 0.880  -0.729 0.718  -0.680 0.546  -0.619 0.382  -0.545 0.216  -0.498 0.039  -0.472 -0.140  -0.390 -0.304  -0.325 -0.474  -0.218 -0.617  -0.127 -0.771  0.002 -0.900  0.147 -0.995  0.294 -1.099  0.476 -1.105  0.614 -0.995  0.707 -0.841  0.794 -0.696  0.926 -0.593  0.994 -0.423  1.003 -0.241  1.018 -0.058  1.034 0.125  1.049 0.307  1.064 0.490  1.079 0.672  1.095 0.855  0.925 0.868  0.742 0.868  0.559 0.868  0.488 0.712  0.314 0.670  0.257 0.506  0.137 0.383  0.060 0.239  -0.049 0.123  -0.164 -0.002  -0.237 -0.169  -0.347 -0.308  -0.490 -0.422  -0.605 -0.561  -0.680 -0.727  -0.682 -0.908  -0.845 -0.941  -0.927 -1.105
