3#app#app07#app0735/@  0.035 0.083  0.147 -0.000  0.342 -0.000  0.453 0.083  0.455 0.277  0.455 0.472  0.325 0.587  0.214 0.670  0.048 0.599  -0.055 0.496  -0.132 0.333  -0.103 0.167  0.009 0.083  0.204 0.083  0.399 0.083  0.557 0.176  0.726 0.271  0.864 0.409  0.958 0.565  0.958 0.760  0.924 0.922  0.764 1.006  0.569 1.006  0.374 1.006  0.181 0.985  -0.011 0.946  -0.191 0.883  -0.354 0.774  -0.496 0.642  -0.649 0.522  -0.810 0.412  -0.948 0.274  -1.043 0.106  -1.149 -0.058  -1.222 -0.231  -1.222 -0.426  -1.207 -0.618  -1.109 -0.784  -0.956 -0.904  -0.793 -1.011  -0.618 -1.096  -0.433 -1.158  -0.240 -1.174  -0.045 -1.174  0.150 -1.174  0.345 -1.174  0.540 -1.174  0.735 -1.174  0.930 -1.174  1.126 -1.174
3#app#app07#app0735/1  0.438 1.334  0.438 1.410  0.427 1.474  0.351 1.474  0.298 1.452  0.298 1.376  0.298 1.300  0.298 1.224  0.298 1.148  0.298 1.072  0.272 1.002  0.238 0.934  0.205 0.867  0.171 0.799  0.125 0.740  0.071 0.686  0.017 0.632  0.017 0.557  0.017 0.481  0.017 0.405  0.017 0.329  0.017 0.253  0.017 0.177  0.017 0.101  -0.015 0.039  -0.068 -0.015  -0.122 -0.069  -0.123 -0.144  -0.123 -0.220  -0.123 -0.296  -0.123 -0.372  -0.123 -0.447  -0.123 -0.523  -0.123 -0.599  -0.154 -0.662  -0.208 -0.716  -0.261 -0.770  -0.264 -0.844  -0.264 -0.920  -0.264 -0.996  -0.264 -1.072  -0.264 -1.148  -0.264 -1.224  -0.264 -1.300  -0.264 -1.376  -0.264 -1.451  -0.211 -1.474  -0.135 -1.474  -0.123 -1.539  -0.123 -1.614
3#app#app07#app0735/2  -0.474 0.734  -0.474 0.843  -0.474 0.951  -0.474 1.059  -0.410 1.104  -0.382 1.184  -0.286 1.197  -0.178 1.197  -0.069 1.197  0.039 1.197  0.148 1.197  0.232 1.138  0.326 1.104  0.412 1.050  0.505 1.012  0.543 0.942  0.543 0.833  0.543 0.725  0.543 0.616  0.514 0.520  0.451 0.438  0.451 0.329  0.415 0.236  0.338 0.159  0.261 0.083  0.185 0.006  0.108 -0.071  0.049 -0.160  0.001 -0.257  -0.068 -0.339  -0.145 -0.416  -0.222 -0.493  -0.298 -0.569  -0.375 -0.646  -0.452 -0.723  -0.474 -0.822  -0.540 -0.903  -0.567 -1.000  -0.480 -1.023  -0.464 -1.115  -0.356 -1.115  -0.260 -1.144  -0.178 -1.208  -0.069 -1.208  0.024 -1.244  0.109 -1.300  0.218 -1.300  0.326 -1.300  0.435 -1.300  0.451 -1.392
3#app#app07#app0735/:  0.436 1.126  0.436 1.214  0.373 1.239  0.323 1.278  0.309 1.352  0.221 1.352  0.210 1.429  0.210 1.414  0.210 1.325  0.211 1.238  0.274 1.175  0.318 1.108  0.295 1.023  0.272 0.937  0.248 0.852  0.225 0.767  0.202 0.682  0.179 0.597  0.155 0.511  0.132 0.426  0.109 0.341  0.086 0.256  0.062 0.170  0.039 0.085  0.016 -0.000  -0.007 -0.085  -0.031 -0.170  -0.054 -0.256  -0.077 -0.341  -0.100 -0.426  -0.124 -0.511  -0.147 -0.597  -0.170 -0.682  -0.193 -0.767  -0.217 -0.852  -0.240 -0.937  -0.263 -1.023  -0.286 -1.108  -0.310 -1.193  -0.333 -1.278  -0.356 -1.364  -0.357 -1.280  -0.295 -1.252  -0.243 -1.216  -0.255 -1.139  -0.343 -1.139  -0.357 -1.064  -0.307 -1.026  -0.243 -1.051  -0.243 -1.139
3#app#app07#app0735/3  -0.204 1.015  -0.204 1.130  -0.204 1.246  -0.151 1.307  -0.035 1.307  0.080 1.307  0.196 1.307  0.311 1.307  0.413 1.274  0.478 1.186  0.520 1.112  0.575 1.052  0.575 0.937  0.507 0.850  0.478 0.746  0.386 0.722  0.303 0.645  0.221 0.563  0.140 0.482  0.058 0.400  -0.024 0.319  -0.105 0.237  -0.220 0.235  -0.302 0.202  -0.338 0.101  -0.399 0.011  -0.399 -0.104  -0.354 -0.201  -0.260 -0.252  -0.204 -0.313  -0.149 -0.405  -0.107 -0.503  -0.033 -0.545  0.082 -0.545  0.100 -0.642  0.185 -0.672  0.220 -0.774  0.283 -0.863  0.283 -0.978  0.221 -1.032  0.129 -1.088  0.030 -1.129  -0.063 -1.183  -0.145 -1.264  -0.235 -1.324  -0.345 -1.346  -0.449 -1.398  -0.558 -1.422  -0.594 -1.501  -0.692 -1.519
3#app#app07#app0735/4  -0.188 1.402  -0.267 1.288  -0.333 1.143  -0.449 0.992  -0.545 0.835  -0.709 0.767  -0.846 0.631  -0.982 0.494  -1.094 0.348  -1.207 0.269  -1.208 0.076  -1.176 -0.103  -1.017 -0.184  -0.938 -0.298  -0.758 -0.353  -0.579 -0.411  -0.386 -0.411  -0.205 -0.459  -0.028 -0.524  0.165 -0.524  0.358 -0.524  0.533 -0.483  0.696 -0.411  0.889 -0.411  1.081 -0.411  1.141 -0.313  1.085 -0.129  1.028 0.055  0.971 0.239  0.915 0.423  0.858 0.607  0.801 0.792  0.745 0.976  0.718 0.959  0.650 0.835  0.500 0.730  0.411 0.560  0.294 0.411  0.217 0.238  0.156 0.055  0.039 -0.090  -0.005 -0.273  -0.075 -0.449  -0.127 -0.629  -0.188 -0.807  -0.188 -1.000  -0.188 -1.193  -0.188 -1.385  -0.188 -1.578  -0.188 -1.771
3#app#app07#app0735/:  0.411 1.414  0.337 1.414  0.263 1.414  0.190 1.414  0.116 1.414  0.042 1.414  0.015 1.367  0.015 1.293  0.015 1.219  0.015 1.146  0.015 1.072  0.015 0.998  0.015 0.924  0.015 0.850  0.015 0.777  0.015 0.703  0.015 0.629  0.015 0.555  0.015 0.481  0.015 0.407  0.015 0.334  0.015 0.260  0.015 0.186  0.015 0.112  0.015 0.038  0.015 -0.036  0.015 -0.109  0.015 -0.183  0.015 -0.257  0.015 -0.331  0.015 -0.405  0.015 -0.478  0.015 -0.552  0.015 -0.626  0.015 -0.700  0.015 -0.774  0.015 -0.848  0.015 -0.921  -0.009 -0.985  -0.061 -1.037  -0.113 -1.090  -0.117 -1.162  -0.117 -1.236  -0.117 -1.310  -0.117 -1.384  -0.117 -1.457  -0.159 -1.489  -0.233 -1.489  -0.307 -1.489  -0.381 -1.489
3#app#app07#app0735/5  0.211 0.327  0.323 0.353  0.409 0.439  0.468 0.538  0.522 0.638  0.609 0.725  0.696 0.812  0.726 0.922  0.726 1.045  0.726 1.167  0.620 1.185  0.498 1.185  0.375 1.185  0.257 1.165  0.147 1.110  0.043 1.045  -0.059 0.977  -0.163 0.912  -0.273 0.857  -0.366 0.780  -0.453 0.693  -0.540 0.606  -0.603 0.502  -0.647 0.390  -0.647 0.267  -0.647 0.145  -0.647 0.022  -0.588 -0.076  -0.501 -0.163  -0.414 -0.250  -0.311 -0.314  -0.199 -0.360  -0.093 -0.399  0.004 -0.471  0.114 -0.526  0.211 -0.556  0.254 -0.661  0.297 -0.766  0.297 -0.889  0.297 -1.012  0.295 -1.132  0.183 -1.160  0.096 -1.247  -0.003 -1.304  -0.102 -1.359  -0.212 -1.390  -0.326 -1.412  -0.422 -1.476  -0.538 -1.507  -0.647 -1.561
3#app#app07#app0735/6  0.992 1.739  0.900 1.647  0.783 1.616  0.747 1.522  0.656 1.448  0.539 1.389  0.462 1.292  0.404 1.175  0.313 1.092  0.196 1.034  0.080 0.975  -0.037 0.917  -0.133 0.839  -0.191 0.722  -0.258 0.611  -0.350 0.519  -0.442 0.427  -0.534 0.335  -0.604 0.234  -0.604 0.104  -0.604 -0.026  -0.604 -0.157  -0.604 -0.287  -0.604 -0.417  -0.604 -0.547  -0.545 -0.653  -0.481 -0.757  -0.434 -0.840  -0.320 -0.879  -0.228 -0.971  -0.136 -1.063  -0.015 -1.086  0.115 -1.086  0.245 -1.086  0.376 -1.086  0.378 -0.958  0.390 -0.840  0.501 -0.821  0.501 -0.690  0.467 -0.595  0.378 -0.553  0.334 -0.450  0.218 -0.391  0.097 -0.349  -0.033 -0.349  -0.148 -0.384  -0.242 -0.475  -0.358 -0.533  -0.475 -0.591  -0.481 -0.717
3#app#app07#app0735/_  -1.236 -0.314  -1.317 -0.314  -1.399 -0.314  -1.480 -0.314  -1.505 -0.314  -1.423 -0.314  -1.342 -0.314  -1.261 -0.314  -1.180 -0.314  -1.098 -0.314  -1.017 -0.314  -0.937 -0.312  -0.880 -0.254  -0.822 -0.197  -0.765 -0.139  -0.707 -0.082  -0.650 -0.024  -0.571 -0.017  -0.490 -0.017  -0.409 -0.017  -0.328 -0.017  -0.246 -0.017  -0.165 -0.017  -0.084 -0.017  -0.003 -0.017  0.079 -0.017  0.160 -0.017  0.241 -0.017  0.322 -0.017  0.404 -0.017  0.485 -0.017  0.545 0.004  0.545 0.086  0.545 0.167  0.545 0.248  0.594 0.280  0.676 0.280  0.757 0.280  0.838 0.280  0.919 0.280  1.001 0.280  1.082 0.280  1.163 0.280  1.244 0.280  1.326 0.280  1.407 0.280  1.488 0.280  1.569 0.280  1.651 0.280  1.732 0.280
3#app#app07#app0735/J  0.468 0.788  0.402 0.829  0.335 0.699  0.284 0.553  0.269 0.399  0.269 0.241  0.269 0.083  0.269 -0.075  0.269 -0.233  0.292 -0.386  0.335 -0.533  0.335 -0.691  0.335 -0.849  0.335 -1.007  0.316 -1.157  0.251 -1.288  0.120 -1.353  -0.017 -1.403  -0.162 -1.370  -0.306 -1.336  -0.424 -1.241  -0.539 -1.137  -0.620 -1.045  -0.732 -0.933  -0.793 -0.801  -0.727 -0.709  -0.618 -0.618  -0.491 -0.540  -0.395 -0.478  -0.395 -0.320  -0.395 -0.162  -0.395 -0.004  -0.395 0.154  -0.395 0.312  -0.395 0.470  -0.395 0.628  -0.440 0.767  -0.523 0.854  -0.466 0.982  -0.316 1.000  -0.180 1.054  -0.022 1.054  0.136 1.054  0.284 1.095  0.436 1.120  0.594 1.120  0.752 1.120  0.910 1.120  1.067 1.118  1.198 1.054
