3#app#app06#app0641/[  0.307 1.288  0.222 1.288  0.136 1.288  0.054 1.285  0.029 1.225  -0.056 1.225  -0.121 1.274  -0.201 1.288  -0.286 1.288  -0.325 1.242  -0.325 1.157  -0.325 1.072  -0.325 0.987  -0.325 0.901  -0.325 0.816  -0.325 0.731  -0.325 0.646  -0.325 0.560  -0.325 0.475  -0.290 0.398  -0.262 0.319  -0.262 0.234  -0.261 0.149  -0.234 0.068  -0.207 -0.013  -0.199 -0.096  -0.199 -0.182  -0.199 -0.267  -0.199 -0.352  -0.140 -0.413  -0.135 -0.497  -0.135 -0.582  -0.093 -0.649  -0.072 -0.726  -0.009 -0.748  -0.009 -0.833  0.033 -0.901  0.054 -0.978  0.117 -1.000  0.153 -1.049  0.222 -1.090  0.298 -1.112  0.375 -1.146  0.453 -1.175  0.526 -1.205  0.598 -1.239  0.683 -1.239  0.768 -1.239  0.853 -1.239  0.938 -1.239
3#app#app06#app0641/(  -0.264 1.704  -0.264 1.627  -0.264 1.551  -0.264 1.475  -0.264 1.398  -0.264 1.322  -0.278 1.249  -0.312 1.181  -0.334 1.110  -0.334 1.033  -0.334 0.957  -0.334 0.881  -0.334 0.805  -0.296 0.744  -0.264 0.681  -0.264 0.605  -0.264 0.529  -0.264 0.452  -0.264 0.376  -0.264 0.300  -0.264 0.223  -0.264 0.147  -0.261 0.072  -0.207 0.018  -0.193 -0.053  -0.173 -0.126  -0.149 -0.198  -0.125 -0.271  -0.075 -0.327  -0.051 -0.393  -0.051 -0.470  -0.014 -0.530  0.020 -0.593  0.044 -0.659  0.098 -0.713  0.152 -0.767  0.162 -0.839  0.223 -0.878  0.291 -0.912  0.303 -0.981  0.372 -0.989  0.426 -1.041  0.480 -1.095  0.542 -1.131  0.609 -1.153  0.665 -1.201  0.728 -1.214  0.747 -1.272  0.816 -1.289  0.870 -1.343
3#app#app06#app0641/6  -0.332 2.020  -0.417 1.935  -0.442 1.825  -0.442 1.705  -0.442 1.585  -0.442 1.465  -0.442 1.344  -0.442 1.224  -0.442 1.104  -0.442 0.984  -0.442 0.864  -0.442 0.743  -0.442 0.623  -0.442 0.503  -0.442 0.383  -0.442 0.263  -0.408 0.148  -0.370 0.034  -0.332 -0.080  -0.332 -0.200  -0.320 -0.316  -0.235 -0.401  -0.221 -0.515  -0.221 -0.635  -0.136 -0.720  -0.110 -0.830  -0.017 -0.857  0.000 -0.960  0.111 -0.969  0.122 -1.078  0.242 -1.078  0.363 -1.078  0.471 -1.050  0.557 -0.968  0.664 -0.955  0.664 -0.834  0.687 -0.724  0.772 -0.639  0.775 -0.520  0.760 -0.414  0.664 -0.390  0.630 -0.304  0.554 -0.260  0.500 -0.193  0.380 -0.193  0.260 -0.193  0.222 -0.275  0.130 -0.304  0.111 -0.405  0.000 -0.414
3#app#app06#app0641/)  -0.747 1.257  -0.747 1.333  -0.679 1.341  -0.663 1.281  -0.611 1.257  -0.548 1.226  -0.494 1.173  -0.418 1.173  -0.411 1.104  -0.368 1.046  -0.327 0.986  -0.320 0.914  -0.266 0.860  -0.244 0.793  -0.218 0.728  -0.164 0.674  -0.160 0.600  -0.116 0.542  -0.076 0.482  -0.067 0.410  -0.014 0.356  0.040 0.302  0.092 0.248  0.092 0.172  0.092 0.096  0.120 0.026  0.154 -0.042  0.195 -0.105  0.249 -0.159  0.260 -0.230  0.260 -0.306  0.260 -0.382  0.286 -0.447  0.340 -0.501  0.344 -0.575  0.344 -0.651  0.344 -0.727  0.344 -0.803  0.344 -0.880  0.344 -0.956  0.344 -1.032  0.344 -1.108  0.344 -1.184  0.344 -1.260  0.344 -1.336  0.344 -1.412  0.303 -1.471  0.260 -1.529  0.260 -1.605  0.260 -1.681
3#app#app06#app0641/(  -0.130 1.707  -0.130 1.630  -0.130 1.554  -0.130 1.477  -0.130 1.401  -0.182 1.346  -0.207 1.280  -0.207 1.203  -0.207 1.127  -0.207 1.051  -0.207 0.974  -0.234 0.909  -0.284 0.853  -0.284 0.777  -0.284 0.700  -0.283 0.624  -0.249 0.556  -0.215 0.487  -0.207 0.413  -0.207 0.336  -0.207 0.260  -0.207 0.183  -0.207 0.107  -0.207 0.030  -0.207 -0.046  -0.169 -0.107  -0.130 -0.167  -0.130 -0.244  -0.130 -0.320  -0.116 -0.391  -0.062 -0.445  -0.053 -0.517  -0.009 -0.576  0.034 -0.637  0.058 -0.709  0.082 -0.782  0.112 -0.851  0.166 -0.905  0.237 -0.918  0.256 -0.975  0.256 -1.052  0.312 -1.072  0.373 -1.111  0.427 -1.165  0.481 -1.219  0.535 -1.274  0.599 -1.303  0.642 -1.337  0.665 -1.404  0.719 -1.458
3#app#app06#app0641/7  -1.133 1.209  -1.062 1.095  -0.886 1.114  -0.740 1.209  -0.556 1.209  -0.371 1.209  -0.187 1.209  -0.002 1.209  0.182 1.209  0.234 1.076  0.234 0.891  0.234 0.707  0.234 0.522  0.234 0.338  0.234 0.153  0.234 -0.031  0.120 -0.169  0.120 -0.353  0.120 -0.538  0.120 -0.722  0.074 -0.888  0.006 -1.044  0.006 -1.229  0.088 -1.379  0.120 -1.550  0.188 -1.707  0.191 -1.641  0.124 -1.469  0.057 -1.297  -0.010 -1.125  -0.077 -0.953  -0.144 -0.781  -0.211 -0.609  -0.277 -0.437  -0.344 -0.265  -0.411 -0.093  -0.478 0.079  -0.545 0.251  -0.563 0.204  -0.472 0.298  -0.288 0.298  -0.103 0.298  0.081 0.298  0.266 0.298  0.450 0.298  0.635 0.298  0.819 0.298  1.004 0.298  1.189 0.298  1.259 0.412
3#app#app06#app0641/)  -0.617 1.482  -0.542 1.482  -0.529 1.419  -0.529 1.343  -0.490 1.307  -0.442 1.280  -0.431 1.209  -0.378 1.155  -0.325 1.102  -0.271 1.049  -0.267 0.975  -0.227 0.916  -0.173 0.863  -0.120 0.810  -0.091 0.746  -0.075 0.677  -0.022 0.624  -0.004 0.556  0.013 0.484  0.047 0.417  0.081 0.349  0.084 0.275  0.123 0.216  0.171 0.160  0.171 0.085  0.171 0.009  0.213 -0.049  0.259 -0.105  0.259 -0.181  0.259 -0.256  0.259 -0.332  0.259 -0.407  0.259 -0.483  0.259 -0.558  0.259 -0.634  0.259 -0.709  0.259 -0.784  0.259 -0.860  0.259 -0.935  0.259 -1.011  0.240 -1.078  0.186 -1.132  0.171 -1.201  0.171 -1.276  0.150 -1.343  0.097 -1.396  0.058 -1.460  0.025 -1.528  -0.004 -1.597  -0.004 -1.672
3#app#app06#app0641/(  -0.141 1.688  -0.141 1.610  -0.209 1.601  -0.228 1.542  -0.228 1.465  -0.228 1.387  -0.228 1.309  -0.228 1.232  -0.228 1.154  -0.228 1.076  -0.228 0.999  -0.228 0.921  -0.228 0.843  -0.228 0.766  -0.228 0.688  -0.228 0.611  -0.228 0.533  -0.228 0.455  -0.228 0.378  -0.228 0.300  -0.228 0.222  -0.228 0.145  -0.228 0.067  -0.208 -0.006  -0.173 -0.075  -0.141 -0.145  -0.141 -0.223  -0.141 -0.301  -0.095 -0.359  -0.054 -0.420  -0.054 -0.497  -0.054 -0.575  -0.054 -0.653  -0.023 -0.723  0.011 -0.792  0.062 -0.836  0.134 -0.850  0.189 -0.905  0.207 -0.975  0.250 -1.010  0.294 -1.043  0.318 -1.097  0.396 -1.097  0.468 -1.102  0.468 -1.180  0.542 -1.184  0.619 -1.184  0.681 -1.222  0.738 -1.271  0.816 -1.271
3#app#app06#app0641/8  0.577 1.723  0.577 1.556  0.478 1.487  0.430 1.331  0.379 1.176  0.324 1.021  0.280 0.864  0.219 0.711  0.122 0.577  0.082 0.426  0.025 0.282  -0.017 0.132  -0.051 -0.027  -0.116 -0.179  -0.116 -0.347  -0.221 -0.472  -0.274 -0.631  -0.313 -0.792  -0.313 -0.959  -0.313 -1.127  -0.313 -1.294  -0.292 -1.441  -0.125 -1.441  0.002 -1.342  0.169 -1.342  0.291 -1.232  0.422 -1.144  0.491 -1.045  0.634 -0.988  0.675 -0.837  0.675 -0.670  0.627 -0.551  0.558 -0.452  0.478 -0.365  0.368 -0.243  0.237 -0.155  0.102 -0.076  -0.045 -0.028  -0.164 0.090  -0.310 0.141  -0.436 0.240  -0.577 0.306  -0.695 0.424  -0.808 0.545  -0.808 0.712  -0.808 0.880  -0.726 1.014  -0.607 1.130  -0.461 1.180  -0.313 1.229
3#app#app06#app0641/)  -0.607 1.489  -0.607 1.411  -0.541 1.399  -0.517 1.346  -0.476 1.309  -0.427 1.280  -0.410 1.219  -0.335 1.215  -0.300 1.146  -0.266 1.076  -0.247 1.003  -0.230 0.932  -0.175 0.877  -0.120 0.823  -0.068 0.767  -0.068 0.689  -0.037 0.618  -0.002 0.549  0.022 0.477  0.030 0.403  0.085 0.348  0.140 0.293  0.195 0.238  0.202 0.163  0.202 0.085  0.202 0.008  0.202 -0.070  0.202 -0.148  0.202 -0.225  0.202 -0.303  0.253 -0.359  0.292 -0.421  0.292 -0.499  0.292 -0.577  0.292 -0.654  0.292 -0.732  0.292 -0.810  0.263 -0.875  0.208 -0.930  0.202 -1.006  0.202 -1.083  0.202 -1.161  0.179 -1.229  0.124 -1.284  0.112 -1.357  0.063 -1.386  0.022 -1.422  0.022 -1.500  0.010 -1.565  -0.068 -1.565
3#app#app06#app0641/(  0.071 1.559  -0.006 1.559  -0.018 1.492  -0.073 1.470  -0.106 1.426  -0.106 1.349  -0.121 1.277  -0.176 1.223  -0.195 1.153  -0.195 1.075  -0.195 0.998  -0.207 0.925  -0.262 0.871  -0.284 0.802  -0.284 0.725  -0.284 0.647  -0.284 0.570  -0.284 0.492  -0.284 0.415  -0.284 0.337  -0.284 0.260  -0.284 0.183  -0.284 0.105  -0.268 0.034  -0.213 -0.021  -0.195 -0.091  -0.195 -0.168  -0.195 -0.246  -0.187 -0.321  -0.152 -0.390  -0.118 -0.460  -0.083 -0.529  -0.048 -0.598  -0.018 -0.669  -0.018 -0.746  0.035 -0.801  0.090 -0.856  0.145 -0.911  0.160 -0.982  0.205 -1.015  0.273 -1.039  0.327 -1.093  0.382 -1.148  0.437 -1.203  0.492 -1.258  0.560 -1.281  0.637 -1.281  0.715 -1.281  0.792 -1.281  0.870 -1.281
