1c#app#app38#app3809/b  -0.292 2.136  -0.392 2.057  -0.392 1.879  -0.392 1.700  -0.392 1.521  -0.392 1.342  -0.360 1.171  -0.281 1.011  -0.201 0.851  -0.192 0.675  -0.192 0.496  -0.192 0.317  -0.192 0.138  -0.192 -0.040  -0.192 -0.219  -0.192 -0.398  -0.143 -0.565  -0.092 -0.732  -0.092 -0.910  -0.092 -1.089  -0.092 -1.071  -0.105 -1.094  -0.137 -0.918  -0.169 -0.742  -0.201 -0.567  -0.233 -0.391  -0.265 -0.215  -0.292 -0.039  -0.292 0.140  -0.206 0.233  -0.092 0.356  -0.020 0.505  0.136 0.561  0.285 0.633  0.409 0.579  0.532 0.510  0.610 0.363  0.610 0.185  0.610 0.006  0.610 -0.173  0.610 -0.351  0.610 -0.530  0.510 -0.668  0.455 -0.824  0.403 -0.982  0.323 -1.142  0.209 -1.276  0.124 -1.370  0.009 -1.492  -0.092 -1.570
1c#app#app38#app3809/e  -0.433 -0.802  -0.326 -0.695  -0.184 -0.670  -0.165 -0.537  -0.036 -0.514  -0.036 -0.363  -0.008 -0.217  0.060 -0.082  0.096 0.061  0.159 0.187  0.267 0.294  0.374 0.402  0.481 0.509  0.493 0.656  0.493 0.808  0.493 0.959  0.493 1.111  0.493 1.263  0.493 1.415  0.374 1.447  0.223 1.447  0.096 1.422  0.051 1.315  -0.036 1.251  -0.120 1.183  -0.168 1.080  -0.223 0.941  -0.291 0.805  -0.301 0.655  -0.313 0.509  -0.420 0.402  -0.433 0.255  -0.433 0.103  -0.433 -0.049  -0.433 -0.200  -0.433 -0.352  -0.433 -0.504  -0.433 -0.656  -0.429 -0.806  -0.322 -0.913  -0.301 -1.056  -0.201 -1.166  -0.168 -1.305  -0.043 -1.331  0.066 -1.434  0.206 -1.464  0.320 -1.372  0.454 -1.331  0.606 -1.331  0.758 -1.331
1c#app#app38#app3809/d  0.210 0.540  0.195 0.555  0.017 0.635  -0.099 0.540  -0.216 0.445  -0.359 0.322  -0.458 0.151  -0.555 -0.036  -0.682 -0.201  -0.738 -0.399  -0.738 -0.610  -0.738 -0.821  -0.738 -1.032  -0.661 -1.166  -0.641 -1.358  -0.548 -1.531  -0.381 -1.473  -0.180 -1.450  -0.028 -1.309  0.115 -1.157  0.204 -0.983  0.210 -0.774  0.210 -0.563  0.210 -0.352  0.264 -0.150  0.305 0.054  0.379 0.235  0.400 0.437  0.400 0.648  0.400 0.859  0.400 1.070  0.345 1.258  0.305 1.453  0.210 1.569  0.202 1.772  0.115 1.648  0.115 1.437  0.115 1.226  0.115 1.015  0.115 0.804  0.115 0.593  0.115 0.382  0.115 0.171  0.163 -0.028  0.210 -0.228  0.266 -0.426  0.305 -0.628  0.305 -0.839  0.305 -1.050  0.305 -1.261
1c#app#app38#app3809/e  -0.717 -0.849  -0.620 -0.704  -0.523 -0.558  -0.468 -0.400  -0.379 -0.262  -0.255 -0.138  -0.163 0.009  -0.095 0.168  -0.095 0.343  0.028 0.396  0.152 0.518  0.155 0.692  0.155 0.867  0.259 0.999  0.279 1.166  0.279 1.341  0.279 1.516  0.105 1.517  -0.070 1.517  -0.121 1.392  -0.219 1.316  -0.309 1.178  -0.344 1.017  -0.344 0.842  -0.389 0.678  -0.468 0.521  -0.468 0.346  -0.468 0.171  -0.468 -0.004  -0.468 -0.179  -0.468 -0.354  -0.468 -0.529  -0.468 -0.704  -0.468 -0.879  -0.412 -1.030  -0.288 -1.154  -0.164 -1.278  -0.018 -1.347  0.157 -1.347  0.317 -1.310  0.441 -1.186  0.564 -1.062  0.653 -0.924  0.724 -0.778  0.777 -0.625  0.883 -0.494  0.919 -0.334  1.026 -0.203  1.026 -0.028  1.026 0.147
1c#app#app38#app3809/h  -0.305 2.035  -0.305 1.859  -0.305 1.683  -0.305 1.507  -0.305 1.331  -0.305 1.155  -0.305 0.979  -0.305 0.803  -0.340 0.636  -0.416 0.478  -0.416 0.302  -0.416 0.126  -0.416 -0.050  -0.416 -0.226  -0.416 -0.402  -0.416 -0.578  -0.416 -0.754  -0.416 -0.930  -0.312 -1.063  -0.305 -1.237  -0.305 -1.413  -0.305 -1.437  -0.305 -1.261  -0.305 -1.085  -0.305 -0.909  -0.305 -0.733  -0.305 -0.557  -0.305 -0.381  -0.243 -0.231  -0.147 -0.086  -0.068 0.071  0.011 0.229  0.047 0.392  0.138 0.531  0.218 0.674  0.270 0.816  0.446 0.816  0.610 0.787  0.692 0.645  0.692 0.469  0.692 0.293  0.692 0.117  0.692 -0.059  0.692 -0.235  0.692 -0.411  0.692 -0.587  0.692 -0.763  0.692 -0.939  0.692 -1.115  0.692 -1.291
1c#app#app38#app3809/o  -0.246 1.344  -0.246 1.201  -0.266 1.066  -0.367 0.965  -0.375 0.826  -0.387 0.688  -0.488 0.587  -0.503 0.451  -0.503 0.308  -0.513 0.167  -0.577 0.040  -0.632 -0.090  -0.632 -0.233  -0.632 -0.376  -0.632 -0.518  -0.632 -0.661  -0.632 -0.804  -0.632 -0.947  -0.632 -1.089  -0.503 -1.104  -0.483 -1.227  -0.341 -1.227  -0.198 -1.227  -0.055 -1.227  0.088 -1.227  0.204 -1.162  0.320 -1.098  0.443 -1.051  0.525 -0.942  0.544 -0.804  0.607 -0.676  0.653 -0.544  0.653 -0.401  0.702 -0.279  0.782 -0.169  0.782 -0.026  0.782 0.116  0.750 0.252  0.686 0.379  0.653 0.514  0.594 0.632  0.525 0.747  0.483 0.872  0.382 0.973  0.281 1.074  0.180 1.175  0.054 1.215  -0.089 1.215  -0.232 1.215  -0.246 1.087
1c#app#app38#app3809/p  -0.099 0.777  -0.190 0.626  -0.190 0.436  -0.190 0.247  -0.190 0.057  -0.190 -0.132  -0.190 -0.321  -0.190 -0.511  -0.190 -0.700  -0.190 -0.889  -0.190 -1.079  -0.190 -1.268  -0.128 -1.443  -0.099 -1.625  -0.099 -1.549  -0.099 -1.640  -0.123 -1.537  -0.152 -1.350  -0.182 -1.163  -0.212 -0.976  -0.242 -0.789  -0.272 -0.602  -0.302 -0.415  -0.332 -0.228  -0.362 -0.041  -0.392 0.146  -0.422 0.333  -0.452 0.520  -0.464 0.709  -0.378 0.863  -0.309 1.023  -0.171 1.151  -0.005 1.239  0.080 1.409  0.239 1.480  0.417 1.506  0.587 1.457  0.720 1.377  0.720 1.187  0.720 0.998  0.720 0.809  0.691 0.626  0.629 0.452  0.562 0.278  0.444 0.133  0.359 -0.037  0.291 -0.198  0.222 -0.359  0.088 -0.493  -0.099 -0.498
1c#app#app38#app3809/e  -0.526 -0.713  -0.507 -0.579  -0.365 -0.552  -0.259 -0.443  -0.244 -0.297  -0.136 -0.189  -0.122 -0.042  -0.014 0.066  0.008 0.209  0.107 0.321  0.245 0.355  0.275 0.478  0.376 0.589  0.409 0.728  0.409 0.881  0.409 1.034  0.409 1.186  0.409 1.339  0.409 1.492  0.321 1.557  0.169 1.557  0.142 1.431  0.039 1.321  0.008 1.181  -0.049 1.042  -0.117 0.906  -0.220 0.794  -0.259 0.658  -0.259 0.505  -0.320 0.367  -0.388 0.230  -0.392 0.078  -0.392 -0.074  -0.392 -0.227  -0.392 -0.379  -0.392 -0.532  -0.392 -0.685  -0.392 -0.837  -0.392 -0.990  -0.371 -1.134  -0.263 -1.242  -0.155 -1.350  -0.015 -1.380  0.137 -1.380  0.290 -1.380  0.433 -1.356  0.541 -1.248  0.676 -1.230  0.701 -1.087  0.809 -0.980
1c#app#app38#app3809/d  0.073 0.676  -0.120 0.662  -0.287 0.585  -0.376 0.407  -0.425 0.219  -0.514 0.041  -0.630 -0.117  -0.725 -0.291  -0.735 -0.488  -0.825 -0.650  -0.825 -0.849  -0.825 -1.048  -0.798 -1.236  -0.631 -1.313  -0.473 -1.347  -0.285 -1.298  -0.145 -1.158  -0.067 -0.991  0.073 -0.850  0.195 -0.696  0.253 -0.510  0.333 -0.330  0.342 -0.133  0.333 0.066  0.324 0.265  0.315 0.463  0.306 0.662  0.297 0.861  0.288 1.060  0.279 1.259  0.270 1.458  0.261 1.656  0.253 1.831  0.253 1.632  0.253 1.433  0.253 1.234  0.253 1.035  0.253 0.836  0.253 0.637  0.253 0.438  0.253 0.239  0.253 0.040  0.253 -0.159  0.253 -0.358  0.253 -0.558  0.253 -0.757  0.264 -0.951  0.342 -1.118  0.253 -1.279  0.342 -1.209
1c#app#app38#app3809/h  -0.519 1.885  -0.519 1.708  -0.519 1.530  -0.519 1.353  -0.519 1.175  -0.519 0.998  -0.519 0.820  -0.519 0.643  -0.519 0.465  -0.519 0.287  -0.519 0.110  -0.408 -0.022  -0.408 -0.199  -0.408 -0.377  -0.408 -0.554  -0.408 -0.732  -0.408 -0.909  -0.408 -1.087  -0.445 -1.227  -0.519 -1.331  -0.408 -1.280  -0.408 -1.102  -0.408 -0.925  -0.342 -0.763  -0.296 -0.596  -0.233 -0.433  -0.185 -0.267  -0.185 -0.089  -0.185 0.088  -0.074 0.220  -0.026 0.377  0.037 0.529  0.147 0.661  0.305 0.708  0.455 0.774  0.588 0.880  0.704 0.825  0.715 0.652  0.799 0.520  0.720 0.361  0.704 0.187  0.773 0.038  0.815 -0.122  0.815 -0.299  0.815 -0.477  0.815 -0.655  0.815 -0.832  0.813 -1.009  0.734 -1.168  0.704 -1.339
1c#app#app38#app3809/e  -0.727 -0.473  -0.556 -0.473  -0.461 -0.397  -0.347 -0.340  -0.221 -0.232  -0.194 -0.073  -0.073 0.048  0.048 0.169  0.075 0.329  0.196 0.449  0.203 0.617  0.203 0.788  0.276 0.928  0.336 1.075  0.336 1.245  0.336 1.416  0.336 1.587  0.230 1.652  0.101 1.550  0.070 1.392  -0.047 1.270  -0.167 1.149  -0.195 0.990  -0.315 0.868  -0.328 0.703  -0.328 0.532  -0.371 0.371  -0.447 0.219  -0.461 0.051  -0.461 -0.120  -0.520 -0.266  -0.594 -0.407  -0.594 -0.577  -0.493 -0.707  -0.461 -0.864  -0.439 -1.026  -0.314 -1.137  -0.195 -1.189  -0.105 -1.270  0.065 -1.270  0.236 -1.270  0.407 -1.270  0.469 -1.160  0.601 -1.122  0.639 -0.967  0.734 -0.836  0.786 -0.686  0.867 -0.549  0.867 -0.378  1.000 -0.340
