1c#tos#f3#f3067059/a  0.741 0.026  0.677 0.168  0.795 0.219  0.805 0.378  0.805 0.547  0.805 0.716  0.805 0.885  0.805 1.054  0.777 1.212  0.623 1.248  0.454 1.248  0.286 1.244  0.167 1.124  0.011 1.059  -0.146 0.996  -0.217 0.847  -0.280 0.690  -0.419 0.604  -0.560 0.517  -0.647 0.372  -0.734 0.227  -0.852 0.106  -0.945 -0.029  -0.986 -0.193  -1.054 -0.347  -1.098 -0.510  -1.125 -0.676  -1.125 -0.845  -1.125 -1.014  -1.009 -1.068  -0.856 -1.004  -0.702 -0.967  -0.582 -0.847  -0.459 -0.732  -0.318 -0.638  -0.178 -0.544  -0.033 -0.458  0.110 -0.368  0.245 -0.266  0.341 -0.132  0.416 0.020  0.548 0.071  0.548 -0.098  0.548 -0.267  0.548 -0.436  0.548 -0.605  0.575 -0.755  0.735 -0.809  0.793 -0.965  0.934 -1.004
1c#tos#f3#f3067059/b  -0.869 -0.083  -1.046 -0.140  -1.046 -0.340  -0.861 -0.392  -0.662 -0.392  -0.466 -0.358  -0.272 -0.310  -0.109 -0.198  0.037 -0.061  0.188 0.063  0.378 0.126  0.540 0.240  0.700 0.359  0.832 0.504  0.944 0.670  1.081 0.814  1.138 0.996  1.206 1.168  1.206 1.368  1.012 1.373  0.832 1.316  0.647 1.256  0.499 1.123  0.333 1.012  0.159 0.916  0.006 0.791  -0.136 0.650  -0.246 0.484  -0.360 0.321  -0.483 0.164  -0.594 -0.002  -0.686 -0.178  -0.752 -0.366  -0.817 -0.554  -0.869 -0.742  -0.869 -0.941  -0.850 -1.137  -0.770 -1.275  -0.570 -1.275  -0.400 -1.204  -0.243 -1.084  -0.109 -0.945  -0.013 -0.781  0.096 -0.632  0.172 -0.448  0.235 -0.261  0.250 -0.275  0.367 -0.375  0.521 -0.481  0.720 -0.481
1c#tos#f3#f3067059/c  0.870 0.316  0.870 0.422  0.870 0.529  0.870 0.636  0.870 0.743  0.870 0.849  0.870 0.956  0.870 1.063  0.781 1.080  0.674 1.080  0.567 1.080  0.470 1.039  0.371 0.999  0.270 0.965  0.173 0.922  0.077 0.875  -0.018 0.827  -0.110 0.772  -0.202 0.717  -0.293 0.662  -0.360 0.586  -0.399 0.487  -0.439 0.388  -0.488 0.295  -0.564 0.220  -0.639 0.144  -0.678 0.048  -0.704 -0.056  -0.723 -0.160  -0.723 -0.267  -0.723 -0.374  -0.723 -0.481  -0.723 -0.587  -0.723 -0.694  -0.723 -0.801  -0.669 -0.885  -0.594 -0.961  -0.546 -1.057  -0.457 -1.086  -0.351 -1.086  -0.244 -1.086  -0.137 -1.086  -0.030 -1.086  0.076 -1.086  0.182 -1.080  0.277 -1.032  0.373 -0.984  0.472 -0.947  0.576 -0.921  0.679 -0.895
1c#tos#f3#f3067059/e  -0.807 -0.411  -0.968 -0.417  -1.126 -0.456  -1.226 -0.541  -1.144 -0.621  -0.981 -0.621  -0.819 -0.621  -0.665 -0.585  -0.510 -0.551  -0.352 -0.533  -0.206 -0.461  -0.064 -0.382  0.071 -0.292  0.221 -0.232  0.359 -0.155  0.474 -0.040  0.589 0.075  0.722 0.148  0.839 0.222  0.911 0.367  1.023 0.450  1.096 0.596  1.189 0.708  1.222 0.838  1.222 1.000  1.186 1.127  1.024 1.127  0.861 1.127  0.699 1.127  0.549 1.071  0.412 0.984  0.293 0.879  0.194 0.778  0.031 0.778  -0.067 0.688  -0.120 0.535  -0.181 0.384  -0.241 0.233  -0.329 0.096  -0.413 -0.043  -0.485 -0.188  -0.544 -0.339  -0.583 -0.497  -0.597 -0.658  -0.597 -0.820  -0.597 -0.983  -0.597 -1.145  -0.469 -1.180  -0.323 -1.248  -0.177 -1.320
1c#tos#f3#f3067059/g  0.752 0.688  0.671 0.775  0.723 0.925  0.752 1.088  0.790 1.247  0.762 1.401  0.599 1.412  0.442 1.384  0.320 1.269  0.186 1.169  0.054 1.069  -0.022 0.922  -0.062 0.762  -0.173 0.654  -0.173 0.486  -0.102 0.366  -0.014 0.286  0.129 0.326  0.236 0.453  0.373 0.527  0.447 0.665  0.459 0.640  0.325 0.539  0.299 0.381  0.237 0.225  0.180 0.068  0.100 -0.080  0.017 -0.225  -0.068 -0.370  -0.133 -0.520  -0.136 -0.687  -0.198 -0.842  -0.270 -0.994  -0.353 -1.140  -0.432 -1.287  -0.495 -1.443  -0.535 -1.594  -0.653 -1.644  -0.656 -1.479  -0.696 -1.321  -0.696 -1.153  -0.696 -0.985  -0.696 -0.817  -0.656 -0.656  -0.538 -0.561  -0.383 -0.497  -0.235 -0.438  -0.079 -0.401  0.066 -0.318  0.229 -0.277
1c#tos#f3#f3067059/h  0.490 1.559  0.490 1.725  0.583 1.796  0.537 1.675  0.502 1.513  0.444 1.357  0.378 1.204  0.308 1.053  0.233 0.904  0.159 0.755  0.084 0.606  0.010 0.457  -0.065 0.308  -0.143 0.160  -0.235 0.022  -0.327 -0.118  -0.412 -0.261  -0.487 -0.409  -0.549 -0.564  -0.646 -0.699  -0.733 -0.840  -0.803 -0.991  -0.869 -1.143  -0.979 -1.262  -0.973 -1.318  -0.911 -1.170  -0.810 -1.040  -0.722 -0.899  -0.658 -0.746  -0.552 -0.621  -0.425 -0.514  -0.298 -0.407  -0.198 -0.274  -0.098 -0.141  0.002 -0.007  0.102 0.126  0.255 0.186  0.394 0.278  0.520 0.381  0.682 0.421  0.774 0.346  0.685 0.234  0.669 0.074  0.580 -0.066  0.537 -0.226  0.533 -0.391  0.442 -0.530  0.442 -0.697  0.471 -0.855  0.584 -0.954
1c#tos#f3#f3067059/j  -0.241 0.626  -0.110 0.587  0.039 0.648  0.191 0.725  0.350 0.786  0.489 0.861  0.597 0.978  0.551 0.900  0.448 0.790  0.368 0.640  0.276 0.496  0.189 0.350  0.161 0.182  0.085 0.035  -0.014 -0.102  -0.068 -0.264  -0.104 -0.430  -0.140 -0.596  -0.194 -0.758  -0.266 -0.912  -0.281 -1.079  -0.322 -1.237  -0.359 -1.396  -0.359 -1.567  -0.373 -1.723  -0.485 -1.628  -0.515 -1.465  -0.515 -1.294  -0.515 -1.124  -0.515 -0.953  -0.430 -0.823  -0.303 -0.752  -0.153 -0.689  -0.007 -0.608  0.128 -0.514  0.226 -0.427  0.217 -0.257  0.209 -0.087  0.200 0.084  0.191 0.254  0.182 0.424  0.173 0.594  0.165 0.765  0.156 0.935  0.147 1.105  0.138 1.275  0.129 1.446  0.120 1.616  0.112 1.786  0.033 1.800
1c#tos#f3#f3067059/m  -1.220 -0.297  -1.128 -0.094  -0.940 0.123  -0.730 0.296  -0.504 0.473  -0.226 0.588  0.031 0.747  0.314 0.865  0.459 0.829  0.239 0.609  0.020 0.390  -0.200 0.171  -0.419 -0.049  -0.639 -0.268  -0.866 -0.476  -1.131 -0.616  -1.299 -0.873  -1.507 -1.072  -1.476 -1.050  -1.250 -0.842  -1.019 -0.659  -0.803 -0.439  -0.560 -0.245  -0.311 -0.060  -0.107 0.160  0.110 0.369  0.376 0.529  0.605 0.532  0.366 0.336  0.161 0.106  -0.074 -0.091  -0.267 -0.333  -0.472 -0.532  -0.364 -0.512  -0.120 -0.365  0.136 -0.242  0.391 -0.072  0.655 0.085  0.897 0.276  1.159 0.441  1.361 0.673  1.658 0.699  1.732 0.754  1.507 0.549  1.301 0.375  1.092 0.151  0.885 -0.070  0.814 -0.359  0.701 -0.605  0.661 -0.906
1c#tos#f3#f3067059/q  0.713 0.536  0.787 0.685  0.837 0.875  0.848 1.074  0.893 1.257  0.773 1.391  0.571 1.391  0.370 1.391  0.220 1.307  0.088 1.169  -0.075 1.054  -0.190 0.890  -0.233 0.695  -0.278 0.512  -0.278 0.311  -0.077 0.310  0.115 0.350  0.261 0.444  0.377 0.605  0.344 0.654  0.190 0.557  0.017 0.471  -0.106 0.313  -0.198 0.135  -0.265 -0.053  -0.377 -0.220  -0.474 -0.397  -0.564 -0.577  -0.655 -0.757  -0.774 -0.915  -0.774 -1.116  -0.864 -1.291  -0.864 -1.492  -0.797 -1.627  -0.595 -1.627  -0.478 -1.466  -0.327 -1.335  -0.243 -1.168  -0.207 -0.985  -0.020 -0.911  -0.008 -0.717  -0.008 -0.515  -0.004 -0.315  0.082 -0.139  0.082 0.062  0.127 0.007  0.237 -0.134  0.399 -0.230  0.601 -0.230  0.803 -0.230
1c#tos#f3#f3067059/r  -1.520 -0.762  -1.520 -0.898  -1.519 -1.033  -1.383 -1.033  -1.264 -0.993  -1.168 -0.897  -1.060 -0.816  -0.951 -0.735  -0.859 -0.636  -0.783 -0.523  -0.708 -0.411  -0.622 -0.308  -0.509 -0.233  -0.487 -0.109  -0.391 -0.013  -0.344 0.113  -0.266 0.221  -0.221 0.338  -0.177 0.463  -0.167 0.596  -0.167 0.732  -0.215 0.807  -0.079 0.807  0.057 0.807  0.193 0.807  0.322 0.844  0.455 0.861  0.591 0.861  0.718 0.898  0.850 0.915  0.969 0.899  0.939 0.776  0.867 0.699  0.797 0.625  0.753 0.500  0.669 0.399  0.573 0.303  0.510 0.199  0.428 0.114  0.374 0.032  0.374 -0.104  0.374 -0.239  0.428 -0.353  0.479 -0.437  0.536 -0.516  0.586 -0.616  0.710 -0.665  0.806 -0.761  0.942 -0.762  1.078 -0.762
1c#tos#f3#f3067059/s  0.792 0.943  0.745 0.928  0.608 0.835  0.476 0.688  0.306 0.565  0.129 0.447  -0.047 0.329  -0.224 0.212  -0.401 0.094  -0.577 -0.024  -0.754 -0.142  -0.930 -0.259  -1.107 -0.377  -1.284 -0.495  -1.460 -0.612  -1.636 -0.731  -1.546 -0.782  -1.343 -0.744  -1.150 -0.657  -0.951 -0.584  -0.756 -0.501  -0.586 -0.374  -0.417 -0.246  -0.258 -0.107  -0.074 -0.002  0.114 0.096  0.285 0.220  0.430 0.374  0.561 0.537  0.720 0.673  0.829 0.855  0.905 1.026  1.080 1.141  1.115 1.093  1.007 0.925  1.007 0.713  0.961 0.520  0.819 0.363  0.738 0.176  0.686 -0.024  0.581 -0.209  0.463 -0.385  0.375 -0.576  0.319 -0.769  0.195 -0.918  0.097 -1.051  -0.115 -1.051  -0.178 -0.902  -0.263 -0.719  -0.286 -0.512
1c#tos#f3#f3067059/t  0.984 1.353  0.984 1.515  1.000 1.608  0.862 1.527  0.766 1.397  0.671 1.265  0.577 1.133  0.483 1.001  0.392 0.866  0.306 0.728  0.220 0.591  0.147 0.446  0.074 0.301  -0.012 0.163  -0.106 0.031  -0.175 -0.111  -0.198 -0.272  -0.246 -0.425  -0.319 -0.570  -0.380 -0.718  -0.380 -0.880  -0.431 -1.033  -0.465 -1.189  -0.465 -1.351  -0.435 -1.504  -0.316 -1.587  -0.154 -1.587  -0.014 -1.513  -0.019 -1.362  -0.045 -1.202  -0.071 -1.042  -0.097 -0.881  -0.124 -0.721  -0.150 -0.561  -0.176 -0.401  -0.202 -0.241  -0.228 -0.080  -0.254 0.080  -0.281 0.240  -0.307 0.400  -0.333 0.561  -0.454 0.525  -0.550 0.438  -0.495 0.416  -0.333 0.416  -0.170 0.416  -0.012 0.439  0.148 0.458  0.310 0.458  0.472 0.458
1c#tos#f3#f3067059/x  -1.266 -0.906  -1.444 -0.906  -1.532 -0.818  -1.479 -0.662  -1.369 -0.530  -1.266 -0.396  -1.169 -0.288  -1.106 -0.156  -1.043 -0.012  -0.919 0.107  -0.773 0.158  -0.682 0.286  -0.607 0.445  -0.474 0.562  -0.361 0.679  -0.305 0.816  -0.187 0.903  -0.163 0.768  -0.201 0.599  -0.201 0.422  -0.201 0.245  -0.201 0.067  -0.201 -0.110  -0.201 -0.288  -0.185 -0.461  -0.105 -0.620  -0.006 -0.747  0.171 -0.747  0.349 -0.747  0.524 -0.725  0.696 -0.682  0.867 -0.637  0.992 -0.511  1.118 -0.386  1.136 -0.213  1.144 -0.036  1.152 0.141  1.159 0.318  1.167 0.496  1.175 0.673  1.183 0.850  1.007 0.842  0.862 0.743  0.715 0.645  0.622 0.495  0.534 0.341  0.441 0.190  0.322 0.063  0.197 -0.056  0.118 -0.214
1c#tos#f3#f3067059/y  0.163 1.210  0.002 1.210  -0.068 1.100  -0.106 0.951  -0.106 0.791  -0.072 0.639  0.088 0.639  0.239 0.677  0.390 0.729  0.497 0.838  0.609 0.951  0.714 1.071  0.767 1.221  0.764 1.377  0.666 1.287  0.574 1.160  0.503 1.017  0.423 0.878  0.334 0.745  0.282 0.594  0.218 0.447  0.146 0.304  0.074 0.160  0.030 0.007  -0.010 -0.148  -0.054 -0.302  -0.108 -0.453  -0.172 -0.600  -0.195 -0.758  -0.232 -0.914  -0.274 -1.067  -0.311 -1.212  -0.389 -1.345  -0.423 -1.501  -0.454 -1.651  -0.576 -1.647  -0.576 -1.487  -0.576 -1.326  -0.576 -1.166  -0.576 -1.006  -0.576 -0.846  -0.560 -0.688  -0.483 -0.548  -0.385 -0.436  -0.254 -0.344  -0.150 -0.234  -0.004 -0.200  0.127 -0.118  0.259 -0.038  0.398 0.034
1c#tos#f3#f3067059/z  -0.316 0.751  -0.471 0.741  -0.345 0.754  -0.222 0.839  -0.133 0.973  0.001 1.065  0.149 1.139  0.299 1.202  0.430 1.302  0.564 1.389  0.726 1.412  0.645 1.288  0.594 1.132  0.509 0.993  0.397 0.872  0.299 0.740  0.209 0.601  0.124 0.460  -0.005 0.362  -0.083 0.221  -0.049 0.246  0.062 0.346  0.176 0.465  0.287 0.557  0.345 0.449  0.345 0.284  0.340 0.121  0.255 -0.021  0.193 -0.172  0.164 -0.335  0.120 -0.492  0.059 -0.646  -0.003 -0.799  -0.100 -0.931  -0.153 -1.085  -0.229 -1.230  -0.317 -1.370  -0.409 -1.507  -0.501 -1.642  -0.627 -1.686  -0.627 -1.521  -0.578 -1.367  -0.549 -1.209  -0.522 -1.048  -0.447 -0.903  -0.355 -0.766  -0.261 -0.633  -0.145 -0.516  0.003 -0.450  0.151 -0.376
