2#app#app34#app3463/w  -1.306 1.149  -1.190 1.033  -1.156 0.898  -1.055 0.835  -1.055 0.671  -1.055 0.507  -1.018 0.359  -0.930 0.232  -0.930 0.068  -0.930 -0.096  -0.821 -0.215  -0.794 -0.367  -0.679 -0.483  -0.651 -0.635  -0.553 -0.759  -0.489 -0.858  -0.428 -0.756  -0.412 -0.608  -0.302 -0.554  -0.302 -0.390  -0.299 -0.228  -0.183 -0.112  -0.177 0.049  -0.109 0.145  -0.052 0.039  0.051 -0.082  0.078 -0.235  0.194 -0.351  0.221 -0.503  0.341 -0.608  0.450 -0.662  0.516 -0.799  0.576 -0.938  0.694 -0.984  0.701 -0.828  0.701 -0.664  0.701 -0.500  0.701 -0.336  0.743 -0.190  0.827 -0.061  0.827 0.103  0.827 0.267  0.851 0.421  0.952 0.543  0.952 0.706  0.952 0.870  0.952 1.034  0.952 1.198  1.039 1.274  1.078 1.400
2#app#app34#app3463/a  0.274 0.587  0.237 0.750  0.111 0.823  0.111 1.022  -0.035 1.076  -0.066 1.253  -0.207 1.394  -0.378 1.377  -0.422 1.196  -0.563 1.055  -0.704 0.914  -0.729 0.725  -0.867 0.582  -0.867 0.383  -0.867 0.184  -0.867 -0.016  -0.867 -0.215  -0.867 -0.415  -0.867 -0.614  -0.867 -0.814  -0.867 -1.013  -0.704 -1.050  -0.661 -1.206  -0.461 -1.206  -0.378 -1.089  -0.226 -1.043  -0.082 -0.909  0.060 -0.768  0.224 -0.660  0.403 -0.571  0.437 -0.392  0.437 -0.193  0.437 0.007  0.437 0.206  0.437 0.406  0.437 0.605  0.437 0.804  0.437 0.822  0.437 0.623  0.437 0.423  0.437 0.224  0.489 0.046  0.600 -0.108  0.600 -0.307  0.600 -0.506  0.707 -0.661  0.848 -0.802  1.016 -0.880  1.089 -1.006  1.252 -1.043
2#app#app34#app3463/r  -0.717 0.994  -0.573 0.994  -0.495 0.929  -0.495 0.786  -0.495 0.642  -0.444 0.550  -0.300 0.550  -0.273 0.434  -0.273 0.291  -0.273 0.147  -0.273 0.004  -0.273 -0.139  -0.273 -0.283  -0.273 -0.426  -0.273 -0.570  -0.273 -0.713  -0.220 -0.835  -0.119 -0.936  -0.051 -1.051  -0.051 -1.195  -0.051 -1.338  -0.051 -1.481  -0.051 -1.625  -0.051 -1.571  -0.051 -1.427  -0.051 -1.284  -0.051 -1.140  -0.051 -0.997  -0.051 -0.854  -0.051 -0.710  -0.051 -0.567  0.045 -0.463  0.147 -0.362  0.171 -0.229  0.171 -0.085  0.171 0.058  0.171 0.201  0.171 0.345  0.171 0.488  0.229 0.608  0.330 0.709  0.393 0.826  0.393 0.970  0.393 1.113  0.422 1.245  0.523 1.346  0.629 1.438  0.772 1.438  0.837 1.516  0.837 1.660
2#app#app34#app3463/m  -1.134 0.478  -1.087 0.326  -1.028 0.180  -1.028 0.009  -1.028 -0.162  -1.028 -0.333  -1.028 -0.504  -1.028 -0.675  -0.923 -0.802  -0.923 -0.973  -0.923 -0.848  -0.923 -0.677  -0.923 -0.506  -0.902 -0.344  -0.818 -0.208  -0.818 -0.037  -0.763 0.112  -0.712 0.262  -0.653 0.373  -0.587 0.478  -0.502 0.564  -0.394 0.689  -0.223 0.689  -0.081 0.660  -0.014 0.517  0.024 0.362  0.024 0.191  0.125 0.061  0.130 -0.108  0.144 -0.273  0.235 -0.406  0.235 -0.362  0.303 -0.259  0.340 -0.126  0.406 0.018  0.527 0.139  0.574 0.290  0.711 0.373  0.776 0.478  0.947 0.478  1.118 0.478  1.288 0.477  1.288 0.306  1.393 0.240  1.393 0.069  1.498 0.004  1.498 -0.167  1.498 -0.338  1.498 -0.509  1.498 -0.680
2#app#app34#app3463/c  0.090 0.979  0.090 0.804  0.090 0.630  0.183 0.493  0.221 0.334  0.221 0.159  0.276 0.007  0.352 -0.137  0.352 -0.088  0.352 0.087  0.421 0.193  0.483 0.306  0.483 0.481  0.451 0.649  0.373 0.805  0.352 0.975  0.221 1.019  0.137 1.110  -0.038 1.110  -0.172 1.070  -0.257 0.979  -0.432 0.979  -0.476 0.848  -0.565 0.763  -0.695 0.717  -0.726 0.557  -0.827 0.424  -0.881 0.271  -0.958 0.128  -0.958 -0.047  -0.958 -0.222  -0.958 -0.397  -0.958 -0.572  -0.942 -0.740  -0.818 -0.864  -0.694 -0.986  -0.533 -1.019  -0.398 -1.117  -0.223 -1.117  -0.048 -1.117  0.123 -1.100  0.279 -1.022  0.446 -0.986  0.606 -0.924  0.764 -0.855  0.939 -0.855  1.083 -0.779  1.235 -0.724  1.369 -0.624  1.531 -0.593
2#app#app34#app3463/u  -1.108 1.504  -1.108 1.335  -0.942 1.332  -0.936 1.168  -0.936 0.999  -0.936 0.830  -0.936 0.661  -0.936 0.491  -0.936 0.322  -0.936 0.153  -0.836 0.025  -0.764 -0.114  -0.764 -0.284  -0.764 -0.453  -0.722 -0.605  -0.603 -0.725  -0.592 -0.889  -0.485 -1.015  -0.365 -1.026  -0.245 -0.908  -0.076 -0.908  -0.075 -0.740  0.090 -0.736  0.098 -0.574  0.210 -0.451  0.270 -0.307  0.351 -0.219  0.442 -0.140  0.442 0.029  0.442 0.198  0.491 0.347  0.611 0.467  0.614 0.635  0.614 0.804  0.614 0.973  0.505 0.877  0.442 0.734  0.442 0.564  0.442 0.395  0.442 0.226  0.491 0.077  0.611 -0.043  0.614 -0.210  0.614 -0.380  0.726 -0.503  0.846 -0.622  0.968 -0.736  1.131 -0.742  1.134 -0.908  1.304 -0.908
2#app#app34#app3463/p  -0.537 0.883  -0.537 0.693  -0.537 0.503  -0.524 0.318  -0.399 0.179  -0.399 -0.011  -0.399 -0.201  -0.279 -0.342  -0.260 -0.525  -0.260 -0.715  -0.260 -0.905  -0.122 -0.958  -0.122 -1.148  -0.122 -1.338  -0.122 -1.529  -0.122 -1.719  -0.122 -1.576  -0.203 -1.466  -0.260 -1.334  -0.260 -1.143  -0.260 -0.953  -0.260 -0.763  -0.260 -0.572  -0.260 -0.382  -0.380 -0.241  -0.399 -0.058  -0.399 0.132  -0.399 0.322  -0.399 0.513  -0.356 0.693  -0.271 0.863  -0.260 1.051  -0.179 1.160  -0.122 1.293  0.063 1.298  0.254 1.298  0.444 1.298  0.569 1.232  0.687 1.160  0.739 1.022  0.845 0.938  0.845 0.748  0.845 0.557  0.845 0.367  0.845 0.177  0.777 0.054  0.707 -0.066  0.673 -0.222  0.483 -0.222  0.431 -0.361
2#app#app34#app3463/s  0.438 1.460  0.290 1.450  0.270 1.311  0.112 1.311  -0.035 1.283  -0.147 1.171  -0.302 1.163  -0.414 1.052  -0.557 1.015  -0.600 0.899  -0.689 0.777  -0.748 0.644  -0.833 0.570  -0.896 0.475  -0.896 0.317  -0.896 0.159  -0.896 0.000  -0.762 -0.023  -0.748 -0.168  -0.594 -0.172  -0.435 -0.172  -0.277 -0.172  -0.155 -0.135  -0.109 -0.023  0.033 0.016  0.147 0.125  0.305 0.125  0.463 0.125  0.622 0.125  0.780 0.125  0.883 0.070  0.929 -0.069  1.031 -0.185  1.031 -0.344  1.031 -0.502  1.031 -0.660  0.993 -0.803  0.881 -0.915  0.769 -1.027  0.625 -1.061  0.467 -1.061  0.309 -1.061  0.150 -1.061  -0.008 -1.061  -0.120 -0.949  -0.263 -0.913  -0.422 -0.913  -0.452 -0.785  -0.590 -0.765  -0.748 -0.765
2#app#app34#app3463/o  -0.291 0.936  -0.418 0.936  -0.546 0.936  -0.561 0.823  -0.667 0.801  -0.696 0.702  -0.787 0.666  -0.831 0.582  -0.865 0.462  -0.923 0.348  -0.966 0.230  -0.966 0.102  -0.966 -0.026  -0.966 -0.153  -0.966 -0.281  -0.966 -0.409  -0.966 -0.537  -0.884 -0.631  -0.794 -0.721  -0.703 -0.812  -0.579 -0.819  -0.451 -0.819  -0.323 -0.819  -0.195 -0.819  -0.068 -0.819  0.060 -0.819  0.188 -0.819  0.316 -0.819  0.444 -0.819  0.556 -0.783  0.647 -0.692  0.737 -0.602  0.843 -0.549  0.925 -0.503  0.952 -0.387  1.043 -0.296  1.060 -0.176  1.060 -0.048  1.060 0.080  1.060 0.208  1.007 0.314  0.917 0.404  0.826 0.495  0.736 0.585  0.655 0.679  0.651 0.805  0.560 0.896  0.449 0.936  0.340 0.981  0.250 1.071
2#app#app34#app3463/f  0.739 1.670  0.607 1.670  0.475 1.670  0.343 1.670  0.211 1.670  0.148 1.601  0.090 1.493  -0.004 1.400  -0.097 1.307  -0.190 1.213  -0.206 1.088  -0.206 0.956  -0.206 0.824  -0.206 0.692  -0.206 0.560  -0.206 0.428  -0.206 0.296  -0.206 0.164  -0.206 0.032  -0.154 -0.087  -0.095 -0.205  -0.088 -0.336  -0.088 -0.468  -0.088 -0.599  -0.060 -0.720  0.030 -0.814  0.030 -0.946  0.030 -1.078  0.030 -1.210  0.030 -1.342  -0.009 -1.338  -0.079 -1.227  -0.149 -1.115  -0.218 -1.003  -0.288 -0.891  -0.358 -0.779  -0.428 -0.667  -0.498 -0.555  -0.545 -0.456  -0.414 -0.456  -0.282 -0.456  -0.150 -0.456  -0.018 -0.456  0.114 -0.456  0.246 -0.456  0.378 -0.456  0.473 -0.367  0.593 -0.338  0.725 -0.338  0.857 -0.338
2#app#app34#app3463/b  -0.717 1.794  -0.717 1.628  -0.717 1.461  -0.717 1.294  -0.717 1.128  -0.716 0.961  -0.642 0.812  -0.598 0.655  -0.598 0.489  -0.598 0.322  -0.598 0.155  -0.598 -0.012  -0.549 -0.158  -0.479 -0.296  -0.479 -0.462  -0.479 -0.629  -0.479 -0.796  -0.479 -0.683  -0.479 -0.516  -0.479 -0.349  -0.479 -0.182  -0.437 -0.026  -0.363 0.124  -0.246 0.243  -0.213 0.395  -0.095 0.513  0.023 0.631  0.152 0.724  0.318 0.724  0.481 0.715  0.592 0.594  0.633 0.444  0.751 0.327  0.869 0.209  0.949 0.075  1.021 -0.062  1.068 -0.209  1.068 -0.376  1.033 -0.535  0.959 -0.684  0.923 -0.823  0.830 -0.896  0.744 -1.027  0.591 -1.061  0.439 -1.095  0.307 -1.180  0.140 -1.180  0.092 -1.061  -0.074 -1.061  -0.241 -1.061
2#app#app34#app3463/e  -0.407 -0.282  -0.252 -0.282  -0.233 -0.146  -0.115 -0.108  0.011 -0.038  0.120 0.071  0.230 0.181  0.340 0.291  0.450 0.400  0.559 0.510  0.683 0.587  0.810 0.615  0.819 0.761  0.974 0.761  0.984 0.906  0.984 1.061  0.876 1.109  0.721 1.109  0.565 1.109  0.410 1.109  0.265 1.085  0.155 0.975  0.017 0.935  -0.059 0.856  -0.120 0.761  -0.263 0.731  -0.372 0.622  -0.407 0.481  -0.494 0.413  -0.581 0.345  -0.616 0.204  -0.726 0.094  -0.755 -0.049  -0.755 -0.204  -0.755 -0.359  -0.755 -0.514  -0.755 -0.670  -0.755 -0.825  -0.753 -0.979  -0.644 -1.089  -0.534 -1.199  -0.424 -1.308  -0.276 -1.325  -0.121 -1.325  0.034 -1.325  0.189 -1.325  0.288 -1.269  0.326 -1.152  0.481 -1.152  0.636 -1.152
2#app#app34#app3463/s  0.216 1.469  0.093 1.469  0.049 1.390  0.014 1.302  -0.109 1.302  -0.118 1.188  -0.188 1.135  -0.285 1.109  -0.285 0.986  -0.389 0.968  -0.495 0.925  -0.582 0.838  -0.669 0.751  -0.755 0.664  -0.786 0.554  -0.786 0.431  -0.786 0.308  -0.671 0.300  -0.548 0.300  -0.426 0.300  -0.303 0.300  -0.180 0.300  -0.075 0.257  0.012 0.170  0.120 0.133  0.216 0.106  0.216 -0.017  0.322 -0.034  0.427 -0.078  0.513 -0.165  0.550 -0.272  0.577 -0.368  0.700 -0.368  0.717 -0.474  0.717 -0.597  0.717 -0.720  0.717 -0.843  0.717 -0.966  0.680 -1.073  0.593 -1.160  0.487 -1.203  0.364 -1.203  0.241 -1.203  0.119 -1.203  -0.004 -1.203  -0.127 -1.203  -0.250 -1.203  -0.373 -1.203  -0.452 -1.159  -0.452 -1.036
2#app#app34#app3463/t  -0.073 2.100  -0.073 1.938  -0.073 1.777  -0.073 1.615  -0.073 1.454  -0.073 1.292  -0.073 1.130  -0.048 0.975  0.024 0.830  0.096 0.685  0.106 0.526  0.106 0.365  0.106 0.203  0.106 0.041  0.106 -0.120  0.106 -0.282  0.106 -0.444  0.106 -0.605  0.106 -0.767  0.106 -0.928  0.207 -1.048  0.285 -1.177  0.285 -1.339  0.285 -1.501  0.285 -1.662  0.209 -1.524  0.131 -1.382  0.054 -1.240  -0.023 -1.099  -0.101 -0.957  -0.178 -0.815  -0.256 -0.673  -0.333 -0.531  -0.410 -0.389  -0.488 -0.247  -0.565 -0.105  -0.643 0.037  -0.720 0.179  -0.776 0.308  -0.614 0.308  -0.452 0.308  -0.291 0.308  -0.129 0.308  0.032 0.308  0.194 0.308  0.356 0.308  0.517 0.308  0.679 0.308  0.841 0.308  1.002 0.308
2#app#app34#app3463/j  0.186 0.609  0.237 0.528  0.267 0.426  0.267 0.294  0.267 0.162  0.267 0.030  0.311 -0.083  0.348 -0.200  0.348 -0.332  0.348 -0.464  0.398 -0.575  0.429 -0.695  0.429 -0.827  0.401 -0.931  0.348 -1.010  0.348 -1.142  0.248 -1.174  0.137 -1.223  0.018 -1.255  -0.114 -1.255  -0.215 -1.179  -0.345 -1.174  -0.449 -1.107  -0.544 -1.061  -0.625 -1.010  -0.609 -0.881  -0.568 -0.755  -0.527 -0.630  -0.487 -0.504  -0.446 -0.378  -0.405 -0.253  -0.365 -0.127  -0.324 -0.002  -0.283 0.124  -0.243 0.250  -0.202 0.375  -0.162 0.501  -0.121 0.626  -0.080 0.752  -0.040 0.878  0.001 1.003  0.042 1.129  0.082 1.254  0.123 1.380  0.164 1.506  0.204 1.631  0.245 1.757  0.267 1.765  0.237 1.663  0.186 1.582
2#app#app34#app3463/a  0.755 0.617  0.635 0.736  0.580 0.882  0.494 0.965  0.325 0.965  0.156 0.965  -0.013 0.965  -0.182 0.965  -0.351 0.965  -0.504 0.927  -0.624 0.808  -0.743 0.688  -0.882 0.617  -0.989 0.555  -0.989 0.386  -1.041 0.268  -1.164 0.222  -1.164 0.053  -1.164 -0.116  -1.164 -0.285  -1.164 -0.454  -1.145 -0.604  -0.989 -0.618  -0.981 -0.779  -0.812 -0.779  -0.643 -0.779  -0.474 -0.779  -0.305 -0.779  -0.136 -0.779  0.033 -0.779  0.159 -0.676  0.299 -0.604  0.406 -0.542  0.446 -0.390  0.565 -0.270  0.580 -0.108  0.580 0.061  0.717 0.093  0.755 0.225  0.755 0.394  0.755 0.321  0.755 0.152  0.755 -0.017  0.829 -0.155  0.929 -0.282  0.929 -0.451  0.945 -0.604  1.103 -0.615  1.109 -0.779  1.278 -0.779
2#app#app34#app3463/v  -1.164 1.028  -1.083 0.946  -1.004 0.864  -1.004 0.749  -0.952 0.655  -0.871 0.574  -0.844 0.470  -0.821 0.364  -0.740 0.283  -0.684 0.191  -0.684 0.076  -0.684 -0.039  -0.684 -0.154  -0.673 -0.265  -0.591 -0.346  -0.523 -0.433  -0.523 -0.548  -0.523 -0.663  -0.492 -0.766  -0.411 -0.847  -0.330 -0.928  -0.248 -1.010  -0.152 -1.055  -0.037 -1.055  0.078 -1.055  0.193 -1.055  0.278 -1.024  0.278 -0.909  0.278 -0.794  0.317 -0.695  0.398 -0.614  0.438 -0.515  0.448 -0.404  0.529 -0.323  0.598 -0.236  0.598 -0.121  0.598 -0.006  0.617 0.105  0.669 0.207  0.720 0.310  0.758 0.416  0.758 0.532  0.758 0.647  0.783 0.756  0.834 0.859  0.885 0.962  0.918 1.069  0.918 1.184  0.997 1.267  1.079 1.348
2#app#app34#app3463/a  0.426 0.467  0.426 0.660  0.426 0.854  0.426 1.047  0.271 1.086  0.232 1.240  0.038 1.240  -0.121 1.157  -0.285 1.085  -0.347 0.954  -0.513 0.920  -0.650 0.783  -0.686 0.621  -0.811 0.554  -0.918 0.467  -0.966 0.321  -1.097 0.182  -1.121 -0.002  -1.121 -0.196  -1.121 -0.389  -1.121 -0.583  -1.116 -0.771  -0.935 -0.802  -0.792 -0.926  -0.599 -0.926  -0.434 -0.857  -0.276 -0.771  -0.193 -0.660  -0.043 -0.616  0.095 -0.483  0.232 -0.346  0.271 -0.169  0.426 -0.130  0.426 0.063  0.526 0.157  0.581 0.296  0.581 0.489  0.581 0.560  0.581 0.366  0.581 0.173  0.581 -0.021  0.581 -0.215  0.581 -0.408  0.581 -0.602  0.707 -0.743  0.736 -0.925  0.890 -0.964  0.967 -1.080  1.161 -1.080  1.354 -1.080
