2#app#app06#app0687/q  0.310 1.054  0.310 1.279  0.155 1.349  0.028 1.250  -0.134 1.100  -0.288 0.937  -0.395 0.741  -0.554 0.582  -0.661 0.386  -0.762 0.185  -0.917 0.023  -1.007 -0.164  -1.015 -0.318  -0.812 -0.264  -0.670 -0.156  -0.499 -0.037  -0.335 0.115  -0.176 0.274  -0.082 0.460  0.072 0.620  0.212 0.787  0.251 0.996  0.354 1.152  0.336 1.250  0.310 1.051  0.296 0.830  0.186 0.636  0.114 0.441  0.076 0.232  -0.011 0.035  -0.056 -0.186  -0.082 -0.408  -0.135 -0.620  -0.180 -0.834  -0.180 -1.059  -0.180 -1.284  -0.180 -1.509  -0.138 -1.691  -0.011 -1.789  0.114 -1.632  0.233 -1.453  0.334 -1.251  0.434 -1.050  0.551 -0.861  0.604 -0.659  0.661 -0.443  0.768 -0.252  0.858 -0.065  0.898 0.143  0.996 0.074
2#app#app06#app0687/u  -0.048 1.077  -0.074 1.226  -0.234 1.189  -0.346 1.061  -0.376 0.898  -0.498 0.773  -0.576 0.617  -0.645 0.458  -0.666 0.288  -0.744 0.131  -0.840 -0.013  -0.943 -0.145  -0.982 -0.304  -1.092 -0.433  -1.092 -0.608  -1.092 -0.783  -1.092 -0.958  -1.092 -1.133  -0.943 -1.160  -0.768 -1.160  -0.608 -1.123  -0.484 -0.999  -0.361 -0.876  -0.237 -0.752  -0.113 -0.628  0.011 -0.504  0.134 -0.381  0.250 -0.254  0.276 -0.089  0.400 0.034  0.524 0.158  0.548 0.323  0.561 0.493  0.684 0.617  0.697 0.786  0.697 0.961  0.697 1.017  0.637 0.867  0.548 0.729  0.548 0.554  0.548 0.379  0.548 0.204  0.551 0.030  0.675 -0.093  0.697 -0.259  0.817 -0.384  0.979 -0.414  1.154 -0.414  1.319 -0.439  1.443 -0.563
2#app#app06#app0687/i  0.207 0.225  0.080 0.221  -0.011 0.129  -0.079 0.021  -0.137 -0.094  -0.234 -0.145  -0.341 -0.200  -0.410 -0.301  -0.447 -0.392  -0.533 -0.435  -0.533 -0.564  -0.533 -0.693  -0.533 -0.822  -0.486 -0.932  -0.395 -1.023  -0.304 -1.115  -0.182 -1.132  -0.085 -1.210  0.025 -1.255  0.154 -1.255  0.283 -1.255  0.412 -1.255  0.435 -1.170  0.408 -1.044  0.380 -0.918  0.353 -0.792  0.326 -0.666  0.298 -0.540  0.271 -0.414  0.243 -0.288  0.216 -0.162  0.189 -0.036  0.161 0.091  0.134 0.217  0.106 0.343  0.079 0.469  0.052 0.595  0.024 0.721  -0.003 0.847  -0.031 0.973  -0.058 1.099  -0.085 1.225  -0.113 1.351  -0.140 1.478  -0.147 1.597  -0.056 1.689  0.067 1.705  0.196 1.705  0.325 1.705  0.454 1.705
2#app#app06#app0687/c  0.904 1.028  0.904 1.131  0.887 1.216  0.785 1.216  0.693 1.193  0.620 1.120  0.548 1.048  0.454 1.028  0.352 1.028  0.249 1.028  0.149 1.024  0.076 0.952  0.004 0.880  -0.068 0.807  -0.140 0.735  -0.213 0.663  -0.285 0.591  -0.357 0.518  -0.426 0.443  -0.482 0.358  -0.539 0.272  -0.596 0.187  -0.652 0.102  -0.709 0.017  -0.766 -0.068  -0.786 -0.164  -0.786 -0.266  -0.786 -0.368  -0.786 -0.471  -0.786 -0.573  -0.777 -0.671  -0.705 -0.744  -0.632 -0.816  -0.544 -0.850  -0.442 -0.850  -0.340 -0.850  -0.237 -0.850  -0.135 -0.850  -0.033 -0.850  0.069 -0.850  0.172 -0.850  0.274 -0.850  0.376 -0.850  0.478 -0.850  0.581 -0.850  0.683 -0.850  0.785 -0.850  0.887 -0.850  0.989 -0.850  1.092 -0.850
2#app#app06#app0687/k  -0.326 1.604  -0.366 1.444  -0.445 1.299  -0.447 1.123  -0.526 0.965  -0.593 0.802  -0.649 0.634  -0.714 0.470  -0.793 0.312  -0.912 0.182  -0.995 0.027  -1.041 -0.139  -1.100 -0.302  -1.161 -0.464  -1.161 -0.641  -1.161 -0.818  -1.067 -0.901  -0.890 -0.901  -0.713 -0.901  -0.579 -0.797  -0.454 -0.672  -0.329 -0.547  -0.203 -0.424  -0.026 -0.424  0.098 -0.325  0.196 -0.178  0.300 -0.036  0.425 0.089  0.550 0.214  0.676 0.339  0.801 0.464  0.867 0.613  1.001 0.665  1.135 0.769  1.225 0.682  1.122 0.547  0.997 0.422  0.872 0.297  0.747 0.172  0.622 0.047  0.497 -0.078  0.372 -0.203  0.247 -0.328  0.193 -0.424  0.340 -0.494  0.466 -0.619  0.591 -0.744  0.633 -0.901  0.809 -0.901  0.867 -1.020
2#app#app06#app0687/z  -0.168 0.925  -0.098 0.971  -0.033 1.061  0.042 1.146  0.083 1.246  0.186 1.279  0.272 1.356  0.376 1.408  0.491 1.417  0.535 1.344  0.535 1.227  0.535 1.111  0.484 1.015  0.425 0.916  0.372 0.812  0.320 0.707  0.268 0.603  0.184 0.527  0.087 0.463  0.014 0.376  -0.048 0.282  -0.153 0.230  -0.189 0.132  -0.271 0.049  -0.309 -0.052  -0.270 -0.129  -0.153 -0.129  -0.036 -0.129  0.080 -0.129  0.172 -0.189  0.253 -0.272  0.253 -0.388  0.253 -0.505  0.253 -0.621  0.183 -0.709  0.183 -0.826  0.108 -0.912  0.056 -1.016  -0.019 -1.104  -0.101 -1.187  -0.168 -1.276  -0.217 -1.372  -0.324 -1.395  -0.441 -1.395  -0.546 -1.368  -0.629 -1.286  -0.660 -1.182  -0.708 -1.113  -0.731 -1.019  -0.731 -0.902
2#app#app06#app0687/e  -0.000 -0.183  0.143 -0.183  0.147 -0.044  0.281 -0.036  0.386 0.056  0.487 0.157  0.588 0.258  0.589 0.401  0.727 0.406  0.736 0.540  0.866 0.553  0.883 0.679  0.883 0.821  0.883 0.964  0.883 1.107  0.775 1.142  0.632 1.142  0.489 1.142  0.374 1.075  0.273 0.973  0.172 0.872  0.039 0.848  -0.086 0.790  -0.205 0.711  -0.324 0.631  -0.443 0.552  -0.544 0.451  -0.589 0.327  -0.642 0.206  -0.743 0.104  -0.844 0.003  -0.945 -0.098  -1.031 -0.205  -1.031 -0.348  -1.031 -0.491  -1.024 -0.631  -0.923 -0.732  -0.797 -0.772  -0.678 -0.831  -0.577 -0.932  -0.476 -1.033  -0.347 -1.066  -0.204 -1.066  -0.061 -1.066  0.058 -1.125  0.164 -1.214  0.307 -1.214  0.450 -1.214  0.593 -1.214  0.736 -1.214
2#app#app06#app0687/p  -0.014 0.691  -0.014 0.518  -0.014 0.346  -0.023 0.175  -0.097 0.020  -0.100 -0.152  -0.142 -0.320  -0.187 -0.486  -0.264 -0.641  -0.342 -0.795  -0.347 -0.967  -0.406 -1.115  -0.430 -1.278  -0.430 -1.450  -0.513 -1.588  -0.513 -1.761  -0.486 -1.675  -0.450 -1.506  -0.414 -1.337  -0.378 -1.168  -0.343 -1.000  -0.307 -0.831  -0.271 -0.662  -0.235 -0.493  -0.199 -0.324  -0.163 -0.155  -0.128 0.014  -0.092 0.183  -0.056 0.352  -0.020 0.521  0.016 0.690  0.052 0.859  0.069 1.029  0.136 1.174  0.235 1.306  0.323 1.439  0.496 1.439  0.639 1.368  0.786 1.305  0.817 1.145  0.817 0.973  0.817 0.800  0.734 0.662  0.650 0.524  0.495 0.447  0.347 0.387  0.200 0.323  0.047 0.275  -0.117 0.295  -0.180 0.442
2#app#app06#app0687/h  0.108 1.689  0.215 1.736  0.310 1.795  0.322 1.867  0.322 1.713  0.322 1.558  0.322 1.404  0.269 1.262  0.200 1.124  0.131 0.986  0.076 0.843  0.027 0.696  -0.031 0.554  -0.100 0.416  -0.169 0.278  -0.247 0.145  -0.340 0.022  -0.432 -0.101  -0.525 -0.225  -0.596 -0.362  -0.665 -0.500  -0.734 -0.638  -0.760 -0.783  -0.853 -0.899  -0.853 -1.053  -0.771 -1.008  -0.626 -0.983  -0.533 -0.923  -0.456 -0.800  -0.347 -0.691  -0.238 -0.582  -0.105 -0.545  -0.073 -0.401  0.012 -0.272  0.098 -0.144  0.204 -0.033  0.322 0.010  0.378 0.141  0.429 0.110  0.429 -0.044  0.398 -0.191  0.329 -0.329  0.322 -0.482  0.322 -0.636  0.337 -0.785  0.429 -0.901  0.501 -0.983  0.655 -0.983  0.809 -0.983  0.857 -1.090
2#app#app06#app0687/y  0.112 1.478  0.085 1.362  0.020 1.261  -0.022 1.156  -0.108 1.070  -0.139 0.961  -0.139 0.839  -0.076 0.779  -0.007 0.726  0.114 0.728  0.211 0.789  0.307 0.851  0.365 0.917  0.462 0.977  0.511 1.063  0.598 1.054  0.613 0.939  0.597 0.820  0.550 0.710  0.550 0.588  0.550 0.466  0.548 0.344  0.510 0.228  0.488 0.110  0.472 -0.010  0.433 -0.125  0.382 -0.236  0.338 -0.349  0.299 -0.465  0.245 -0.574  0.190 -0.683  0.122 -0.784  0.049 -0.882  -0.026 -0.978  -0.112 -1.064  -0.176 -1.166  -0.261 -1.246  -0.375 -1.279  -0.471 -1.341  -0.593 -1.341  -0.693 -1.289  -0.751 -1.182  -0.765 -1.064  -0.765 -0.942  -0.765 -0.820  -0.765 -0.698  -0.765 -0.576  -0.714 -0.475  -0.655 -0.369  -0.577 -0.276
2#app#app06#app0687/r  -0.406 -1.641  -0.406 -1.549  -0.406 -1.457  -0.406 -1.365  -0.406 -1.272  -0.460 -1.203  -0.525 -1.137  -0.590 -1.072  -0.598 -0.983  -0.598 -0.891  -0.598 -0.799  -0.598 -0.707  -0.598 -0.615  -0.598 -0.523  -0.598 -0.431  -0.598 -0.338  -0.598 -0.246  -0.598 -0.154  -0.569 -0.074  -0.504 -0.009  -0.439 0.056  -0.406 0.135  -0.406 0.227  -0.406 0.319  -0.406 0.411  -0.385 0.495  -0.320 0.560  -0.254 0.625  -0.189 0.690  -0.124 0.755  -0.059 0.821  0.018 0.858  0.110 0.858  0.193 0.837  0.258 0.771  0.323 0.706  0.399 0.666  0.491 0.666  0.575 0.647  0.640 0.582  0.705 0.516  0.780 0.474  0.872 0.474  0.964 0.474  1.056 0.474  1.148 0.474  1.240 0.474  1.333 0.474  1.425 0.474  1.517 0.474
