1c#tos#f2#f2017063/b  0.059 2.151  0.008 2.019  -0.132 1.955  -0.187 1.850  -0.193 1.691  -0.236 1.538  -0.236 1.378  -0.236 1.219  -0.236 1.059  -0.236 0.899  -0.236 0.740  -0.222 0.581  -0.200 0.423  -0.187 0.264  -0.187 0.104  -0.187 -0.056  -0.187 -0.215  -0.187 -0.375  -0.187 -0.535  -0.187 -0.695  -0.187 -0.854  -0.187 -1.014  -0.214 -1.146  -0.261 -1.010  -0.289 -0.853  -0.318 -0.696  -0.346 -0.539  -0.375 -0.382  -0.404 -0.224  -0.432 -0.067  -0.277 -0.063  -0.166 -0.014  -0.013 0.027  0.145 0.035  0.305 0.035  0.444 0.084  0.604 0.084  0.759 0.074  0.798 -0.070  0.760 -0.224  0.676 -0.356  0.594 -0.492  0.552 -0.639  0.498 -0.783  0.428 -0.925  0.322 -0.998  0.224 -1.107  0.092 -1.180  -0.005 -1.304  -0.138 -1.392
1c#tos#f2#f2017063/c  0.915 1.183  0.886 1.114  0.787 1.114  0.689 1.114  0.591 1.114  0.492 1.114  0.394 1.114  0.295 1.114  0.197 1.114  0.098 1.114  0.039 1.040  -0.015 0.958  -0.076 0.881  -0.145 0.811  -0.221 0.749  -0.305 0.698  -0.390 0.648  -0.474 0.597  -0.532 0.531  -0.532 0.433  -0.532 0.334  -0.532 0.236  -0.542 0.144  -0.630 0.100  -0.670 0.025  -0.670 -0.073  -0.670 -0.172  -0.670 -0.270  -0.670 -0.368  -0.624 -0.448  -0.554 -0.518  -0.511 -0.603  -0.480 -0.697  -0.420 -0.761  -0.326 -0.793  -0.232 -0.822  -0.137 -0.846  -0.041 -0.870  0.036 -0.917  0.080 -1.005  0.167 -1.023  0.266 -1.023  0.364 -1.023  0.462 -1.023  0.561 -1.023  0.659 -1.023  0.758 -1.023  0.856 -1.023  0.955 -1.023  1.053 -1.023
1c#tos#f2#f2017063/g  0.476 1.317  0.474 1.497  0.382 1.587  0.201 1.587  0.029 1.543  -0.083 1.408  -0.222 1.293  -0.249 1.121  -0.316 0.952  -0.348 0.777  -0.377 0.600  -0.377 0.418  -0.377 0.237  -0.237 0.196  -0.056 0.199  0.090 0.303  0.126 0.465  0.252 0.555  0.341 0.709  0.341 0.891  0.386 0.800  0.341 0.626  0.280 0.463  0.251 0.290  0.251 0.108  0.219 -0.069  0.207 -0.249  0.193 -0.428  0.136 -0.601  0.117 -0.779  0.061 -0.937  -0.015 -1.098  -0.109 -1.241  -0.219 -1.385  -0.348 -1.467  -0.461 -1.574  -0.637 -1.599  -0.691 -1.446  -0.646 -1.283  -0.584 -1.116  -0.495 -0.960  -0.355 -0.849  -0.254 -0.698  -0.121 -0.593  0.035 -0.514  0.164 -0.387  0.330 -0.318  0.475 -0.209  0.628 -0.110  0.790 -0.029
1c#tos#f2#f2017063/j  0.628 0.632  0.628 0.594  0.658 0.470  0.673 0.345  0.673 0.218  0.673 0.091  0.673 -0.036  0.659 -0.161  0.628 -0.283  0.628 -0.410  0.584 -0.493  0.563 -0.616  0.515 -0.733  0.451 -0.838  0.407 -0.938  0.339 -1.028  0.274 -1.128  0.156 -1.137  0.029 -1.137  -0.096 -1.129  -0.209 -1.072  -0.331 -1.049  -0.438 -0.991  -0.479 -0.871  -0.599 -0.831  -0.714 -0.778  -0.832 -0.736  -0.863 -0.612  -0.876 -0.487  -0.841 -0.369  -0.779 -0.258  -0.716 -0.148  -0.653 -0.038  -0.590 0.073  -0.528 0.183  -0.465 0.294  -0.402 0.404  -0.339 0.515  -0.277 0.625  -0.214 0.736  -0.151 0.846  -0.088 0.956  -0.026 1.067  0.037 1.177  0.100 1.288  0.163 1.398  0.225 1.509  0.267 1.628  0.379 1.650  0.496 1.606
1c#tos#f2#f2017063/k  0.169 2.112  -0.043 2.112  -0.170 2.026  -0.201 1.818  -0.226 1.609  -0.226 1.397  -0.226 1.185  -0.229 0.973  -0.280 0.768  -0.282 0.556  -0.282 0.344  -0.282 0.132  -0.317 -0.066  -0.395 -0.246  -0.395 -0.458  -0.436 -0.657  -0.567 -0.823  -0.621 -1.013  -0.679 -1.189  -0.671 -1.201  -0.531 -1.042  -0.391 -0.882  -0.251 -0.723  -0.111 -0.564  0.029 -0.404  0.169 -0.245  0.309 -0.086  0.449 0.073  0.589 0.233  0.729 0.392  0.869 0.551  0.741 0.589  0.628 0.428  0.510 0.256  0.361 0.105  0.182 0.025  0.049 -0.102  -0.103 -0.201  -0.301 -0.257  -0.433 -0.369  -0.564 -0.465  -0.370 -0.483  -0.178 -0.531  0.007 -0.599  0.206 -0.652  0.372 -0.765  0.577 -0.807  0.773 -0.877  0.916 -0.990  1.128 -0.990
1c#tos#f2#f2017063/n  -0.045 1.472  -0.142 1.342  -0.175 1.198  -0.203 1.028  -0.296 0.878  -0.402 0.737  -0.433 0.570  -0.442 0.394  -0.477 0.221  -0.545 0.066  -0.563 -0.104  -0.567 -0.279  -0.715 -0.377  -0.757 -0.531  -0.757 -0.708  -0.757 -0.885  -0.757 -1.062  -0.814 -1.182  -0.886 -1.077  -0.871 -0.907  -0.798 -0.757  -0.700 -0.610  -0.628 -0.451  -0.569 -0.288  -0.466 -0.147  -0.433 0.023  -0.356 0.152  -0.191 0.215  -0.110 0.333  -0.044 0.469  0.115 0.548  0.149 0.704  0.270 0.760  0.371 0.871  0.544 0.889  0.715 0.865  0.818 0.760  0.921 0.640  0.978 0.473  0.990 0.298  0.990 0.121  0.990 -0.056  0.981 -0.230  0.901 -0.389  0.861 -0.556  0.861 -0.733  0.861 -0.910  0.861 -1.087  0.861 -1.264  0.861 -1.441
1c#tos#f2#f2017063/q  0.562 1.163  0.502 1.281  0.351 1.341  0.175 1.341  -0.001 1.332  -0.159 1.265  -0.244 1.111  -0.351 0.974  -0.510 0.895  -0.629 0.771  -0.684 0.611  -0.780 0.474  -0.821 0.315  -0.946 0.190  -0.980 0.027  -0.980 -0.150  -0.980 -0.326  -0.980 -0.503  -0.857 -0.557  -0.680 -0.557  -0.504 -0.557  -0.327 -0.557  -0.156 -0.530  -0.005 -0.440  0.087 -0.312  0.199 -0.204  0.366 -0.147  0.384 0.016  0.471 0.167  0.621 0.215  0.621 0.392  0.621 0.569  0.680 0.721  0.680 0.717  0.659 0.549  0.544 0.417  0.502 0.250  0.466 0.082  0.441 -0.089  0.385 -0.257  0.319 -0.421  0.265 -0.587  0.265 -0.764  0.265 -0.941  0.230 -1.113  0.206 -1.287  0.206 -1.464  0.206 -1.641  0.147 -1.803  0.147 -1.980
1c#tos#f2#f2017063/t  0.719 1.683  0.577 1.627  0.577 1.428  0.501 1.248  0.412 1.071  0.314 0.899  0.202 0.735  0.083 0.577  -0.024 0.411  -0.061 0.221  -0.079 0.029  -0.198 -0.129  -0.296 -0.299  -0.365 -0.484  -0.454 -0.662  -0.486 -0.852  -0.486 -1.051  -0.486 -1.249  -0.486 -1.447  -0.374 -1.575  -0.176 -1.575  0.023 -1.575  0.214 -1.531  0.294 -1.390  0.349 -1.209  0.469 -1.054  0.628 -0.935  0.671 -0.797  0.559 -0.633  0.448 -0.469  0.336 -0.305  0.225 -0.141  0.113 0.023  0.002 0.187  -0.109 0.351  -0.221 0.515  -0.332 0.679  -0.444 0.843  -0.556 0.809  -0.637 0.691  -0.835 0.691  -0.840 0.498  -0.660 0.479  -0.462 0.479  -0.264 0.479  -0.070 0.512  0.124 0.550  0.322 0.550  0.520 0.550  0.719 0.550
1c#tos#f2#f2017063/u  -0.211 1.333  -0.379 1.284  -0.488 1.198  -0.525 1.057  -0.661 0.986  -0.695 0.815  -0.764 0.665  -0.764 0.486  -0.806 0.324  -0.902 0.184  -0.902 0.005  -0.902 -0.174  -0.902 -0.353  -1.026 -0.456  -1.040 -0.626  -1.040 -0.805  -1.002 -0.946  -0.892 -1.016  -0.713 -1.016  -0.541 -0.999  -0.384 -0.946  -0.246 -0.878  -0.166 -0.718  -0.017 -0.670  0.141 -0.591  0.240 -0.442  0.322 -0.308  0.489 -0.247  0.615 -0.120  0.618 0.058  0.750 0.156  0.756 0.331  0.789 0.502  0.849 0.670  0.892 0.844  0.894 1.023  0.894 1.049  0.860 0.884  0.767 0.733  0.718 0.562  0.665 0.391  0.618 0.223  0.603 0.047  0.546 -0.123  0.479 -0.287  0.479 -0.466  0.479 -0.645  0.479 -0.824  0.479 -1.003  0.548 -1.154
1c#tos#f2#f2017063/x  -0.728 1.524  -0.728 1.331  -0.799 1.211  -0.784 1.114  -0.696 0.961  -0.620 0.791  -0.484 0.655  -0.353 0.518  -0.353 0.326  -0.227 0.211  -0.102 0.096  -0.102 -0.096  -0.102 -0.289  -0.043 -0.444  0.129 -0.530  0.202 -0.702  0.299 -0.852  0.416 -0.943  0.454 -1.132  0.536 -1.158  0.573 -0.969  0.609 -0.781  0.646 -0.592  0.683 -0.403  0.719 -0.215  0.756 -0.026  0.793 0.163  0.830 0.351  0.866 0.540  0.903 0.728  0.940 0.917  0.876 1.024  0.694 0.984  0.511 0.950  0.376 0.814  0.240 0.678  0.210 0.498  0.138 0.341  -0.012 0.221  -0.131 0.077  -0.202 -0.101  -0.315 -0.252  -0.451 -0.388  -0.557 -0.547  -0.656 -0.712  -0.755 -0.877  -0.854 -1.041  -0.990 -1.177  -1.121 -1.317  -1.228 -1.477
1c#tos#f2#f2017063/z  -0.235 1.716  -0.333 1.564  -0.290 1.416  -0.074 1.416  0.142 1.416  0.359 1.416  0.575 1.416  0.724 1.349  0.662 1.154  0.544 0.977  0.480 0.780  0.372 0.593  0.232 0.432  0.135 0.238  0.059 0.065  -0.130 -0.037  -0.283 -0.190  -0.384 -0.380  -0.486 -0.568  -0.637 -0.707  -0.715 -0.905  -0.852 -1.037  -0.966 -1.197  -0.913 -1.161  -0.705 -1.127  -0.495 -1.101  -0.279 -1.101  -0.063 -1.101  0.153 -1.101  0.369 -1.101  0.586 -1.101  0.774 -1.086  0.659 -0.904  0.543 -0.721  0.427 -0.538  0.312 -0.356  0.196 -0.173  0.080 0.009  -0.035 0.192  -0.151 0.375  -0.267 0.557  -0.355 0.646  -0.470 0.465  -0.387 0.282  -0.253 0.115  -0.076 -0.008  0.109 -0.101  0.292 -0.202  0.508 -0.202  0.544 -0.382
