1c#tos#f1#f1035060/a  0.805 0.409  0.868 0.529  0.868 0.712  0.846 0.890  0.805 1.063  0.744 1.220  0.562 1.222  0.379 1.222  0.201 1.201  0.034 1.126  -0.135 1.058  -0.195 0.916  -0.362 0.853  -0.383 0.686  -0.470 0.562  -0.640 0.494  -0.725 0.352  -0.780 0.179  -0.821 0.006  -0.881 -0.152  -1.008 -0.282  -1.033 -0.463  -1.068 -0.642  -1.071 -0.825  -1.071 -1.007  -1.035 -1.154  -0.852 -1.154  -0.674 -1.140  -0.522 -1.039  -0.381 -0.924  -0.233 -0.817  -0.133 -0.676  -0.063 -0.522  0.062 -0.389  0.144 -0.226  0.192 -0.054  0.242 0.121  0.242 0.304  0.305 0.424  0.367 0.398  0.367 0.215  0.367 0.032  0.448 -0.119  0.550 -0.271  0.555 -0.452  0.715 -0.520  0.791 -0.675  0.867 -0.841  1.033 -0.882  1.180 -0.967
1c#tos#f1#f1035060/b  -0.193 2.185  -0.193 2.091  -0.193 1.889  -0.193 1.688  -0.193 1.487  -0.169 1.289  -0.140 1.091  -0.140 0.890  -0.140 0.689  -0.140 0.487  -0.106 0.290  -0.086 0.091  -0.086 -0.110  -0.086 -0.311  -0.086 -0.512  -0.086 -0.713  -0.086 -0.915  -0.041 -1.105  -0.033 -1.304  -0.033 -1.376  -0.050 -1.178  -0.086 -0.982  -0.193 -0.825  -0.193 -0.624  -0.272 -0.456  -0.300 -0.266  -0.343 -0.075  -0.353 0.124  -0.353 0.325  -0.300 0.473  -0.162 0.567  0.037 0.585  0.238 0.585  0.440 0.585  0.641 0.585  0.767 0.469  0.898 0.338  0.927 0.153  0.927 -0.049  0.809 -0.187  0.683 -0.340  0.535 -0.464  0.398 -0.602  0.222 -0.700  0.048 -0.800  -0.131 -0.887  -0.322 -0.951  -0.504 -1.036  -0.698 -1.068  -0.886 -1.121
1c#tos#f1#f1035060/e  -0.431 0.247  -0.431 0.085  -0.431 -0.076  -0.337 -0.144  -0.175 -0.144  -0.014 -0.144  0.148 -0.144  0.288 -0.093  0.403 0.021  0.552 0.069  0.711 0.079  0.798 0.199  0.849 0.352  0.961 0.468  1.019 0.573  1.019 0.734  0.993 0.885  0.857 0.969  0.765 1.083  0.616 1.139  0.455 1.139  0.293 1.139  0.132 1.139  -0.000 1.068  -0.142 1.002  -0.296 0.955  -0.408 0.851  -0.522 0.743  -0.598 0.623  -0.614 0.463  -0.653 0.306  -0.711 0.162  -0.766 0.017  -0.766 -0.144  -0.856 -0.279  -0.877 -0.434  -0.877 -0.595  -0.799 -0.724  -0.766 -0.872  -0.680 -0.969  -0.584 -1.092  -0.423 -1.094  -0.270 -1.145  -0.117 -1.197  0.044 -1.203  0.205 -1.203  0.367 -1.203  0.528 -1.203  0.690 -1.203  0.851 -1.203
1c#tos#f1#f1035060/f  0.736 1.429  0.641 1.349  0.496 1.349  0.418 1.416  0.326 1.469  0.206 1.534  0.099 1.608  0.020 1.568  0.020 1.423  0.020 1.278  0.020 1.133  0.020 0.988  0.020 0.843  0.020 0.698  0.026 0.554  0.050 0.411  0.092 0.273  0.142 0.138  0.171 -0.004  0.179 -0.148  0.179 -0.293  0.207 -0.435  0.249 -0.573  0.258 -0.717  0.258 -0.862  0.258 -1.006  0.191 -1.103  0.064 -1.170  -0.045 -1.264  -0.171 -1.335  -0.229 -1.444  -0.320 -1.416  -0.364 -1.278  -0.408 -1.140  -0.453 -1.002  -0.497 -0.864  -0.542 -0.726  -0.586 -0.588  -0.631 -0.450  -0.675 -0.312  -0.664 -0.284  -0.526 -0.244  -0.383 -0.221  -0.242 -0.195  -0.105 -0.164  0.007 -0.085  0.152 -0.080  0.290 -0.039  0.433 -0.016  0.577 -0.005
1c#tos#f1#f1035060/g  0.291 0.643  0.291 0.435  0.387 0.606  0.554 0.773  0.646 0.971  0.646 1.208  0.581 1.417  0.355 1.442  0.140 1.353  -0.064 1.254  -0.223 1.099  -0.377 0.931  -0.466 0.727  -0.508 0.497  -0.508 0.261  -0.448 0.050  -0.223 0.021  -0.025 0.123  0.161 0.254  0.278 0.453  0.421 0.637  0.424 0.873  0.327 0.977  0.232 0.762  0.157 0.556  0.144 0.322  0.113 0.089  0.024 -0.120  0.024 -0.357  0.024 -0.593  0.008 -0.828  -0.020 -1.062  -0.020 -1.298  -0.111 -1.445  -0.230 -1.637  -0.459 -1.665  -0.674 -1.605  -0.857 -1.501  -0.903 -1.275  -0.908 -1.040  -0.793 -0.866  -0.699 -0.695  -0.483 -0.603  -0.274 -0.503  -0.067 -0.394  0.161 -0.333  0.389 -0.271  0.621 -0.241  0.853 -0.200  1.089 -0.200
1c#tos#f1#f1035060/h  -0.134 1.855  -0.228 1.751  -0.236 1.590  -0.275 1.433  -0.336 1.284  -0.368 1.126  -0.368 0.964  -0.368 0.802  -0.395 0.643  -0.415 0.483  -0.415 0.321  -0.462 0.167  -0.462 0.005  -0.462 -0.157  -0.466 -0.318  -0.497 -0.477  -0.534 -0.635  -0.606 -0.773  -0.650 -0.917  -0.650 -1.022  -0.697 -0.880  -0.697 -0.718  -0.697 -0.556  -0.696 -0.394  -0.631 -0.254  -0.603 -0.095  -0.603 0.067  -0.507 0.170  -0.415 0.294  -0.314 0.355  -0.153 0.355  -0.002 0.308  0.096 0.219  0.147 0.079  0.241 -0.025  0.241 -0.187  0.326 -0.296  0.334 -0.453  0.396 -0.565  0.475 -0.672  0.586 -0.723  0.748 -0.723  0.910 -0.718  1.060 -0.661  1.187 -0.564  1.259 -0.419  1.402 -0.376  1.557 -0.348  1.637 -0.235  1.740 -0.113
1c#tos#f1#f1035060/i  -0.106 1.566  -0.054 1.513  0.017 1.503  0.026 1.434  0.079 1.381  0.082 1.308  0.099 1.244  0.166 1.211  0.207 1.161  0.236 1.099  0.270 1.038  0.270 0.963  0.253 0.892  0.228 0.822  0.203 0.751  0.177 0.681  0.152 0.611  0.127 0.540  0.102 0.470  0.077 0.400  0.052 0.330  0.027 0.259  0.002 0.189  -0.023 0.119  -0.044 0.048  -0.044 -0.027  -0.044 -0.101  -0.079 -0.161  -0.132 -0.214  -0.169 -0.273  -0.169 -0.348  -0.169 -0.423  -0.169 -0.497  -0.147 -0.568  -0.123 -0.639  -0.106 -0.711  -0.106 -0.785  -0.106 -0.860  -0.106 -0.935  -0.106 -1.009  -0.106 -1.084  -0.106 -1.159  -0.106 -1.233  -0.106 -1.308  -0.106 -1.382  -0.106 -1.457  -0.079 -1.505  -0.044 -1.544  -0.044 -1.618  -0.044 -1.693
1c#tos#f1#f1035060/j  -0.108 1.341  -0.116 1.341  -0.029 1.341  0.034 1.318  0.097 1.294  0.184 1.294  0.266 1.273  0.346 1.247  0.414 1.227  0.380 1.151  0.330 1.080  0.281 1.009  0.231 0.938  0.181 0.867  0.131 0.796  0.081 0.725  -0.005 0.725  -0.013 0.646  -0.013 0.559  -0.013 0.472  -0.013 0.386  0.008 0.304  0.034 0.223  0.056 0.140  0.082 0.057  0.082 -0.029  0.089 -0.115  0.106 -0.201  0.123 -0.286  0.129 -0.372  0.129 -0.459  0.129 -0.545  0.129 -0.632  0.129 -0.719  0.129 -0.806  0.129 -0.892  0.084 -0.934  0.082 -1.019  0.062 -1.097  -0.012 -1.139  -0.094 -1.167  -0.131 -1.227  -0.213 -1.254  -0.298 -1.266  -0.385 -1.266  -0.472 -1.266  -0.559 -1.266  -0.645 -1.266  -0.732 -1.266  -0.819 -1.266
1c#tos#f1#f1035060/k  -0.472 2.146  -0.542 2.006  -0.542 1.795  -0.542 1.584  -0.542 1.373  -0.542 1.162  -0.508 0.961  -0.401 0.783  -0.401 0.572  -0.401 0.361  -0.401 0.150  -0.401 -0.061  -0.401 -0.272  -0.401 -0.483  -0.401 -0.694  -0.398 -0.904  -0.330 -1.099  -0.330 -1.310  -0.305 -1.417  -0.208 -1.230  -0.111 -1.043  -0.014 -0.855  0.082 -0.668  0.179 -0.480  0.276 -0.293  0.373 -0.105  0.469 0.082  0.566 0.270  0.663 0.457  0.760 0.645  0.707 0.665  0.540 0.537  0.338 0.517  0.163 0.408  -0.009 0.288  -0.203 0.205  -0.399 0.128  -0.563 0.000  -0.656 -0.149  -0.488 -0.275  -0.294 -0.333  -0.100 -0.404  0.096 -0.452  0.275 -0.565  0.473 -0.616  0.684 -0.616  0.895 -0.616  1.095 -0.634  1.230 -0.758  1.441 -0.758
1c#tos#f1#f1035060/l  0.044 1.648  -0.012 1.634  -0.012 1.565  -0.012 1.495  -0.012 1.426  -0.012 1.356  -0.012 1.287  -0.012 1.217  -0.012 1.147  -0.012 1.078  -0.012 1.008  -0.012 0.939  -0.012 0.869  -0.012 0.799  -0.012 0.730  -0.012 0.660  -0.012 0.591  -0.012 0.521  -0.012 0.452  -0.012 0.382  -0.012 0.312  -0.012 0.243  -0.012 0.173  -0.012 0.104  -0.012 0.034  -0.012 -0.035  -0.012 -0.105  -0.012 -0.175  -0.012 -0.244  -0.012 -0.314  -0.012 -0.383  -0.012 -0.453  -0.012 -0.523  -0.012 -0.592  -0.012 -0.662  -0.012 -0.731  -0.012 -0.801  -0.012 -0.870  -0.012 -0.940  -0.000 -1.008  0.022 -1.074  0.044 -1.140  0.044 -1.209  0.044 -1.279  0.044 -1.348  0.044 -1.418  0.044 -1.488  0.044 -1.557  0.044 -1.627  0.044 -1.696
1c#tos#f1#f1035060/m  -0.916 0.694  -0.861 0.877  -0.773 1.026  -0.751 0.811  -0.751 0.574  -0.751 0.336  -0.751 0.099  -0.751 -0.139  -0.826 -0.360  -0.861 -0.591  -0.909 -0.815  -0.972 -1.033  -0.972 -0.990  -0.902 -0.769  -0.861 -0.541  -0.707 -0.368  -0.695 -0.135  -0.483 -0.029  -0.474 0.203  -0.380 0.402  -0.290 0.602  -0.192 0.805  -0.087 0.672  -0.040 0.442  -0.032 0.206  -0.032 -0.031  -0.064 -0.265  -0.198 -0.389  -0.198 -0.626  -0.190 -0.515  -0.036 -0.336  0.055 -0.120  0.145 0.097  0.288 0.283  0.394 0.495  0.520 0.693  0.591 0.905  0.736 1.002  0.798 0.803  0.798 0.565  0.798 0.328  0.845 0.101  0.908 -0.121  0.909 -0.358  1.016 -0.571  1.224 -0.672  1.335 -0.854  1.573 -0.854  1.810 -0.854  1.959 -0.688
