2#apa#apa01#app0175/1  0.052 1.335  0.052 1.409  0.052 1.483  -0.018 1.487  -0.092 1.487  -0.100 1.422  -0.100 1.348  -0.100 1.274  -0.100 1.200  -0.100 1.127  -0.100 1.053  -0.100 0.979  -0.100 0.905  -0.100 0.832  -0.100 0.758  -0.100 0.684  -0.100 0.610  -0.100 0.536  -0.100 0.463  -0.100 0.389  -0.100 0.315  -0.100 0.241  -0.100 0.168  -0.100 0.094  -0.100 0.020  -0.083 -0.047  -0.031 -0.099  0.021 -0.151  0.052 -0.212  0.052 -0.286  0.052 -0.360  0.052 -0.433  0.052 -0.507  0.052 -0.581  0.052 -0.655  0.052 -0.728  0.052 -0.802  0.052 -0.876  0.052 -0.950  0.052 -1.023  0.052 -1.097  0.052 -1.171  0.053 -1.244  0.105 -1.296  0.157 -1.349  0.203 -1.403  0.203 -1.477  0.203 -1.551  0.203 -1.624  0.203 -1.698
2#apa#apa01#app0175/0  -0.384 0.918  -0.396 0.778  -0.524 0.753  -0.524 0.601  -0.573 0.498  -0.664 0.437  -0.664 0.285  -0.664 0.133  -0.664 -0.019  -0.774 -0.061  -0.803 -0.184  -0.803 -0.336  -0.803 -0.488  -0.789 -0.634  -0.681 -0.742  -0.664 -0.886  -0.565 -0.998  -0.458 -1.105  -0.336 -1.179  -0.184 -1.179  -0.032 -1.179  0.120 -1.179  0.272 -1.179  0.392 -1.102  0.518 -1.039  0.648 -0.985  0.756 -0.878  0.863 -0.770  0.874 -0.623  0.874 -0.471  0.874 -0.319  0.874 -0.166  0.874 -0.014  0.874 0.138  0.874 0.290  0.815 0.417  0.734 0.536  0.699 0.673  0.590 0.778  0.455 0.795  0.426 0.918  0.274 0.918  0.175 0.971  0.109 1.057  -0.043 1.057  -0.195 1.057  -0.244 0.955  -0.359 0.918  -0.511 0.918  -0.664 0.918
2#apa#apa01#app0175/0  -0.476 1.045  -0.476 0.896  -0.476 0.748  -0.486 0.610  -0.621 0.597  -0.621 0.449  -0.635 0.306  -0.740 0.201  -0.765 0.064  -0.765 -0.084  -0.765 -0.232  -0.765 -0.381  -0.765 -0.529  -0.674 -0.639  -0.621 -0.765  -0.567 -0.891  -0.463 -0.996  -0.358 -1.101  -0.221 -1.128  -0.106 -1.208  0.016 -1.272  0.164 -1.272  0.248 -1.208  0.316 -1.128  0.443 -1.078  0.548 -0.973  0.653 -0.868  0.683 -0.732  0.760 -0.616  0.827 -0.496  0.827 -0.348  0.827 -0.199  0.827 -0.051  0.827 0.097  0.827 0.245  0.755 0.321  0.683 0.397  0.603 0.465  0.538 0.548  0.538 0.696  0.448 0.755  0.327 0.821  0.222 0.926  0.118 1.030  -0.025 1.045  -0.041 1.176  -0.176 1.189  -0.324 1.189  -0.472 1.189  -0.621 1.189
2#apa#apa01#app0175/%  -0.963 0.639  -1.109 0.547  -1.241 0.439  -1.241 0.201  -1.089 0.025  -0.864 -0.009  -0.643 0.034  -0.474 0.202  -0.408 0.414  -0.421 0.639  -0.548 0.779  -0.729 0.917  -0.963 0.912  -0.999 0.835  -0.763 0.876  -0.528 0.917  -0.293 0.959  -0.058 1.000  0.177 1.042  0.412 1.083  0.425 1.063  0.333 0.917  0.240 0.717  0.192 0.498  0.088 0.302  -0.015 0.106  -0.053 -0.117  -0.130 -0.324  -0.223 -0.524  -0.236 -0.749  -0.315 -0.909  -0.219 -0.955  -0.028 -0.811  0.163 -0.668  0.354 -0.525  0.545 -0.382  0.736 -0.238  0.745 -0.337  0.576 -0.506  0.454 -0.657  0.425 -0.867  0.518 -1.013  0.705 -1.120  0.851 -1.212  1.058 -1.135  1.227 -0.966  1.258 -0.741  1.166 -0.595  1.019 -0.417  0.888 -0.286
2#apa#apa01#app0175/o  0.135 0.635  0.027 0.528  -0.094 0.453  -0.246 0.453  -0.398 0.453  -0.510 0.355  -0.627 0.271  -0.776 0.268  -0.776 0.116  -0.864 0.001  -0.958 -0.113  -0.958 -0.265  -0.958 -0.417  -0.958 -0.569  -0.958 -0.721  -0.908 -0.823  -0.776 -0.843  -0.776 -0.995  -0.634 -1.005  -0.482 -1.005  -0.329 -1.005  -0.177 -1.005  -0.025 -1.005  0.127 -1.005  0.279 -1.005  0.398 -0.924  0.508 -0.823  0.660 -0.823  0.682 -0.692  0.782 -0.640  0.864 -0.570  0.864 -0.418  0.864 -0.266  0.864 -0.114  0.864 0.038  0.864 0.190  0.864 0.342  0.835 0.482  0.727 0.590  0.682 0.723  0.624 0.818  0.480 0.837  0.373 0.945  0.265 1.052  0.157 1.160  0.015 1.182  -0.047 1.273  -0.107 1.364  -0.229 1.334  -0.229 1.182
2#apa#apa01#app0175/f  -0.166 -1.953  -0.166 -1.800  -0.166 -1.647  -0.166 -1.494  -0.207 -1.358  -0.304 -1.245  -0.304 -1.092  -0.304 -0.939  -0.304 -0.786  -0.304 -0.633  -0.366 -0.505  -0.443 -0.384  -0.443 -0.231  -0.443 -0.078  -0.443 0.075  -0.443 0.228  -0.525 0.347  -0.582 0.477  -0.582 0.630  -0.479 0.681  -0.443 0.798  -0.350 0.913  -0.304 1.047  -0.202 1.097  -0.048 1.097  0.105 1.097  0.119 1.236  0.272 1.236  0.425 1.236  0.528 1.185  0.593 1.097  0.746 1.097  0.805 1.003  0.805 0.850  0.739 0.716  0.657 0.587  0.574 0.457  0.492 0.328  0.410 0.199  0.328 0.070  0.246 -0.059  0.163 -0.188  0.081 -0.318  -0.001 -0.447  -0.083 -0.576  -0.165 -0.705  -0.058 -0.813  0.083 -0.844  0.236 -0.844  0.389 -0.844
2#apa#apa01#app0175/#  -0.486 1.111  -0.486 0.687  -0.486 0.263  -0.407 -0.082  -0.337 -0.437  -0.304 -0.828  -0.188 -1.136  -0.119 -1.000  -0.016 -0.588  0.087 -0.177  0.190 0.235  0.293 0.646  0.396 1.058  0.498 1.469  0.707 1.678  0.856 1.316  0.856 0.891  0.856 0.467  0.856 0.043  0.857 -0.381  1.005 -0.743  1.005 -1.168  0.991 -1.265  0.644 -1.021  0.298 -0.776  -0.049 -0.531  -0.395 -0.287  -0.742 -0.042  -1.088 0.202  -1.435 0.447  -1.269 0.402  -0.860 0.365  -0.486 0.415  -0.161 0.514  0.263 0.514  0.687 0.514  1.111 0.514  0.931 0.303  0.522 0.190  0.114 0.076  -0.295 -0.038  -0.704 -0.151  -1.112 -0.265  -1.521 -0.378  -1.115 -0.381  -0.840 -0.530  -0.416 -0.530  0.008 -0.530  0.432 -0.530  0.856 -0.530
2#apa#apa01#app0175/'  -0.411 1.358  -0.338 1.358  -0.266 1.358  -0.194 1.358  -0.122 1.358  -0.050 1.358  0.023 1.358  0.032 1.295  0.032 1.223  0.032 1.151  0.032 1.079  0.032 1.006  0.032 0.934  0.032 0.862  0.032 0.790  0.032 0.718  0.032 0.645  0.032 0.573  0.032 0.501  0.032 0.429  0.032 0.357  0.032 0.284  0.032 0.212  0.032 0.140  0.032 0.068  0.032 -0.005  0.032 -0.077  0.032 -0.149  0.032 -0.221  0.032 -0.293  0.032 -0.366  0.032 -0.438  0.032 -0.510  0.032 -0.582  0.032 -0.654  0.032 -0.727  0.032 -0.799  0.032 -0.871  0.032 -0.943  0.032 -1.015  0.032 -1.088  0.032 -1.160  0.032 -1.232  0.032 -1.304  0.032 -1.376  0.032 -1.449  0.032 -1.521  0.032 -1.593  0.032 -1.665  0.032 -1.738
2#apa#apa01#app0175/s  0.198 1.370  0.104 1.276  0.009 1.188  -0.123 1.188  -0.229 1.125  -0.322 1.031  -0.445 1.007  -0.528 0.959  -0.528 0.826  -0.659 0.825  -0.768 0.768  -0.861 0.674  -0.803 0.644  -0.710 0.604  -0.710 0.472  -0.588 0.462  -0.456 0.462  -0.324 0.462  -0.191 0.462  -0.059 0.462  0.073 0.462  0.205 0.462  0.337 0.462  0.379 0.372  0.420 0.280  0.552 0.280  0.561 0.158  0.634 0.099  0.743 0.075  0.743 -0.057  0.743 -0.189  0.743 -0.322  0.743 -0.454  0.743 -0.586  0.743 -0.718  0.713 -0.838  0.620 -0.931  0.512 -0.990  0.380 -0.990  0.379 -1.122  0.298 -1.172  0.165 -1.172  0.033 -1.172  -0.099 -1.172  -0.231 -1.172  -0.363 -1.172  -0.495 -1.172  -0.627 -1.172  -0.759 -1.172  -0.892 -1.172
2#apa#apa01#app0175/  0.763 1.259  0.763 1.181  0.763 1.212  0.732 1.259  0.662 1.250  0.662 1.172  0.599 1.157  0.561 1.117  0.549 1.044  0.494 0.989  0.460 0.925  0.453 0.854  0.375 0.854  0.359 0.792  0.359 0.714  0.347 0.640  0.292 0.585  0.257 0.522  0.253 0.445  0.198 0.390  0.148 0.331  0.113 0.262  0.078 0.192  0.036 0.127  -0.019 0.072  -0.046 0.005  -0.058 -0.068  -0.113 -0.123  -0.147 -0.187  -0.152 -0.264  -0.207 -0.319  -0.249 -0.379  -0.249 -0.457  -0.301 -0.514  -0.350 -0.572  -0.350 -0.650  -0.350 -0.728  -0.379 -0.794  -0.434 -0.849  -0.451 -0.920  -0.473 -0.989  -0.528 -1.044  -0.583 -1.099  -0.638 -1.155  -0.653 -1.226  -0.677 -1.295  -0.732 -1.350  -0.755 -1.419  -0.731 -1.473  -0.653 -1.473
2#apa#apa01#app0175/0  -0.252 0.728  -0.252 0.583  -0.386 0.572  -0.409 0.448  -0.521 0.415  -0.566 0.314  -0.655 0.258  -0.723 0.180  -0.723 0.034  -0.778 -0.056  -0.879 -0.100  -0.879 -0.246  -0.879 -0.391  -0.879 -0.537  -0.879 -0.683  -0.777 -0.786  -0.723 -0.909  -0.665 -0.997  -0.520 -0.997  -0.409 -1.032  -0.385 -1.154  -0.240 -1.154  -0.094 -1.153  0.009 -1.050  0.132 -0.997  0.218 -0.938  0.267 -0.840  0.401 -0.814  0.504 -0.711  0.532 -0.577  0.599 -0.459  0.689 -0.351  0.694 -0.207  0.797 -0.104  0.846 0.021  0.846 0.167  0.846 0.312  0.846 0.458  0.846 0.603  0.846 0.749  0.839 0.892  0.736 0.995  0.689 1.121  0.621 1.199  0.476 1.199  0.330 1.199  0.185 1.199  0.039 1.199  -0.107 1.199  -0.252 1.199
