2#apb#apb25#app2568/.  -0.255 -1.819  -0.238 -1.735  -0.221 -1.651  -0.205 -1.567  -0.188 -1.484  -0.171 -1.400  -0.154 -1.316  -0.138 -1.232  -0.121 -1.148  -0.104 -1.065  -0.087 -0.981  -0.071 -0.897  -0.054 -0.813  -0.037 -0.729  -0.020 -0.646  -0.004 -0.562  0.013 -0.478  0.030 -0.394  0.047 -0.311  0.063 -0.227  0.080 -0.143  0.097 -0.059  0.114 0.025  0.130 0.108  0.123 0.173  0.038 0.173  -0.048 0.173  -0.133 0.173  -0.219 0.173  -0.220 0.207  -0.160 0.268  -0.099 0.328  -0.039 0.388  0.021 0.449  0.082 0.509  0.142 0.570  0.143 0.655  0.143 0.740  0.143 0.826  0.143 0.911  0.143 0.997  0.143 1.082  0.143 1.167  0.143 1.253  0.143 1.338  0.143 1.424  0.143 1.509  0.143 1.595  0.143 1.680  0.143 1.766
2#apb#apb25#app2568/,  0.536 1.168  0.536 1.240  0.536 1.312  0.536 1.384  0.536 1.381  0.536 1.309  0.531 1.237  0.512 1.168  0.492 1.099  0.472 1.030  0.452 0.961  0.433 0.892  0.413 0.823  0.393 0.754  0.373 0.684  0.343 0.620  0.308 0.557  0.274 0.494  0.239 0.431  0.205 0.368  0.170 0.304  0.136 0.241  0.102 0.178  0.067 0.115  0.033 0.052  -0.002 -0.011  -0.036 -0.074  -0.071 -0.137  -0.105 -0.200  -0.138 -0.264  -0.167 -0.330  -0.196 -0.396  -0.224 -0.462  -0.253 -0.528  -0.282 -0.593  -0.311 -0.659  -0.340 -0.725  -0.368 -0.791  -0.397 -0.857  -0.426 -0.923  -0.455 -0.989  -0.484 -1.054  -0.513 -1.120  -0.541 -1.186  -0.570 -1.252  -0.599 -1.318  -0.628 -1.384  -0.657 -1.450  -0.685 -1.515  -0.714 -1.581
2#apb#apb25#app2568/;  0.156 1.272  0.190 1.341  0.215 1.403  0.156 1.421  0.156 1.498  0.197 1.441  0.220 1.371  0.215 1.295  0.210 1.218  0.206 1.141  0.201 1.064  0.197 0.987  0.192 0.911  0.187 0.834  0.183 0.757  0.178 0.680  0.173 0.604  0.169 0.527  0.164 0.450  0.159 0.373  0.155 0.297  0.150 0.220  0.145 0.143  0.141 0.066  0.136 -0.010  0.131 -0.087  0.127 -0.164  0.122 -0.241  0.117 -0.318  0.113 -0.394  0.108 -0.471  0.103 -0.548  0.099 -0.625  0.094 -0.701  0.079 -0.772  0.015 -0.815  -0.058 -0.830  -0.134 -0.830  -0.175 -0.892  -0.213 -0.959  -0.251 -1.026  -0.298 -1.086  -0.352 -1.141  -0.406 -1.195  -0.461 -1.250  -0.521 -1.298  -0.581 -1.345  -0.642 -1.392  -0.703 -1.439  -0.763 -1.487
2#apb#apb25#app2568/:  -0.292 0.953  -0.262 1.029  -0.231 1.105  -0.201 1.180  -0.171 1.256  -0.225 1.314  -0.198 1.253  -0.156 1.184  -0.109 1.150  -0.084 1.173  -0.048 1.107  -0.048 1.025  0.020 0.997  0.099 0.978  0.178 0.958  0.190 0.891  0.182 0.810  0.175 0.729  0.167 0.647  0.159 0.566  0.151 0.485  0.144 0.404  0.136 0.323  0.128 0.242  0.121 0.161  0.113 0.080  0.105 -0.001  0.097 -0.082  0.090 -0.163  0.082 -0.244  0.074 -0.325  0.067 -0.406  0.059 -0.487  0.051 -0.568  0.043 -0.649  0.036 -0.730  0.028 -0.811  0.020 -0.892  0.012 -0.973  0.005 -1.054  -0.003 -1.135  -0.011 -1.216  -0.018 -1.297  -0.026 -1.378  -0.034 -1.459  -0.042 -1.540  -0.060 -1.613  -0.133 -1.650  -0.210 -1.668  -0.170 -1.668
2#apb#apb25#app2568/$  0.495 0.537  0.227 0.751  -0.123 0.833  -0.477 0.837  -0.735 0.710  -0.471 0.491  -0.142 0.348  0.203 0.251  0.548 0.160  0.867 -0.003  1.078 -0.262  1.029 -0.613  0.823 -0.895  0.525 -1.089  0.193 -1.225  -0.154 -1.320  -0.507 -1.343  -0.564 -1.016  -0.587 -0.657  -0.610 -0.298  -0.632 0.061  -0.655 0.420  -0.677 0.779  -0.700 1.138  -0.737 1.460  -0.623 1.132  -0.498 0.795  -0.386 0.453  -0.281 0.109  -0.185 -0.238  -0.090 -0.585  0.004 -0.932  0.122 -1.272  0.245 -1.609  0.308 -1.733  0.277 -1.375  0.245 -1.016  0.214 -0.658  0.182 -0.299  0.151 0.059  0.120 0.417  0.088 0.776  0.057 1.134  0.026 1.492  0.038 1.405  0.108 1.054  0.233 0.717  0.356 0.379  0.476 0.040  0.597 -0.299
2#apb#apb25#app2568/#  -0.378 1.167  -0.246 0.790  -0.127 0.404  -0.024 0.015  0.037 -0.383  0.072 -0.785  0.196 -1.088  0.274 -0.692  0.353 -0.296  0.431 0.100  0.509 0.496  0.588 0.891  0.666 1.287  0.698 0.998  0.816 0.613  0.923 0.224  1.018 -0.168  1.111 -0.560  1.234 -0.945  0.949 -0.912  0.588 -0.730  0.228 -0.548  -0.132 -0.367  -0.492 -0.185  -0.853 -0.003  -1.213 0.179  -1.573 0.360  -1.499 0.469  -1.097 0.505  -0.694 0.519  -0.291 0.519  0.113 0.519  0.516 0.519  0.919 0.531  1.173 0.579  0.789 0.456  0.404 0.334  0.020 0.212  -0.365 0.089  -0.749 -0.033  -1.134 -0.155  -1.518 -0.278  -1.663 -0.485  -1.280 -0.592  -0.881 -0.648  -0.480 -0.693  -0.078 -0.658  0.323 -0.619  0.715 -0.526  1.106 -0.425
2#apb#apb25#app2568/&  -0.362 1.347  -0.223 1.451  -0.150 1.293  -0.031 1.142  0.057 0.966  0.137 0.786  0.211 0.602  0.277 0.417  0.339 0.229  0.395 0.040  0.437 -0.152  0.513 -0.333  0.596 -0.512  0.638 -0.705  0.674 -0.899  0.696 -1.094  0.583 -1.100  0.425 -0.981  0.309 -0.825  0.191 -0.675  0.018 -0.580  -0.154 -0.484  -0.294 -0.345  -0.444 -0.221  -0.626 -0.143  -0.803 -0.056  -0.966 0.053  -1.156 0.077  -1.353 0.077  -1.470 -0.064  -1.527 -0.248  -1.399 -0.386  -1.239 -0.488  -1.042 -0.488  -0.845 -0.488  -0.653 -0.443  -0.463 -0.392  -0.272 -0.341  -0.084 -0.281  0.104 -0.222  0.292 -0.162  0.462 -0.068  0.616 0.055  0.770 0.178  0.919 0.306  1.025 0.473  1.131 0.639  1.194 0.825  1.245 1.015  1.296 1.206
2#apb#apb25#app2568/!  0.131 2.200  0.078 2.141  0.078 1.995  0.064 1.850  0.056 1.706  0.072 1.561  0.097 1.418  0.129 1.275  0.199 1.148  0.268 1.020  0.338 0.893  0.422 0.774  0.469 0.645  0.433 0.503  0.397 0.362  0.361 0.221  0.325 0.080  0.290 -0.061  0.254 -0.202  0.218 -0.344  0.182 -0.485  0.146 -0.626  0.110 -0.767  0.074 -0.908  0.048 -1.000  0.182 -1.022  0.124 -0.889  0.066 -0.755  0.008 -0.622  -0.050 -0.488  -0.082 -0.349  -0.109 -0.230  -0.249 -0.249  -0.381 -0.308  -0.525 -0.332  -0.622 -0.437  -0.720 -0.545  -0.797 -0.664  -0.781 -0.807  -0.683 -0.902  -0.551 -0.939  -0.407 -0.921  -0.266 -0.883  -0.126 -0.845  -0.002 -0.769  0.119 -0.688  0.224 -0.588  0.253 -0.456  0.138 -0.374  -0.002 -0.334
2#apb#apb25#app2568/?  -0.606 0.294  -0.719 0.294  -0.820 0.269  -0.881 0.298  -0.839 0.402  -0.748 0.455  -0.675 0.540  -0.601 0.624  -0.506 0.683  -0.410 0.743  -0.308 0.789  -0.206 0.835  -0.110 0.892  -0.017 0.955  0.082 1.000  0.194 1.012  0.305 1.025  0.408 1.069  0.515 1.097  0.603 1.053  0.648 0.951  0.666 0.844  0.635 0.736  0.589 0.635  0.533 0.537  0.464 0.450  0.391 0.365  0.318 0.279  0.247 0.193  0.174 0.108  0.101 0.022  0.063 -0.083  0.020 -0.186  -0.023 -0.290  -0.029 -0.401  -0.029 -0.513  0.046 -0.585  0.094 -0.676  0.087 -0.788  0.080 -0.900  0.073 -1.012  0.066 -1.124  0.059 -1.236  0.052 -1.348  0.045 -1.460  0.038 -1.572  0.031 -1.684  0.024 -1.796  -0.044 -1.854  -0.079 -1.941
2#apb#apb25#app2568/  0.337 0.947  0.386 1.005  0.434 1.063  0.483 1.121  0.519 1.187  0.547 1.257  0.586 1.311  0.588 1.253  0.569 1.180  0.536 1.113  0.502 1.045  0.468 0.977  0.433 0.911  0.397 0.844  0.361 0.778  0.326 0.711  0.290 0.644  0.255 0.578  0.219 0.511  0.189 0.442  0.161 0.372  0.134 0.301  0.107 0.231  0.079 0.160  0.052 0.090  0.024 0.020  -0.003 -0.051  -0.031 -0.121  -0.065 -0.188  -0.099 -0.256  -0.133 -0.323  -0.166 -0.391  -0.200 -0.459  -0.234 -0.526  -0.268 -0.594  -0.301 -0.661  -0.333 -0.730  -0.365 -0.798  -0.397 -0.866  -0.430 -0.935  -0.462 -1.003  -0.494 -1.072  -0.526 -1.140  -0.558 -1.208  -0.585 -1.279  -0.612 -1.349  -0.639 -1.420  -0.666 -1.490  -0.693 -1.561  -0.721 -1.631
2#apb#apb25#app2568/'  -0.341 0.530  -0.372 0.609  -0.404 0.688  -0.436 0.767  -0.467 0.846  -0.499 0.925  -0.531 1.004  -0.562 1.083  -0.562 1.168  -0.504 1.194  -0.419 1.194  -0.334 1.191  -0.258 1.153  -0.182 1.115  -0.119 1.069  -0.119 0.983  -0.119 0.898  -0.119 0.813  -0.119 0.728  -0.119 0.643  -0.119 0.558  -0.119 0.473  -0.109 0.389  -0.082 0.308  -0.055 0.227  -0.029 0.147  -0.002 0.066  0.025 -0.015  0.052 -0.096  0.079 -0.176  0.107 -0.257  0.138 -0.336  0.170 -0.415  0.202 -0.494  0.233 -0.573  0.265 -0.652  0.296 -0.731  0.326 -0.811  0.340 -0.895  0.354 -0.979  0.368 -1.063  0.382 -1.147  0.396 -1.231  0.410 -1.315  0.424 -1.399  0.443 -1.481  0.481 -1.557  0.519 -1.633  0.546 -1.712  0.546 -1.798
