2#apa#apa20#app2009/{  0.269 1.221  0.394 1.221  0.339 1.285  0.278 1.349  0.216 1.413  0.091 1.413  -0.034 1.413  -0.133 1.349  -0.234 1.292  -0.292 1.221  -0.306 1.109  -0.275 0.997  -0.227 0.901  -0.169 0.828  -0.081 0.740  0.014 0.691  0.085 0.610  0.141 0.520  0.205 0.458  0.269 0.397  0.323 0.326  0.333 0.211  0.333 0.086  0.269 -0.013  0.189 -0.058  0.128 -0.122  0.011 -0.155  -0.107 -0.186  -0.168 -0.250  -0.063 -0.250  -0.002 -0.314  0.123 -0.314  0.141 -0.421  0.106 -0.524  0.014 -0.592  -0.064 -0.648  -0.153 -0.736  -0.241 -0.825  -0.348 -0.868  -0.434 -0.957  -0.434 -1.083  -0.434 -1.208  -0.370 -1.269  -0.262 -1.327  -0.205 -1.413  -0.086 -1.453  0.034 -1.475  0.147 -1.529  0.272 -1.529  0.397 -1.529
2#apa#apa20#app2009/B  -0.534 0.713  -0.534 0.484  -0.534 0.256  -0.534 0.028  -0.483 -0.189  -0.425 -0.404  -0.334 -0.610  -0.334 -0.839  -0.253 -1.048  -0.234 -1.272  -0.315 -1.304  -0.406 -1.113  -0.434 -0.896  -0.434 -0.668  -0.499 -0.455  -0.534 -0.235  -0.534 -0.006  -0.600 0.211  -0.634 0.434  -0.634 0.663  -0.634 0.891  -0.634 1.120  -0.538 1.308  -0.511 1.512  -0.283 1.512  -0.054 1.512  0.113 1.365  0.278 1.212  0.379 1.073  0.451 0.857  0.465 0.630  0.458 0.405  0.278 0.269  0.093 0.140  -0.125 0.113  -0.115 0.113  0.113 0.113  0.342 0.113  0.548 0.022  0.772 0.007  0.962 -0.086  1.124 -0.246  1.165 -0.457  1.165 -0.686  1.007 -0.801  0.871 -0.980  0.686 -1.086  0.499 -1.186  0.281 -1.228  0.066 -1.285
2#apa#apa20#app2009/r  -0.457 0.821  -0.457 0.694  -0.457 0.567  -0.457 0.441  -0.457 0.314  -0.457 0.187  -0.457 0.060  -0.457 -0.067  -0.457 -0.194  -0.457 -0.320  -0.457 -0.447  -0.457 -0.574  -0.457 -0.701  -0.457 -0.828  -0.457 -0.954  -0.457 -1.081  -0.457 -1.208  -0.457 -1.335  -0.405 -1.410  -0.279 -1.410  -0.209 -1.353  -0.209 -1.226  -0.165 -1.118  -0.075 -1.028  0.015 -0.939  0.039 -0.822  0.039 -0.695  0.039 -0.568  0.039 -0.441  0.086 -0.325  0.142 -0.212  0.199 -0.099  0.256 0.015  0.287 0.134  0.287 0.261  0.287 0.388  0.287 0.515  0.287 0.642  0.287 0.768  0.361 0.821  0.488 0.821  0.535 0.901  0.535 1.028  0.535 1.154  0.535 1.281  0.599 1.381  0.689 1.471  0.779 1.561  0.904 1.565  1.031 1.565
2#apa#apa20#app2009/a  -0.823 1.074  -0.648 1.090  -0.616 1.248  -0.474 1.297  -0.409 1.423  -0.243 1.365  -0.101 1.248  0.078 1.219  0.212 1.084  0.397 1.073  0.415 0.900  0.595 0.876  0.730 0.741  0.746 0.557  0.561 0.551  0.397 0.525  0.354 0.377  0.164 0.377  -0.027 0.377  -0.217 0.377  -0.376 0.301  -0.511 0.166  -0.645 0.032  -0.660 -0.146  -0.823 -0.174  -0.854 -0.351  -0.989 -0.486  -0.994 -0.672  -0.859 -0.806  -0.823 -0.982  -0.668 -1.017  -0.477 -1.017  -0.291 -1.008  -0.156 -0.873  0.022 -0.843  0.212 -0.843  0.229 -0.668  0.397 -0.646  0.435 -0.494  0.571 -0.440  0.571 -0.249  0.484 -0.146  0.397 -0.249  0.397 -0.439  0.397 -0.630  0.504 -0.776  0.639 -0.910  0.774 -1.045  0.908 -1.180  1.094 -1.191
2#apa#apa20#app2009/c  0.911 0.441  0.911 0.536  0.911 0.630  0.889 0.704  0.795 0.704  0.700 0.704  0.648 0.746  0.648 0.841  0.648 0.935  0.585 0.966  0.490 0.966  0.395 0.966  0.301 0.966  0.206 0.966  0.112 0.966  0.017 0.966  -0.078 0.966  -0.163 0.943  -0.230 0.877  -0.296 0.810  -0.363 0.743  -0.402 0.664  -0.402 0.570  -0.402 0.475  -0.402 0.381  -0.402 0.286  -0.402 0.191  -0.402 0.097  -0.402 0.002  -0.402 -0.092  -0.402 -0.187  -0.402 -0.282  -0.402 -0.376  -0.402 -0.471  -0.402 -0.565  -0.402 -0.660  -0.402 -0.755  -0.402 -0.849  -0.370 -0.936  -0.328 -1.021  -0.286 -1.105  -0.243 -1.190  -0.201 -1.275  -0.159 -1.359  -0.087 -1.397  0.007 -1.397  0.102 -1.397  0.123 -1.470  0.123 -1.565  0.123 -1.660
2#apa#apa20#app2009/e  -0.700 0.250  -0.586 0.135  -0.480 0.017  -0.480 -0.146  -0.362 -0.190  -0.200 -0.190  -0.038 -0.190  0.124 -0.190  0.287 -0.190  0.449 -0.190  0.611 -0.190  0.774 -0.190  0.840 -0.094  0.878 0.030  1.040 0.030  1.060 0.173  1.060 0.335  1.041 0.489  0.926 0.604  0.812 0.719  0.697 0.834  0.620 0.964  0.620 1.126  0.462 1.130  0.300 1.130  0.137 1.130  -0.025 1.130  -0.187 1.130  -0.260 1.041  -0.283 0.888  -0.397 0.773  -0.480 0.645  -0.480 0.483  -0.586 0.364  -0.700 0.250  -0.700 0.087  -0.700 -0.075  -0.700 -0.237  -0.700 -0.400  -0.700 -0.562  -0.700 -0.724  -0.675 -0.876  -0.560 -0.991  -0.445 -1.105  -0.330 -1.220  -0.232 -1.347  -0.159 -1.492  -0.087 -1.637  0.018 -1.731  0.180 -1.731
2#apa#apa20#app2009/Y  -1.004 1.442  -0.941 1.317  -0.878 1.191  -0.815 1.065  -0.753 0.940  -0.736 0.803  -0.701 0.668  -0.657 0.535  -0.612 0.401  -0.554 0.274  -0.491 0.148  -0.404 0.040  -0.299 -0.005  -0.182 0.072  -0.065 0.150  0.052 0.228  0.168 0.306  0.285 0.384  0.402 0.462  0.519 0.540  0.636 0.618  0.753 0.696  0.868 0.773  0.735 0.765  0.721 0.640  0.580 0.640  0.448 0.620  0.348 0.520  0.249 0.421  0.136 0.340  0.011 0.277  -0.105 0.201  -0.201 0.100  -0.201 -0.041  -0.201 -0.181  -0.184 -0.315  -0.084 -0.414  -0.067 -0.547  -0.067 -0.688  0.025 -0.790  0.103 -0.905  0.166 -1.031  0.245 -1.145  0.334 -1.248  0.334 -1.389  0.334 -1.529  0.359 -1.660  0.458 -1.759  0.468 -1.896  0.468 -2.036
2#apa#apa20#app2009/o  0.083 0.952  0.083 1.085  -0.002 1.133  -0.135 1.133  -0.267 1.133  -0.400 1.133  -0.533 1.133  -0.652 1.110  -0.711 0.992  -0.771 0.873  -0.822 0.752  -0.822 0.620  -0.822 0.487  -0.822 0.354  -0.822 0.221  -0.822 0.089  -0.822 -0.044  -0.822 -0.177  -0.822 -0.310  -0.731 -0.405  -0.641 -0.500  -0.641 -0.633  -0.577 -0.739  -0.483 -0.833  -0.360 -0.857  -0.243 -0.893  -0.149 -0.987  -0.037 -1.038  0.096 -1.038  0.228 -1.038  0.361 -1.038  0.479 -1.002  0.573 -0.909  0.685 -0.857  0.806 -0.845  0.806 -0.713  0.874 -0.608  0.968 -0.514  0.987 -0.389  0.987 -0.257  0.987 -0.124  0.987 0.009  0.921 0.114  0.827 0.208  0.733 0.302  0.639 0.396  0.545 0.489  0.451 0.583  0.357 0.677  0.264 0.771
2#apa#apa20#app2009/u  -1.045 0.762  -1.131 0.848  -1.217 0.934  -1.168 0.964  -1.046 0.964  -1.045 0.844  -1.005 0.762  -0.884 0.762  -0.843 0.681  -0.843 0.560  -0.757 0.474  -0.671 0.388  -0.584 0.302  -0.498 0.216  -0.438 0.119  -0.438 -0.003  -0.438 -0.125  -0.438 -0.246  -0.354 -0.333  -0.268 -0.419  -0.236 -0.527  -0.236 -0.649  -0.153 -0.736  -0.067 -0.822  -0.034 -0.930  -0.034 -1.052  0.082 -1.058  0.204 -1.058  0.325 -1.058  0.447 -1.058  0.569 -1.058  0.572 -0.940  0.599 -0.829  0.685 -0.743  0.771 -0.657  0.775 -0.537  0.775 -0.415  0.775 -0.294  0.775 -0.172  0.775 -0.050  0.775 0.071  0.775 0.193  0.775 0.315  0.775 0.436  0.775 0.558  0.775 0.680  0.775 0.801  0.775 0.923  0.775 1.045  0.775 1.166
2#apa#apa20#app2009/r  -0.503 0.491  -0.503 0.359  -0.503 0.227  -0.503 0.094  -0.503 -0.038  -0.503 -0.170  -0.503 -0.302  -0.503 -0.435  -0.415 -0.530  -0.321 -0.624  -0.316 -0.754  -0.316 -0.886  -0.305 -1.014  -0.211 -1.107  -0.130 -1.206  -0.130 -1.338  -0.130 -1.470  -0.130 -1.522  -0.130 -1.390  -0.130 -1.258  -0.130 -1.125  -0.130 -0.993  -0.130 -0.861  -0.130 -0.729  -0.130 -0.596  -0.130 -0.464  -0.130 -0.332  -0.130 -0.200  -0.130 -0.067  -0.130 0.065  -0.130 0.197  -0.130 0.329  -0.130 0.462  -0.130 0.594  -0.108 0.721  -0.049 0.839  0.010 0.958  0.057 1.079  0.057 1.211  0.163 1.238  0.295 1.238  0.427 1.238  0.546 1.180  0.664 1.121  0.782 1.062  0.912 1.051  1.028 1.013  1.122 0.919  1.231 0.864  1.364 0.864
2#apa#apa20#app2009/s  0.233 0.874  0.118 0.874  0.026 0.929  -0.056 1.010  -0.154 1.068  -0.257 1.119  -0.359 1.171  -0.472 1.180  -0.587 1.180  -0.702 1.180  -0.817 1.180  -0.837 1.085  -0.837 0.970  -0.823 0.861  -0.742 0.779  -0.660 0.698  -0.579 0.617  -0.498 0.536  -0.417 0.455  -0.335 0.373  -0.254 0.292  -0.159 0.230  -0.056 0.179  0.046 0.127  0.149 0.076  0.252 0.025  0.355 -0.027  0.442 -0.099  0.524 -0.180  0.605 -0.262  0.686 -0.343  0.691 -0.456  0.741 -0.550  0.822 -0.631  0.844 -0.737  0.844 -0.852  0.838 -0.965  0.757 -1.046  0.670 -1.112  0.555 -1.112  0.440 -1.112  0.325 -1.112  0.210 -1.112  0.095 -1.112  -0.020 -1.112  -0.135 -1.112  -0.243 -1.095  -0.324 -1.013  -0.416 -0.959  -0.531 -0.959
