1c#app#app19#app1962/h  -0.748 1.284  -0.722 1.407  -0.650 1.512  -0.650 1.647  -0.650 1.568  -0.650 1.433  -0.592 1.323  -0.553 1.205  -0.553 1.070  -0.553 0.936  -0.553 0.802  -0.462 0.705  -0.455 0.573  -0.455 0.439  -0.455 0.305  -0.455 0.170  -0.455 0.036  -0.455 -0.099  -0.455 -0.233  -0.427 -0.363  -0.384 -0.490  -0.358 -0.620  -0.358 -0.755  -0.358 -0.889  -0.313 -1.005  -0.201 -1.059  -0.095 -0.991  0.027 -0.961  0.073 -0.839  0.116 -0.711  0.130 -0.579  0.219 -0.482  0.228 -0.351  0.271 -0.234  0.326 -0.123  0.326 0.012  0.423 0.049  0.493 0.113  0.618 0.103  0.665 0.015  0.716 -0.068  0.801 -0.167  0.827 -0.291  0.911 -0.390  0.911 -0.525  0.911 -0.659  1.000 -0.757  1.009 -0.887  1.009 -1.022  1.009 -1.156
1c#app#app19#app1962/e  -1.240 -0.391  -1.077 -0.391  -0.913 -0.391  -0.749 -0.391  -0.586 -0.391  -0.422 -0.391  -0.259 -0.391  -0.108 -0.336  0.038 -0.263  0.185 -0.189  0.302 -0.076  0.418 0.040  0.533 0.156  0.669 0.223  0.805 0.251  0.805 0.415  0.956 0.427  1.009 0.537  1.009 0.701  0.989 0.856  0.874 0.972  0.758 1.088  0.642 1.203  0.496 1.245  0.332 1.245  0.175 1.229  0.060 1.114  -0.056 0.998  -0.172 0.882  -0.316 0.836  -0.422 0.779  -0.434 0.620  -0.550 0.504  -0.627 0.372  -0.627 0.209  -0.627 0.045  -0.627 -0.119  -0.627 -0.282  -0.588 -0.430  -0.472 -0.545  -0.422 -0.688  -0.385 -0.837  -0.270 -0.952  -0.154 -1.068  -0.038 -1.184  0.077 -1.299  0.194 -1.413  0.358 -1.413  0.485 -1.502  0.600 -1.618
1c#app#app19#app1962/s  0.121 0.668  0.257 0.668  0.388 0.674  0.394 0.807  0.490 0.903  0.521 1.026  0.521 1.162  0.423 1.201  0.287 1.201  0.151 1.201  0.046 1.126  -0.050 1.029  -0.146 0.934  -0.282 0.934  -0.411 0.927  -0.421 0.801  -0.553 0.792  -0.649 0.696  -0.745 0.600  -0.810 0.491  -0.777 0.369  -0.681 0.273  -0.585 0.176  -0.466 0.135  -0.330 0.135  -0.194 0.135  -0.084 0.074  0.023 0.002  0.148 -0.024  0.244 -0.120  0.375 -0.131  0.475 -0.218  0.592 -0.264  0.654 -0.338  0.654 -0.474  0.654 -0.610  0.654 -0.746  0.594 -0.857  0.498 -0.953  0.402 -1.049  0.271 -1.063  0.170 -1.147  0.074 -1.243  -0.026 -1.329  -0.160 -1.337  -0.282 -1.398  -0.403 -1.458  -0.539 -1.462  -0.674 -1.462  -0.810 -1.462
1c#app#app19#app1962/o  0.166 0.736  0.018 0.736  -0.130 0.736  -0.221 0.679  -0.232 0.542  -0.380 0.542  -0.528 0.542  -0.607 0.474  -0.630 0.349  -0.778 0.349  -0.800 0.224  -0.881 0.156  -1.018 0.131  -1.123 0.027  -1.187 -0.094  -1.187 -0.242  -1.187 -0.390  -1.187 -0.538  -1.138 -0.666  -1.034 -0.770  -0.903 -0.810  -0.755 -0.810  -0.607 -0.810  -0.459 -0.810  -0.311 -0.810  -0.163 -0.810  -0.016 -0.810  0.132 -0.810  0.280 -0.810  0.408 -0.762  0.512 -0.657  0.644 -0.617  0.778 -0.585  0.883 -0.480  0.987 -0.375  1.092 -0.271  1.132 -0.140  1.132 0.008  1.132 0.156  1.132 0.304  1.132 0.452  1.075 0.542  0.939 0.554  0.939 0.702  0.825 0.736  0.677 0.736  0.536 0.752  0.431 0.857  0.314 0.929  0.166 0.929
1c#app#app19#app1962/o  0.292 0.330  0.292 0.504  0.292 0.678  0.138 0.698  -0.036 0.698  -0.210 0.698  -0.348 0.611  -0.482 0.514  -0.656 0.514  -0.813 0.497  -0.820 0.330  -0.994 0.330  -1.118 0.209  -1.182 0.061  -1.182 -0.113  -1.182 -0.287  -1.182 -0.461  -1.151 -0.622  -1.028 -0.745  -0.904 -0.868  -0.768 -0.959  -0.594 -0.959  -0.420 -0.959  -0.246 -0.959  -0.072 -0.959  0.102 -0.959  0.277 -0.959  0.451 -0.959  0.581 -0.854  0.704 -0.731  0.827 -0.608  0.994 -0.591  1.128 -0.492  1.213 -0.353  1.213 -0.179  1.213 -0.005  1.196 0.162  1.073 0.286  1.028 0.441  0.928 0.514  0.753 0.514  0.660 0.595  0.589 0.698  0.415 0.698  0.241 0.698  0.067 0.698  -0.107 0.698  -0.281 0.698  -0.445 0.688  -0.445 0.514
1c#app#app19#app1962/n  -1.170 0.960  -1.170 0.820  -1.170 0.680  -1.170 0.541  -1.170 0.401  -1.170 0.261  -1.170 0.122  -1.170 -0.018  -1.093 -0.126  -1.002 -0.228  -1.002 -0.367  -1.002 -0.507  -1.002 -0.647  -0.936 -0.721  -0.797 -0.721  -0.660 -0.714  -0.561 -0.616  -0.447 -0.553  -0.330 -0.530  -0.330 -0.391  -0.235 -0.290  -0.137 -0.191  -0.038 -0.093  0.084 -0.049  0.174 0.000  0.174 0.140  0.174 0.280  0.267 0.381  0.366 0.479  0.465 0.578  0.586 0.623  0.678 0.671  0.678 0.810  0.678 0.950  0.678 0.829  0.678 0.690  0.730 0.572  0.829 0.473  0.846 0.340  0.846 0.201  0.846 0.061  0.846 -0.079  0.847 -0.218  0.946 -0.317  1.014 -0.428  1.014 -0.568  1.014 -0.707  1.104 -0.810  1.182 -0.917  1.182 -1.057
1c#app#app19#app1962/t  -0.255 1.369  -0.165 1.441  -0.165 1.603  -0.075 1.675  -0.075 1.838  -0.075 1.820  -0.075 1.658  -0.075 1.496  -0.075 1.333  -0.075 1.171  -0.075 1.009  -0.075 0.847  -0.075 0.685  -0.075 0.523  -0.075 0.360  -0.075 0.198  -0.043 0.044  0.016 -0.105  0.016 -0.267  0.016 -0.429  0.086 -0.575  0.159 -0.720  0.231 -0.865  0.314 -1.002  0.429 -1.117  0.515 -1.252  0.619 -1.366  0.714 -1.403  0.595 -1.293  0.477 -1.182  0.358 -1.071  0.240 -0.961  0.121 -0.850  0.003 -0.739  -0.116 -0.629  -0.234 -0.518  -0.353 -0.408  -0.472 -0.297  -0.590 -0.186  -0.732 -0.190  -0.795 -0.180  -0.651 -0.163  -0.489 -0.163  -0.327 -0.163  -0.164 -0.163  -0.002 -0.163  0.160 -0.163  0.322 -0.163  0.484 -0.163  0.646 -0.163
1c#app#app19#app1962/o  0.116 0.610  0.284 0.610  0.119 0.610  -0.000 0.727  -0.146 0.780  -0.313 0.780  -0.481 0.780  -0.649 0.780  -0.730 0.693  -0.815 0.610  -0.958 0.551  -1.068 0.429  -1.068 0.262  -1.068 0.094  -1.068 -0.074  -1.068 -0.241  -1.068 -0.409  -1.065 -0.574  -0.899 -0.575  -0.899 -0.743  -0.749 -0.818  -0.599 -0.893  -0.436 -0.912  -0.269 -0.912  -0.101 -0.912  0.067 -0.912  0.234 -0.912  0.402 -0.912  0.569 -0.912  0.704 -0.832  0.822 -0.714  0.941 -0.595  1.100 -0.574  1.228 -0.478  1.301 -0.340  1.301 -0.173  1.301 -0.005  1.241 0.103  1.090 0.144  0.972 0.263  0.853 0.381  0.711 0.441  0.567 0.499  0.445 0.610  0.278 0.610  0.110 0.610  -0.058 0.610  -0.225 0.610  -0.393 0.610  -0.560 0.610
1c#app#app19#app1962/o  -0.611 0.443  -0.740 0.443  -0.870 0.443  -0.999 0.443  -1.129 0.443  -1.144 0.329  -1.144 0.199  -1.144 0.070  -1.144 -0.059  -1.144 -0.189  -1.108 -0.303  -1.016 -0.395  -0.925 -0.486  -0.833 -0.578  -0.722 -0.622  -0.598 -0.635  -0.506 -0.727  -0.407 -0.800  -0.278 -0.800  -0.148 -0.800  -0.019 -0.800  0.111 -0.800  0.240 -0.800  0.369 -0.800  0.486 -0.769  0.577 -0.677  0.679 -0.599  0.794 -0.541  0.910 -0.483  1.018 -0.414  1.109 -0.323  1.165 -0.216  1.165 -0.087  1.165 0.043  1.106 0.147  1.014 0.239  0.987 0.357  0.944 0.443  0.814 0.443  0.722 0.532  0.630 0.623  0.539 0.715  0.444 0.802  0.322 0.843  0.199 0.884  0.076 0.925  -0.047 0.966  -0.174 0.976  -0.304 0.976  -0.433 0.976
1c#app#app19#app1962/k  -0.535 1.965  -0.425 2.010  -0.425 1.984  -0.425 1.829  -0.425 1.674  -0.425 1.519  -0.425 1.364  -0.425 1.209  -0.425 1.054  -0.425 0.899  -0.425 0.744  -0.425 0.589  -0.425 0.433  -0.425 0.278  -0.425 0.123  -0.425 -0.032  -0.425 -0.187  -0.376 -0.330  -0.315 -0.471  -0.315 -0.626  -0.315 -0.781  -0.205 -0.891  -0.050 -0.891  0.070 -0.819  0.165 -0.697  0.261 -0.574  0.356 -0.452  0.451 -0.329  0.546 -0.207  0.641 -0.085  0.737 0.038  0.704 0.098  0.553 0.088  0.440 -0.012  0.302 -0.054  0.175 -0.122  0.050 -0.196  -0.090 -0.232  -0.201 -0.337  -0.205 -0.491  -0.145 -0.621  -0.011 -0.671  0.032 -0.790  0.171 -0.859  0.319 -0.891  0.436 -0.982  0.583 -1.001  0.719 -1.046  0.848 -1.110  1.003 -1.110
1c#app#app19#app1962/e  -1.008 -0.857  -1.143 -0.843  -1.025 -0.725  -0.864 -0.709  -0.702 -0.698  -0.584 -0.580  -0.425 -0.561  -0.304 -0.449  -0.152 -0.413  0.001 -0.352  0.150 -0.278  0.314 -0.265  0.435 -0.153  0.553 -0.035  0.671 0.083  0.789 0.201  0.907 0.319  0.914 0.483  0.914 0.650  0.881 0.803  0.763 0.921  0.645 1.040  0.527 1.158  0.383 1.214  0.216 1.214  0.049 1.214  -0.118 1.214  -0.280 1.203  -0.398 1.084  -0.558 1.066  -0.678 0.953  -0.713 0.800  -0.713 0.633  -0.713 0.466  -0.693 0.307  -0.575 0.189  -0.517 0.034  -0.464 -0.124  -0.404 -0.278  -0.286 -0.396  -0.168 -0.514  -0.050 -0.632  0.068 -0.750  0.190 -0.864  0.339 -0.939  0.485 -1.019  0.603 -1.137  0.763 -1.153  0.913 -1.226  1.062 -1.300
