3#app#app12#app1269/a  0.542 0.962  0.435 1.069  0.284 1.069  0.133 1.069  -0.019 1.069  -0.163 1.037  -0.298 0.970  -0.341 0.855  -0.492 0.855  -0.534 0.742  -0.641 0.635  -0.750 0.534  -0.849 0.481  -0.849 0.330  -0.949 0.220  -0.980 0.081  -1.063 -0.036  -1.063 -0.187  -1.063 -0.339  -1.021 -0.472  -0.956 -0.597  -0.956 -0.748  -0.915 -0.858  -0.849 -0.944  -0.719 -0.965  -0.568 -0.965  -0.449 -0.886  -0.310 -0.855  -0.184 -0.771  -0.058 -0.687  0.059 -0.592  0.166 -0.485  0.254 -0.365  0.322 -0.229  0.425 -0.119  0.532 -0.012  0.639 0.095  0.746 0.202  0.786 0.319  0.863 0.393  0.863 0.309  0.863 0.157  0.863 0.006  0.900 -0.109  0.970 -0.190  1.091 -0.229  1.185 -0.341  1.247 -0.430  1.367 -0.506  1.506 -0.537
3#app#app12#app1269/b  -0.586 2.104  -0.586 1.938  -0.532 1.786  -0.482 1.633  -0.482 1.468  -0.482 1.303  -0.482 1.137  -0.482 0.972  -0.482 0.807  -0.482 0.642  -0.482 0.477  -0.482 0.312  -0.482 0.147  -0.482 -0.019  -0.482 -0.184  -0.482 -0.349  -0.482 -0.514  -0.482 -0.679  -0.482 -0.844  -0.482 -1.009  -0.415 -0.921  -0.334 -0.777  -0.253 -0.633  -0.172 -0.489  -0.091 -0.345  -0.010 -0.201  0.071 -0.057  0.152 0.087  0.233 0.231  0.314 0.375  0.395 0.519  0.482 0.616  0.566 0.486  0.641 0.352  0.690 0.218  0.775 0.139  0.775 -0.026  0.775 -0.192  0.775 -0.357  0.775 -0.522  0.775 -0.687  0.671 -0.747  0.671 -0.913  0.569 -1.036  0.510 -1.144  0.345 -1.144  0.252 -1.072  0.128 -1.020  -0.002 -0.934  -0.167 -0.934
3#app#app12#app1269/c  0.609 1.502  0.498 1.502  0.389 1.500  0.386 1.391  0.276 1.389  0.197 1.310  0.168 1.211  0.098 1.171  0.007 1.120  -0.052 1.034  -0.080 0.951  -0.162 0.922  -0.183 0.820  -0.262 0.741  -0.273 0.635  -0.341 0.552  -0.419 0.473  -0.493 0.393  -0.493 0.282  -0.499 0.173  -0.578 0.095  -0.603 -0.006  -0.603 -0.117  -0.603 -0.228  -0.603 -0.339  -0.603 -0.450  -0.603 -0.561  -0.603 -0.672  -0.603 -0.783  -0.522 -0.813  -0.493 -0.895  -0.410 -0.923  -0.383 -1.007  -0.298 -1.033  -0.187 -1.033  -0.076 -1.033  0.035 -1.033  0.120 -0.971  0.207 -0.904  0.306 -0.854  0.408 -0.813  0.513 -0.799  0.591 -0.720  0.670 -0.642  0.748 -0.563  0.827 -0.485  0.937 -0.482  0.940 -0.374  1.049 -0.372  1.050 -0.262
3#app#app12#app1269/d  -0.149 -0.254  -0.272 -0.323  -0.356 -0.393  -0.426 -0.475  -0.514 -0.550  -0.573 -0.679  -0.634 -0.806  -0.642 -0.955  -0.704 -1.082  -0.704 -1.235  -0.704 -1.388  -0.634 -1.471  -0.514 -1.503  -0.401 -1.409  -0.316 -1.284  -0.225 -1.164  -0.129 -1.047  -0.079 -0.907  -0.023 -0.767  0.060 -0.646  0.108 -0.505  0.154 -0.368  0.199 -0.233  0.207 -0.082  0.244 0.066  0.268 0.216  0.268 0.369  0.268 0.521  0.268 0.674  0.286 0.823  0.337 0.963  0.337 1.116  0.337 1.268  0.337 1.421  0.337 1.574  0.261 1.690  0.199 1.600  0.199 1.447  0.199 1.294  0.199 1.142  0.199 0.989  0.199 0.836  0.199 0.684  0.199 0.531  0.226 0.385  0.268 0.242  0.320 0.111  0.337 -0.035  0.438 -0.146  0.546 -0.254
3#app#app12#app1269/e  -0.844 -0.350  -0.813 -0.454  -0.678 -0.350  -0.500 -0.350  -0.321 -0.350  -0.191 -0.235  -0.022 -0.209  0.137 -0.129  0.233 -0.010  0.348 0.054  0.480 0.165  0.606 0.291  0.637 0.456  0.772 0.500  0.772 0.678  0.772 0.856  0.772 1.035  0.772 1.213  0.647 1.266  0.518 1.385  0.353 1.385  0.224 1.266  0.099 1.213  0.002 1.131  -0.135 1.032  -0.170 0.868  -0.331 0.836  -0.451 0.705  -0.531 0.546  -0.574 0.378  -0.698 0.323  -0.709 0.156  -0.709 -0.022  -0.709 -0.200  -0.709 -0.379  -0.709 -0.557  -0.709 -0.735  -0.692 -0.906  -0.562 -1.023  -0.440 -1.079  -0.340 -1.158  -0.162 -1.158  0.016 -1.158  0.194 -1.158  0.373 -1.158  0.537 -1.124  0.669 -1.007  0.829 -0.928  0.907 -0.798  1.041 -0.754
3#app#app12#app1269/f  -0.442 -1.022  -0.442 -1.199  -0.442 -1.377  -0.339 -1.452  -0.339 -1.630  -0.386 -1.490  -0.442 -1.335  -0.442 -1.158  -0.442 -0.980  -0.442 -0.802  -0.442 -0.624  -0.442 -0.446  -0.442 -0.269  -0.442 -0.091  -0.417 0.083  -0.361 0.251  -0.339 0.426  -0.339 0.603  -0.237 0.739  -0.237 0.916  -0.196 1.077  -0.134 1.229  -0.090 1.389  0.064 1.448  0.241 1.448  0.419 1.448  0.597 1.448  0.651 1.371  0.572 1.212  0.492 1.053  0.413 0.894  0.333 0.735  0.254 0.576  0.174 0.417  0.095 0.258  0.015 0.099  -0.064 -0.060  -0.144 -0.219  -0.223 -0.378  -0.303 -0.537  -0.244 -0.610  -0.066 -0.610  0.100 -0.582  0.247 -0.507  0.409 -0.442  0.578 -0.404  0.713 -0.301  0.891 -0.301  0.966 -0.199  1.101 -0.096
3#app#app12#app1269/g  0.295 1.122  0.181 1.065  0.067 1.008  -0.103 1.008  -0.241 0.928  -0.388 0.885  -0.435 0.734  -0.501 0.591  -0.615 0.534  -0.615 0.363  -0.615 0.192  -0.615 0.022  -0.482 -0.016  -0.311 -0.016  -0.160 0.004  -0.106 0.152  -0.046 0.298  0.080 0.352  0.157 0.504  0.183 0.668  0.295 0.793  0.295 0.963  0.307 1.122  0.409 1.191  0.409 1.110  0.477 1.008  0.522 0.883  0.522 0.712  0.522 0.541  0.522 0.371  0.522 0.200  0.522 0.029  0.522 -0.141  0.522 -0.312  0.466 -0.469  0.409 -0.626  0.365 -0.786  0.295 -0.941  0.263 -1.104  0.187 -1.256  0.149 -1.412  0.029 -1.533  -0.111 -1.608  -0.279 -1.603  -0.405 -1.495  -0.501 -1.420  -0.627 -1.369  -0.729 -1.240  -0.766 -1.078  -0.843 -0.926
3#app#app12#app1269/h  -0.946 1.639  -0.908 1.507  -0.814 1.432  -0.734 1.295  -0.682 1.147  -0.682 0.977  -0.654 0.819  -0.550 0.693  -0.550 0.523  -0.550 0.353  -0.550 0.183  -0.550 0.014  -0.550 -0.156  -0.550 -0.326  -0.550 -0.495  -0.508 -0.648  -0.417 -0.780  -0.417 -0.950  -0.417 -1.120  -0.395 -1.267  -0.285 -1.327  -0.285 -1.301  -0.189 -1.171  -0.153 -1.016  -0.153 -0.846  -0.110 -0.695  -0.021 -0.562  -0.021 -0.392  -0.021 -0.222  0.004 -0.078  0.111 -0.015  0.111 0.155  0.173 0.310  0.243 0.463  0.279 0.618  0.375 0.748  0.446 0.847  0.616 0.847  0.649 0.704  0.769 0.584  0.771 0.416  0.822 0.267  0.903 0.131  0.903 -0.039  0.903 -0.209  0.903 -0.378  0.977 -0.474  1.035 -0.586  1.047 -0.750  1.167 -0.870
3#app#app12#app1269/i  -0.160 0.750  -0.160 0.622  -0.109 0.544  -0.057 0.468  -0.057 0.340  -0.057 0.212  -0.057 0.084  -0.005 -0.023  0.046 -0.130  0.046 -0.258  0.046 -0.386  0.046 -0.515  0.046 -0.643  0.046 -0.771  0.046 -0.899  0.046 -1.027  0.046 -1.156  0.100 -1.262  0.150 -1.369  0.150 -1.497  0.150 -1.615  0.147 -1.487  0.136 -1.359  0.124 -1.231  0.113 -1.103  0.102 -0.976  0.090 -0.848  0.079 -0.720  0.068 -0.593  0.057 -0.465  0.045 -0.337  0.034 -0.210  0.023 -0.082  0.012 0.046  0.000 0.174  -0.011 0.301  -0.022 0.429  -0.033 0.557  -0.045 0.684  -0.056 0.812  -0.067 0.940  -0.079 1.067  -0.090 1.195  -0.101 1.323  -0.112 1.451  -0.124 1.578  -0.135 1.706  -0.146 1.834  -0.157 1.961  -0.160 1.883
3#app#app12#app1269/j  -0.042 0.585  0.073 0.553  0.125 0.447  0.140 0.334  0.209 0.274  0.209 0.146  0.209 0.018  0.286 -0.078  0.293 -0.203  0.293 -0.331  0.293 -0.460  0.293 -0.588  0.293 -0.716  0.293 -0.844  0.293 -0.972  0.285 -1.097  0.209 -1.194  0.163 -1.303  0.125 -1.415  0.006 -1.424  -0.099 -1.368  -0.132 -1.257  -0.209 -1.207  -0.276 -1.106  -0.314 -1.006  -0.377 -0.941  -0.358 -0.814  -0.337 -0.688  -0.315 -0.561  -0.293 -0.435  -0.272 -0.309  -0.250 -0.183  -0.229 -0.056  -0.207 0.070  -0.185 0.196  -0.164 0.322  -0.142 0.449  -0.120 0.575  -0.099 0.701  -0.077 0.828  -0.055 0.954  -0.034 1.080  -0.012 1.206  0.010 1.333  0.031 1.459  0.053 1.585  0.075 1.712  0.096 1.838  0.118 1.964  0.125 1.924
3#app#app12#app1269/k  -0.617 1.494  -0.498 1.406  -0.498 1.198  -0.498 0.991  -0.498 0.783  -0.557 0.600  -0.617 0.417  -0.617 0.210  -0.617 0.002  -0.617 -0.205  -0.617 -0.413  -0.737 -0.571  -0.737 -0.779  -0.737 -0.986  -0.737 -1.194  -0.770 -1.369  -0.794 -1.264  -0.689 -1.085  -0.583 -0.906  -0.477 -0.728  -0.372 -0.549  -0.266 -0.370  -0.160 -0.191  -0.055 -0.013  0.051 0.166  0.156 0.345  0.262 0.523  0.368 0.702  0.473 0.881  0.579 1.060  0.684 1.238  0.647 1.088  0.500 0.942  0.353 0.795  0.290 0.613  0.144 0.466  0.098 0.277  -0.014 0.182  -0.021 -0.019  -0.021 -0.226  0.098 -0.315  0.206 -0.414  0.364 -0.534  0.572 -0.534  0.780 -0.534  0.971 -0.572  1.145 -0.653  1.353 -0.653  1.561 -0.653  1.768 -0.653
