2#apa#apa19#app1999/[  0.524 1.013  0.517 1.117  0.406 1.117  0.316 1.138  0.288 1.221  0.188 1.246  0.109 1.324  -0.001 1.325  -0.112 1.325  -0.218 1.311  -0.296 1.232  -0.307 1.126  -0.409 1.117  -0.411 1.008  -0.411 0.897  -0.403 0.788  -0.353 0.689  -0.307 0.588  -0.307 0.477  -0.307 0.366  -0.307 0.255  -0.307 0.144  -0.307 0.034  -0.271 -0.063  -0.203 -0.145  -0.203 -0.256  -0.203 -0.367  -0.203 -0.478  -0.203 -0.589  -0.239 -0.686  -0.307 -0.768  -0.328 -0.858  -0.439 -0.858  -0.515 -0.893  -0.473 -0.962  -0.362 -0.962  -0.252 -0.962  -0.141 -0.962  -0.030 -0.962  0.081 -0.962  0.192 -0.962  0.303 -0.962  0.414 -0.962  0.525 -0.962  0.634 -0.957  0.712 -0.878  0.815 -0.858  0.926 -0.858  1.037 -0.858  1.148 -0.858
2#apa#apa19#app1999/O  0.380 0.712  0.356 0.836  0.223 0.869  0.118 0.974  0.014 1.078  -0.131 1.084  -0.278 1.084  -0.426 1.084  -0.548 1.025  -0.613 0.904  -0.648 0.765  -0.714 0.633  -0.806 0.519  -0.861 0.394  -0.861 0.247  -0.861 0.099  -0.861 -0.048  -0.861 -0.196  -0.841 -0.340  -0.794 -0.480  -0.748 -0.620  -0.657 -0.732  -0.613 -0.861  -0.536 -0.977  -0.432 -1.081  -0.312 -1.148  -0.164 -1.148  -0.017 -1.148  0.131 -1.148  0.278 -1.148  0.426 -1.148  0.553 -1.100  0.657 -0.995  0.761 -0.891  0.866 -0.787  0.876 -0.644  0.876 -0.496  0.876 -0.349  0.876 -0.201  0.876 -0.054  0.787 0.057  0.752 0.190  0.752 0.337  0.622 0.405  0.493 0.475  0.389 0.579  0.285 0.683  0.208 0.807  0.142 0.939  0.008 0.960
2#apa#apa19#app1999/R  -0.382 0.844  -0.480 0.713  -0.644 0.647  -0.644 0.418  -0.644 0.188  -0.644 -0.041  -0.614 -0.263  -0.513 -0.469  -0.441 -0.668  -0.372 -0.869  -0.251 -1.048  -0.140 -1.232  -0.251 -1.105  -0.332 -0.909  -0.394 -0.703  -0.497 -0.498  -0.513 -0.273  -0.513 -0.043  -0.513 0.186  -0.513 0.415  -0.513 0.645  -0.513 0.874  -0.513 1.103  -0.352 1.266  -0.190 1.428  0.010 1.499  0.211 1.430  0.411 1.360  0.535 1.182  0.666 1.083  0.751 0.889  0.797 0.679  0.796 0.450  0.694 0.245  0.548 0.071  0.378 -0.073  0.162 -0.129  -0.050 -0.204  -0.233 -0.317  -0.382 -0.407  -0.354 -0.625  -0.167 -0.728  0.043 -0.809  0.261 -0.859  0.490 -0.859  0.719 -0.859  0.949 -0.859  1.178 -0.859  1.382 -0.920  1.583 -0.990
2#apa#apa19#app1999/E  -0.310 1.302  -0.310 1.510  -0.310 1.350  -0.310 1.142  -0.310 0.935  -0.360 0.739  -0.426 0.547  -0.426 0.339  -0.426 0.131  -0.426 -0.076  -0.426 -0.284  -0.466 -0.475  -0.542 -0.651  -0.542 -0.859  -0.542 -1.067  -0.397 -1.130  -0.225 -1.045  -0.030 -1.014  0.178 -1.014  0.386 -1.014  0.566 -1.080  0.753 -1.130  0.740 -1.100  0.539 -1.046  0.339 -0.991  0.139 -0.936  -0.062 -0.882  -0.262 -0.827  -0.426 -0.744  -0.300 -0.657  -0.136 -0.551  0.072 -0.551  0.242 -0.462  0.354 -0.391  0.235 -0.221  0.116 -0.050  -0.003 0.120  -0.122 0.290  -0.242 0.460  -0.361 0.630  -0.426 0.817  -0.288 0.955  -0.113 1.035  0.080 1.071  0.287 1.071  0.492 1.097  0.693 1.148  0.896 1.186  1.104 1.186  1.311 1.186
2#apa#apa19#app1999/L  -0.406 1.756  -0.406 1.667  -0.406 1.578  -0.406 1.490  -0.406 1.401  -0.406 1.312  -0.406 1.223  -0.406 1.135  -0.406 1.046  -0.406 0.957  -0.406 0.868  -0.406 0.780  -0.406 0.691  -0.406 0.602  -0.406 0.513  -0.406 0.425  -0.406 0.336  -0.406 0.247  -0.406 0.158  -0.406 0.070  -0.406 -0.019  -0.406 -0.108  -0.389 -0.190  -0.326 -0.252  -0.277 -0.321  -0.277 -0.410  -0.277 -0.498  -0.277 -0.587  -0.277 -0.676  -0.277 -0.765  -0.239 -0.815  -0.150 -0.815  -0.062 -0.815  0.027 -0.815  0.114 -0.810  0.177 -0.747  0.240 -0.687  0.329 -0.687  0.418 -0.687  0.506 -0.687  0.595 -0.687  0.684 -0.687  0.773 -0.687  0.861 -0.687  0.950 -0.687  1.039 -0.687  1.128 -0.687  1.216 -0.687  1.305 -0.687  1.394 -0.687
2#apa#apa19#app1999/S  0.266 0.684  0.176 0.774  0.086 0.864  -0.004 0.954  -0.114 0.995  -0.241 0.995  -0.368 0.995  -0.495 0.995  -0.622 0.995  -0.750 0.995  -0.877 0.995  -1.004 0.995  -1.083 0.948  -1.083 0.820  -1.017 0.721  -0.979 0.609  -0.910 0.511  -0.820 0.421  -0.719 0.346  -0.606 0.290  -0.483 0.269  -0.367 0.222  -0.254 0.165  -0.140 0.109  -0.026 0.052  0.087 -0.005  0.206 -0.042  0.333 -0.042  0.433 -0.106  0.523 -0.196  0.613 -0.286  0.712 -0.354  0.839 -0.354  0.888 -0.432  0.979 -0.503  1.093 -0.560  1.095 -0.685  1.056 -0.788  0.943 -0.845  0.829 -0.902  0.715 -0.959  0.592 -0.976  0.468 -0.982  0.378 -1.071  0.254 -1.080  0.127 -1.080  -0.000 -1.080  -0.127 -1.080  -0.243 -1.127  -0.357 -1.184
2#apa#apa19#app1999/E  -0.452 1.100  -0.452 1.140  -0.452 1.018  -0.452 0.793  -0.483 0.575  -0.544 0.364  -0.544 0.138  -0.544 -0.087  -0.544 -0.312  -0.544 -0.538  -0.544 -0.763  -0.544 -0.988  -0.446 -1.116  -0.235 -1.054  -0.017 -1.023  0.208 -1.023  0.395 -1.116  0.621 -1.116  0.826 -1.201  1.025 -1.232  0.893 -1.215  0.704 -1.092  0.515 -0.970  0.326 -0.848  0.136 -0.725  -0.053 -0.603  -0.242 -0.480  -0.431 -0.358  -0.479 -0.220  -0.266 -0.193  -0.078 -0.285  0.147 -0.285  0.372 -0.285  0.544 -0.258  0.410 -0.076  0.277 0.106  0.144 0.287  0.011 0.469  -0.123 0.651  -0.256 0.833  -0.389 1.014  -0.471 1.027  -0.514 1.192  -0.289 1.192  -0.063 1.192  0.145 1.234  0.349 1.284  0.575 1.284  0.800 1.284  1.025 1.284
2#apa#apa19#app1999/{  0.532 1.373  0.447 1.423  0.347 1.458  0.213 1.458  0.078 1.458  -0.057 1.458  -0.106 1.373  -0.156 1.288  -0.231 1.228  -0.256 1.119  -0.315 1.044  -0.287 0.921  -0.192 0.826  -0.076 0.780  -0.030 0.679  0.091 0.619  0.190 0.529  0.238 0.441  0.270 0.349  0.175 0.254  0.080 0.158  -0.031 0.102  -0.135 0.028  -0.265 0.017  -0.315 -0.067  -0.181 -0.068  -0.046 -0.068  0.088 -0.068  0.223 -0.068  0.278 -0.147  0.278 -0.282  0.193 -0.332  0.133 -0.407  0.030 -0.484  -0.012 -0.594  -0.133 -0.654  -0.181 -0.746  -0.231 -0.830  -0.315 -0.881  -0.400 -0.930  -0.400 -1.065  -0.379 -1.191  -0.283 -1.286  -0.188 -1.381  -0.093 -1.476  0.028 -1.508  0.163 -1.508  0.292 -1.494  0.397 -1.423  0.532 -1.423
2#apa#apa19#app1999/y  -1.464 0.838  -1.464 0.668  -1.464 0.818  -1.313 0.838  -1.284 0.697  -1.153 0.658  -1.019 0.572  -0.888 0.478  -0.726 0.459  -0.606 0.339  -0.566 0.186  -0.566 0.016  -0.473 -0.060  -0.386 -0.144  -0.312 -0.240  -0.207 -0.304  -0.152 -0.419  -0.027 -0.464  0.008 -0.599  0.160 -0.575  0.208 -0.412  0.257 -0.249  0.306 -0.087  0.355 0.076  0.404 0.238  0.452 0.401  0.501 0.564  0.550 0.726  0.599 0.889  0.647 1.052  0.691 1.178  0.691 1.008  0.691 0.839  0.691 0.669  0.691 0.499  0.691 0.329  0.691 0.159  0.691 -0.010  0.691 -0.180  0.691 -0.350  0.620 -0.490  0.511 -0.615  0.511 -0.785  0.511 -0.955  0.394 -1.076  0.273 -1.196  0.153 -1.316  0.033 -1.436  -0.087 -1.556  -0.207 -1.676
2#apa#apa19#app1999/o  -0.791 0.723  -0.791 0.587  -0.791 0.451  -0.791 0.315  -0.791 0.179  -0.796 0.049  -0.933 0.049  -1.015 -0.005  -1.015 -0.141  -1.015 -0.277  -1.015 -0.413  -1.015 -0.549  -0.956 -0.626  -0.820 -0.626  -0.684 -0.626  -0.566 -0.644  -0.566 -0.780  -0.501 -0.851  -0.365 -0.851  -0.229 -0.851  -0.092 -0.851  0.044 -0.851  0.180 -0.851  0.316 -0.851  0.452 -0.851  0.579 -0.830  0.676 -0.734  0.772 -0.637  0.868 -0.541  0.964 -0.445  1.008 -0.327  1.008 -0.191  1.008 -0.055  1.008 0.081  1.008 0.217  1.008 0.353  1.008 0.490  0.881 0.498  0.756 0.526  0.660 0.622  0.564 0.718  0.468 0.814  0.371 0.911  0.251 0.948  0.115 0.948  0.109 1.078  0.067 1.173  -0.069 1.173  -0.205 1.173  -0.341 1.173
2#apa#apa19#app1999/u  -0.610 1.499  -0.610 1.377  -0.610 1.255  -0.610 1.133  -0.610 1.011  -0.610 0.889  -0.659 0.815  -0.781 0.815  -0.838 0.750  -0.838 0.628  -0.838 0.506  -0.838 0.384  -0.838 0.262  -0.838 0.140  -0.758 0.051  -0.671 -0.036  -0.610 -0.132  -0.610 -0.255  -0.574 -0.362  -0.487 -0.448  -0.401 -0.534  -0.382 -0.649  -0.382 -0.771  -0.270 -0.781  -0.150 -0.785  -0.064 -0.872  0.023 -0.958  0.124 -1.009  0.246 -1.009  0.368 -1.009  0.490 -1.009  0.612 -1.009  0.734 -1.009  0.758 -0.911  0.758 -0.789  0.758 -0.667  0.758 -0.545  0.758 -0.422  0.758 -0.300  0.758 -0.178  0.758 -0.056  0.758 0.066  0.758 0.188  0.758 0.310  0.758 0.432  0.758 0.555  0.758 0.677  0.758 0.799  0.758 0.921  0.758 1.043
