2#app#app37#app3716/F  -0.434 1.544  -0.434 1.307  -0.400 1.078  -0.301 0.864  -0.301 0.626  -0.301 0.389  -0.301 0.152  -0.301 -0.086  -0.301 -0.323  -0.301 -0.560  -0.301 -0.798  -0.301 -1.035  -0.301 -1.272  -0.301 -1.510  -0.168 -1.614  -0.168 -1.851  -0.034 -1.882  -0.036 -1.645  -0.098 -1.415  -0.159 -1.186  -0.220 -0.957  -0.281 -0.727  -0.342 -0.498  -0.403 -0.269  -0.465 -0.039  -0.526 0.190  -0.513 0.400  -0.345 0.567  -0.178 0.735  0.000 0.878  0.232 0.884  0.342 1.012  0.524 1.145  0.761 1.145  0.866 1.278  0.790 1.103  0.666 0.901  0.542 0.699  0.417 0.497  0.293 0.295  0.168 0.093  0.044 -0.110  -0.080 -0.312  -0.113 -0.408  0.069 -0.256  0.251 -0.104  0.434 0.048  0.616 0.200  0.794 0.346  0.898 0.479
2#app#app37#app3716/I  -0.150 1.697  -0.138 1.628  -0.127 1.559  -0.115 1.490  -0.104 1.421  -0.092 1.352  -0.081 1.283  -0.069 1.214  -0.058 1.145  -0.046 1.076  -0.035 1.007  -0.023 0.938  -0.012 0.869  -0.000 0.800  0.010 0.731  0.010 0.661  0.010 0.591  0.010 0.521  0.010 0.451  0.010 0.381  0.010 0.311  0.010 0.241  0.010 0.171  0.010 0.101  0.010 0.031  0.010 -0.039  0.010 -0.109  0.010 -0.179  0.010 -0.249  0.010 -0.319  0.010 -0.389  0.010 -0.459  0.010 -0.529  0.010 -0.598  0.010 -0.668  0.010 -0.738  0.010 -0.808  0.010 -0.878  0.010 -0.948  0.010 -1.018  0.010 -1.088  0.010 -1.158  0.010 -1.228  0.010 -1.298  0.035 -1.358  0.084 -1.407  0.134 -1.457  0.169 -1.512  0.169 -1.582  0.169 -1.652
2#app#app37#app3716/R  -0.449 0.046  -0.449 -0.167  -0.449 -0.380  -0.449 -0.593  -0.449 -0.806  -0.449 -1.018  -0.449 -1.231  -0.327 -1.273  -0.357 -1.065  -0.411 -0.859  -0.466 -0.653  -0.521 -0.448  -0.576 -0.242  -0.631 -0.036  -0.686 0.169  -0.740 0.375  -0.795 0.581  -0.803 0.779  -0.590 0.779  -0.521 0.951  -0.370 1.102  -0.175 1.145  0.002 1.230  0.200 1.267  0.411 1.272  0.575 1.389  0.788 1.389  0.895 1.283  0.772 1.121  0.721 0.920  0.612 0.740  0.461 0.590  0.311 0.439  0.162 0.288  0.096 0.102  -0.055 -0.048  -0.205 -0.127  -0.224 -0.321  -0.327 -0.210  -0.205 -0.277  -0.049 -0.354  0.127 -0.443  0.340 -0.443  0.510 -0.546  0.574 -0.733  0.724 -0.883  0.875 -1.034  0.957 -1.176  1.048 -1.298  1.017 -1.298
2#app#app37#app3716/S  0.041 1.541  -0.062 1.489  -0.164 1.438  -0.267 1.387  -0.370 1.335  -0.463 1.271  -0.544 1.190  -0.625 1.109  -0.661 1.009  -0.661 0.894  -0.703 0.797  -0.779 0.713  -0.779 0.599  -0.776 0.485  -0.695 0.404  -0.594 0.370  -0.544 0.305  -0.482 0.253  -0.385 0.210  -0.301 0.136  -0.186 0.136  -0.071 0.136  0.043 0.136  0.158 0.136  0.273 0.136  0.388 0.136  0.470 0.058  0.551 -0.023  0.635 -0.098  0.743 -0.105  0.746 -0.218  0.827 -0.299  0.861 -0.400  0.861 -0.515  0.816 -0.611  0.735 -0.693  0.654 -0.774  0.626 -0.877  0.574 -0.970  0.486 -1.035  0.371 -1.035  0.275 -1.054  0.259 -1.152  0.144 -1.152  0.029 -1.152  -0.085 -1.152  -0.200 -1.152  -0.315 -1.152  -0.427 -1.150  -0.427 -1.035
2#app#app37#app3716/T  0.225 1.026  0.225 0.863  0.225 0.701  0.225 0.539  0.225 0.377  0.225 0.215  0.225 0.053  0.225 -0.109  0.225 -0.271  0.208 -0.426  0.095 -0.541  0.095 -0.703  0.142 -0.846  0.225 -0.973  0.225 -1.135  0.333 -1.190  0.356 -1.329  0.315 -1.450  0.225 -1.378  0.151 -1.246  0.037 -1.132  -0.078 -1.017  -0.192 -0.902  -0.307 -0.788  -0.422 -0.673  -0.536 -0.559  -0.651 -0.444  -0.765 -0.329  -0.880 -0.215  -0.995 -0.100  -1.109 0.014  -1.190 0.126  -1.055 0.216  -0.920 0.305  -0.779 0.374  -0.624 0.405  -0.479 0.478  -0.323 0.504  -0.175 0.565  -0.031 0.638  0.083 0.753  0.225 0.830  0.367 0.907  0.482 1.021  0.642 1.026  0.787 1.066  0.912 1.156  1.074 1.156  1.236 1.156  1.268 1.286
2#app#app37#app3716/M  -0.556 1.118  -0.556 0.883  -0.556 0.648  -0.556 0.412  -0.556 0.177  -0.627 -0.041  -0.670 -0.266  -0.670 -0.502  -0.670 -0.737  -0.670 -0.972  -0.670 -1.207  -0.670 -1.300  -0.670 -1.065  -0.670 -0.830  -0.670 -0.595  -0.670 -0.359  -0.670 -0.124  -0.670 0.111  -0.670 0.346  -0.670 0.581  -0.670 0.816  -0.670 1.052  -0.670 0.949  -0.556 0.761  -0.458 0.567  -0.398 0.348  -0.330 0.129  -0.265 -0.079  -0.104 -0.248  -0.087 -0.466  0.148 -0.466  0.340 -0.362  0.426 -0.162  0.462 0.058  0.575 0.247  0.575 0.482  0.688 0.670  0.702 0.892  0.824 1.005  0.914 0.860  1.023 0.670  1.028 0.437  1.028 0.201  1.087 -0.020  1.141 -0.242  1.141 -0.477  1.141 -0.713  1.241 -0.906  1.254 -1.136  1.254 -1.145
2#app#app37#app3716/A  -0.860 -1.796  -0.860 -1.608  -0.860 -1.420  -0.860 -1.232  -0.728 -1.099  -0.719 -0.914  -0.719 -0.726  -0.629 -0.575  -0.578 -0.409  -0.578 -0.221  -0.578 -0.033  -0.497 0.122  -0.436 0.285  -0.436 0.473  -0.436 0.661  -0.436 0.849  -0.332 0.994  -0.295 1.166  -0.295 1.355  -0.295 1.543  -0.161 1.597  -0.115 1.456  -0.012 1.370  0.081 1.221  0.129 1.052  0.204 0.882  0.271 0.710  0.331 0.547  0.412 0.392  0.412 0.204  0.530 0.065  0.553 -0.113  0.596 -0.284  0.695 -0.431  0.695 -0.619  0.695 -0.807  0.828 -0.940  0.689 -0.850  0.533 -0.745  0.376 -0.641  0.220 -0.537  0.063 -0.433  0.085 -0.382  0.132 -0.241  0.271 -0.192  0.367 -0.100  0.413 0.042  0.601 0.042  0.695 0.137  0.836 0.183
2#app#app37#app3716/T  0.259 -0.059  0.259 -0.192  0.253 -0.322  0.159 -0.416  0.130 -0.537  0.130 -0.670  0.130 -0.803  0.130 -0.936  0.130 -1.069  0.130 -1.201  0.130 -1.334  0.130 -1.467  0.130 -1.352  0.057 -1.242  -0.018 -1.133  -0.094 -1.024  -0.170 -0.914  -0.245 -0.805  -0.321 -0.696  -0.397 -0.587  -0.472 -0.477  -0.548 -0.368  -0.624 -0.259  -0.699 -0.150  -0.775 -0.040  -0.851 0.069  -0.926 0.178  -1.002 0.288  -0.946 0.328  -0.813 0.328  -0.707 0.393  -0.613 0.487  -0.519 0.581  -0.388 0.586  -0.256 0.586  -0.162 0.680  -0.043 0.714  0.081 0.754  0.199 0.814  0.325 0.843  0.458 0.843  0.569 0.896  0.671 0.972  0.804 0.972  0.927 0.996  1.021 1.090  1.149 1.101  1.161 1.222  1.036 1.230  1.032 1.101
2#app#app37#app3716/E  -0.668 0.818  -0.668 0.557  -0.668 0.297  -0.668 0.036  -0.668 -0.225  -0.668 -0.486  -0.668 -0.747  -0.668 -1.008  -0.668 -1.269  -0.547 -1.479  -0.404 -1.597  -0.143 -1.597  0.068 -1.476  0.284 -1.370  0.383 -1.150  0.568 -0.965  0.752 -0.781  0.937 -0.597  1.041 -0.389  1.144 -0.231  0.983 -0.073  0.746 0.037  0.510 0.148  0.274 0.258  0.037 0.368  -0.199 0.479  -0.435 0.589  -0.665 0.701  -0.453 0.818  -0.225 0.899  -0.006 0.998  0.211 1.137  0.341 1.301  0.602 1.301  0.661 1.504  0.603 1.339  0.456 1.124  0.308 0.909  0.160 0.694  0.012 0.479  -0.136 0.264  -0.283 0.049  -0.431 -0.166  -0.579 -0.381  -0.564 -0.510  -0.354 -0.389  -0.241 -0.203  -0.021 -0.104  0.199 -0.005  0.419 0.094
2#app#app37#app3716/E  -0.821 0.433  -0.821 0.196  -0.821 -0.041  -0.821 -0.278  -0.821 -0.515  -0.821 -0.752  -0.785 -0.981  -0.709 -1.200  -0.629 -1.357  -0.391 -1.357  -0.262 -1.407  -0.075 -1.357  0.115 -1.245  0.336 -1.206  0.504 -1.038  0.616 -0.831  0.782 -0.667  0.969 -0.545  1.078 -0.353  1.192 -0.229  1.071 -0.069  0.856 0.031  0.641 0.131  0.426 0.232  0.211 0.332  -0.004 0.432  -0.219 0.533  -0.434 0.633  -0.326 0.705  -0.158 0.873  0.029 0.993  0.155 1.105  0.280 1.216  0.405 1.328  0.607 1.414  0.657 1.440  0.510 1.266  0.373 1.072  0.236 0.878  0.100 0.685  -0.037 0.491  -0.174 0.297  -0.311 0.103  -0.447 -0.090  -0.584 -0.284  -0.690 -0.462  -0.495 -0.359  -0.327 -0.191  -0.127 -0.103  -0.038 0.098
2#app#app37#app3716/X  -0.783 1.095  -0.649 0.961  -0.613 0.787  -0.480 0.653  -0.346 0.520  -0.219 0.381  -0.135 0.212  0.003 0.130  0.149 0.025  0.282 -0.109  0.416 -0.242  0.457 -0.414  0.595 -0.465  0.595 -0.654  0.595 -0.843  0.592 -0.913  0.581 -0.724  0.571 -0.536  0.560 -0.347  0.550 -0.159  0.539 0.030  0.529 0.219  0.518 0.407  0.508 0.596  0.498 0.785  0.487 0.973  0.477 1.162  0.466 1.351  0.457 1.477  0.399 1.312  0.320 1.156  0.320 0.967  0.240 0.797  0.182 0.621  0.103 0.465  -0.030 0.331  -0.138 0.179  -0.223 0.010  -0.232 -0.177  -0.290 -0.342  -0.423 -0.475  -0.539 -0.622  -0.623 -0.791  -0.647 -0.974  -0.780 -1.108  -0.816 -1.282  -0.921 -1.427  -0.986 -1.589  -1.059 -1.748  -1.059 -1.662
