1c#tos#f2#f2025065/a  0.352 -0.155  0.352 0.004  0.318 0.155  0.271 0.303  0.212 0.447  0.141 0.589  0.070 0.731  0.030 0.881  0.030 1.039  -0.074 1.155  -0.209 1.212  -0.368 1.212  -0.505 1.159  -0.617 1.047  -0.729 0.934  -0.842 0.822  -0.888 0.673  -0.927 0.519  -0.934 0.361  -0.934 0.202  -0.934 0.043  -0.934 -0.116  -0.934 -0.274  -0.934 -0.433  -0.934 -0.592  -0.934 -0.751  -0.823 -0.798  -0.664 -0.798  -0.505 -0.798  -0.346 -0.798  -0.218 -0.725  -0.111 -0.608  -0.023 -0.476  0.050 -0.336  0.100 -0.186  0.111 -0.029  0.198 0.094  0.327 0.167  0.470 0.129  0.582 0.017  0.694 -0.096  0.807 -0.208  0.919 -0.320  1.023 -0.439  1.111 -0.571  1.191 -0.708  1.277 -0.839  1.409 -0.924  1.559 -0.959  1.718 -0.959
1c#tos#f2#f2025065/d  0.200 -0.229  0.137 -0.089  -0.050 -0.059  -0.241 -0.059  -0.432 -0.059  -0.619 -0.096  -0.721 -0.244  -0.763 -0.426  -0.846 -0.595  -0.947 -0.744  -0.947 -0.935  -0.943 -1.124  -0.806 -1.255  -0.623 -1.291  -0.432 -1.291  -0.310 -1.173  -0.242 -1.010  -0.123 -0.862  -0.063 -0.683  -0.055 -0.493  -0.046 -0.308  0.072 -0.180  0.072 0.011  0.074 0.201  0.126 0.385  0.192 0.563  0.278 0.734  0.284 0.923  0.284 1.113  0.284 1.304  0.341 1.484  0.397 1.666  0.412 1.848  0.412 1.658  0.323 1.491  0.284 1.311  0.284 1.121  0.284 0.930  0.284 0.739  0.284 0.548  0.284 0.357  0.284 0.167  0.286 -0.024  0.317 -0.212  0.327 -0.402  0.340 -0.592  0.388 -0.775  0.473 -0.946  0.573 -1.108  0.624 -1.291
1c#tos#f2#f2025065/e  -0.079 0.680  -0.259 0.680  -0.363 0.588  -0.535 0.539  -0.708 0.490  -0.861 0.407  -0.724 0.389  -0.545 0.389  -0.396 0.317  -0.216 0.317  -0.041 0.298  0.125 0.244  0.305 0.244  0.484 0.244  0.664 0.244  0.807 0.331  0.865 0.486  0.865 0.666  0.845 0.825  0.682 0.863  0.517 0.898  0.337 0.898  0.158 0.898  -0.022 0.898  -0.195 0.859  -0.369 0.825  -0.496 0.699  -0.615 0.566  -0.715 0.417  -0.814 0.268  -0.879 0.108  -0.879 -0.072  -0.879 -0.251  -0.837 -0.421  -0.728 -0.561  -0.661 -0.712  -0.661 -0.891  -0.534 -1.003  -0.373 -1.064  -0.193 -1.064  -0.014 -1.064  0.165 -1.064  0.345 -1.064  0.524 -1.064  0.704 -1.064  0.883 -1.064  1.062 -1.064  1.242 -1.064  1.418 -1.035  1.592 -0.991
1c#tos#f2#f2025065/f  0.649 0.599  0.591 0.741  0.501 0.864  0.444 1.008  0.329 1.111  0.212 1.212  0.135 1.337  0.104 1.489  0.066 1.639  -0.059 1.722  -0.059 1.567  -0.059 1.412  -0.059 1.257  -0.059 1.102  -0.059 0.947  -0.059 0.792  -0.059 0.636  -0.048 0.482  -0.026 0.329  -0.017 0.174  -0.017 0.019  0.031 -0.128  0.066 -0.277  0.066 -0.432  0.073 -0.586  0.131 -0.730  0.149 -0.881  0.149 -1.037  0.149 -1.192  0.149 -1.347  0.134 -1.500  0.105 -1.649  -0.003 -1.581  -0.060 -1.436  -0.117 -1.292  -0.173 -1.148  -0.230 -1.004  -0.287 -0.859  -0.344 -0.715  -0.401 -0.571  -0.458 -0.427  -0.514 -0.282  -0.623 -0.234  -0.508 -0.227  -0.376 -0.150  -0.221 -0.150  -0.066 -0.150  0.089 -0.150  0.244 -0.150  0.399 -0.150
1c#tos#f2#f2025065/g  0.336 0.249  0.330 0.365  0.265 0.464  0.227 0.570  0.191 0.682  0.173 0.798  0.173 0.916  0.148 1.009  0.053 1.042  0.016 1.154  -0.089 1.172  -0.207 1.172  -0.325 1.172  -0.414 1.115  -0.485 1.020  -0.534 0.918  -0.534 0.800  -0.534 0.682  -0.526 0.567  -0.480 0.468  -0.364 0.466  -0.245 0.466  -0.130 0.486  -0.015 0.514  0.102 0.520  0.166 0.575  0.227 0.517  0.227 0.399  0.227 0.281  0.227 0.163  0.227 0.045  0.227 -0.073  0.227 -0.191  0.227 -0.309  0.227 -0.427  0.227 -0.546  0.227 -0.664  0.193 -0.776  0.156 -0.888  0.118 -1.000  0.118 -1.119  0.108 -1.234  0.042 -1.332  0.010 -1.440  -0.007 -1.556  -0.036 -1.671  -0.045 -1.788  -0.045 -1.906  -0.144 -1.925  -0.262 -1.925
1c#tos#f2#f2025065/j  0.451 0.451  0.492 0.581  0.492 0.511  0.492 0.371  0.492 0.232  0.492 0.092  0.492 -0.048  0.492 -0.188  0.492 -0.327  0.492 -0.467  0.492 -0.607  0.468 -0.744  0.421 -0.873  0.336 -0.984  0.260 -1.098  0.209 -1.228  0.115 -1.330  -0.011 -1.365  -0.150 -1.365  -0.290 -1.365  -0.430 -1.365  -0.521 -1.297  -0.576 -1.169  -0.581 -1.030  -0.581 -0.890  -0.563 -0.753  -0.530 -0.617  -0.497 -0.481  -0.465 -0.345  -0.432 -0.209  -0.400 -0.073  -0.367 0.063  -0.334 0.199  -0.302 0.335  -0.269 0.470  -0.236 0.606  -0.204 0.742  -0.171 0.878  -0.139 1.014  -0.106 1.150  -0.086 1.287  -0.086 1.427  -0.086 1.567  -0.030 1.523  0.062 1.418  0.143 1.305  0.162 1.171  0.219 1.054  0.306 0.947  0.368 0.822
1c#tos#f2#f2025065/n  -0.712 1.302  -0.696 1.319  -0.770 1.187  -0.774 1.036  -0.774 0.884  -0.774 0.732  -0.774 0.580  -0.774 0.428  -0.774 0.276  -0.774 0.124  -0.774 -0.029  -0.774 -0.181  -0.770 -0.332  -0.740 -0.481  -0.712 -0.631  -0.712 -0.783  -0.654 -0.921  -0.586 -1.057  -0.527 -1.195  -0.443 -1.300  -0.403 -1.189  -0.325 -1.060  -0.279 -0.922  -0.221 -0.789  -0.129 -0.668  -0.064 -0.532  -0.007 -0.392  0.072 -0.262  0.150 -0.132  0.155 0.019  0.183 0.162  0.274 0.284  0.351 0.412  0.388 0.560  0.477 0.670  0.595 0.762  0.643 0.906  0.777 0.931  0.846 0.840  0.894 0.696  0.942 0.551  0.961 0.402  0.961 0.250  0.961 0.098  0.978 -0.051  1.023 -0.196  1.023 -0.348  1.023 -0.500  1.023 -0.652  1.023 -0.804
1c#tos#f2#f2025065/o  0.532 0.683  0.532 0.830  0.532 0.976  0.427 1.018  0.281 1.018  0.134 1.018  -0.012 1.018  -0.158 1.018  -0.302 1.004  -0.431 0.936  -0.553 0.854  -0.652 0.751  -0.734 0.629  -0.768 0.488  -0.797 0.344  -0.809 0.199  -0.809 0.053  -0.809 -0.094  -0.809 -0.240  -0.809 -0.387  -0.809 -0.533  -0.809 -0.680  -0.809 -0.826  -0.758 -0.961  -0.681 -1.085  -0.593 -1.194  -0.446 -1.194  -0.300 -1.194  -0.153 -1.194  -0.007 -1.194  0.135 -1.186  0.216 -1.064  0.322 -0.973  0.461 -0.927  0.543 -0.807  0.627 -0.687  0.715 -0.570  0.800 -0.452  0.800 -0.305  0.800 -0.159  0.800 -0.012  0.800 0.134  0.784 0.279  0.748 0.421  0.733 0.565  0.706 0.692  0.567 0.739  0.422 0.750  0.276 0.750  0.129 0.750
1c#tos#f2#f2025065/r  -0.180 0.693  -0.180 0.841  -0.180 0.988  -0.251 1.115  -0.333 1.237  -0.338 1.106  -0.338 0.958  -0.338 0.810  -0.338 0.663  -0.338 0.515  -0.338 0.368  -0.338 0.220  -0.338 0.072  -0.338 -0.075  -0.338 -0.223  -0.338 -0.370  -0.338 -0.518  -0.338 -0.666  -0.338 -0.813  -0.338 -0.961  -0.338 -1.108  -0.338 -1.256  -0.322 -1.401  -0.275 -1.541  -0.259 -1.653  -0.259 -1.505  -0.259 -1.358  -0.224 -1.214  -0.188 -1.071  -0.180 -0.925  -0.180 -0.777  -0.177 -0.630  -0.148 -0.485  -0.119 -0.340  -0.083 -0.197  -0.037 -0.057  0.051 0.058  0.155 0.162  0.243 0.279  0.309 0.411  0.375 0.542  0.457 0.665  0.547 0.777  0.690 0.812  0.833 0.848  0.905 0.973  1.031 1.008  1.179 1.008  1.326 1.008  1.474 1.008
1c#tos#f2#f2025065/t  -0.688 0.549  -0.843 0.510  -0.990 0.437  -1.136 0.363  -1.156 0.320  -1.023 0.396  -0.859 0.396  -0.695 0.396  -0.531 0.396  -0.367 0.396  -0.203 0.396  -0.039 0.396  0.125 0.396  0.289 0.396  0.453 0.396  0.617 0.396  0.781 0.396  0.945 0.396  0.875 0.396  0.711 0.396  0.547 0.396  0.383 0.396  0.219 0.396  0.109 0.483  0.076 0.639  0.076 0.803  0.076 0.968  0.152 1.055  0.152 1.101  0.152 0.937  0.152 0.773  0.152 0.609  0.152 0.445  0.152 0.281  0.152 0.117  0.152 -0.047  0.152 -0.211  0.101 -0.367  0.049 -0.523  -0.001 -0.679  -0.001 -0.843  -0.001 -1.007  -0.001 -1.171  -0.001 -1.335  -0.001 -1.499  -0.001 -1.663  0.059 -1.815  0.120 -1.968  0.176 -2.121  0.228 -2.277
1c#tos#f2#f2025065/v  -0.553 0.390  -0.721 0.390  -0.867 0.413  -0.867 0.581  -0.846 0.745  -0.731 0.830  -0.562 0.830  -0.427 0.796  -0.427 0.628  -0.427 0.460  -0.427 0.292  -0.427 0.124  -0.427 -0.045  -0.427 -0.213  -0.427 -0.381  -0.427 -0.549  -0.435 -0.717  -0.468 -0.882  -0.490 -1.048  -0.490 -1.216  -0.490 -1.384  -0.490 -1.552  -0.324 -1.555  -0.165 -1.518  -0.078 -1.387  -0.006 -1.237  0.087 -1.097  0.181 -0.957  0.232 -0.799  0.263 -0.634  0.263 -0.466  0.279 -0.300  0.320 -0.137  0.326 0.031  0.326 0.199  0.378 0.359  0.431 0.518  0.451 0.683  0.451 0.852  0.451 1.020  0.451 1.188  0.514 1.244  0.518 1.079  0.663 0.995  0.781 0.876  0.828 0.727  0.891 0.574  0.998 0.489  1.142 0.433  1.204 0.328
