3#app#app32#app3210/w  -0.487 0.117  -0.487 0.293  -0.487 0.469  -0.487 0.646  -0.500 0.809  -0.660 0.825  -0.660 1.001  -0.660 1.177  -0.660 1.353  -0.632 1.501  -0.487 1.469  -0.487 1.293  -0.487 1.117  -0.487 0.941  -0.487 0.765  -0.487 0.588  -0.487 0.412  -0.487 0.236  -0.487 0.060  -0.487 -0.116  -0.487 -0.292  -0.487 -0.469  -0.487 -0.645  -0.487 -0.821  -0.487 -0.845  -0.431 -0.692  -0.306 -0.567  -0.182 -0.443  -0.141 -0.521  -0.141 -0.697  -0.141 -0.873  -0.141 -1.049  -0.010 -1.094  0.166 -1.094  0.343 -1.094  0.477 -0.994  0.623 -0.921  0.724 -0.845  0.779 -0.692  0.897 -0.565  0.906 -0.392  1.031 -0.268  1.070 -0.108  1.158 0.032  1.243 0.173  1.184 0.290  1.008 0.290  0.897 0.225  0.945 0.069  1.070 -0.056
3#app#app32#app3210/a  1.030 0.739  1.030 0.922  0.928 1.003  0.745 1.003  0.561 1.003  0.378 1.003  0.194 1.003  0.011 1.003  -0.157 0.939  -0.321 0.857  -0.485 0.775  -0.557 0.636  -0.573 0.459  -0.702 0.329  -0.822 0.195  -0.822 0.012  -0.938 -0.055  -1.087 -0.091  -1.087 -0.274  -1.087 -0.457  -1.087 -0.641  -1.087 -0.824  -1.087 -1.008  -1.009 -1.114  -0.826 -1.114  -0.695 -0.987  -0.565 -0.857  -0.436 -0.727  -0.306 -0.598  -0.176 -0.468  -0.047 -0.338  0.083 -0.209  0.213 -0.079  0.236 0.095  0.285 0.258  0.415 0.388  0.501 0.535  0.501 0.719  0.501 0.575  0.501 0.392  0.501 0.208  0.501 0.025  0.501 -0.159  0.517 -0.336  0.646 -0.465  0.776 -0.595  0.906 -0.725  1.036 -0.854  1.165 -0.984  1.295 -1.114
3#app#app32#app3210/n  -0.900 -0.150  -1.024 -0.150  -1.103 -0.195  -1.103 -0.318  -1.192 -0.353  -1.305 -0.363  -1.305 -0.486  -1.251 -0.555  -1.127 -0.555  -1.103 -0.456  -1.082 -0.353  -0.959 -0.353  -0.871 -0.294  -0.816 -0.184  -0.760 -0.073  -0.705 0.037  -0.591 0.053  -0.475 0.072  -0.388 0.160  -0.301 0.247  -0.213 0.334  -0.126 0.422  -0.089 0.530  -0.089 0.654  -0.089 0.778  -0.052 0.863  0.072 0.863  0.196 0.863  0.319 0.863  0.443 0.863  0.519 0.815  0.519 0.692  0.584 0.595  0.672 0.508  0.721 0.405  0.721 0.281  0.721 0.157  0.721 0.034  0.721 -0.090  0.766 -0.195  0.854 -0.282  0.924 -0.377  0.924 -0.500  0.993 -0.555  1.116 -0.555  1.127 -0.669  1.161 -0.758  1.285 -0.758  1.408 -0.758  1.532 -0.758
3#app#app32#app3210/t  0.130 1.078  0.130 1.231  0.130 1.384  0.130 1.538  0.130 1.691  0.035 1.805  -0.080 1.781  -0.080 1.628  -0.080 1.475  -0.080 1.321  -0.080 1.168  -0.080 1.015  -0.080 0.862  -0.080 0.708  -0.080 0.555  -0.080 0.402  -0.080 0.248  -0.080 0.095  -0.080 -0.058  0.012 -0.173  0.025 -0.321  0.025 -0.474  0.040 -0.622  0.130 -0.737  0.130 -0.890  0.216 -1.008  0.236 -1.153  0.266 -1.299  0.335 -1.437  0.439 -1.548  0.362 -1.439  0.272 -1.315  0.182 -1.191  0.092 -1.067  0.001 -0.943  -0.089 -0.819  -0.179 -0.695  -0.269 -0.571  -0.359 -0.447  -0.486 -0.396  -0.607 -0.363  -0.607 -0.210  -0.478 -0.186  -0.345 -0.135  -0.215 -0.081  -0.061 -0.081  0.092 -0.081  0.245 -0.081  0.398 -0.081  0.552 -0.081
3#app#app32#app3210/e  -0.871 -0.184  -0.871 -0.363  -1.026 -0.386  -1.073 -0.253  -1.073 -0.074  -0.987 0.018  -0.826 0.063  -0.700 0.189  -0.548 0.281  -0.388 0.361  -0.223 0.423  -0.045 0.423  0.134 0.423  0.295 0.500  0.455 0.580  0.623 0.625  0.802 0.625  0.972 0.648  1.098 0.774  1.255 0.827  1.272 0.827  1.093 0.827  0.914 0.827  0.735 0.827  0.556 0.827  0.377 0.827  0.198 0.827  0.055 0.742  -0.076 0.625  -0.255 0.625  -0.384 0.505  -0.466 0.360  -0.494 0.193  -0.621 0.066  -0.668 -0.093  -0.668 -0.272  -0.668 -0.451  -0.639 -0.617  -0.512 -0.744  -0.466 -0.904  -0.376 -0.992  -0.197 -0.992  -0.031 -1.023  0.096 -1.150  0.256 -1.194  0.435 -1.194  0.614 -1.194  0.793 -1.194  0.972 -1.194  1.151 -1.194
3#app#app32#app3210/d  0.071 -0.713  -0.054 -0.642  -0.155 -0.487  -0.294 -0.348  -0.434 -0.213  -0.630 -0.213  -0.815 -0.232  -0.902 -0.408  -0.930 -0.598  -0.930 -0.794  -0.822 -0.946  -0.758 -1.088  -0.596 -1.172  -0.417 -1.213  -0.304 -1.130  -0.195 -0.979  -0.054 -0.914  0.031 -0.753  0.071 -0.573  0.132 -0.402  0.196 -0.232  0.196 -0.036  0.196 0.161  0.196 0.357  0.259 0.539  0.321 0.720  0.321 0.917  0.321 1.113  0.321 1.309  0.321 1.506  0.321 1.702  0.321 1.898  0.282 1.750  0.196 1.589  0.187 1.395  0.099 1.219  0.071 1.029  0.071 0.833  0.071 0.637  0.071 0.440  0.071 0.244  0.071 0.047  0.154 -0.129  0.196 -0.316  0.196 -0.512  0.281 -0.673  0.420 -0.812  0.559 -0.951  0.750 -0.963  0.947 -0.963
3#app#app32#app3210/p  0.397 0.756  0.353 0.847  0.262 0.687  0.262 0.491  0.262 0.294  0.208 0.110  0.128 -0.068  0.128 -0.265  0.083 -0.455  0.021 -0.642  -0.056 -0.822  -0.142 -0.999  -0.190 -1.176  -0.276 -1.337  -0.373 -1.494  -0.512 -1.633  -0.695 -1.666  -0.815 -1.589  -0.815 -1.392  -0.815 -1.195  -0.815 -0.998  -0.729 -0.822  -0.680 -0.636  -0.613 -0.455  -0.545 -0.274  -0.545 -0.077  -0.469 0.102  -0.374 0.273  -0.265 0.437  -0.155 0.601  -0.142 0.794  -0.071 0.961  0.068 1.101  0.207 1.240  0.262 1.414  0.444 1.429  0.531 1.320  0.568 1.160  0.666 1.061  0.685 0.872  0.801 0.723  0.801 0.526  0.777 0.353  0.666 0.267  0.561 0.113  0.397 0.063  0.314 -0.051  0.118 -0.051  -0.007 0.021  0.128 0.083
3#app#app32#app3210/i  -0.116 -0.104  -0.116 -0.206  -0.116 -0.307  -0.116 -0.409  -0.116 -0.511  -0.116 -0.613  -0.116 -0.715  -0.116 -0.817  -0.116 -0.919  -0.116 -1.020  -0.116 -1.122  -0.078 -1.186  0.024 -1.186  0.039 -1.273  0.073 -1.341  0.175 -1.341  0.188 -1.258  0.182 -1.156  0.176 -1.055  0.170 -0.953  0.164 -0.851  0.158 -0.750  0.152 -0.648  0.146 -0.546  0.141 -0.444  0.135 -0.343  0.129 -0.241  0.123 -0.139  0.117 -0.038  0.111 0.064  0.105 0.166  0.099 0.267  0.093 0.369  0.087 0.471  0.081 0.572  0.075 0.674  0.069 0.776  0.063 0.877  0.057 0.979  0.051 1.081  0.045 1.183  0.039 1.284  -0.031 1.357  -0.103 1.429  -0.175 1.502  -0.247 1.574  -0.319 1.646  -0.391 1.718  -0.373 1.752  -0.271 1.752
3#app#app32#app3210/n  -1.186 -0.112  -1.062 -0.112  -1.010 -0.112  -1.134 -0.112  -1.186 -0.184  -1.186 -0.308  -1.186 -0.216  -1.166 -0.112  -1.042 -0.112  -0.974 -0.056  -0.974 0.068  -0.909 0.165  -0.822 0.253  -0.734 0.341  -0.646 0.428  -0.559 0.516  -0.438 0.524  -0.338 0.549  -0.338 0.673  -0.296 0.779  -0.208 0.867  -0.118 0.948  0.006 0.948  0.086 0.904  0.086 0.780  0.166 0.736  0.290 0.736  0.298 0.620  0.298 0.496  0.298 0.372  0.362 0.312  0.486 0.312  0.510 0.212  0.510 0.088  0.510 -0.036  0.544 -0.146  0.632 -0.233  0.719 -0.321  0.722 -0.444  0.722 -0.568  0.722 -0.692  0.790 -0.748  0.914 -0.748  0.934 -0.852  0.950 -0.960  1.074 -0.960  1.146 -1.012  1.146 -1.136  1.234 -1.172  1.358 -1.172
3#app#app32#app3210/k  -0.235 1.245  -0.235 1.382  -0.235 1.519  -0.235 1.656  -0.235 1.793  -0.235 1.751  -0.325 1.651  -0.334 1.518  -0.334 1.381  -0.334 1.244  -0.334 1.108  -0.334 0.971  -0.284 0.846  -0.235 0.720  -0.235 0.583  -0.235 0.446  -0.235 0.309  -0.235 0.172  -0.235 0.035  -0.235 -0.102  -0.235 -0.239  -0.221 -0.372  -0.159 -0.495  -0.136 -0.626  -0.136 -0.763  -0.093 -0.882  -0.037 -0.996  -0.132 -1.038  -0.235 -1.004  -0.235 -0.867  -0.235 -0.731  -0.235 -0.594  -0.150 -0.542  -0.119 -0.426  -0.017 -0.343  0.120 -0.343  0.257 -0.343  0.394 -0.343  0.531 -0.343  0.482 -0.420  0.385 -0.517  0.288 -0.614  0.261 -0.740  0.398 -0.740  0.513 -0.793  0.631 -0.839  0.736 -0.917  0.832 -1.014  0.929 -1.110  0.956 -1.236
3#app#app32#app3210/y  -1.038 1.115  -1.020 1.226  -0.910 1.116  -0.909 0.960  -0.872 0.819  -0.762 0.709  -0.652 0.599  -0.633 0.451  -0.523 0.341  -0.413 0.230  -0.303 0.120  -0.261 -0.019  -0.137 -0.051  -0.117 -0.195  -0.007 -0.305  0.142 -0.297  0.259 -0.193  0.375 -0.090  0.492 0.014  0.608 0.117  0.725 0.221  0.841 0.324  0.958 0.428  1.074 0.532  1.191 0.635  1.275 0.726  1.119 0.726  0.963 0.726  0.807 0.726  0.688 0.639  0.577 0.529  0.447 0.467  0.387 0.372  0.332 0.229  0.262 0.089  0.155 -0.023  0.045 -0.133  -0.042 -0.260  -0.112 -0.400  -0.210 -0.518  -0.261 -0.653  -0.310 -0.797  -0.380 -0.937  -0.393 -1.089  -0.503 -1.199  -0.522 -1.348  -0.632 -1.458  -0.650 -1.606  -0.630 -1.754  -0.520 -1.864
