2#apb#apb15#app1531/D  -0.331 1.276  -0.338 1.085  -0.335 0.880  -0.344 0.674  -0.351 0.468  -0.357 0.262  -0.362 0.056  -0.362 -0.151  -0.362 -0.357  -0.370 -0.563  -0.377 -0.769  -0.373 -0.974  -0.292 -0.958  -0.325 -0.758  -0.367 -0.556  -0.409 -0.354  -0.450 -0.152  -0.492 0.050  -0.534 0.251  -0.576 0.453  -0.618 0.655  -0.660 0.857  -0.702 1.059  -0.806 1.142  -0.650 1.008  -0.463 0.928  -0.266 0.868  -0.065 0.824  0.137 0.782  0.335 0.727  0.529 0.657  0.723 0.587  0.904 0.491  1.077 0.380  1.233 0.248  1.364 0.089  1.407 -0.107  1.373 -0.297  1.252 -0.464  1.094 -0.593  0.924 -0.708  0.747 -0.813  0.553 -0.883  0.359 -0.953  0.162 -1.009  -0.041 -1.047  -0.243 -1.085  -0.449 -1.093  -0.653 -1.089  -0.849 -1.024
2#apb#apb15#app1531/a  0.518 0.053  0.441 0.206  0.379 0.364  0.325 0.524  0.227 0.663  0.106 0.783  -0.038 0.875  -0.189 0.945  -0.360 0.945  -0.526 0.920  -0.681 0.849  -0.834 0.774  -0.961 0.659  -1.088 0.545  -1.185 0.407  -1.261 0.255  -1.305 0.093  -1.318 -0.078  -1.322 -0.246  -1.227 -0.388  -1.092 -0.487  -0.942 -0.570  -0.775 -0.584  -0.604 -0.584  -0.442 -0.551  -0.292 -0.468  -0.141 -0.388  -0.006 -0.293  0.071 -0.140  0.150 0.011  0.232 0.161  0.306 0.314  0.355 0.478  0.412 0.639  0.454 0.645  0.422 0.477  0.386 0.310  0.366 0.142  0.397 -0.026  0.429 -0.194  0.474 -0.356  0.574 -0.494  0.675 -0.633  0.806 -0.738  0.952 -0.826  1.099 -0.914  1.255 -0.978  1.423 -1.006  1.592 -1.034  1.761 -1.062
2#apb#apb15#app1531/d  0.144 2.084  0.195 2.016  0.237 1.874  0.262 1.728  0.278 1.580  0.293 1.433  0.317 1.286  0.341 1.140  0.365 0.994  0.387 0.847  0.404 0.699  0.420 0.552  0.436 0.404  0.449 0.257  0.455 0.108  0.460 -0.040  0.466 -0.188  0.465 -0.336  0.457 -0.484  0.450 -0.633  0.447 -0.781  0.447 -0.929  0.465 -1.076  0.393 -1.010  0.331 -0.876  0.268 -0.741  0.205 -0.607  0.141 -0.473  0.078 -0.339  0.002 -0.211  -0.073 -0.083  -0.155 0.037  -0.284 0.112  -0.413 0.172  -0.549 0.114  -0.685 0.055  -0.798 -0.041  -0.907 -0.141  -0.984 -0.262  -1.031 -0.403  -0.996 -0.534  -0.919 -0.662  -0.784 -0.719  -0.646 -0.774  -0.508 -0.829  -0.362 -0.846  -0.214 -0.855  -0.066 -0.864  0.082 -0.873  0.231 -0.882
2#apb#apb15#app1531/s  0.499 0.850  0.615 0.943  0.693 1.026  0.545 1.025  0.399 1.001  0.253 0.976  0.107 0.952  -0.038 0.920  -0.182 0.887  -0.327 0.854  -0.470 0.818  -0.607 0.761  -0.743 0.703  -0.880 0.646  -1.019 0.595  -1.156 0.545  -1.121 0.405  -0.995 0.352  -0.849 0.322  -0.704 0.296  -0.556 0.280  -0.409 0.264  -0.262 0.248  -0.114 0.233  0.031 0.205  0.172 0.162  0.314 0.118  0.455 0.075  0.597 0.031  0.722 -0.047  0.842 -0.133  0.963 -0.219  1.040 -0.344  1.097 -0.476  1.068 -0.621  0.992 -0.728  0.855 -0.785  0.718 -0.841  0.580 -0.893  0.437 -0.932  0.294 -0.972  0.152 -1.012  0.009 -1.052  -0.138 -1.068  -0.286 -1.081  -0.433 -1.095  -0.581 -1.101  -0.727 -1.079  -0.874 -1.056  -0.980 -0.955
2#apb#apb15#app1531/a  0.796 0.262  0.792 0.420  0.754 0.570  0.616 0.649  0.473 0.713  0.318 0.748  0.164 0.784  0.012 0.775  -0.138 0.722  -0.287 0.669  -0.437 0.616  -0.588 0.568  -0.739 0.521  -0.891 0.474  -1.033 0.405  -1.172 0.329  -1.304 0.246  -1.381 0.107  -1.458 -0.031  -1.530 -0.173  -1.440 -0.300  -1.291 -0.347  -1.137 -0.379  -0.978 -0.379  -0.820 -0.379  -0.663 -0.360  -0.508 -0.326  -0.353 -0.293  -0.207 -0.236  -0.068 -0.160  0.072 -0.084  0.198 0.010  0.324 0.108  0.443 0.212  0.555 0.324  0.692 0.396  0.622 0.333  0.574 0.186  0.546 0.030  0.526 -0.127  0.526 -0.286  0.548 -0.435  0.660 -0.547  0.773 -0.659  0.897 -0.757  1.026 -0.850  1.154 -0.943  1.303 -0.995  1.455 -1.041  1.606 -1.088
2#apb#apb15#app1531/i  -0.219 -0.350  -0.219 -0.444  -0.216 -0.538  -0.206 -0.632  -0.195 -0.726  -0.154 -0.810  -0.112 -0.895  -0.067 -0.978  -0.012 -1.054  0.043 -1.130  0.125 -1.177  0.207 -1.224  0.273 -1.291  0.298 -1.350  0.282 -1.257  0.267 -1.164  0.251 -1.071  0.236 -0.978  0.220 -0.885  0.205 -0.792  0.189 -0.699  0.174 -0.606  0.158 -0.513  0.143 -0.420  0.127 -0.327  0.112 -0.234  0.096 -0.141  0.081 -0.048  0.065 0.045  0.050 0.138  0.034 0.231  0.019 0.324  0.003 0.417  -0.012 0.510  -0.028 0.603  -0.043 0.696  -0.059 0.789  -0.074 0.882  -0.090 0.975  -0.105 1.068  -0.121 1.161  -0.136 1.254  -0.152 1.347  -0.167 1.440  -0.183 1.533  -0.198 1.626  -0.214 1.719  -0.266 1.734  -0.238 1.652  -0.172 1.585
2#apb#apb15#app1531/d  0.474 1.980  0.413 1.886  0.386 1.776  0.360 1.666  0.349 1.554  0.337 1.441  0.326 1.329  0.323 1.216  0.323 1.102  0.323 0.989  0.323 0.876  0.323 0.763  0.323 0.650  0.323 0.537  0.323 0.424  0.323 0.310  0.327 0.197  0.335 0.085  0.344 -0.028  0.352 -0.141  0.360 -0.254  0.372 -0.366  0.384 -0.479  0.396 -0.591  0.419 -0.702  0.434 -0.805  0.359 -0.724  0.270 -0.653  0.185 -0.579  0.102 -0.502  0.018 -0.426  -0.074 -0.362  -0.174 -0.309  -0.275 -0.262  -0.388 -0.262  -0.500 -0.269  -0.601 -0.319  -0.702 -0.370  -0.778 -0.453  -0.850 -0.540  -0.898 -0.635  -0.889 -0.747  -0.857 -0.848  -0.770 -0.921  -0.683 -0.993  -0.579 -1.024  -0.466 -1.036  -0.354 -1.048  -0.241 -1.060  -0.129 -1.072
2#apb#apb15#app1531/\"  -1.155 1.068  -1.163 0.956  -1.108 0.833  -1.053 0.709  -0.988 0.591  -0.918 0.475  -0.849 0.359  -0.788 0.239  -0.752 0.109  -0.717 -0.022  -0.681 -0.152  -0.627 -0.276  -0.570 -0.399  -0.513 -0.522  -0.457 -0.644  -0.409 -0.771  -0.367 -0.899  -0.324 -1.027  -0.281 -1.156  -0.215 -1.274  -0.148 -1.391  -0.092 -1.369  -0.043 -1.243  0.006 -1.116  0.054 -0.990  0.103 -0.864  0.151 -0.738  0.200 -0.612  0.248 -0.485  0.297 -0.359  0.345 -0.233  0.394 -0.107  0.443 0.020  0.491 0.146  0.540 0.272  0.588 0.398  0.637 0.525  0.685 0.651  0.734 0.777  0.782 0.903  0.831 1.030  0.868 1.148  0.744 1.128  0.677 1.013  0.677 0.877  0.677 0.742  0.686 0.608  0.736 0.483  0.786 0.357  0.837 0.232
2#apb#apb15#app1531/e  -0.788 -0.160  -0.694 -0.237  -0.534 -0.214  -0.375 -0.191  -0.226 -0.131  -0.080 -0.063  0.066 0.005  0.212 0.073  0.358 0.141  0.503 0.211  0.645 0.287  0.787 0.364  0.912 0.463  1.010 0.585  1.030 0.745  0.962 0.883  0.870 1.015  0.731 1.075  0.572 1.103  0.414 1.131  0.259 1.101  0.106 1.050  -0.046 0.999  -0.191 0.930  -0.326 0.842  -0.461 0.755  -0.596 0.667  -0.694 0.539  -0.792 0.411  -0.890 0.283  -0.960 0.143  -0.980 -0.017  -1.000 -0.176  -0.989 -0.335  -0.955 -0.493  -0.907 -0.640  -0.771 -0.727  -0.635 -0.813  -0.499 -0.899  -0.355 -0.962  -0.194 -0.968  -0.033 -0.973  0.128 -0.979  0.289 -0.985  0.450 -0.985  0.611 -0.980  0.772 -0.975  0.933 -0.970  1.094 -0.965  1.255 -0.960
2#apb#apb15#app1531/a  0.254 0.645  0.105 0.738  -0.043 0.831  -0.206 0.896  -0.373 0.923  -0.542 0.875  -0.692 0.792  -0.827 0.679  -0.943 0.549  -1.050 0.410  -1.158 0.272  -1.207 0.103  -1.242 -0.068  -1.242 -0.243  -1.224 -0.411  -1.099 -0.535  -0.953 -0.630  -0.800 -0.717  -0.627 -0.726  -0.452 -0.726  -0.299 -0.639  -0.152 -0.546  -0.055 -0.400  0.040 -0.252  0.130 -0.102  0.221 0.049  0.300 0.205  0.372 0.365  0.445 0.525  0.462 0.697  0.462 0.872  0.462 1.048  0.417 0.990  0.352 0.827  0.292 0.663  0.268 0.489  0.243 0.315  0.218 0.141  0.264 -0.024  0.330 -0.187  0.395 -0.350  0.460 -0.513  0.588 -0.632  0.717 -0.750  0.847 -0.868  0.990 -0.967  1.149 -1.042  1.308 -1.117  1.467 -1.191  1.625 -1.266
2#apb#apb15#app1531/t  0.173 1.964  0.154 1.812  0.135 1.659  0.121 1.506  0.110 1.353  0.098 1.199  0.088 1.046  0.088 0.892  0.088 0.738  0.088 0.584  0.088 0.431  0.088 0.277  0.088 0.123  0.088 -0.031  0.088 -0.185  0.095 -0.338  0.116 -0.490  0.136 -0.643  0.156 -0.795  0.179 -0.947  0.217 -1.096  0.254 -1.246  0.294 -1.394  0.339 -1.541  0.394 -1.684  0.358 -1.605  0.293 -1.465  0.228 -1.326  0.164 -1.186  0.099 -1.046  0.034 -0.907  -0.031 -0.767  -0.095 -0.628  -0.160 -0.488  -0.225 -0.349  -0.289 -0.209  -0.354 -0.070  -0.419 0.070  -0.483 0.209  -0.548 0.349  -0.613 0.489  -0.678 0.628  -0.668 0.638  -0.514 0.638  -0.361 0.638  -0.207 0.638  -0.053 0.638  0.101 0.638  0.255 0.638  0.408 0.638
