1c#tos#t1#t1069062/a  -0.764 1.452  -0.761 1.490  -0.570 1.490  -0.380 1.490  -0.189 1.490  -0.038 1.415  0.132 1.377  0.210 1.264  0.289 1.130  0.439 1.032  0.439 0.841  0.477 0.659  0.477 0.469  0.477 0.278  0.477 0.087  0.477 -0.104  0.439 -0.286  0.428 -0.465  0.237 -0.465  0.176 -0.623  0.063 -0.730  -0.045 -0.841  -0.236 -0.841  -0.427 -0.841  -0.602 -0.879  -0.726 -0.791  -0.839 -0.691  -0.914 -0.546  -0.952 -0.393  -0.952 -0.202  -0.949 -0.013  -0.821 0.099  -0.705 0.174  -0.519 0.205  -0.361 0.287  -0.170 0.287  -0.011 0.228  0.063 0.086  0.164 -0.054  0.251 -0.168  0.251 -0.359  0.251 -0.549  0.289 -0.725  0.363 -0.841  0.441 -0.954  0.590 -0.996  0.747 -1.029  0.938 -1.029  1.113 -0.992  1.229 -0.916
1c#tos#t1#t1069062/b  -0.265 2.009  -0.350 1.902  -0.350 1.711  -0.350 1.520  -0.350 1.328  -0.350 1.137  -0.350 0.946  -0.350 0.754  -0.350 0.563  -0.382 0.379  -0.392 0.190  -0.392 -0.001  -0.392 -0.192  -0.392 -0.384  -0.392 -0.575  -0.392 -0.766  -0.392 -0.958  -0.392 -1.149  -0.392 -1.242  -0.392 -1.051  -0.392 -0.859  -0.434 -0.675  -0.476 -0.494  -0.476 -0.302  -0.476 -0.111  -0.476 0.080  -0.441 0.250  -0.283 0.341  -0.134 0.444  0.005 0.528  0.186 0.570  0.378 0.570  0.569 0.570  0.755 0.547  0.889 0.444  0.962 0.325  1.065 0.221  1.131 0.076  1.131 -0.115  1.046 -0.279  1.009 -0.467  0.868 -0.589  0.697 -0.662  0.563 -0.790  0.406 -0.892  0.237 -0.953  0.045 -0.953  -0.145 -0.956  -0.327 -0.995  -0.519 -0.995
1c#tos#t1#t1069062/d  0.322 -0.079  0.247 -0.125  0.090 -0.033  -0.001 0.089  -0.198 0.106  -0.411 0.106  -0.540 -0.032  -0.628 -0.225  -0.812 -0.303  -0.832 -0.501  -0.832 -0.715  -0.814 -0.910  -0.694 -1.003  -0.572 -1.094  -0.376 -1.053  -0.275 -0.899  -0.200 -0.725  -0.055 -0.598  -0.048 -0.386  0.016 -0.200  0.045 0.002  0.091 0.204  0.163 0.373  0.183 0.574  0.183 0.787  0.240 0.989  0.275 1.199  0.275 1.412  0.319 1.620  0.322 1.833  0.321 1.858  0.286 1.647  0.275 1.435  0.174 1.261  0.126 1.054  0.091 0.849  0.091 0.635  0.045 0.429  0.003 0.220  -0.001 0.007  -0.001 -0.206  -0.001 -0.419  -0.001 -0.633  0.027 -0.817  0.158 -0.951  0.270 -1.130  0.385 -1.296  0.546 -1.431  0.754 -1.463  0.968 -1.463
1c#tos#t1#t1069062/f  0.727 1.793  0.584 1.793  0.442 1.793  0.335 1.730  0.251 1.626  0.158 1.541  0.158 1.399  0.086 1.327  0.058 1.188  0.051 1.046  0.051 0.903  0.051 0.761  0.051 0.618  0.051 0.476  0.051 0.334  0.051 0.191  0.086 0.054  0.086 -0.088  0.122 -0.222  0.128 -0.364  0.158 -0.503  0.158 -0.645  0.193 -0.779  0.193 -0.922  0.193 -1.064  0.193 -1.207  0.145 -1.301  0.029 -1.344  -0.096 -1.373  -0.238 -1.373  -0.323 -1.299  -0.358 -1.161  -0.392 -1.023  -0.427 -0.884  -0.461 -0.746  -0.496 -0.608  -0.531 -0.470  -0.565 -0.332  -0.600 -0.193  -0.663 -0.092  -0.587 -0.092  -0.444 -0.092  -0.302 -0.092  -0.159 -0.092  -0.020 -0.089  0.090 -0.057  0.230 -0.038  0.371 -0.021  0.513 -0.021  0.620 0.015
1c#tos#t1#t1069062/g  0.331 0.749  0.331 0.962  0.303 1.167  0.286 1.376  0.088 1.427  -0.121 1.423  -0.247 1.337  -0.392 1.270  -0.490 1.156  -0.618 1.071  -0.734 0.975  -0.799 0.827  -0.799 0.615  -0.753 0.421  -0.587 0.357  -0.400 0.297  -0.187 0.297  0.025 0.297  0.133 0.452  0.286 0.524  0.363 0.659  0.377 0.460  0.377 0.247  0.377 0.035  0.377 -0.177  0.377 -0.390  0.377 -0.602  0.377 -0.814  0.377 -1.027  0.377 -1.239  0.255 -1.330  0.054 -1.375  -0.159 -1.375  -0.371 -1.375  -0.448 -1.239  -0.660 -1.239  -0.753 -1.082  -0.699 -0.887  -0.643 -0.687  -0.534 -0.561  -0.325 -0.547  -0.211 -0.396  -0.059 -0.335  0.102 -0.253  0.309 -0.245  0.522 -0.245  0.734 -0.245  0.946 -0.245  1.159 -0.245  1.371 -0.245
1c#tos#t1#t1069062/h  -0.126 2.167  -0.126 2.020  -0.126 1.872  -0.126 1.725  -0.126 1.577  -0.170 1.447  -0.225 1.310  -0.244 1.166  -0.253 1.019  -0.282 0.875  -0.283 0.727  -0.343 0.594  -0.361 0.451  -0.361 0.303  -0.361 0.156  -0.361 0.008  -0.361 -0.139  -0.361 -0.287  -0.361 -0.434  -0.361 -0.582  -0.361 -0.729  -0.361 -0.877  -0.361 -1.024  -0.379 -0.939  -0.401 -0.796  -0.440 -0.665  -0.440 -0.517  -0.361 -0.418  -0.361 -0.271  -0.338 -0.138  -0.244 -0.033  -0.161 0.086  -0.013 0.086  0.118 0.125  0.207 0.050  0.228 -0.095  0.228 -0.242  0.267 -0.351  0.267 -0.498  0.287 -0.642  0.346 -0.748  0.346 -0.895  0.444 -0.975  0.591 -0.972  0.732 -0.935  0.852 -0.851  0.972 -0.766  1.106 -0.725  1.224 -0.638  1.328 -0.582
1c#tos#t1#t1069062/m  -1.571 -0.005  -1.527 0.182  -1.452 0.303  -1.351 0.436  -1.219 0.500  -1.219 0.697  -1.025 0.700  -0.828 0.700  -0.733 0.563  -0.691 0.376  -0.691 0.180  -0.691 -0.017  -0.691 -0.214  -0.779 -0.356  -0.823 -0.469  -0.701 -0.323  -0.655 -0.134  -0.573 0.011  -0.478 0.183  -0.322 0.259  -0.163 0.297  -0.061 0.391  0.014 0.269  0.014 0.072  0.014 -0.124  0.014 -0.321  0.014 -0.518  -0.119 -0.583  -0.092 -0.665  -0.031 -0.530  -0.031 -0.334  0.013 -0.181  0.142 -0.054  0.235 0.099  0.334 0.228  0.450 0.386  0.644 0.391  0.718 0.269  0.850 0.204  0.850 0.007  0.850 -0.189  0.938 -0.298  0.985 -0.461  1.177 -0.489  1.356 -0.445  1.529 -0.407  1.691 -0.323  1.754 -0.181  1.893 -0.078  2.039 -0.005
1c#tos#t1#t1069062/o  -0.159 1.238  -0.250 1.124  -0.340 1.011  -0.427 0.895  -0.522 0.786  -0.578 0.660  -0.632 0.525  -0.669 0.386  -0.702 0.245  -0.782 0.125  -0.847 -0.005  -0.874 -0.144  -0.874 -0.289  -0.874 -0.434  -0.874 -0.579  -0.874 -0.724  -0.787 -0.815  -0.666 -0.895  -0.650 -1.032  -0.603 -1.130  -0.458 -1.130  -0.313 -1.130  -0.168 -1.130  -0.023 -1.130  0.086 -1.052  0.177 -0.951  0.314 -0.915  0.432 -0.834  0.466 -0.711  0.549 -0.600  0.654 -0.501  0.789 -0.447  0.868 -0.356  0.868 -0.211  0.880 -0.067  0.941 0.060  0.958 0.199  0.958 0.344  0.958 0.489  0.958 0.634  0.836 0.657  0.734 0.753  0.627 0.791  0.482 0.791  0.427 0.880  0.286 0.914  0.142 0.925  -0.003 0.925  -0.148 0.925  -0.293 0.925
1c#tos#t1#t1069062/p  -0.130 1.153  -0.130 0.934  -0.220 0.805  -0.265 0.596  -0.265 0.377  -0.310 0.164  -0.310 -0.055  -0.310 -0.275  -0.310 -0.494  -0.320 -0.712  -0.351 -0.929  -0.355 -1.148  -0.355 -1.367  -0.355 -1.586  -0.355 -1.805  -0.355 -1.878  -0.341 -1.660  -0.321 -1.441  -0.301 -1.223  -0.281 -1.005  -0.260 -0.787  -0.240 -0.569  -0.220 -0.351  -0.200 -0.133  -0.180 0.086  -0.160 0.304  -0.140 0.522  -0.119 0.740  -0.099 0.958  -0.154 1.108  -0.265 1.180  -0.173 1.185  0.028 1.243  0.247 1.243  0.454 1.231  0.550 1.105  0.724 1.028  0.814 0.899  0.946 0.750  0.949 0.533  0.949 0.314  0.926 0.118  0.842 -0.017  0.679 -0.118  0.465 -0.152  0.274 -0.220  0.077 -0.242  -0.142 -0.242  -0.271 -0.152  -0.355 -0.017
1c#tos#t1#t1069062/q  0.286 1.242  0.116 1.242  -0.055 1.242  -0.208 1.225  -0.306 1.095  -0.415 0.968  -0.485 0.817  -0.627 0.748  -0.702 0.615  -0.706 0.446  -0.801 0.304  -0.850 0.183  -0.850 0.013  -0.820 -0.151  -0.751 -0.267  -0.610 -0.336  -0.490 -0.387  -0.319 -0.387  -0.149 -0.387  -0.060 -0.306  -0.010 -0.170  0.148 -0.107  0.208 0.029  0.294 0.164  0.335 0.317  0.335 0.487  0.335 0.657  0.335 0.828  0.335 0.998  0.385 1.139  0.385 0.969  0.385 0.799  0.370 0.634  0.286 0.499  0.286 0.328  0.286 0.158  0.286 -0.012  0.286 -0.183  0.286 -0.353  0.286 -0.523  0.286 -0.693  0.286 -0.864  0.286 -1.034  0.286 -1.204  0.286 -1.375  0.286 -1.545  0.286 -1.715  0.286 -1.886  0.335 -2.044  0.335 -2.215
1c#tos#t1#t1069062/u  -0.526 1.221  -0.585 1.073  -0.670 0.985  -0.842 0.985  -0.880 0.850  -0.887 0.680  -0.983 0.536  -0.998 0.368  -1.032 0.199  -1.057 0.030  -1.057 -0.143  -1.057 -0.315  -1.057 -0.488  -1.057 -0.661  -0.998 -0.809  -0.918 -0.902  -0.745 -0.902  -0.573 -0.902  -0.421 -0.832  -0.290 -0.722  -0.208 -0.584  -0.063 -0.493  0.064 -0.399  0.064 -0.227  0.182 -0.172  0.182 0.001  0.214 0.166  0.241 0.332  0.334 0.477  0.359 0.642  0.469 0.746  0.595 0.796  0.595 0.969  0.557 0.867  0.468 0.732  0.418 0.571  0.418 0.398  0.418 0.226  0.492 0.071  0.536 -0.092  0.536 -0.264  0.543 -0.430  0.654 -0.492  0.711 -0.607  0.884 -0.607  1.056 -0.607  1.229 -0.607  1.402 -0.607  1.570 -0.570  1.715 -0.489
