1c#apa#apa19#app1964/v  -0.769 1.037  -0.899 1.039  -0.899 1.172  -0.899 1.290  -0.889 1.167  -0.769 1.155  -0.758 1.026  -0.664 0.932  -0.608 0.815  -0.565 0.689  -0.523 0.562  -0.470 0.441  -0.411 0.322  -0.377 0.197  -0.350 0.070  -0.291 -0.049  -0.246 -0.172  -0.246 -0.305  -0.219 -0.427  -0.125 -0.521  -0.116 -0.650  -0.116 -0.783  -0.116 -0.916  -0.025 -1.012  0.015 -1.128  0.070 -1.238  0.145 -1.340  0.175 -1.443  0.276 -1.411  0.300 -1.288  0.394 -1.194  0.406 -1.066  0.459 -0.946  0.519 -0.827  0.537 -0.698  0.537 -0.565  0.537 -0.432  0.537 -0.299  0.537 -0.166  0.537 -0.033  0.537 0.101  0.537 0.234  0.537 0.367  0.537 0.500  0.537 0.633  0.537 0.766  0.537 0.899  0.537 1.032  0.537 1.165  0.537 1.298
1c#apa#apa19#app1964/e  -0.600 -0.204  -0.600 -0.356  -0.467 -0.376  -0.315 -0.376  -0.163 -0.376  -0.032 -0.325  0.076 -0.218  0.222 -0.204  0.375 -0.204  0.500 -0.138  0.608 -0.032  0.760 -0.032  0.873 0.063  0.993 0.141  1.123 0.163  1.123 0.315  1.123 0.467  1.123 0.619  1.123 0.772  1.039 0.872  0.903 0.940  0.765 1.002  0.613 1.002  0.461 1.002  0.309 1.002  0.156 1.002  0.004 1.002  -0.129 0.956  -0.237 0.848  -0.381 0.830  -0.502 0.755  -0.600 0.643  -0.600 0.491  -0.703 0.381  -0.772 0.258  -0.772 0.105  -0.772 -0.047  -0.772 -0.199  -0.772 -0.351  -0.772 -0.504  -0.738 -0.650  -0.690 -0.795  -0.642 -0.939  -0.600 -1.085  -0.600 -1.237  -0.492 -1.345  -0.367 -1.410  -0.215 -1.410  -0.063 -1.410  0.090 -1.410
1c#apa#apa19#app1964/x  -1.113 0.968  -0.988 0.842  -0.957 0.677  -0.847 0.545  -0.739 0.406  -0.640 0.258  -0.542 0.110  -0.431 -0.027  -0.294 -0.125  -0.134 -0.168  -0.008 -0.293  0.117 -0.419  0.287 -0.437  0.414 -0.560  0.540 -0.685  0.691 -0.750  0.837 -0.826  0.912 -0.842  0.898 -0.665  0.884 -0.488  0.871 -0.311  0.857 -0.134  0.844 0.044  0.830 0.221  0.816 0.398  0.803 0.575  0.789 0.752  0.776 0.929  0.762 1.106  0.648 1.237  0.488 1.280  0.351 1.183  0.250 1.040  0.171 0.881  0.065 0.741  -0.060 0.615  -0.182 0.487  -0.262 0.328  -0.341 0.170  -0.421 0.011  -0.489 -0.151  -0.510 -0.323  -0.589 -0.482  -0.662 -0.644  -0.718 -0.812  -0.774 -0.981  -0.801 -1.154  -0.801 -1.331  -0.801 -1.509  -0.801 -1.687
1c#apa#apa19#app1964/i  -0.026 0.647  -0.026 0.525  -0.026 0.403  -0.026 0.281  -0.026 0.159  -0.086 0.062  -0.172 -0.024  -0.201 -0.134  -0.213 -0.253  -0.268 -0.362  -0.323 -0.471  -0.376 -0.581  -0.376 -0.703  -0.376 -0.825  -0.376 -0.947  -0.376 -1.069  -0.376 -1.191  -0.351 -1.303  -0.264 -1.389  -0.169 -1.453  -0.047 -1.453  -0.016 -1.352  -0.003 -1.231  0.009 -1.109  0.021 -0.988  0.033 -0.866  0.045 -0.745  0.057 -0.624  0.069 -0.502  0.081 -0.381  0.094 -0.259  0.106 -0.138  0.118 -0.017  0.130 0.105  0.142 0.226  0.154 0.348  0.166 0.469  0.179 0.590  0.191 0.712  0.203 0.833  0.215 0.955  0.227 1.076  0.239 1.197  0.251 1.319  0.264 1.440  0.276 1.562  0.288 1.683  0.300 1.804  0.312 1.926  0.324 2.047
1c#apa#apa19#app1964/n  -0.385 0.849  -0.385 0.672  -0.385 0.494  -0.550 0.481  -0.569 0.322  -0.569 0.145  -0.569 -0.033  -0.569 -0.211  -0.569 -0.389  -0.569 -0.566  -0.569 -0.744  -0.569 -0.922  -0.569 -1.100  -0.569 -1.278  -0.569 -1.266  -0.569 -1.088  -0.569 -0.910  -0.569 -0.732  -0.569 -0.555  -0.569 -0.377  -0.569 -0.199  -0.533 -0.036  -0.408 0.090  -0.385 0.258  -0.385 0.436  -0.385 0.613  -0.328 0.778  -0.249 0.937  -0.200 1.103  -0.137 1.218  0.041 1.218  0.218 1.218  0.396 1.218  0.553 1.184  0.633 1.025  0.712 0.866  0.833 0.737  0.904 0.589  0.904 0.411  0.904 0.233  0.904 0.055  0.904 -0.123  0.904 -0.300  0.904 -0.478  0.904 -0.656  0.879 -0.808  0.720 -0.827  0.720 -1.005  0.720 -1.183  0.720 -1.361
1c#apa#apa19#app1964/g  0.061 0.937  0.009 1.086  -0.132 1.141  -0.217 1.227  -0.387 1.227  -0.517 1.131  -0.614 1.001  -0.614 0.831  -0.614 0.661  -0.614 0.491  -0.598 0.325  -0.522 0.173  -0.472 0.023  -0.322 -0.027  -0.152 -0.027  0.018 -0.027  0.151 0.062  0.203 0.211  0.254 0.360  0.254 0.530  0.254 0.700  0.233 0.862  0.157 1.000  0.061 1.130  -0.036 1.056  -0.036 0.886  -0.036 0.716  0.036 0.576  0.121 0.430  0.157 0.269  0.266 0.141  0.342 -0.011  0.453 -0.137  0.529 -0.289  0.605 -0.441  0.640 -0.604  0.736 -0.734  0.736 -0.904  0.736 -1.074  0.677 -1.185  0.546 -1.279  0.377 -1.281  0.247 -1.378  0.077 -1.378  -0.093 -1.378  -0.263 -1.378  -0.434 -1.378  -0.604 -1.378  -0.755 -1.422  -0.904 -1.474
1c#apa#apa19#app1964/d  0.104 2.100  0.104 2.125  0.104 1.977  0.104 1.828  0.104 1.679  0.104 1.530  0.104 1.382  0.104 1.233  0.104 1.084  0.104 0.935  0.104 0.787  0.136 0.645  0.191 0.510  0.191 0.361  0.206 0.214  0.242 0.070  0.278 -0.075  0.278 -0.223  0.278 -0.372  0.348 -0.492  0.365 -0.634  0.365 -0.783  0.365 -0.931  0.365 -0.807  0.278 -0.745  0.217 -0.622  0.112 -0.517  0.017 -0.407  0.017 -0.258  -0.107 -0.186  -0.222 -0.096  -0.327 0.010  -0.460 0.077  -0.603 0.100  -0.730 0.048  -0.766 -0.086  -0.766 -0.235  -0.766 -0.383  -0.688 -0.500  -0.603 -0.622  -0.521 -0.746  -0.420 -0.855  -0.287 -0.922  -0.173 -1.014  -0.031 -1.031  0.118 -1.031  0.267 -1.031  0.415 -1.031  0.564 -1.031  0.713 -1.031
1c#apa#apa19#app1964/a  0.024 0.930  0.024 1.139  0.124 1.248  0.183 1.397  0.342 1.366  0.432 1.248  0.501 1.108  0.659 1.058  0.717 0.873  0.818 0.707  0.818 0.498  0.653 0.454  0.445 0.454  0.236 0.454  0.028 0.454  -0.181 0.454  -0.389 0.454  -0.598 0.454  -0.749 0.316  -0.943 0.281  -1.086 0.132  -1.125 -0.061  -1.245 -0.220  -1.245 -0.428  -1.245 -0.637  -1.224 -0.836  -1.076 -0.984  -0.929 -1.131  -0.721 -1.132  -0.512 -1.132  -0.304 -1.132  -0.100 -1.115  0.087 -1.022  0.284 -0.974  0.342 -0.823  0.484 -0.673  0.659 -0.631  0.659 -0.422  0.659 -0.214  0.659 -0.005  0.612 0.184  0.450 0.296  0.242 0.296  0.183 0.146  0.183 -0.063  0.183 -0.271  0.283 -0.439  0.430 -0.586  0.609 -0.656  0.659 -0.815
1c#apa#apa19#app1964/f  0.626 1.368  0.586 1.495  0.461 1.542  0.354 1.629  0.211 1.629  0.067 1.629  -0.074 1.624  -0.169 1.517  -0.233 1.389  -0.297 1.261  -0.330 1.125  -0.386 0.995  -0.417 0.859  -0.417 0.715  -0.417 0.572  -0.417 0.428  -0.399 0.289  -0.334 0.161  -0.330 0.018  -0.284 -0.114  -0.243 -0.248  -0.227 -0.385  -0.137 -0.494  -0.073 -0.623  -0.009 -0.751  0.077 -0.864  0.151 -0.985  0.230 -1.103  0.278 -1.226  0.374 -1.325  0.517 -1.325  0.452 -1.238  0.351 -1.137  0.249 -1.035  0.148 -0.934  0.046 -0.833  -0.055 -0.731  -0.156 -0.630  -0.258 -0.528  -0.359 -0.427  -0.461 -0.325  -0.421 -0.282  -0.278 -0.282  -0.134 -0.282  0.005 -0.307  0.141 -0.353  0.282 -0.369  0.425 -0.369  0.569 -0.369  0.712 -0.369
1c#apa#apa19#app1964/t  -0.023 1.410  -0.023 1.467  -0.023 1.297  -0.023 1.127  -0.023 0.957  -0.023 0.786  -0.023 0.616  -0.023 0.446  -0.023 0.276  -0.023 0.106  -0.023 -0.064  0.003 -0.228  0.079 -0.381  0.091 -0.548  0.091 -0.718  0.091 -0.888  0.091 -1.058  0.136 -1.221  0.190 -1.382  0.292 -1.514  0.318 -1.673  0.284 -1.696  0.211 -1.543  0.138 -1.389  0.065 -1.236  -0.008 -1.082  -0.081 -0.928  -0.154 -0.775  -0.228 -0.621  -0.301 -0.468  -0.374 -0.314  -0.447 -0.160  -0.520 -0.007  -0.593 0.147  -0.666 0.300  -0.740 0.454  -0.813 0.608  -0.769 0.730  -0.599 0.730  -0.429 0.730  -0.259 0.730  -0.089 0.730  0.081 0.730  0.251 0.730  0.422 0.730  0.592 0.730  0.731 0.803  0.885 0.843  1.055 0.843  1.225 0.843
1c#apa#apa19#app1964/j  0.005 0.465  0.089 0.517  0.089 0.611  0.121 0.484  0.186 0.367  0.255 0.261  0.259 0.128  0.338 0.026  0.338 -0.108  0.394 -0.230  0.421 -0.358  0.452 -0.480  0.504 -0.593  0.517 -0.725  0.577 -0.845  0.587 -0.977  0.587 -1.112  0.587 -1.247  0.486 -1.280  0.352 -1.280  0.228 -1.254  0.117 -1.197  -0.016 -1.187  -0.136 -1.127  -0.236 -1.039  -0.355 -0.976  -0.483 -0.948  -0.493 -0.823  -0.491 -0.689  -0.465 -0.557  -0.439 -0.425  -0.412 -0.293  -0.386 -0.161  -0.359 -0.029  -0.333 0.103  -0.306 0.235  -0.280 0.368  -0.254 0.500  -0.227 0.632  -0.201 0.764  -0.174 0.896  -0.148 1.028  -0.122 1.160  -0.095 1.292  -0.110 1.412  -0.189 1.518  -0.244 1.640  -0.244 1.775  -0.212 1.878  -0.078 1.878
