2#tos#t1#t1012066/#  -1.149 0.598  -1.332 0.450  -0.926 0.413  -0.514 0.413  -0.102 0.413  0.307 0.406  0.697 0.338  0.906 0.312  0.507 0.207  0.109 0.103  -0.289 -0.002  -0.688 -0.106  -1.086 -0.210  -1.372 -0.398  -0.982 -0.442  -0.571 -0.442  -0.159 -0.442  0.253 -0.442  0.665 -0.442  0.986 -0.377  0.743 -0.045  0.500 0.288  0.258 0.621  0.015 0.954  -0.228 1.287  -0.406 1.192  -0.407 0.780  -0.480 0.379  -0.518 -0.018  -0.555 -0.421  -0.568 -0.831  -0.592 -1.240  -0.512 -1.333  -0.319 -0.969  -0.126 -0.605  0.068 -0.242  0.261 0.122  0.454 0.486  0.648 0.849  0.841 1.213  0.866 1.416  0.675 1.143  0.634 0.743  0.597 0.340  0.597 -0.072  0.523 -0.469  0.492 -0.874  0.458 -1.278  0.448 -1.687  0.374 -2.077
2#tos#t1#t1012066/%  0.884 1.249  0.712 1.113  0.545 0.954  0.430 0.746  0.284 0.543  0.183 0.302  0.041 0.094  -0.111 -0.117  -0.226 -0.343  -0.375 -0.539  -0.489 -0.773  -0.629 -0.984  -0.785 -1.164  -0.856 -1.388  -0.947 -1.514  -0.874 -1.263  -0.801 -1.011  -0.728 -0.760  -0.654 -0.508  -0.581 -0.257  -0.508 -0.005  -0.435 0.246  -0.362 0.498  -0.438 0.559  -0.646 0.619  -0.733 0.803  -0.717 1.048  -0.567 1.197  -0.362 1.305  -0.112 1.325  -0.049 1.126  -0.080 0.891  -0.249 0.723  -0.377 0.595  -0.187 0.415  0.004 0.235  0.194 0.055  0.384 -0.125  0.574 -0.305  0.765 -0.485  0.955 -0.665  0.828 -0.784  0.616 -0.703  0.581 -0.455  0.685 -0.261  0.878 -0.168  1.105 -0.208  1.161 -0.431  1.111 -0.658  0.959 -0.768
2#tos#t1#t1012066/(  0.531 1.469  0.449 1.469  0.444 1.393  0.416 1.339  0.354 1.293  0.289 1.252  0.270 1.189  0.229 1.125  0.149 1.122  0.097 1.092  0.097 1.011  0.083 0.935  0.053 0.866  -0.025 0.862  -0.051 0.791  -0.071 0.712  -0.134 0.688  -0.164 0.636  -0.164 0.555  -0.193 0.485  -0.207 0.409  -0.207 0.328  -0.207 0.246  -0.240 0.178  -0.250 0.101  -0.250 0.019  -0.250 -0.063  -0.250 -0.144  -0.250 -0.226  -0.250 -0.307  -0.250 -0.389  -0.250 -0.471  -0.250 -0.552  -0.250 -0.634  -0.250 -0.716  -0.213 -0.782  -0.155 -0.839  -0.120 -0.907  -0.120 -0.988  -0.077 -1.052  -0.034 -1.091  0.027 -1.124  0.053 -1.200  0.096 -1.264  0.140 -1.327  0.190 -1.364  0.226 -1.437  0.271 -1.505  0.314 -1.574  0.357 -1.612
2#tos#t1#t1012066/*  -0.636 0.927  -0.946 0.907  -0.807 0.679  -0.628 0.488  -0.450 0.253  -0.169 0.179  0.063 -0.038  0.215 -0.250  0.381 -0.497  0.541 -0.715  0.763 -0.869  0.912 -1.050  0.992 -0.916  1.021 -0.588  1.050 -0.259  1.079 0.070  1.108 0.399  1.137 0.727  1.160 0.922  0.887 0.865  0.687 0.639  0.442 0.493  0.245 0.260  -0.002 0.122  -0.202 -0.008  -0.338 -0.250  -0.580 -0.374  -0.822 -0.571  -0.977 -0.745  -1.193 -0.906  -1.322 -0.993  -1.142 -0.719  -0.963 -0.441  -0.785 -0.163  -0.607 0.115  -0.429 0.392  -0.251 0.670  -0.073 0.948  0.105 1.226  0.145 1.398  0.045 1.233  0.045 0.903  0.045 0.574  0.045 0.244  0.045 -0.086  0.045 -0.416  0.045 -0.746  0.045 -1.076  0.045 -1.406  -0.017 -1.550
2#tos#t1#t1012066/+  -1.317 0.289  -1.412 0.165  -1.499 0.037  -1.377 -0.015  -1.202 -0.015  -1.028 -0.015  -0.854 -0.015  -0.679 -0.015  -0.505 -0.015  -0.331 -0.015  -0.156 -0.015  0.018 -0.015  0.193 -0.015  0.367 -0.015  0.541 -0.015  0.716 -0.015  0.890 -0.015  1.060 -0.026  1.214 -0.075  1.225 -0.006  1.105 0.121  0.984 0.247  0.864 0.373  0.744 0.499  0.623 0.625  0.503 0.751  0.382 0.877  0.262 1.003  0.141 1.130  0.021 1.256  -0.152 1.259  -0.164 1.098  -0.164 0.923  -0.104 0.763  -0.104 0.589  -0.104 0.415  -0.104 0.240  -0.104 0.066  -0.104 -0.109  -0.104 -0.283  -0.079 -0.453  -0.043 -0.622  -0.043 -0.796  -0.043 -0.971  -0.043 -1.145  -0.043 -1.319  -0.043 -1.494  0.018 -1.607  0.018 -1.782  0.018 -1.835
2#tos#t1#t1012066/,  0.760 1.494  0.727 1.427  0.693 1.359  0.659 1.292  0.625 1.224  0.591 1.156  0.558 1.089  0.524 1.021  0.502 0.951  0.502 0.875  0.502 0.800  0.502 0.724  0.432 0.718  0.356 0.718  0.281 0.718  0.243 0.681  0.243 0.605  0.243 0.530  0.243 0.454  0.243 0.379  0.243 0.303  0.243 0.227  0.216 0.160  0.174 0.097  0.132 0.034  0.090 -0.029  0.048 -0.091  0.006 -0.154  -0.036 -0.217  -0.078 -0.280  -0.120 -0.343  -0.162 -0.406  -0.203 -0.469  -0.245 -0.531  -0.285 -0.596  -0.319 -0.663  -0.352 -0.731  -0.386 -0.799  -0.420 -0.866  -0.454 -0.934  -0.488 -1.001  -0.521 -1.069  -0.577 -1.114  -0.645 -1.148  -0.712 -1.182  -0.780 -1.216  -0.848 -1.249  -0.915 -1.283  -0.983 -1.317  -1.050 -1.351
2#tos#t1#t1012066/.  0.889 0.968  0.889 0.509  0.691 0.249  0.649 -0.168  0.649 -0.626  0.649 -1.085  0.295 -1.189  -0.070 -1.097  -0.382 -0.950  -0.789 -0.899  -0.789 -0.440  -0.546 -0.222  -0.341 0.188  0.080 0.249  0.538 0.249  0.889 0.140  0.889 -0.318  0.822 -0.710  0.521 -0.965  0.201 -1.189  -0.257 -1.189  -0.667 -1.072  -1.075 -0.950  -1.269 -0.686  -1.269 -0.227  -1.269 0.231  -1.269 0.690  -1.141 1.095  -0.729 1.208  -0.282 1.235  0.088 1.447  0.169 1.070  0.526 0.968  0.649 0.632  0.649 0.174  0.649 -0.284  0.376 -0.470  -0.070 -0.458  -0.301 -0.231  -0.550 -0.021  -0.550 0.437  -0.382 0.728  -0.163 0.968  0.295 0.968  0.649 0.863  0.649 0.405  0.586 0.009  0.127 0.009  0.169 -0.012  -0.070 -0.231
2#tos#t1#t1012066/:  -0.003 1.240  -0.007 1.081  -0.109 1.142  0.009 1.187  0.050 1.064  -0.003 0.954  -0.112 0.974  -0.215 1.034  -0.162 1.144  -0.056 1.172  -0.056 1.009  -0.056 0.845  -0.189 0.815  -0.322 0.846  -0.346 0.999  -0.363 1.146  -0.216 1.187  -0.109 1.130  -0.170 1.028  -0.148 0.964  -0.113 0.805  -0.078 0.645  -0.043 0.485  -0.008 0.326  0.027 0.166  0.062 0.006  0.097 -0.153  0.132 -0.313  0.167 -0.473  0.202 -0.632  0.237 -0.792  0.272 -0.952  0.307 -1.111  0.263 -1.261  0.201 -1.364  0.038 -1.364  -0.003 -1.241  0.012 -1.083  0.053 -0.938  0.183 -0.992  0.246 -1.134  0.176 -1.204  0.066 -1.257  -0.056 -1.185  -0.109 -1.043  -0.050 -0.938  0.042 -0.841  0.103 -0.930  0.103 -1.094  0.050 -1.098
2#tos#t1#t1012066/>  -0.673 1.264  -0.795 1.224  -0.865 1.159  -0.817 1.162  -0.762 1.072  -0.659 1.010  -0.545 0.976  -0.452 0.918  -0.385 0.841  -0.266 0.832  -0.144 0.824  -0.060 0.766  0.013 0.688  0.096 0.641  0.175 0.591  0.260 0.531  0.329 0.447  0.458 0.447  0.575 0.400  0.656 0.351  0.737 0.303  0.769 0.207  0.898 0.207  1.007 0.159  1.027 0.111  0.947 0.063  0.818 0.063  0.785 -0.034  0.673 -0.050  0.625 -0.131  0.567 -0.236  0.502 -0.322  0.379 -0.349  0.304 -0.418  0.211 -0.477  0.131 -0.576  0.016 -0.610  -0.077 -0.668  -0.144 -0.744  -0.144 -0.873  -0.247 -0.899  -0.289 -0.986  -0.385 -1.019  -0.459 -1.117  -0.579 -1.139  -0.673 -1.174  -0.754 -1.269  -0.859 -1.343  -0.962 -1.395  -0.962 -1.428
2#tos#t1#t1012066/?  -0.168 0.273  -0.233 0.173  -0.366 0.190  -0.480 0.254  -0.510 0.372  -0.597 0.421  -0.684 0.471  -0.729 0.562  -0.729 0.699  -0.729 0.836  -0.664 0.932  -0.562 0.969  -0.498 1.073  -0.399 1.133  -0.294 1.164  -0.157 1.164  -0.022 1.157  0.086 1.075  0.212 1.049  0.328 0.999  0.393 0.902  0.490 0.839  0.552 0.735  0.592 0.637  0.592 0.500  0.625 0.397  0.625 0.260  0.607 0.140  0.536 0.074  0.469 -0.011  0.393 -0.084  0.304 -0.157  0.266 -0.256  0.162 -0.289  0.096 -0.379  0.063 -0.483  0.030 -0.586  0.025 -0.718  -0.036 -0.794  -0.036 -0.931  -0.036 -1.068  0.021 -1.147  0.036 -1.275  0.050 -1.411  0.060 -1.544  0.030 -1.651  0.096 -1.741  0.063 -1.705  0.030 -1.581  0.096 -1.643
2#tos#t1#t1012066/@  0.650 0.369  0.506 0.346  0.405 0.499  0.239 0.550  0.037 0.541  -0.035 0.402  -0.108 0.264  -0.180 0.125  -0.180 -0.085  -0.092 -0.208  0.011 -0.316  0.185 -0.353  0.356 -0.301  0.470 -0.188  0.578 -0.085  0.686 0.017  0.722 0.192  0.758 0.388  0.758 0.598  0.752 0.802  0.598 0.901  0.498 1.019  0.325 1.078  0.178 1.163  0.012 1.235  -0.180 1.254  -0.358 1.235  -0.524 1.163  -0.613 1.041  -0.721 0.867  -0.757 0.692  -0.793 0.518  -0.829 0.322  -0.829 0.111  -0.829 -0.100  -0.829 -0.310  -0.757 -0.477  -0.757 -0.687  -0.649 -0.790  -0.613 -0.965  -0.520 -1.110  -0.394 -1.224  -0.296 -1.363  -0.101 -1.399  0.110 -1.399  0.321 -1.399  0.470 -1.337  0.659 -1.309  0.795 -1.213  0.867 -1.074
