1d#tos#f1#f1007061/#  -0.498 0.837  -0.896 0.746  -1.066 0.666  -0.651 0.666  -0.236 0.666  0.179 0.666  0.594 0.666  1.008 0.666  0.923 0.670  0.539 0.513  0.155 0.356  -0.229 0.199  -0.613 0.042  -0.834 -0.232  -1.194 -0.438  -1.117 -0.528  -0.702 -0.528  -0.288 -0.528  0.108 -0.465  0.491 -0.357  0.906 -0.357  1.294 -0.220  1.702 -0.187  1.687 -0.085  1.316 0.100  0.945 0.286  0.574 0.471  0.203 0.657  -0.170 0.837  -0.583 0.836  -0.583 0.421  -0.603 0.009  -0.669 -0.395  -0.757 -0.789  -0.839 -1.185  -0.752 -1.180  -0.588 -0.800  -0.423 -0.419  -0.258 -0.038  -0.093 0.342  0.072 0.723  0.237 1.104  0.184 0.880  0.270 0.478  0.270 0.064  0.270 -0.351  0.270 -0.766  0.249 -1.177  0.099 -1.563  0.099 -1.978
1d#tos#f1#f1007061/&  1.274 -0.127  1.088 -0.180  1.061 -0.286  0.824 -0.295  0.593 -0.338  0.355 -0.338  0.116 -0.338  -0.122 -0.338  -0.360 -0.338  -0.483 -0.172  -0.697 -0.068  -0.901 0.042  -1.039 0.233  -1.048 0.468  -1.048 0.706  -0.890 0.857  -0.756 1.047  -0.590 1.183  -0.366 1.244  -0.137 1.297  0.102 1.297  0.340 1.297  0.430 1.148  0.412 0.928  0.377 0.725  0.221 0.563  0.051 0.453  -0.040 0.264  -0.203 0.095  -0.389 -0.054  -0.545 -0.230  -0.671 -0.432  -0.771 -0.624  -0.942 -0.780  -0.942 -1.018  -0.868 -1.183  -0.630 -1.183  -0.392 -1.183  -0.154 -1.183  -0.000 -1.012  0.177 -0.854  0.303 -0.666  0.456 -0.490  0.641 -0.396  0.694 -0.180  0.845 -0.022  0.885 0.202  1.046 0.189  1.261 0.090  1.432 -0.022
1d#tos#f1#f1007061/(  0.581 1.353  0.546 1.282  0.510 1.211  0.438 1.198  0.358 1.198  0.279 1.198  0.199 1.198  0.119 1.198  0.040 1.198  0.037 1.121  0.037 1.041  0.034 0.965  -0.046 0.965  -0.120 0.957  -0.139 0.880  -0.158 0.803  -0.178 0.725  -0.196 0.648  -0.196 0.568  -0.198 0.489  -0.217 0.411  -0.237 0.334  -0.256 0.257  -0.273 0.179  -0.273 0.100  -0.273 0.020  -0.273 -0.060  -0.273 -0.140  -0.273 -0.219  -0.273 -0.299  -0.273 -0.379  -0.273 -0.458  -0.258 -0.534  -0.214 -0.600  -0.170 -0.666  -0.126 -0.732  -0.102 -0.808  -0.083 -0.885  -0.063 -0.963  -0.044 -1.040  -0.011 -1.112  0.024 -1.184  0.073 -1.245  0.129 -1.302  0.186 -1.358  0.248 -1.407  0.312 -1.455  0.376 -1.503  0.440 -1.551  0.504 -1.598
1d#tos#f1#f1007061/:  -0.101 1.612  -0.134 1.545  -0.168 1.478  -0.169 1.411  -0.135 1.344  -0.101 1.277  -0.101 1.202  -0.036 1.192  0.039 1.192  0.082 1.148  0.106 1.077  0.129 1.006  0.151 0.934  0.147 0.859  0.143 0.785  0.139 0.710  0.135 0.635  0.131 0.560  0.128 0.485  0.124 0.410  0.120 0.335  0.116 0.260  0.112 0.186  0.108 0.111  0.104 0.036  0.100 -0.039  0.096 -0.114  0.092 -0.189  0.088 -0.264  0.084 -0.339  0.080 -0.413  0.076 -0.488  0.072 -0.563  0.068 -0.638  0.067 -0.713  0.067 -0.788  0.037 -0.847  -0.025 -0.888  -0.088 -0.930  -0.150 -0.972  -0.185 -1.028  -0.185 -1.103  -0.185 -1.178  -0.185 -1.253  -0.185 -1.328  -0.185 -1.403  -0.185 -1.478  -0.185 -1.553  -0.154 -1.615  -0.101 -1.668
1d#tos#f1#f1007061/;  -0.684 1.526  -0.684 1.451  -0.684 1.376  -0.684 1.301  -0.623 1.286  -0.561 1.244  -0.498 1.203  -0.439 1.158  -0.400 1.093  -0.362 1.029  -0.323 0.965  -0.284 0.900  -0.246 0.836  -0.207 0.771  -0.168 0.707  -0.129 0.642  -0.091 0.578  -0.052 0.513  -0.013 0.449  0.025 0.384  0.064 0.320  0.103 0.255  0.141 0.191  0.180 0.127  0.219 0.062  0.257 -0.002  0.296 -0.067  0.335 -0.131  0.373 -0.196  0.412 -0.260  0.451 -0.325  0.418 -0.387  0.376 -0.450  0.335 -0.513  0.316 -0.586  0.298 -0.659  0.280 -0.732  0.275 -0.806  0.244 -0.874  0.215 -0.942  0.215 -1.017  0.215 -1.093  0.201 -1.166  0.183 -1.239  0.165 -1.312  0.155 -1.386  0.155 -1.461  0.119 -1.525  0.077 -1.588  0.035 -1.650
1d#tos#f1#f1007061/<  0.441 1.393  0.547 1.393  0.616 1.356  0.598 1.259  0.523 1.184  0.449 1.110  0.371 1.044  0.292 0.994  0.234 0.907  0.151 0.850  0.051 0.817  -0.036 0.759  -0.120 0.696  -0.204 0.633  -0.292 0.574  -0.380 0.517  -0.474 0.470  -0.563 0.413  -0.651 0.355  -0.729 0.286  -0.829 0.252  -0.895 0.195  -0.920 0.114  -0.953 0.042  -0.910 -0.045  -0.837 -0.086  -0.769 -0.129  -0.687 -0.193  -0.593 -0.241  -0.499 -0.288  -0.394 -0.293  -0.296 -0.310  -0.222 -0.385  -0.130 -0.432  -0.030 -0.465  0.027 -0.551  0.081 -0.642  0.135 -0.732  0.226 -0.758  0.296 -0.815  0.363 -0.886  0.463 -0.920  0.555 -0.969  0.643 -1.027  0.734 -1.079  0.790 -1.150  0.821 -1.233  0.921 -1.266  1.006 -1.323  1.081 -1.397
1d#tos#f1#f1007061/@  -0.070 -0.175  0.018 -0.317  0.174 -0.195  0.215 0.010  0.190 0.229  -0.031 0.252  -0.258 0.236  -0.483 0.204  -0.654 0.078  -0.825 -0.033  -0.970 -0.183  -0.970 -0.413  -0.970 -0.643  -0.841 -0.744  -0.611 -0.744  -0.441 -0.645  -0.235 -0.542  -0.050 -0.419  0.118 -0.271  0.073 -0.165  -0.078 -0.317  -0.139 -0.503  -0.164 -0.726  -0.117 -0.909  0.041 -0.981  0.271 -0.981  0.496 -0.946  0.721 -0.917  0.904 -0.791  1.068 -0.725  1.110 -0.513  1.258 -0.372  1.258 -0.142  1.258 0.088  1.258 0.318  1.163 0.519  1.046 0.700  0.905 0.878  0.700 0.981  0.482 1.050  0.257 1.097  0.028 1.105  -0.202 1.105  -0.432 1.105  -0.641 1.055  -0.830 0.939  -1.030 0.835  -1.218 0.703  -1.354 0.522  -1.397 0.299
1d#tos#f1#f1007061/^  -1.479 -0.139  -1.479 -0.235  -1.479 -0.330  -1.479 -0.425  -1.452 -0.493  -1.357 -0.493  -1.262 -0.493  -1.166 -0.493  -1.087 -0.455  -1.020 -0.387  -0.952 -0.320  -0.885 -0.252  -0.818 -0.185  -0.741 -0.139  -0.646 -0.139  -0.551 -0.139  -0.455 -0.139  -0.418 -0.081  -0.387 -0.006  -0.301 0.037  -0.216 0.080  -0.182 0.154  -0.158 0.239  -0.090 0.306  -0.006 0.332  0.053 0.368  0.067 0.450  0.162 0.450  0.171 0.536  0.235 0.568  0.330 0.568  0.407 0.550  0.407 0.454  0.488 0.409  0.574 0.367  0.643 0.314  0.643 0.219  0.729 0.186  0.819 0.156  0.909 0.125  0.999 0.094  1.066 0.027  1.139 -0.034  1.224 -0.076  1.309 -0.119  1.385 -0.174  1.452 -0.242  1.534 -0.290  1.619 -0.333  1.704 -0.375
1d#tos#f1#f1007061/_  -1.198 0.168  -1.271 0.168  -1.344 0.168  -1.417 0.168  -1.430 0.109  -1.430 0.036  -1.380 0.013  -1.307 0.013  -1.234 0.013  -1.161 0.013  -1.088 0.013  -1.015 0.013  -0.942 0.013  -0.869 0.013  -0.796 0.013  -0.723 0.013  -0.650 0.013  -0.577 0.013  -0.504 0.013  -0.431 0.013  -0.358 0.013  -0.285 0.013  -0.212 0.013  -0.139 0.013  -0.066 0.013  0.007 0.013  0.080 0.013  0.153 0.013  0.226 0.013  0.299 0.013  0.370 0.007  0.440 -0.016  0.509 -0.039  0.578 -0.062  0.651 -0.064  0.724 -0.064  0.797 -0.064  0.870 -0.064  0.943 -0.064  1.016 -0.064  1.089 -0.064  1.162 -0.064  1.235 -0.064  1.308 -0.064  1.381 -0.064  1.454 -0.064  1.526 -0.064  1.599 -0.064  1.672 -0.064  1.745 -0.064
1d#tos#f1#f1007061/`  -0.010 1.440  -0.071 1.378  -0.133 1.317  -0.194 1.255  -0.256 1.193  -0.318 1.132  -0.379 1.070  -0.441 1.009  -0.502 0.947  -0.564 0.885  -0.626 0.824  -0.687 0.762  -0.749 0.701  -0.793 0.632  -0.793 0.545  -0.793 0.458  -0.793 0.371  -0.793 0.283  -0.745 0.216  -0.684 0.155  -0.622 0.093  -0.561 0.031  -0.499 -0.030  -0.437 -0.092  -0.376 -0.153  -0.314 -0.215  -0.253 -0.277  -0.191 -0.338  -0.129 -0.400  -0.068 -0.461  -0.005 -0.520  0.082 -0.520  0.169 -0.520  0.257 -0.520  0.344 -0.520  0.431 -0.520  0.518 -0.520  0.605 -0.520  0.692 -0.520  0.776 -0.524  0.815 -0.602  0.854 -0.680  0.893 -0.758  0.932 -0.836  0.971 -0.914  1.010 -0.992  1.049 -1.070  1.088 -1.148  1.127 -1.225  1.166 -1.303
1d#tos#f1#f1007061/{  0.152 1.737  0.064 1.714  0.025 1.645  0.025 1.552  0.071 1.478  0.110 1.394  0.110 1.301  0.110 1.209  0.110 1.116  0.110 1.023  0.110 0.930  0.110 0.837  0.110 0.745  0.110 0.652  0.110 0.559  0.069 0.476  0.064 0.384  0.013 0.307  -0.017 0.223  -0.080 0.157  -0.101 0.072  -0.173 0.052  -0.249 0.010  -0.312 0.039  -0.269 0.090  -0.223 0.136  -0.130 0.136  -0.101 0.072  -0.071 0.010  -0.059 -0.071  0.004 -0.138  0.025 -0.222  0.025 -0.315  0.025 -0.408  0.025 -0.500  0.025 -0.593  0.025 -0.686  0.025 -0.779  0.025 -0.872  -0.003 -0.960  -0.017 -1.050  -0.017 -1.143  -0.017 -1.236  -0.017 -1.329  -0.017 -1.422  -0.017 -1.514  -0.017 -1.607  0.025 -1.658  0.025 -1.751  0.067 -1.801
