3#app#app41#app4153/p  -0.154 0.402  -0.154 0.588  0.006 0.614  0.057 0.479  0.057 0.293  0.057 0.107  0.057 -0.079  0.057 -0.265  0.057 -0.451  0.057 -0.637  0.057 -0.823  0.057 -1.009  0.057 -1.195  0.057 -1.381  0.057 -1.567  0.057 -1.753  0.057 -1.913  0.057 -1.727  0.057 -1.541  -0.047 -1.398  -0.154 -1.256  -0.154 -1.070  -0.154 -0.884  -0.154 -0.698  -0.154 -0.512  -0.207 -0.339  -0.290 -0.172  -0.366 -0.004  -0.366 0.182  -0.366 0.368  -0.366 0.554  -0.366 0.740  -0.366 0.926  -0.291 1.037  -0.154 1.086  -0.154 1.272  -0.154 1.458  0.029 1.460  0.215 1.460  0.269 1.328  0.376 1.249  0.481 1.168  0.481 0.982  0.481 0.796  0.476 0.614  0.290 0.614  0.269 0.449  0.171 0.304  0.057 0.165  0.057 -0.021
3#app#app41#app4153/i  0.245 0.500  0.245 0.368  0.245 0.237  0.245 0.106  0.245 -0.025  0.184 -0.095  0.052 -0.095  -0.053 -0.121  -0.053 -0.253  -0.053 -0.384  -0.053 -0.515  -0.053 -0.646  -0.053 -0.778  -0.053 -0.909  -0.016 -1.025  0.077 -1.118  0.170 -1.210  0.245 -1.310  0.245 -1.442  0.245 -1.573  0.221 -1.464  0.195 -1.336  0.169 -1.207  0.144 -1.078  0.118 -0.950  0.092 -0.821  0.067 -0.692  0.041 -0.563  0.015 -0.435  -0.011 -0.306  -0.036 -0.177  -0.062 -0.049  -0.088 0.080  -0.114 0.209  -0.139 0.337  -0.165 0.466  -0.191 0.595  -0.217 0.723  -0.242 0.852  -0.268 0.981  -0.294 1.109  -0.320 1.238  -0.345 1.367  -0.245 1.392  -0.114 1.392  -0.053 1.462  -0.053 1.594  -0.053 1.725  -0.053 1.856  -0.053 1.987
3#app#app41#app4153/n  -0.484 1.523  -0.484 1.340  -0.484 1.157  -0.484 0.973  -0.484 0.790  -0.484 0.607  -0.484 0.424  -0.484 0.240  -0.550 0.123  -0.734 0.123  -0.917 0.123  -0.951 -0.026  -0.951 -0.209  -0.951 -0.392  -0.951 -0.576  -0.951 -0.759  -0.951 -0.942  -0.951 -1.126  -0.928 -1.254  -0.799 -1.124  -0.669 -0.995  -0.540 -0.865  -0.410 -0.736  -0.280 -0.606  -0.151 -0.477  -0.021 -0.347  0.108 -0.217  0.238 -0.088  0.368 0.042  0.449 0.191  0.449 0.375  0.449 0.558  0.449 0.741  0.449 0.924  0.449 1.006  0.449 0.822  0.449 0.639  0.449 0.456  0.449 0.272  0.483 0.123  0.666 0.123  0.850 0.123  0.916 0.006  0.916 -0.177  0.933 -0.343  1.116 -0.343  1.299 -0.343  1.382 -0.444  1.382 -0.627  1.382 -0.810
3#app#app41#app4153/k  -0.086 2.243  -0.086 2.088  -0.086 1.933  -0.086 1.777  -0.139 1.644  -0.249 1.534  -0.358 1.425  -0.360 1.270  -0.360 1.115  -0.360 0.960  -0.360 0.804  -0.360 0.649  -0.360 0.494  -0.360 0.339  -0.360 0.184  -0.360 0.028  -0.360 -0.127  -0.360 -0.282  -0.360 -0.437  -0.360 -0.592  -0.360 -0.747  -0.360 -0.903  -0.338 -1.036  -0.182 -1.036  -0.086 -0.977  -0.086 -0.822  -0.086 -0.666  -0.086 -0.511  0.047 -0.489  0.198 -0.479  0.307 -0.369  0.417 -0.259  0.460 -0.122  0.460 0.033  0.592 0.057  0.720 0.057  0.565 0.057  0.460 0.007  0.460 -0.149  0.373 -0.216  0.217 -0.216  0.187 -0.341  0.187 -0.496  0.187 -0.651  0.187 -0.806  0.187 -0.962  0.187 -1.117  0.187 -1.272  0.305 -1.309  0.460 -1.309
3#app#app41#app4153/,  -0.638 1.551  -0.585 1.498  -0.533 1.446  -0.481 1.394  -0.428 1.341  -0.376 1.289  -0.324 1.237  -0.271 1.184  -0.219 1.132  -0.174 1.076  -0.174 1.002  -0.174 0.928  -0.174 0.854  -0.174 0.780  -0.174 0.706  -0.174 0.632  -0.174 0.558  -0.174 0.484  -0.174 0.409  -0.174 0.335  -0.174 0.261  -0.174 0.187  -0.141 0.127  -0.089 0.074  -0.036 0.022  0.016 -0.030  0.068 -0.083  0.121 -0.135  0.173 -0.188  0.226 -0.240  0.278 -0.292  0.290 -0.362  0.290 -0.436  0.290 -0.510  0.290 -0.584  0.290 -0.658  0.290 -0.732  0.290 -0.806  0.290 -0.880  0.290 -0.954  0.290 -1.028  0.290 -1.102  0.290 -1.177  0.290 -1.251  0.290 -1.325  0.290 -1.399  0.290 -1.473  0.290 -1.547  0.290 -1.621  0.290 -1.695
3#app#app41#app4153/i  -0.267 0.544  -0.131 0.544  0.005 0.544  0.056 0.544  -0.080 0.544  -0.216 0.544  -0.267 0.458  -0.267 0.322  -0.267 0.186  -0.267 0.050  -0.267 -0.086  -0.267 -0.221  -0.267 -0.357  -0.267 -0.493  -0.267 -0.629  -0.267 -0.765  -0.267 -0.901  -0.267 -1.037  -0.267 -1.173  -0.267 -1.309  -0.267 -1.445  -0.267 -1.581  -0.250 -1.579  -0.217 -1.447  -0.184 -1.315  -0.151 -1.183  -0.118 -1.051  -0.085 -0.919  -0.052 -0.787  -0.019 -0.655  0.014 -0.524  0.047 -0.392  0.080 -0.260  0.113 -0.128  0.146 0.004  0.179 0.136  0.212 0.268  0.245 0.400  0.278 0.531  0.311 0.663  0.344 0.795  0.377 0.927  0.410 1.059  0.443 1.191  0.463 1.324  0.463 1.460  0.463 1.596  0.463 1.732  0.463 1.868  0.463 2.004
3#app#app41#app4153/s  0.389 0.394  0.551 0.394  0.713 0.394  0.875 0.394  1.037 0.394  1.098 0.496  1.098 0.658  1.026 0.748  0.864 0.748  0.702 0.748  0.540 0.748  0.378 0.748  0.216 0.748  0.053 0.748  -0.109 0.748  -0.271 0.748  -0.320 0.635  -0.320 0.473  -0.403 0.394  -0.565 0.394  -0.727 0.394  -0.889 0.394  -1.029 0.372  -1.029 0.210  -1.029 0.047  -1.183 0.040  -1.345 0.040  -1.259 0.040  -1.097 0.040  -1.029 -0.054  -1.029 -0.216  -0.965 -0.315  -0.803 -0.315  -0.640 -0.315  -0.478 -0.315  -0.316 -0.315  -0.154 -0.315  0.008 -0.315  0.170 -0.315  0.332 -0.315  0.463 -0.389  0.578 -0.504  0.693 -0.618  0.743 -0.759  0.743 -0.922  0.743 -1.084  0.743 -1.246  0.743 -1.408  0.743 -1.570  0.743 -1.732
3#app#app41#app4153/t  -0.417 1.571  -0.205 1.571  -0.178 1.386  -0.178 1.173  -0.178 0.961  -0.178 0.748  -0.178 0.536  -0.178 0.324  -0.178 0.111  -0.178 -0.101  -0.178 -0.313  -0.049 -0.472  0.061 -0.639  0.090 -0.822  0.302 -0.824  0.452 -0.974  0.628 -1.062  0.841 -1.062  1.053 -1.062  1.258 -1.054  1.258 -0.842  1.451 -0.822  1.349 -0.748  1.159 -0.653  0.969 -0.558  0.779 -0.463  0.589 -0.368  0.399 -0.273  0.209 -0.178  0.019 -0.083  -0.171 0.012  -0.361 0.107  -0.551 0.202  -0.741 0.297  -0.931 0.392  -1.121 0.487  -1.311 0.582  -1.375 0.473  -1.375 0.261  -1.288 0.135  -1.076 0.135  -0.863 0.135  -0.651 0.135  -0.439 0.135  -0.226 0.135  -0.014 0.135  0.184 0.196  0.374 0.291  0.567 0.374  0.779 0.374
3#app#app41#app4153/h  -0.511 2.040  -0.511 1.902  -0.511 1.764  -0.511 1.626  -0.511 1.487  -0.511 1.349  -0.511 1.211  -0.511 1.072  -0.511 0.934  -0.511 0.796  -0.511 0.658  -0.511 0.519  -0.511 0.381  -0.511 0.243  -0.511 0.104  -0.511 -0.034  -0.511 -0.172  -0.511 -0.310  -0.511 -0.449  -0.511 -0.587  -0.511 -0.725  -0.511 -0.864  -0.499 -0.990  -0.361 -0.990  -0.223 -0.990  -0.084 -0.990  -0.006 -0.931  -0.006 -0.793  0.078 -0.738  0.216 -0.738  0.247 -0.630  0.247 -0.492  0.247 -0.354  0.259 -0.221  0.357 -0.123  0.455 -0.025  0.500 0.095  0.500 0.233  0.500 0.174  0.500 0.035  0.622 0.020  0.752 0.011  0.752 -0.127  0.752 -0.265  0.752 -0.404  0.792 -0.525  0.890 -0.623  0.988 -0.721  1.005 -0.852  1.005 -0.990
3#app#app41#app4153/e  -0.806 0.153  -0.629 0.153  -0.452 0.153  -0.276 0.153  -0.099 0.153  0.010 0.084  0.010 -0.093  0.024 -0.255  0.201 -0.255  0.378 -0.255  0.418 -0.119  0.418 0.058  0.501 0.153  0.678 0.153  0.855 0.153  1.032 0.153  1.209 0.153  1.235 0.304  1.235 0.481  1.166 0.629  1.041 0.754  0.916 0.880  0.776 0.969  0.599 0.969  0.422 0.969  0.245 0.969  0.068 0.969  -0.109 0.969  -0.286 0.969  -0.444 0.924  -0.569 0.798  -0.694 0.673  -0.806 0.543  -0.806 0.366  -0.806 0.189  -0.806 0.012  -0.806 -0.165  -0.806 -0.342  -0.806 -0.519  -0.806 -0.696  -0.806 -0.873  -0.806 -1.050  -0.651 -1.072  -0.474 -1.072  -0.327 -1.143  -0.202 -1.268  -0.077 -1.393  0.064 -1.480  0.241 -1.480  0.418 -1.480
3#app#app41#app4153/r  -0.537 0.569  -0.537 0.413  -0.537 0.256  -0.471 0.165  -0.315 0.165  -0.158 0.165  -0.133 0.033  -0.133 -0.123  -0.174 -0.239  -0.331 -0.239  -0.488 -0.239  -0.537 -0.346  -0.537 -0.502  -0.537 -0.659  -0.537 -0.815  -0.537 -0.972  -0.537 -1.129  -0.537 -1.285  -0.537 -1.442  -0.389 -1.450  -0.232 -1.450  -0.133 -1.392  -0.133 -1.236  -0.133 -1.079  -0.133 -0.923  -0.133 -0.766  -0.133 -0.609  -0.133 -0.453  -0.133 -0.296  -0.034 -0.239  0.122 -0.239  0.271 -0.230  0.271 -0.074  0.271 0.083  0.271 0.240  0.271 0.396  0.271 0.553  0.271 0.709  0.271 0.866  0.271 1.023  0.271 1.179  0.271 1.336  0.386 1.377  0.543 1.377  0.699 1.377  0.856 1.377  1.012 1.377  1.078 1.286  1.078 1.130  1.078 0.973
