2#app#app18#app1888/w  -1.157 0.990  -1.157 0.855  -1.157 0.719  -1.157 0.584  -1.157 0.448  -1.157 0.313  -1.134 0.187  -1.046 0.088  -1.046 -0.048  -1.046 -0.183  -1.046 -0.319  -0.971 -0.423  -0.934 -0.543  -0.858 -0.647  -0.762 -0.743  -0.647 -0.794  -0.512 -0.794  -0.377 -0.793  -0.281 -0.697  -0.264 -0.569  -0.168 -0.473  -0.154 -0.343  -0.154 -0.208  -0.154 -0.072  -0.154 -0.090  -0.054 -0.125  0.069 -0.138  0.106 -0.236  0.241 -0.236  0.292 -0.321  0.401 -0.348  0.537 -0.348  0.672 -0.348  0.808 -0.348  0.943 -0.348  1.072 -0.341  1.103 -0.236  1.184 -0.182  1.184 -0.046  1.184 0.089  1.184 0.225  1.157 0.349  1.072 0.449  1.044 0.573  0.948 0.669  0.852 0.765  0.756 0.860  0.738 0.988  0.643 1.085  0.515 1.102
2#app#app18#app1888/a  0.135 0.191  0.135 0.411  0.099 0.616  -0.057 0.771  -0.081 0.969  -0.301 0.969  -0.520 0.969  -0.712 0.901  -0.868 0.745  -1.023 0.590  -1.044 0.385  -1.227 0.348  -1.227 0.129  -1.227 -0.091  -1.227 -0.311  -1.227 -0.531  -1.112 -0.703  -1.033 -0.891  -0.899 -0.977  -0.679 -0.977  -0.459 -0.977  -0.240 -0.977  -0.020 -0.977  0.181 -0.931  0.329 -0.772  0.365 -0.588  0.567 -0.545  0.719 -0.387  0.719 -0.168  0.719 0.052  0.719 0.272  0.643 0.461  0.487 0.616  0.332 0.772  0.113 0.774  -0.107 0.774  -0.254 0.702  -0.185 0.511  -0.060 0.343  -0.012 0.143  0.147 -0.004  0.329 -0.042  0.393 -0.199  0.612 -0.199  0.820 -0.249  1.017 -0.348  1.226 -0.393  1.446 -0.393  1.666 -0.393  1.886 -0.393
2#app#app18#app1888/r  -1.098 -0.073  -0.961 -0.073  -0.824 -0.073  -0.754 -0.006  -0.754 0.067  -0.754 -0.071  -0.658 -0.169  -0.582 -0.274  -0.582 -0.412  -0.582 -0.549  -0.485 -0.590  -0.409 -0.651  -0.409 -0.789  -0.409 -0.926  -0.318 -1.026  -0.237 -1.130  -0.237 -1.267  -0.112 -1.279  0.026 -1.279  0.147 -1.240  0.244 -1.143  0.280 -1.020  0.243 -0.898  0.146 -0.801  0.108 -0.680  0.108 -0.542  0.108 -0.405  0.108 -0.267  0.108 -0.130  0.108 0.007  0.075 0.131  -0.022 0.228  -0.065 0.348  -0.065 0.485  -0.065 0.623  -0.065 0.760  -0.065 0.898  0.010 0.961  0.108 1.000  0.112 1.133  0.250 1.133  0.387 1.133  0.524 1.133  0.662 1.133  0.799 1.133  0.936 1.133  1.074 1.133  1.211 1.133  1.314 1.098  1.314 0.961
2#app#app18#app1888/m  -1.286 0.697  -1.286 0.523  -1.286 0.349  -1.286 0.175  -1.286 0.001  -1.256 -0.166  -1.178 -0.322  -1.152 -0.489  -1.131 -0.642  -1.018 -0.703  -0.917 -0.776  -0.784 -0.676  -0.694 -0.529  -0.616 -0.373  -0.588 -0.211  -0.483 -0.081  -0.483 0.093  -0.483 0.267  -0.349 0.307  -0.349 0.481  -0.349 0.655  -0.349 0.565  -0.349 0.391  -0.293 0.240  -0.215 0.098  -0.215 -0.076  -0.205 -0.240  -0.081 -0.290  0.009 -0.374  0.183 -0.374  0.346 -0.349  0.454 -0.220  0.509 -0.079  0.664 -0.002  0.722 0.137  0.828 0.267  0.856 0.429  0.979 0.552  0.990 0.722  0.990 0.766  0.990 0.592  0.990 0.418  0.990 0.244  1.055 0.097  1.124 -0.048  1.206 -0.188  1.329 -0.311  1.468 -0.412  1.623 -0.490  1.659 -0.642
2#app#app18#app1888/c  0.389 0.329  0.389 0.206  0.389 0.083  0.389 0.098  0.389 0.221  0.389 0.344  0.389 0.467  0.501 0.479  0.539 0.564  0.539 0.687  0.539 0.810  0.535 0.929  0.412 0.929  0.389 1.029  0.338 1.131  0.250 1.218  0.132 1.230  0.032 1.173  -0.055 1.086  -0.163 1.028  -0.273 0.973  -0.361 0.905  -0.361 0.782  -0.447 0.694  -0.511 0.597  -0.515 0.476  -0.602 0.389  -0.662 0.290  -0.662 0.167  -0.662 0.044  -0.662 -0.079  -0.662 -0.202  -0.662 -0.325  -0.642 -0.441  -0.555 -0.528  -0.484 -0.626  -0.429 -0.736  -0.374 -0.847  -0.294 -0.939  -0.207 -1.026  -0.120 -1.113  -0.033 -1.200  0.054 -1.287  0.163 -1.322  0.272 -1.355  0.359 -1.442  0.470 -1.472  0.593 -1.472  0.716 -1.472  0.839 -1.472
2#app#app18#app1888/u  -1.040 0.644  -1.168 0.644  -1.199 0.546  -1.199 0.418  -1.225 0.300  -1.316 0.209  -1.358 0.098  -1.358 -0.030  -1.353 -0.157  -1.262 -0.248  -1.199 -0.350  -1.191 -0.471  -1.062 -0.471  -0.965 -0.546  -0.871 -0.630  -0.743 -0.630  -0.614 -0.630  -0.486 -0.630  -0.357 -0.630  -0.233 -0.620  -0.142 -0.529  -0.037 -0.471  0.091 -0.471  0.220 -0.471  0.315 -0.390  0.406 -0.299  0.497 -0.208  0.588 -0.118  0.679 -0.027  0.712 0.088  0.712 0.216  0.712 0.345  0.712 0.474  0.712 0.602  0.712 0.731  0.656 0.803  0.553 0.778  0.553 0.650  0.553 0.521  0.618 0.420  0.709 0.329  0.712 0.202  0.806 0.166  0.872 0.104  0.903 0.007  1.032 0.007  1.161 0.007  1.279 -0.037  1.394 -0.095  1.509 -0.152
2#app#app18#app1888/p  -0.518 0.703  -0.518 0.520  -0.437 0.370  -0.392 0.198  -0.350 0.025  -0.303 -0.148  -0.259 -0.321  -0.177 -0.485  -0.098 -0.649  -0.088 -0.831  -0.006 -0.995  0.076 -1.159  0.160 -1.321  0.290 -1.451  0.384 -1.606  0.407 -1.784  0.363 -1.692  0.266 -1.539  0.227 -1.364  0.169 -1.190  0.093 -1.024  0.028 -0.852  -0.036 -0.681  -0.112 -0.514  -0.170 -0.340  -0.182 -0.159  -0.201 0.022  -0.245 0.200  -0.297 0.376  -0.355 0.550  -0.413 0.724  -0.434 0.904  -0.434 1.087  -0.434 1.271  -0.350 1.419  -0.208 1.461  -0.033 1.428  0.119 1.328  0.273 1.258  0.403 1.129  0.566 1.045  0.638 0.893  0.660 0.719  0.660 0.536  0.565 0.441  0.435 0.311  0.281 0.241  0.115 0.199  -0.027 0.297  -0.098 0.451
2#app#app18#app1888/s  -0.842 0.008  -0.675 0.008  -0.524 0.048  -0.398 0.147  -0.247 0.187  -0.121 0.286  0.030 0.325  0.129 0.451  0.129 0.618  0.129 0.785  0.129 0.952  0.004 1.042  -0.145 1.116  -0.312 1.118  -0.463 1.080  -0.589 0.979  -0.740 0.942  -0.865 0.841  -1.017 0.804  -1.119 0.679  -1.119 0.512  -1.040 0.424  -0.980 0.317  -0.844 0.286  -0.725 0.169  -0.568 0.147  -0.402 0.139  -0.243 0.086  -0.085 0.033  0.078 0.008  0.233 -0.044  0.382 -0.118  0.547 -0.130  0.714 -0.130  0.864 -0.171  0.990 -0.269  1.141 -0.310  1.239 -0.436  1.239 -0.603  1.179 -0.745  1.061 -0.863  0.935 -0.963  0.823 -1.018  0.739 -1.101  0.572 -1.101  0.446 -1.200  0.295 -1.240  0.169 -1.339  0.019 -1.379  -0.148 -1.379
2#app#app18#app1888/o  0.181 0.568  0.181 0.705  0.085 0.747  -0.052 0.747  -0.190 0.747  -0.327 0.747  -0.465 0.747  -0.602 0.747  -0.740 0.747  -0.877 0.747  -0.980 0.663  -1.075 0.565  -1.075 0.428  -1.075 0.290  -1.075 0.153  -1.075 0.015  -1.075 -0.122  -0.998 -0.228  -0.900 -0.325  -0.896 -0.461  -0.833 -0.572  -0.735 -0.669  -0.638 -0.766  -0.541 -0.864  -0.405 -0.868  -0.268 -0.868  -0.130 -0.868  0.007 -0.868  0.145 -0.868  0.282 -0.868  0.420 -0.868  0.557 -0.868  0.695 -0.868  0.719 -0.754  0.769 -0.638  0.867 -0.540  0.964 -0.443  1.061 -0.346  1.078 -0.215  1.078 -0.078  1.078 0.060  1.078 0.197  0.989 0.298  0.898 0.398  0.898 0.535  0.824 0.642  0.727 0.739  0.606 0.804  0.483 0.865  0.360 0.927
2#app#app18#app1888/f  0.412 0.905  0.412 1.059  0.355 1.189  0.299 1.286  0.217 1.410  0.159 1.529  0.005 1.529  -0.148 1.529  -0.275 1.465  -0.382 1.356  -0.382 1.202  -0.382 1.049  -0.382 0.895  -0.382 0.742  -0.335 0.596  -0.271 0.457  -0.268 0.304  -0.232 0.155  -0.190 0.008  -0.149 -0.140  -0.111 -0.289  -0.043 -0.424  0.030 -0.558  0.079 -0.703  0.127 -0.849  0.176 -0.994  0.224 -1.140  0.286 -1.280  0.355 -1.418  0.412 -1.557  0.409 -1.695  0.344 -1.556  0.279 -1.417  0.214 -1.278  0.149 -1.139  0.084 -1.000  0.019 -0.861  -0.046 -0.721  -0.111 -0.582  -0.176 -0.443  -0.241 -0.304  -0.305 -0.165  -0.370 -0.026  -0.268 0.012  -0.212 0.142  -0.145 0.234  -0.021 0.320  0.112 0.378  0.259 0.395  0.412 0.395
2#app#app18#app1888/b  -0.867 1.523  -0.760 1.629  -0.723 1.745  -0.645 1.673  -0.645 1.522  -0.616 1.383  -0.534 1.267  -0.534 1.117  -0.454 0.999  -0.422 0.862  -0.422 0.711  -0.422 0.561  -0.422 0.410  -0.422 0.260  -0.422 0.109  -0.422 -0.041  -0.422 -0.192  -0.422 -0.342  -0.422 -0.492  -0.383 -0.627  -0.311 -0.747  -0.223 -0.809  -0.191 -0.684  -0.107 -0.559  -0.024 -0.433  0.070 -0.317  0.133 -0.192  0.178 -0.052  0.244 0.082  0.274 0.220  0.355 0.337  0.430 0.412  0.577 0.408  0.608 0.271  0.688 0.154  0.688 0.003  0.691 -0.146  0.798 -0.252  0.799 -0.402  0.799 -0.553  0.799 -0.703  0.767 -0.841  0.661 -0.947  0.577 -1.063  0.506 -1.142  0.388 -1.220  0.251 -1.253  0.101 -1.253  -0.050 -1.253  -0.089 -1.142
