1c#apa#apa02#app0241/j  0.118 0.829  0.118 0.973  0.126 0.923  0.212 0.864  0.289 0.751  0.306 0.613  0.306 0.469  0.306 0.324  0.306 0.180  0.306 0.035  0.306 -0.110  0.306 -0.254  0.306 -0.399  0.306 -0.544  0.306 -0.688  0.306 -0.833  0.212 -0.884  0.159 -1.006  0.118 -1.134  0.019 -1.235  -0.069 -1.291  -0.176 -1.329  -0.321 -1.329  -0.465 -1.329  -0.610 -1.329  -0.661 -1.235  -0.697 -1.161  -0.643 -1.027  -0.589 -0.892  -0.535 -0.758  -0.482 -0.624  -0.428 -0.490  -0.374 -0.355  -0.321 -0.221  -0.267 -0.087  -0.213 0.048  -0.159 0.182  -0.106 0.316  -0.052 0.450  0.002 0.585  0.055 0.719  0.109 0.853  0.163 0.987  0.217 1.122  0.270 1.256  0.324 1.390  0.378 1.525  0.399 1.665  0.306 1.716  0.212 1.767
1c#apa#apa02#app0241/o  0.461 0.957  0.461 1.109  0.461 1.260  0.337 1.288  0.185 1.288  0.130 1.192  0.048 1.123  -0.035 1.054  -0.090 0.957  -0.229 0.929  -0.336 0.821  -0.476 0.792  -0.531 0.696  -0.531 0.545  -0.579 0.413  -0.686 0.306  -0.696 0.159  -0.696 0.007  -0.696 -0.144  -0.696 -0.295  -0.696 -0.447  -0.696 -0.598  -0.658 -0.734  -0.551 -0.841  -0.531 -0.984  -0.531 -1.136  -0.463 -1.259  -0.352 -1.356  -0.200 -1.356  -0.049 -1.356  0.102 -1.356  0.218 -1.269  0.295 -1.149  0.323 -1.026  0.461 -1.012  0.461 -0.860  0.461 -0.709  0.558 -0.598  0.626 -0.475  0.626 -0.323  0.626 -0.172  0.616 -0.024  0.509 0.083  0.461 0.214  0.461 0.366  0.461 0.517  0.461 0.668  0.461 0.820  0.447 0.957  0.295 0.957
1c#apa#apa02#app0241/u  -0.810 0.775  -0.810 0.862  -0.810 0.705  -0.915 0.653  -0.932 0.512  -0.932 0.355  -0.932 0.198  -0.932 0.041  -0.932 -0.116  -0.932 -0.274  -0.932 -0.431  -0.932 -0.588  -0.932 -0.745  -0.932 -0.903  -0.842 -1.023  -0.810 -1.166  -0.663 -1.177  -0.506 -1.177  -0.377 -1.111  -0.242 -1.055  -0.119 -0.974  -0.077 -0.834  0.018 -0.716  0.129 -0.605  0.167 -0.464  0.265 -0.347  0.328 -0.206  0.377 -0.057  0.411 0.095  0.411 0.252  0.411 0.409  0.436 0.556  0.533 0.673  0.533 0.830  0.533 0.988  0.529 1.141  0.449 1.141  0.533 1.067  0.533 0.910  0.635 0.795  0.655 0.646  0.697 0.531  0.777 0.454  0.827 0.309  0.897 0.168  0.921 0.020  1.021 -0.096  1.021 -0.253  1.108 -0.323  1.143 -0.445
1c#apa#apa02#app0241/r  -0.462 0.749  -0.451 0.613  -0.326 0.592  -0.326 0.446  -0.307 0.304  -0.242 0.173  -0.190 0.039  -0.190 -0.107  -0.153 -0.239  -0.054 -0.344  -0.054 -0.490  -0.054 -0.637  -0.054 -0.783  -0.054 -0.930  0.005 -1.017  0.082 -1.087  0.082 -1.233  0.082 -1.379  -0.019 -1.425  -0.165 -1.425  -0.190 -1.304  -0.322 -1.289  -0.326 -1.147  -0.338 -1.005  -0.442 -0.902  -0.462 -0.764  -0.462 -0.617  -0.462 -0.471  -0.462 -0.324  -0.462 -0.178  -0.462 -0.032  -0.430 0.102  -0.326 0.205  -0.326 0.351  -0.312 0.492  -0.208 0.595  -0.105 0.699  -0.020 0.816  0.045 0.947  0.146 1.021  0.270 1.074  0.382 1.157  0.529 1.157  0.675 1.157  0.822 1.157  0.968 1.157  1.114 1.157  1.234 1.092  1.338 0.989  1.441 0.885
1c#apa#apa02#app0241/n  -1.100 0.780  -0.927 0.780  -0.865 0.667  -0.747 0.543  -0.693 0.378  -0.638 0.213  -0.607 0.051  -0.513 -0.084  -0.513 -0.257  -0.488 -0.420  -0.396 -0.556  -0.396 -0.729  -0.396 -0.903  -0.330 -1.049  -0.278 -1.201  -0.278 -1.374  -0.278 -1.357  -0.396 -1.301  -0.396 -1.128  -0.396 -0.954  -0.396 -0.781  -0.396 -0.607  -0.396 -0.434  -0.396 -0.260  -0.343 -0.108  -0.278 0.038  -0.278 0.212  -0.278 0.385  -0.185 0.520  -0.161 0.684  -0.106 0.834  -0.043 0.982  0.057 1.114  0.192 1.163  0.279 1.249  0.445 1.232  0.567 1.109  0.662 0.974  0.730 0.829  0.852 0.706  0.897 0.551  0.971 0.395  1.014 0.232  1.014 0.058  1.014 -0.115  1.014 -0.289  1.014 -0.462  1.014 -0.636  1.014 -0.809  1.132 -0.865
1c#apa#apa02#app0241/e  -0.013 -0.395  0.129 -0.395  0.257 -0.383  0.276 -0.260  0.410 -0.243  0.510 -0.143  0.609 -0.043  0.663 0.076  0.713 0.196  0.813 0.296  0.913 0.396  0.933 0.528  0.933 0.670  0.933 0.811  0.801 0.820  0.795 0.955  0.657 0.962  0.557 1.061  0.428 1.090  0.287 1.090  0.145 1.090  0.004 1.090  -0.124 1.035  -0.250 0.972  -0.357 0.882  -0.456 0.782  -0.553 0.681  -0.564 0.550  -0.700 0.538  -0.800 0.439  -0.823 0.307  -0.823 0.166  -0.823 0.025  -0.823 -0.116  -0.823 -0.257  -0.823 -0.399  -0.816 -0.537  -0.716 -0.637  -0.616 -0.737  -0.553 -0.851  -0.496 -0.935  -0.373 -0.980  -0.283 -1.084  -0.263 -1.205  -0.130 -1.223  -0.030 -1.323  0.104 -1.340  0.245 -1.340  0.386 -1.340  0.528 -1.340
1c#apa#apa02#app0241/y  -0.635 1.166  -0.635 1.181  -0.635 1.046  -0.635 0.911  -0.635 0.776  -0.635 0.641  -0.635 0.506  -0.602 0.384  -0.561 0.266  -0.517 0.149  -0.486 0.027  -0.410 -0.032  -0.293 0.011  -0.197 0.106  -0.111 0.206  -0.111 0.341  -0.051 0.462  -0.018 0.586  0.039 0.697  0.052 0.830  0.094 0.959  0.114 1.090  0.189 1.195  0.198 1.157  0.264 1.049  0.264 0.914  0.264 0.779  0.264 0.644  0.264 0.509  0.317 0.386  0.339 0.256  0.339 0.121  0.339 -0.014  0.339 -0.149  0.339 -0.284  0.339 -0.419  0.339 -0.555  0.339 -0.690  0.339 -0.825  0.339 -0.960  0.339 -1.095  0.339 -1.230  0.339 -1.365  0.264 -1.469  0.264 -1.604  0.205 -1.681  0.189 -1.800  0.084 -1.830  0.039 -1.741  0.039 -1.606
1c#apa#apa02#app0241/s  0.500 0.792  0.622 0.792  0.639 0.897  0.639 1.018  0.639 1.140  0.586 1.209  0.464 1.209  0.342 1.209  0.220 1.209  0.098 1.209  0.083 1.102  -0.006 1.070  -0.128 1.070  -0.234 1.031  -0.320 0.945  -0.407 0.858  -0.473 0.764  -0.473 0.642  -0.473 0.520  -0.473 0.398  -0.473 0.276  -0.416 0.178  -0.328 0.096  -0.206 0.096  -0.117 0.018  -0.020 -0.043  0.102 -0.043  0.222 -0.045  0.222 -0.167  0.298 -0.257  0.393 -0.321  0.500 -0.336  0.500 -0.458  0.500 -0.580  0.500 -0.701  0.500 -0.823  0.432 -0.877  0.316 -0.900  0.207 -0.955  0.098 -1.009  -0.011 -1.064  -0.121 -1.118  -0.234 -1.155  -0.349 -1.171  -0.436 -1.257  -0.542 -1.295  -0.664 -1.295  -0.786 -1.295  -0.908 -1.295  -1.030 -1.295
1c#apa#apa02#app0241/h  -0.403 1.939  -0.403 1.973  -0.403 1.817  -0.403 1.661  -0.403 1.506  -0.403 1.350  -0.403 1.194  -0.403 1.038  -0.403 0.883  -0.403 0.727  -0.403 0.571  -0.403 0.415  -0.403 0.260  -0.403 0.104  -0.403 -0.052  -0.403 -0.208  -0.403 -0.364  -0.403 -0.519  -0.403 -0.675  -0.366 -0.825  -0.316 -0.973  -0.308 -1.127  -0.308 -1.283  -0.308 -1.312  -0.308 -1.157  -0.244 -1.027  -0.214 -0.884  -0.179 -0.737  -0.109 -0.597  -0.039 -0.458  0.030 -0.319  0.070 -0.172  0.094 -0.026  0.165 0.100  0.180 0.249  0.279 0.368  0.349 0.507  0.497 0.519  0.554 0.414  0.639 0.293  0.639 0.137  0.684 0.000  0.733 -0.135  0.733 -0.291  0.733 -0.446  0.733 -0.602  0.765 -0.745  0.828 -0.875  0.828 -1.030  0.828 -1.186
1c#apa#apa02#app0241/i  -0.239 0.291  -0.159 0.211  -0.127 0.111  -0.127 -0.002  -0.127 -0.116  -0.127 -0.229  -0.127 -0.342  -0.076 -0.435  -0.014 -0.523  -0.014 -0.636  -0.014 -0.749  -0.014 -0.863  -0.014 -0.976  -0.014 -1.090  -0.037 -1.194  -0.117 -1.274  -0.127 -1.383  -0.127 -1.497  -0.117 -1.408  -0.105 -1.295  -0.094 -1.182  -0.083 -1.069  -0.072 -0.956  -0.060 -0.844  -0.049 -0.731  -0.038 -0.618  -0.026 -0.505  -0.015 -0.392  -0.004 -0.279  0.007 -0.167  0.019 -0.054  0.030 0.059  0.041 0.172  0.052 0.285  0.064 0.398  0.075 0.510  0.086 0.623  0.098 0.736  0.109 0.849  0.120 0.962  0.131 1.075  0.143 1.187  0.154 1.300  0.165 1.413  0.177 1.526  0.188 1.639  0.199 1.752  0.210 1.864  0.099 1.866  0.098 1.979
1c#apa#apa02#app0241/d  0.308 2.104  0.308 1.960  0.308 1.817  0.223 1.708  0.205 1.572  0.205 1.428  0.205 1.284  0.205 1.140  0.255 1.017  0.308 0.896  0.308 0.752  0.308 0.608  0.308 0.464  0.397 0.357  0.412 0.219  0.412 0.076  0.412 -0.068  0.412 -0.212  0.465 -0.334  0.516 -0.457  0.516 -0.601  0.516 -0.646  0.427 -0.592  0.394 -0.470  0.308 -0.361  0.264 -0.236  0.162 -0.134  0.060 -0.033  -0.057 0.030  -0.201 0.030  -0.345 0.030  -0.489 0.030  -0.630 0.025  -0.729 -0.078  -0.774 -0.177  -0.832 -0.262  -0.832 -0.406  -0.832 -0.550  -0.832 -0.694  -0.805 -0.826  -0.693 -0.903  -0.625 -0.979  -0.512 -1.015  -0.408 -1.110  -0.264 -1.110  -0.120 -1.110  0.024 -1.110  0.148 -1.063  0.268 -1.006  0.412 -1.006
