2#apb#apb13#app1362/F  -0.479 -0.372  -0.461 -0.117  -0.388 0.135  -0.339 0.400  -0.279 0.624  -0.261 0.360  -0.335 0.097  -0.443 -0.155  -0.542 -0.410  -0.641 -0.666  -0.745 -0.919  -0.870 -1.163  -0.947 -1.425  -1.025 -1.679  -1.007 -1.480  -0.911 -1.224  -0.815 -0.967  -0.719 -0.710  -0.624 -0.453  -0.528 -0.196  -0.432 0.060  -0.336 0.317  -0.292 0.557  -0.521 0.682  -0.473 0.652  -0.201 0.673  0.071 0.709  0.343 0.746  0.616 0.755  0.890 0.755  1.145 0.846  1.415 0.882  1.680 0.857  1.676 0.665  1.426 0.553  1.175 0.442  0.925 0.331  0.674 0.220  0.424 0.108  0.173 -0.003  -0.077 -0.114  -0.328 -0.226  -0.588 -0.205  -0.372 -0.154  -0.101 -0.127  0.170 -0.081  0.440 -0.036  0.701 0.046  0.962 0.125  1.175 0.283
2#apb#apb13#app1362/E  -0.113 0.530  0.001 0.787  -0.175 0.692  -0.334 0.373  -0.495 0.055  -0.662 -0.259  -0.845 -0.565  -1.044 -0.860  -1.253 -1.147  -1.345 -1.334  -1.097 -1.095  -0.940 -0.776  -0.783 -0.456  -0.626 -0.136  -0.469 0.183  -0.312 0.503  -0.267 0.824  -0.045 0.936  0.303 1.011  0.647 1.103  0.982 1.225  1.308 1.205  1.299 0.890  0.989 0.714  0.680 0.538  0.370 0.362  0.060 0.186  -0.249 0.010  -0.585 -0.068  -0.737 0.049  -0.384 0.094  -0.036 0.168  0.308 0.257  0.639 0.388  0.959 0.530  1.296 0.459  1.262 0.203  0.940 0.051  0.618 -0.101  0.296 -0.254  -0.026 -0.406  -0.348 -0.558  -0.670 -0.711  -0.913 -0.854  -0.564 -0.902  -0.211 -0.858  0.138 -0.791  0.485 -0.713  0.835 -0.657  1.117 -0.820
2#apb#apb13#app1362/W  -1.538 0.651  -1.442 0.442  -1.351 0.184  -1.264 -0.076  -1.180 -0.333  -1.058 -0.575  -0.884 -0.784  -0.721 -0.777  -0.609 -0.527  -0.497 -0.277  -0.385 -0.026  -0.273 0.224  -0.161 0.474  -0.032 0.715  -0.145 0.557  -0.277 0.317  -0.426 0.087  -0.592 -0.131  -0.744 -0.358  -0.883 -0.595  -1.006 -0.828  -0.775 -0.920  -0.610 -0.739  -0.503 -0.486  -0.397 -0.234  -0.290 0.019  -0.184 0.272  -0.078 0.525  0.009 0.646  0.128 0.399  0.243 0.150  0.360 -0.099  0.461 -0.353  0.585 -0.564  0.693 -0.598  0.813 -0.352  0.933 -0.105  1.053 0.142  1.173 0.388  1.293 0.635  1.413 0.882  1.488 1.143  1.380 0.966  1.280 0.712  1.156 0.467  1.026 0.226  0.880 -0.006  0.754 -0.250  0.635 -0.497  0.551 -0.731
2#apb#apb13#app1362/Q  0.545 0.711  0.770 0.884  0.989 1.053  0.978 1.264  0.718 1.196  0.462 1.075  0.225 0.918  -0.020 0.776  -0.261 0.626  -0.499 0.473  -0.732 0.310  -0.899 0.083  -0.808 -0.164  -0.556 -0.288  -0.274 -0.297  0.007 -0.266  0.277 -0.191  0.520 -0.043  0.732 0.145  0.835 0.401  0.817 0.680  0.660 0.914  0.433 1.082  0.205 1.085  0.256 0.817  0.144 0.556  0.033 0.295  -0.079 0.034  -0.191 -0.227  -0.270 -0.391  -0.247 -0.110  -0.395 0.117  -0.629 -0.024  -0.785 -0.260  -0.906 -0.517  -0.988 -0.789  -1.030 -1.069  -1.039 -1.353  -0.943 -1.615  -0.734 -1.754  -0.544 -1.543  -0.355 -1.332  -0.165 -1.121  0.025 -0.910  0.215 -0.699  0.405 -0.487  0.594 -0.276  0.784 -0.065  0.853 0.163  0.869 0.135
2#apb#apb13#app1362/U  -0.636 0.007  -0.605 0.133  -0.557 0.252  -0.550 0.380  -0.550 0.510  -0.563 0.636  -0.642 0.568  -0.730 0.473  -0.768 0.351  -0.800 0.226  -0.841 0.103  -0.890 -0.016  -0.939 -0.136  -0.953 -0.265  -0.967 -0.393  -0.982 -0.522  -0.995 -0.651  -0.984 -0.777  -0.934 -0.896  -0.843 -0.976  -0.719 -0.999  -0.592 -0.970  -0.466 -0.940  -0.352 -0.880  -0.237 -0.819  -0.122 -0.760  -0.001 -0.714  0.120 -0.667  0.220 -0.587  0.317 -0.501  0.410 -0.411  0.501 -0.319  0.581 -0.217  0.659 -0.114  0.721 -0.000  0.782 0.114  0.849 0.225  0.918 0.334  0.975 0.450  1.016 0.573  1.052 0.697  1.080 0.823  1.111 0.949  1.085 1.050  0.997 1.092  0.960 0.976  0.956 0.847  0.958 0.717  0.968 0.588  0.978 0.459
2#apb#apb13#app1362/I  0.557 0.602  0.589 0.676  0.621 0.750  0.662 0.819  0.711 0.883  0.711 0.964  0.711 1.044  0.711 1.125  0.711 1.206  0.664 1.180  0.624 1.110  0.584 1.040  0.541 0.973  0.497 0.905  0.453 0.837  0.409 0.769  0.365 0.702  0.321 0.634  0.277 0.567  0.231 0.500  0.186 0.434  0.140 0.367  0.094 0.300  0.049 0.234  0.003 0.167  -0.041 0.100  -0.082 0.030  -0.122 -0.040  -0.162 -0.109  -0.203 -0.179  -0.243 -0.249  -0.284 -0.319  -0.324 -0.389  -0.363 -0.459  -0.403 -0.529  -0.443 -0.600  -0.482 -0.670  -0.522 -0.740  -0.557 -0.813  -0.586 -0.888  -0.615 -0.963  -0.644 -1.038  -0.673 -1.114  -0.684 -1.194  -0.694 -1.274  -0.710 -1.352  -0.726 -1.430  -0.695 -1.492  -0.621 -1.524  -0.546 -1.554
2#apb#apb13#app1362/P  0.085 0.748  0.110 0.716  0.053 0.528  -0.013 0.343  -0.091 0.164  -0.177 -0.012  -0.275 -0.183  -0.372 -0.353  -0.478 -0.518  -0.590 -0.680  -0.697 -0.844  -0.800 -1.011  -0.907 -1.175  -0.987 -1.351  -0.974 -1.521  -0.854 -1.446  -0.779 -1.265  -0.705 -1.083  -0.630 -0.902  -0.556 -0.720  -0.481 -0.539  -0.406 -0.357  -0.332 -0.176  -0.257 0.005  -0.183 0.187  -0.108 0.368  -0.131 0.538  -0.228 0.700  -0.198 0.888  -0.081 1.042  0.079 1.152  0.263 1.217  0.458 1.226  0.648 1.247  0.840 1.217  1.019 1.166  1.103 0.993  1.131 0.800  1.113 0.605  1.064 0.415  1.009 0.226  0.945 0.041  0.867 -0.138  0.751 -0.293  0.588 -0.394  0.392 -0.412  0.198 -0.385  0.015 -0.324  -0.145 -0.214  -0.295 -0.234
2#apb#apb13#app1362/S  0.714 0.791  0.744 0.908  0.713 1.029  0.642 1.131  0.535 1.188  0.417 1.191  0.298 1.154  0.179 1.116  0.061 1.077  -0.056 1.034  -0.168 0.978  -0.279 0.922  -0.392 0.869  -0.505 0.816  -0.605 0.745  -0.696 0.660  -0.785 0.575  -0.799 0.461  -0.708 0.381  -0.603 0.314  -0.485 0.272  -0.368 0.230  -0.245 0.210  -0.122 0.191  0.001 0.166  0.123 0.142  0.244 0.111  0.363 0.076  0.478 0.027  0.573 -0.053  0.637 -0.160  0.678 -0.273  0.678 -0.398  0.676 -0.522  0.610 -0.628  0.545 -0.734  0.465 -0.829  0.381 -0.922  0.283 -0.997  0.177 -1.062  0.076 -1.135  -0.017 -1.217  -0.131 -1.254  -0.255 -1.265  -0.379 -1.277  -0.503 -1.276  -0.627 -1.265  -0.748 -1.231  -0.854 -1.168  -0.959 -1.101
2#apb#apb13#app1362/G  0.478 0.663  0.531 0.798  0.608 0.924  0.644 1.066  0.644 1.214  0.550 1.285  0.411 1.236  0.268 1.197  0.137 1.128  0.014 1.047  -0.105 0.958  -0.224 0.871  -0.334 0.773  -0.424 0.656  -0.516 0.540  -0.608 0.424  -0.703 0.310  -0.795 0.194  -0.879 0.072  -0.961 -0.051  -1.039 -0.177  -1.094 -0.314  -1.135 -0.455  -1.117 -0.600  -1.063 -0.738  -0.979 -0.857  -0.859 -0.937  -0.716 -0.971  -0.569 -0.982  -0.424 -0.956  -0.280 -0.921  -0.138 -0.878  -0.014 -0.800  0.104 -0.711  0.220 -0.618  0.337 -0.528  0.419 -0.413  0.397 -0.273  0.275 -0.191  0.137 -0.152  0.226 -0.197  0.369 -0.234  0.513 -0.268  0.661 -0.268  0.809 -0.268  0.957 -0.268  1.104 -0.281  1.250 -0.294  1.387 -0.351  1.526 -0.401
2#apb#apb13#app1362/A  0.460 1.073  0.365 1.086  0.193 0.883  0.025 0.676  -0.140 0.467  -0.302 0.256  -0.452 0.036  -0.606 -0.182  -0.765 -0.395  -0.917 -0.613  -1.047 -0.844  -1.164 -1.083  -1.249 -1.330  -1.142 -1.462  -0.967 -1.268  -0.828 -1.041  -0.690 -0.813  -0.552 -0.586  -0.413 -0.358  -0.275 -0.131  -0.137 0.097  0.002 0.325  0.140 0.552  0.278 0.780  0.417 1.007  0.522 1.250  0.741 1.388  0.967 1.313  1.103 1.096  1.148 0.835  1.117 0.572  1.019 0.325  0.906 0.084  0.763 -0.141  0.585 -0.338  0.397 -0.526  0.191 -0.693  0.019 -0.892  -0.104 -1.110  -0.000 -1.055  -0.043 -0.792  -0.085 -0.529  -0.127 -0.266  -0.170 -0.003  -0.289 0.153  -0.303 0.356  -0.044 0.416  0.220 0.453  0.484 0.490  0.748 0.478
2#apb#apb13#app1362/L  0.236 0.726  0.285 0.841  0.339 0.954  0.408 1.057  0.490 1.152  0.533 1.269  0.540 1.363  0.528 1.414  0.482 1.297  0.426 1.186  0.355 1.083  0.284 0.980  0.213 0.877  0.127 0.786  0.041 0.695  -0.044 0.603  -0.130 0.512  -0.209 0.415  -0.288 0.318  -0.367 0.221  -0.445 0.123  -0.520 0.022  -0.595 -0.078  -0.670 -0.178  -0.746 -0.277  -0.823 -0.376  -0.899 -0.476  -0.972 -0.578  -1.026 -0.689  -1.090 -0.796  -0.990 -0.839  -0.865 -0.839  -0.740 -0.834  -0.615 -0.828  -0.489 -0.822  -0.365 -0.815  -0.244 -0.782  -0.123 -0.749  -0.002 -0.716  0.119 -0.685  0.243 -0.671  0.368 -0.657  0.492 -0.643  0.616 -0.625  0.740 -0.606  0.864 -0.599  0.984 -0.580  1.098 -0.627  1.185 -0.715  1.257 -0.817
