3#apb#apb31#app3189/E  0.510 1.317  0.460 1.060  0.369 0.814  0.269 0.572  0.161 0.334  0.048 0.097  -0.066 -0.139  -0.191 -0.369  -0.317 -0.599  -0.473 -0.810  -0.629 -1.020  -0.793 -1.223  -0.912 -1.317  -0.803 -1.079  -0.694 -0.840  -0.585 -0.602  -0.476 -0.364  -0.367 -0.125  -0.258 0.113  -0.149 0.351  -0.040 0.590  0.069 0.828  0.277 0.958  0.496 1.101  0.736 1.207  0.980 1.301  1.231 1.377  1.248 1.321  1.054 1.146  0.859 0.970  0.665 0.794  0.470 0.619  0.276 0.443  0.081 0.267  -0.113 0.092  -0.307 -0.084  -0.486 -0.253  -0.254 -0.135  0.001 -0.077  0.245 0.020  0.322 -0.011  0.168 -0.223  0.013 -0.435  -0.141 -0.647  -0.295 -0.858  -0.449 -1.070  -0.603 -1.282  -0.757 -1.491  -0.547 -1.367  -0.302 -1.272
3#apb#apb31#app3189/d  -0.303 -0.132  -0.413 -0.257  -0.528 -0.375  -0.655 -0.482  -0.773 -0.598  -0.883 -0.721  -0.983 -0.854  -1.074 -0.992  -1.112 -1.147  -1.029 -1.270  -0.864 -1.258  -0.726 -1.166  -0.597 -1.064  -0.477 -0.949  -0.358 -0.834  -0.245 -0.712  -0.133 -0.590  -0.025 -0.464  0.077 -0.334  0.179 -0.203  0.279 -0.071  0.379 0.062  0.478 0.194  0.572 0.331  0.651 0.476  0.731 0.622  0.787 0.776  0.826 0.938  0.858 1.099  0.843 1.264  0.792 1.416  0.675 1.510  0.527 1.457  0.396 1.356  0.269 1.249  0.144 1.140  0.038 1.013  -0.057 0.878  -0.134 0.732  -0.143 0.566  -0.121 0.404  -0.073 0.246  -0.008 0.093  0.056 -0.060  0.151 -0.196  0.245 -0.332  0.335 -0.471  0.427 -0.610  0.488 -0.760  0.512 -0.924
3#apb#apb31#app3189/i  0.445 1.448  0.445 1.518  0.445 1.513  0.431 1.445  0.414 1.377  0.397 1.309  0.380 1.241  0.363 1.174  0.346 1.106  0.329 1.038  0.312 0.970  0.295 0.902  0.274 0.836  0.252 0.769  0.230 0.703  0.208 0.637  0.186 0.570  0.164 0.504  0.142 0.438  0.120 0.371  0.098 0.305  0.075 0.239  0.053 0.172  0.032 0.106  0.012 0.039  -0.008 -0.028  -0.028 -0.096  -0.047 -0.163  -0.067 -0.230  -0.087 -0.297  -0.106 -0.364  -0.126 -0.431  -0.146 -0.498  -0.166 -0.565  -0.185 -0.632  -0.205 -0.699  -0.226 -0.766  -0.249 -0.832  -0.272 -0.898  -0.295 -0.964  -0.319 -1.030  -0.342 -1.096  -0.365 -1.162  -0.388 -1.228  -0.412 -1.294  -0.435 -1.360  -0.458 -1.425  -0.482 -1.491  -0.505 -1.557  -0.528 -1.623
3#apb#apb31#app3189/t  0.662 1.234  0.555 1.105  0.516 0.938  0.473 0.773  0.409 0.614  0.346 0.455  0.282 0.296  0.191 0.151  0.100 0.006  0.009 -0.139  -0.081 -0.284  -0.211 -0.394  -0.348 -0.496  -0.485 -0.599  -0.587 -0.735  -0.685 -0.876  -0.776 -1.018  -0.697 -1.169  -0.548 -1.254  -0.386 -1.228  -0.222 -1.181  -0.056 -1.139  0.111 -1.101  0.269 -1.038  0.425 -0.965  0.569 -0.878  0.684 -0.752  0.800 -0.625  0.964 -0.597  1.059 -0.557  0.931 -0.444  0.802 -0.330  0.674 -0.217  0.545 -0.104  0.417 0.009  0.289 0.122  0.160 0.235  0.032 0.348  -0.097 0.462  -0.225 0.575  -0.354 0.688  -0.482 0.801  -0.611 0.914  -0.739 1.027  -0.867 1.141  -0.996 1.254  -0.958 1.271  -0.792 1.234  -0.621 1.234  -0.449 1.234
3#apb#apb31#app3189/o  -0.425 0.819  -0.482 0.718  -0.539 0.617  -0.595 0.516  -0.635 0.408  -0.669 0.298  -0.703 0.187  -0.718 0.073  -0.728 -0.042  -0.739 -0.157  -0.749 -0.272  -0.749 -0.388  -0.749 -0.504  -0.749 -0.619  -0.749 -0.735  -0.708 -0.842  -0.664 -0.949  -0.620 -1.056  -0.542 -1.137  -0.451 -1.208  -0.351 -1.191  -0.247 -1.139  -0.144 -1.088  -0.064 -1.004  0.015 -0.920  0.094 -0.836  0.174 -0.752  0.236 -0.655  0.297 -0.556  0.358 -0.458  0.418 -0.359  0.479 -0.261  0.529 -0.157  0.570 -0.049  0.611 0.059  0.652 0.167  0.693 0.275  0.732 0.384  0.757 0.497  0.782 0.610  0.806 0.723  0.831 0.836  0.798 0.946  0.763 1.056  0.728 1.167  0.671 1.263  0.589 1.345  0.507 1.427  0.396 1.457  0.284 1.488
3#apb#apb31#app3189/r  -0.408 -0.343  -0.440 -0.430  -0.471 -0.517  -0.503 -0.604  -0.531 -0.693  -0.549 -0.784  -0.567 -0.875  -0.587 -0.966  -0.617 -1.053  -0.648 -1.141  -0.692 -1.218  -0.735 -1.218  -0.707 -1.129  -0.676 -1.042  -0.631 -0.961  -0.585 -0.880  -0.540 -0.799  -0.495 -0.718  -0.447 -0.638  -0.398 -0.559  -0.349 -0.480  -0.300 -0.401  -0.252 -0.322  -0.203 -0.243  -0.156 -0.162  -0.113 -0.080  -0.070 0.002  -0.028 0.085  0.015 0.167  0.058 0.249  0.101 0.332  0.144 0.414  0.187 0.497  0.245 0.569  0.306 0.639  0.366 0.710  0.426 0.781  0.486 0.851  0.546 0.922  0.606 0.993  0.666 1.064  0.726 1.135  0.793 1.198  0.872 1.248  0.954 1.272  1.003 1.204  1.034 1.117  1.054 1.027  1.054 0.935  1.054 0.842
3#apb#apb31#app3189/V  -0.860 0.962  -0.755 0.977  -0.682 0.893  -0.654 0.783  -0.627 0.673  -0.626 0.561  -0.637 0.448  -0.647 0.335  -0.658 0.222  -0.662 0.108  -0.665 -0.005  -0.669 -0.119  -0.672 -0.232  -0.668 -0.346  -0.664 -0.459  -0.660 -0.573  -0.642 -0.684  -0.612 -0.793  -0.583 -0.903  -0.537 -1.004  -0.465 -1.092  -0.373 -1.156  -0.267 -1.190  -0.157 -1.181  -0.063 -1.123  0.013 -1.039  0.075 -0.946  0.123 -0.842  0.170 -0.739  0.217 -0.636  0.264 -0.533  0.311 -0.429  0.358 -0.326  0.405 -0.222  0.446 -0.117  0.487 -0.011  0.528 0.095  0.569 0.201  0.613 0.305  0.659 0.409  0.705 0.513  0.751 0.617  0.797 0.720  0.849 0.822  0.901 0.922  0.953 1.023  1.005 1.124  1.053 1.227  1.102 1.329  1.152 1.431
3#apb#apb31#app3189/P  -0.302 0.556  -0.333 0.404  -0.336 0.250  -0.323 0.095  -0.329 -0.059  -0.357 -0.212  -0.381 -0.365  -0.401 -0.519  -0.421 -0.673  -0.448 -0.826  -0.479 -0.978  -0.511 -1.130  -0.539 -1.283  -0.564 -1.436  -0.604 -1.584  -0.673 -1.485  -0.667 -1.331  -0.652 -1.176  -0.619 -1.024  -0.586 -0.873  -0.554 -0.721  -0.522 -0.568  -0.485 -0.418  -0.424 -0.275  -0.363 -0.132  -0.303 0.011  -0.233 0.149  -0.164 0.288  -0.094 0.427  -0.001 0.551  0.093 0.675  0.189 0.797  0.293 0.913  0.396 1.028  0.509 1.135  0.625 1.238  0.755 1.320  0.894 1.371  0.986 1.253  1.001 1.098  1.003 0.944  0.982 0.790  0.943 0.642  0.877 0.501  0.800 0.366  0.705 0.247  0.581 0.153  0.471 0.044  0.348 -0.049  0.214 -0.129
3#apb#apb31#app3189/O  -0.105 0.599  -0.221 0.560  -0.307 0.474  -0.392 0.387  -0.461 0.286  -0.527 0.184  -0.589 0.078  -0.648 -0.028  -0.696 -0.140  -0.743 -0.252  -0.787 -0.366  -0.807 -0.486  -0.826 -0.607  -0.844 -0.727  -0.860 -0.848  -0.868 -0.967  -0.814 -1.076  -0.749 -1.177  -0.652 -1.247  -0.542 -1.196  -0.439 -1.134  -0.352 -1.047  -0.266 -0.961  -0.180 -0.875  -0.094 -0.789  -0.007 -0.703  0.075 -0.613  0.154 -0.520  0.233 -0.427  0.311 -0.334  0.384 -0.235  0.456 -0.137  0.527 -0.038  0.599 0.060  0.661 0.165  0.717 0.274  0.772 0.382  0.828 0.490  0.876 0.602  0.917 0.717  0.957 0.832  0.934 0.951  0.906 1.069  0.832 1.157  0.732 1.227  0.623 1.274  0.503 1.292  0.382 1.301  0.260 1.290  0.139 1.279
3#apb#apb31#app3189/p  -0.212 0.642  -0.161 0.504  -0.110 0.366  -0.109 0.220  -0.109 0.073  -0.109 -0.074  -0.135 -0.218  -0.173 -0.360  -0.212 -0.501  -0.251 -0.643  -0.289 -0.785  -0.328 -0.927  -0.381 -1.064  -0.435 -1.201  -0.515 -1.319  -0.623 -1.419  -0.729 -1.518  -0.808 -1.424  -0.790 -1.278  -0.759 -1.134  -0.723 -0.992  -0.687 -0.849  -0.629 -0.715  -0.567 -0.582  -0.504 -0.449  -0.437 -0.318  -0.361 -0.192  -0.285 -0.066  -0.209 0.059  -0.138 0.188  -0.067 0.317  0.003 0.446  0.091 0.562  0.195 0.666  0.299 0.770  0.400 0.876  0.499 0.985  0.597 1.095  0.718 1.173  0.850 1.239  0.990 1.278  1.071 1.208  1.069 1.063  1.032 0.924  0.941 0.809  0.844 0.698  0.740 0.594  0.625 0.503  0.506 0.419  0.377 0.348
3#apb#apb31#app3189/e  -0.860 -0.630  -0.750 -0.530  -0.641 -0.430  -0.532 -0.329  -0.428 -0.225  -0.323 -0.120  -0.218 -0.015  -0.113 0.088  0.000 0.184  0.113 0.279  0.226 0.375  0.345 0.463  0.463 0.552  0.587 0.631  0.726 0.681  0.863 0.737  0.981 0.826  1.048 0.915  0.925 0.985  0.811 1.079  0.692 1.159  0.544 1.159  0.396 1.159  0.248 1.159  0.110 1.123  -0.017 1.047  -0.130 0.955  -0.214 0.833  -0.298 0.711  -0.364 0.581  -0.408 0.440  -0.453 0.298  -0.486 0.155  -0.503 0.008  -0.519 -0.139  -0.533 -0.286  -0.518 -0.434  -0.502 -0.581  -0.487 -0.728  -0.452 -0.871  -0.403 -1.010  -0.354 -1.150  -0.285 -1.274  -0.162 -1.357  -0.039 -1.439  0.100 -1.470  0.248 -1.470  0.386 -1.424  0.522 -1.366  0.658 -1.307
