1d#tos#t3#t3050062/!  -0.027 1.300  -0.102 1.300  -0.159 1.344  -0.202 1.401  -0.234 1.463  -0.205 1.434  -0.202 1.360  -0.202 1.285  -0.202 1.210  -0.178 1.139  -0.154 1.067  -0.130 0.996  -0.114 0.924  -0.114 0.848  -0.114 0.773  -0.114 0.698  -0.114 0.623  -0.114 0.548  -0.114 0.473  -0.097 0.405  -0.044 0.352  0.009 0.299  0.017 0.227  0.017 0.152  0.017 0.077  0.017 0.001  0.017 -0.074  0.017 -0.149  0.017 -0.224  0.017 -0.299  0.017 -0.374  0.028 -0.448  0.049 -0.520  0.070 -0.592  0.092 -0.664  0.113 -0.736  0.134 -0.808  0.155 -0.880  0.176 -0.952  0.198 -1.024  0.219 -1.097  0.236 -1.169  0.236 -1.244  0.217 -1.313  0.172 -1.373  0.127 -1.433  0.105 -1.501  0.105 -1.576  0.149 -1.607  0.193 -1.639
1d#tos#t3#t3050062/\"  -0.433 1.615  -0.433 1.465  -0.433 1.314  -0.433 1.164  -0.433 1.014  -0.515 0.888  -0.598 0.763  -0.673 0.633  -0.736 0.497  -0.736 0.347  -0.736 0.196  -0.736 0.046  -0.736 -0.104  -0.736 -0.255  -0.736 -0.405  -0.736 -0.555  -0.736 -0.706  -0.736 -0.856  -0.736 -1.006  -0.736 -1.157  -0.736 -1.307  -0.638 -1.193  -0.540 -1.079  -0.442 -0.965  -0.345 -0.851  -0.247 -0.737  -0.149 -0.623  -0.051 -0.508  0.047 -0.394  0.145 -0.280  0.243 -0.166  0.340 -0.052  0.438 0.062  0.536 0.177  0.634 0.291  0.732 0.405  0.830 0.519  0.927 0.633  1.025 0.747  1.078 0.740  1.012 0.609  0.929 0.484  0.877 0.350  0.877 0.199  0.877 0.049  0.877 -0.101  0.877 -0.252  0.877 -0.402  0.877 -0.552  0.877 -0.703
1d#tos#t3#t3050062/#  -1.286 -0.010  -1.491 -0.215  -1.119 -0.131  -0.848 0.092  -0.455 0.148  -0.096 0.318  0.289 0.430  0.669 0.514  0.761 0.567  0.461 0.301  0.161 0.035  -0.139 -0.231  -0.440 -0.497  -0.740 -0.762  -0.980 -1.027  -0.676 -0.984  -0.293 -0.907  0.025 -0.669  0.379 -0.542  0.734 -0.376  0.803 -0.120  0.564 0.202  0.325 0.524  0.086 0.846  -0.153 1.167  -0.472 1.283  -0.520 0.917  -0.520 0.516  -0.520 0.115  -0.498 -0.282  -0.443 -0.675  -0.367 -1.061  -0.281 -1.139  -0.190 -0.748  -0.099 -0.358  -0.008 0.033  0.083 0.423  0.175 0.814  0.266 1.204  0.357 1.594  0.349 1.587  0.504 1.258  0.600 0.869  0.604 0.469  0.655 0.076  0.657 -0.324  0.706 -0.719  0.752 -1.114  0.808 -1.508  0.860 -1.901
1d#tos#t3#t3050062/$  0.880 0.689  0.657 0.775  0.428 0.844  0.164 0.904  -0.113 0.904  -0.382 0.886  -0.595 0.732  -0.818 0.646  -0.965 0.459  -1.051 0.236  -0.922 0.088  -0.689 0.045  -0.412 0.045  -0.136 0.045  0.141 0.045  0.407 0.003  0.683 0.002  0.899 -0.102  0.837 -0.283  0.685 -0.481  0.491 -0.665  0.286 -0.849  0.077 -0.993  -0.177 -1.071  -0.401 -1.156  -0.368 -0.890  -0.319 -0.618  -0.271 -0.346  -0.223 -0.073  -0.174 0.199  -0.126 0.471  -0.078 0.743  -0.030 1.015  0.019 1.287  0.053 1.547  -0.150 1.559  -0.093 1.290  -0.064 1.019  -0.064 0.742  -0.020 0.471  0.039 0.201  0.088 -0.071  0.108 -0.345  0.129 -0.620  0.151 -0.895  0.151 -1.171  0.262 -1.421  0.279 -1.694  0.320 -1.964  0.408 -2.187
1d#tos#t3#t3050062/&  0.750 -1.232  0.633 -1.313  0.594 -1.197  0.555 -1.038  0.505 -0.859  0.399 -0.716  0.360 -0.558  0.243 -0.477  0.137 -0.346  0.047 -0.201  0.006 -0.021  -0.109 0.107  -0.234 0.198  -0.343 0.344  -0.415 0.519  -0.500 0.659  -0.565 0.812  -0.617 0.967  -0.617 1.165  -0.549 1.335  -0.461 1.450  -0.396 1.602  -0.201 1.619  -0.067 1.502  0.035 1.358  0.163 1.229  0.164 1.032  0.164 0.834  0.094 0.674  0.030 0.508  -0.070 0.345  -0.190 0.213  -0.301 0.097  -0.436 -0.021  -0.539 -0.146  -0.663 -0.271  -0.734 -0.445  -0.812 -0.595  -0.726 -0.748  -0.549 -0.803  -0.351 -0.803  -0.153 -0.803  0.045 -0.803  0.243 -0.803  0.441 -0.803  0.629 -0.763  0.825 -0.751  1.019 -0.724  1.177 -0.685  1.336 -0.646
1d#tos#t3#t3050062/(  0.522 1.415  0.443 1.415  0.363 1.415  0.284 1.415  0.215 1.405  0.177 1.364  0.177 1.285  0.126 1.237  0.055 1.201  0.008 1.145  -0.022 1.071  -0.051 0.997  -0.081 0.924  -0.110 0.850  -0.129 0.775  -0.129 0.695  -0.129 0.616  -0.129 0.537  -0.129 0.458  -0.165 0.387  -0.200 0.316  -0.236 0.245  -0.259 0.170  -0.278 0.093  -0.283 0.014  -0.283 -0.065  -0.283 -0.144  -0.283 -0.224  -0.283 -0.303  -0.283 -0.382  -0.283 -0.461  -0.283 -0.541  -0.283 -0.620  -0.277 -0.697  -0.244 -0.763  -0.244 -0.842  -0.183 -0.891  -0.120 -0.938  -0.072 -0.998  -0.027 -1.062  0.030 -1.118  0.094 -1.165  0.157 -1.213  0.231 -1.228  0.294 -1.268  0.358 -1.304  0.437 -1.304  0.517 -1.304  0.596 -1.304  0.675 -1.304
1d#tos#t3#t3050062/*  -1.095 0.252  -1.309 0.038  -1.153 0.071  -0.793 0.159  -0.415 0.229  -0.041 0.326  0.332 0.401  0.713 0.439  0.812 0.601  0.549 0.889  0.285 1.177  0.027 1.275  0.037 0.886  0.102 0.503  0.131 0.115  0.140 -0.275  0.177 -0.660  0.177 -1.050  0.177 -1.441  0.104 -1.602  -0.038 -1.238  -0.179 -0.874  -0.321 -0.511  -0.462 -0.147  -0.603 0.217  -0.745 0.580  -0.886 0.944  -0.957 0.908  -0.712 0.630  -0.411 0.393  -0.119 0.136  0.137 -0.156  0.453 -0.378  0.714 -0.628  0.971 -0.917  1.043 -0.709  1.050 -0.319  1.057 0.071  1.064 0.461  1.071 0.852  0.946 1.112  0.637 0.933  0.439 0.617  0.233 0.303  0.035 -0.028  -0.234 -0.309  -0.490 -0.602  -0.705 -0.924  -0.925 -1.243  -1.020 -1.507
1d#tos#t3#t3050062/,  1.026 1.389  0.968 1.331  0.910 1.273  0.855 1.214  0.819 1.140  0.782 1.067  0.706 1.057  0.694 0.988  0.694 0.906  0.694 0.824  0.694 0.742  0.636 0.696  0.563 0.659  0.515 0.601  0.489 0.524  0.463 0.446  0.422 0.381  0.349 0.345  0.279 0.306  0.279 0.224  0.279 0.142  0.279 0.061  0.197 0.061  0.115 0.061  0.033 0.061  -0.005 -0.009  -0.042 -0.083  -0.071 -0.159  -0.097 -0.237  -0.123 -0.314  -0.176 -0.354  -0.258 -0.354  -0.302 -0.392  -0.302 -0.473  -0.335 -0.531  -0.413 -0.557  -0.491 -0.583  -0.567 -0.611  -0.640 -0.648  -0.714 -0.684  -0.772 -0.741  -0.814 -0.809  -0.839 -0.887  -0.865 -0.965  -0.883 -1.044  -0.905 -1.112  -0.978 -1.149  -1.049 -1.187  -1.049 -1.268  -1.049 -1.350
1d#tos#t3#t3050062/  -1.031 0.040  -1.031 -0.037  -1.088 -0.057  -1.165 -0.057  -1.242 -0.057  -1.320 -0.057  -1.348 -0.106  -1.411 -0.106  -1.334 -0.106  -1.257 -0.106  -1.180 -0.106  -1.102 -0.106  -1.025 -0.106  -0.948 -0.106  -0.872 -0.101  -0.798 -0.077  -0.724 -0.057  -0.647 -0.057  -0.570 -0.057  -0.492 -0.057  -0.415 -0.057  -0.338 -0.057  -0.261 -0.057  -0.184 -0.057  -0.106 -0.057  -0.029 -0.057  0.048 -0.057  0.122 -0.042  0.194 -0.013  0.266 0.015  0.338 0.040  0.416 0.040  0.493 0.040  0.570 0.040  0.647 0.040  0.723 0.051  0.799 0.066  0.875 0.082  0.951 0.088  1.029 0.088  1.106 0.088  1.183 0.088  1.260 0.088  1.338 0.088  1.410 0.114  1.482 0.143  1.553 0.171  1.628 0.185  1.705 0.185  1.782 0.185
1d#tos#t3#t3050062/.  1.052 1.243  0.942 1.243  0.833 1.243  0.723 1.243  0.636 1.186  0.559 1.108  0.481 1.030  0.403 0.953  0.326 0.875  0.248 0.797  0.170 0.720  0.093 0.642  0.015 0.564  -0.078 0.525  -0.188 0.525  -0.298 0.525  -0.384 0.501  -0.384 0.391  -0.384 0.281  -0.384 0.171  -0.384 0.270  -0.384 0.380  -0.384 0.489  -0.309 0.525  -0.199 0.525  -0.089 0.525  -0.025 0.479  -0.025 0.370  -0.025 0.260  -0.025 0.150  -0.025 0.040  -0.025 -0.070  -0.025 -0.180  -0.025 -0.289  -0.025 -0.399  -0.025 -0.509  -0.025 -0.619  -0.025 -0.729  -0.025 -0.839  -0.036 -0.946  -0.071 -1.051  -0.106 -1.155  -0.141 -1.259  -0.175 -1.363  -0.210 -1.467  -0.245 -1.572  -0.280 -1.676  -0.314 -1.780  -0.349 -1.884  -0.384 -1.988
1d#tos#t3#t3050062/  0.826 1.356  0.826 1.283  0.770 1.266  0.775 1.266  0.736 1.243  0.732 1.172  0.680 1.120  0.629 1.068  0.577 1.017  0.525 0.965  0.498 0.899  0.481 0.828  0.456 0.761  0.405 0.709  0.353 0.658  0.301 0.606  0.250 0.554  0.198 0.503  0.148 0.450  0.115 0.384  0.083 0.319  0.062 0.251  0.062 0.178  0.062 0.105  0.021 0.046  -0.025 -0.011  -0.070 -0.068  -0.116 -0.125  -0.160 -0.184  -0.204 -0.242  -0.248 -0.301  -0.266 -0.371  -0.280 -0.442  -0.294 -0.514  -0.328 -0.578  -0.369 -0.639  -0.409 -0.699  -0.450 -0.760  -0.483 -0.824  -0.501 -0.895  -0.519 -0.966  -0.562 -1.022  -0.613 -1.074  -0.613 -1.147  -0.613 -1.220  -0.613 -1.294  -0.664 -1.342  -0.703 -1.376  -0.720 -1.432  -0.748 -1.477
