2#tos#f1#f1081063/\"  -0.346 1.257  -0.499 1.257  -0.608 1.186  -0.677 1.049  -0.686 0.898  -0.686 0.744  -0.686 0.591  -0.686 0.438  -0.686 0.285  -0.686 0.131  -0.751 -0.006  -0.799 -0.148  -0.799 -0.302  -0.799 -0.455  -0.799 -0.608  -0.799 -0.761  -0.799 -0.915  -0.772 -1.062  -0.703 -1.199  -0.686 -1.347  -0.595 -1.224  -0.504 -1.100  -0.413 -0.977  -0.322 -0.854  -0.231 -0.730  -0.140 -0.607  -0.049 -0.483  0.042 -0.360  0.133 -0.237  0.224 -0.113  0.314 0.010  0.405 0.133  0.496 0.257  0.587 0.380  0.678 0.504  0.769 0.627  0.860 0.750  0.900 0.891  0.900 1.018  0.900 0.865  0.900 0.711  0.900 0.558  0.900 0.405  0.900 0.252  0.900 0.098  0.900 -0.055  0.900 -0.208  0.900 -0.361  0.900 -0.515  0.900 -0.668
2#tos#f1#f1081063/&  0.665 -1.190  0.665 -1.091  0.598 -0.926  0.532 -0.761  0.467 -0.595  0.329 -0.462  0.155 -0.369  0.069 -0.208  -0.124 -0.131  -0.290 -0.065  -0.389 0.067  -0.472 0.252  -0.659 0.352  -0.725 0.556  -0.725 0.788  -0.725 1.019  -0.699 1.245  -0.540 1.378  -0.388 1.494  -0.196 1.556  0.002 1.590  0.069 1.387  0.069 1.155  0.047 0.927  -0.063 0.730  -0.169 0.538  -0.307 0.353  -0.471 0.190  -0.527 -0.019  -0.658 -0.196  -0.728 -0.399  -0.858 -0.576  -0.924 -0.792  -0.901 -1.014  -0.688 -1.058  -0.456 -1.058  -0.236 -1.032  -0.072 -0.868  0.128 -0.793  0.289 -0.661  0.452 -0.503  0.539 -0.323  0.656 -0.140  0.665 0.087  0.718 0.266  0.858 0.139  0.975 -0.044  1.187 -0.129  1.336 -0.268  1.525 -0.396
2#tos#f1#f1081063/*  -0.715 0.787  -1.035 0.787  -0.870 0.703  -0.609 0.583  -0.434 0.342  -0.282 0.073  -0.039 -0.133  0.176 -0.357  0.410 -0.518  0.621 -0.718  0.776 -0.957  0.922 -0.890  0.938 -0.570  0.954 -0.251  0.970 0.069  0.986 0.388  1.002 0.707  1.018 1.027  0.972 1.184  0.788 0.996  0.578 0.786  0.519 0.487  0.314 0.242  0.088 0.016  -0.106 -0.237  -0.303 -0.488  -0.496 -0.739  -0.659 -1.004  -0.876 -1.222  -0.994 -1.343  -0.875 -1.046  -0.756 -0.749  -0.637 -0.452  -0.519 -0.155  -0.400 0.141  -0.281 0.438  -0.162 0.735  -0.043 1.032  0.075 1.329  -0.048 1.462  -0.097 1.190  -0.097 0.871  -0.097 0.551  -0.097 0.231  -0.097 -0.089  -0.097 -0.409  -0.097 -0.728  -0.097 -1.048  -0.097 -1.368  -0.097 -1.688
2#tos#f1#f1081063/+  -0.586 0.127  -0.765 0.127  -0.944 0.127  -1.097 0.049  -1.241 -0.058  -1.400 -0.117  -1.545 -0.117  -1.366 -0.117  -1.186 -0.117  -1.007 -0.117  -0.837 -0.079  -0.677 0.001  -0.517 0.081  -0.349 0.127  -0.170 0.127  -0.002 0.176  0.169 0.209  0.348 0.209  0.528 0.209  0.707 0.209  0.885 0.211  1.055 0.268  1.231 0.290  1.410 0.290  1.503 0.382  1.338 0.453  1.174 0.523  1.009 0.594  0.844 0.664  0.680 0.735  0.515 0.805  0.347 0.859  0.168 0.859  -0.011 0.859  -0.095 0.768  -0.039 0.598  -0.017 0.423  -0.017 0.244  -0.017 0.064  -0.017 -0.115  -0.017 -0.294  -0.017 -0.473  -0.017 -0.652  -0.017 -0.831  -0.017 -1.010  -0.017 -1.189  -0.017 -1.368  -0.017 -1.547  0.064 -1.645  0.064 -1.824
2#tos#f1#f1081063/,  0.967 1.236  0.894 1.236  0.820 1.236  0.746 1.236  0.672 1.236  0.599 1.236  0.561 1.189  0.543 1.117  0.525 1.046  0.508 0.974  0.490 0.903  0.472 0.831  0.454 0.760  0.436 0.688  0.418 0.617  0.400 0.545  0.382 0.473  0.364 0.402  0.347 0.330  0.329 0.259  0.311 0.187  0.247 0.153  0.181 0.120  0.115 0.087  0.049 0.054  0.007 -0.007  -0.033 -0.068  -0.074 -0.130  -0.115 -0.191  -0.156 -0.252  -0.197 -0.314  -0.244 -0.370  -0.296 -0.422  -0.348 -0.474  -0.401 -0.527  -0.453 -0.579  -0.505 -0.631  -0.557 -0.683  -0.609 -0.735  -0.633 -0.805  -0.656 -0.875  -0.680 -0.945  -0.703 -1.015  -0.726 -1.085  -0.742 -1.156  -0.742 -1.230  -0.742 -1.303  -0.742 -1.377  -0.742 -1.451  -0.742 -1.525
2#tos#f1#f1081063/  -0.665 0.084  -0.748 0.084  -0.831 0.084  -0.915 0.084  -0.994 0.068  -1.068 0.031  -1.143 -0.007  -1.217 -0.044  -1.295 -0.065  -1.378 -0.065  -1.356 -0.065  -1.273 -0.065  -1.190 -0.065  -1.106 -0.065  -1.023 -0.065  -0.940 -0.065  -0.857 -0.065  -0.774 -0.065  -0.691 -0.065  -0.607 -0.065  -0.524 -0.065  -0.441 -0.065  -0.358 -0.065  -0.275 -0.065  -0.191 -0.065  -0.108 -0.065  -0.025 -0.065  0.058 -0.065  0.141 -0.065  0.224 -0.065  0.308 -0.065  0.390 -0.061  0.469 -0.034  0.548 -0.008  0.627 0.018  0.706 0.045  0.784 0.071  0.866 0.084  0.949 0.084  1.032 0.084  1.115 0.084  1.198 0.084  1.281 0.084  1.365 0.084  1.448 0.084  1.531 0.084  1.614 0.084  1.697 0.084  1.780 0.084  1.864 0.084
2#tos#f1#f1081063/.  0.681 1.384  0.615 1.351  0.549 1.318  0.483 1.285  0.417 1.252  0.352 1.219  0.286 1.186  0.220 1.153  0.154 1.120  0.088 1.087  0.022 1.054  -0.044 1.021  -0.101 0.983  -0.101 0.909  -0.101 0.836  -0.101 0.762  -0.101 0.688  -0.101 0.615  -0.101 0.541  -0.101 0.467  -0.101 0.394  -0.101 0.320  -0.101 0.246  -0.101 0.173  -0.101 0.099  -0.101 0.025  -0.101 -0.048  -0.101 -0.122  -0.101 -0.196  -0.101 -0.269  -0.101 -0.343  -0.101 -0.417  -0.101 -0.490  -0.101 -0.564  -0.101 -0.638  -0.101 -0.711  -0.101 -0.785  -0.101 -0.858  -0.101 -0.932  -0.101 -1.006  -0.101 -1.079  -0.101 -1.153  -0.101 -1.227  -0.101 -1.300  -0.101 -1.374  -0.101 -1.448  -0.101 -1.521  -0.101 -1.595  -0.101 -1.669  -0.101 -1.742
2#tos#f1#f1081063/  1.120 1.183  1.105 1.126  1.033 1.126  0.961 1.126  0.895 1.099  0.834 1.063  0.802 0.999  0.781 0.932  0.749 0.876  0.691 0.833  0.633 0.789  0.576 0.746  0.529 0.692  0.489 0.632  0.449 0.573  0.392 0.531  0.330 0.494  0.268 0.457  0.207 0.420  0.155 0.375  0.137 0.305  0.120 0.236  0.102 0.166  0.045 0.122  -0.012 0.079  -0.070 0.036  -0.126 -0.009  -0.158 -0.073  -0.190 -0.138  -0.223 -0.202  -0.255 -0.267  -0.287 -0.331  -0.319 -0.395  -0.352 -0.459  -0.403 -0.510  -0.454 -0.561  -0.505 -0.612  -0.556 -0.663  -0.599 -0.720  -0.636 -0.782  -0.673 -0.844  -0.710 -0.906  -0.747 -0.968  -0.779 -1.032  -0.811 -1.096  -0.843 -1.161  -0.876 -1.225  -0.908 -1.290  -0.940 -1.354  -0.972 -1.419
2#tos#f1#f1081063/<  0.797 1.648  0.797 1.548  0.797 1.447  0.760 1.355  0.704 1.283  0.618 1.249  0.546 1.178  0.475 1.107  0.432 1.024  0.392 0.937  0.331 0.857  0.271 0.776  0.211 0.695  0.166 0.605  0.100 0.539  0.005 0.507  -0.086 0.469  -0.142 0.386  -0.198 0.302  -0.271 0.238  -0.361 0.193  -0.434 0.125  -0.505 0.054  -0.555 -0.033  -0.605 -0.119  -0.676 -0.191  -0.752 -0.251  -0.852 -0.251  -0.883 -0.321  -0.785 -0.324  -0.685 -0.324  -0.664 -0.404  -0.631 -0.479  -0.533 -0.503  -0.435 -0.528  -0.356 -0.575  -0.311 -0.665  -0.247 -0.741  -0.159 -0.785  -0.063 -0.817  0.030 -0.854  0.120 -0.899  0.195 -0.964  0.266 -1.035  0.337 -1.106  0.422 -1.159  0.512 -1.204  0.602 -1.249  0.651 -1.320  0.651 -1.420
2#tos#f1#f1081063/=  -0.666 0.731  -0.833 0.731  -1.001 0.731  -1.096 0.659  -1.072 0.516  -0.904 0.516  -0.737 0.516  -0.570 0.516  -0.447 0.624  -0.279 0.624  -0.112 0.624  0.033 0.677  0.178 0.731  0.346 0.731  0.513 0.731  0.681 0.731  0.848 0.731  1.015 0.731  1.183 0.731  1.350 0.731  1.258 0.661  1.113 0.576  0.969 0.491  0.825 0.406  0.680 0.321  0.536 0.236  0.392 0.151  0.248 0.066  0.103 -0.018  -0.041 -0.103  -0.185 -0.188  -0.330 -0.273  -0.463 -0.368  -0.538 -0.518  -0.679 -0.559  -0.806 -0.625  -0.881 -0.775  -0.956 -0.925  -0.894 -0.990  -0.726 -0.990  -0.559 -0.990  -0.392 -0.990  -0.224 -0.990  -0.057 -0.990  0.111 -0.990  0.278 -0.990  0.445 -0.990  0.613 -0.990  0.780 -0.990  0.948 -0.990
2#tos#f1#f1081063/>  -0.171 1.341  -0.171 1.239  -0.255 1.208  -0.356 1.191  -0.457 1.174  -0.558 1.162  -0.520 1.153  -0.448 1.081  -0.375 1.009  -0.303 0.937  -0.231 0.864  -0.140 0.819  -0.101 0.741  -0.004 0.709  0.093 0.677  0.190 0.644  0.276 0.595  0.349 0.523  0.421 0.451  0.493 0.378  0.566 0.306  0.638 0.234  0.730 0.209  0.832 0.209  0.818 0.126  0.731 0.090  0.629 0.090  0.569 0.021  0.523 -0.070  0.478 -0.162  0.432 -0.253  0.373 -0.336  0.312 -0.418  0.250 -0.500  0.165 -0.555  0.077 -0.607  -0.010 -0.660  -0.076 -0.733  -0.122 -0.824  -0.167 -0.915  -0.249 -0.975  -0.334 -1.032  -0.402 -1.107  -0.466 -1.187  -0.530 -1.267  -0.593 -1.347  -0.655 -1.429  -0.716 -1.510  -0.767 -1.595  -0.767 -1.698
