2#apa#apa14#app1440/F  -0.173 0.848  -0.338 1.013  -0.344 0.792  -0.344 0.558  -0.344 0.325  -0.344 0.091  -0.344 -0.143  -0.344 -0.377  -0.344 -0.611  -0.344 -0.844  -0.344 -1.078  -0.344 -1.312  -0.344 -1.546  -0.344 -1.779  -0.344 -1.749  -0.344 -1.516  -0.344 -1.282  -0.344 -1.048  -0.344 -0.814  -0.344 -0.580  -0.344 -0.347  -0.344 -0.113  -0.344 0.121  -0.344 0.355  -0.344 0.588  -0.473 0.742  -0.682 0.847  -0.478 0.951  -0.260 1.018  -0.042 1.084  0.167 1.189  0.401 1.189  0.635 1.189  0.869 1.189  1.102 1.189  1.192 1.044  1.072 0.848  0.938 0.657  0.804 0.465  0.670 0.274  0.536 0.082  0.402 -0.109  0.268 -0.301  0.134 -0.492  -0.000 -0.684  -0.165 -0.525  -0.016 -0.360  0.212 -0.346  0.446 -0.346  0.680 -0.346
2#apa#apa14#app1440/I  -0.148 1.741  -0.148 1.668  -0.148 1.594  -0.148 1.520  -0.148 1.447  -0.148 1.373  -0.148 1.299  -0.148 1.225  -0.148 1.152  -0.148 1.078  -0.148 1.004  -0.148 0.931  -0.148 0.857  -0.148 0.783  -0.148 0.710  -0.148 0.636  -0.148 0.562  -0.148 0.488  -0.148 0.415  -0.148 0.341  -0.148 0.267  -0.115 0.201  -0.082 0.135  -0.049 0.069  -0.016 0.003  0.016 -0.063  0.049 -0.128  0.082 -0.194  0.115 -0.260  0.148 -0.326  0.148 -0.400  0.148 -0.474  0.148 -0.548  0.148 -0.621  0.148 -0.695  0.148 -0.769  0.148 -0.842  0.148 -0.916  0.148 -0.990  0.148 -1.063  0.148 -1.137  0.148 -1.211  0.148 -1.285  0.148 -1.358  0.148 -1.432  0.148 -1.505  0.148 -1.431  0.148 -1.358  0.148 -1.284  0.148 -1.210
2#apa#apa14#app1440/R  -0.626 0.452  -0.626 0.535  -0.626 0.302  -0.579 0.088  -0.468 -0.100  -0.468 -0.333  -0.468 -0.567  -0.468 -0.801  -0.468 -1.034  -0.468 -1.268  -0.468 -1.080  -0.468 -0.846  -0.468 -0.613  -0.468 -0.379  -0.468 -0.146  -0.468 0.088  -0.468 0.322  -0.560 0.498  -0.769 0.603  -0.727 0.769  -0.584 0.895  -0.510 1.117  -0.369 1.244  -0.135 1.244  0.072 1.308  0.266 1.403  0.481 1.324  0.641 1.189  0.641 0.955  0.641 0.722  0.641 0.488  0.502 0.312  0.336 0.147  0.131 0.038  -0.088 -0.023  -0.309 -0.011  -0.222 0.135  0.007 0.140  0.064 0.237  0.229 0.072  0.394 -0.093  0.483 -0.290  0.494 -0.521  0.598 -0.730  0.739 -0.913  0.904 -1.078  0.958 -1.289  1.116 -1.457  1.200 -1.607  1.275 -1.449
2#apa#apa14#app1440/S  0.666 0.307  0.572 0.401  0.512 0.509  0.484 0.614  0.358 0.622  0.358 0.755  0.358 0.888  0.258 0.922  0.148 0.978  0.054 1.072  -0.078 1.076  -0.211 1.076  -0.344 1.076  -0.477 1.076  -0.597 1.043  -0.691 0.949  -0.718 0.827  -0.718 0.694  -0.772 0.614  -0.839 0.614  -0.718 0.602  -0.718 0.469  -0.593 0.460  -0.491 0.387  -0.390 0.307  -0.257 0.307  -0.124 0.307  -0.024 0.227  0.070 0.133  0.165 0.039  0.259 -0.055  0.353 -0.149  0.447 -0.244  0.512 -0.350  0.512 -0.483  0.512 -0.616  0.606 -0.710  0.666 -0.819  0.645 -0.944  0.551 -1.038  0.457 -1.132  0.363 -1.226  0.269 -1.321  0.167 -1.404  0.047 -1.463  -0.072 -1.523  -0.201 -1.539  -0.326 -1.504  -0.445 -1.444  -0.564 -1.385
2#apa#apa14#app1440/T  0.108 0.513  0.215 0.406  0.295 0.287  0.295 0.136  0.295 -0.016  0.295 -0.168  0.295 -0.320  0.281 -0.470  0.233 -0.614  0.184 -0.758  0.136 -0.902  0.108 -1.049  0.108 -1.201  0.108 -1.353  0.108 -1.505  0.053 -1.461  -0.025 -1.331  -0.103 -1.200  -0.181 -1.070  -0.259 -0.940  -0.337 -0.810  -0.415 -0.679  -0.494 -0.549  -0.572 -0.419  -0.650 -0.289  -0.728 -0.158  -0.806 -0.028  -0.884 0.102  -0.963 0.232  -1.019 0.369  -1.011 0.513  -0.859 0.513  -0.831 0.637  -0.743 0.701  -0.591 0.701  -0.439 0.701  -0.288 0.701  -0.136 0.701  0.016 0.701  0.150 0.744  0.258 0.851  0.394 0.889  0.546 0.889  0.698 0.889  0.850 0.889  1.002 0.889  1.154 0.889  1.306 0.889  1.422 0.853  1.422 0.701
2#apa#apa14#app1440/M  -0.838 0.282  -0.959 0.379  -0.959 0.183  -0.959 -0.013  -0.919 -0.203  -0.857 -0.389  -0.838 -0.582  -0.838 -0.778  -0.838 -0.975  -0.838 -0.939  -0.838 -0.743  -0.838 -0.547  -0.906 -0.379  -0.959 -0.205  -0.959 -0.009  -0.959 0.188  -0.959 0.384  -0.910 0.550  -0.735 0.637  -0.662 0.768  -0.467 0.765  -0.291 0.677  -0.140 0.556  -0.001 0.417  0.026 0.228  0.074 0.038  0.121 -0.152  0.134 -0.347  0.134 -0.543  0.183 -0.690  0.256 -0.567  0.256 -0.371  0.269 -0.178  0.357 -0.002  0.425 0.182  0.487 0.368  0.516 0.558  0.603 0.734  0.657 0.890  0.820 0.811  0.959 0.672  1.098 0.534  1.189 0.361  1.262 0.179  1.324 -0.007  1.432 -0.165  1.471 -0.345  1.471 -0.541  1.471 -0.737  1.471 -0.933
2#apa#apa14#app1440/A  -0.771 -0.912  -0.771 -0.701  -0.771 -0.491  -0.771 -0.281  -0.735 -0.078  -0.657 0.117  -0.579 0.313  -0.500 0.508  -0.473 0.713  -0.458 0.920  -0.391 1.120  -0.325 1.319  -0.231 1.507  -0.089 1.618  -0.174 1.618  -0.027 1.557  0.028 1.360  0.122 1.172  0.216 0.984  0.310 0.796  0.404 0.608  0.462 0.407  0.513 0.203  0.564 -0.001  0.654 -0.190  0.739 -0.382  0.806 -0.581  0.866 -0.782  0.866 -0.992  0.866 -1.202  1.010 -1.353  1.015 -1.155  0.910 -1.012  0.719 -0.924  0.528 -0.836  0.338 -0.748  0.147 -0.660  -0.044 -0.572  -0.235 -0.483  -0.426 -0.395  -0.617 -0.307  -0.807 -0.219  -0.832 -0.168  -0.771 -0.019  -0.567 -0.046  -0.379 -0.140  -0.176 -0.168  0.012 -0.261  0.210 -0.316  0.271 -0.465
2#apa#apa14#app1440/T  0.027 0.448  0.126 0.349  0.213 0.245  0.213 0.104  0.213 -0.036  0.213 -0.177  0.213 -0.317  0.213 -0.458  0.213 -0.598  0.213 -0.739  0.213 -0.879  0.213 -1.020  0.213 -1.160  0.267 -1.279  0.366 -1.378  0.332 -1.344  0.232 -1.244  0.133 -1.145  0.034 -1.046  -0.066 -0.946  -0.165 -0.847  -0.264 -0.748  -0.364 -0.648  -0.463 -0.549  -0.562 -0.450  -0.662 -0.350  -0.761 -0.251  -0.860 -0.152  -0.960 -0.052  -1.059 0.047  -1.019 0.146  -0.920 0.246  -0.806 0.327  -0.689 0.405  -0.572 0.483  -0.455 0.561  -0.338 0.638  -0.212 0.701  -0.086 0.764  0.039 0.827  0.165 0.889  0.291 0.952  0.416 1.015  0.542 1.078  0.668 1.141  0.795 1.200  0.928 1.245  1.061 1.289  1.195 1.334  1.328 1.378
2#apa#apa14#app1440/E  -0.421 1.170  -0.591 1.334  -0.591 1.088  -0.591 0.842  -0.591 0.596  -0.591 0.350  -0.591 0.104  -0.591 -0.142  -0.591 -0.387  -0.639 -0.622  -0.749 -0.842  -0.709 -1.034  -0.463 -1.034  -0.217 -1.034  0.028 -1.034  0.274 -1.034  0.520 -1.034  0.766 -1.034  1.012 -1.034  1.258 -1.034  1.388 -1.013  1.159 -0.924  0.929 -0.836  0.700 -0.748  0.470 -0.660  0.241 -0.571  0.011 -0.483  -0.218 -0.395  -0.448 -0.306  -0.677 -0.218  -0.760 -0.029  -0.591 0.047  -0.451 0.153  -0.205 0.153  0.041 0.153  0.287 0.153  0.533 0.153  0.766 0.166  0.688 0.367  0.475 0.489  0.261 0.611  0.048 0.733  -0.165 0.855  -0.379 0.977  -0.561 1.140  -0.387 1.170  -0.141 1.170  0.104 1.170  0.350 1.170  0.596 1.170
2#apa#apa14#app1440/E  -0.916 1.013  -0.802 0.785  -0.754 0.541  -0.754 0.286  -0.701 0.040  -0.620 -0.202  -0.591 -0.452  -0.591 -0.707  -0.591 -0.962  -0.475 -1.101  -0.220 -1.101  0.035 -1.101  0.290 -1.101  0.545 -1.101  0.791 -1.060  1.019 -0.946  1.272 -0.938  1.356 -0.775  1.104 -0.736  0.852 -0.698  0.600 -0.659  0.348 -0.620  0.096 -0.581  -0.156 -0.542  -0.408 -0.504  -0.660 -0.465  -0.867 -0.337  -0.754 -0.265  -0.754 -0.010  -0.548 0.052  -0.307 0.132  -0.062 0.200  0.186 0.242  0.428 0.323  0.676 0.363  0.872 0.421  0.872 0.374  0.644 0.448  0.405 0.538  0.167 0.627  -0.072 0.717  -0.311 0.806  -0.520 0.942  -0.746 1.013  -0.509 1.033  -0.262 1.095  -0.015 1.157  0.236 1.183  0.464 1.297  0.710 1.338
2#apa#apa14#app1440/X  -1.377 1.158  -1.251 1.033  -1.106 0.955  -0.941 0.925  -0.815 0.800  -0.690 0.674  -0.564 0.549  -0.439 0.423  -0.313 0.298  -0.188 0.172  -0.062 0.047  0.063 -0.079  0.189 -0.204  0.314 -0.330  0.440 -0.456  0.566 -0.581  0.691 -0.707  0.817 -0.832  0.844 -0.753  0.824 -0.577  0.805 -0.400  0.785 -0.224  0.765 -0.047  0.746 0.129  0.726 0.305  0.707 0.482  0.687 0.658  0.667 0.835  0.654 1.012  0.623 1.158  0.451 1.153  0.451 0.975  0.381 0.814  0.301 0.656  0.213 0.502  0.106 0.360  -0.000 0.218  -0.107 0.076  -0.213 -0.066  -0.320 -0.208  -0.361 -0.371  -0.361 -0.549  -0.379 -0.723  -0.435 -0.892  -0.492 -1.060  -0.548 -1.229  -0.620 -1.390  -0.700 -1.549  -0.768 -1.659  -0.768 -1.482
2#apa#apa14#app1440/P  -0.252 -1.468  -0.356 -1.364  -0.388 -1.434  -0.388 -1.355  -0.475 -1.245  -0.559 -1.126  -0.625 -0.994  -0.660 -0.855  -0.685 -0.712  -0.731 -0.573  -0.778 -0.433  -0.795 -0.289  -0.795 -0.142  -0.795 0.005  -0.795 0.152  -0.795 0.299  -0.807 0.435  -0.931 0.457  -0.898 0.570  -0.751 0.570  -0.609 0.595  -0.478 0.661  -0.344 0.721  -0.204 0.767  -0.065 0.814  0.078 0.842  0.225 0.842  0.372 0.842  0.519 0.842  0.666 0.842  0.813 0.842  0.960 0.842  1.107 0.842  1.115 0.699  1.219 0.595  1.164 0.491  1.086 0.371  1.040 0.231  0.993 0.092  0.971 -0.052  0.891 -0.149  0.760 -0.215  0.624 -0.270  0.484 -0.317  0.345 -0.363  0.201 -0.381  0.053 -0.381  -0.094 -0.381  -0.241 -0.381  -0.388 -0.381
2#apa#apa14#app1440/E  -0.756 0.894  -0.756 1.009  -0.756 0.765  -0.756 0.521  -0.731 0.281  -0.654 0.050  -0.577 -0.181  -0.577 -0.425  -0.577 -0.669  -0.577 -0.913  -0.498 -1.078  -0.254 -1.078  -0.010 -1.078  0.234 -1.078  0.478 -1.078  0.721 -1.078  0.965 -1.078  1.209 -1.078  1.342 -1.054  1.120 -0.953  0.898 -0.852  0.676 -0.751  0.454 -0.650  0.232 -0.549  0.010 -0.448  -0.212 -0.347  -0.434 -0.246  -0.490 -0.181  -0.254 -0.133  -0.023 -0.056  0.212 -0.002  0.442 0.059  0.660 0.168  0.814 0.190  0.580 0.260  0.347 0.330  0.113 0.400  -0.120 0.470  -0.354 0.540  -0.588 0.610  -0.821 0.681  -0.936 0.839  -0.802 1.028  -0.577 1.073  -0.333 1.073  -0.089 1.073  0.154 1.078  0.385 1.155  0.616 1.232  0.857 1.253
