3#app#app07#app0723/[  0.719 0.997  0.719 1.092  0.664 1.132  0.609 1.173  0.573 1.253  0.490 1.281  0.414 1.328  0.319 1.328  0.239 1.289  0.206 1.218  0.128 1.178  0.099 1.094  0.032 1.027  0.002 0.944  -0.060 0.873  -0.102 0.788  -0.145 0.703  -0.176 0.614  -0.199 0.521  -0.231 0.433  -0.289 0.360  -0.329 0.274  -0.329 0.178  -0.329 0.083  -0.329 -0.012  -0.369 -0.091  -0.384 -0.180  -0.384 -0.275  -0.384 -0.370  -0.384 -0.465  -0.384 -0.560  -0.384 -0.656  -0.384 -0.751  -0.384 -0.846  -0.392 -0.933  -0.439 -0.981  -0.470 -1.012  -0.403 -1.079  -0.315 -1.098  -0.220 -1.098  -0.125 -1.098  -0.030 -1.098  0.065 -1.098  0.161 -1.098  0.256 -1.098  0.349 -1.090  0.434 -1.047  0.529 -1.043  0.624 -1.043  0.719 -1.043
3#app#app07#app0723/O  -0.016 0.357  -0.093 0.434  -0.169 0.510  -0.290 0.434  -0.376 0.326  -0.471 0.209  -0.579 0.101  -0.665 -0.023  -0.704 -0.166  -0.767 -0.304  -0.781 -0.454  -0.781 -0.606  -0.781 -0.759  -0.781 -0.911  -0.704 -1.032  -0.664 -1.176  -0.577 -1.299  -0.466 -1.400  -0.314 -1.400  -0.186 -1.340  -0.078 -1.232  0.030 -1.125  0.138 -1.017  0.246 -0.909  0.354 -0.801  0.426 -0.667  0.495 -0.531  0.563 -0.394  0.652 -0.273  0.693 -0.133  0.762 0.003  0.824 0.141  0.887 0.268  0.901 0.415  0.901 0.567  0.901 0.720  0.841 0.858  0.797 0.996  0.689 1.104  0.559 1.158  0.423 1.198  0.270 1.198  0.118 1.192  -0.027 1.143  -0.151 1.063  -0.259 0.955  -0.367 0.847  -0.475 0.739  -0.475 0.586  -0.475 0.434
3#app#app07#app0723/R  -0.626 -0.712  -0.530 -0.808  -0.455 -0.958  -0.402 -1.116  -0.402 -1.297  -0.476 -1.176  -0.476 -0.996  -0.476 -0.815  -0.476 -0.634  -0.453 -0.464  -0.402 -0.304  -0.340 -0.138  -0.327 0.039  -0.301 0.217  -0.257 0.392  -0.181 0.555  -0.102 0.717  -0.077 0.887  0.022 1.035  0.131 1.177  0.219 1.333  0.347 1.461  0.449 1.550  0.615 1.612  0.795 1.612  0.798 1.434  0.798 1.254  0.798 1.073  0.744 0.905  0.663 0.744  0.583 0.582  0.461 0.450  0.366 0.299  0.222 0.200  0.102 0.070  -0.006 -0.064  -0.154 -0.164  -0.281 -0.292  -0.437 -0.374  -0.551 -0.472  -0.536 -0.487  -0.386 -0.562  -0.252 -0.608  -0.122 -0.691  -0.027 -0.788  0.049 -0.937  0.171 -1.032  0.287 -1.161  0.392 -1.236  0.498 -1.311
3#app#app07#app0723/E  1.214 1.431  1.085 1.512  0.923 1.512  0.761 1.512  0.613 1.452  0.489 1.351  0.328 1.349  0.213 1.234  0.099 1.120  -0.022 1.014  -0.161 0.935  -0.251 0.800  -0.313 0.657  -0.372 0.509  -0.473 0.385  -0.473 0.223  -0.473 0.061  -0.473 -0.101  -0.473 -0.263  -0.473 -0.425  -0.466 -0.584  -0.351 -0.699  -0.313 -0.845  -0.236 -0.975  -0.152 -1.056  -0.026 -1.139  0.131 -1.160  0.279 -1.220  0.441 -1.220  0.570 -1.299  0.591 -1.247  0.469 -1.140  0.347 -1.034  0.225 -0.927  0.103 -0.820  -0.019 -0.714  -0.141 -0.607  -0.262 -0.500  -0.384 -0.393  -0.506 -0.287  -0.628 -0.180  -0.634 -0.021  -0.553 0.061  -0.473 0.143  -0.348 0.226  -0.190 0.247  -0.042 0.307  0.120 0.307  0.272 0.284  0.410 0.226
3#app#app07#app0723/L  0.403 1.759  0.403 1.656  0.403 1.553  0.357 1.469  0.284 1.397  0.212 1.324  0.139 1.251  0.066 1.179  0.010 1.095  -0.036 1.003  -0.082 0.911  -0.153 0.837  -0.226 0.765  -0.299 0.692  -0.327 0.601  -0.327 0.498  -0.345 0.403  -0.417 0.330  -0.475 0.247  -0.521 0.155  -0.567 0.063  -0.571 -0.039  -0.571 -0.142  -0.571 -0.245  -0.571 -0.347  -0.571 -0.450  -0.571 -0.553  -0.571 -0.656  -0.571 -0.758  -0.571 -0.861  -0.525 -0.919  -0.423 -0.919  -0.320 -0.919  -0.217 -0.919  -0.114 -0.919  -0.084 -0.846  -0.031 -0.797  0.062 -0.773  0.135 -0.700  0.227 -0.675  0.330 -0.675  0.433 -0.675  0.535 -0.675  0.638 -0.675  0.741 -0.675  0.844 -0.675  0.946 -0.675  1.049 -0.675  1.152 -0.675  1.255 -0.675
3#app#app07#app0723/S  1.255 1.141  1.138 1.141  1.021 1.141  0.903 1.141  0.786 1.141  0.701 1.062  0.600 1.022  0.483 1.022  0.372 0.996  0.267 0.943  0.159 0.903  0.042 0.903  -0.076 0.903  -0.186 0.886  -0.269 0.803  -0.379 0.784  -0.496 0.784  -0.525 0.697  -0.587 0.605  -0.644 0.511  -0.644 0.394  -0.644 0.276  -0.622 0.168  -0.539 0.085  -0.481 -0.016  -0.429 -0.121  -0.339 -0.165  -0.241 -0.212  -0.153 -0.284  -0.040 -0.294  0.043 -0.377  0.150 -0.403  0.243 -0.459  0.326 -0.542  0.409 -0.625  0.424 -0.737  0.424 -0.854  0.331 -0.878  0.213 -0.878  0.187 -0.968  0.097 -0.996  -0.020 -0.996  -0.051 -1.083  -0.136 -1.115  -0.244 -1.153  -0.349 -1.205  -0.460 -1.234  -0.577 -1.234  -0.680 -1.270  -0.763 -1.353
3#app#app07#app0723/E  1.380 1.565  1.219 1.518  1.067 1.451  0.903 1.383  0.742 1.303  0.581 1.222  0.420 1.142  0.259 1.061  0.098 0.981  -0.063 0.900  -0.199 0.785  -0.287 0.629  -0.387 0.483  -0.447 0.328  -0.447 0.147  -0.447 -0.033  -0.447 -0.213  -0.447 -0.393  -0.411 -0.564  -0.329 -0.724  -0.202 -0.851  -0.062 -0.948  0.086 -1.025  0.247 -1.072  0.384 -1.177  0.564 -1.177  0.433 -1.108  0.270 -1.032  0.106 -0.955  -0.057 -0.879  -0.220 -0.803  -0.383 -0.727  -0.546 -0.651  -0.709 -0.575  -0.873 -0.499  -1.036 -0.422  -1.060 -0.377  -0.920 -0.279  -0.760 -0.232  -0.614 -0.149  -0.472 -0.059  -0.317 0.031  -0.169 0.130  -0.016 0.194  0.164 0.194  0.333 0.242  0.497 0.308  0.677 0.308  0.858 0.308  1.038 0.308
3#app#app07#app0723/{  0.777 1.442  0.834 1.504  0.824 1.613  0.745 1.549  0.676 1.455  0.589 1.376  0.489 1.318  0.452 1.205  0.379 1.120  0.281 1.054  0.195 0.973  0.111 0.890  0.027 0.806  -0.056 0.722  -0.157 0.663  -0.226 0.572  -0.279 0.466  -0.349 0.373  -0.405 0.270  -0.415 0.154  -0.415 0.035  -0.366 -0.034  -0.271 -0.091  -0.153 -0.091  -0.035 -0.091  0.060 -0.034  0.134 -0.052  0.034 -0.096  -0.063 -0.147  -0.125 -0.204  -0.186 -0.261  -0.188 -0.377  -0.181 -0.488  -0.082 -0.537  0.033 -0.545  -0.018 -0.600  -0.105 -0.679  -0.203 -0.744  -0.276 -0.833  -0.361 -0.888  -0.444 -0.971  -0.472 -1.078  -0.453 -1.189  -0.352 -1.232  -0.269 -1.316  -0.160 -1.340  -0.065 -1.397  0.053 -1.397  0.171 -1.397  0.266 -1.453
3#app#app07#app0723/y  -0.194 1.316  -0.229 1.184  -0.334 1.080  -0.388 0.955  -0.411 0.832  -0.485 0.758  -0.485 0.611  -0.485 0.464  -0.485 0.316  -0.404 0.250  -0.257 0.250  -0.119 0.288  0.010 0.357  0.114 0.461  0.228 0.541  0.351 0.601  0.455 0.705  0.559 0.809  0.582 0.946  0.582 1.094  0.582 1.198  0.531 1.072  0.485 0.944  0.485 0.797  0.485 0.650  0.485 0.503  0.485 0.355  0.485 0.208  0.485 0.061  0.485 -0.086  0.485 -0.233  0.388 -0.340  0.388 -0.487  0.388 -0.634  0.388 -0.782  0.377 -0.924  0.291 -1.036  0.215 -1.107  0.167 -1.213  0.027 -1.260  -0.113 -1.301  -0.261 -1.301  -0.408 -1.301  -0.555 -1.301  -0.702 -1.301  -0.828 -1.249  -0.932 -1.145  -0.970 -1.014  -0.970 -0.867  -0.970 -0.720
3#app#app07#app0723/o  0.493 0.416  0.493 0.570  0.488 0.720  0.334 0.720  0.180 0.720  0.026 0.720  -0.125 0.711  -0.234 0.602  -0.268 0.462  -0.344 0.340  -0.453 0.231  -0.562 0.122  -0.671 0.013  -0.780 -0.096  -0.884 -0.209  -0.953 -0.347  -1.022 -0.485  -1.128 -0.596  -1.180 -0.729  -1.180 -0.883  -1.120 -1.012  -1.004 -1.104  -0.850 -1.104  -0.695 -1.104  -0.541 -1.104  -0.387 -1.104  -0.243 -1.080  -0.134 -0.971  -0.025 -0.862  0.104 -0.800  0.238 -0.751  0.347 -0.642  0.456 -0.533  0.565 -0.424  0.645 -0.303  0.664 -0.153  0.733 -0.016  0.805 0.120  0.914 0.229  0.949 0.369  0.949 0.523  0.872 0.645  0.797 0.768  0.797 0.923  0.760 1.061  0.651 1.170  0.499 1.176  0.345 1.176  0.341 1.027  0.341 0.872
3#app#app07#app0723/u  0.213 1.379  0.377 1.379  0.251 1.379  0.087 1.379  -0.017 1.282  -0.091 1.136  -0.176 1.002  -0.323 0.928  -0.470 0.855  -0.516 0.720  -0.582 0.584  -0.698 0.468  -0.814 0.352  -0.930 0.236  -1.045 0.120  -1.063 -0.036  -1.063 -0.200  -1.063 -0.364  -1.063 -0.528  -0.998 -0.627  -0.835 -0.627  -0.671 -0.627  -0.508 -0.623  -0.361 -0.550  -0.215 -0.476  -0.086 -0.379  0.030 -0.263  0.031 -0.100  0.175 -0.080  0.213 0.046  0.289 0.178  0.396 0.298  0.396 0.462  0.396 0.626  0.396 0.510  0.396 0.346  0.396 0.182  0.396 0.018  0.396 -0.146  0.396 -0.309  0.416 -0.465  0.532 -0.581  0.648 -0.697  0.761 -0.814  0.761 -0.978  0.866 -1.098  0.943 -1.230  0.980 -1.356  1.144 -1.356  1.308 -1.356
