1c#apb#apb41#app4145/a  0.050 0.338  0.074 0.491  -0.002 0.641  -0.094 0.782  -0.227 0.884  -0.389 0.892  -0.548 0.855  -0.682 0.752  -0.815 0.649  -0.924 0.521  -1.031 0.390  -1.138 0.260  -1.217 0.112  -1.293 -0.039  -1.340 -0.196  -1.340 -0.365  -1.310 -0.523  -1.205 -0.655  -1.069 -0.726  -0.901 -0.736  -0.732 -0.745  -0.572 -0.694  -0.412 -0.640  -0.252 -0.587  -0.122 -0.482  0.004 -0.370  0.130 -0.258  0.247 -0.138  0.356 -0.009  0.461 0.122  0.541 0.271  0.615 0.420  0.615 0.589  0.582 0.751  0.466 0.754  0.395 0.612  0.376 0.444  0.357 0.277  0.395 0.113  0.436 -0.051  0.516 -0.195  0.619 -0.329  0.739 -0.442  0.890 -0.517  1.043 -0.580  1.212 -0.580  1.380 -0.578  1.545 -0.543  1.709 -0.505  1.864 -0.439
1c#apb#apb41#app4145/s  0.700 0.707  0.612 0.820  0.499 0.904  0.366 0.957  0.229 0.980  0.087 0.963  -0.055 0.946  -0.195 0.918  -0.331 0.873  -0.467 0.828  -0.603 0.782  -0.721 0.700  -0.839 0.619  -0.959 0.542  -1.090 0.484  -1.198 0.398  -1.132 0.293  -0.997 0.273  -0.854 0.273  -0.710 0.273  -0.567 0.273  -0.424 0.273  -0.280 0.273  -0.137 0.273  0.006 0.273  0.149 0.273  0.293 0.273  0.436 0.269  0.575 0.237  0.715 0.205  0.836 0.132  0.951 0.046  0.994 -0.089  1.026 -0.226  0.974 -0.360  0.923 -0.493  0.843 -0.609  0.746 -0.715  0.648 -0.820  0.543 -0.917  0.430 -1.004  0.316 -1.092  0.190 -1.157  0.055 -1.204  -0.080 -1.252  -0.218 -1.287  -0.361 -1.298  -0.503 -1.308  -0.642 -1.270  -0.780 -1.232
1c#apb#apb41#app4145/t  0.426 1.571  0.323 1.709  0.209 1.682  0.183 1.511  0.146 1.342  0.110 1.173  0.083 1.003  0.065 0.831  0.046 0.660  0.028 0.488  0.011 0.316  -0.004 0.144  -0.020 -0.028  -0.036 -0.200  -0.046 -0.372  -0.046 -0.545  -0.046 -0.717  -0.046 -0.890  -0.018 -1.059  0.026 -1.226  0.079 -1.389  0.161 -1.541  0.289 -1.647  0.281 -1.513  0.182 -1.371  0.084 -1.229  -0.014 -1.087  -0.113 -0.945  -0.211 -0.803  -0.310 -0.662  -0.408 -0.520  -0.506 -0.378  -0.605 -0.236  -0.703 -0.094  -0.801 0.048  -0.909 0.175  -0.948 0.190  -0.778 0.220  -0.608 0.250  -0.438 0.279  -0.267 0.309  -0.098 0.343  0.068 0.389  0.235 0.434  0.401 0.479  0.570 0.515  0.740 0.549  0.909 0.583  1.079 0.614  1.249 0.644
1c#apb#apb41#app4145/e  -0.750 -0.114  -0.804 0.006  -0.644 0.006  -0.485 -0.001  -0.327 -0.013  -0.168 -0.021  -0.012 0.008  0.145 0.037  0.301 0.068  0.452 0.118  0.603 0.168  0.752 0.223  0.875 0.324  0.998 0.425  1.109 0.538  1.201 0.667  1.197 0.819  1.091 0.914  0.946 0.979  0.792 1.016  0.635 1.047  0.479 1.078  0.327 1.034  0.176 0.986  0.024 0.938  -0.122 0.878  -0.245 0.778  -0.369 0.677  -0.492 0.577  -0.596 0.461  -0.664 0.317  -0.731 0.172  -0.799 0.028  -0.844 -0.124  -0.885 -0.278  -0.925 -0.432  -0.950 -0.585  -0.896 -0.735  -0.842 -0.884  -0.712 -0.975  -0.579 -1.063  -0.427 -1.107  -0.273 -1.148  -0.119 -1.187  0.040 -1.177  0.199 -1.168  0.358 -1.156  0.505 -1.097  0.653 -1.038  0.801 -0.979
1c#apb#apb41#app4145/r  -0.782 -0.216  -0.736 -0.110  -0.690 -0.003  -0.662 0.039  -0.609 -0.055  -0.580 -0.164  -0.523 -0.245  -0.522 -0.361  -0.522 -0.477  -0.550 -0.588  -0.582 -0.700  -0.597 -0.815  -0.609 -0.930  -0.609 -1.047  -0.587 -1.161  -0.525 -1.253  -0.511 -1.321  -0.439 -1.232  -0.375 -1.136  -0.330 -1.029  -0.294 -0.919  -0.263 -0.807  -0.232 -0.695  -0.201 -0.583  -0.164 -0.473  -0.128 -0.363  -0.091 -0.252  -0.053 -0.142  -0.013 -0.034  0.028 0.075  0.069 0.184  0.110 0.293  0.154 0.400  0.198 0.508  0.242 0.615  0.286 0.723  0.340 0.825  0.412 0.915  0.485 1.006  0.558 1.096  0.634 1.185  0.709 1.273  0.819 1.286  0.920 1.242  1.010 1.170  1.057 1.063  1.105 0.957  1.157 0.854  1.213 0.752  1.270 0.651
1c#apb#apb41#app4145/n  -0.622 0.561  -0.669 0.575  -0.678 0.388  -0.698 0.201  -0.719 0.015  -0.737 -0.172  -0.756 -0.358  -0.788 -0.542  -0.828 -0.726  -0.868 -0.909  -0.865 -1.009  -0.797 -0.834  -0.720 -0.664  -0.673 -0.482  -0.627 -0.301  -0.600 -0.115  -0.576 0.071  -0.552 0.257  -0.513 0.440  -0.475 0.623  -0.442 0.808  -0.414 0.993  -0.358 0.905  -0.333 0.719  -0.311 0.533  -0.293 0.347  -0.276 0.160  -0.238 -0.023  -0.195 -0.206  -0.149 -0.387  -0.080 -0.561  -0.006 -0.732  0.127 -0.865  0.287 -0.954  0.467 -0.956  0.650 -0.914  0.792 -0.793  0.927 -0.665  1.029 -0.507  1.130 -0.350  1.149 -0.163  1.167 0.023  1.177 0.210  1.177 0.398  1.177 0.585  1.162 0.772  1.144 0.958  1.130 1.145  1.129 1.331  1.036 1.168
1c#apb#apb41#app4145/u  -1.120 0.501  -1.120 0.611  -1.092 0.714  -1.065 0.676  -1.050 0.567  -1.036 0.458  -1.023 0.349  -1.009 0.240  -0.976 0.135  -0.941 0.031  -0.906 -0.073  -0.872 -0.178  -0.826 -0.276  -0.763 -0.367  -0.701 -0.458  -0.639 -0.548  -0.565 -0.627  -0.475 -0.691  -0.386 -0.755  -0.296 -0.819  -0.189 -0.841  -0.081 -0.860  0.027 -0.879  0.135 -0.881  0.243 -0.859  0.351 -0.836  0.458 -0.813  0.554 -0.768  0.634 -0.693  0.715 -0.618  0.796 -0.543  0.850 -0.452  0.883 -0.347  0.916 -0.242  0.941 -0.137  0.915 -0.030  0.888 0.076  0.861 0.183  0.835 0.290  0.788 0.389  0.738 0.487  0.689 0.585  0.640 0.684  0.591 0.782  0.548 0.883  0.505 0.984  0.462 1.086  0.419 1.187  0.388 1.292  0.361 1.399
1c#apb#apb41#app4145/r  -0.405 0.306  -0.405 0.383  -0.411 0.255  -0.427 0.128  -0.443 0.000  -0.456 -0.127  -0.456 -0.256  -0.456 -0.384  -0.456 -0.512  -0.456 -0.641  -0.456 -0.769  -0.456 -0.897  -0.456 -1.026  -0.446 -1.153  -0.420 -1.279  -0.405 -1.406  -0.405 -1.534  -0.385 -1.410  -0.360 -1.284  -0.342 -1.157  -0.326 -1.030  -0.310 -0.903  -0.285 -0.777  -0.252 -0.653  -0.220 -0.529  -0.187 -0.405  -0.158 -0.280  -0.132 -0.154  -0.106 -0.029  -0.080 0.097  -0.054 0.223  -0.023 0.347  0.010 0.471  0.042 0.596  0.074 0.720  0.107 0.844  0.190 0.942  0.273 1.040  0.355 1.138  0.453 1.219  0.560 1.291  0.676 1.330  0.792 1.304  0.871 1.202  0.949 1.101  0.985 0.978  1.021 0.855  1.056 0.731  1.093 0.608  1.130 0.486
1c#apb#apb41#app4145/n  -0.230 0.385  -0.208 0.609  -0.154 0.767  -0.285 0.638  -0.378 0.433  -0.461 0.224  -0.543 0.014  -0.620 -0.197  -0.693 -0.410  -0.740 -0.631  -0.786 -0.851  -0.845 -1.068  -0.860 -1.287  -0.732 -1.141  -0.672 -0.924  -0.589 -0.715  -0.527 -0.501  -0.507 -0.276  -0.486 -0.052  -0.449 0.170  -0.408 0.392  -0.374 0.614  -0.352 0.839  -0.328 1.062  -0.283 1.283  -0.205 1.256  -0.205 1.031  -0.205 0.806  -0.205 0.580  -0.205 0.355  -0.205 0.130  -0.177 -0.094  -0.147 -0.317  -0.088 -0.531  0.012 -0.733  0.150 -0.908  0.321 -1.047  0.536 -1.106  0.730 -0.990  0.912 -0.858  1.041 -0.687  1.108 -0.472  1.157 -0.252  1.187 -0.030  1.162 0.194  1.138 0.418  1.138 0.644  1.138 0.869  1.152 1.092  1.265 1.272
1c#apb#apb41#app4145/i  0.206 0.797  0.176 0.872  0.146 0.946  0.117 1.021  0.176 1.061  0.221 1.120  0.246 1.196  0.252 1.276  0.253 1.355  0.299 1.321  0.299 1.241  0.299 1.160  0.299 1.080  0.290 1.001  0.266 0.925  0.242 0.848  0.218 0.772  0.194 0.695  0.170 0.619  0.147 0.542  0.123 0.466  0.099 0.389  0.075 0.313  0.053 0.235  0.033 0.158  0.012 0.080  -0.008 0.003  -0.028 -0.075  -0.049 -0.152  -0.069 -0.230  -0.090 -0.307  -0.110 -0.385  -0.130 -0.462  -0.151 -0.540  -0.170 -0.618  -0.187 -0.696  -0.204 -0.775  -0.221 -0.853  -0.238 -0.931  -0.254 -1.010  -0.271 -1.088  -0.288 -1.167  -0.305 -1.245  -0.305 -1.325  -0.305 -1.405  -0.305 -1.485  -0.305 -1.566  -0.305 -1.646  -0.305 -1.726  -0.305 -1.806
1c#apb#apb41#app4145/t  0.475 2.007  0.405 1.958  0.356 1.804  0.311 1.650  0.300 1.490  0.300 1.329  0.295 1.169  0.280 1.008  0.265 0.848  0.249 0.688  0.231 0.528  0.210 0.368  0.190 0.209  0.169 0.049  0.144 -0.110  0.111 -0.268  0.078 -0.425  0.045 -0.583  0.012 -0.740  -0.022 -0.898  -0.055 -1.055  -0.087 -1.213  -0.116 -1.371  -0.154 -1.527  -0.207 -1.679  -0.224 -1.530  -0.253 -1.372  -0.281 -1.214  -0.310 -1.055  -0.338 -0.897  -0.367 -0.738  -0.395 -0.580  -0.424 -0.421  -0.452 -0.263  -0.481 -0.104  -0.509 0.054  -0.538 0.212  -0.585 0.363  -0.659 0.252  -0.597 0.108  -0.447 0.088  -0.286 0.088  -0.125 0.088  0.033 0.113  0.189 0.154  0.345 0.191  0.503 0.224  0.655 0.274  0.806 0.332  0.954 0.394
