1c#tos#f2#f2032060/d  0.093 -0.142  -0.027 -0.175  -0.140 -0.080  -0.298 -0.048  -0.464 -0.091  -0.564 -0.243  -0.706 -0.354  -0.745 -0.528  -0.778 -0.707  -0.778 -0.896  -0.778 -1.085  -0.771 -1.272  -0.631 -1.383  -0.481 -1.448  -0.342 -1.355  -0.253 -1.203  -0.187 -1.041  -0.127 -0.864  -0.087 -0.679  -0.035 -0.498  0.007 -0.314  0.040 -0.128  0.077 0.057  0.133 0.237  0.203 0.411  0.296 0.575  0.339 0.754  0.423 0.923  0.508 1.092  0.570 1.268  0.622 1.435  0.622 1.624  0.565 1.756  0.424 1.682  0.373 1.533  0.342 1.357  0.311 1.176  0.249 1.012  0.249 0.824  0.218 0.642  0.209 0.455  0.186 0.269  0.165 0.083  0.155 -0.104  0.155 -0.293  0.128 -0.476  0.124 -0.664  0.124 -0.853  0.124 -1.041  0.155 -1.199
1c#tos#f2#f2032060/e  -0.393 -0.486  -0.445 -0.632  -0.590 -0.729  -0.765 -0.764  -0.938 -0.792  -1.069 -0.904  -1.032 -0.964  -0.876 -0.910  -0.709 -0.851  -0.579 -0.732  -0.442 -0.619  -0.291 -0.525  -0.132 -0.445  0.002 -0.331  0.100 -0.183  0.192 -0.030  0.276 0.126  0.383 0.269  0.507 0.393  0.635 0.507  0.703 0.669  0.819 0.802  0.862 0.970  0.862 1.148  0.842 1.306  0.742 1.384  0.606 1.426  0.428 1.426  0.313 1.342  0.141 1.306  0.083 1.185  -0.060 1.078  -0.154 0.947  -0.154 0.769  -0.259 0.656  -0.303 0.499  -0.393 0.358  -0.393 0.180  -0.393 0.002  -0.344 -0.165  -0.225 -0.295  -0.174 -0.464  -0.088 -0.612  0.011 -0.757  0.050 -0.917  0.209 -0.996  0.368 -1.076  0.523 -1.163  0.684 -1.203  0.862 -1.203
1c#tos#f2#f2032060/g  0.314 0.950  0.345 1.105  0.438 1.218  0.438 1.386  0.411 1.528  0.243 1.528  0.088 1.487  -0.041 1.380  -0.138 1.243  -0.251 1.119  -0.347 0.983  -0.347 0.815  -0.305 0.664  -0.202 0.558  -0.037 0.537  0.131 0.537  0.288 0.575  0.396 0.666  0.396 0.571  0.396 0.403  0.314 0.286  0.292 0.120  0.251 -0.043  0.231 -0.209  0.214 -0.373  0.152 -0.529  0.089 -0.685  0.066 -0.849  0.018 -0.997  -0.058 -1.134  -0.070 -1.298  -0.140 -1.445  -0.181 -1.604  -0.332 -1.582  -0.490 -1.532  -0.557 -1.399  -0.612 -1.252  -0.677 -1.104  -0.677 -0.936  -0.614 -0.782  -0.526 -0.640  -0.393 -0.540  -0.291 -0.407  -0.153 -0.316  -0.013 -0.224  0.115 -0.116  0.234 0.003  0.369 0.083  0.535 0.090  0.685 0.166
1c#tos#f2#f2032060/h  -0.730 -1.219  -0.905 -1.219  -0.860 -1.084  -0.735 -0.975  -0.621 -0.844  -0.488 -0.737  -0.381 -0.606  -0.268 -0.474  -0.144 -0.351  -0.051 -0.206  0.036 -0.054  0.135 0.089  0.247 0.223  0.299 0.386  0.371 0.545  0.398 0.713  0.491 0.849  0.524 1.020  0.524 1.194  0.524 1.369  0.458 1.477  0.382 1.603  0.270 1.666  0.148 1.613  0.054 1.477  -0.009 1.329  -0.072 1.193  -0.103 1.025  -0.135 0.856  -0.135 0.681  -0.135 0.506  -0.135 0.331  -0.141 0.157  -0.166 -0.015  -0.167 -0.189  -0.197 -0.361  -0.197 -0.535  -0.229 -0.704  -0.260 -0.873  -0.260 -1.047  -0.278 -1.089  -0.160 -0.981  -0.082 -0.826  0.081 -0.780  0.200 -0.660  0.341 -0.688  0.501 -0.757  0.587 -0.896  0.699 -1.009  0.775 -1.125
1c#tos#f2#f2032060/j  0.699 1.996  0.581 1.878  0.568 1.699  0.537 1.528  0.450 1.374  0.339 1.227  0.227 1.080  0.116 0.933  0.004 0.786  -0.107 0.640  -0.219 0.493  -0.308 0.338  -0.424 0.244  -0.538 0.113  -0.471 0.225  -0.412 0.399  -0.290 0.504  -0.120 0.551  0.028 0.638  0.130 0.556  0.130 0.371  0.130 0.187  0.130 0.002  0.101 -0.178  0.086 -0.361  0.028 -0.535  -0.040 -0.707  -0.045 -0.890  -0.106 -1.060  -0.133 -1.238  -0.183 -1.407  -0.290 -1.484  -0.463 -1.430  -0.582 -1.293  -0.716 -1.172  -0.760 -1.012  -0.834 -0.850  -0.796 -0.681  -0.632 -0.631  -0.475 -0.542  -0.298 -0.493  -0.150 -0.382  0.021 -0.317  0.195 -0.255  0.367 -0.194  0.552 -0.194  0.723 -0.138  0.900 -0.106  1.084 -0.106  1.268 -0.106
1c#tos#f2#f2032060/k  -1.160 -0.776  -1.329 -0.848  -1.144 -0.878  -0.944 -0.810  -0.811 -0.655  -0.670 -0.495  -0.517 -0.348  -0.351 -0.214  -0.221 -0.051  -0.102 0.127  0.028 0.299  0.165 0.458  0.330 0.593  0.450 0.772  0.569 0.951  0.655 1.148  0.774 1.306  0.774 1.522  0.670 1.633  0.454 1.633  0.239 1.633  0.152 1.452  0.028 1.301  -0.074 1.122  -0.074 0.906  -0.108 0.699  -0.142 0.489  -0.142 0.273  -0.219 0.079  -0.244 -0.130  -0.294 -0.334  -0.312 -0.545  -0.379 -0.747  -0.397 -0.946  -0.404 -0.927  -0.329 -0.727  -0.210 -0.557  -0.093 -0.421  0.068 -0.281  0.247 -0.233  0.435 -0.287  0.570 -0.406  0.438 -0.536  0.251 -0.606  0.243 -0.674  0.401 -0.732  0.497 -0.875  0.560 -1.059  0.728 -1.149  0.944 -1.149
1c#tos#f2#f2032060/n  -1.316 0.238  -1.490 0.208  -1.633 0.219  -1.500 0.326  -1.356 0.429  -1.222 0.544  -1.053 0.594  -0.889 0.663  -0.740 0.762  -0.572 0.821  -0.412 0.901  -0.265 0.996  -0.099 1.063  0.075 1.083  0.216 1.046  0.216 0.867  0.216 0.689  0.173 0.520  0.164 0.344  0.058 0.231  0.033 0.056  0.005 -0.118  -0.111 -0.248  -0.153 -0.409  -0.206 -0.575  -0.219 -0.752  -0.259 -0.924  -0.279 -1.083  -0.272 -1.083  -0.232 -0.923  -0.168 -0.757  -0.095 -0.595  -0.048 -0.427  -0.001 -0.256  0.132 -0.142  0.268 -0.027  0.322 0.129  0.428 0.242  0.557 0.291  0.692 0.216  0.745 0.059  0.797 -0.097  0.850 -0.254  0.908 -0.410  0.956 -0.581  1.062 -0.654  1.168 -0.766  1.338 -0.818  1.517 -0.818  1.696 -0.818
1c#tos#f2#f2032060/o  0.118 1.308  0.003 1.236  -0.128 1.205  -0.230 1.103  -0.333 1.001  -0.455 0.949  -0.520 0.821  -0.585 0.692  -0.628 0.562  -0.697 0.440  -0.743 0.304  -0.789 0.167  -0.842 0.033  -0.887 -0.101  -0.887 -0.245  -0.887 -0.389  -0.887 -0.534  -0.887 -0.678  -0.887 -0.822  -0.815 -0.895  -0.728 -1.003  -0.607 -1.060  -0.463 -1.060  -0.319 -1.060  -0.174 -1.060  -0.030 -1.060  0.103 -1.022  0.223 -0.942  0.357 -0.893  0.497 -0.858  0.577 -0.758  0.627 -0.625  0.747 -0.545  0.835 -0.447  0.835 -0.303  0.914 -0.192  1.016 -0.089  1.050 0.041  1.050 0.185  1.050 0.329  1.006 0.463  0.920 0.577  0.811 0.662  0.667 0.662  0.523 0.662  0.378 0.662  0.234 0.662  0.090 0.662  -0.055 0.662  -0.169 0.590
1c#tos#f2#f2032060/s  -1.224 -0.566  -1.364 -0.636  -1.376 -0.781  -1.347 -0.781  -1.216 -0.749  -1.178 -0.598  -1.117 -0.459  -1.007 -0.349  -0.905 -0.231  -0.819 -0.101  -0.715 0.015  -0.605 0.125  -0.525 0.258  -0.438 0.387  -0.344 0.511  -0.243 0.630  -0.136 0.743  -0.050 0.873  -0.004 1.015  0.068 1.133  0.198 1.219  0.211 1.369  0.354 1.361  0.377 1.228  0.426 1.120  0.426 0.964  0.426 0.808  0.426 0.652  0.426 0.496  0.426 0.340  0.426 0.184  0.426 0.028  0.426 -0.128  0.426 -0.285  0.426 -0.441  0.404 -0.588  0.341 -0.710  0.185 -0.710  0.029 -0.710  -0.025 -0.710  0.131 -0.710  0.279 -0.676  0.426 -0.638  0.583 -0.638  0.739 -0.638  0.823 -0.566  0.979 -0.566  1.121 -0.506  1.274 -0.494  1.431 -0.494
1c#tos#f2#f2032060/t  -0.752 0.640  -0.808 0.503  -0.928 0.473  -1.078 0.473  -1.086 0.332  -1.017 0.251  -0.878 0.299  -0.730 0.306  -0.582 0.329  -0.435 0.359  -0.289 0.394  -0.142 0.418  0.008 0.418  0.158 0.418  0.308 0.419  0.450 0.466  0.599 0.473  0.676 0.555  0.591 0.678  0.505 0.802  0.420 0.925  0.335 1.048  0.249 1.172  0.142 1.252  0.082 1.162  0.082 1.012  0.082 0.862  0.082 0.712  0.082 0.562  0.082 0.412  0.082 0.262  0.082 0.112  0.074 -0.035  -0.032 -0.141  -0.085 -0.269  -0.085 -0.419  -0.085 -0.569  -0.085 -0.719  -0.085 -0.869  -0.085 -1.019  -0.047 -1.160  -0.029 -1.306  0.082 -1.387  0.181 -1.484  0.298 -1.578  0.445 -1.585  0.595 -1.585  0.733 -1.538  0.866 -1.469  0.972 -1.363
1c#tos#f2#f2032060/u  -1.403 -0.182  -1.470 -0.315  -1.527 -0.453  -1.619 -0.535  -1.561 -0.490  -1.420 -0.450  -1.281 -0.395  -1.145 -0.333  -1.050 -0.278  -1.047 -0.130  -0.905 -0.083  -0.780 -0.001  -0.713 0.125  -0.637 0.252  -0.547 0.372  -0.470 0.499  -0.364 0.605  -0.244 0.676  -0.243 0.627  -0.243 0.478  -0.243 0.328  -0.243 0.178  -0.243 0.028  -0.243 -0.121  -0.243 -0.271  -0.155 -0.333  -0.006 -0.333  0.085 -0.244  0.196 -0.146  0.302 -0.040  0.354 0.099  0.482 0.161  0.596 0.254  0.665 0.375  0.750 0.492  0.866 0.550  0.816 0.471  0.816 0.321  0.816 0.171  0.765 0.072  0.765 -0.078  0.786 -0.223  0.878 -0.333  1.028 -0.333  1.172 -0.298  1.319 -0.282  1.457 -0.224  1.594 -0.165  1.718 -0.086  1.824 0.020
