1c#apb#apb08#app0884/e  -1.062 0.060  -0.926 -0.014  -0.784 -0.070  -0.631 -0.097  -0.479 -0.113  -0.327 -0.088  -0.174 -0.063  -0.027 -0.017  0.120 0.032  0.251 0.107  0.360 0.217  0.469 0.326  0.562 0.449  0.654 0.574  0.715 0.712  0.750 0.863  0.709 1.008  0.623 1.130  0.503 1.227  0.355 1.237  0.200 1.227  0.058 1.169  -0.083 1.106  -0.221 1.038  -0.323 0.922  -0.425 0.806  -0.524 0.687  -0.609 0.558  -0.693 0.428  -0.765 0.295  -0.765 0.140  -0.765 -0.014  -0.756 -0.168  -0.709 -0.315  -0.662 -0.462  -0.597 -0.597  -0.478 -0.696  -0.358 -0.794  -0.231 -0.879  -0.093 -0.949  0.046 -1.018  0.189 -1.074  0.337 -1.120  0.484 -1.166  0.639 -1.166  0.794 -1.166  0.946 -1.143  1.098 -1.113  1.235 -1.046  1.369 -0.968
1c#apb#apb08#app0884/i  0.061 1.328  -0.006 1.294  -0.056 1.293  -0.015 1.340  0.055 1.365  0.127 1.387  0.158 1.368  0.136 1.296  0.114 1.224  0.093 1.152  0.071 1.080  0.050 1.009  0.028 0.937  0.006 0.865  -0.015 0.793  -0.037 0.721  -0.059 0.650  -0.080 0.578  -0.102 0.506  -0.124 0.434  -0.145 0.362  -0.167 0.291  -0.188 0.219  -0.210 0.147  -0.219 0.074  -0.211 -0.000  -0.200 -0.075  -0.183 -0.148  -0.167 -0.221  -0.150 -0.294  -0.133 -0.367  -0.117 -0.440  -0.096 -0.512  -0.075 -0.584  -0.053 -0.656  -0.032 -0.728  -0.010 -0.800  0.013 -0.871  0.035 -0.943  0.058 -1.014  0.080 -1.086  0.103 -1.157  0.125 -1.229  0.147 -1.300  0.170 -1.372  0.191 -1.444  0.213 -1.516  0.239 -1.586  0.269 -1.654  0.309 -1.718
1c#apb#apb08#app0884/k  -1.120 1.626  -1.083 1.477  -1.023 1.298  -0.971 1.115  -0.927 0.930  -0.886 0.745  -0.844 0.560  -0.793 0.377  -0.741 0.194  -0.678 0.016  -0.608 -0.161  -0.556 -0.343  -0.519 -0.529  -0.467 -0.711  -0.412 -0.892  -0.390 -1.051  -0.298 -0.886  -0.202 -0.722  -0.106 -0.558  -0.009 -0.395  0.087 -0.231  0.183 -0.067  0.279 0.096  0.375 0.260  0.471 0.424  0.568 0.587  0.664 0.751  0.510 0.671  0.348 0.571  0.183 0.478  0.016 0.389  -0.162 0.322  -0.342 0.264  -0.520 0.196  -0.643 0.127  -0.453 0.117  -0.266 0.094  -0.081 0.048  0.103 0.002  0.267 -0.094  0.430 -0.190  0.590 -0.292  0.747 -0.400  0.900 -0.511  1.048 -0.631  1.194 -0.751  1.340 -0.873  1.470 -1.011  1.596 -1.153  1.734 -1.282
1c#apb#apb08#app0884/o  -0.599 0.976  -0.706 0.915  -0.795 0.829  -0.880 0.739  -0.935 0.629  -0.990 0.518  -1.029 0.403  -1.045 0.280  -1.062 0.158  -1.057 0.036  -1.032 -0.085  -1.007 -0.206  -0.964 -0.318  -0.880 -0.409  -0.795 -0.499  -0.699 -0.575  -0.595 -0.641  -0.490 -0.707  -0.376 -0.751  -0.257 -0.783  -0.137 -0.815  -0.018 -0.847  0.102 -0.879  0.221 -0.910  0.341 -0.941  0.459 -0.905  0.577 -0.868  0.685 -0.814  0.776 -0.730  0.866 -0.646  0.931 -0.542  0.991 -0.433  1.043 -0.323  1.048 -0.200  1.054 -0.076  1.059 0.047  1.010 0.161  0.961 0.274  0.912 0.388  0.832 0.478  0.737 0.557  0.642 0.637  0.540 0.704  0.427 0.754  0.314 0.804  0.201 0.854  0.083 0.890  -0.036 0.924  -0.155 0.958  -0.274 0.992
1c#apb#apb08#app0884/a  0.474 0.612  0.520 0.771  0.527 0.925  0.422 1.045  0.277 1.124  0.116 1.107  -0.047 1.080  -0.194 1.009  -0.336 0.925  -0.478 0.841  -0.602 0.734  -0.721 0.620  -0.841 0.506  -0.945 0.380  -1.026 0.237  -1.107 0.093  -1.169 -0.057  -1.191 -0.221  -1.214 -0.384  -1.178 -0.541  -1.120 -0.696  -1.032 -0.825  -0.892 -0.912  -0.739 -0.971  -0.579 -1.011  -0.421 -1.030  -0.272 -0.959  -0.123 -0.888  0.007 -0.789  0.130 -0.679  0.254 -0.570  0.349 -0.435  0.442 -0.299  0.518 -0.156  0.540 0.007  0.563 0.171  0.576 0.335  0.586 0.500  0.604 0.661  0.576 0.556  0.593 0.394  0.629 0.233  0.673 0.074  0.725 -0.082  0.786 -0.235  0.872 -0.375  0.959 -0.516  1.060 -0.646  1.166 -0.772  1.283 -0.889
1c#apb#apb08#app0884/u  -1.152 1.396  -1.125 1.274  -1.115 1.145  -1.093 1.017  -1.068 0.889  -1.044 0.761  -1.019 0.634  -1.008 0.504  -0.998 0.375  -0.988 0.245  -0.978 0.115  -0.944 -0.010  -0.910 -0.136  -0.876 -0.261  -0.822 -0.378  -0.754 -0.489  -0.679 -0.594  -0.587 -0.686  -0.495 -0.778  -0.371 -0.815  -0.246 -0.833  -0.120 -0.801  0.001 -0.756  0.112 -0.689  0.224 -0.622  0.311 -0.528  0.393 -0.426  0.474 -0.325  0.517 -0.203  0.557 -0.079  0.596 0.045  0.625 0.171  0.642 0.300  0.659 0.429  0.676 0.558  0.689 0.687  0.696 0.730  0.704 0.600  0.713 0.471  0.715 0.341  0.715 0.211  0.715 0.081  0.752 -0.042  0.799 -0.164  0.846 -0.285  0.916 -0.394  0.988 -0.502  1.058 -0.612  1.120 -0.726  1.181 -0.841
1c#apb#apb08#app0884/r  -0.718 0.639  -0.705 0.524  -0.692 0.409  -0.669 0.296  -0.645 0.183  -0.621 0.070  -0.598 -0.043  -0.582 -0.157  -0.571 -0.272  -0.560 -0.387  -0.549 -0.501  -0.538 -0.616  -0.500 -0.725  -0.460 -0.833  -0.419 -0.941  -0.379 -1.049  -0.346 -1.160  -0.313 -1.271  -0.275 -1.376  -0.245 -1.283  -0.236 -1.168  -0.225 -1.053  -0.203 -0.940  -0.182 -0.826  -0.161 -0.713  -0.147 -0.598  -0.141 -0.483  -0.136 -0.368  -0.130 -0.253  -0.125 -0.137  -0.090 -0.028  -0.046 0.078  -0.003 0.185  0.041 0.292  0.085 0.399  0.145 0.494  0.227 0.576  0.309 0.658  0.390 0.739  0.486 0.801  0.589 0.853  0.692 0.905  0.795 0.957  0.895 1.015  0.994 1.074  1.094 1.131  1.204 1.167  1.314 1.204  1.422 1.244  1.530 1.285
1c#apb#apb08#app0884/a  0.300 0.462  0.324 0.606  0.300 0.746  0.237 0.872  0.120 0.958  -0.021 0.996  -0.166 1.001  -0.311 0.994  -0.450 0.950  -0.587 0.902  -0.698 0.808  -0.809 0.713  -0.907 0.608  -0.975 0.479  -1.042 0.349  -1.081 0.211  -1.096 0.066  -1.111 -0.079  -1.102 -0.222  -1.066 -0.364  -1.018 -0.500  -0.941 -0.624  -0.848 -0.732  -0.722 -0.804  -0.584 -0.827  -0.438 -0.817  -0.317 -0.736  -0.198 -0.652  -0.098 -0.545  0.001 -0.439  0.073 -0.312  0.143 -0.184  0.199 -0.050  0.242 0.089  0.284 0.229  0.336 0.365  0.407 0.402  0.479 0.275  0.556 0.151  0.642 0.033  0.729 -0.084  0.817 -0.200  0.906 -0.316  1.008 -0.419  1.121 -0.510  1.235 -0.601  1.351 -0.690  1.467 -0.779  1.590 -0.856  1.718 -0.926
1c#apb#apb08#app0884/o  -0.502 1.071  -0.581 1.012  -0.645 0.911  -0.709 0.810  -0.759 0.702  -0.803 0.591  -0.846 0.480  -0.874 0.364  -0.899 0.247  -0.925 0.130  -0.942 0.013  -0.931 -0.105  -0.919 -0.224  -0.907 -0.343  -0.866 -0.454  -0.818 -0.564  -0.770 -0.673  -0.686 -0.758  -0.602 -0.842  -0.503 -0.903  -0.388 -0.935  -0.274 -0.968  -0.154 -0.973  -0.035 -0.978  0.083 -0.973  0.193 -0.927  0.303 -0.881  0.408 -0.826  0.499 -0.749  0.590 -0.672  0.673 -0.588  0.742 -0.490  0.810 -0.392  0.872 -0.290  0.903 -0.175  0.935 -0.060  0.967 0.055  0.973 0.173  0.973 0.293  0.973 0.412  0.938 0.521  0.873 0.621  0.808 0.721  0.726 0.804  0.623 0.865  0.521 0.926  0.416 0.980  0.297 0.997  0.179 1.014  0.061 1.031
1c#apb#apb08#app0884/a  0.486 0.681  0.427 0.810  0.355 0.931  0.275 1.046  0.152 1.118  0.022 1.169  -0.116 1.199  -0.250 1.154  -0.384 1.109  -0.502 1.032  -0.619 0.952  -0.722 0.858  -0.799 0.740  -0.876 0.621  -0.940 0.497  -0.972 0.359  -1.004 0.221  -1.036 0.084  -1.026 -0.057  -1.010 -0.197  -0.993 -0.338  -0.922 -0.460  -0.849 -0.581  -0.761 -0.689  -0.648 -0.773  -0.531 -0.850  -0.393 -0.882  -0.255 -0.900  -0.118 -0.866  0.008 -0.810  0.116 -0.718  0.212 -0.616  0.295 -0.501  0.377 -0.386  0.430 -0.255  0.484 -0.124  0.535 0.008  0.582 0.142  0.643 0.267  0.709 0.193  0.745 0.057  0.764 -0.083  0.783 -0.223  0.831 -0.356  0.881 -0.488  0.942 -0.617  1.002 -0.745  1.104 -0.841  1.218 -0.922  1.351 -0.971
1c#apb#apb08#app0884/n  -1.015 0.466  -1.015 0.344  -1.014 0.222  -1.008 0.100  -1.001 -0.022  -0.989 -0.143  -0.965 -0.262  -0.941 -0.382  -0.919 -0.502  -0.901 -0.622  -0.891 -0.743  -0.876 -0.859  -0.784 -0.828  -0.726 -0.721  -0.682 -0.609  -0.654 -0.490  -0.626 -0.371  -0.594 -0.254  -0.556 -0.138  -0.517 -0.023  -0.478 0.093  -0.435 0.207  -0.376 0.313  -0.317 0.420  -0.258 0.527  -0.198 0.633  -0.105 0.707  -0.001 0.770  0.105 0.829  0.217 0.878  0.329 0.926  0.440 0.875  0.551 0.824  0.646 0.748  0.740 0.670  0.808 0.572  0.862 0.463  0.917 0.354  0.961 0.241  0.991 0.123  1.020 0.004  1.050 -0.114  1.075 -0.233  1.099 -0.353  1.123 -0.472  1.142 -0.593  1.161 -0.713  1.181 -0.834  1.207 -0.953  1.215 -1.074
