1c#apb#apb32#app3240/g  0.506 0.788  0.569 0.976  0.495 1.166  0.414 1.341  0.216 1.368  0.025 1.294  -0.158 1.216  -0.313 1.083  -0.486 0.972  -0.597 0.802  -0.693 0.622  -0.755 0.430  -0.731 0.229  -0.583 0.129  -0.390 0.190  -0.218 0.301  -0.067 0.440  0.076 0.586  0.221 0.731  0.374 0.866  0.521 0.991  0.496 0.788  0.456 0.587  0.423 0.385  0.388 0.183  0.353 -0.019  0.333 -0.223  0.313 -0.427  0.277 -0.628  0.239 -0.830  0.199 -1.031  0.126 -1.221  0.016 -1.392  -0.118 -1.547  -0.294 -1.634  -0.496 -1.627  -0.680 -1.547  -0.758 -1.371  -0.755 -1.168  -0.695 -0.978  -0.575 -0.812  -0.420 -0.682  -0.249 -0.570  -0.081 -0.452  0.083 -0.329  0.249 -0.210  0.424 -0.103  0.600 0.003  0.775 0.108  0.947 0.221
1c#apb#apb32#app3240/u  -1.556 -0.760  -1.549 -0.734  -1.424 -0.655  -1.321 -0.533  -1.215 -0.413  -1.109 -0.294  -1.010 -0.168  -0.914 -0.040  -0.815 0.085  -0.713 0.209  -0.636 0.348  -0.555 0.484  -0.453 0.607  -0.400 0.758  -0.392 0.788  -0.408 0.632  -0.479 0.489  -0.547 0.344  -0.589 0.190  -0.640 0.039  -0.662 -0.115  -0.650 -0.274  -0.640 -0.430  -0.533 -0.546  -0.376 -0.565  -0.225 -0.537  -0.099 -0.439  0.032 -0.348  0.164 -0.258  0.295 -0.167  0.411 -0.058  0.519 0.060  0.634 0.172  0.752 0.278  0.871 0.385  0.990 0.492  1.094 0.614  1.167 0.755  1.223 0.806  1.160 0.659  1.116 0.506  1.056 0.357  1.014 0.204  0.989 0.047  0.989 -0.113  1.004 -0.272  1.034 -0.429  1.050 -0.588  1.122 -0.726  1.226 -0.846
1c#apb#apb32#app3240/i  -1.376 -1.059  -1.337 -1.014  -1.213 -0.926  -1.089 -0.838  -0.970 -0.745  -0.852 -0.648  -0.741 -0.546  -0.637 -0.434  -0.540 -0.318  -0.453 -0.193  -0.360 -0.074  -0.257 0.038  -0.152 0.147  -0.044 0.255  0.043 0.373  -0.015 0.282  -0.094 0.153  -0.150 0.012  -0.201 -0.131  -0.244 -0.276  -0.241 -0.428  -0.211 -0.577  -0.112 -0.688  0.022 -0.753  0.171 -0.761  0.322 -0.754  0.474 -0.754  0.626 -0.756  0.776 -0.778  0.914 -0.839  0.877 -0.710  0.826 -0.566  0.776 -0.423  0.725 -0.280  0.675 -0.137  0.624 0.007  0.574 0.150  0.523 0.293  0.473 0.437  0.422 0.580  0.372 0.723  0.321 0.867  0.271 1.010  0.220 1.153  0.170 1.296  0.119 1.440  0.069 1.583  0.019 1.726  -0.032 1.870  -0.082 2.013
1c#apb#apb32#app3240/l  -1.472 -1.054  -1.436 -1.080  -1.296 -1.027  -1.168 -0.950  -1.034 -0.883  -0.902 -0.811  -0.773 -0.733  -0.651 -0.646  -0.533 -0.554  -0.414 -0.463  -0.292 -0.374  -0.173 -0.283  -0.072 -0.172  0.029 -0.061  0.128 0.052  0.226 0.165  0.324 0.279  0.420 0.394  0.517 0.510  0.612 0.625  0.708 0.741  0.807 0.854  0.906 0.967  0.997 1.085  1.077 1.211  1.011 1.324  0.869 1.293  0.736 1.224  0.616 1.134  0.502 1.037  0.389 0.938  0.291 0.824  0.194 0.709  0.103 0.590  0.013 0.469  -0.069 0.344  -0.144 0.214  -0.215 0.082  -0.265 -0.060  -0.314 -0.201  -0.341 -0.349  -0.365 -0.497  -0.348 -0.646  -0.287 -0.778  -0.178 -0.873  -0.041 -0.935  0.107 -0.946  0.253 -0.918  0.398 -0.886  0.549 -0.886
1c#apb#apb32#app3240/a  -0.059 -0.072  0.091 0.044  0.144 0.230  0.205 0.409  0.321 0.565  0.442 0.718  0.475 0.906  0.359 1.019  0.165 1.022  -0.025 0.986  -0.197 0.900  -0.360 0.795  -0.521 0.685  -0.679 0.572  -0.837 0.458  -0.993 0.343  -1.139 0.219  -1.217 0.041  -1.295 -0.137  -1.353 -0.322  -1.396 -0.510  -1.395 -0.705  -1.278 -0.849  -1.083 -0.849  -0.894 -0.809  -0.713 -0.744  -0.548 -0.641  -0.383 -0.538  -0.219 -0.433  -0.056 -0.328  0.080 -0.190  0.212 -0.047  0.335 0.103  0.454 0.257  0.568 0.415  0.680 0.574  0.791 0.733  0.693 0.626  0.644 0.440  0.610 0.248  0.588 0.055  0.573 -0.139  0.624 -0.326  0.683 -0.511  0.770 -0.685  0.872 -0.849  1.040 -0.938  1.224 -0.940  1.403 -0.880  1.593 -0.922
1c#apb#apb32#app3240/r  -1.314 -0.597  -1.433 -0.601  -1.475 -0.642  -1.366 -0.629  -1.264 -0.564  -1.175 -0.483  -1.085 -0.406  -1.027 -0.300  -0.959 -0.200  -0.893 -0.099  -0.838 0.009  -0.782 0.116  -0.724 0.222  -0.663 0.327  -0.603 0.432  -0.554 0.543  -0.471 0.627  -0.399 0.723  -0.329 0.822  -0.227 0.861  -0.106 0.865  0.014 0.878  0.128 0.856  0.235 0.805  0.351 0.772  0.407 0.677  0.390 0.558  0.353 0.443  0.299 0.335  0.244 0.227  0.185 0.122  0.138 0.010  0.098 -0.104  0.079 -0.222  0.102 -0.339  0.170 -0.435  0.272 -0.492  0.391 -0.516  0.511 -0.526  0.632 -0.526  0.752 -0.511  0.871 -0.492  0.987 -0.455  1.102 -0.419  1.218 -0.387  1.336 -0.359  1.452 -0.326  1.549 -0.255  1.652 -0.193  1.767 -0.155
1c#apb#apb32#app3240/t  -1.110 -1.410  -0.988 -1.211  -0.818 -1.004  -0.659 -0.787  -0.507 -0.566  -0.360 -0.341  -0.218 -0.112  -0.076 0.116  0.042 0.357  0.161 0.598  0.304 0.826  0.436 1.060  0.559 1.299  0.704 1.525  0.692 1.374  0.565 1.137  0.454 0.892  0.339 0.649  0.202 0.418  0.072 0.183  -0.047 -0.058  -0.125 -0.315  -0.194 -0.575  -0.224 -0.840  -0.137 -1.087  0.079 -1.208  0.343 -1.168  0.600 -1.089  0.860 -1.023  1.120 -0.957  1.230 -0.857  0.997 -0.723  0.765 -0.588  0.532 -0.453  0.299 -0.319  0.067 -0.184  -0.166 -0.049  -0.399 0.086  -0.631 0.220  -0.864 0.355  -1.097 0.490  -1.329 0.624  -1.123 0.631  -0.856 0.607  -0.587 0.594  -0.319 0.594  -0.050 0.594  0.219 0.583  0.487 0.565  0.755 0.548
1c#apb#apb32#app3240/k  -1.053 -1.036  -0.896 -0.830  -0.720 -0.636  -0.549 -0.438  -0.394 -0.227  -0.239 -0.015  -0.081 0.193  0.080 0.400  0.215 0.625  0.348 0.851  0.483 1.076  0.628 1.294  0.789 1.501  0.963 1.696  1.034 1.691  0.859 1.496  0.686 1.299  0.505 1.110  0.324 0.921  0.144 0.730  -0.025 0.529  -0.193 0.328  -0.335 0.108  -0.478 -0.112  -0.614 -0.336  -0.748 -0.561  -0.837 -0.808  -0.914 -1.058  -0.932 -1.231  -0.837 -0.993  -0.689 -0.776  -0.569 -0.543  -0.434 -0.319  -0.283 -0.105  -0.108 0.090  0.094 0.251  0.335 0.342  0.577 0.286  0.739 0.087  0.766 -0.164  0.592 -0.342  0.331 -0.336  0.078 -0.281  -0.170 -0.209  -0.148 -0.452  -0.028 -0.684  0.108 -0.908  0.294 -1.092  0.528 -1.202  0.775 -1.210
1c#apb#apb32#app3240/i  -1.306 -0.979  -1.268 -0.966  -1.126 -0.881  -0.982 -0.798  -0.845 -0.704  -0.713 -0.603  -0.608 -0.475  -0.502 -0.347  -0.379 -0.234  -0.273 -0.108  -0.181 0.031  -0.080 0.163  0.009 0.302  0.048 0.409  -0.069 0.291  -0.184 0.171  -0.278 0.034  -0.367 -0.107  -0.449 -0.251  -0.515 -0.404  -0.543 -0.565  -0.500 -0.721  -0.382 -0.814  -0.233 -0.874  -0.067 -0.861  0.096 -0.827  0.242 -0.748  0.371 -0.649  0.516 -0.590  0.660 -0.521  0.801 -0.487  0.945 -0.558  0.939 -0.567  0.882 -0.410  0.825 -0.254  0.768 -0.097  0.711 0.059  0.654 0.215  0.597 0.372  0.540 0.528  0.483 0.684  0.426 0.841  0.369 0.997  0.312 1.153  0.255 1.310  0.198 1.466  0.141 1.622  0.084 1.779  0.027 1.935  -0.051 2.039
1c#apb#apb32#app3240/n  -1.634 -0.867  -1.600 -0.714  -1.487 -0.608  -1.409 -0.474  -1.334 -0.336  -1.248 -0.206  -1.137 -0.095  -1.026 0.016  -0.915 0.127  -0.804 0.238  -0.693 0.349  -0.578 0.456  -0.451 0.548  -0.322 0.637  -0.187 0.714  -0.039 0.744  -0.039 0.587  -0.059 0.432  -0.090 0.278  -0.136 0.128  -0.189 -0.019  -0.247 -0.165  -0.317 -0.306  -0.356 -0.457  -0.414 -0.600  -0.410 -0.544  -0.332 -0.408  -0.275 -0.261  -0.203 -0.124  -0.104 -0.003  -0.003 0.117  0.099 0.237  0.203 0.355  0.312 0.467  0.442 0.554  0.589 0.607  0.739 0.621  0.760 0.474  0.738 0.319  0.767 0.169  0.820 0.021  0.893 -0.118  0.976 -0.250  1.087 -0.361  1.225 -0.430  1.374 -0.450  1.527 -0.415  1.678 -0.374  1.829 -0.330  1.978 -0.280
1c#apb#apb32#app3240/s  -1.520 -0.403  -1.459 -0.309  -1.336 -0.153  -1.194 -0.017  -1.039 0.105  -0.913 0.259  -0.773 0.399  -0.627 0.533  -0.468 0.653  -0.308 0.770  -0.124 0.844  0.047 0.941  0.216 1.031  0.413 1.039  0.583 0.954  0.625 0.766  0.611 0.568  0.611 0.369  0.611 0.171  0.611 -0.028  0.557 -0.217  0.487 -0.403  0.391 -0.576  0.215 -0.640  0.023 -0.592  -0.165 -0.526  -0.340 -0.438  -0.498 -0.317  -0.657 -0.198  -0.817 -0.081  -0.963 0.054  -1.067 0.216  -1.086 0.201  -0.941 0.067  -0.775 -0.038  -0.595 -0.124  -0.414 -0.204  -0.222 -0.255  -0.030 -0.307  0.163 -0.353  0.358 -0.389  0.554 -0.424  0.749 -0.460  0.947 -0.471  1.146 -0.478  1.344 -0.485  1.533 -0.426  1.715 -0.350  1.867 -0.228  1.956 -0.051
