1c#apb#apb15#app1543/u  -1.397 0.438  -1.359 0.361  -1.316 0.286  -1.266 0.216  -1.216 0.146  -1.168 0.075  -1.134 -0.004  -1.100 -0.084  -1.060 -0.159  -1.007 -0.227  -0.953 -0.294  -0.904 -0.365  -0.857 -0.437  -0.803 -0.502  -0.728 -0.545  -0.653 -0.588  -0.576 -0.621  -0.489 -0.621  -0.403 -0.621  -0.317 -0.621  -0.233 -0.604  -0.148 -0.586  -0.064 -0.567  0.019 -0.544  0.101 -0.517  0.182 -0.490  0.264 -0.463  0.346 -0.435  0.412 -0.383  0.473 -0.323  0.534 -0.262  0.595 -0.201  0.656 -0.140  0.708 -0.072  0.749 0.004  0.790 0.080  0.830 0.156  0.871 0.232  0.912 0.308  0.931 0.392  0.949 0.476  0.967 0.560  0.985 0.645  1.003 0.729  1.004 0.814  0.996 0.900  0.987 0.986  0.978 1.072  0.962 1.156  0.945 1.241
1c#apb#apb15#app1543/t  0.526 1.646  0.517 1.493  0.498 1.341  0.477 1.189  0.451 1.038  0.425 0.887  0.399 0.735  0.384 0.583  0.369 0.430  0.354 0.277  0.340 0.124  0.332 -0.029  0.326 -0.182  0.321 -0.336  0.316 -0.489  0.315 -0.643  0.315 -0.796  0.315 -0.950  0.320 -1.103  0.337 -1.255  0.354 -1.408  0.426 -1.540  0.420 -1.612  0.343 -1.479  0.266 -1.347  0.189 -1.214  0.112 -1.081  0.035 -0.948  -0.042 -0.815  -0.119 -0.683  -0.196 -0.550  -0.273 -0.417  -0.350 -0.284  -0.427 -0.151  -0.504 -0.019  -0.581 0.114  -0.658 0.247  -0.735 0.380  -0.812 0.513  -0.889 0.645  -0.966 0.778  -0.964 0.855  -0.814 0.822  -0.664 0.788  -0.515 0.754  -0.363 0.738  -0.209 0.738  -0.056 0.738  0.098 0.738  0.251 0.738
1c#apb#apb15#app1543/a  0.193 0.517  0.218 0.668  0.181 0.812  0.068 0.915  -0.061 0.994  -0.202 1.054  -0.344 0.999  -0.486 0.942  -0.598 0.839  -0.711 0.735  -0.823 0.631  -0.922 0.516  -1.017 0.396  -1.111 0.276  -1.182 0.144  -1.219 -0.005  -1.256 -0.153  -1.265 -0.301  -1.225 -0.449  -1.164 -0.582  -1.042 -0.674  -0.919 -0.765  -0.783 -0.814  -0.630 -0.814  -0.477 -0.814  -0.324 -0.814  -0.178 -0.770  -0.032 -0.723  0.113 -0.677  0.259 -0.631  0.395 -0.563  0.527 -0.486  0.659 -0.408  0.789 -0.329  0.862 -0.194  0.934 -0.060  0.993 0.079  1.018 0.230  1.041 0.381  1.020 0.532  0.919 0.535  0.811 0.427  0.764 0.286  0.734 0.136  0.750 -0.015  0.772 -0.166  0.819 -0.304  0.931 -0.408  1.043 -0.512  1.156 -0.616
1c#apb#apb15#app1543/c  1.220 1.141  1.118 1.110  1.016 1.078  0.914 1.047  0.812 1.015  0.711 0.979  0.610 0.944  0.509 0.908  0.409 0.872  0.308 0.837  0.207 0.800  0.107 0.764  0.007 0.727  -0.094 0.691  -0.194 0.654  -0.295 0.618  -0.387 0.567  -0.468 0.497  -0.549 0.427  -0.629 0.357  -0.710 0.287  -0.791 0.217  -0.848 0.128  -0.898 0.034  -0.949 -0.060  -1.000 -0.154  -0.999 -0.252  -0.965 -0.354  -0.931 -0.455  -0.896 -0.555  -0.799 -0.600  -0.702 -0.645  -0.605 -0.691  -0.508 -0.736  -0.408 -0.767  -0.301 -0.771  -0.194 -0.776  -0.088 -0.780  0.019 -0.784  0.126 -0.788  0.233 -0.793  0.339 -0.793  0.446 -0.782  0.552 -0.771  0.658 -0.760  0.765 -0.749  0.871 -0.738  0.977 -0.727  1.084 -0.716  1.190 -0.705
1c#apb#apb15#app1543/o  -0.373 0.894  -0.498 0.858  -0.622 0.823  -0.725 0.754  -0.810 0.656  -0.894 0.557  -0.965 0.451  -1.016 0.332  -1.067 0.213  -1.054 0.087  -1.029 -0.040  -1.004 -0.167  -0.964 -0.288  -0.899 -0.401  -0.835 -0.513  -0.738 -0.591  -0.622 -0.649  -0.506 -0.707  -0.391 -0.765  -0.274 -0.820  -0.147 -0.847  -0.021 -0.874  0.106 -0.901  0.232 -0.928  0.359 -0.940  0.484 -0.906  0.608 -0.872  0.733 -0.838  0.849 -0.787  0.950 -0.706  1.036 -0.615  1.064 -0.489  1.093 -0.363  1.113 -0.237  1.051 -0.124  0.989 -0.010  0.927 0.104  0.865 0.217  0.776 0.309  0.680 0.397  0.585 0.485  0.490 0.573  0.395 0.661  0.300 0.748  0.199 0.829  0.097 0.909  -0.005 0.988  -0.108 1.068  -0.175 1.178  -0.242 1.289
1c#apb#apb15#app1543/p  -0.301 0.482  -0.289 0.323  -0.275 0.164  -0.260 0.004  -0.245 -0.155  -0.221 -0.313  -0.197 -0.471  -0.173 -0.629  -0.168 -0.789  -0.168 -0.949  -0.168 -1.108  -0.168 -1.268  -0.168 -1.428  -0.169 -1.588  -0.314 -1.591  -0.415 -1.467  -0.494 -1.331  -0.545 -1.179  -0.589 -1.026  -0.602 -0.867  -0.616 -0.708  -0.608 -0.550  -0.571 -0.394  -0.534 -0.239  -0.498 -0.083  -0.452 0.070  -0.385 0.215  -0.318 0.360  -0.251 0.505  -0.184 0.651  -0.111 0.792  -0.015 0.920  0.080 1.048  0.176 1.176  0.305 1.262  0.453 1.322  0.606 1.356  0.766 1.356  0.884 1.253  0.955 1.111  0.984 0.959  0.972 0.799  0.905 0.655  0.834 0.512  0.733 0.389  0.624 0.272  0.501 0.172  0.366 0.087  0.231 0.001  0.098 -0.087
1c#apb#apb15#app1543/y  -0.525 1.314  -0.566 1.219  -0.585 1.114  -0.603 1.009  -0.621 0.904  -0.604 0.800  -0.574 0.699  -0.535 0.600  -0.451 0.543  -0.353 0.505  -0.249 0.481  -0.147 0.469  -0.050 0.514  0.047 0.558  0.140 0.609  0.234 0.659  0.317 0.724  0.396 0.796  0.469 0.872  0.534 0.956  0.584 0.935  0.578 0.831  0.559 0.726  0.540 0.621  0.517 0.517  0.494 0.414  0.471 0.310  0.448 0.206  0.423 0.103  0.397 -0.001  0.371 -0.104  0.346 -0.207  0.320 -0.310  0.293 -0.413  0.245 -0.508  0.198 -0.603  0.150 -0.698  0.103 -0.793  0.055 -0.888  0.006 -0.983  -0.050 -1.073  -0.106 -1.163  -0.162 -1.254  -0.218 -1.344  -0.274 -1.434  -0.352 -1.506  -0.433 -1.576  -0.513 -1.646  -0.593 -1.716  -0.673 -1.786
1c#apb#apb15#app1543/o  -0.061 0.759  -0.038 0.898  -0.009 1.035  -0.002 1.172  -0.086 1.166  -0.185 1.067  -0.272 0.956  -0.358 0.845  -0.444 0.734  -0.529 0.622  -0.597 0.499  -0.665 0.376  -0.733 0.253  -0.802 0.130  -0.863 0.005  -0.891 -0.133  -0.918 -0.270  -0.946 -0.408  -0.936 -0.544  -0.895 -0.678  -0.853 -0.813  -0.785 -0.925  -0.661 -0.992  -0.538 -1.060  -0.409 -1.097  -0.269 -1.082  -0.129 -1.067  0.011 -1.053  0.150 -1.038  0.278 -0.982  0.404 -0.920  0.530 -0.857  0.651 -0.789  0.751 -0.689  0.850 -0.590  0.950 -0.490  0.986 -0.359  1.008 -0.220  1.029 -0.082  0.990 0.047  0.923 0.171  0.856 0.294  0.783 0.413  0.684 0.513  0.584 0.612  0.485 0.711  0.386 0.811  0.286 0.910  0.193 1.015  0.105 1.125
1c#apb#apb15#app1543/f  1.247 1.139  1.157 1.204  1.066 1.269  0.971 1.322  0.860 1.328  0.748 1.335  0.638 1.318  0.527 1.301  0.429 1.256  0.341 1.188  0.253 1.119  0.189 1.030  0.137 0.931  0.085 0.832  0.046 0.729  0.022 0.620  -0.001 0.511  -0.024 0.401  -0.044 0.292  -0.051 0.180  -0.058 0.069  -0.065 -0.043  -0.071 -0.154  -0.071 -0.266  -0.071 -0.378  -0.071 -0.489  -0.068 -0.601  -0.058 -0.712  -0.049 -0.823  -0.039 -0.935  -0.028 -1.046  -0.017 -1.157  0.003 -1.267  -0.029 -1.270  -0.105 -1.188  -0.181 -1.106  -0.257 -1.024  -0.332 -0.942  -0.408 -0.860  -0.484 -0.778  -0.560 -0.696  -0.636 -0.614  -0.712 -0.532  -0.788 -0.450  -0.847 -0.372  -0.742 -0.334  -0.631 -0.334  -0.519 -0.334  -0.407 -0.334  -0.296 -0.334
1c#apb#apb15#app1543/p  -0.289 0.638  -0.405 0.556  -0.427 0.405  -0.436 0.254  -0.428 0.102  -0.420 -0.050  -0.414 -0.202  -0.408 -0.355  -0.402 -0.507  -0.382 -0.658  -0.360 -0.808  -0.337 -0.959  -0.312 -1.109  -0.283 -1.259  -0.255 -1.408  -0.209 -1.553  -0.161 -1.698  -0.191 -1.575  -0.225 -1.426  -0.253 -1.276  -0.282 -1.127  -0.281 -0.976  -0.270 -0.824  -0.260 -0.672  -0.246 -0.520  -0.218 -0.371  -0.190 -0.221  -0.161 -0.071  -0.133 0.078  -0.094 0.225  -0.046 0.370  0.002 0.514  0.050 0.659  0.098 0.803  0.157 0.943  0.219 1.083  0.280 1.222  0.351 1.356  0.433 1.485  0.555 1.490  0.635 1.361  0.729 1.241  0.760 1.095  0.779 0.944  0.774 0.792  0.763 0.640  0.707 0.498  0.617 0.379  0.499 0.285  0.369 0.206
1c#apb#apb15#app1543/a  1.191 0.890  1.028 0.936  0.864 0.980  0.700 1.021  0.531 1.023  0.362 1.023  0.195 1.007  0.031 0.966  -0.133 0.925  -0.294 0.876  -0.437 0.785  -0.579 0.693  -0.721 0.602  -0.844 0.486  -0.963 0.366  -1.083 0.246  -1.154 0.096  -1.215 -0.062  -1.270 -0.221  -1.256 -0.390  -1.242 -0.558  -1.158 -0.697  -1.046 -0.823  -0.914 -0.910  -0.745 -0.919  -0.576 -0.929  -0.407 -0.938  -0.246 -0.895  -0.086 -0.839  0.073 -0.782  0.229 -0.718  0.374 -0.631  0.519 -0.544  0.592 -0.393  0.662 -0.239  0.692 -0.076  0.692 0.093  0.682 0.261  0.641 0.425  0.569 0.542  0.465 0.419  0.406 0.260  0.392 0.094  0.392 -0.076  0.426 -0.236  0.507 -0.385  0.588 -0.533  0.720 -0.637  0.856 -0.739  0.991 -0.840
