1b#apb#apb16#app1674/A  -0.263 -0.526  -0.293 -0.273  -0.428 -0.155  -0.657 -0.327  -0.903 -0.479  -1.121 -0.667  -1.324 -0.871  -1.441 -1.119  -1.200 -1.180  -0.998 -0.974  -0.810 -0.756  -0.644 -0.520  -0.489 -0.277  -0.361 -0.019  -0.240 0.243  -0.094 0.491  0.029 0.751  0.161 1.004  0.338 1.232  0.516 1.459  0.711 1.671  0.854 1.783  0.784 1.504  0.686 1.233  0.593 0.960  0.510 0.683  0.431 0.406  0.374 0.124  0.327 -0.161  0.279 -0.445  0.242 -0.731  0.212 -1.018  0.239 -1.301  0.436 -1.220  0.531 -0.949  0.571 -0.665  0.561 -0.378  0.499 -0.096  0.327 0.119  0.077 0.251  -0.203 0.323  -0.487 0.298  -0.695 0.171  -0.501 -0.023  -0.223 -0.093  0.060 -0.038  0.343 0.016  0.622 0.088  0.897 0.175  1.167 0.278
1b#apb#apb16#app1674/B  0.174 1.035  0.172 1.107  0.082 0.852  -0.067 0.626  -0.205 0.393  -0.340 0.158  -0.482 -0.072  -0.624 -0.303  -0.766 -0.533  -0.892 -0.773  -1.028 -1.007  -1.112 -1.261  -1.039 -1.279  -0.864 -1.072  -0.733 -0.835  -0.612 -0.593  -0.496 -0.349  -0.380 -0.104  -0.259 0.138  -0.149 0.386  -0.046 0.636  0.086 0.872  0.242 1.093  0.425 1.291  0.644 1.448  0.892 1.422  0.970 1.167  0.953 0.898  0.827 0.665  0.644 0.466  0.422 0.317  0.177 0.202  -0.079 0.115  -0.099 0.224  0.145 0.339  0.407 0.403  0.675 0.375  0.894 0.223  0.997 -0.027  1.013 -0.289  0.910 -0.534  0.726 -0.726  0.494 -0.865  0.252 -0.987  -0.003 -1.074  -0.267 -1.131  -0.523 -1.102  -0.707 -0.911  -0.743 -0.642  -0.707 -0.381
1b#apb#apb16#app1674/C  0.563 0.716  0.640 0.875  0.658 0.873  0.557 0.724  0.454 0.577  0.343 0.437  0.216 0.310  0.095 0.179  -0.006 0.031  -0.126 -0.099  -0.061 -0.044  0.060 0.087  0.183 0.218  0.295 0.358  0.407 0.498  0.505 0.648  0.593 0.803  0.654 0.972  0.692 1.134  0.550 1.234  0.387 1.190  0.229 1.105  0.080 1.006  -0.067 0.903  -0.201 0.784  -0.331 0.661  -0.440 0.519  -0.550 0.377  -0.642 0.223  -0.733 0.069  -0.824 -0.086  -0.915 -0.240  -0.986 -0.403  -1.035 -0.576  -1.072 -0.751  -1.089 -0.928  -1.041 -1.092  -0.887 -1.183  -0.712 -1.222  -0.536 -1.224  -0.358 -1.197  -0.182 -1.167  -0.007 -1.126  0.167 -1.085  0.332 -1.016  0.494 -0.938  0.659 -0.870  0.832 -0.825  1.000 -0.765  1.155 -0.676
1b#apb#apb16#app1674/D  -0.076 0.494  0.010 0.687  0.033 0.730  -0.064 0.538  -0.162 0.346  -0.259 0.153  -0.356 -0.040  -0.455 -0.232  -0.556 -0.422  -0.669 -0.606  -0.788 -0.786  -0.915 -0.961  -1.029 -1.144  -1.138 -1.258  -1.085 -1.049  -1.014 -0.845  -0.910 -0.657  -0.823 -0.459  -0.713 -0.330  -0.713 -0.546  -0.689 -0.760  -0.601 -0.953  -0.425 -1.056  -0.209 -1.045  -0.023 -0.941  0.129 -0.788  0.260 -0.616  0.391 -0.445  0.497 -0.259  0.582 -0.061  0.658 0.141  0.710 0.350  0.737 0.563  0.737 0.779  0.668 0.982  0.560 1.167  0.374 1.272  0.165 1.324  -0.016 1.229  -0.076 1.038  -0.047 0.825  0.050 0.632  0.190 0.468  0.379 0.364  0.585 0.313  0.800 0.297  1.016 0.305  1.227 0.346  1.432 0.410  1.625 0.507
1b#apb#apb16#app1674/E  -0.168 0.613  -0.297 0.715  -0.094 0.762  0.096 0.860  0.282 0.967  0.460 1.086  0.641 1.199  0.816 1.322  0.968 1.468  0.882 1.568  0.708 1.443  0.549 1.298  0.395 1.147  0.247 0.991  0.105 0.829  -0.028 0.660  -0.153 0.485  -0.244 0.292  -0.246 0.082  -0.093 -0.056  0.114 -0.110  0.328 -0.101  0.525 -0.015  0.472 0.161  0.274 0.236  0.063 0.226  -0.139 0.157  -0.332 0.061  -0.516 -0.050  -0.688 -0.178  -0.845 -0.325  -0.956 -0.509  -0.990 -0.718  -0.945 -0.928  -0.802 -1.078  -0.610 -1.169  -0.404 -1.231  -0.192 -1.266  0.019 -1.252  0.228 -1.201  0.385 -1.072  0.444 -0.868  0.435 -0.656  0.355 -0.460  0.158 -0.490  -0.011 -0.622  -0.150 -0.786  -0.269 -0.964  -0.361 -1.158  -0.413 -1.367
1b#apb#apb16#app1674/F  0.033 0.830  -0.056 0.915  -0.252 0.784  -0.443 0.644  -0.634 0.506  -0.814 0.354  -0.753 0.394  -0.580 0.555  -0.397 0.704  -0.205 0.842  -0.020 0.989  0.171 1.127  0.340 1.211  0.233 1.002  0.195 0.772  0.334 0.603  0.555 0.640  0.745 0.772  0.662 0.693  0.548 0.487  0.426 0.285  0.300 0.085  0.193 -0.126  0.093 -0.339  -0.014 -0.550  -0.130 -0.756  -0.243 -0.964  -0.329 -1.184  -0.426 -1.399  -0.533 -1.610  -0.438 -1.512  -0.490 -1.326  -0.613 -1.123  -0.735 -0.921  -0.858 -0.719  -0.980 -0.517  -1.107 -0.354  -0.900 -0.437  -0.667 -0.423  -0.435 -0.379  -0.205 -0.325  0.023 -0.263  0.251 -0.202  0.478 -0.134  0.704 -0.065  0.931 -0.000  1.162 0.052  1.393 0.102  1.625 0.144  1.860 0.137
1b#apb#apb16#app1674/G  0.321 1.174  0.329 1.170  0.138 1.184  -0.062 1.137  -0.243 1.038  -0.418 0.927  -0.590 0.811  -0.743 0.675  -0.847 0.496  -0.820 0.317  -0.623 0.270  -0.422 0.318  -0.227 0.388  -0.035 0.468  0.154 0.553  0.326 0.668  0.457 0.823  0.471 1.025  0.426 1.109  0.429 0.902  0.447 0.695  0.454 0.488  0.459 0.281  0.454 0.074  0.449 -0.134  0.427 -0.340  0.404 -0.546  0.365 -0.750  0.320 -0.952  0.241 -1.144  0.134 -1.318  -0.002 -1.474  -0.159 -1.608  -0.346 -1.687  -0.553 -1.695  -0.694 -1.561  -0.732 -1.361  -0.709 -1.158  -0.636 -0.963  -0.559 -0.771  -0.449 -0.595  -0.324 -0.431  -0.178 -0.284  -0.026 -0.143  0.129 -0.005  0.288 0.128  0.450 0.257  0.608 0.391  0.770 0.520  0.946 0.631
1b#apb#apb16#app1674/H  -0.429 1.313  -0.682 1.170  -0.684 0.845  -0.410 0.651  -0.069 0.687  0.223 0.866  0.292 1.118  0.126 0.826  -0.042 0.519  -0.208 0.212  -0.362 -0.103  -0.529 -0.411  -0.693 -0.719  -0.841 -1.036  -1.005 -1.345  -1.061 -1.176  -0.861 -0.889  -0.662 -0.601  -0.462 -0.314  -0.263 -0.026  -0.063 0.261  0.136 0.549  0.336 0.836  0.535 1.124  0.735 1.412  0.949 1.675  0.897 1.341  0.786 1.009  0.642 0.691  0.502 0.370  0.369 0.046  0.241 -0.280  0.117 -0.607  0.019 -0.942  -0.063 -1.283  -0.067 -1.627  0.203 -1.567  0.403 -1.282  0.512 -0.952  0.529 -0.605  0.452 -0.265  0.293 0.043  -0.010 0.199  -0.344 0.126  -0.576 -0.125  -0.471 -0.405  -0.126 -0.425  0.219 -0.374  0.560 -0.293  0.906 -0.239
1b#apb#apb16#app1674/I  0.348 -0.350  0.242 -0.406  0.070 -0.348  -0.005 -0.166  -0.012 0.037  0.006 0.241  0.054 0.440  0.107 0.637  0.175 0.830  0.243 1.023  0.309 1.216  0.376 1.409  0.464 1.594  0.573 1.764  0.648 1.806  0.635 1.603  0.609 1.400  0.573 1.199  0.534 0.999  0.494 0.798  0.446 0.600  0.397 0.401  0.348 0.202  0.300 0.004  0.253 -0.195  0.205 -0.394  0.130 -0.583  0.041 -0.767  -0.072 -0.936  -0.202 -1.093  -0.368 -1.211  -0.547 -1.192  -0.681 -1.038  -0.776 -0.860  -0.843 -0.667  -0.902 -0.472  -0.924 -0.269  -0.948 -0.066  -0.930 -0.137  -0.890 -0.337  -0.830 -0.531  -0.717 -0.700  -0.546 -0.804  -0.346 -0.838  -0.142 -0.829  0.056 -0.780  0.248 -0.713  0.433 -0.624  0.602 -0.512  0.764 -0.387
1b#apb#apb16#app1674/J  0.223 0.053  0.151 -0.119  -0.033 -0.205  -0.236 -0.201  -0.426 -0.140  -0.579 -0.011  -0.635 0.177  -0.571 0.368  -0.442 0.524  -0.284 0.652  -0.111 0.759  0.078 0.832  0.270 0.901  0.455 0.983  0.605 1.120  0.686 1.306  0.730 1.504  0.765 1.672  0.665 1.496  0.588 1.308  0.514 1.119  0.441 0.929  0.382 0.735  0.332 0.538  0.277 0.342  0.218 0.147  0.163 -0.048  0.114 -0.246  0.059 -0.441  -0.004 -0.635  -0.064 -0.829  -0.128 -1.022  -0.216 -1.205  -0.304 -1.388  -0.407 -1.564  -0.570 -1.678  -0.754 -1.635  -0.802 -1.442  -0.780 -1.242  -0.705 -1.053  -0.610 -0.873  -0.493 -0.708  -0.366 -0.549  -0.226 -0.402  -0.075 -0.265  0.085 -0.141  0.248 -0.019  0.417 0.094  0.596 0.189  0.758 0.312
1b#apb#apb16#app1674/K  -0.746 1.002  -0.675 1.207  -0.423 1.286  -0.166 1.262  0.045 1.103  0.138 0.855  0.197 0.599  0.120 0.345  -0.005 0.111  -0.142 -0.116  -0.309 -0.322  -0.478 -0.527  -0.643 -0.735  -0.814 -0.938  -0.977 -1.148  -1.018 -1.265  -0.855 -1.056  -0.691 -0.846  -0.528 -0.637  -0.364 -0.428  -0.200 -0.218  -0.037 -0.009  0.127 0.200  0.290 0.410  0.454 0.619  0.617 0.828  0.781 1.038  0.944 1.247  1.110 1.428  1.166 1.181  1.114 0.921  0.989 0.687  0.847 0.463  0.696 0.244  0.518 0.048  0.328 -0.137  0.121 -0.303  -0.110 -0.435  -0.369 -0.451  -0.533 -0.285  -0.486 -0.033  -0.325 0.145  -0.244 -0.086  -0.212 -0.349  -0.174 -0.612  -0.142 -0.874  -0.028 -1.115  0.127 -1.330  0.352 -1.467  0.614 -1.507
