1c#apa#apa20#app2011/u  -0.782 1.384  -0.782 1.270  -0.735 1.202  -0.621 1.202  -0.601 1.108  -0.628 1.021  -0.743 1.021  -0.782 0.946  -0.782 0.831  -0.782 0.717  -0.782 0.602  -0.782 0.488  -0.782 0.373  -0.757 0.269  -0.676 0.188  -0.601 0.105  -0.601 -0.009  -0.601 -0.124  -0.601 -0.238  -0.528 -0.323  -0.447 -0.404  -0.419 -0.507  -0.414 -0.619  -0.333 -0.700  -0.252 -0.781  -0.153 -0.837  -0.051 -0.889  0.052 -0.940  0.157 -0.977  0.272 -0.977  0.386 -0.977  0.501 -0.977  0.615 -0.977  0.712 -0.935  0.793 -0.854  0.852 -0.764  0.852 -0.649  0.852 -0.535  0.852 -0.420  0.852 -0.306  0.852 -0.191  0.852 -0.077  0.852 0.038  0.852 0.152  0.852 0.267  0.852 0.381  0.852 0.496  0.852 0.610  0.785 0.658  0.670 0.658
1c#apa#apa20#app2011/g  -0.029 1.055  -0.181 1.074  -0.294 1.187  -0.454 1.188  -0.614 1.188  -0.774 1.188  -0.829 1.084  -0.829 0.923  -0.829 0.763  -0.829 0.603  -0.829 0.443  -0.755 0.314  -0.696 0.178  -0.593 0.121  -0.471 0.030  -0.328 -0.013  -0.168 -0.013  -0.008 -0.013  0.138 0.021  0.257 0.121  0.372 0.166  0.372 0.326  0.372 0.486  0.372 0.646  0.264 0.762  0.238 0.911  0.105 0.905  0.105 0.745  0.105 0.585  0.173 0.453  0.238 0.320  0.305 0.188  0.372 0.055  0.372 -0.105  0.425 -0.252  0.496 -0.395  0.568 -0.539  0.638 -0.682  0.638 -0.842  0.638 -1.002  0.638 -1.162  0.638 -1.322  0.636 -1.480  0.476 -1.480  0.316 -1.480  0.156 -1.480  -0.004 -1.480  -0.164 -1.480  -0.316 -1.460  -0.429 -1.347
1c#apa#apa20#app2011/g  -0.120 0.831  -0.129 0.965  -0.254 1.027  -0.378 1.090  -0.515 1.096  -0.613 1.194  -0.742 1.220  -0.881 1.220  -0.899 1.098  -0.899 0.959  -0.899 0.820  -0.884 0.687  -0.785 0.588  -0.687 0.490  -0.567 0.442  -0.452 0.384  -0.343 0.312  -0.203 0.312  -0.064 0.312  0.075 0.312  0.214 0.312  0.354 0.312  0.398 0.407  0.398 0.546  0.285 0.572  0.145 0.572  0.139 0.439  0.139 0.299  0.139 0.160  0.139 0.021  0.168 -0.106  0.267 -0.205  0.365 -0.303  0.440 -0.419  0.502 -0.544  0.528 -0.677  0.592 -0.789  0.658 -0.902  0.697 -1.024  0.787 -1.126  0.787 -1.266  0.757 -1.374  0.617 -1.374  0.478 -1.374  0.339 -1.374  0.220 -1.325  0.114 -1.244  -0.025 -1.244  -0.152 -1.213  -0.250 -1.115
1c#apa#apa20#app2011/l  -0.386 1.183  -0.386 1.258  -0.386 1.332  -0.386 1.406  -0.386 1.435  -0.386 1.361  -0.362 1.296  -0.309 1.244  -0.257 1.191  -0.221 1.127  -0.187 1.060  -0.154 0.994  -0.121 0.927  -0.112 0.855  -0.112 0.781  -0.083 0.713  -0.049 0.647  -0.016 0.581  0.017 0.514  0.026 0.442  0.026 0.367  0.026 0.293  0.026 0.219  0.026 0.144  0.026 0.070  0.026 -0.004  0.026 -0.078  0.026 -0.153  0.043 -0.223  0.076 -0.290  0.109 -0.356  0.142 -0.423  0.163 -0.492  0.163 -0.566  0.163 -0.641  0.163 -0.715  0.163 -0.789  0.163 -0.864  0.163 -0.938  0.163 -1.012  0.163 -1.087  0.163 -1.161  0.163 -1.235  0.179 -1.303  0.231 -1.355  0.284 -1.408  0.300 -1.476  0.300 -1.550  0.300 -1.624  0.300 -1.699
1c#apa#apa20#app2011/e  -0.964 0.193  -0.964 0.016  -0.882 -0.079  -0.705 -0.079  -0.528 -0.079  -0.351 -0.079  -0.174 -0.079  0.003 -0.079  0.180 -0.079  0.358 -0.079  0.535 -0.079  0.712 -0.079  0.889 -0.079  1.066 -0.079  1.212 -0.048  1.212 0.129  1.212 0.306  1.199 0.478  1.074 0.603  0.948 0.728  0.775 0.737  0.618 0.786  0.493 0.911  0.356 1.009  0.179 1.009  0.002 1.009  -0.175 1.009  -0.352 1.009  -0.497 0.932  -0.622 0.807  -0.747 0.681  -0.872 0.556  -0.964 0.417  -0.964 0.240  -0.964 0.063  -0.964 -0.114  -0.964 -0.291  -0.881 -0.434  -0.756 -0.559  -0.631 -0.684  -0.506 -0.809  -0.364 -0.895  -0.187 -0.895  -0.050 -0.993  0.075 -1.118  0.232 -1.167  0.409 -1.167  0.586 -1.167  0.763 -1.167  0.940 -1.167
1c#apa#apa20#app2011/r  -0.539 0.116  -0.414 0.116  -0.340 0.064  -0.340 -0.061  -0.340 -0.186  -0.340 -0.311  -0.340 -0.436  -0.340 -0.561  -0.336 -0.686  -0.280 -0.798  -0.224 -0.909  -0.168 -1.021  -0.142 -1.140  -0.142 -1.265  -0.142 -1.390  -0.098 -1.472  0.027 -1.472  0.057 -1.377  0.057 -1.252  0.057 -1.127  0.024 -1.009  -0.032 -0.897  -0.088 -0.785  -0.142 -0.673  -0.142 -0.548  -0.142 -0.423  -0.142 -0.298  -0.142 -0.172  -0.142 -0.047  -0.142 0.078  -0.142 0.203  -0.142 0.328  -0.142 0.453  -0.142 0.578  -0.142 0.704  -0.142 0.829  -0.111 0.941  -0.022 1.030  0.057 1.122  0.057 1.247  0.122 1.307  0.247 1.307  0.372 1.307  0.497 1.307  0.622 1.307  0.748 1.307  0.851 1.286  0.851 1.161  0.924 1.109  1.050 1.109
1c#apa#apa20#app2011/s  0.685 0.705  0.575 0.760  0.464 0.815  0.354 0.870  0.261 0.950  0.174 1.038  0.060 1.061  -0.052 1.086  -0.140 1.173  -0.236 1.239  -0.359 1.239  -0.483 1.239  -0.561 1.194  -0.561 1.070  -0.561 0.947  -0.561 0.824  -0.556 0.705  -0.433 0.705  -0.383 0.631  -0.370 0.514  -0.283 0.426  -0.195 0.339  -0.108 0.252  -0.021 0.165  0.066 0.077  0.155 -0.007  0.278 -0.007  0.380 -0.058  0.467 -0.146  0.555 -0.233  0.642 -0.320  0.685 -0.426  0.685 -0.549  0.685 -0.672  0.631 -0.773  0.543 -0.861  0.435 -0.897  0.329 -0.914  0.329 -1.038  0.243 -1.075  0.120 -1.075  -0.004 -1.075  -0.098 -1.146  -0.185 -1.233  -0.300 -1.253  -0.423 -1.253  -0.547 -1.253  -0.670 -1.253  -0.794 -1.253  -0.917 -1.253
1c#apa#apa20#app2011/w  -1.115 0.547  -1.136 0.672  -1.240 0.630  -1.240 0.484  -1.240 0.338  -1.240 0.193  -1.240 0.047  -1.137 -0.056  -1.115 -0.193  -1.019 -0.299  -0.885 -0.328  -0.739 -0.326  -0.636 -0.223  -0.533 -0.120  -0.490 0.008  -0.415 0.123  -0.366 0.248  -0.366 0.394  -0.366 0.539  -0.366 0.685  -0.366 0.762  -0.366 0.617  -0.366 0.471  -0.366 0.325  -0.328 0.185  -0.282 0.047  -0.230 -0.088  -0.127 -0.191  -0.024 -0.294  0.079 -0.397  0.182 -0.500  0.292 -0.594  0.422 -0.659  0.544 -0.737  0.652 -0.827  0.798 -0.827  0.944 -0.827  1.066 -0.770  1.169 -0.667  1.258 -0.558  1.258 -0.412  1.258 -0.266  1.258 -0.121  1.258 0.025  1.258 0.171  1.244 0.311  1.141 0.414  1.133 0.557  1.112 0.694  1.008 0.797
1c#apa#apa20#app2011/i  -0.138 0.294  -0.006 0.294  0.033 0.388  0.033 0.411  0.033 0.278  0.033 0.146  -0.045 0.046  -0.138 -0.048  -0.138 -0.180  -0.138 -0.313  -0.138 -0.445  -0.138 -0.577  -0.138 -0.710  -0.138 -0.842  -0.138 -0.974  -0.116 -1.097  -0.022 -1.191  0.033 -1.301  0.044 -1.428  0.138 -1.522  0.204 -1.549  0.204 -1.417  0.204 -1.285  0.204 -1.152  0.204 -1.020  0.204 -0.888  0.204 -0.755  0.204 -0.623  0.204 -0.490  0.204 -0.358  0.204 -0.226  0.204 -0.093  0.204 0.039  0.204 0.171  0.204 0.304  0.204 0.436  0.204 0.569  0.204 0.701  0.204 0.833  0.204 0.966  0.120 1.063  0.026 1.157  -0.067 1.250  -0.161 1.344  -0.255 1.438  -0.348 1.531  -0.442 1.625  -0.558 1.664  -0.652 1.702  -0.652 1.835
1c#apa#apa20#app2011/l  -0.155 1.015  -0.155 1.093  -0.190 1.136  -0.267 1.136  -0.276 1.205  -0.276 1.282  -0.276 1.360  -0.234 1.335  -0.179 1.280  -0.155 1.212  -0.154 1.135  -0.099 1.080  -0.044 1.025  -0.006 0.958  0.029 0.889  0.064 0.819  0.087 0.747  0.087 0.669  0.087 0.592  0.087 0.514  0.087 0.436  0.087 0.358  0.087 0.281  0.087 0.203  0.087 0.125  0.087 0.048  0.087 -0.030  0.087 -0.108  0.087 -0.186  0.087 -0.263  0.087 -0.341  0.087 -0.419  0.087 -0.496  0.087 -0.574  0.087 -0.652  0.087 -0.729  0.087 -0.807  0.087 -0.885  0.087 -0.963  0.087 -1.040  0.087 -1.118  0.087 -1.196  0.087 -1.273  0.087 -1.351  0.069 -1.422  0.014 -1.477  -0.034 -1.534  -0.034 -1.612  -0.034 -1.690  -0.034 -1.767
1c#apa#apa20#app2011/l  -0.056 1.219  -0.056 1.293  -0.056 1.367  -0.108 1.390  -0.142 1.430  -0.142 1.447  -0.142 1.373  -0.142 1.299  -0.142 1.225  -0.142 1.150  -0.142 1.076  -0.142 1.002  -0.142 0.928  -0.142 0.854  -0.137 0.781  -0.104 0.715  -0.071 0.649  -0.056 0.578  -0.056 0.504  -0.056 0.430  -0.056 0.356  -0.056 0.282  -0.056 0.208  -0.038 0.137  -0.014 0.066  0.009 -0.004  0.029 -0.075  0.029 -0.149  0.029 -0.223  0.029 -0.297  0.029 -0.371  0.029 -0.445  0.029 -0.519  0.029 -0.593  0.032 -0.667  0.065 -0.733  0.098 -0.799  0.115 -0.869  0.115 -0.943  0.115 -1.017  0.115 -1.091  0.115 -1.166  0.115 -1.240  0.115 -1.314  0.115 -1.388  0.136 -1.453  0.189 -1.505  0.200 -1.575  0.233 -1.635  0.286 -1.687
